gml_id,sa3_name16,sa3_code16,neg_nil_inc_fam_households,neg_nil_inc_non_fam_househlds,negative_nil_income_tot,hi_1_149_family_households,hi_1_149_non_family_hseholds,hi_1_149_tot,hi_150_299_family_households,hi_150_299_non_fam_househlds,hi_150_299_tot,hi_300_399_family_households,hi_300_399_non_fam_househlds,hi_300_399_tot,hi_400_499_family_households,hi_400_499_non_fam_househlds,hi_400_499_tot,hi_500_649_family_households,hi_500_649_non_fam_househlds,hi_500_649_tot,hi_650_799_family_households,hi_650_799_non_fam_househlds,hi_650_799_tot,hi_800_999_fam_households,hi_800_999_non_fam_hsehlds,hi_800_999_tot,hi_1000_1249_fam_households,hi_1000_1249_non_fam_hsehlds,hi_1000_1249_tot,hi_1250_1499_fam_households,hi_1250_1499_non_fam_hsehlds,hi_1250_1499_tot,hi_1500_1749_fam_households,hi_1500_1749_non_fam_hsehlds,hi_1500_1749_tot,hi_1750_1999_fam_households,hi_1750_1999_non_fam_hsehlds,hi_1750_1999_tot,hi_2000_2499_fam_households,hi_2000_2499_non_fam_hsehlds,hi_2000_2499_tot,hi_2500_2999_fam_households,hi_2500_2999_non_fam_hsehlds,hi_2500_2999_tot,hi_3000_3499_fam_households,hi_3000_3499_non_fam_hsehlds,hi_3000_3499_tot,hi_3500_3999_fam_households,hi_3500_3999_non_fam_hsehlds,hi_3500_3999_tot,hi_4000_more_fam_households,hi_4000_more_non_fam_hsehlds,hi_4000_more_tot,part_inc_stated_fam_household,part_inc_std_non_fam_hhds,partial_income_stated_tot,all_incomes_ns_famly_househld,all_inc_ns_non_famly_househld,all_incomes_not_stated_tot,tot_family_households,tot_non_family_households,tot_tot
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e78,Blacktown,"11601","345","316","659","167","119","287","261","626","888","217","991","1212","823","1444","2273","902","572","1472","2037","613","2653","1792","755","2550","2562","773","3332","2635","546","3185","2360","433","2792","2450","312","2761","4901","424","5324","3367","97","3463","2206","51","2254","1331","110","1442","2264","46","2307","2819","209","3027","494","569","1066","33925","9009","42933"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e77,Blacktown - North,"11602","133","129","261","54","36","89","77","126","197","75","207","281","265","419","689","314","238","557","728","184","911","732","268","994","1112","309","1422","1311","274","1578","1274","212","1482","1478","204","1678","3644","292","3933","2968","44","3013","2298","32","2326","1746","94","1839","3149","30","3183","1973","84","2059","197","156","350","23533","3321","26852"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e76,Mount Druitt,"11603","236","196","435","107","72","179","280","421","708","301","643","944","766","1018","1789","916","394","1305","1949","441","2388","1675","558","2235","2102","517","2616","2290","364","2662","1914","260","2177","1908","185","2089","3667","219","3888","2240","42","2285","1326","16","1340","746","59","802","1235","12","1243","2441","107","2548","479","378","855","26580","5907","32486"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e75,Botany,"11701","134","307","442","49","88","135","60","298","354","55","480","535","264","693","961","297","282","583","617","294","916","525","322","854","777","375","1153","744","294","1037","684","224","912","692","218","909","1420","343","1764","1112","88","1198","870","60","928","641","148","785","1285","88","1373","1088","217","1309","157","280","436","11477","5102","16581"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e74,Sydney Inner City,"11703","777","3785","4562","189","705","894","323","1885","2207","245","2546","2787","645","2853","3498","622","1769","2389","1192","1925","3113","1207","2490","3695","1721","3231","4957","1806","2983","4786","1704","3030","4731","1884","2651","4533","4842","5727","10572","4012","1270","5278","3448","913","4356","3293","4347","7639","9679","1932","11611","3720","2563","6285","330","2795","3119","41627","49383","91011"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e73,Marrickville - Sydenham - Petersham,"11702","94","208","304","53","77","131","68","286","355","56","454","511","235","638","870","179","386","563","520","401","924","459","527","991","638","660","1299","660","641","1301","609","594","1204","640","485","1124","1508","946","2449","1278","229","1508","1090","180","1265","888","354","1244","2261","284","2544","1150","543","1689","118","250","364","12482","8150","20638"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e72,Eastern Suburbs - North,"11801","251","493","742","112","169","279","106","476","583","90","697","789","272","1158","1430","285","951","1239","593","913","1509","694","1181","1872","1024","1426","2455","1118","1263","2381","959","1226","2188","1087","1103","2196","2683","2228","4912","2263","460","2721","1991","343","2332","2578","2307","4887","9897","1047","10944","3316","1186","4507","370","888","1254","29707","19533","49235"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e71,Eastern Suburbs - South,"11802","464","1293","1760","144","319","465","220","902","1120","144","1240","1387","548","1713","2265","552","1097","1655","1134","922","2062","1100","1152","2254","1517","1339","2853","1591","1193","2783","1459","1112","2576","1469","957","2424","3511","1787","5295","2936","461","3401","2312","325","2637","2211","992","3204","6846","490","7336","3221","970","4195","389","968","1355","31775","19244","51014"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e70,Bankstown,"11901","555","465","1016","207","207","414","495","946","1442","399","1498","1904","1369","2170","3537","1455","951","2401","3137","847","3984","2668","797","3461","3296","841","4137","3173","546","3721","2577","410","2981","2511","314","2822","4732","369","5105","3190","107","3296","2176","46","2221","1486","132","1614","2875","46","2919","3894","226","4112","626","710","1338","40811","11615","52430"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e6f,Canterbury,"11902","600","471","1065","229","146","376","396","686","1077","308","902","1216","1174","1592","2766","1230","705","1932","2648","683","3335","2446","820","3267","2940","839","3777","2736","532","3269","2103","410","2517","1971","334","2302","3587","429","4017","2319","141","2467","1478","57","1540","997","129","1119","1934","65","2004","3094","370","3468","450","507","961","32653","9824","42484"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e6e,Hurstville,"11903","504","599","1102","186","169","352","288","622","912","218","987","1207","774","1556","2333","790","757","1551","1842","709","2551","1614","810","2422","2321","910","3232","2206","679","2885","1925","514","2438","1958","402","2363","3926","615","4539","2853","119","2973","1989","78","2068","1481","240","1720","3718","65","3789","3016","282","3295","385","580","964","31992","10697","42694"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e6d,Kogarah - Rockdale,"11904","437","628","1062","188","189","383","285","621","908","239","911","1148","846","1739","2579","783","945","1723","2056","874","2930","1774","1062","2834","2336","1188","3525","2442","905","3345","2165","880","3045","2157","640","2791","4644","1135","5776","3219","222","3439","2266","169","2433","1637","369","2008","3174","138","3313","3239","457","3693","390","622","1012","34274","13688","47955"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e6c,Canada Bay,"12001","333","549","887","116","128","239","128","350","477","106","529","633","387","889","1275","345","487","838","875","471","1346","806","564","1368","1181","674","1852","1157","562","1717","979","545","1530","1112","497","1604","2593","953","3546","2009","176","2182","1626","98","1733","1694","677","2374","4758","181","4945","2064","339","2400","193","408","602","22465","9080","31545"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e6b,Leichhardt,"12002","83","191","274","42","83","130","60","257","313","47","434","481","142","652","797","137","417","554","330","406","740","309","504","810","464","576","1038","503","488","988","444","515","963","498","442","943","1247","886","2128","1130","143","1273","997","105","1100","1311","841","2152","4829","245","5071","1350","319","1674","91","278","372","14007","7792","21794"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e6a,Strathfield - Burwood - Ashfield,"12003","538","888","1432","229","250","480","277","697","972","223","978","1199","695","1638","2332","754","1027","1782","1770","957","2720","1520","1178","2697","2317","1506","3827","2332","1190","3521","2068","1092","3155","2089","887","2973","4527","1536","6061","3349","412","3763","2482","223","2705","1984","516","2499","5243","344","5590","3211","732","3938","321","683","1003","35919","16732","52653"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e69,Chatswood - Lane Cove,"12101","463","487","955","125","171","293","152","351","504","111","535","645","363","894","1253","380","621","1002","735","600","1332","796","748","1541","1192","901","2096","1254","824","2081","1101","836","1939","1281","712","1997","3126","1524","4656","2359","207","2567","1905","161","2065","2383","1036","3420","8369","272","8643","2956","395","3353","250","542","793","29301","11831","41130"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e68,Hornsby,"12102","182","164","347","83","97","183","138","238","370","74","413","485","315","790","1104","312","528","837","814","449","1263","816","487","1301","1252","520","1769","1306","426","1732","1173","345","1514","1263","281","1542","2837","509","3345","2248","74","2319","1712","43","1759","1437","175","1604","3463","39","3495","2033","113","2145","183","251","426","21629","5931","27564"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e67,Ku-ring-gai,"12103","414","275","684","149","104","255","158","234","392","78","307","389","305","664","968","363","585","945","700","490","1193","825","582","1410","1296","595","1887","1342","445","1795","1132","483","1616","1255","380","1638","2773","652","3424","2305","60","2370","1959","41","2000","2545","587","3137","10272","103","10377","3621","111","3728","299","355","652","31810","7046","38855"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e66,North Sydney - Mosman,"12104","194","399","598","72","167","235","84","346","430","64","571","630","167","939","1107","199","728","936","389","763","1156","469","1019","1479","761","1224","1988","857","1239","2091","778","1271","2052","867","1149","2017","2459","2394","4851","2002","271","2280","1733","224","1959","2380","2182","4562","8197","417","8617","2483","527","3011","191","650","840","24356","16475","40832"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e65,Manly,"12201","75","110","191","35","47","80","31","133","167","18","197","217","87","366","460","99","296","389","217","237","457","232","317","545","381","355","738","378","284","663","366","296","663","396","289","687","1004","498","1499","833","99","933","684","87","774","981","545","1528","3743","189","3936","1256","246","1497","111","236","349","10941","4837","15775"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e64,Pittwater,"12202","104","132","233","49","65","118","53","188","244","40","285","324","207","586","792","165","465","634","470","398","869","502","390","890","903","436","1337","891","301","1194","752","258","1010","832","197","1026","1755","337","2089","1536","37","1572","1145","30","1177","1117","270","1387","3356","54","3407","1938","93","2035","200","268","463","16015","4781","20801"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e63,Warringah,"12203","246","303","556","127","146","270","152","491","647","106","847","951","504","1695","2194","481","1097","1584","1196","986","2179","1328","1076","2401","1987","1241","3222","2077","906","2988","1812","863","2673","2048","614","2666","4654","1052","5707","3822","196","4021","2922","104","3031","2733","537","3267","8259","135","8390","3931","368","4301","421","671","1096","38806","13329","52130"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e62,Camden,"12301","95","86","180","40","49","84","60","125","183","56","230","280","235","497","735","223","238","461","687","205","893","636","244","875","919","305","1222","1012","227","1242","1035","195","1226","1080","173","1248","2529","206","2739","2083","29","2115","1433","18","1453","976","56","1032","1766","19","1785","1431","43","1474","207","149","362","16493","3092","19586"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e61,Campbelltown (NSW),"12302","325","283","610","196","152","352","331","609","932","359","1004","1365","1109","1815","2919","1273","804","2084","2728","737","3461","2407","1002","3415","3288","1017","4303","3286","708","3997","2971","559","3527","2825","374","3202","5407","470","5872","3467","86","3555","2122","35","2153","1350","128","1471","2263","33","2294","3585","184","3770","631","600","1232","39926","10593","50510"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e60,Wollondilly,"12303","59","58","111","26","31","51","52","109","156","38","191","234","234","436","668","197","175","374","605","195","800","488","209","699","691","197","894","684","136","825","624","114","736","703","83","780","1528","120","1645","1111","13","1126","733","0","740","513","40","555","1052","12","1063","1140","29","1167","186","156","345","10662","2301","12968"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e5f,Blue Mountains,"12401","105","186","293","65","97","167","95","392","487","101","630","727","399","1541","1942","486","898","1383","1245","744","1995","1173","784","1961","1677","673","2351","1551","518","2070","1268","422","1687","1342","352","1688","2637","433","3071","2043","56","2102","1312","22","1336","950","132","1086","1811","46","1852","1882","149","2038","213","455","669","20357","8545","28900"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e5e,Blue Mountains - South,"12402","0","0","0","0","0","0","0","3","3","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e5d,Penrith,"12403","240","267","504","78","115","191","188","495","680","189","858","1049","687","1675","2368","812","836","1650","1954","764","2716","1682","913","2592","2488","1068","3556","2621","753","3375","2388","616","3003","2615","441","3060","5549","572","6120","3934","110","4044","2546","71","2615","1642","159","1799","3009","50","3059","2974","185","3156","466","573","1033","36064","10512","46577"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e5c,Richmond - Windsor,"12404","50","71","119","35","38","78","35","166","199","65","302","365","205","508","714","227","304","528","522","295","817","482","275","755","669","345","1010","692","236","931","622","193","816","647","120","773","1144","161","1305","871","34","899","528","9","542","363","44","406","631","12","637","842","47","884","139","195","332","8778","3359","12137"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e5b,St Marys,"12405","114","110","227","38","54","90","101","186","285","91","280","372","312","560","870","321","256","570","842","301","1148","748","401","1152","1061","408","1470","1141","263","1403","1006","221","1228","1038","133","1168","1987","153","2136","1244","31","1273","771","15","786","502","37","531","763","6","769","1271","87","1360","234","224","455","13574","3737","17311"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e5a,Auburn,"12501","380","356","735","118","95","209","240","322","559","202","423","626","599","657","1254","672","380","1053","1285","373","1657","1284","445","1725","1660","574","2233","1634","430","2063","1349","407","1756","1187","295","1481","2395","576","2968","1587","158","1740","1032","106","1133","761","223","987","1329","177","1508","1851","383","2232","257","263","517","19808","6643","26449"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e59,Carlingford,"12502","237","211","449","103","84","184","137","339","480","111","486","600","383","695","1074","434","326","760","880","312","1198","832","366","1202","1137","363","1506","1190","284","1472","1038","218","1256","1038","171","1214","2161","279","2441","1670","51","1723","1133","28","1163","953","107","1052","1991","33","2025","1581","103","1681","177","271","447","17192","4720","21916"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e58,Merrylands - Guildford,"12503","533","443","980","218","181","399","444","816","1261","370","1229","1595","1305","1839","3148","1209","813","2027","2650","708","3361","2414","865","3277","3069","812","3876","2803","549","3345","2268","459","2729","2119","333","2455","3929","425","4352","2661","112","2768","1705","55","1760","1097","118","1218","2014","71","2089","3470","300","3764","568","662","1230","34847","10787","45632"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e57,Parramatta,"12504","371","416","790","128","181","305","239","623","863","178","983","1163","743","1495","2235","672","842","1515","1690","805","2490","1645","981","2624","2452","1133","3588","2611","887","3501","2486","830","3309","2596","702","3300","5486","1002","6487","3534","239","3777","2471","145","2617","1784","322","2105","2983","217","3202","2701","378","3075","312","616","924","35081","12782","47866"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e56,Pennant Hills - Epping,"12601","162","175","333","63","44","105","75","122","196","36","161","198","148","329","481","171","272","442","416","196","613","422","249","672","646","266","915","675","199","872","575","187","767","630","174","798","1358","249","1604","1144","56","1200","897","27","918","865","119","987","2917","63","2975","1225","97","1328","98","138","237","12514","3123","15638"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e55,Ryde - Hunters Hill,"12602","548","782","1333","182","212","392","227","623","850","162","902","1065","604","1590","2192","581","897","1476","1439","868","2302","1359","1015","2373","1956","1219","3170","2004","970","2978","1850","909","2754","1885","744","2630","4113","1188","5298","3140","220","3364","2402","106","2506","2112","538","2648","5879","163","6037","3086","341","3426","290","581","877","33816","13858","47665"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e54,Bringelly - Green Valley,"12701","239","156","401","113","62","180","210","355","556","173","444","622","570","655","1226","626","262","884","1354","271","1627","1251","323","1578","1704","341","2046","1743","226","1968","1628","184","1812","1550","131","1676","3304","170","3476","2454","33","2489","1620","16","1635","1094","52","1141","1993","19","2015","2354","58","2408","376","278","656","24369","4037","28406"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e53,Fairfield,"12702","785","523","1306","298","171","471","655","792","1444","500","1234","1730","1754","1909","3661","1732","651","2388","3972","682","4652","3169","732","3900","3827","688","4512","3544","410","3949","2860","298","3158","2685","222","2908","4555","238","4794","3142","66","3207","2026","20","2046","1286","73","1358","2394","31","2419","4233","222","4461","756","527","1288","44170","9496","53661"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e52,Liverpool,"12703","310","248","557","130","95","232","232","464","691","255","780","1034","833","1165","2001","821","484","1303","1807","497","2303","1693","598","2284","2111","689","2807","2192","431","2619","1859","317","2167","1898","244","2136","3632","269","3906","2598","44","2644","1712","31","1737","1140","97","1236","2017","25","2044","2597","128","2722","423","478","901","28251","7087","35335"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e51,Cronulla - Miranda - Caringbah,"12801","219","276","496","112","136","247","138","436","571","112","760","873","451","1568","2019","443","899","1347","1201","875","2077","1224","945","2168","1726","1036","2762","1692","733","2417","1442","699","2145","1636","535","2166","3519","854","4375","2944","129","3074","2245","75","2319","1754","377","2131","4932","79","5014","2940","225","3163","373","530","899","29096","11158","40258"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e50,Sutherland - Menai - Heathcote,"12802","152","190","340","98","84","179","106","288","396","69","492","561","439","1114","1555","399","645","1043","1111","502","1618","1109","577","1692","1676","658","2330","1633","404","2034","1439","436","1876","1637","321","1960","3801","476","4269","3391","66","3459","2608","20","2627","1930","180","2105","4663","28","4697","2751","118","2862","312","355","668","29319","6946","36268"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e4f,Ballarat,"20101","178","292","473","104","153","263","185","767","947","226","1197","1417","807","2583","3388","918","1319","2238","2346","1183","3531","1893","1307","3201","2327","1145","3469","2309","794","3105","1889","566","2455","1759","373","2134","3223","444","3664","1942","102","2047","1117","35","1143","639","196","835","1295","30","1320","2258","338","2598","442","725","1163","25847","13553","39398"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e4e,Creswick - Daylesford - Ballan,"20102","60","120","180","57","58","115","74","211","289","47","334","382","250","720","966","243","310","555","688","288","968","576","323","896","723","260","989","666","161","824","475","140","618","425","91","517","837","103","947","521","23","545","281","10","295","171","49","221","331","16","349","760","36","790","132","217","352","7328","3479","10805"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e4d,Maryborough - Pyrenees,"20103","82","98","179","48","63","112","65","278","342","71","454","529","347","988","1340","324","338","665","935","291","1222","621","292","912","729","220","947","591","123","721","403","89","497","376","50","424","548","59","608","277","8","283","140","3","143","64","30","97","99","0","99","628","45","675","165","281","447","6512","3722","10233"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e4c,Bendigo,"20201","135","210","341","114","155","266","169","652","824","186","1081","1264","699","2142","2845","840","1223","2057","2139","1107","3246","1851","1182","3035","2317","1058","3378","2289","758","3049","1740","504","2250","1630","345","1970","2888","455","3347","1823","69","1895","1002","46","1045","552","175","725","939","21","963","2053","279","2333","386","728","1116","23759","12204","35964"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e4b,Heathcote - Castlemaine - Kyneton,"20202","79","143","221","81","97","182","94","324","424","100","506","611","395","1192","1587","364","561","928","1091","471","1559","852","473","1327","1203","419","1627","1093","268","1361","835","228","1068","777","138","911","1421","210","1630","921","39","961","529","10","537","357","97","453","662","22","684","1222","86","1304","203","345","547","12265","5632","17898"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e4a,Loddon - Elmore,"20203","41","47","92","30","34","64","21","107","126","26","170","199","137","409","548","97","131","223","349","109","456","246","145","393","303","93","395","286","50","334","197","35","238","201","24","224","261","20","280","133","0","139","76","0","73","48","13","63","76","4","79","329","13","345","63","126","187","2919","1530","4449"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e49,Barwon - West,"20301","26","30","53","22","16","35","31","82","120","28","98","128","128","215","342","125","118","240","354","85","442","283","123","400","436","126","559","488","69","557","352","62","414","366","35","407","683","62","742","500","6","505","243","3","251","136","30","166","297","3","300","533","13","544","88","68","153","5110","1250","6368"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e48,Geelong,"20302","351","527","875","217","333","553","407","1330","1734","374","2099","2477","1529","4229","5763","1554","2232","3784","3854","1859","5714","3206","2099","5304","4107","2029","6139","3978","1374","5355","3142","1041","4185","3229","725","3953","6101","943","7038","3920","166","4084","2331","85","2414","1375","319","1693","2725","77","2808","4286","510","4800","852","1386","2240","47555","23363","70912"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e47,Surf Coast - Bellarine Peninsula,"20303","163","198","363","110","119","223","93","375","468","100","570","672","483","1298","1780","474","826","1302","1403","631","2037","1150","638","1795","1637","635","2268","1559","440","2002","1269","365","1634","1303","273","1574","2397","370","2768","1650","75","1728","981","33","1015","663","182","843","1318","54","1368","1942","133","2077","309","434","744","19006","7650","26657"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e46,Upper Goulburn Valley,"20401","141","198","337","93","102","193","126","420","552","132","636","771","478","1407","1878","475","690","1162","1314","566","1882","1001","612","1609","1285","580","1860","1243","355","1596","923","238","1160","943","180","1123","1472","232","1704","973","50","1021","468","28","489","257","112","376","507","62","575","1460","69","1531","323","562","884","13606","7099","20708"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e45,Wangaratta - Benalla,"20402","85","120","211","74","85","159","86","372","459","111","642","750","473","1277","1746","392","663","1059","1287","562","1847","1035","609","1643","1238","493","1736","1113","304","1414","840","197","1037","787","130","917","1344","146","1493","793","24","814","389","11","400","216","63","285","392","21","409","1154","81","1234","258","470","728","12066","6272","18344"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e44,Wodonga - Alpine,"20403","95","168","266","100","97","196","131","450","586","148","769","914","565","1542","2110","596","840","1439","1553","742","2290","1293","797","2091","1673","746","2419","1741","497","2237","1293","331","1623","1291","216","1508","2297","321","2618","1452","90","1540","766","58","823","402","132","540","625","183","808","1800","134","1931","318","777","1093","18149","8895","27045"
