gml_id,sa3_name16,sa3_code16,num_pns_pres_cen_ngt_1_fam_hh,nu_pn_pre_cen_ngt_1_no_fam_hh,num_pns_pres_cen_ngt_1_tot,num_pns_pres_cen_ngt_2_fam_hh,nu_pn_pre_cen_ngt_2_no_fam_hh,num_pns_pres_cen_ngt_2_tot,num_pns_pres_cen_ngt_3_fam_hh,nu_pn_pre_cen_ngt_3_no_fam_hh,num_pns_pres_cen_ngt_3_tot,num_pns_pres_cen_ngt_4_fam_hh,nu_pn_pre_cen_ngt_4_no_fam_hh,num_pns_pres_cen_ngt_4_tot,num_pns_pres_cen_ngt_5_fam_hh,nu_pn_pre_cen_nt_5_non_fam_hh,nu_pn_pre_cen_ngt_5_tot,num_pn_pres_cen_ngt_6_fam_hh,nu_pn_pre_ce_ngt_6_no_fam_hh,num_pns_pres_cen_ngt_6_tot,tot_family_households,tot_non_family_households,tot_tot
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c31,East Pilbara,"51002","156","2000","2160","1512","899","2408","819","211","1029","928","174","1105","515","63","577","375","53","433","4304","3403","7707"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c30,West Pilbara,"51003","193","2277","2470","1954","1385","3332","1284","272","1550","1507","183","1684","715","80","799","465","40","500","6110","4231","10344"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c2f,Esperance,"51101","150","1672","1831","1766","495","2263","723","148","864","681","107","790","320","37","361","178","16","195","3826","2478","6299"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c2e,Gascoyne,"51102","79","1501","1584","872","2384","3254","437","194","627","405","169","575","180","54","231","135","41","174","2110","4341","6453"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c2d,Goldfields,"51103","318","4081","4396","3214","1103","4314","1874","289","2161","1771","208","1988","918","76","996","626","41","661","8717","5800","14520"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c2c,Mid West,"51104","615","5719","6331","6072","2022","8092","2622","358","2982","2393","255","2642","1121","117","1238","615","43","659","13441","8513","21951"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c2b,Brighton,"60101","105","1357","1464","1815","286","2093","1069","82","1151","971","59","1029","390","25","418","212","13","225","4562","1814","6376"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c2a,Hobart - North East,"60102","466","5707","6177","6534","829","7358","2940","207","3151","2735","113","2849","1038","39","1079","424","14","443","14136","6912","21048"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c29,Hobart - North West,"60103","385","7212","7597","6026","1165","7192","3038","284","3324","2384","174","2553","1048","68","1114","570","27","591","13456","8919","22371"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c28,Hobart - South and West,"60104","281","2877","3157","3935","489","4427","1783","125","1910","1884","57","1938","784","34","812","336","13","348","9005","3590","12598"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c27,Hobart Inner,"60105","509","6912","7424","5664","1436","7101","2440","589","3024","2209","278","2489","758","105","860","322","66","392","11908","9386","21287"
