gml_id,sa3_name16,sa3_code16,p_55_64_ud_wk_l_5_hrs,p_55_64_ud_wk_5_14_hrs,p_55_64_ud_wk_15_29_hrs,p_55_64_ud_wk_30h_more,p_55_64_no_ud_wk,p_55_64_ud_wk_ns,p_55_64_os_v,p_55_64_yr_tot,p_65_74_ud_wk_l_5_hrs,p_65_74_ud_wk_5_14_hrs,p_65_74_ud_wk_15_29_hrs,p_65_74_ud_wk_30h_more,p_65_74_no_ud_wk,p_65_74_ud_wk_ns,p_65_74_os_v,p_65_74_yr_tot,p_75_84_ud_wk_l_5_hrs,p_75_84_ud_wk_5_14_hrs,p_75_84_ud_wk_15_29_hrs,p_75_84_ud_wk_30h_more,p_75_84_no_ud_wk,p_75_84_ud_wk_ns,p_75_84_os_v,p_75_84_yr_tot,p_85ov_ud_wk_l_5_h,p_85ov_ud_wk_5_14_h,p_85ov_ud_wk_15_29_h,p_85ov_ud_wk_30h_more,p_85ov_no_ud_wk,p_85ov_ud_wk_ns,p_85ov_os_v,p_85_yr_over_tot,p_tot_ud_wk_l_5_hrs,p_tot_ud_wk_5_14_hrs,p_tot_ud_wk_15_29_hrs,p_tot_ud_wk_30h_more,p_tot_no_ud_wk,p_tot_ud_wk_ns,p_total_os_v,p_total_total
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-753b,Dapto - Port Kembla,"10701","1448","2570","1393","1076","1991","583","37","9108","719","1563","1199","1094","1916","584","27","7111","495","900","572","560","1565","675","13","4776","175","221","134","77","948","341","3","1905","12257","15049","7548","6210","14771","4230","212","60286"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-753a,Illawarra Catchment Reserve,"10702","0","0","0","0","0","0","0","0","0","3","0","0","4","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","4","0","0","8"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7539,Kiama - Shellharbour,"10703","1939","3567","1954","1478","1958","714","35","11652","953","2089","1667","1380","2040","884","24","9038","492","909","632","680","1475","799","8","4995","226","267","130","119","811","510","0","2059","14899","18809","9643","7590","14950","5382","238","71512"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7538,Wollongong,"10704","2656","4834","2380","1421","2504","884","153","14831","1323","2808","1987","1484","2427","993","76","11105","746","1378","921","849","2281","888","31","7091","378","466","222","170","1630","487","6","3352","25018","28540","12593","8874","22922","7300","1345","106595"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7537,Great Lakes,"10801","726","1506","879","595","928","389","8","5039","586","1354","1006","819","1294","569","14","5645","305","556","435","427","1045","610","9","3388","119","158","95","91","644","345","3","1456","4355","6681","3799","3172","6003","2836","76","26927"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7536,Kempsey - Nambucca,"10802","1262","2255","1374","1022","1462","795","19","8188","709","1538","1219","1190","1705","878","18","7256","336","529","476","516","1060","709","3","3625","132","169","92","83","656","447","3","1581","6372","9443","5545","4945","8719","5334","162","40519"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7535,Lord Howe Island,"10803","21","25","15","3","13","15","3","100","9","24","4","3","12","14","0","65","3","9","0","8","0","4","3","25","0","0","0","0","6","5","0","8","87","117","55","27","46","74","15","425"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7534,Port Macquarie,"10804","1902","3658","1859","1165","1863","770","52","11268","1197","2759","2222","1779","2635","1228","42","11858","641","1244","976","927","2142","1183","19","7135","274","371","211","181","1408","571","7","3016","12113","17626","9219","7192","13453","6125","299","66026"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7533,Taree - Gloucester,"10805","1225","2447","1502","1120","1513","747","15","8565","781","1814","1486","1399","1872","853","16","8212","330","674","643","651","1261","700","11","4276","140","216","105","114","716","459","3","1741","7134","10933","6470","5845","9431","4571","168","44554"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7532,Albury,"10901","1422","2432","1238","748","1354","638","51","7885","689","1380","916","797","1452","658","22","5904","301","538","383","375","1115","615","7","3324","142","176","82","78","740","349","0","1569","10447","13153","6145","4584","9982","4719","228","49264"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7531,Lower Murray,"10902","291","560","272","225","429","281","10","2073","181","339","204","197","426","276","9","1632","69","104","102","105","256","194","0","841","11","23","25","18","109","52","0","242","1841","2593","1253","1105","2394","1677","133","10993"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7530,Upper Murray exc. Albury,"10903","1091","1820","965","737","1219","672","17","6512","646","1173","928","850","1483","792","13","5869","280","511","408","402","1111","683","9","3396","86","150","93","81","613","325","0","1354","6241","8340","4407","3741","7365","4260","143","34495"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-752f,Armidale,"11001","823","1529","732","440","726","403","31","4680","460","952","636","497","754","421","18","3735","211","397","274","255","521","316","0","1981","72","128","62","44","337","159","0","808","6461","8336","3702","2752","6086","3127","313","30777"
