sa3_name16,sa3_code16,tot_m,tot_f,tot_p,age_0_4_yr_m,age_0_4_yr_f,age_0_4_yr_p,age_5_14_yr_m,age_5_14_yr_f,age_5_14_yr_p,age_15_19_yr_m,age_15_19_yr_f,age_15_19_yr_p,age_20_24_yr_m,age_20_24_yr_f,age_20_24_yr_p,age_25_34_yr_m,age_25_34_yr_f,age_25_34_yr_p,age_35_44_yr_m,age_35_44_yr_f,age_35_44_yr_p,age_45_54_yr_m,age_45_54_yr_f,age_45_54_yr_p,age_55_64_yr_m,age_55_64_yr_f,age_55_64_yr_p,age_65_74_yr_m,age_65_74_yr_f,age_65_74_yr_p,age_75_84_yr_m,age_75_84_yr_f,age_75_84_yr_p,age_85ov_m,age_85ov_f,age_85ov_p,os_vis_m,os_vis_f,os_vis_p,count_psns_occ_priv_dwgs_m,count_psns_occ_priv_dwgs_f,count_psns_occ_priv_dwgs_p,count_persons_other_dwgs_m,count_persons_other_dwgs_f,count_persons_other_dwgs_p,indig_aboriginal_m,indig_aboriginal_f,indig_aboriginal_p,indig_torres_strait_is_m,indig_torres_strait_is_f,indig_torres_strait_is_p,indig_bth_abor_torres_st_is_m,indig_bth_abor_torres_st_is_f,indig_bth_abor_torres_st_is_p,indig_tot_m,indig_tot_f,indig_tot_p,birthplace_australia_m,birthplace_australia_f,birthplace_australia_p,birthplace_elsewhere_m,birthplace_elsewhere_f,birthplace_elsewhere_p,lang_spoken_home_eng_only_m,lang_spoken_home_eng_only_f,lang_spoken_home_eng_only_p,lang_spoken_home_oth_lang_m,lang_spoken_home_oth_lang_f,lang_spoken_home_oth_lang_p,australian_citizen_m,australian_citizen_f,australian_citizen_p,att_educ_inst_age_0_4_m,att_educ_inst_age_0_4_f,att_educ_inst_age_0_4_p,att_educ_inst_age_5_14_m,att_educ_inst_age_5_14_f,att_educ_inst_age_5_14_p,att_edu_inst_age_15_19_m,att_edu_inst_age_15_19_f,att_edu_inst_age_15_19_p,att_edu_inst_age_20_24_m,att_edu_inst_age_20_24_f,att_edu_inst_age_20_24_p,att_edu_inst_age_25_ov_m,att_edu_inst_age_25_ov_f,att_edu_inst_age_25_ov_p,high_yr_schl_comp_yr_12_eq_m,high_yr_schl_comp_yr_12_eq_f,high_yr_schl_comp_yr_12_eq_p,high_yr_schl_comp_yr_11_eq_m,high_yr_schl_comp_yr_11_eq_f,high_yr_schl_comp_yr_11_eq_p,high_yr_schl_comp_yr_10_eq_m,high_yr_schl_comp_yr_10_eq_f,high_yr_schl_comp_yr_10_eq_p,high_yr_schl_comp_yr_9_eq_m,high_yr_schl_comp_yr_9_eq_f,high_yr_schl_comp_yr_9_eq_p,high_yr_schl_comp_yr_8_belw_m,high_yr_schl_comp_yr_8_belw_f,high_yr_schl_comp_yr_8_belw_p,no_schl_m,no_schl_f,no_schl_p
Charles Sturt,40401,52529,55342,107876,3009,2814,5826,5707,5450,11158,3146,3029,6173,3778,3571,7351,7464,7592,15052,6782,6838,13617,7370,7703,15072,6348,7022,13373,4720,5326,10047,2922,3770,6690,1287,2239,3520,283,426,713,51801,54245,106049,725,1101,1831,689,757,1449,34,38,68,8,20,31,730,816,1551,35275,36531,71804,14226,15534,29758,35698,36945,72643,14229,15557,29783,44809,47134,91943,506,526,1031,5264,5017,10280,2380,2435,4812,1547,1573,3121,1709,2471,4187,22593,23952,46539,7174,6569,13742,5740,6219,11961,2030,2240,4272,2754,3848,6600,520,802,1330
Port Adelaide - West,40402,28156,29480,57639,1618,1500,3117,3089,2903,5993,1823,1662,3482,1869,1878,3741,3931,4101,8029,3701,3800,7506,4037,4277,8314,3883,3996,7873,2488,2652,5138,1167,1684,2848,563,1024,1591,182,287,471,27576,28806,56389,580,672,1254,716,759,1479,26,17,42,21,12,39,765,797,1555,18374,18825,37191,8033,8592,16622,19181,19800,38982,7459,7940,15395,23869,24865,48735,259,288,545,2839,2670,5509,1345,1291,2640,624,766,1390,896,1477,2374,10485,11566,22055,4131,3731,7867,3760,3714,7477,1383,1479,2868,1523,1970,3486,325,507,829
Burnside,40103,20620,23341,43963,971,1016,1990,2840,2765,5603,1528,1692,3228,1357,1261,2624,1953,2070,4020,2392,2967,5354,2881,3194,6078,2594,3060,5656,2304,2653,4954,1241,1598,2842,557,1060,1617,259,340,606,20095,22542,42630,529,802,1331,63,80,142,8,7,15,3,3,8,70,89,165,13397,14974,28370,6164,7080,13246,14833,16447,31284,4809,5744,10548,16952,19064,36013,242,276,521,2697,2612,5308,1334,1482,2814,842,826,1665,781,1063,1846,11845,12970,24818,1708,2162,3866,1310,1885,3189,505,617,1124,394,572,966,45,73,116
Campbelltown (SA),40104,24411,25979,50388,1424,1307,2726,2952,2634,5588,1613,1511,3125,1715,1533,3246,3108,3214,6324,3162,3273,6440,3425,3569,6991,2586,3034,5620,2092,2776,4869,1720,2082,3799,623,1037,1659,230,302,536,24173,25467,49638,233,512,747,115,144,253,6,10,19,8,8,13,126,155,290,15116,15939,31050,8216,8823,17042,15176,15906,31083,8298,9042,17337,20104,21358,41463,275,254,536,2783,2471,5251,1332,1289,2621,823,828,1648,842,1262,2106,11255,12128,23386,3030,2984,6013,2374,2615,4986,773,881,1658,1285,1751,3038,207,346,554
Prospect - Walkerville,40106,13848,14136,27984,825,681,1507,1566,1535,3099,811,808,1617,1143,1008,2158,2113,1976,4090,1818,1769,3584,1810,1974,3787,1766,1859,3631,1071,1255,2327,627,781,1406,290,492,781,124,186,310,13523,13649,27172,319,488,811,105,111,217,3,7,7,0,0,0,111,117,228,9409,9547,18961,3724,3777,7504,9773,9871,19643,3417,3523,6942,11550,11781,23330,182,158,337,1481,1440,2925,682,683,1364,631,580,1210,608,707,1315,7315,7552,14872,1464,1385,2849,1059,1120,2178,366,404,766,423,568,991,125,96,220
West Torrens,40403,29640,31359,60998,1701,1577,3276,2860,2818,5672,1697,1715,3410,2426,2535,4962,5155,5272,10425,4040,4036,8076,3927,3820,7743,3135,3391,6525,2290,2649,4941,1639,2140,3780,782,1408,2186,253,376,628,29000,30456,59457,642,902,1546,286,279,566,13,15,24,5,3,7,298,299,593,18973,20066,39035,8982,9382,18366,19224,20196,39419,8853,9383,18238,23662,25112,48781,304,296,600,2665,2624,5292,1337,1420,2763,1233,1407,2643,1457,1878,3335,14496,15333,29832,3613,3451,7064,2931,3090,6020,899,1014,1914,1215,1648,2865,192,311,502
Barossa,40501,17514,17728,35240,1042,961,1998,2496,2254,4750,1116,1087,2204,917,847,1760,1756,1821,3575,2055,2249,4308,2444,2601,5041,2600,2586,5187,1907,1853,3758,882,967,1841,308,505,810,69,100,165,17181,17217,34400,337,510,844,189,163,356,21,9,32,3,0,3,215,177,393,14469,14473,28945,1874,2083,3955,16174,16298,32474,358,447,804,15939,16078,32012,210,161,371,2299,2081,4379,782,813,1589,189,282,472,263,559,815,4969,6185,11147,3162,2854,6016,2837,2607,5440,1041,868,1912,840,832,1668,20,22,40
Lower North,40502,11168,11101,22269,653,606,1259,1368,1382,2749,614,557,1168,475,413,888,1062,1054,2111,1109,1199,2311,1543,1546,3091,1874,1761,3630,1541,1430,2971,705,716,1422,233,433,664,20,51,70,10897,10771,21669,274,326,604,184,188,371,5,11,17,0,0,0,190,194,386,9277,9141,18412,1054,1101,2153,10213,10129,20341,279,278,551,10105,10011,20118,131,114,244,1240,1267,2508,414,402,820,54,84,134,120,314,431,2844,3455,6295,2063,1868,3930,1916,1672,3590,768,650,1418,714,608,1326,21,11,33
Mid North,40503,13725,13693,27412,750,705,1464,1660,1587,3244,880,766,1645,717,647,1363,1368,1330,2702,1422,1463,2876,1920,1879,3794,2104,2048,4158,1743,1704,3445,882,1023,1905,278,531,812,55,30,81,13026,13262,26288,697,429,1127,402,448,845,18,10,27,6,10,22,425,468,901,11590,11562,23149,1082,1117,2202,12346,12343,24696,450,482,932,12375,12392,24769,126,107,230,1475,1445,2923,571,556,1132,60,115,174,151,338,489,3123,3804,6923,2661,2347,5008,2469,2229,4702,915,883,1795,1028,988,2019,32,38,70
Yorke Peninsula,40504,12418,12215,24632,581,523,1106,1411,1217,2629,628,561,1187,453,458,913,1021,1043,2068,1055,1075,2131,1618,1612,3228,2089,2064,4146,2120,2010,4132,1075,1121,2195,363,538,900,24,30,48,12158,11864,24014,259,349,611,310,327,639,11,12,17,0,5,7,325,345,662,10365,10030,20396,1099,1203,2303,11395,11154,22551,244,254,492,11349,11092,22445,104,90,187,1282,1094,2376,416,382,798,51,86,133,96,258,357,2630,3376,6011,2322,2148,4465,2494,2238,4735,998,882,1875,956,796,1750,23,15,40
Eyre Peninsula and South West,40601,29748,28369,58117,1850,1714,3569,3788,3604,7395,1679,1555,3230,1597,1445,3040,3472,3476,6948,3504,3317,6822,4436,3947,8380,4272,3882,8160,3117,2977,6096,1523,1640,3162,504,797,1308,121,98,219,28323,27507,55828,1433,860,2290,1555,1578,3133,22,26,47,18,23,44,1595,1624,3221,23808,22509,46319,3138,3339,6479,25653,24780,50435,1238,1305,2548,25864,24922,50783,326,306,628,3359,3186,6546,1070,1075,2146,148,291,434,379,928,1312,7453,8725,16175,5440,4705,10142,4821,4235,9052,1633,1311,2942,1602,1387,2994,69,61,134
Outback - North and East,40602,16773,13306,30072,860,914,1778,1710,1617,3325,707,641,1347,1010,889,1895,2844,1935,4785,2451,1581,4033,2589,1880,4470,2380,1824,4203,1537,1276,2809,565,527,1093,116,212,327,150,137,291,12687,12321,25002,4086,985,5069,2705,2714,5413,11,18,31,37,25,55,2747,2754,5505,12792,10479,23269,1656,1259,2915,12147,10109,22249,1820,1676,3495,13480,11311,24793,150,153,306,1455,1389,2843,361,355,715,75,115,190,279,378,654,3981,3750,7731,2912,2034,4942,2595,1926,4521,843,628,1472,762,630,1397,101,75,173
Fleurieu - Kangaroo Island,40701,23833,25494,49322,1098,1095,2196,2666,2590,5260,1209,1193,2402,960,870,1834,1821,2010,3833,2246,2532,4778,2948,3254,6199,3783,4163,7951,4133,4383,8521,2214,2291,4512,750,1100,1853,210,225,442,23153,24615,47766,680,881,1555,323,340,663,14,13,24,4,3,8,346,356,700,18075,19165,37236,3894,4406,8305,21575,23043,44619,641,782,1426,21199,22605,43801,176,207,382,2397,2328,4727,798,851,1649,147,215,366,292,707,1001,7153,8578,15729,4200,4310,8511,4185,4498,8683,1448,1284,2735,1132,1031,2170,49,35,86
Limestone Coast,40702,32306,31290,63599,1931,1823,3755,4434,4044,8476,1957,1862,3818,1801,1530,3331,3613,3489,7102,3903,3781,7685,4686,4358,9047,4425,4230,8661,3281,3214,6495,1646,1933,3573,625,1020,1644,188,164,353,30964,30391,61352,1344,898,2242,603,522,1124,28,22,51,14,14,29,640,559,1201,26731,25842,52569,3237,3174,6414,28126,27765,55893,1730,1611,3346,28324,28094,56421,331,307,639,4053,3699,7753,1287,1311,2596,243,344,586,379,966,1343,7562,9791,17353,5876,5366,11243,5435,4511,9951,2012,1637,3650,2017,1722,3740,264,114,378
Murray and Mallee,40703,35404,34330,69728,1833,1868,3699,4228,3860,8089,2127,1991,4121,2061,1871,3929,4034,3745,7777,3881,3734,7620,4875,4819,9696,5110,4794,9901,4357,4143,8500,2161,2329,4492,726,1168,1898,413,358,772,33920,33390,67308,1480,944,2422,1267,1223,2491,28,21,51,14,19,34,1313,1266,2572,28101,27158,55266,4130,4113,8243,29386,29133,58521,2791,2651,5441,30300,30056,60361,302,288,590,3785,3475,7261,1367,1391,2756,200,342,539,399,866,1268,8159,9784,17940,5789,5535,11324,6370,5628,11997,2500,2013,4512,2602,2409,5008,195,190,386
Augusta - Margaret River - Busselton,50101,24507,26253,50758,1715,1611,3324,3779,3553,7332,1456,1372,2832,1006,1051,2059,2634,3085,5721,3303,3827,7138,3272,3549,6825,3103,3442,6540,2630,2697,5322,1197,1407,2606,416,651,1064,451,527,982,23283,24854,48136,1226,1400,2623,351,387,741,10,17,27,4,3,3,364,404,769,17555,18523,36079,4482,5164,9648,21003,22367,43374,1226,1502,2731,20447,21769,42210,330,324,655,3380,3183,6560,975,920,1897,104,180,286,332,901,1234,8062,10065,18126,2110,2306,4412,4901,4719,9618,1018,928,1950,577,541,1120,81,38,117
Bunbury,50102,48941,51159,100095,3433,3195,6632,7315,7090,14407,3527,3254,6779,2715,2606,5325,5836,6439,12282,6143,6716,12853,6672,7211,13891,6072,6438,12512,4466,4587,9049,2087,2499,4588,675,1110,1782,209,316,520,47619,50160,97782,1316,1002,2320,1302,1366,2665,21,32,55,32,32,61,1356,1425,2779,35928,37090,73015,9084,9905,18988,41548,43652,85202,3490,3825,7319,41107,43051,84159,659,597,1258,6614,6417,13025,2270,2184,4452,299,473,778,636,1712,2348,13196,16607,29800,4962,5125,10087,11859,11333,23189,2571,2242,4817,1552,1478,3028,124,124,249
Manjimup,50103,11280,11393,22672,597,554,1150,1494,1500,2990,694,564,1256,434,427,866,973,1028,2004,1185,1291,2476,1614,1749,3365,1838,1892,3730,1595,1435,3033,678,681,1360,168,270,445,144,143,291,10929,11036,21966,352,356,708,236,237,477,7,9,22,0,4,9,251,254,509,8104,8080,16180,1901,2027,3936,9761,9770,19534,451,529,981,9620,9652,19263,120,112,234,1308,1343,2654,411,352,772,33,64,100,91,260,352,3076,3739,6815,946,1073,2013,2837,2489,5323,666,468,1136,429,328,758,50,35,88
Mandurah,50201,44695,48699,93394,2887,2726,5617,6118,5913,12028,2918,2898,5823,2536,2527,5060,4565,5356,9919,4909,5726,10631,5594,6377,11969,5391,6354,11749,5478,5836,11318,3290,3611,6897,1003,1379,2379,178,287,462,44126,47906,92030,565,795,1360,960,1019,1977,28,28,55,18,21,39,1003,1064,2068,30178,32210,62391,11357,12955,24308,39193,42302,81501,2610,3260,5872,37053,40143,77193,580,529,1110,5571,5408,10974,1899,2010,3905,470,663,1134,589,1630,2214,13285,16028,29311,4393,4954,9347,10523,11227,21750,2639,2542,5181,1563,1532,3099,101,93,191
Cottesloe - Claremont,50301,33134,35574,68704,1560,1443,2999,4873,4621,9495,2828,2963,5792,3040,2814,5859,3488,3518,7002,3421,4001,7418,4445,5135,9578,3914,4226,8135,3089,3359,6452,1741,2123,3866,733,1372,2111,583,797,1385,30897,33010,63909,2239,2557,4797,198,190,384,5,7,12,6,9,13,211,201,413,20513,21740,42258,10283,11082,21362,26091,27482,53571,4711,5396,10110,26621,28436,55058,435,407,843,4574,4374,8947,2498,2607,5105,1961,1727,3688,1322,1613,2938,19895,21082,40975,1319,1591,2910,2141,2870,5012,754,829,1578,290,374,663,41,42,87
Perth City,50302,54753,55030,109783,2839,2618,5454,4453,4261,8714,2027,2307,4333,4017,4818,8834,13240,13226,26469,8701,8214,16917,7211,6625,13843,5960,5676,11643,3836,3695,7537,1747,2227,3977,722,1357,2073,2175,2371,4547,48240,49246,97489,6509,5783,12296,411,388,797,10,18,28,14,6,28,441,411,849,27057,27029,54084,19506,20054,39558,34913,34297,69212,11561,12885,24447,36339,36609,72946,533,490,1022,4024,3829,7849,1524,1732,3257,1649,1917,3565,3003,3736,6743,30689,31122,61812,2569,2371,4937,4126,4388,8516,946,932,1874,797,1154,1954,178,265,439
Bayswater - Bassendean,50401,39268,40419,79685,2524,2336,4863,4280,3962,8244,2076,1996,4071,2620,2440,5066,6859,7107,13971,5788,5852,11642,5126,5112,10241,4361,4778,9133,3248,3500,6750,1753,2177,3928,629,1155,1781,338,515,858,38895,39737,78632,373,680,1051,551,586,1142,30,16,46,24,35,60,607,640,1245,22249,22402,44649,14438,15091,29529,26889,26925,53817,9960,10777,20737,30793,31553,62342,470,448,913,3958,3673,7625,1552,1556,3111,1041,936,1979,1451,2030,3481,18498,19408,37900,2712,2562,5275,5747,5771,11510,1279,1296,2573,1311,1582,2890,295,378,676
Mundaring,50402,21142,19995,41135,1126,1008,2133,2690,2567,5257,1420,1280,2701,1376,1003,2374,2639,2055,4695,2681,2547,5233,3151,3209,6367,2750,2771,5521,2106,2163,4264,927,994,1923,272,393,670,64,105,174,19196,19865,39061,1941,132,2074,978,455,1437,14,9,18,30,4,35,1023,466,1493,15037,13897,28937,5026,4946,9972,17066,17515,34587,1230,1429,2666,16839,17367,34205,264,209,469,2500,2385,4878,999,957,1955,254,292,548,314,705,1015,6937,8257,15196,1789,1751,3537,4154,3933,8087,946,790,1740,490,479,967,42,40,80
Swan,50403,62541,64891,127434,5013,4743,9752,9493,8825,18323,4566,4163,8731,4472,4523,8996,9532,10451,19986,8649,9605,18252,8343,8974,17316,6335,6731,13068,3856,4104,7956,1775,1953,3727,513,821,1332,409,641,1054,61601,63718,125318,940,1181,2118,1547,1796,3341,47,38,85,28,42,71,1615,1879,3499,37819,38450,76269,20365,21570,41937,45451,46215,91670,12954,13742,26700,50356,51268,101625,910,895,1796,8656,7966,16623,3190,3115,6303,1112,1303,2415,1472,2614,4080,22610,25738,48346,5557,5419,10975,11419,10817,22232,2417,2207,4623,1557,1744,3298,358,474,829
Joondalup,50501,74720,78171,152888,4545,4322,8870,10676,10144,20822,5606,5259,10863,5182,4734,9917,8456,8568,17023,9585,10742,20324,10831,12091,22925,9703,10665,20367,6753,6847,13600,2516,3192,5706,876,1598,2472,446,746,1194,73994,76996,150986,730,1179,1901,448,487,942,22,23,37,17,17,27,482,527,1008,43717,44964,88683,27951,29651,57600,64181,65863,130042,7752,9060,16812,62720,65383,128101,1104,1006,2115,10136,9629,19764,4350,4317,8664,2011,2029,4045,1768,2890,4660,34667,37728,72398,6430,6179,12607,12017,12314,24331,2259,2393,4650,1062,1302,2361,115,141,260
Stirling,50502,92516,98352,190871,6295,5810,12105,10563,10227,20793,4994,4986,9982,5964,6029,11991,17231,17595,34822,13298,13844,27145,11635,12070,23705,9511,10768,20285,7000,8452,15451,4393,5765,10158,1623,2808,4429,881,1312,2186,91396,96814,188206,1122,1540,2663,923,1049,1969,40,26,66,18,10,25,979,1082,2058,51011,54160,105176,34987,36754,71740,61005,64152,125155,25386,27196,52577,71464,76358,147822,1243,1186,2428,9705,9308,19012,3923,4047,7965,2534,2484,5013,3642,4991,8634,45542,48502,94047,6103,6040,12146,11301,12630,23939,2715,3053,5764,2886,3607,6496,765,950,1712
Wanneroo,50503,90440,94716,185157,7611,7252,14868,14462,13709,28172,6890,6577,13470,6424,6309,12733,13585,15126,28715,13148,14231,27382,12052,12849,24903,7821,8694,16512,5204,5790,10997,2524,3045,5571,718,1137,1849,560,868,1427,90083,94058,184134,363,663,1024,1201,1329,2528,39,35,73,28,33,59,1275,1388,2662,48002,49315,97315,36683,38973,75661,67045,69371,136411,18255,19625,37873,70730,73790,144517,1516,1454,2973,13252,12509,25762,4944,4903,9848,1780,2011,3782,2096,3794,5889,34445,39347,73789,7905,7935,15837,15172,14527,29696,3247,2995,6245,1851,2252,4098,642,796,1436
Armadale,50601,38794,40199,78991,3578,3368,6948,5522,5247,10768,2368,2345,4710,2588,2614,5206,6453,7024,13476,5522,5547,11068,4616,4904,9517,3814,4365,8176,2726,2853,5581,1224,1367,2590,386,571,954,305,493,797,38580,39853,78426,213,348,560,920,1015,1938,17,25,42,8,19,31,946,1066,2013,22939,23231,46173,13164,14004,27165,29155,29759,58910,7113,7673,14783,30760,31258,62023,661,662,1324,5030,4784,9812,1602,1695,3292,592,715,1307,957,1738,2696,13747,15803,29546,3368,3414,6782,7543,7163,14707,1577,1392,2969,831,814,1641,174,198,370
Belmont - Victoria Park,50602,36118,35131,71244,2285,2246,4536,3210,3045,6248,1649,1526,3173,3255,2939,6191,8198,7888,16082,5578,5100,10681,4382,4043,8426,3598,3668,7267,2328,2378,4705,1184,1516,2699,454,787,1242,539,688,1224,34697,34211,68910,1419,920,2337,653,719,1373,13,9,25,21,17,38,689,744,1432,17702,17297,34996,14297,13917,28209,21998,21217,43218,10030,10070,20099,24055,23644,47696,374,373,753,2840,2693,5534,1116,1110,2225,1329,1147,2476,1785,2205,3988,17337,17288,34629,2391,2128,4523,4494,4145,8642,1003,992,1995,913,1068,1980,323,268,594
Canning,50603,46442,47436,93881,2654,2575,5229,5665,5305,10969,3458,3134,6593,4795,4156,8953,7898,7537,15433,6107,6260,12365,5464,5824,11288,4632,5329,9959,3409,3626,7035,1657,2224,3881,702,1460,2171,795,1059,1851,45667,46118,91782,779,1322,2097,404,478,881,11,5,14,5,11,17,421,497,917,20375,21021,41393,23054,23049,46103,25348,25988,51337,18158,18145,36303,31283,32477,63760,474,517,1000,5253,4916,10176,2821,2650,5471,2618,2244,4861,2432,2637,5068,23983,24014,47990,2842,2820,5666,5473,5659,11135,1390,1463,2856,1019,1354,2371,287,350,638
Gosnells,50604,59277,58371,117642,4443,4292,8731,8371,7638,16009,4161,3697,7852,4367,3849,8213,9577,9344,18921,8779,8520,17299,7306,7359,14662,5839,6315,12154,4049,4273,8325,1844,2232,4075,530,862,1396,544,866,1410,57951,58042,115994,1319,327,1646,1466,1283,2749,13,18,33,26,26,47,1504,1328,2833,30610,29263,59867,25134,25325,50455,36466,36047,72510,18623,18821,37445,43483,42986,86464,857,821,1679,7600,7038,14639,2970,2827,5798,1368,1431,2802,1677,2625,4302,22549,23824,46370,4695,4627,9319,10025,9677,19697,2469,2124,4595,1782,1825,3613,623,648,1271
Kalamunda,50605,27639,28748,56382,1808,1700,3514,3847,3769,7619,2036,1903,3941,1721,1580,3294,3307,3530,6837,3600,3853,7455,3806,3953,7761,3210,3555,6767,2629,2824,5446,1317,1538,2860,351,541,898,150,208,360,27268,28358,55626,367,390,760,470,544,1007,16,12,26,4,10,13,489,562,1046,18167,18472,36640,7807,8531,16339,23017,23562,46579,3100,3598,6699,23191,24026,47215,366,357,722,3615,3527,7138,1471,1452,2918,407,553,961,503,979,1479,10350,11911,22264,2604,2582,5190,5537,5235,10773,1172,1114,2284,669,644,1314,93,98,193
Serpentine - Jarrahdale,50606,13228,13229,26462,1210,1122,2331,2107,1967,4071,850,862,1717,844,940,1784,2105,2201,4308,1754,1866,3613,1804,1778,3584,1277,1318,2597,859,747,1608,333,321,654,88,103,187,65,94,157,12850,13152,26002,376,77,456,271,244,519,9,9,13,4,0,4,281,258,538,9119,8954,18070,3290,3424,6709,10937,11174,22108,1193,1273,2464,10772,10930,21698,233,207,435,1891,1782,3672,533,605,1142,129,192,320,216,417,639,3802,4822,8620,1208,1367,2577,2976,2574,5553,625,405,1033,280,222,502,24,25,51
South Perth,50607,20608,21704,42311,1056,933,1989,2184,1995,4181,1527,1328,2854,1877,1889,3764,3562,3503,7069,2671,2743,5405,2480,2786,5267,2375,2820,5195,1772,1876,3649,752,1056,1802,352,765,1124,344,432,771,19517,20643,40156,1096,1056,2151,279,252,530,7,0,7,10,3,15,294,260,557,11702,12146,23843,7271,7736,15008,14600,15070,29672,4407,4858,9264,15553,16399,31948,231,197,428,2001,1834,3838,1277,1081,2362,1028,1034,2067,1080,1246,2328,11843,12248,24090,1145,1143,2286,1931,2358,4293,531,544,1076,264,389,651,40,92,135
Cockburn,50701,49231,51688,100914,3743,3725,7470,6706,6418,13127,3168,3083,6252,3235,3240,6475,7674,8434,16113,7709,7958,15671,6606,6933,13530,4903,5509,10416,3305,3535,6846,1701,1930,3630,472,919,1391,436,598,1034,48771,51253,100025,456,436,895,745,781,1526,11,8,23,24,25,42,780,820,1593,29295,30413,59710,16650,17647,34295,35715,36925,72644,10452,11329,21779,39045,41024,80071,731,783,1520,6216,5962,12175,2246,2373,4622,1050,1177,2227,1344,2233,3570,19890,22668,42559,3959,3789,7751,8229,7857,16086,1878,1744,3625,1463,1633,3091,235,296,530
Fremantle,50702,17736,19425,37160,918,942,1855,1811,1839,3654,872,945,1820,979,1167,2144,2571,2914,5488,2481,2590,5067,2702,2834,5538,2473,2572,5047,1667,1869,3537,926,1165,2090,339,584,916,253,362,614,16635,18349,34980,1104,1077,2181,248,259,504,12,4,14,3,11,10,259,277,534,10835,11854,22690,5013,5457,10466,13715,14670,28391,2175,2713,4889,14061,15431,29496,158,206,366,1649,1673,3326,665,733,1394,383,464,839,676,1053,1727,8789,10065,18851,1104,1022,2133,2150,2125,4273,525,540,1060,511,709,1222,69,96,168
Kwinana,50703,19444,18925,38376,1756,1631,3379,2741,2536,5276,1187,1112,2295,1454,1390,2849,3623,3720,7342,3026,2768,5791,2304,2205,4509,1636,1705,3345,1067,1094,2160,538,566,1103,124,197,321,121,204,324,18388,18837,37228,1056,89,1147,834,523,1357,8,3,16,20,4,27,864,535,1399,11416,10762,22175,6526,6624,13149,13566,13699,27262,3550,3816,7360,14059,14179,28242,301,296,599,2436,2263,4699,735,743,1474,274,379,650,460,813,1277,6185,7152,13338,1627,1661,3291,3527,3333,6860,779,683,1463,448,406,846,49,82,134
Melville,50704,48113,52667,100781,2643,2475,5120,6316,5907,12231,3457,3445,6899,3600,3401,7004,5761,5844,11602,5754,6716,12464,6273,7406,13683,6095,6991,13090,4616,4962,9583,2474,3359,5831,1122,2145,3276,522,805,1329,47010,50851,97859,1105,1814,2918,352,330,682,9,3,12,3,7,13,365,345,704,29195,31272,60473,16320,18156,34474,36304,38718,75017,9221,10695,19919,39574,42979,82553,595,626,1223,5941,5559,11500,2904,2925,5825,1742,1730,3470,1583,2168,3752,25334,27426,52756,2866,3204,6068,5813,6967,12781,1440,1653,3093,882,1227,2110,132,160,293
Rockingham,50705,59766,62630,122389,4754,4621,9380,9432,9074,18500,4210,4032,8241,4303,4121,8427,8486,9211,17697,7850,8708,16559,7906,8541,16440,5803,6277,12084,4123,4450,8572,2210,2577,4791,684,1024,1706,304,384,696,57950,61742,119687,1812,885,2702,1126,1248,2371,31,30,67,23,25,46,1181,1298,2481,36474,37897,74372,18508,20074,38578,51023,53181,104206,4314,5166,9479,47043,49414,96461,966,871,1835,8624,8239,16861,2797,2819,5616,712,983,1695,977,2411,3392,19001,22298,41305,6008,6192,12198,12255,12168,24426,2558,2295,4852,1213,1328,2539,94,127,216
Albany,50901,29117,29212,58330,1720,1588,3303,4040,3722,7761,1872,1675,3548,1471,1237,2710,3061,3088,6151,3291,3543,6829,4043,4173,8212,4134,4247,8376,3252,3267,6517,1652,1823,3476,585,860,1442,193,252,449,27521,28186,55707,1598,1021,2617,1128,920,2046,25,23,47,20,3,21,1166,946,2112,21264,20891,42146,5217,5655,10873,24433,24899,49336,1812,1941,3750,24256,24871,49123,300,276,577,3598,3325,6921,1122,1071,2195,142,211,354,378,840,1216,8676,10456,19133,2493,2647,5141,6425,5920,12340,1475,1254,2723,1094,869,1959,179,119,297
Wheat Belt - North,50902,29513,27062,56579,1656,1526,3182,3545,3391,6936,1547,1241,2788,1563,1219,2777,3225,3020,6245,3450,3144,6592,4217,3976,8193,4613,4196,8805,3665,3250,6918,1645,1537,3180,403,556,960,281,270,557,27053,26260,53312,2465,805,3265,1187,1203,2391,12,13,22,8,12,17,1205,1226,2428,20850,19225,40077,5158,4744,9901,24631,23145,47777,1358,1257,2618,24015,22596,46612,304,306,613,3088,2955,6047,882,815,1701,195,192,390,242,687,929,7942,8734,16669,2578,2564,5137,7077,5929,13006,1720,1159,2881,1217,881,2097,93,60,149
Wheat Belt - South,50903,10795,9799,20592,688,644,1335,1317,1310,2627,506,463,969,504,404,901,1284,1119,2410,1322,1183,2505,1616,1413,3031,1619,1481,3098,1233,944,2176,538,595,1135,173,235,415,59,57,114,9676,9389,19061,1123,413,1532,465,473,940,4,5,15,17,18,39,488,500,987,8131,7314,15445,1352,1364,2714,9258,8393,17658,377,397,773,9045,8219,17260,121,97,218,1125,1130,2255,259,286,539,34,41,71,86,264,350,3201,3136,6335,906,903,1810,2410,1993,4402,623,447,1064,432,327,760,24,19,43
