SA3_MAIN11,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total,SA3_NAME11
11703,1086,3381,6066,32,16,10581,931,4869,11760,29,45,17634,779,4577,24163,129,106,29754,178,1601,4526,10,265,6580,276,1661,4801,74,44,6856,32,177,583,0,7,799,23,76,453,10,5,567,26,112,318,4,5,465,1314,8204,34844,227,432,45021,21,112,265,0,18,416,91,392,1179,11,22,1695,3443,16958,54114,299,533,75347,Sydney Inner City
11801,4988,3554,5572,22,20,14156,3220,3223,4789,26,25,11283,918,2105,11419,104,46,14592,12,29,482,0,5,528,464,838,3132,52,8,4494,8,20,143,0,0,171,40,39,143,9,9,240,65,63,252,0,0,380,1507,3094,15571,165,68,20405,41,55,235,0,0,331,217,236,809,6,0,1268,9973,10162,26976,219,113,47443,Eastern Suburbs - North
11802,7204,2216,3686,32,3,13141,4537,2435,4613,15,10,11610,1349,1359,10908,102,23,13741,245,510,2336,0,0,3091,586,449,2450,33,12,3530,55,43,210,0,0,308,82,139,184,6,0,411,68,30,171,4,5,278,2385,2530,16259,145,40,21359,61,55,172,5,3,296,364,172,614,3,4,1157,14551,7408,25344,200,60,47563,Eastern Suburbs - South
11901,14237,1877,843,25,6,16988,11583,3299,1840,18,7,16747,2922,1335,2185,71,7,6520,2065,954,1652,0,5,4676,1494,433,377,29,5,2338,95,148,183,4,0,430,252,75,68,30,0,425,163,45,47,3,0,258,6991,2990,4512,137,17,14647,200,54,92,3,0,349,981,258,345,9,0,1593,33992,8478,7632,192,30,50324,Bankstown
11902,9991,872,1800,36,35,12734,7311,1403,2994,20,39,11767,2196,969,6244,98,65,9572,464,451,695,0,0,1610,898,264,891,26,14,2093,76,81,121,0,0,278,174,43,187,7,6,417,94,30,92,3,0,219,3902,1838,8230,134,85,14189,130,33,80,0,3,246,748,138,621,11,5,1523,22082,4284,13725,201,167,40459,Canterbury
11903,11313,1437,1843,19,3,14615,8308,1465,3253,13,4,13043,1967,664,4176,92,5,6904,534,571,1173,0,4,2282,768,224,908,37,3,1940,70,70,105,0,0,245,99,52,66,3,4,224,86,24,73,4,0,187,3524,1605,6501,136,16,11782,130,74,86,0,0,290,518,143,315,4,0,980,23793,4724,11998,172,23,40710,Hurstville
11904,10354,1812,2732,57,6,14961,6921,1685,4688,35,18,13347,2185,837,6469,131,27,9649,164,111,668,0,0,943,900,249,1067,43,10,2269,79,30,77,4,3,193,108,40,95,32,0,275,120,21,96,3,0,240,3556,1288,8472,213,40,13569,108,23,95,0,0,226,637,110,484,20,0,1251,21576,4918,16471,325,64,43354,Kogarah - Rockdale
12001,6153,854,2180,15,10,9212,4256,1167,3115,13,9,8560,1185,802,4235,59,32,6313,91,174,475,0,0,740,431,171,749,35,4,1390,16,23,76,0,0,115,44,72,158,4,0,278,62,15,59,5,0,141,1829,1257,5752,103,36,8977,69,20,53,0,0,142,297,67,248,4,0,616,12604,3365,11348,135,55,27507,Canada Bay
12002,2706,1922,554,23,0,5205,2965,2938,1074,39,3,7019,1123,1896,2772,102,9,5902,50,244,614,0,0,908,458,538,445,67,6,1514,20,33,79,0,0,132,21,48,29,10,0,108,31,24,26,3,0,84,1703,2783,3965,182,15,8648,28,22,34,0,0,84,127,95,123,14,3,362,7529,7760,5750,258,21,21318,Leichhardt
12003,10399,1264,2693,31,8,14395,7041,1665,5324,36,10,14076,2308,1181,9670,139,39,13337,148,228,659,0,0,1035,853,328,1575,79,12,2847,133,65,269,5,0,472,102,39,159,16,4,320,112,26,113,3,0,254,3656,1867,12445,242,55,18265,134,42,144,0,4,324,567,126,575,7,3,1278,21797,4964,21181,316,80,48338,Strathfield - Burwood - Ashfield
