SA3_MAIN11,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size,SA3_NAME11
69797,43,0,1199,0,0,0.0,0,0.0,Migratory - Offshore - Shipping (Tas.)
69999,37,0,340,0,0,0.0,0,0.0,Special Purpose Codes SA3 (Tas.)
70101,33,2353,1012,420,2326,1.1,1956,2.3,Darwin City
70102,34,2040,847,330,1957,1.2,1746,2.7,Darwin Suburbs
70103,36,2167,861,300,1993,1.2,1760,2.8,Litchfield
30301,36,2167,726,375,2039,1.1,1693,2.6,Carindale
30302,33,2167,744,320,1945,1.1,1462,2.3,Holland Park - Yeronga
30304,35,2000,600,325,1677,1.1,1365,2.6,Nathan
30306,33,1900,503,360,1402,1.1,1315,2.9,Sunnybank
30401,38,2000,754,380,2107,1.0,1910,2.9,Centenary
30402,39,2300,774,400,2468,1.0,2238,3.0,Kenmore - Brookfield - Moggill
30403,29,2167,616,370,2179,1.1,1594,2.5,Sherwood - Indooroopilly
30404,36,2040,737,325,1983,1.1,1647,2.7,The Gap - Enoggera
30501,32,2200,825,400,2184,1.2,1610,2.0,Brisbane Inner
30502,33,2436,912,375,2400,1.1,1903,2.4,Brisbane Inner - East
30503,34,2282,854,350,2335,1.1,1721,2.3,Brisbane Inner - North
30504,31,2370,860,380,2488,1.1,1913,2.5,Brisbane Inner - West
30601,37,1840,683,290,1578,1.1,1344,2.6,Cairns - North
30602,34,1733,601,240,1325,1.1,1083,2.5,Cairns - South
30603,41,1317,475,180,1108,1.1,929,2.5,Innisfail - Cassowary Coast
30604,40,1647,585,240,1251,1.1,988,2.3,Port Douglas - Daintree
30605,43,1473,455,200,1056,1.1,861,2.4,Tablelands (East) - Kuranda
30701,37,1300,569,150,1282,1.1,1052,2.5,Darling Downs (West) - Maranoa
30702,39,1300,505,196,1204,1.1,1003,2.6,Darling Downs - East
30703,42,1300,446,195,1003,1.1,841,2.5,Granite Belt
30801,31,2000,801,112,2256,1.1,1951,2.8,Central Highlands (Qld)
30802,35,1950,675,270,1875,1.1,1651,2.7,Gladstone - Biloela
30803,37,1690,578,250,1435,1.1,1167,2.6,Rockhampton
30901,39,2000,592,350,1356,1.1,1104,2.3,Broadbeach - Burleigh
30902,41,1950,536,320,1264,1.1,995,2.3,Coolangatta
30903,42,1950,529,330,1195,1.1,963,2.2,Gold Coast - North
30904,43,1900,538,310,1314,1.1,1128,2.6,Gold Coast Hinterland
30905,37,2167,581,375,1471,1.1,1393,3.0,Mudgeeraba - Tallebudgera
30906,36,2080,568,360,1419,1.1,1292,2.8,Nerang
30907,34,2253,652,380,1580,1.1,1480,2.9,Ormeau - Oxenford
30908,36,2001,549,400,1352,1.1,1209,2.6,Robina
30909,36,1950,505,340,1259,1.1,1026,2.4,Southport
30910,39,2113,612,350,1415,1.1,1108,2.1,Surfers Paradise
31001,33,1829,534,300,1349,1.1,1203,2.8,Forest Lake - Oxley
31002,40,1517,472,245,1164,1.1,991,2.6,Ipswich Hinterland
31003,34,1647,565,260,1367,1.1,1166,2.7,Ipswich Inner
31004,29,1920,650,315,1490,1.1,1394,3.0,Springfield - Redbank
31101,40,1690,466,250,1125,1.1,938,2.6,Beaudesert
31503,38,1000,583,100,1245,1.1,986,2.4,Outback - South
31601,40,2000,541,380,1398,1.0,1188,2.6,Buderim
31602,42,1993,511,340,1183,1.1,975,2.4,Caloundra
31603,40,1820,552,310,1208,1.1,983,2.3,Maroochy
31604,42,1733,495,290,1186,1.1,992,2.6,Nambour - Pomona
31605,45,1907,530,350,1196,1.1,971,2.4,Noosa
31606,43,1800,498,300,1182,1.1,1028,2.6,Sunshine Coast Hinterland
31701,36,1538,557,240,1345,1.1,1095,2.5,Toowoomba
31801,40,1300,491,160,1223,1.1,980,2.5,Charters Towers - Ayr - Ingham
31802,33,1861,675,290,1626,1.1,1381,2.6,Townsville
31901,42,1387,430,230,991,1.1,844,2.4,Bundaberg
31902,42,1134,392,170,926,1.1,777,2.4,Burnett
31903,43,1351,413,220,947,1.1,806,2.4,Gympie - Cooloola
31904,45,1517,397,250,904,1.1,779,2.4,Hervey Bay
31905,44,1300,395,210,922,1.1,781,2.4,Maryborough
39797,46,0,660,0,0,0.0,0,0.0,Migratory - Offshore - Shipping (Qld)
39999,44,0,379,0,0,0.0,0,0.0,Special Purpose Codes SA3 (Qld)
40303,41,1733,636,265,1816,1.1,1381,2.5,Mitcham
40304,38,1473,543,250,1314,1.1,1083,2.5,Onkaparinga
40401,41,1690,521,232,1339,1.1,1015,2.4,Charles Sturt
40402,39,1517,482,210,1221,1.1,944,2.3,Port Adelaide - West
40403,38,1700,552,250,1372,1.1,1023,2.3,West Torrens
31102,34,1733,529,300,1218,1.1,1069,2.7,Beenleigh
31103,31,1739,589,320,1367,1.1,1305,3.0,Browns Plains
31104,35,2067,637,360,1618,1.1,1594,3.2,Jimboomba
31105,34,1900,607,325,1485,1.1,1354,2.8,Loganlea - Carbrook
31106,33,1700,542,280,1287,1.1,1142,2.8,Springwood - Kingston
31201,33,1733,773,78,2219,1.1,1879,2.7,Bowen Basin - North
31202,36,2167,704,315,1820,1.1,1579,2.7,Mackay
31203,37,1900,659,290,1405,1.1,1184,2.4,Whitsunday
31301,51,1733,421,280,949,1.1,801,2.2,Bribie - Beachmere
31302,33,1733,511,290,1190,1.1,1067,2.8,Caboolture
31303,40,1647,475,260,1126,1.1,965,2.6,Caboolture Hinterland
31304,35,1907,565,300,1405,1.1,1266,2.9,Narangba - Burpengary
31305,42,1750,520,280,1256,1.1,968,2.3,Redcliffe
40103,44,2000,715,290,2122,1.1,1472,2.4,Burnside
40104,41,1600,518,260,1369,1.1,1073,2.5,Campbelltown (SA)
40105,39,1800,601,260,1677,1.1,1132,2.2,Norwood - Payneham - St Peters
40504,50,1083,396,160,908,1.1,734,2.2,Yorke Peninsula
40106,38,1800,670,260,1890,1.1,1363,2.4,Prospect - Walkerville
40107,39,1950,722,280,2064,1.1,1428,2.3,Unley
40201,39,1517,539,225,1370,1.1,1105,2.6,Gawler - Two Wells
40202,33,1300,454,200,1062,1.1,891,2.6,Playford
40203,36,1603,488,230,1216,1.1,966,2.4,Port Adelaide - East
40204,35,1413,504,240,1198,1.1,1030,2.6,Salisbury
40205,40,1517,593,260,1503,1.0,1247,2.6,Tea Tree Gully
40601,39,1300,503,150,1224,1.1,933,2.3,Eyre Peninsula and South West
40602,36,1300,596,135,1397,1.1,1171,2.5,Outback - North and East
40701,50,1300,441,200,974,1.1,812,2.2,Fleurieu - Kangaroo Island
40702,40,1148,517,150,1191,1.1,937,2.4,Limestone Coast
40703,42,1083,445,150,1009,1.1,814,2.3,Murray and Mallee
49797,36,0,966,27,0,0.0,0,0.0,Migratory - Offshore - Shipping (SA)
49999,39,0,368,0,0,0.0,0,0.0,Special Purpose Codes SA3 (SA)
50101,39,1820,566,270,1334,1.1,1087,2.5,Augusta - Margaret River - Busselton
50102,37,1733,597,255,1615,1.1,1343,2.6,Bunbury
50103,44,1304,486,150,1149,1.1,914,2.4,Manjimup
50201,42,1950,492,270,1262,1.0,992,2.4,Mandurah
50301,40,2817,818,400,2726,1.1,2111,2.6,Cottesloe - Claremont
50302,34,2273,894,350,2419,1.1,1702,2.1,Perth City
50401,37,1950,655,300,1622,1.1,1288,2.4,Bayswater - Bassendean
50402,40,1800,633,300,1733,1.1,1468,2.7,Mundaring
50403,34,1950,658,320,1660,1.1,1457,2.8,Swan
50501,38,2000,718,370,2036,1.0,1780,2.8,Joondalup
50502,36,2000,682,310,1755,1.1,1345,2.4,Stirling
50503,32,2102,656,350,1690,1.1,1514,2.9,Wanneroo
50704,40,2120,695,350,2141,1.0,1634,2.6,Melville
50705,34,2000,620,300,1656,1.0,1410,2.7,Rockingham
50801,38,1517,593,190,1421,1.1,1156,2.5,Esperance
50802,38,1625,630,163,1436,1.2,1167,2.4,Gascoyne
50803,31,1803,896,200,2146,1.1,1872,2.7,Goldfields
50804,30,2383,667,125,1498,1.3,1437,2.9,Kimberley
50805,38,1560,599,200,1384,1.1,1128,2.5,Mid West
50806,32,2492,1632,89,2902,1.2,2788,2.9,Pilbara
50901,41,1400,514,190,1201,1.1,961,2.4,Albany
50902,42,1300,531,137,1247,1.1,991,2.4,Wheat Belt - North
50903,41,1092,550,125,1211,1.1,962,2.4,Wheat Belt - South
59999,40,0,491,0,0,0.0,0,0.0,Special Purpose Codes SA3 (WA)
60101,33,1300,491,185,1105,1.1,971,2.7,Brighton
60102,41,1500,577,236,1394,1.1,1113,2.4,Hobart - North East
60103,39,1300,478,210,1113,1.1,864,2.3,Hobart - North West
40301,45,1900,648,270,1738,1.1,1163,2.1,Holdfast Bay
40302,39,1601,553,245,1421,1.1,1064,2.3,Marion
