sa3_name16,sa3_code16,count_home_census_nt_0_14_yr,count_hom_census_nt_15_24_yr,count_hom_census_nt_25_34_yr,count_hom_census_nt_35_44_yr,count_hom_census_nt_45_54_yr,count_hom_census_nt_55_64_yr,count_hom_census_nt_65_74_yr,count_hom_census_nt_75_84_yr,count_hom_census_nt_85ov,counted_home_census_night_tot,vis_same_sa2_0_14_yr,vis_same_sa2_15_24_yr,vis_same_sa2_25_34_yr,vis_same_sa2_35_44_yr,vis_same_sa2_45_54_yr,vis_same_sa2_55_64_yr,vis_same_sa2_65_74_yr,vis_same_sa2_75_84_yr,vis_same_sa2_85ov,vis_same_sa2_total,vis_diff_sa2_nsw_0_14_yr,vis_diff_sa2_nsw_15_24_yr,vis_diff_sa2_nsw_25_34_yr,vis_diff_sa2_nsw_35_44_yr,vis_diff_sa2_nsw_45_54_yr,vis_diff_sa2_nsw_55_64_yr,vis_diff_sa2_nsw_65_74_yr,vis_diff_sa2_nsw_75_84_yr,vis_diff_sa2_nsw_85ov,vis_diff_sa2_nsw_total,vis_diff_sa2_vic_0_14_yr,vis_diff_sa2_vic_15_24_yr,vis_diff_sa2_vic_25_34_yr,vis_diff_sa2_vic_35_44_yr,vis_diff_sa2_vic_45_54_yr,vis_diff_sa2_vic_55_64_yr,vis_diff_sa2_vic_65_74_yr,vis_diff_sa2_vic_75_84_yr,vis_diff_sa2_vic_85ov,vis_diff_sa2_vic_total,vis_diff_sa2_qld_0_14_yr,vis_diff_sa2_qld_15_24_yr,vis_diff_sa2_qld_25_34_yr,vis_diff_sa2_qld_35_44_yr,vis_diff_sa2_qld_45_54_yr,vis_diff_sa2_qld_55_64_yr,vis_diff_sa2_qld_65_74_yr,vis_diff_sa2_qld_75_84_yr,vis_diff_sa2_qld_85ov,vis_diff_sa2_qld_total,vis_diff_sa2_sa_0_14_yr,vis_diff_sa2_sa_15_24_yr,vis_diff_sa2_sa_25_34_yr,vis_diff_sa2_sa_35_44_yr,vis_diff_sa2_sa_45_54_yr,vis_diff_sa2_sa_55_64_yr,vis_diff_sa2_sa_65_74_yr,vis_diff_sa2_sa_75_84_yr,vis_diff_sa2_sa_85ov,vis_diff_sa2_sa_total,vis_diff_sa2_wa_0_14_yr,vis_diff_sa2_wa_15_24_yr,vis_diff_sa2_wa_25_34_yr,vis_diff_sa2_wa_35_44_yr,vis_diff_sa2_wa_45_54_yr,vis_diff_sa2_wa_55_64_yr,vis_diff_sa2_wa_65_74_yr,vis_diff_sa2_wa_75_84_yr,vis_diff_sa2_wa_85ov,vis_diff_sa2_wa_total,vis_diff_sa2_tas_0_14_yr,vis_diff_sa2_tas_15_24_yr,vis_diff_sa2_tas_25_34_yr,vis_diff_sa2_tas_35_44_yr,vis_diff_sa2_tas_45_54_yr,vis_diff_sa2_tas_55_64_yr,vis_diff_sa2_tas_65_74_yr,vis_diff_sa2_tas_75_84_yr,vis_diff_sa2_tas_85ov,vis_diff_sa2_tas_total,vis_diff_sa2_nt_0_14_yr,vis_diff_sa2_nt_15_24_yr,vis_diff_sa2_nt_25_34_yr,vis_diff_sa2_nt_35_44_yr,vis_diff_sa2_nt_45_54_yr,vis_diff_sa2_nt_55_64_yr,vis_diff_sa2_nt_65_74_yr,vis_diff_sa2_nt_75_84_yr,vis_diff_sa2_nt_85ov,vis_diff_sa2_nt_total,vis_diff_sa2_act_0_14_yr,vis_diff_sa2_act_15_24_yr,vis_diff_sa2_act_25_34_yr,vis_diff_sa2_act_35_44_yr,vis_diff_sa2_act_45_54_yr,vis_diff_sa2_act_55_64_yr,vis_diff_sa2_act_65_74_yr,vis_diff_sa2_act_75_84_yr,vis_diff_sa2_act_85ov,vis_diff_sa2_act_total,vis_diff_sa2_ot_0_14_yr,vis_diff_sa2_ot_15_24_yr,vis_diff_sa2_ot_25_34_yr,vis_diff_sa2_ot_35_44_yr,vis_diff_sa2_ot_45_54_yr,vis_diff_sa2_ot_55_64_yr,vis_diff_sa2_ot_65_74_yr,vis_diff_sa2_ot_75_84_yr,vis_diff_sa2_ot_85ov,vis_diff_sa2_ot_total,vis_diff_sa2_tot_0_14_yr,vis_diff_sa2_tot_15_24_yr,vis_diff_sa2_tot_25_34_yr,vis_diff_sa2_tot_35_44_yr,vis_diff_sa2_tot_45_54_yr,vis_diff_sa2_tot_55_64_yr,vis_diff_sa2_tot_65_74_yr,vis_diff_sa2_tot_75_84_yr,vis_diff_sa2_tot_85ov,vis_diff_sa2_tot_total,tot_visitrs_0_14_yr,tot_visitrs_15_24_yr,tot_visitrs_25_34_yr,tot_visitrs_35_44_yr,tot_visitrs_45_54_yr,tot_visitrs_55_64_yr,tot_visitrs_65_74_yr,tot_visitrs_75_84_yr,tot_visitrs_85ov,tot_visitrs_total,os_vis_0_14_yr,os_vis_15_24_yr,os_vis_25_34_yr,os_vis_35_44_yr,os_vis_45_54_yr,os_vis_55_64_yr,os_vis_65_74_yr,os_vis_75_84_yr,os_vis_85_yr_over,os_vis_tot,total_0_14_yr,total_15_24_yr,total_25_34_yr,total_35_44_yr,total_45_54_yr,total_55_64_yr,total_65_74_yr,total_75_84_yr,total_85ov,total_total
Lord Howe Island,10803,50,19,36,52,42,52,28,19,6,312,0,0,0,0,0,0,0,0,0,0,0,9,5,9,17,23,11,0,0,76,0,0,0,0,9,4,10,0,0,26,0,0,3,0,3,8,9,0,0,20,0,0,0,0,0,4,3,0,0,8,0,0,0,0,3,0,3,0,0,8,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,3,10,8,7,30,48,43,3,0,154,3,10,8,7,30,48,43,3,0,154,0,3,4,0,0,3,0,3,0,15,53,32,52,68,73,100,65,25,8,474
Port Macquarie,10804,12757,6988,6206,7721,9616,10437,10773,6619,2861,73983,17,27,9,5,15,15,23,13,0,128,280,410,441,308,433,529,639,330,123,3495,25,19,20,35,37,106,218,89,13,561,39,38,47,37,56,72,53,19,7,369,0,0,3,6,8,6,27,12,0,66,0,0,4,0,14,10,12,8,0,48,0,0,0,3,4,29,26,10,0,72,0,4,8,3,0,3,0,0,0,22,6,0,10,7,11,17,47,15,0,110,0,0,0,0,0,0,0,0,0,0,353,480,530,403,556,766,1021,472,147,4735,363,509,539,404,574,780,1044,493,151,4865,34,65,46,22,45,52,42,19,7,341,13160,7561,6795,8154,10233,11268,11858,7135,3016,79182
Taree - Gloucester,10805,8757,4876,4022,4845,6595,8087,7755,4073,1651,50655,14,17,10,4,15,11,11,9,7,95,227,362,297,200,249,366,377,149,83,2299,16,3,17,9,11,31,27,7,0,119,12,14,25,21,19,37,18,10,0,159,0,0,0,0,3,3,3,9,0,14,3,0,4,0,0,6,4,3,0,23,0,0,0,0,0,7,3,3,0,15,0,0,0,0,4,3,0,0,0,12,0,3,3,3,0,4,0,4,0,17,0,0,0,0,0,0,0,0,0,0,257,387,343,237,291,454,436,180,83,2661,271,400,348,243,302,461,446,190,87,2758,19,50,22,16,23,15,16,11,3,185,9043,5328,4398,5108,6927,8565,8212,4276,1741,53592
Albury,10901,11456,7214,6827,6920,7438,7375,5528,3150,1489,57408,23,7,11,15,15,6,6,19,4,103,235,380,287,192,203,225,169,107,59,1858,56,190,194,144,180,159,133,37,14,1111,0,10,19,4,21,25,13,3,0,100,0,3,5,12,17,16,8,0,0,57,4,12,21,9,10,10,15,4,0,86,4,8,0,0,4,7,5,3,0,30,0,3,0,0,0,0,0,0,0,4,3,15,9,8,10,8,0,0,0,55,0,0,0,0,0,0,0,0,0,0,302,618,548,369,444,448,346,158,79,3301,321,629,555,383,460,453,356,174,84,3403,20,46,37,32,31,51,22,7,0,253,11804,7894,7424,7332,7933,7885,5904,3324,1569,61063
Lower Murray,10902,2295,1204,1161,1250,1660,1763,1332,746,230,11638,8,0,4,3,11,3,6,3,0,33,33,75,83,67,77,104,87,28,13,564,26,74,94,63,121,108,108,38,0,639,5,4,12,10,17,22,15,0,0,83,3,11,23,17,15,53,69,23,3,215,0,0,9,0,11,4,5,0,0,33,0,0,0,0,0,3,3,0,0,6,0,3,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,72,171,227,165,234,301,293,84,17,1562,80,172,232,169,244,299,293,87,14,1595,8,50,42,6,8,10,9,0,0,136,2380,1432,1433,1424,1914,2073,1632,841,242,13374
Upper Murray exc. Albury,10903,7045,3655,3538,4033,4842,5950,5354,3182,1291,38883,6,19,12,6,8,15,14,9,4,98,100,121,111,74,137,173,104,50,31,901,91,142,153,120,202,290,301,129,25,1459,10,8,6,12,9,28,17,3,0,96,8,0,0,10,5,25,41,13,0,94,3,6,10,0,7,4,8,3,0,44,0,6,5,4,5,9,9,0,0,32,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,210,277,287,228,355,538,486,199,57,2636,220,298,300,232,363,550,499,208,62,2734,11,38,47,13,9,17,13,9,0,154,7272,3986,3881,4284,5216,6512,5869,3396,1354,41766
Armidale,11001,6547,5449,3787,3729,4474,4378,3447,1877,773,34463,29,37,24,6,17,5,3,5,3,125,141,875,262,168,166,207,157,78,32,2074,4,25,17,10,12,27,36,8,0,137,8,80,38,22,32,36,42,9,0,268,7,16,11,0,3,3,11,4,0,47,0,0,0,4,3,3,5,0,0,16,0,0,3,3,3,0,9,4,0,23,3,0,0,3,3,0,0,0,0,7,0,11,4,7,0,0,5,3,0,32,0,0,0,0,0,0,0,0,0,0,158,1003,330,219,220,274,259,100,35,2603,184,1039,354,227,235,279,266,106,38,2729,33,104,79,43,36,31,18,0,0,344,6767,6590,4220,4001,4749,4680,3735,1981,808,37538
Inverell - Tenterfield,11002,6742,3566,3203,3760,4554,5382,4890,2735,986,35822,21,14,12,15,6,11,15,3,5,98,177,211,191,154,186,235,233,113,43,1536,4,3,4,4,6,34,45,16,0,117,56,52,74,37,88,97,78,15,5,500,0,0,0,0,7,17,13,5,0,37,0,0,4,0,3,11,0,0,0,19,0,0,0,4,4,11,7,3,0,29,0,0,0,0,0,0,0,0,0,4,8,0,4,4,3,3,0,3,0,24,0,0,0,0,0,0,0,0,0,0,241,264,280,205,290,403,372,160,54,2268,266,273,293,219,297,414,392,159,60,2367,16,70,31,20,5,21,16,4,0,188,7029,3916,3523,4005,4864,5815,5291,2903,1043,38376
Moree - Narrabri,11003,5317,2498,2886,2927,3302,3123,2246,1207,373,23880,29,15,7,8,16,10,4,4,0,86,114,207,234,160,215,223,233,103,16,1496,0,9,12,9,13,31,91,42,3,215,31,41,43,63,57,75,62,13,0,386,0,0,3,3,4,16,23,12,0,65,0,5,0,3,4,3,9,3,0,26,0,5,3,0,0,5,26,10,0,51,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,3,0,16,0,0,0,0,0,0,0,0,0,0,148,269,295,242,292,365,455,183,20,2264,177,281,301,248,306,368,455,184,20,2351,11,32,30,4,8,20,7,0,0,109,5499,2808,3217,3183,3618,3514,2715,1392,392,26338
Tamworth - Gunnedah,11004,15702,8474,8933,8801,9753,9823,7730,4690,1877,75773,23,25,18,11,16,17,12,10,5,143,516,621,582,395,441,473,381,202,63,3672,3,8,27,7,21,49,54,13,0,181,31,35,53,54,60,64,58,12,0,360,0,0,13,3,15,16,18,3,0,66,0,3,0,0,5,7,5,3,0,34,0,0,3,0,5,7,4,0,0,25,4,3,5,0,6,0,0,0,0,15,0,0,4,0,0,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,557,676,684,465,539,616,527,238,60,4368,577,702,705,470,554,636,538,247,67,4514,25,74,115,26,26,22,19,12,0,312,16304,9248,9750,9297,10328,10490,8288,4944,1945,80598
Lake Macquarie - East,11101,21371,13317,12363,13856,15424,14874,12284,7288,3141,113920,22,25,14,16,19,18,13,15,7,151,446,574,577,411,370,364,318,199,120,3366,3,4,12,13,10,14,9,3,0,80,6,11,13,16,26,41,28,15,0,159,0,0,3,0,0,9,4,0,0,22,0,3,0,0,6,8,3,3,3,32,0,0,0,0,0,0,6,4,0,13,0,0,3,0,0,0,0,0,0,4,4,6,3,3,0,4,3,3,0,29,0,0,0,0,0,0,0,0,0,0,466,596,620,446,408,439,368,225,125,3709,490,622,633,461,428,460,385,238,128,3859,42,61,59,34,40,44,30,11,9,328,21908,14004,13060,14354,15893,15373,12706,7543,3280,118107
Lake Macquarie - West,11102,13317,8287,7811,8394,9085,9413,8126,4557,2186,71174,15,20,9,8,7,10,14,7,8,93,248,450,345,223,218,230,184,107,66,2061,4,10,8,0,3,13,3,7,0,56,12,36,11,20,20,17,17,4,0,133,3,8,3,3,0,0,3,0,0,18,3,7,4,3,0,3,6,4,0,30,0,4,0,0,0,3,3,0,0,12,0,0,3,0,0,4,0,0,0,7,0,0,3,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,270,523,379,254,248,263,216,117,66,2335,280,536,387,257,253,277,234,129,74,2423,21,35,24,23,24,33,22,7,4,196,13616,8861,8219,8673,9360,9718,8384,4693,2266,73794
Newcastle,11103,27056,21942,23112,19944,19660,18110,13381,7885,4112,155198,26,44,30,26,16,18,21,20,8,203,606,1271,1124,821,803,772,560,357,212,6526,0,21,34,55,62,41,23,3,0,233,17,37,49,55,74,64,40,8,3,353,3,3,8,10,15,17,15,3,0,79,3,11,12,23,12,17,11,3,0,96,0,3,0,3,4,12,14,6,0,42,0,3,6,0,4,3,0,0,0,19,0,8,5,3,8,21,12,0,0,58,0,0,0,0,0,0,0,0,0,0,635,1356,1249,962,980,957,676,389,212,7409,657,1401,1278,984,1000,977,697,405,221,7615,69,568,215,91,101,149,65,17,10,1284,27779,23912,24606,21014,20761,19232,14141,8308,4337,164099
Richmond Valley - Coastal,11201,12644,6763,6778,9089,10663,11823,8879,4635,2467,73736,12,17,26,11,19,19,11,17,3,134,274,338,452,371,423,616,575,210,105,3365,75,50,77,101,68,234,394,150,20,1179,77,113,186,137,129,228,187,37,8,1097,13,4,16,5,25,40,74,14,5,192,7,11,14,11,9,19,15,3,0,89,0,5,4,8,15,32,50,17,0,132,0,3,0,3,0,3,4,0,0,12,3,6,4,9,4,21,21,10,0,74,0,0,0,0,0,0,0,0,0,0,444,522,752,634,679,1192,1320,443,146,6145,463,539,778,649,698,1210,1336,460,151,6279,72,360,258,78,82,71,56,23,6,1000,13174,7666,7818,9815,11439,13101,10272,5118,2617,81015
Richmond Valley - Hinterland,11202,12402,7671,6190,7526,9318,10358,7247,3946,1777,66431,38,25,15,14,20,23,20,8,8,171,282,436,357,263,278,348,267,153,83,2467,8,14,22,13,16,27,26,9,3,148,41,95,128,70,88,93,41,17,4,581,0,9,5,0,3,3,14,3,3,40,0,3,3,0,6,9,3,0,0,23,0,3,0,0,3,10,11,7,0,29,3,4,3,3,0,0,0,0,0,15,0,0,0,0,3,6,4,3,0,9,0,0,0,0,0,0,0,0,0,0,342,558,521,357,401,496,372,183,93,3316,382,584,536,374,412,513,388,193,93,3486,27,96,79,20,32,27,16,4,5,317,12810,8357,6805,7917,9769,10894,7658,4142,1876,70229
Tweed Valley,11203,14946,8428,7673,9762,11312,12723,11274,7169,3407,86688,27,11,15,3,18,26,22,16,8,147,241,322,330,282,337,482,608,307,102,3010,34,14,44,42,84,182,507,241,38,1189,163,264,211,200,257,326,275,93,21,1807,11,3,3,11,16,35,100,61,8,248,3,9,5,7,7,14,17,9,0,73,3,0,3,3,12,29,58,36,11,166,3,3,6,3,0,3,3,0,0,22,3,3,5,3,9,17,27,8,5,80,0,0,0,0,0,0,0,0,0,0,454,621,612,552,725,1094,1600,756,188,6596,478,634,625,556,735,1118,1621,766,195,6737,45,91,106,61,49,92,94,63,11,603,15466,9154,8402,10381,12098,13932,12989,7999,3612,94033
Griffith - Murrumbidgee (West),11301,9647,5408,5568,5361,6030,5667,3945,2623,1152,45408,5,27,23,11,11,18,10,10,4,115,251,342,330,164,194,211,132,98,46,1761,9,35,36,29,49,53,51,20,5,299,10,6,16,12,30,26,24,3,0,129,4,5,13,4,7,21,23,0,0,77,0,0,4,0,0,0,8,0,0,11,4,0,0,0,3,7,12,3,0,28,6,0,4,3,0,0,0,0,0,11,0,3,9,8,11,3,3,0,0,42,0,0,0,0,0,0,0,0,0,0,286,406,422,228,286,318,250,125,52,2368,292,427,439,235,300,333,258,141,54,2476,23,223,171,18,38,54,18,3,3,550,9956,6061,6177,5615,6371,6061,4222,2762,1210,48431
Tumut - Tumbarumba,11302,2552,1277,1352,1546,1827,1984,1600,906,405,13454,4,0,0,0,0,8,5,4,4,29,71,84,69,76,72,82,50,19,16,537,10,8,10,12,19,7,5,4,0,87,14,10,6,18,20,12,0,0,0,80,0,3,0,0,0,0,0,0,0,7,0,0,3,0,0,3,0,0,0,10,3,0,3,0,3,5,0,0,0,16,0,0,3,0,0,0,0,0,0,3,3,10,7,5,13,12,3,0,0,47,0,0,0,0,0,0,0,0,0,0,97,114,101,113,130,121,64,24,15,781,107,117,102,112,136,121,68,28,18,804,3,21,6,4,4,3,3,0,0,47,2659,1413,1467,1662,1960,2117,1671,934,420,14307
Wagga Wagga,11303,18049,11562,10897,10373,10962,10815,8088,4851,2156,87757,24,32,21,13,21,18,11,11,10,155,328,1342,628,383,337,376,297,155,110,3962,16,260,103,66,70,58,71,21,5,665,21,222,104,50,22,43,21,13,0,501,3,47,36,11,11,9,7,0,0,134,7,36,16,10,4,10,8,3,0,96,3,30,6,4,6,11,6,3,0,73,0,17,7,3,8,0,0,0,0,39,7,49,30,19,25,17,16,0,0,163,0,0,0,0,0,0,0,0,0,0,384,2008,935,550,488,528,430,189,113,5628,403,2040,957,562,508,544,435,202,131,5788,38,71,88,27,18,45,23,11,3,322,18489,13677,11947,10961,11487,11404,8552,5067,2289,93867
Shoalhaven,11401,15778,9127,8545,9431,11508,14033,13633,7646,2995,92695,26,30,20,13,26,19,19,8,12,166,435,631,554,464,498,632,530,226,127,4106,14,17,34,27,41,51,56,28,0,266,30,32,30,22,28,40,25,0,0,202,3,3,4,5,8,6,7,0,0,33,0,3,17,14,9,9,0,4,0,67,0,0,0,0,7,22,19,3,0,52,8,3,0,3,0,0,0,0,0,15,16,15,18,18,33,66,34,10,3,211,0,0,0,0,0,0,0,0,0,0,502,697,669,554,623,818,675,281,132,4950,527,725,683,568,649,835,699,291,141,5113,56,80,40,43,50,43,36,11,4,367,16353,9939,9273,10048,12206,14904,14375,7945,3138,98175
Southern Highlands,11402,8199,4569,3712,4836,6117,6202,6605,3622,1375,45238,11,11,9,7,9,12,15,10,3,72,181,250,225,171,197,243,203,109,53,1630,4,3,16,12,8,16,30,11,0,96,4,4,16,9,12,14,16,0,0,78,0,0,4,0,0,5,0,4,0,11,4,3,4,0,3,3,0,3,0,20,0,0,0,0,3,3,0,4,0,14,0,0,0,0,0,0,0,0,0,6,0,7,4,5,9,11,7,4,0,39,0,0,0,0,0,0,0,0,0,0,197,266,270,194,235,292,250,129,57,1896,207,280,278,204,244,295,263,141,59,1972,33,39,31,18,30,30,18,10,4,208,8438,4886,4024,5060,6385,6531,6884,3776,1442,47415
Baulkham Hills,11501,28658,18847,13978,20083,20312,17282,12239,5681,2800,139864,13,8,3,4,8,3,3,4,3,53,262,365,445,245,275,225,258,181,90,2343,6,10,51,27,36,30,13,3,5,182,10,5,21,31,25,37,33,3,0,171,3,0,13,3,4,10,7,0,0,41,7,3,3,9,8,3,6,3,0,39,0,3,0,0,4,5,7,4,0,17,0,0,0,0,3,0,0,0,0,7,0,5,7,3,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,281,395,538,321,358,310,324,195,98,2817,293,402,535,327,362,310,331,198,101,2867,167,225,165,181,245,584,437,91,8,2099,29120,19473,14680,20589,20919,18171,13004,5970,2907,144831
Dural - Wisemans Ferry,11502,4881,3516,2076,2915,3988,3287,2689,1317,579,25250,3,6,6,3,4,8,12,4,3,49,59,103,111,59,69,71,67,29,22,579,0,0,0,13,7,0,7,0,0,31,0,4,3,8,5,6,8,0,0,30,0,0,0,0,0,7,0,0,0,9,0,0,0,0,3,0,0,0,0,6,0,0,0,0,9,5,3,3,0,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,57,107,117,78,92,89,81,30,17,675,63,116,129,84,95,91,95,39,21,725,22,25,25,18,19,37,20,6,0,168,4967,3657,2223,3012,4098,3414,2799,1358,600,26134
Hawkesbury,11503,4797,3156,2369,2966,3877,3199,2207,793,234,23587,3,6,0,0,5,3,4,0,3,29,82,79,92,55,45,66,68,29,9,522,0,0,4,0,3,3,3,0,0,15,4,10,5,4,3,11,4,0,0,42,0,0,0,0,0,0,3,0,0,3,0,0,5,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,86,85,107,64,53,80,81,33,9,601,91,88,107,64,59,84,80,35,14,627,14,19,4,11,6,8,3,3,0,76,4896,3264,2485,3035,3940,3293,2289,829,251,24285
Rouse Hill - McGraths Hill,11504,8037,4375,3565,5388,4735,3157,2022,754,214,32242,0,0,0,0,3,0,0,3,0,10,34,77,97,42,67,53,56,35,17,474,0,3,4,3,3,3,10,3,0,28,0,3,5,4,4,3,7,0,0,33,0,0,0,0,3,0,0,0,0,3,0,0,3,3,3,5,0,0,0,12,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,12,0,0,0,0,0,0,0,0,0,0,35,85,113,49,81,65,80,39,17,563,35,82,113,54,85,65,81,40,17,567,18,29,28,21,19,94,47,9,3,269,8086,4485,3702,5465,4836,3319,2145,811,236,33080
Blacktown,11601,27069,16940,21376,19254,15943,14404,9486,4741,1912,131118,13,31,28,27,20,20,14,11,0,162,314,407,516,351,286,244,183,117,72,2477,10,3,13,14,9,9,10,4,0,62,3,3,8,14,9,18,17,0,0,78,3,4,7,3,0,3,3,0,0,26,4,5,6,7,3,0,0,0,0,22,0,0,3,0,0,0,10,0,0,11,0,3,0,0,0,0,0,0,0,7,0,3,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,335,426,552,383,314,275,217,121,69,2697,351,455,580,409,331,295,237,137,72,2864,102,134,173,86,202,510,292,60,3,1563,27513,17529,22128,19756,16482,15214,10010,4933,1984,135548
Blacktown - North,11602,22598,11591,13611,16836,11698,7885,4517,1611,463,90810,9,9,20,11,7,7,0,4,0,64,164,196,244,154,113,126,121,71,21,1208,0,0,5,4,6,3,0,3,0,29,3,8,6,7,16,7,12,3,0,64,0,3,3,3,0,3,0,3,0,15,0,3,3,0,3,3,4,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,4,0,3,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,167,209,269,170,133,150,141,79,21,1345,182,214,287,185,138,157,142,83,21,1413,44,110,73,45,132,370,317,74,13,1168,22822,11917,13965,17063,11974,8412,4983,1770,494,93395
Mount Druitt,11603,26481,16450,16046,14594,13681,10729,6963,2989,1048,108976,66,37,30,29,24,20,17,6,3,223,440,481,539,333,282,179,151,85,37,2538,3,5,20,22,54,20,9,0,0,131,13,17,32,48,18,17,9,3,0,152,3,4,6,3,14,7,0,0,0,41,3,0,16,9,8,3,5,0,0,41,0,0,0,0,5,0,4,0,0,19,0,0,0,0,0,0,0,0,0,0,3,8,11,10,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,3,465,512,617,417,399,219,181,96,37,2945,533,550,651,453,416,236,197,99,37,3173,71,100,131,119,132,307,194,47,7,1096,27082,17103,16822,15166,14231,11272,7351,3131,1095,113243
Botany,11701,7778,6201,8403,6922,5716,4293,3170,2000,732,45207,11,6,10,8,5,6,3,3,0,59,122,160,324,213,261,216,186,63,14,1563,6,10,48,52,74,48,12,4,0,251,0,18,41,49,50,36,18,0,0,227,0,7,8,11,29,11,4,0,0,75,3,6,16,42,32,19,3,0,0,120,4,0,7,8,13,10,5,0,0,50,0,0,5,3,3,0,3,0,0,17,0,13,12,22,14,11,17,0,0,89,0,0,0,0,0,0,0,0,0,0,138,226,460,401,489,350,251,69,18,2402,151,231,471,408,491,355,258,72,16,2462,59,284,285,270,176,226,117,31,5,1457,7988,6718,9155,7609,6379,4868,3541,2104,758,49125
Sydney Inner City,11703,14334,36175,67511,33670,21071,15670,9904,4614,1694,204645,7,144,74,26,29,14,13,9,7,331,402,2557,3328,1969,2066,1654,1082,501,219,13788,51,316,993,1349,1418,715,220,46,10,5114,108,373,724,709,884,562,254,72,4,3690,16,82,188,194,228,180,127,35,0,1055,123,173,298,305,352,207,88,30,0,1583,0,13,48,51,71,81,49,9,0,319,3,34,35,21,35,22,5,0,0,156,19,96,184,176,187,102,65,23,3,851,0,3,0,0,4,0,0,0,0,3,722,3650,5803,4775,5231,3521,1890,716,240,26555,730,3797,5877,4796,5262,3537,1904,730,244,26883,1482,6796,5569,3147,3553,2155,950,222,38,23918,16548,46768,78953,41619,29888,21358,12763,5567,1972,255448
Marrickville - Sydenham - Petersham,11702,7498,5732,11994,9171,6964,5001,3247,1987,801,52397,3,4,8,15,5,7,0,3,0,48,107,201,321,190,152,142,88,51,33,1281,0,9,21,16,9,0,3,3,0,68,0,14,11,23,13,4,8,0,0,81,0,0,0,0,0,0,3,0,0,8,0,0,3,7,0,10,5,0,0,25,0,4,4,3,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,0,3,4,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,112,228,364,232,183,161,113,62,35,1490,113,232,371,249,194,171,116,63,37,1536,47,139,157,54,68,82,30,10,3,590,7655,6098,12529,9475,7224,5249,3397,2056,839,54533
Eastern Suburbs - North,11801,19266,11477,25228,19749,15194,11439,9837,5466,3001,120656,11,16,19,9,12,4,4,10,3,93,380,555,779,448,410,379,312,193,112,3575,12,30,80,65,51,27,52,8,0,322,11,30,58,48,58,40,34,13,7,298,9,7,16,17,15,16,15,7,0,98,3,10,37,20,22,26,18,3,3,140,0,8,3,0,0,5,18,3,3,41,0,4,3,8,0,0,0,0,0,19,5,11,16,16,20,19,19,11,0,117,0,0,0,0,0,0,0,0,0,0,418,658,990,619,573,515,469,246,123,4613,431,673,1013,632,581,521,473,253,129,4706,172,773,826,320,294,241,173,59,12,2866,19872,12920,27066,20697,16072,12197,10480,5778,3140,128225
Eastern Suburbs - South,11802,20469,22318,25306,20214,16425,12635,9356,5748,3008,135475,22,41,33,19,11,8,17,10,9,166,376,807,781,538,385,431,277,195,180,3963,7,27,50,20,67,37,23,13,0,246,6,49,29,41,38,54,34,6,0,265,4,14,13,14,14,8,9,4,0,79,0,5,25,6,11,20,13,4,0,86,0,13,0,4,0,8,5,0,0,29,0,3,3,3,3,6,0,0,0,14,3,42,16,8,10,19,5,4,0,109,0,0,0,0,0,0,0,0,0,0,391,965,922,637,529,576,368,225,184,4795,413,1002,948,652,536,585,383,238,194,4964,135,1703,573,231,277,359,172,40,12,3508,21021,25029,26831,21099,17235,13583,9915,6024,3215,143943
