SA3_MAIN11,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P,SA3_NAME11
40204,12082,24052,264,1532,1404,6745,578,2632,7895,30508,10141,41417,860,3648,1047,3548,3101,9945,5008,17141,15149,58558,125,570,507,1846,317,1094,3029,8143,3978,11653,292,967,571,1280,2208,4776,3071,7023,7049,18676,610,1293,34890,102579,Salisbury
40205,10466,20724,172,906,1134,5088,335,1464,5918,22715,7559,30173,711,2931,1108,3824,2475,7831,4294,14586,11853,44759,52,213,307,1027,129,403,1444,3703,1932,5346,200,634,465,1036,1371,2931,2036,4601,3968,9947,279,588,26566,76018,Tea Tree Gully
40302,9099,17967,126,696,852,3825,223,982,5076,19089,6277,24592,505,2088,941,3170,1714,5381,3160,10639,9437,35231,24,108,244,842,97,344,1362,3405,1727,4699,195,594,491,1077,1466,3071,2152,4742,3879,9441,463,955,22878,63594,Marion
40303,6606,13035,99,550,845,3800,134,587,4119,15793,5197,20730,474,1955,936,3227,1276,3919,2686,9101,7883,29831,23,90,164,519,42,129,649,1600,878,2338,133,406,337,751,747,1560,1217,2717,2095,5055,257,539,16841,48460,Mitcham
40304,17539,34676,312,1657,1925,8717,615,2743,10242,39566,13094,52683,1089,4464,1576,5296,3761,11779,6426,21539,19520,74222,97,423,595,2067,262,881,3538,9209,4492,12580,294,921,755,1638,2433,5146,3482,7705,7974,20285,536,1105,45569,130288,Onkaparinga
40401,10739,21311,128,705,1121,5108,259,1154,5717,21738,7225,28705,670,2821,1032,3574,2438,7753,4140,14148,11365,42853,57,260,304,1093,127,451,1703,4392,2191,6196,216,702,511,1154,1905,4081,2632,5937,4823,12133,568,1198,27495,77495,Charles Sturt
40402,5343,10641,87,459,596,2728,162,729,3042,11591,3887,15507,291,1190,507,1711,1174,3772,1972,6673,5859,22180,48,212,206,737,109,396,1255,3343,1618,4688,116,367,309,701,1160,2517,1585,3585,3203,8273,330,717,14735,41811,Port Adelaide - West
40403,6236,12363,68,380,520,2394,95,426,3369,12591,4052,15791,299,1236,498,1735,1019,3210,1816,6181,5868,21972,23,111,132,441,43,141,752,1884,950,2577,97,296,258,590,924,1968,1279,2854,2229,5431,471,970,14804,40736,West Torrens
40501,4180,8197,77,413,409,1857,122,555,2272,9007,2880,11832,198,801,304,979,729,2221,1231,4001,4111,15833,19,84,90,311,35,121,482,1266,626,1782,28,93,124,262,307,655,459,1010,1085,2792,75,146,9451,26968,Barossa
40502,2950,5769,42,225,264,1237,58,241,1277,5169,1641,6872,80,330,172,537,359,1097,611,1964,2252,8836,8,36,78,301,30,96,342,949,458,1382,15,33,57,127,207,429,279,589,737,1971,57,122,5996,16698,Lower North
40503,3472,6800,70,397,316,1446,103,455,1446,5809,1935,8107,101,410,214,667,429,1295,744,2372,2679,10479,15,70,101,333,42,152,562,1587,720,2142,33,106,106,219,325,674,464,999,1184,3141,80,166,7415,20586,Mid North
