sa3_name16,sa3_code16,vfdif_sa2_nt_indst_nsp,vfdif_sa2_nt_totm,vfdif_sa2_nt_totf,vfdif_sa2_nt_totp,vfdif_sa2_act_indig_m,vfdif_sa2_act_indig_f,vfdif_sa2_act_indig_p,vfdif_sa2_act_nonind_m,vfdif_sa2_act_nonind_f,vfdif_sa2_act_nonind_p,vfdif_sa2_act_indst_nsm,vfdif_sa2_act_indst_nsf,vfdif_sa2_act_indst_nsp,vfdif_sa2_act_totm,vfdif_sa2_act_totf,vfdif_sa2_act_totp,vfdif_sa2_ot_indig_m,vfdif_sa2_ot_indig_f,vfdif_sa2_ot_indig_p,vfdif_sa2_ot_nonind_m,vfdif_sa2_ot_nonind_f,vfdif_sa2_ot_nonind_p,vfdif_sa2_ot_indst_nsm,vfdif_sa2_ot_indst_nsf,vfdif_sa2_ot_indst_nsp,vfdif_sa2_ot_totm,vfdif_sa2_ot_totf,vfdif_sa2_ot_totp,vfdif_sa2_t_indig_m,vfdif_sa2_t_indig_f,vfdif_sa2_t_indig_p,vfdif_sa2_t_nonind_m,vfdif_sa2_t_nonind_f,vfdif_sa2_t_nonind_p,vfdif_sa2_t_indst_nsm,vfdif_sa2_t_indst_nsf,vfdif_sa2_t_indst_nsp,vfdif_sa2_t_totm,vfdif_sa2_t_totf,vfdif_sa2_t_totp,vis_tot_vis_indig_m,vis_tot_vis_indig_f,vis_tot_vis_indig_p,vis_tot_vis_nonind_m,vis_tot_vis_nonind_f,vis_tot_vis_nonind_p,vis_tot_vis_indigstat_nsm,vis_tot_vis_indigstat_nsf,vis_tot_vis_indigstat_nsp,vis_tot_visitors_totm,vis_tot_visitors_totf,vis_tot_visitors_totp,lsah_eng_onl_indig_m,lsah_eng_onl_indig_f,lsah_eng_onl_indig_p,lsah_eng_onl_nonind_m,lsah_eng_onl_nonind_f,lsah_eng_onl_nonind_p,lsah_eng_on_ind_sta_nsm,lsah_eng_on_ind_sta_nsf,lsah_eng_on_ind_sta_nsp,lsah_eng_only_totm,lsah_eng_only_totf,lsah_eng_only_totp,lsah_aus_ind_lang_ind_m,lsah_aus_ind_lang_ind_f,lsah_aus_ind_lang_ind_p,lsah_aus_ind_lan_no_ind_m,lsah_aus_ind_lan_no_ind_f,lsah_aus_ind_lan_no_ind_p,lsh_aus_ind_lan_indst_nsm,lsh_aus_ind_lan_indst_nsf,lsh_aus_ind_lan_indst_nsp,lsh_austn_indig_lang_totm,lsh_austn_indig_lang_totf,lsh_austn_indig_lang_totp,saindl_se_nw_na_in_m,saindl_se_nw_na_in_f,saindl_se_nw_na_in_p,saindl_se_nw_na_no_in_m,saindl_se_nw_na_no_in_f,saindl_se_nw_na_no_in_p,saindl_se_nw_na_in_st_nsm,saindl_se_nw_na_in_st_nsf,saindl_se_nw_na_in_st_nsp,saindl_se_nw_na_totm,saindl_se_nw_na_totf,saindl_se_nw_na_totp,saindl_se_vw_wel_in_m,saindl_se_vw_wel_in_f,saindl_se_vw_wel_in_p,saindl_se_vw_we_no_in_m,saindl_se_vw_we_no_in_f,saindl_se_vw_we_no_in_p,saindl_se_vw_we_i_st_nsm,saindl_se_vw_we_i_st_nsf,saindl_se_vw_we_i_st_nsp,saindl_se_vw_we_totm,saindl_se_vw_we_totf,saindl_se_vw_we_totp,auabrigtrrl_indig_m,auabrigtrrl_indig_f,auabrigtrrl_indig_p,auabrigtrrl_no_ind_m,auabrigtrrl_no_ind_f,auabrigtrrl_no_ind_p,auabrigtrrl_indst_nsm,auabrigtrrl_indst_nsf,auabrigtrrl_indst_nsp,auabrigtrrl_totm,auabrigtrrl_totf,auabrigtrrl_totp,apaei_0_4_ind_m,apaei_0_4_ind_f,apaei_0_4_ind_p,apaei_0_4_no_ind_m,apaei_0_4_no_ind_f,apaei_0_4_no_ind_p,apaei_0_4_in_st_nsm,apaei_0_4_in_st_nsf,apaei_0_4_in_st_nsp,apaei_0_4_totm,apaei_0_4_totf,apaei_0_4_totp,apaei_5_14_ind_m,apaei_5_14_ind_f,apaei_5_14_ind_p,apaei_5_14_no_in_m,apaei_5_14_no_in_f,apaei_5_14_no_in_p,apaei_5_14_in_st_nsm,apaei_5_14_in_st_nsf,apaei_5_14_in_st_nsp,apaei_5_14_totm,apaei_5_14_totf,apaei_5_14_totp,apaei_15_19_ind_m,apaei_15_19_ind_f,apaei_15_19_ind_p,apaei_15_19_no_in_m,apaei_15_19_no_in_f,apaei_15_19_no_in_p,apaei_15_19_i_st_nsm,apaei_15_19_i_st_nsf,apaei_15_19_i_st_nsp,apaei_15_19_totm,apaei_15_19_totf,apaei_15_19_totp,apaei_20_24_ind_m,apaei_20_24_ind_f,apaei_20_24_ind_p,apaei_20_24_no_ind_m,apaei_20_24_no_ind_f,apaei_20_24_no_ind_p,apaei_20_24_in_st_nsm,apaei_20_24_in_st_nsf,apaei_20_24_in_st_nsp,apaei_20_24_totm,apaei_20_24_totf,apaei_20_24_totp,apaei_25ov_ind_m,apaei_25ov_ind_f,apaei_25ov_ind_p,apaei_25ov_no_ind_m,apaei_25ov_no_ind_f,apaei_25ov_no_ind_p,apaei_25ov_in_st_nsm,apaei_25ov_in_st_nsf,apaei_25ov_in_st_nsp,apaei_25ov_totm,apaei_25ov_totf,apaei_25ov_totp,hysc_y12_e_ind_m,hysc_y12_e_ind_f,hysc_y12_e_ind_p,hysc_y12_e_no_in_m,hysc_y12_e_no_in_f,hysc_y12_e_no_in_p,hysc_y12_e_in_st_nsm,hysc_y12_e_in_st_nsf,hysc_y12_e_in_st_nsp,hysc_y12_e_totm,hysc_y12_e_totf,hysc_y12_e_totp,hysc_y11_e_ind_m,hysc_y11_e_ind_f,hysc_y11_e_ind_p,hysc_y11_e_no_in_m,hysc_y11_e_no_in_f,hysc_y11_e_no_in_p,hysc_y11_e_in_s_nsm,hysc_y11_e_in_s_nsf,hysc_y11_e_in_s_nsp,hysc_y11_e_totm,hysc_y11_e_totf,hysc_y11_e_totp,hysc_y10_e_ind_m,hysc_y10_e_ind_f,hysc_y10_e_ind_p,hysc_y10_e_no_in_m
Sandgate,30204,0,7,3,5,0,0,0,4,5,13,0,0,0,7,5,13,0,0,0,0,0,0,0,0,0,0,0,0,31,26,60,691,685,1369,49,45,100,768,761,1530,35,33,62,706,715,1425,50,46,103,797,797,1590,684,744,1423,21508,22816,44327,148,144,299,22337,23705,46042,16,19,33,0,0,0,0,0,0,18,19,36,9,4,12,0,0,0,0,0,0,9,4,12,15,14,27,0,0,0,0,0,0,14,14,25,12,8,23,0,0,0,0,0,0,12,9,23,8,12,22,337,282,616,0,0,5,353,293,644,145,164,313,3175,2995,6175,25,19,43,3344,3184,6531,58,57,119,1113,1106,2213,6,5,12,1185,1160,2344,7,14,25,495,599,1092,0,3,4,511,613,1122,23,39,65,790,1417,2214,5,4,10,825,1467,2287,207,237,444,12043,13296,25336,64,54,124,12318,13588,25907,59,51,110,1634,1475,3111,11,5,14,1702,1535,3237,134,144,281,4496
Carindale,30301,0,3,3,4,0,0,0,7,7,14,0,0,0,7,7,14,0,0,0,0,0,0,0,0,0,0,0,0,12,17,29,518,601,1119,31,31,63,565,643,1203,12,17,29,535,620,1157,34,29,64,582,669,1249,274,303,580,18593,19676,38274,78,126,207,18947,20111,39056,4,3,8,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,273,287,561,3,4,4,280,296,575,60,59,116,2903,2714,5611,15,25,38,2976,2787,5762,14,26,43,1260,1248,2506,12,4,20,1283,1279,2563,10,18,26,706,832,1539,0,3,4,713,855,1572,10,17,31,766,1103,1865,5,3,7,780,1122,1903,117,137,256,12920,13892,26809,33,42,71,13066,14071,27140,10,15,28,1162,1106,2266,8,6,14,1176,1131,2313,37,50,84,2662
Holland Park - Yeronga,30302,4,9,10,18,0,0,0,5,4,6,0,0,0,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,27,22,52,1335,1304,2635,227,272,500,1591,1596,3185,27,22,52,1352,1333,2685,232,274,504,1610,1620,3234,415,398,818,25450,26046,51500,138,141,286,26014,26591,52603,4,8,10,0,0,0,0,0,0,4,8,10,0,0,0,0,0,0,0,0,0,0,0,0,4,8,10,0,0,0,0,0,0,4,8,10,0,7,4,3,0,3,0,0,0,3,7,10,11,6,16,295,333,629,3,0,0,309,339,647,49,62,111,3186,2957,6145,19,20,35,3252,3044,6297,21,17,36,1485,1484,2971,9,14,17,1515,1509,3029,22,27,50,1821,1928,3750,4,5,11,1848,1962,3811,23,39,62,2127,2662,4782,6,9,21,2150,2710,4862,209,196,407,20858,21829,42685,88,82,169,21155,22111,43258,22,28,45,1458,1220,2681,10,11,19,1487,1256,2743,62,62,122,3043
Mt Gravatt,30303,0,4,5,14,0,0,0,8,14,20,0,0,3,8,13,20,0,0,0,0,0,0,0,0,0,0,0,0,19,17,36,830,823,1650,111,84,199,958,923,1882,26,17,39,859,852,1712,111,86,203,994,959,1950,398,423,825,20344,20968,41311,126,147,275,20870,21534,42404,3,6,13,0,0,0,0,0,0,4,7,14,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,0,0,0,0,0,0,3,5,7,4,3,3,3,0,3,0,0,0,5,3,4,5,3,12,324,343,666,0,0,0,332,349,682,83,72,160,3900,3827,7724,25,30,61,4013,3934,7943,32,30,61,1856,1969,3825,8,12,26,1901,2012,3913,7,15,30,1649,1866,3512,3,5,10,1659,1887,3553,22,23,45,1606,2071,3678,4,5,10,1632,2099,3730,155,158,313,18883,19803,38688,72,78,152,19107,20041,39151,27,29,50,1535,1399,2927,10,6,14,1562,1431,2995,70,68,144,3719
Nathan,30304,0,8,8,11,0,0,0,5,8,13,0,0,4,6,4,15,0,0,0,0,0,0,0,0,0,0,0,0,20,20,33,526,526,1050,61,53,111,602,594,1200,20,16,36,532,534,1073,65,52,122,621,609,1230,236,266,498,12887,12921,25802,88,69,163,13210,13256,26462,5,4,10,0,0,0,0,0,0,5,4,10,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,0,0,0,0,0,0,5,4,10,0,0,0,0,0,0,0,0,0,0,0,0,3,12,11,245,205,453,3,3,3,252,217,467,45,59,104,2041,1948,3991,29,11,35,2105,2020,4130,21,16,34,920,912,1837,3,7,7,944,940,1882,13,8,22,927,964,1893,4,8,8,942,979,1920,10,18,28,1122,1176,2304,6,3,9,1133,1205,2337,87,111,195,10567,10709,21275,38,37,79,10696,10859,21554,15,14,33,801,655,1462,3,0,5,825,672,1498,35,42,79,1983
Rocklea - Acacia Ridge,30305,0,4,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,15,28,621,585,1204,54,33,85,688,634,1325,20,20,36,642,611,1253,54,36,91,714,662,1376,394,409,802,15427,15103,30531,85,78,159,15912,15584,31498,6,8,13,0,0,0,0,0,0,6,10,11,0,0,0,0,0,0,0,0,0,0,0,0,4,8,10,0,0,0,0,0,0,4,10,16,0,0,0,0,0,0,0,0,0,0,0,0,6,6,17,381,310,695,0,0,0,387,322,713,100,83,182,3608,3451,7060,13,19,31,3713,3557,7271,28,35,68,1446,1465,2912,10,3,13,1490,1507,2991,13,8,21,889,919,1806,3,0,3,905,929,1833,25,18,41,1092,1524,2616,3,3,8,1117,1546,2664,123,131,259,14573,15288,29856,51,39,87,14746,15458,30202,26,33,63,1475,1337,2816,14,8,29,1516,1385,2903,68,79,144,3348
Mudgeeraba - Tallebudgera,30905,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,13,11,23,357,431,784,20,24,48,385,462,852,13,11,23,368,453,817,21,27,45,400,486,886,262,259,521,13941,14522,28461,93,100,194,14294,14879,29173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,4,5,9,13,256,215,469,0,0,3,266,220,488,61,71,136,2485,2438,4919,19,26,47,2567,2538,5102,16,25,39,876,863,1739,6,3,10,895,892,1792,3,6,11,240,289,525,0,0,0,244,295,535,4,10,21,317,661,977,0,6,6,318,682,997,68,64,136,6294,7279,13576,36,38,75,6408,7386,13790,21,12,38,1164,1160,2327,10,3,16,1194,1181,2373,49,50,98,2970
Nerang,30906,0,7,9,21,0,0,0,6,11,16,0,0,0,6,14,16,0,0,0,0,0,0,0,0,0,0,0,0,28,23,59,861,842,1701,68,59,127,958,924,1884,31,30,61,885,854,1742,64,59,127,980,949,1931,580,652,1231,27074,27895,54969,176,201,381,27834,28748,56582,7,3,11,0,0,0,0,0,0,7,4,11,0,0,0,0,0,0,0,0,0,0,0,0,7,3,11,0,0,0,0,0,0,7,4,11,6,3,9,0,0,0,0,0,0,6,5,6,12,22,32,501,414,910,4,3,8,513,436,946,131,140,271,4232,4049,8282,37,37,68,4395,4224,8622,57,47,108,1468,1493,2958,13,6,23,1540,1550,3087,13,18,31,454,547,1007,0,7,6,471,575,1039,15,27,49,595,1343,1944,6,9,11,617,1386,2001,152,182,334,12112,13797,25910,64,58,123,12323,14041,26365,47,61,105,2563,2500,5067,17,15,32,2626,2575,5203,131,147,282,6244
Ormeau - Oxenford,30907,0,6,12,21,0,0,0,12,18,24,0,0,0,12,18,24,0,0,0,3,0,3,0,0,0,3,0,3,46,34,85,1548,1588,3133,136,120,255,1730,1743,3470,53,32,83,1584,1627,3209,136,117,256,1773,1782,3552,1099,1191,2291,49265,50490,99763,320,346,666,50692,52026,102719,3,3,8,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,4,3,6,0,8,7,0,0,0,0,0,0,0,8,7,32,38,64,982,950,1937,8,4,14,1018,996,2008,275,261,542,8680,8322,17006,65,57,123,9017,8643,17663,70,89,158,2671,2880,5552,20,29,48,2761,2999,5760,9,28,37,758,1000,1759,3,3,7,770,1028,1800,22,53,80,1020,2467,3486,4,10,13,1048,2529,3579,273,353,625,21291,24200,45492,90,109,200,21659,24658,46314,77,92,166,4489,4467,8956,23,31,49,4580,4591,9170,215,205,419,10489
Outback - South,31503,0,11,10,25,0,0,0,21,21,49,0,0,3,27,24,46,0,0,0,0,0,0,0,0,0,0,0,0,103,84,186,2153,1875,4033,281,214,498,2530,2177,4713,103,87,187,2181,1898,4081,283,221,499,2571,2199,4766,916,963,1876,6960,6845,13802,97,89,184,7968,7896,15866,6,6,13,0,0,3,0,0,0,6,7,21,0,0,0,0,0,0,0,0,0,0,0,0,6,6,13,0,0,3,0,0,0,6,7,21,4,3,5,4,3,9,0,0,0,7,5,15,21,11,36,67,59,130,0,0,0,88,78,164,207,218,417,799,696,1495,9,17,29,1015,928,1944,42,52,93,150,174,320,7,3,7,198,227,420,3,0,6,40,96,138,0,0,0,45,96,145,7,17,29,92,246,337,0,0,0,101,264,368,131,198,332,2179,2858,5038,17,27,43,2325,3077,5406,56,83,137,390,457,845,6,5,8,451,545,999,177,143,324,1920
Buderim,31601,0,4,3,11,0,0,0,5,6,12,0,0,0,5,7,17,0,0,0,0,0,0,0,0,0,0,0,0,14,21,41,787,865,1653,77,58,133,880,945,1830,14,21,41,803,885,1690,77,58,133,899,968,1864,377,400,785,22370,25018,47390,148,163,306,22893,25586,48482,4,0,6,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,4,0,6,3,3,3,0,0,0,0,0,0,3,3,3,6,8,14,300,288,591,3,0,3,310,300,608,97,85,181,3465,3468,6925,22,24,41,3577,3574,7150,40,40,77,1334,1594,2925,11,8,19,1379,1646,3027,8,16,27,586,757,1342,3,6,11,599,783,1382,12,38,52,702,1409,2116,5,4,11,724,1448,2171,114,161,267,10899,12678,23577,45,55,99,11054,12893,23945,44,33,75,1810,1974,3786,15,13,30,1869,2026,3894,73,63,134,4243
Caloundra,31602,4,6,17,22,0,0,0,28,38,62,6,9,13,32,42,72,0,0,0,0,0,0,0,0,0,0,0,0,43,41,85,2181,2368,4546,375,377,757,2599,2782,5383,43,48,85,2232,2422,4654,383,380,757,2652,2847,5498,787,731,1520,34020,36525,70550,234,294,530,35053,37549,72598,3,4,8,0,4,4,0,0,0,3,7,6,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,4,4,0,0,0,3,7,6,3,0,5,0,0,0,0,0,0,4,0,5,25,16,39,393,366,759,0,0,0,422,384,805,199,187,384,4721,4338,9065,45,42,80,4963,4567,9536,58,48,107,1622,1608,3231,9,11,15,1685,1673,3356,8,19,25,414,591,1005,0,0,3,420,610,1032,15,25,40,724,1535,2257,3,7,10,743,1567,2312,187,198,385,14283,15745,30030,53,85,139,14523,16027,30551,43,55,98,2751,2888,5636,20,19,40,2815,2964,5775,157,138,297,8096
Maroochy,31603,7,12,16,28,0,0,0,43,44,90,11,18,24,51,62,113,0,0,0,0,0,3,0,0,0,0,0,3,41,33,72,3502,3613,7118,598,641,1238,4141,4284,8424,44,37,80,3540,3636,7180,595,641,1235,4179,4316,8494,495,516,1011,22874,24445,47317,173,180,357,23545,25142,48687,3,0,4,0,0,0,0,0,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,3,5,3,4,3,6,0,0,0,0,0,0,0,3,12,9,10,15,220,194,416,3,3,8,233,201,439,88,88,182,2553,2334,4882,36,17,57,2678,2445,5118,24,36,55,861,947,1809,4,9,17,890,989,1878,11,25,30,378,569,953,3,4,8,392,603,996,16,37,48,748,1312,2063,0,13,16,765,1361,2131,141,189,334,10980,12371,23350,59,52,115,11187,12612,23799,35,35,65,1944,2027,3974,6,14,22,1987,2075,4060,124,104,225,5413
Noosa,31605,0,8,0,11,0,0,0,61,66,125,11,13,22,70,80,154,0,0,0,0,0,0,0,0,0,0,0,0,23,14,44,2755,3031,5781,454,509,961,3232,3551,6787,24,20,45,2770,3048,5823,457,510,963,3252,3579,6833,219,248,474,17008,18186,35191,133,157,288,17359,18591,35944,3,3,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,208,193,398,0,0,3,213,190,402,55,66,118,2455,2263,4721,15,13,31,2524,2342,4866,19,19,36,754,769,1526,4,4,9,777,792,1571,4,6,9,155,175,332,3,0,4,159,189,342,0,4,6,325,776,1101,0,3,3,327,786,1115,62,80,139,8393,9269,17660,51,61,109,8502,9408,17908,19,17,36,1479,1604,3077,10,7,21,1507,1630,3135,41,47,86,3438
Sunshine Coast Hinterland,31606,3,16,12,27,0,0,0,13,8,23,3,3,4,15,9,26,0,0,0,0,0,3,0,0,0,0,0,3,37,20,53,1007,1060,2072,104,109,215,1149,1188,2333,37,20,53,1034,1095,2136,104,109,216,1176,1221,2399,455,481,934,21431,22169,43598,212,234,441,22094,22886,44978,3,3,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,3,3,3,4,7,0,0,0,0,0,0,3,4,7,4,5,13,205,213,416,0,3,5,213,220,431,119,137,251,2896,2724,5622,36,53,80,3049,2907,5956,28,31,66,941,984,1922,16,12,27,986,1030,2015,3,3,6,205,301,503,0,0,0,209,303,511,7,32,39,387,959,1342,5,5,9,395,993,1392,102,109,214,8463,9931,18389,58,77,141,8621,10117,18739,39,36,75,1757,1731,3489,15,11,29,1813,1778,3596,96,93,187,5384
Nambour,31607,0,7,4,12,0,0,0,0,3,4,0,0,3,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,41,29,73,863,841,1706,146,125,267,1050,990,2041,45,29,73,892,859,1751,146,126,271,1081,1019,2100,594,564,1158,17967,18819,36791,134,164,296,18695,19552,38241,6,4,6,0,0,0,0,0,0,8,5,14,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,0,0,0,0,0,0,8,5,14,3,0,4,0,0,4,0,0,0,0,0,6,8,10,20,224,202,425,0,4,7,232,220,451,158,144,303,2536,2441,4982,32,20,48,2723,2612,5328,41,37,72,724,785,1510,3,12,13,772,824,1599,4,13,19,195,298,491,3,0,3,202,313,516,17,35,47,388,918,1303,0,10,7,404,962,1364,151,144,297,6860,8081,14943,30,52,84,7047,8275,15317,50,56,106,1586,1561,3148,9,17,23,1646,1629,3273,112,112,226,4471
Noosa Hinterland,31608,0,0,0,4,0,0,0,4,10,19,3,0,3,9,10,20,0,0,0,0,0,0,0,0,0,0,0,0,17,11,24,481,501,984,70,51,116,563,561,1129,21,11,27,491,511,1001,70,51,116,577,571,1151,215,190,403,9500,9697,19201,92,88,180,9805,9979,19782,8,3,10,0,0,0,0,0,0,8,3,10,0,0,0,0,0,0,0,0,0,0,0,0,8,3,10,0,0,0,0,0,0,8,3,10,0,0,0,0,0,0,0,0,0,0,0,4,6,4,13,81,93,178,0,3,3,89,103,190,58,44,97,1375,1277,2655,16,12,28,1452,1328,2779,16,12,27,444,429,869,3,0,4,462,445,903,0,6,6,61,104,169,0,0,0,68,107,170,3,10,14,146,370,520,3,8,10,158,385,544,57,48,103,3786,4410,8198,33,32,63,3874,4490,8362,9,14,23,825,770,1596,5,0,6,844,787,1627,46,40,86,2385
Charters Towers - Ayr - Ingham,31801,0,9,3,8,0,0,0,17,13,28,4,0,6,20,15,34,0,0,0,0,0,0,0,0,0,0,0,0,159,104,267,1799,1538,3337,264,208,466,2220,1851,4073,193,136,333,1823,1563,3390,262,208,469,2288,1916,4200,2298,2269,4564,16008,15663,31667,219,193,413,18525,18121,36647,86,63,148,0,0,0,0,0,0,82,63,151,6,3,12,0,0,0,0,0,0,6,3,12,64,52,114,0,0,0,0,0,0,68,52,113,13,3,22,3,0,3,0,0,0,19,3,19,35,38,69,133,145,281,0,3,3,172,183,356,580,467,1046,2026,1963,3991,42,32,73,2651,2460,5108,167,98,263,687,694,1387,5,10,20,862,803,1667,5,13,18,86,126,213,0,0,0,96,137,231,24,37,64,147,427,572,0,3,7,172,468,636,377,434,808,4855,5629,10479,46,30,80,5276,6090,11367,231,243,474,1288,1138,2431,15,10,24,1539,1392,2928,481,474,953,4676
Townsville,31802,14,50,87,141,3,0,4,63,69,134,14,23,34,78,91,174,0,0,0,0,0,4,0,0,0,0,0,4,485,455,939,4972,4750,9720,1563,1367,2927,7019,6573,13587,503,469,976,5062,4841,9906,1567,1370,2941,7139,6676,13817,5493,5887,11383,73074,73536,146614,566,561,1130,79136,79989,159125,205,240,451,7,8,12,0,0,0,213,250,465,13,10,24,0,0,0,0,0,0,8,10,23,189,221,414,4,11,11,0,0,0,195,235,431,32,33,63,0,0,0,0,0,0,32,31,66,110,99,213,939,865,1804,7,9,16,1062,968,2032,1451,1425,2876,10101,9790,19886,97,122,217,11648,11336,22983,400,453,851,3907,4092,8001,42,30,71,4342,4575,8922,75,125,200,1729,2604,4327,6,9,14,1804,2739,4546,120,281,400,2435,4545,6979,12,21,35,2568,4846,7414,1441,1710,3157,33100,36669,69767,178,187,366,34721,38570,73289,447,565,1009,6266,5346,11615,59,31,91,6767,5946,12712,951,1099,2053,16249
Bundaberg,31901,0,14,4,17,0,0,0,17,19,32,4,3,4,22,24,38,0,0,0,0,0,0,0,0,0,0,0,0,119,90,202,2748,2558,5303,417,372,784,3275,3017,6289,123,93,215,2791,2610,5407,418,371,792,3330,3077,6409,1678,1749,3434,36117,37490,73613,367,387,747,38165,39630,77795,16,12,30,0,0,3,0,0,0,17,17,29,0,0,0,0,0,0,0,0,0,0,0,0,10,12,25,0,0,3,0,0,0,11,17,26,11,10,25,0,0,0,0,0,0,11,10,25,33,27,59,381,325,706,10,4,13,416,360,772,423,434,852,4733,4388,9125,53,62,117,5211,4883,10094,129,132,263,1495,1474,2963,17,19,37,1640,1621,3258,20,21,39,283,422,703,3,3,5,307,445,753,20,60,80,654,1517,2164,0,12,14,674,1585,2258,298,370,668,11208,13017,24220,84,91,176,11589,13472,25064,149,148,295,2711,2795,5511,20,28,47,2884,2967,5848,332,375,704,10399
Burnett,31902,0,4,0,3,0,6,6,0,3,5,0,0,0,5,11,16,0,0,0,0,0,0,0,0,0,0,0,0,92,86,178,1332,1111,2441,273,186,458,1693,1373,3071,102,94,195,1383,1152,2540,277,191,463,1759,1436,3197,1756,1810,3570,19755,19510,39271,329,303,632,21844,21619,43468,25,36,62,0,0,0,0,0,0,25,36,62,0,0,0,0,0,0,0,0,0,0,0,0,24,35,56,0,0,0,0,0,0,24,35,56,27,19,48,0,0,0,0,0,0,27,23,49,34,45,77,151,147,298,0,0,3,187,186,381,429,412,846,2495,2345,4833,57,41,105,2985,2800,5787,105,86,192,695,678,1379,17,15,24,816,776,1597,3,13,13,78,136,213,0,0,0,79,153,231,13,37,52,254,632,887,0,3,7,269,678,943,260,308,570,5116,6276,11392,61,59,122,5445,6640,12088,142,198,343,1349,1408,2751,12,29,43,1503,1632,3136,328,373,699,5879
Gympie - Cooloola,31903,0,12,9,20,0,0,0,13,18,30,6,0,8,20,22,39,0,0,0,0,0,0,0,0,0,0,0,0,50,36,80,1458,1303,2758,217,155,369,1731,1484,3214,54,36,85,1495,1340,2837,224,156,383,1771,1534,3305,866,833,1697,20860,21199,42055,262,249,509,21984,22277,44261,10,4,13,0,0,0,0,0,0,10,4,13,0,0,3,0,0,0,0,0,0,0,0,3,9,3,9,0,0,0,0,0,0,9,3,9,5,0,12,0,0,0,0,0,0,7,0,11,27,22,49,190,163,353,0,0,0,220,185,407,237,187,429,2685,2514,5199,50,38,91,2970,2742,5713,50,60,109,794,801,1599,14,7,21,858,864,1729,8,5,18,124,179,297,0,0,3,129,184,317,7,36,46,253,802,1057,3,11,12,269,844,1110,144,155,304,5956,7179,13137,62,75,137,6167,7405,13568,45,73,115,1626,1657,3278,20,18,39,1689,1752,3434,161,171,339,6146
Hervey Bay,31904,0,5,4,7,0,0,0,23,25,54,7,3,9,29,31,60,0,0,0,0,0,0,0,0,0,0,0,0,84,82,165,2290,2306,4591,438,429,862,2811,2815,5622,89,82,167,2314,2338,4655,439,433,869,2839,2847,5685,1078,1113,2189,22888,24723,47606,200,247,450,24171,26082,50250,13,10,30,0,0,0,0,0,0,13,16,28,0,0,0,0,0,0,0,0,0,0,0,0,13,10,30,0,0,0,0,0,0,13,16,28,11,13,23,0,0,0,0,0,0,12,13,21,21,14,33,257,220,478,0,3,3,280,233,518,308,280,584,2818,2729,5552,38,33,69,3161,3043,6206,86,82,172,878,919,1795,3,7,16,970,1011,1983,5,3,13,128,232,360,0,3,3,132,246,378,18,55,72,406,1016,1421,0,0,0,419,1078,1498,188,235,424,7350,8746,16099,49,62,113,7584,9052,16633,92,92,183,1975,2001,3971,15,20,39,2082,2112,4189,214,251,464,6530
The Gap - Enoggera,30404,0,4,7,10,0,0,0,15,11,26,0,0,5,16,12,28,0,0,0,0,0,0,0,0,0,0,0,0,23,17,39,684,602,1284,22,19,43,732,635,1369,23,22,43,701,605,1311,22,19,43,754,649,1396,445,407,850,20984,21657,42640,113,109,228,21537,22173,43715,3,3,6,0,0,0,0,0,0,3,3,6,0,0,3,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,11,17,326,334,664,3,6,12,342,344,689,87,88,173,3398,3062,6466,21,26,46,3509,3176,6684,32,28,62,1218,1225,2446,5,4,12,1262,1260,2524,13,16,21,533,654,1189,4,0,3,550,670,1214,12,13,23,790,1191,1980,4,0,5,806,1207,2016,168,140,312,12538,13080,25623,47,43,90,12758,13269,26025,32,33,66,1268,1117,2388,3,4,10,1308,1157,2463,62,59,120,2868
