yr,est_p_inc_emply_inc_num,est_p_inc_emply_inc_med_age_yrs,est_p_inc_tot_emply_inc_aud,est_p_inc_med_emply_inc_aud,est_p_inc_avg_emply_inc_aud,est_p_inc_emply_inc_mn_src_inc_pr100,est_p_inc_own_unincorportd_bsns_inc_num,est_p_inc_own_unincorportd_bsns_inc_med_age_yrs,est_p_inc_tot_own_unincorportd_bsns_inc_aud,est_p_inc_med_own_unincorportd_bsns_inc_aud,est_p_inc_avg_own_unincorportd_bsns_inc_aud,est_p_inc_own_unincorportd_bsns_inc_mn_src_inc_pr100,est_p_inc_investment_inc_num,est_p_inc_investment_inc_med_age_yrs,est_p_inc_tot_investment_inc_aud,est_p_inc_med_investment_inc_aud,est_p_inc_avg_investment_inc_aud,est_p_inc_investment_inc_mn_src_inc_pr100,est_p_inc_super_annuity_inc_num,est_p_inc_super_annuity_inc_med_age_yrs,est_p_inc_tot_super_annuity_inc_aud,est_p_inc_med_super_annuity_inc_aud,est_p_inc_avg_super_annuity_inc_aud,est_p_inc_super_annuity_inc_mn_src_inc_pr100,est_p_inc_tot_inc_excl_gov_pnsn_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_med_age_yrs,est_p_inc_tot_inc_excl_gov_pnsn_aud,est_p_inc_med_tot_inc_excl_gov_pnsn_aud,est_p_inc_avg_tot_inc_excl_gov_pnsn_aud,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p20_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p20_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p10_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_gini_coefficient_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_1_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_5_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_10_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_loest_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_second_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_third_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_hi_quartile_pr100,gcg_rptd_by_taxpayers_gcg_p_num,gcg_rptd_by_taxpayers_gcg_amount_audm,gcg_rptd_by_taxpayers_gcg_med_aud,gcg_rptd_by_taxpayers_gcg_avg_aud,slct_gov_pnsn_alwn_age_pension_centrelink_num,slct_gov_pnsn_alwn_age_pension_dva_num,slct_gov_pnsn_alwn_pension_dva_num,slct_gov_pnsn_alwn_inc_supp_supplement_dva_num,slct_gov_pnsn_alwn_carer_payment_num,slct_gov_pnsn_alwn_carer_alloance_num,slct_gov_pnsn_alwn_dsblty_supp_pension_num,slct_gov_pnsn_alwn_newstart_alloance_num,slct_gov_pnsn_alwn_prnting_payment_single_num,slct_gov_pnsn_alwn_prnting_payment_prtred_num,slct_gov_pnsn_alwn_yth_alloance_full_time_studts_aprtc_num,slct_gov_pnsn_alwn_yth_alloance_oth_num,slct_gov_pnsn_alwn_fam_tax_bft_num,slct_gov_pnsn_alwn_fam_tax_bft_b_num,slct_gov_pnsn_alwn_commonwealth_rent_asst_num,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1_aud499wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud500_aud999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1000_aud1999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud2000_aud2999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud3000_plswk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_nil_inc_pr100,tot_p_inc_wk_p_ov_15_yrs_p_negative_inc_pr100,eq_t_hs_inc_fam_lone_grp_hslds_med_eq_t_hs_inc_wk_aud,sa3_code16,sa3_name16,ogc_fid
2015,30725.0,39.0,1755788117.0,51063.0,57145.0,83.0,3434.0,44.0,63062245.0,10095.0,18364.0,5.5,21653.0,44.0,82048447.0,139.0,3789.0,9.5,1149.0,58.0,31212278.0,20706.0,27165.0,1.9,32292.0,41.0,1837532626.0,49981.0,56904.0,4.11,1.7,0.41,0.19,0.41,5.1,16.6,27.1,21.8,24.6,29.6,24.0,1917.0,35.5,2619.0,18517.0,6506.0,15.0,429.0,275.0,481.0,,1947.0,1687.0,574.0,,427.0,278.0,3858.0,3369.0,,,,,,,,,,30204,Sandgate,597
2016,31712.0,39.0,1839337474.0,51557.0,58001.0,83.0,3609.0,44.0,68922066.0,10552.0,19097.0,5.6,22444.0,43.0,84392445.0,117.0,3760.0,9.3,1144.0,58.0,30936014.0,20947.0,27042.0,1.9,33434.0,41.0,1927731555.0,50284.0,57658.0,4.19,1.72,0.41,0.19,0.41100000000000003,5.3,16.6,27.1,21.8,25.3,29.0,24.0,1950.0,35.3,2117.0,18094.0,6574.0,16.0,394.0,247.0,475.0,,1898.0,1679.0,607.0,,453.0,262.0,3832.0,3174.0,,27.5,25.3,25.3,4.8,1.8,7.9,0.4,903.0,30204,Sandgate,598
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6398.0,10.0,354.0,216.0,478.0,1322.0,1859.0,1747.0,607.0,211.0,390.0,272.0,3791.0,3058.0,4007.0,,,,,,,,,30204,Sandgate,599
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6327.0,,,,495.0,1349.0,1861.0,1818.0,569.0,169.0,370.0,269.0,3707.0,2945.0,3881.0,,,,,,,,,30204,Sandgate,600
2013,28191.0,36.0,1223063559.0,36025.0,43385.0,77.0,4529.0,45.0,95959395.0,11672.0,21188.0,8.2,19028.0,44.0,168091950.0,249.0,8834.0,12.5,862.0,58.0,20526936.0,14355.0,23813.0,1.4,30245.0,41.0,1464477339.0,38126.0,48420.0,4.59,1.83,0.4,0.19,0.47,9.8,22.4,33.1,28.5,30.3,24.0,17.2,1515.0,28.4,1761.0,18742.0,,20.0,434.0,228.0,,,,,,,,,4286.0,3662.0,,,,,,,,,,30909,Southport,619
2014,28825.0,36.0,1288858090.0,37534.0,44713.0,77.0,4466.0,46.0,101758985.0,12740.0,22785.0,8.2,19674.0,44.0,166726108.0,220.0,8474.0,12.4,833.0,59.0,19639679.0,14564.0,23577.0,1.4,30785.0,41.0,1523222583.0,39311.0,49479.0,4.58,1.83,0.4,0.19,0.466,8.9,21.6,32.5,28.5,29.8,24.3,17.3,1677.0,69.1,3108.0,41210.0,,22.0,402.0,224.0,,,,,,,,,4283.0,3629.0,,,,,,,,,,30909,Southport,620
2015,30219.0,36.0,1389796806.0,38545.0,45991.0,77.0,4522.0,46.0,103882759.0,13405.0,22973.0,8.2,20899.0,44.0,159284010.0,175.0,7622.0,12.8,916.0,58.0,20560658.0,14073.0,22446.0,1.5,31994.0,41.0,1593014012.0,39789.0,49791.0,4.64,1.83,0.39,0.18,0.467,8.6,21.3,32.3,28.9,30.0,24.1,17.1,1730.0,72.5,3908.0,41912.0,6480.0,20.0,348.0,212.0,693.0,,2402.0,2589.0,745.0,,1477.0,407.0,4148.0,3532.0,,,,,,,,,,30909,Southport,621
2016,30528.0,36.0,1445873920.0,40065.0,47362.0,76.0,4788.0,45.0,108470818.0,12298.0,22655.0,8.4,21435.0,44.0,179800798.0,150.0,8388.0,12.8,885.0,58.0,21332862.0,16105.0,24105.0,1.5,32603.0,41.0,1670751888.0,41188.0,51245.0,4.76,1.82,0.38,0.17,0.469,9.0,21.5,32.4,28.5,29.4,24.7,17.4,1748.0,75.8,3353.0,43356.0,6839.0,18.0,313.0,193.0,676.0,,2297.0,2508.0,708.0,,1359.0,313.0,4143.0,3418.0,,29.9,25.8,18.7,3.1,1.6,9.7,0.6,761.0,30909,Southport,622
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6845.0,15.0,284.0,186.0,674.0,1484.0,2215.0,2552.0,696.0,212.0,1204.0,318.0,3880.0,3092.0,6215.0,,,,,,,,,30909,Southport,623
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6904.0,,,,701.0,1490.0,2193.0,2374.0,631.0,167.0,1114.0,311.0,3678.0,2940.0,5873.0,,,,,,,,,30909,Southport,624
2011,27690.0,39.0,1245545186.0,40607.0,44982.0,82.0,4040.0,46.0,69807206.0,10738.0,17279.0,7.2,17675.0,45.0,56257317.0,146.0,3183.0,8.2,1099.0,57.0,22918000.0,16952.0,20854.0,1.9,30499.0,41.0,1374211860.0,39875.0,45058.0,4.45,1.72,0.39,0.17,0.41700000000000004,5.1,16.4,26.9,24.2,27.1,28.5,20.2,1238.0,21.9,1840.0,17658.0,,,,,,,,,,,,,,,,,,,,,,,728.0,31304,Narangba - Burpengary,625
2012,28449.0,39.0,1359896257.0,42285.0,47801.0,83.0,3895.0,46.0,68857619.0,10239.0,17678.0,6.7,18306.0,45.0,67516010.0,135.0,3688.0,8.3,1087.0,58.0,22731592.0,16476.0,20912.0,1.8,30760.0,42.0,1490057422.0,42056.0,48441.0,4.3,1.74,0.41,0.19,0.41600000000000004,5.2,16.7,27.3,23.7,27.5,28.0,20.8,1010.0,21.3,1901.0,21085.0,,10.0,578.0,146.0,,,,,,,,,,,,,,,,,,,,31304,Narangba - Burpengary,626
2013,29187.0,39.0,1449521382.0,43773.0,49663.0,83.0,3769.0,46.0,65845863.0,10766.0,17470.0,6.5,18284.0,45.0,67440836.0,118.0,3689.0,8.1,1120.0,57.0,24943375.0,16892.0,22271.0,1.9,30775.0,42.0,1566933105.0,44048.0,50916.0,3.99,1.74,0.44,0.21,0.409,4.9,16.5,27.1,22.8,28.2,28.1,20.9,1221.0,21.7,1465.0,17754.0,,8.0,586.0,178.0,,,,,,,,,5878.0,4905.0,,,,,,,,,,31304,Narangba - Burpengary,627
2014,29684.0,40.0,1518966204.0,44626.0,51171.0,83.0,3719.0,46.0,63316171.0,10458.0,17025.0,6.4,18757.0,45.0,74120574.0,104.0,3952.0,8.2,1147.0,57.0,27736865.0,17214.0,24182.0,1.9,31284.0,42.0,1634584385.0,44948.0,52250.0,4.1,1.75,0.43,0.21,0.415,5.0,16.8,27.5,23.3,27.8,28.0,21.0,1313.0,27.8,2713.0,21170.0,,7.0,600.0,185.0,,,,,,,,,5795.0,4905.0,,,,,,,,,,31304,Narangba - Burpengary,628
2015,30825.0,40.0,1610203604.0,46020.0,52237.0,82.0,3715.0,46.0,65282704.0,10562.0,17573.0,6.3,19694.0,45.0,77903093.0,90.0,3956.0,8.9,1203.0,58.0,29869308.0,17801.0,24829.0,1.9,32163.0,42.0,1706355343.0,45979.0,53053.0,4.05,1.74,0.43,0.2,0.41,4.9,16.5,27.2,23.2,27.9,28.1,20.8,1391.0,26.5,3054.0,19043.0,5667.0,9.0,573.0,184.0,814.0,,2375.0,2158.0,1130.0,,437.0,488.0,5698.0,4864.0,,,,,,,,,,31304,Narangba - Burpengary,629
2016,31243.0,40.0,1670082162.0,47303.0,53455.0,83.0,3779.0,46.0,69459165.0,10966.0,18380.0,6.2,20024.0,45.0,83441311.0,71.0,4167.0,8.8,1221.0,58.0,27601599.0,18052.0,22606.0,1.9,32826.0,42.0,1772687791.0,46997.0,54003.0,4.13,1.73,0.42,0.2,0.41,5.0,16.4,27.0,23.0,27.9,28.3,20.8,1357.0,37.5,2980.0,27602.0,5997.0,10.0,561.0,162.0,864.0,,2326.0,2158.0,1090.0,,441.0,442.0,5609.0,4599.0,,29.6,26.3,22.1,3.6,1.3,8.7,0.5,814.0,31304,Narangba - Burpengary,630
2011,23945.0,34.0,1018718538.0,35844.0,42544.0,77.0,3365.0,43.0,61210572.0,10165.0,18190.0,7.1,18019.0,43.0,109676831.0,467.0,6087.0,14.3,586.0,59.0,11266222.0,12498.0,19226.0,1.0,26833.0,39.0,1176302482.0,35031.0,43838.0,5.86,1.91,0.33,0.15,0.47600000000000003,8.0,20.4,31.6,30.5,26.2,24.0,19.3,1651.0,28.2,2161.0,17087.0,,,,,,,,,,,,,,,,,,,,,,,753.0,30306,Sunnybank,601
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6074.0,15.0,552.0,153.0,891.0,2169.0,2261.0,2174.0,1054.0,301.0,379.0,479.0,5427.0,4231.0,5320.0,,,,,,,,,31304,Narangba - Burpengary,631
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6303.0,,,,940.0,2223.0,2267.0,2192.0,1031.0,243.0,327.0,484.0,5213.0,4120.0,5499.0,,,,,,,,,31304,Narangba - Burpengary,632
2011,68170.0,38.0,2993564956.0,38998.0,43913.0,78.0,10962.0,49.0,165111687.0,5480.0,15062.0,6.1,51939.0,46.0,337043451.0,300.0,6489.0,13.6,2650.0,58.0,54940581.0,16235.0,20732.0,1.5,76823.0,42.0,3499799638.0,38668.0,45557.0,5.14,1.79,0.35,0.13,0.452,7.0,18.9,29.6,26.2,26.6,26.7,20.5,5875.0,138.7,2033.0,23604.0,,,,,,,,,,,,,,,,,,,,,,,696.0,31701,Toowoomba,633
2012,70477.0,38.0,3303087971.0,41063.0,46868.0,79.0,11012.0,50.0,177679556.0,5727.0,16135.0,5.9,54111.0,46.0,370122931.0,277.0,6840.0,13.0,2753.0,58.0,59287020.0,16431.0,21535.0,1.5,78115.0,42.0,3843223195.0,41329.0,49200.0,4.89,1.8,0.37,0.15,0.45,7.1,19.1,29.9,25.7,26.4,26.5,21.4,4573.0,107.4,1440.0,23494.0,,43.0,1255.0,607.0,,,,,,,,,,,,,,,,,,,,31701,Toowoomba,634
2013,72695.0,38.0,3550332389.0,42592.0,48839.0,79.0,10858.0,50.0,175748753.0,5797.0,16186.0,5.9,54163.0,46.0,422711766.0,256.0,7804.0,13.1,2730.0,58.0,64191930.0,16772.0,23514.0,1.5,78754.0,42.0,4114225935.0,43528.0,52241.0,4.64,1.79,0.39,0.16,0.451,7.6,19.7,30.3,25.3,26.1,26.8,21.8,5321.0,143.7,1495.0,27010.0,,55.0,1207.0,570.0,,,,,,,,,11646.0,9716.0,,,,,,,,,,31701,Toowoomba,635
2014,74531.0,38.0,3776534194.0,43966.0,50671.0,79.0,11077.0,50.0,184900019.0,5919.0,16692.0,6.0,55667.0,46.0,425139475.0,231.0,7637.0,13.0,2749.0,58.0,64971277.0,17423.0,23635.0,1.5,80213.0,42.0,4325916132.0,44941.0,53930.0,4.58,1.78,0.39,0.16,0.449,7.3,19.5,30.2,25.0,26.1,26.8,22.1,5892.0,160.9,2463.0,27306.0,,48.0,1142.0,545.0,,,,,,,,,11357.0,9638.0,,,,,,,,,,31701,Toowoomba,636
2015,76671.0,38.0,3955054244.0,44964.0,51585.0,79.0,11242.0,49.0,181605493.0,5600.0,16154.0,6.1,57385.0,46.0,415685292.0,202.0,7244.0,13.2,2906.0,58.0,73208768.0,18117.0,25192.0,1.6,81940.0,42.0,4440662018.0,45425.0,54194.0,4.59,1.78,0.39,0.16,0.447,6.9,19.2,29.9,25.3,26.4,26.9,21.5,6367.0,194.2,3026.0,30498.0,16783.0,59.0,1053.0,512.0,1418.0,,6110.0,4316.0,2237.0,,1287.0,994.0,11220.0,9587.0,,,,,,,,,,31701,Toowoomba,637
2016,75463.0,38.0,3973365516.0,45970.0,52653.0,78.0,11211.0,49.0,206955196.0,6543.0,18460.0,6.2,56793.0,46.0,407921739.0,174.0,7183.0,13.3,2882.0,58.0,70261270.0,18015.0,24379.0,1.6,81416.0,42.0,4480532242.0,45929.0,55033.0,4.73,1.79,0.38,0.15,0.45,7.2,19.3,30.0,25.5,26.5,26.6,21.5,6109.0,159.3,2413.0,26072.0,17105.0,65.0,1007.0,491.0,1493.0,,5869.0,4650.0,2235.0,,1327.0,1014.0,11095.0,8997.0,,29.3,26.4,22.1,3.7,1.7,7.0,0.4,810.0,31701,Toowoomba,638
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16701.0,63.0,906.0,436.0,1542.0,3843.0,5751.0,4749.0,2211.0,674.0,1149.0,1015.0,10929.0,8671.0,12103.0,,,,,,,,,31701,Toowoomba,639
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16729.0,,,,1637.0,3947.0,5788.0,4603.0,2169.0,679.0,1024.0,1018.0,10746.0,8604.0,11897.0,,,,,,,,,31701,Toowoomba,640
2012,24383.0,34.0,1094810184.0,37112.0,44901.0,77.0,3288.0,43.0,58516868.0,10031.0,17797.0,6.9,18675.0,42.0,109030313.0,431.0,5838.0,14.4,582.0,59.0,12776671.0,14675.0,21953.0,1.1,27137.0,39.0,1242752394.0,36499.0,45795.0,5.71,1.93,0.34,0.15,0.475,7.2,20.2,31.5,31.2,26.2,23.5,19.1,1308.0,28.0,1524.0,21423.0,,11.0,287.0,121.0,,,,,,,,,,,,,,,,,,,,30306,Sunnybank,602
2011,41744.0,39.0,1917607059.0,42164.0,45937.0,78.0,5754.0,46.0,112079606.0,10643.0,19479.0,6.5,32489.0,46.0,128830823.0,332.0,3965.0,11.2,2469.0,65.0,60890905.0,22380.0,24662.0,3.3,47907.0,42.0,2186807415.0,40708.0,45647.0,4.6,1.72,0.37,0.16,0.41600000000000004,5.2,16.2,26.7,24.2,25.8,28.7,21.2,2652.0,54.9,1865.0,20719.0,,,,,,,,,,,,,,,,,,,,,,,709.0,40302,Marion,641
2012,42819.0,39.0,2061577866.0,43690.0,48146.0,79.0,5705.0,46.0,112214052.0,10966.0,19669.0,6.3,33598.0,46.0,137028781.0,315.0,4078.0,11.0,2557.0,64.0,65076070.0,22746.0,25450.0,3.3,48668.0,42.0,2336537349.0,42329.0,48010.0,4.44,1.73,0.39,0.17,0.414,5.2,16.4,26.8,24.2,26.5,28.3,20.9,2171.0,33.2,1147.0,15275.0,,38.0,966.0,431.0,,,,,,,,,,,,,,,,,,,,40302,Marion,642
2013,44226.0,39.0,2206186735.0,45149.0,49884.0,79.0,5781.0,46.0,113341476.0,10159.0,19606.0,6.3,34474.0,45.0,144184085.0,269.0,4182.0,10.7,2585.0,64.0,69145786.0,23208.0,26749.0,3.3,49184.0,42.0,2479277093.0,44423.0,50408.0,4.22,1.72,0.41,0.19,0.409,5.3,16.4,26.7,23.9,26.6,28.7,20.9,2555.0,31.6,908.0,12354.0,,30.0,836.0,411.0,,,,,,,,,5956.0,4837.0,,,,,,,,,,40302,Marion,643
2014,44769.0,39.0,2300821840.0,46473.0,51393.0,79.0,5755.0,46.0,121251140.0,11173.0,21069.0,6.3,35082.0,45.0,158883707.0,245.0,4529.0,10.8,2624.0,64.0,71882134.0,23671.0,27394.0,3.3,49588.0,43.0,2586775726.0,45801.0,52165.0,4.16,1.71,0.41,0.19,0.409,5.4,16.5,26.9,23.5,26.5,28.8,21.2,2795.0,47.5,1773.0,17008.0,,23.0,720.0,333.0,,,,,,,,,5711.0,4738.0,,,,,,,,,,40302,Marion,644
2015,45840.0,39.0,2419643955.0,47827.0,52785.0,78.0,5873.0,45.0,127389708.0,12006.0,21691.0,6.4,36015.0,45.0,167262962.0,221.0,4644.0,11.2,2752.0,64.0,76999111.0,24153.0,27979.0,3.4,50535.0,43.0,2682108600.0,46721.0,53074.0,4.15,1.71,0.41,0.18,0.41,5.5,16.6,26.9,23.6,26.6,28.9,21.0,3023.0,53.7,2161.0,17773.0,11516.0,22.0,644.0,310.0,812.0,,3900.0,3157.0,722.0,,1556.0,410.0,5584.0,4732.0,,,,,,,,,,40302,Marion,645
2016,45880.0,39.0,2488604354.0,49238.0,54242.0,78.0,6012.0,45.0,127392761.0,12175.0,21190.0,6.5,36234.0,45.0,163589185.0,189.0,4515.0,11.3,2720.0,64.0,79128673.0,24832.0,29091.0,3.4,51071.0,42.0,2747985751.0,47553.0,53807.0,4.25,1.71,0.4,0.18,0.41100000000000003,5.3,16.3,26.7,23.6,26.6,28.8,21.1,3086.0,67.6,1476.0,21907.0,11653.0,21.0,596.0,273.0,861.0,,3763.0,3093.0,757.0,,1562.0,331.0,5447.0,4380.0,,31.1,25.5,23.8,3.8,1.2,8.1,0.4,809.0,40302,Marion,646
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11486.0,23.0,537.0,256.0,856.0,2190.0,3654.0,3045.0,736.0,296.0,1455.0,350.0,5284.0,4060.0,5508.0,,,,,,,,,40302,Marion,647
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11395.0,,,,889.0,2220.0,3571.0,3004.0,691.0,239.0,1295.0,325.0,4950.0,3801.0,5465.0,,,,,,,,,40302,Marion,648
2011,19905.0,42.0,1087274882.0,44867.0,54623.0,76.0,3713.0,49.0,89241213.0,11265.0,24035.0,8.2,15372.0,49.0,118111348.0,384.0,7684.0,12.7,800.0,60.0,18736630.0,18088.0,23421.0,1.8,23119.0,45.0,1290555565.0,44691.0,55822.0,5.32,1.89,0.35,0.15,0.467,6.6,19.6,31.1,23.3,22.8,23.7,30.2,1650.0,51.4,2937.0,31155.0,,,,,,,,,,,,,,,,,,,,,,,868.0,50402,Mundaring,649
2013,24852.0,34.0,1134697075.0,37725.0,45658.0,76.0,3441.0,42.0,65741948.0,11739.0,19105.0,7.4,19002.0,42.0,120409897.0,390.0,6337.0,14.4,572.0,59.0,13000333.0,14199.0,22728.0,1.1,27464.0,39.0,1294961850.0,37288.0,47151.0,5.42,1.94,0.36,0.16,0.47100000000000003,7.1,20.1,31.5,31.7,26.5,23.3,18.5,1558.0,45.1,1227.0,28955.0,,12.0,267.0,111.0,,,,,,,,,3562.0,2976.0,,,,,,,,,,30306,Sunnybank,603
2012,20689.0,42.0,1233115773.0,48710.0,59602.0,77.0,3708.0,49.0,91221451.0,12563.0,24601.0,7.8,16092.0,49.0,135333173.0,365.0,8410.0,12.8,771.0,60.0,19116613.0,18934.0,24795.0,1.8,23694.0,45.0,1446484294.0,48639.0,61049.0,5.1,1.88,0.37,0.17,0.46399999999999997,6.6,19.6,31.1,22.5,22.5,23.4,31.6,1288.0,50.3,2894.0,39020.0,,,334.0,70.0,,,,,,,,,,,,,,,,,,,,50402,Mundaring,650
2013,21394.0,42.0,1351076615.0,51308.0,63152.0,77.0,3682.0,50.0,92283470.0,12067.0,25063.0,7.9,16358.0,49.0,135327693.0,334.0,8273.0,12.3,755.0,61.0,18064042.0,18609.0,23926.0,1.6,23964.0,45.0,1549627009.0,51213.0,64665.0,5.01,1.9,0.38,0.18,0.46,6.1,19.2,30.9,22.2,22.0,23.7,32.1,1393.0,51.3,3027.0,36854.0,,,308.0,70.0,,,,,,,,,2270.0,2150.0,,,,,,,,,,50402,Mundaring,651
2014,21606.0,42.0,1392934869.0,52037.0,64470.0,77.0,3650.0,50.0,89180959.0,11905.0,24433.0,7.8,16774.0,49.0,143551827.0,313.0,8558.0,12.6,719.0,62.0,18108904.0,18377.0,25186.0,1.6,24155.0,46.0,1588470284.0,51582.0,65762.0,4.95,1.91,0.39,0.18,0.462,6.5,19.6,31.2,22.3,22.6,23.3,31.8,1655.0,49.7,3513.0,30017.0,,,300.0,68.0,,,,,,,,,2147.0,2036.0,,,,,,,,,,50402,Mundaring,652
2015,22181.0,43.0,1456456454.0,53103.0,65662.0,76.0,3645.0,51.0,86105550.0,11957.0,23623.0,7.7,17446.0,49.0,141098410.0,248.0,8088.0,13.6,767.0,61.0,20588926.0,19809.0,26843.0,1.7,24574.0,46.0,1619241449.0,51869.0,65892.0,5.13,1.92,0.37,0.17,0.465,6.2,19.4,31.0,23.1,22.7,23.1,31.1,1612.0,65.5,4245.0,40613.0,4347.0,,303.0,65.0,201.0,,865.0,1097.0,405.0,,191.0,136.0,2058.0,1964.0,,,,,,,,,,50402,Mundaring,653
2016,21549.0,43.0,1435029836.0,54426.0,66594.0,76.0,3646.0,51.0,78100655.0,11716.0,21421.0,8.0,17183.0,49.0,129538505.0,201.0,7539.0,13.5,766.0,61.0,21757932.0,19528.0,28405.0,1.8,24171.0,46.0,1582564769.0,51395.0,65474.0,5.29,1.95,0.37,0.17,0.466,6.5,19.5,31.0,23.6,23.3,22.8,30.3,1382.0,65.2,2892.0,47175.0,4530.0,,286.0,56.0,232.0,,819.0,1109.0,394.0,,219.0,122.0,2027.0,1713.0,,25.8,19.8,22.4,6.1,3.3,9.2,0.5,944.0,50402,Mundaring,654
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4557.0,,265.0,49.0,243.0,744.0,803.0,1219.0,392.0,69.0,178.0,188.0,1992.0,1612.0,1508.0,,,,,,,,,50402,Mundaring,655
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4580.0,,,,250.0,759.0,830.0,1269.0,380.0,55.0,156.0,168.0,1899.0,1587.0,1475.0,,,,,,,,,50402,Mundaring,656
2011,3032.0,39.0,123366432.0,31026.0,40688.0,88.0,354.0,49.0,5135949.0,6153.0,14508.0,6.0,1244.0,45.0,1326134.0,122.0,1066.0,3.7,72.0,59.0,1714766.0,21048.0,23816.0,1.6,2820.0,41.0,126153860.0,35687.0,44735.0,5.66,2.04,0.36,0.15,0.456,4.4,16.6,28.4,27.7,27.2,22.3,22.7,84.0,3.3,6791.0,39715.0,,,,,,,,,,,,,,,,,,,,,,,524.0,70203,Daly - Tiwi - West Arnhem,657
2012,3071.0,40.0,135412665.0,33018.0,44094.0,87.0,375.0,49.0,4630390.0,6412.0,12348.0,6.2,1321.0,47.0,3561003.0,132.0,2696.0,4.3,90.0,59.0,2189519.0,17589.0,24328.0,2.0,2763.0,42.0,138705530.0,39230.0,50201.0,5.66,2.06,0.36,0.17,0.46,5.3,17.3,28.8,26.5,26.8,21.2,25.4,65.0,2.2,2980.0,33636.0,,,44.0,,,,,,,,,,,,,,,,,,,,,70203,Daly - Tiwi - West Arnhem,658
2014,25218.0,34.0,1156121892.0,37423.0,45845.0,76.0,3549.0,42.0,69467112.0,12120.0,19574.0,7.7,19257.0,41.0,127025437.0,364.0,6596.0,14.4,576.0,59.0,13383286.0,14323.0,23235.0,1.1,27722.0,38.0,1321363405.0,37300.0,47665.0,5.37,1.95,0.36,0.16,0.473,7.3,20.4,31.8,32.4,26.5,23.2,17.9,1696.0,41.1,2633.0,24218.0,,11.0,261.0,107.0,,,,,,,,,3622.0,3074.0,,,,,,,,,,30306,Sunnybank,604
2013,3269.0,40.0,151718408.0,35164.0,46411.0,88.0,369.0,50.0,4085277.0,4250.0,11071.0,5.2,1384.0,46.0,3512778.0,144.0,2538.0,4.3,77.0,61.0,2191746.0,22374.0,28464.0,1.9,2889.0,42.0,152621124.0,42240.0,52828.0,5.37,2.03,0.38,0.18,0.456,5.4,17.0,28.5,26.6,26.1,21.4,25.9,70.0,2.5,4000.0,36093.0,,,42.0,4.0,,,,,,,,,2156.0,1963.0,,,,,,,,,,70203,Daly - Tiwi - West Arnhem,659
2014,3466.0,40.0,160537977.0,34287.0,46318.0,88.0,345.0,50.0,4237392.0,7440.0,12282.0,5.3,1485.0,47.0,3483794.0,117.0,2346.0,5.0,80.0,60.0,2258375.0,22116.0,28230.0,1.6,2985.0,43.0,158846769.0,42749.0,53215.0,5.62,2.05,0.36,0.17,0.46,5.6,17.4,29.0,27.9,25.4,21.6,25.1,91.0,2.7,5615.0,29924.0,,,41.0,,,,,,,,,,2194.0,2022.0,,,,,,,,,,70203,Daly - Tiwi - West Arnhem,660
