gml_id,sa3_code16,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64f6,"20502","4206","3716","1786","729","21040",Gippsland - East
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64f5,"20503","5540","4604","2094","837","28461",Gippsland - South West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64f4,"20504","5503","3499","1897","757","32799",Latrobe Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64f3,"20505","3589","2267","1095","401","19694",Wellington
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64f2,"20601","4683","2145","931","444","49359",Brunswick - Coburg
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64f1,"20602","3353","1456","662","323","29943",Darebin - South
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64f0,"20603","4754","2310","954","505","36641",Essendon
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64ef,"20604","8944","5148","1851","905","107380",Melbourne City
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64ee,"20605","7613","4641","1716","683","67368",Port Phillip
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64ed,"21005","6685","3478","1417","360","61467",Tullamarine - Broadmeadows
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64ec,"21101","11401","6549","3352","1490","74394",Knox
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64eb,"21102","2436","1456","694","299","13068",Manningham - East
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64ea,"21103","7613","4947","2683","1199","54047",Maroondah
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64e9,"21104","4071","2985","1716","733","31032",Whitehorse - East
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64e8,"21105","11772","7488","2863","1051","70452",Yarra Ranges
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64e7,"21201","5334","3218","1330","467","41374",Cardinia
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64e6,"21202","8115","4182","2062","844","57111",Casey - North
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64e5,"21203","7466","3661","1543","469","70096",Casey - South
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64e4,"21204","8551","5811","3106","1221","76168",Dandenong
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64e3,"21205","11421","7568","4858","2298","91562",Monash
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64e2,"21301","8846","5076","2133","863","73463",Brimbank
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64e1,"21302","5624","2944","1452","719","40454",Hobsons Bay
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64e0,"21303","3953","1743","823","498","43873",Maribyrnong
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64df,"21304","7236","3892","1350","407","64023",Melton - Bacchus Marsh
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64de,"21305","9547","4701","1730","578","100359",Wyndham
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64dd,"21401","9180","5749","2942","1280","63124",Frankston
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64dc,"21402","12779","10794","5902","2397","74436",Mornington Peninsula
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64db,"21501","4657","3042","1521","769","25246",Grampians
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64da,"21502","3693","2400","1238","526","22715",Mildura
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64d9,"21503","2801","1826","994","455","15489",Murray River - Swan Hill
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64d8,"21601","2756","1894","1090","489","15807",Campaspe
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64d7,"21602","2103","1603","939","359","11960",Moira
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64d6,"21603","4101","2524","1259","560","26532",Shepparton
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64d5,"21701","2986","1939","887","424","15382",Glenelg - Southern Grampians
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64d4,"21703","2896","1896","959","379","15620",Colac - Corangamite
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64d3,"21704","3739","2374","1156","552","22647",Warrnambool
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64d2,"30101","5559","3084","1291","642","32565",Capalaba
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64d1,"30102","6749","5098","2502","1051","39162",Cleveland - Stradbroke
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64d0,"30103","4519","2719","1234","543","31918",Wynnum - Manly
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64cf,"30201","2820","1802","953","498","20261",Bald Hills - Everton Park
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64ce,"30202","4303","2597","1724","1021","35790",Chermside
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64cd,"30203","2333","1287","657","416","19964",Nundah
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64cc,"30204","3550","2229","1242","564","27579",Sandgate
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64cb,"30301","3603","1888","936","480","25856",Carindale
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64ca,"30302","4629","2488","1316","708","42065",Holland Park - Yeronga
