gml_id,sa3_name16,sa3_code16,p55_64_c_own_chld_childr,p55_64_c_oth_ch_chiln,p55_64_ca_ow_ch_ch_oth_ch_ch,p55_64_yr_c_for_t,p55_64_d_not_prov_ch_care,p55_64_u_ch_care_ns,p55_64_os_v,p55_64_yr_t,p65_74_c_own_chld_childr,p65_74_c_oth_ch_chiln,p65_74_ca_ow_ch_ch_oth_ch_ch,p65_74_yr_c_for_t,p65_74_d_not_prov_ch_care,p65_74_u_ch_care_ns,p65_74_os_v,p65_74_yr_t,p75_84_c_own_chld_childr,p75_84_c_oth_ch_chiln,p75_84_ca_ow_ch_ch_oth_ch_ch,p75_84_yr_c_for_t,p75_84_d_not_prov_ch_care,p75_84_u_ch_care_ns,p75_84_os_v,p75_84_yr_t,p85ovr_c_own_chld_childr,p85ovr_c_oth_ch_chiln,p85ov_ca_ow_ch_ch_oth_ch_ch,p85ovr_c_for_t,p85ovr_d_not_prov_ch_care,p85ovr_u_ch_care_ns,p85ovr_os_v,p85ovr_t,pt_c_own_chld_childrn,pt_c_oth_ch_chiln,pt_ca_ow_ch_ch_oth_ch_ch,pt_c_for_t,pt_d_not_prov_ch_care,pt_u_ch_care_ns,pt_os_v,pt_t
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5788,Chatswood - Lane Cove,"12101","913","1024","23","1961","8808","604","503","11872","210","1876","13","2102","5680","499","282","8559","37","510","4","553","3695","361","70","4671","5","43","0","49","2262","285","17","2612","21237","5023","544","26800","59217","5264","2740","94026"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5789,Hornsby,"12102","616","1169","13","1805","6845","316","343","9310","112","1602","6","1721","4289","303","202","6522","35","360","3","406","2747","256","49","3461","5","12","0","23","1401","195","7","1621","16237","4427","457","21125","39598","2753","1045","64510"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_578a,Ku-ring-gai,"12103","1249","1527","34","2809","10114","378","439","13743","215","3003","17","3234","6648","391","272","10538","64","920","11","990","5358","497","90","6925","11","56","4","69","3347","652","8","4074","23029","7075","591","30696","58511","3992","1772","94970"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_578b,North Sydney - Mosman,"12104","702","912","14","1626","7927","758","261","10569","105","2060","4","2178","5892","667","161","8893","19","492","0","513","3169","382","41","4106","3","21","0","22","1648","332","9","2018","14114","5010","332","19462","54032","6354","1471","81309"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_578c,Manly,"12201","353","469","5","828","3230","283","86","4423","50","855","8","911","2115","238","54","3320","9","237","0","244","1266","207","11","1732","0","13","0","14","675","199","0","884","7675","2260","249","10183","20929","2575","716","34402"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_578d,Marrickville - Sydenham - Petersham,"11702","316","434","15","766","4007","397","82","5249","64","547","9","621","2468","278","30","3397","14","174","0","188","1655","207","10","2056","3","14","0","15","759","65","3","839","7649","2309","296","10259","32045","4025","542","46873"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_578e,Pittwater,"12202","533","1180","15","1730","5921","344","52","8048","92","1709","10","1814","4190","422","40","6459","23","375","0","403","2641","385","22","3453","3","16","0","18","1266","368","7","1661","10911","4185","393","15494","28957","2773","442","47659"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_578f,Warringah,"12203","1016","1967","29","3017","11530","757","188","15490","181","3209","21","3411","7763","709","136","12018","43","846","7","899","5895","795","50","7630","11","55","0","72","3514","729","5","4315","28453","8572","947","37975","73096","7054","1281","119406"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5790,Camden,"12301","233","1274","9","1520","4241","217","36","6006","56","969","3","1027","2646","248","26","3946","3","123","3","128","1483","189","13","1820","9","6","0","17","658","182","3","854","12960","4027","512","17495","27383","2140","191","47210"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5791,Campbelltown (NSW),"12302","714","3106","40","3870","13516","1161","329","18875","148","2023","25","2199","8743","1092","211","12246","18","257","0","275","3877","707","50","4909","6","20","0","23","1225","478","8","1730","26417","9581","852","36851","77853","9433","1135","125267"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5792,Wollondilly,"12303","191","969","13","1174","3464","342","10","4983","34","621","9","663","2497","295","7","3461","7","99","0","106","1278","233","0","1617","11","3","0","14","445","147","0","607","7336","2783","287","10406","18955","2313","92","31760"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5793,Blue Mountains,"12401","521","1856","33","2413","8570","513","110","11608","72","1769","3","1842","6572","574","48","9035","9","258","0","268","3380","380","15","4040","6","5","0","14","1408","177","8","1605","12549","5642","671","18866","39696","3348","806","62708"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5794,Blue Mountains - South,"12402","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","5","0","8"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5795,Penrith,"12403","504","3035","34","3577","10678","862","167","15285","125","1963","13","2098","7440","820","114","10475","24","269","0","293","3702","536","21","4547","4","28","0","30","1489","227","5","1748","25430","9091","1086","35609","66491","7129","661","109888"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5796,Richmond - Windsor,"12404","144","697","9","848","2955","263","14","4074","24","465","7","496","2115","263","5","2886","9","102","0","108","1301","219","4","1633","0","6","0","9","557","126","0","693","5729","2327","250","8303","18239","3099","98","29744"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5797,St Marys,"12405","219","1126","15","1361","4802","484","57","6709","43","572","9","623","2795","309","37","3758","3","80","0","85","1227","191","7","1517","3","5","0","4","449","76","3","536","8769","3211","290","12275","27036","3218","217","42742"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5798,Auburn,"12501","509","772","27","1312","6442","703","388","8848","112","645","6","758","3282","397","145","4580","13","153","4","169","1863","223","57","2304","0","7","0","11","856","123","3","990","13280","3007","265","16558","49861","7947","1556","75920"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5799,Carlingford,"12502","547","995","14","1553","5894","331","302","8082","144","1056","8","1207","3589","324","188","5307","34","281","4","318","2561","256","62","3201","8","11","0","21","1045","182","9","1255","12244","3426","289","15966","34499","2685","1040","54185"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_579a,Merrylands - Guildford,"12503","753","1812","37","2604","11174","1082","287","15145","171","1467","11","1650","7689","815","168","10331","36","317","0","356","4626","605","40","5632","5","23","0","27","2255","327","6","2625","23388","6420","511","30311","78051","9463","1133","118955"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_579b,Parramatta,"12504","701","1407","42","2153","9169","1085","1146","13559","193","1667","17","1874","6247","757","490","9372","38","362","0","398","4287","627","81","5400","15","23","0","32","2192","422","3","2652","26682","5548","506","32743","72769","10179","3295","118989"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_579c,Pennant Hills - Epping,"12601","436","752","18","1204","4475","148","217","6041","101","1075","9","1185","2462","123","150","3923","29","267","0","306","1810","150","38","2300","3","14","0","17","973","112","3","1105","8669","2813","238","11724","25379","1262","807","39170"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_579d,Ryde - Hunters Hill,"12602","905","1686","32","2626","11107","723","615","15068","257","2136","27","2418","7022","569","352","10355","50","576","5","629","5127","504","87","6352","18","46","0","59","3259","435","20","3773","22578","6392","516","29486","76673","6237","3032","115430"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_579e,Bringelly - Green Valley,"12701","478","1471","37","1985","7655","768","117","10527","86","930","8","1029","4293","597","75","5991","12","164","0","181","2286","375","27","2863","9","8","0","14","713","90","7","822","17461","4781","442","22684","49639","6042","427","78790"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_579f,Fairfield,"12702","1236","2711","80","4033","18084","1290","227","23635","274","1980","33","2288","11012","952","108","14366","60","440","4","507","6870","667","38","8078","14","38","0","53","2804","279","14","3145","25559","8481","564","34601","106251","9160","1006","151015"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57a0,Liverpool,"12703","508","1390","23","1924","8660","1044","261","11888","141","1228","6","1379","5414","758","161","7714","10","201","0","214","3246","550","58","4066","4","18","0","22","1324","241","8","1599","20219","5047","461","25720","57384","8409","1011","92529"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57a1,Cronulla - Miranda - Caringbah,"12801","652","2287","27","2966","9645","671","104","13390","118","2751","10","2887","6571","573","70","10090","36","613","0","647","5172","538","37","6390","0","42","0","48","3115","421","5","3589","18630","7667","591","26883","56756","5019","574","89229"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57a2,Sutherland - Menai - Heathcote,"12802","555","2583","30","3164","9764","400","88","13422","97","2814","18","2926","6046","381","66","9422","38","453","4","497","3666","338","26","4518","5","31","0","36","2139","182","3","2371","19995","7961","727","28679","53018","3118","449","85269"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57a3,Ballarat,"20101","407","2208","19","2641","8602","773","50","12067","80","1747","4","1832","6529","849","26","9233","21","320","3","343","4073","767","12","5198","7","23","0","34","1956","366","3","2355","16695","7097","836","24627","51407","6274","360","82673"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57a4,Creswick - Daylesford - Ballan,"20102","185","626","7","821","3346","421","4","4591","41","483","0","523","2644","422","7","3600","6","72","4","82","1185","269","4","1535","14","3","0","22","491","142","0","658","4072","1799","184","6051","14520","2446","84","23094"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57a5,Maryborough - Pyrenees,"20103","127","539","3","670","3032","372","11","4088","28","382","0","408","2811","483","7","3711","4","57","3","64","1428","307","0","1804","8","5","0","7","532","150","0","692","3310","1521","136","4961","13480","2322","43","20806"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57a6,Bendigo,"20201","374","2115","18","2513","7845","766","52","11170","80","1459","4","1543","6000","824","31","8400","14","245","0","256","3942","826","11","5034","14","17","0","32","1894","568","3","2499","14953","6560","736","22254","46520","6326","326","75420"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57a7,Heathcote - Castlemaine - Kyneton,"20202","317","977","21","1321","5293","649","14","7273","56","837","10","904","4347","654","7","5915","15","147","0","161","2143","473","9","2788","7","9","0","24","855","269","3","1148","7120","2888","410","10420","23485","4354","146","38403"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57a8,Loddon - Elmore,"20203","58","282","4","340","1441","180","3","1957","9","173","0","184","1143","209","4","1538","0","30","0","30","578","141","0","745","0","0","0","0","243","55","0","297","1517","713","66","2295","5833","1087","26","9238"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57a9,Barwon - West,"20301","102","386","3","488","1810","164","4","2465","16","336","0","358","1177","148","6","1686","4","31","0","34","559","73","0","670","8","3","0","5","239","31","0","276","3578","1187","143","4914","8469","999","42","14416"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57aa,Geelong,"20302","821","3799","46","4668","15494","1454","165","21778","198","3332","23","3556","11527","1454","87","16630","55","608","5","661","7857","1449","27","9992","20","28","0","51","4139","952","10","5158","29735","12257","1238","43229","96202","12248","890","152564"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57ab,Surf Coast - Bellarine Peninsula,"20303","419","1657","11","2090","7078","590","41","9800","76","1836","18","1928","5702","632","32","8286","15","279","6","301","3322","479","4","4114","6","20","0","23","1490","267","5","1783","12088","5151","604","17841","33805","3842","270","55754"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57ac,Upper Goulburn Valley,"20401","259","1045","8","1317","6180","788","25","8313","51","950","0","1000","5129","813","23","6962","7","135","0","142","2639","588","7","3382","14","11","0","21","1049","284","0","1353","7864","3309","311","11490","28940","5323","542","46292"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57ad,Wangaratta - Benalla,"20402","204","1039","7","1251","4986","523","16","6781","44","723","5","768","4175","564","15","5525","12","138","0","150","2521","484","4","3157","7","14","0","20","1179","416","4","1619","6496","3043","281","9812","23781","3608","111","37312"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57ae,Wodonga - Alpine,"20403","346","1524","19","1886","7481","851","46","10263","67","1045","4","1120","5534","719","31","7397","15","179","0","191","2853","551","12","3601","10","22","0","30","1267","262","3","1561","11850","4682","552","17085","37402","5958","486","60928"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57af,Baw Baw,"20501","231","1107","9","1346","4606","513","21","6484","58","833","6","896","3861","508","14","5279","8","149","0","167","2175","428","6","2772","3","9","0","16","840","227","0","1080","7561","3350","398","11313","23495","3337","213","38358"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57b0,Gippsland - East,"20502","206","872","14","1088","5336","594","15","7032","37","634","0","680","5436","761","13","6896","12","115","0","124","2811","643","7","3590","3","7","0","15","966","375","10","1362","5753","2582","237","8570","23999","4105","161","36837"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57b1,Gippsland - South West,"20503","302","1397","19","1713","6831","720","38","9304","74","1207","3","1286","6487","843","19","8632","13","161","3","179","3423","720","10","4325","12","20","3","34","1499","377","4","1910","8688","4080","439","13201","31452","4714","222","49591"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57b2,Latrobe Valley,"20504","268","1675","11","1954","6901","821","25","9704","52","874","7","935","5313","800","18","7069","21","148","3","169","3177","743","3","4096","13","16","0","24","1382","376","3","1785","10654","4753","543","15950","36666","5883","146","58649"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57b3,Wellington,"20505","196","1038","16","1247","4437","557","12","6248","46","556","0","606","3596","477","6","4681","8","101","0","111","1884","408","0","2396","6","9","0","16","817","177","0","1007","6138","2672","312","9120","21129","3983","156","34386"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57b4,Brunswick - Coburg,"20601","429","745","10","1180","5706","476","90","7451","85","867","3","956","3484","344","52","4833","28","303","4","338","2978","308","9","3640","10","25","0","33","1454","179","6","1665","11835","3733","482","16044","52452","4717","786","74001"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57b5,Darebin - South,"20602","337","415","7","763","3699","302","46","4809","38","552","0","592","2089","236","27","2950","7","216","3","226","1913","208","7","2350","4","25","0","30","895","113","0","1038","8242","2386","377","11005","28882","2948","326","43168"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57b6,Essendon,"20603","349","825","15","1187","5382","440","103","7114","56","933","8","1002","2839","334","67","4242","12","203","5","219","2014","293","12","2538","3","26","0","30","1206","209","3","1443","10223","3184","270","13675","37041","4162","608","55487"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57b7,Melbourne City,"20604","424","1010","12","1451","7129","2974","1651","13213","94","1081","7","1187","4132","1707","510","7527","23","203","0","226","1830","743","154","2954","11","20","0","33","880","528","23","1460","11653","4622","248","16528","104925","26030","15522","163008"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57b8,Port Phillip,"20605","587","835","25","1444","7627","1156","276","10504","82","1282","6","1374","4712","791","99","6970","19","265","0","279","2418","438","26","3157","12","12","0","23","1181","183","9","1393","12302","4509","427","17246","61298","10077","2530","91149"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57b9,Nillumbik - Kinglake,"20903","441","1555","24","2022","6679","334","52","9085","54","1598","5","1657","3424","301","28","5410","7","202","0","209","1540","181","10","1941","7","10","0","15","587","95","3","703","11744","4581","522","16852","31507","2407","240","51009"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57ba,Whittlesea - Wallan,"20904","915","3547","42","4500","15237","1364","621","21722","214","2730","19","2965","10069","1215","356","14598","54","448","4","504","6195","802","50","7550","27","26","0","59","2098","292","3","2455","40038","11028","1049","52114","103514","11023","1809","168459"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57bb,Keilor,"21001","293","1000","14","1307","4835","351","73","6564","73","1447","10","1527","4011","496","44","6077","33","336","0","370","3352","474","14","4207","7","14","0","15","1400","244","0","1662","9496","3736","216","13453","31214","3037","308","48011"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57bc,Macedon Ranges,"21002","173","596","4","775","2815","253","9","3856","22","596","0","626","2005","223","8","2859","9","92","3","108","805","139","0","1047","0","5","0","9","303","75","0","389","5444","1879","257","7585","13402","1575","71","22629"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57bd,Stonnington - East,"20804","313","409","14","734","3353","220","76","4378","43","876","10","922","2115","197","36","3268","17","276","0","297","1535","202","13","2039","7","14","0","17","979","151","0","1146","6725","2269","220","9214","22711","1897","487","34310"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57be,Banyule,"20901","713","2084","32","2827","10853","692","244","14616","119","2787","11","2916","7443","729","125","11214","34","585","3","630","4988","783","35","6429","10","43","0","49","2634","595","5","3278","20769","7576","753","29095","63659","5956","991","99711"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57bf,Moreland - North,"21003","280","714","17","1016","4890","476","163","6546","55","694","9","761","3432","434","99","4726","27","280","3","306","3837","514","18","4685","5","21","0","26","2256","274","7","2564","12112","3005","305","15419","40770","4813","632","61639"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57c0,Sunbury,"21004","211","895","8","1118","3359","284","23","4784","32","623","9","669","2062","233","18","2986","9","101","0","108","1161","180","7","1451","6","10","0","18","520","83","0","620","7022","2591","278","9895","19253","1894","141","31188"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57c1,Tullamarine - Broadmeadows,"21005","730","1941","54","2718","11365","1169","369","15620","130","1500","14","1641","7058","932","241","9866","37","255","0","295","3645","550","47","4528","6","17","0","21","1100","169","6","1301","27268","6846","667","34784","79498","9711","1265","125255"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57c2,Knox,"21101","870","3108","40","4019","14582","808","435","19840","161","2941","14","3115","9235","751","239","13345","52","435","3","486","5695","768","47","6998","9","24","0","32","2655","482","9","3184","26037","9567","929","36536","82574","6197","1353","126654"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57c3,Manningham - East,"21102","198","565","8","780","2520","135","43","3480","31","702","4","735","1540","111","31","2418","8","140","0","147","1053","102","9","1309","0","8","0","11","556","88","0","651","4348","1840","153","6343","13391","929","162","20826"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57c4,Maroondah,"21103","518","2058","35","2601","9274","518","241","12640","105","2299","10","2421","6201","528","127","9273","27","425","0","449","4185","581","24","5234","6","14","0","19","2113","460","0","2598","19258","7108","816","27190","55973","4680","766","88606"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57c5,Whitehorse - East,"21104","392","946","8","1350","4924","223","269","6768","111","1498","10","1624","3755","235","157","5776","25","351","0","377","2889","346","33","3637","4","13","0","22","1391","266","3","1681","10969","3775","353","15093","31647","2216","862","49829"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57c6,Yarra Ranges,"21105","733","3389","36","4155","13792","972","76","18991","134","2854","12","3000","9484","958","59","13493","40","408","3","446","4827","683","23","5981","15","23","0","33","2036","360","4","2433","25328","10323","1256","36901","73455","7022","503","117891"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57c7,Cardinia,"21201","411","1630","28","2068","6643","619","126","9465","57","1162","11","1232","4818","538","69","6655","11","168","0","179","2424","412","17","3031","6","24","0","29","957","168","3","1158","18316","5478","772","24565","41611","4947","430","71546"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57c8,Casey - North,"21202","687","2342","30","3052","11088","718","301","15170","104","1687","14","1804","6558","690","206","9256","26","288","3","320","4049","532","43","4949","9","10","0","22","1772","257","11","2066","22980","7155","691","30818","66605","5868","1018","104311"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57c9,Casey - South,"21203","739","2318","37","3093","10650","1014","627","15376","154","1380","18","1551","6234","782","365","8934","30","221","4","253","3004","535","59","3862","4","19","0","27","1112","258","12","1409","33831","7979","1059","42871","74222","8621","1587","127292"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_57ca,Dandenong,"21204","1075","2253","46","3371","15103","1307","662","20438","226","2455","22","2708","11090","1282","313","15395","35","531","12","582","7218","1083","68","8951","11","34","3","46","3184","507","8","3744","28253","8427","587","37264","104139","11363","2283","155042"
