sa3_name16,sa3_code16,presch_indig_m,presch_indig_f,presch_indig_p,presch_nonind_m,presch_nonind_f,presch_nonind_p,presch_indig_st_nsm,presch_indig_st_nsf,presch_indig_st_nsp,presch_totm,presch_totf,presch_totp,infprim_indig_m,infprim_indig_f,infprim_indig_p,infprim_nonind_m,infprim_nonind_f,infprim_nonind_p,infprim_indig_st_nsm,infprim_indig_st_nsf,infprim_indig_st_nsp,infprim_totm,infprim_totf,infprim_totp,sec_indig_m,sec_indig_f,sec_indig_p,sec_nonind_m,sec_nonind_f,sec_nonind_p,sec_indig_st_nsm,sec_indig_st_nsf,sec_indig_st_nsp,sec_totm,sec_totf,sec_totp,tfei_ft_st_15_24_in_m,tfei_ft_st_15_24_id_f,tfei_ft_st_15_24_id_p,tfei_ft_st_15_24_no_id_m,tfei_ft_st_15_24_no_id_f,tfei_ft_st_15_24_no_id_p,tfei_ft_st_15_24_i_s_n_s_m,tfei_ft_st_15_24_i_s_n_s_f,tfei_ft_st_15_24_i_s_n_s_p,tfei_ft_st_15_24_totm,tfei_ft_st_15_24_totf,tfei_ft_st_15_24_totp,tfei_ft_st_25over_id_m,tfei_ft_st_25over_id_f,tfei_ft_st_25over_id_p,tfei_ft_st_25ov_non_id_m,tfei_ft_st_25ov_non_id_f,tfei_ft_st_25ov_non_id_p,tfei_ft_st_25ov_i_s_n_st_m,tfei_ft_st_25ov_i_s_n_st_f,tfei_ft_st_25ov_i_s_n_st_p,tfei_ft_st_25ov_totm,tfei_ft_st_25ov_totf,tfei_ft_st_25ov_totp,tfei_pt_st_15_24_id_m,tfei_pt_st_15_24_id_f,tfei_pt_st_15_24_id_p,tfei_pt_st_15_24_non_id_m,tfei_pt_st_15_24_no_id_f,tfei_pt_st_15_24_no_id_p,tfei_pt_st_15_24_i_s_n_s_m,tfei_pt_st_15_24_i_s_n_s_f,tfei_pt_st_15_24_i_s_n_s_p,tfei_pt_st_15_24_totm,tfei_pt_st_15_24_totf,tfei_pt_st_15_24_totp,tfei_pt_st_25ov_id_m,tfei_pt_st_25ov_id_f,tfei_pt_st_25ov_id_p,tfei_pt_st_25ov_non_id_m,tfei_pt_st_25ov_non_id_f,tfei_pt_st_25ov_non_id_p,tfei_pt_st_25ov_i_s_n_s_m,tfei_pt_st_25ov_i_s_n_s_f,tfei_pt_st_25ov_id_s_n_s_p,tfei_pt_st_25ov_totm,tfei_pt_st_25ov_totf,tfei_pt_st_25ov_totp,tfei_ft_pt_s_s_nt_st_id_m,tfei_ft_pt_s_s_nt_st_id_f,tfei_ft_pt_s_s_nt_st_id_p,tfei_ft_pt_s_s_nt_s_n_i_m,tfei_ft_pt_s_s_n_st_n_i_f,tfei_ft_pt_s_s_n_s_no_id_p,tfei_f_p_s_s_n_s_i_s_n_s_m,tfei_f_p_s_s_n_s_i_s_n_s_f,tfei_f_p_s_s_n_s_i_s_n_s_p,tfei_ft_pt_s_s_nt_st_to_m,tfei_ft_pt_s_s_nt_st_to_f,tfei_ft_pt_s_s_nt_st_to_p,tfei_tot_indig_m,tfei_tot_indig_f,tfei_tot_indig_p,tfei_tot_nonind_m,tfei_tot_nonind_f,tfei_tot_nonind_p,tfei_tot_indst_nsm,tfei_tot_indst_nsf,tfei_tot_indst_nsp,tfei_tot_totm,tfei_tot_totf,tfei_tot_totp,ut_ft_s_15_24_ind_m,ut_ft_s_15_24_ind_f,ut_ft_s_15_24_ind_p,ut_ft_s_15_24_nonind_m,ut_ft_s_15_24_nonind_f,ut_ft_s_15_24_nonind_p,ut_ft_s_15_24_in_st_nsm,ut_ft_s_15_24_in_st_nsf,ut_ft_s_15_24_in_st_nsp,ut_ft_s_15_24_totm,ut_ft_s_15_24_totf,ut_ft_s_15_24_totp,ut_ft_s_25_over_ind_m,ut_ft_s_25_over_ind_f,ut_ft_s_25_over_ind_p,ut_ft_s_25ov_nonind_m,ut_ft_s_25ov_nonind_f,ut_ft_s_25ov_nonind_p,ut_ft_s_25ov_indst_nsm,ut_ft_s_25ov_indst_nsf,ut_ft_s_25ov_indst_nsp,ut_ft_s_25ov_totm,ut_ft_s_25ov_totf,ut_ft_s_25ov_totp,ut_pt_s_15_24_ind_m,ut_pt_s_15_24_ind_f,ut_pt_s_15_24_ind_p,ut_pt_s_15_24_no_ind_m,ut_pt_s_15_24_nonind_f,ut_pt_s_15_24_nonind_p,ut_pt_s_15_24_in_st_nsm,ut_pt_s_15_24_in_st_nsf,ut_pt_s_15_24_in_st_nsp,ut_pt_s_15_24_totm,ut_pt_s_15_24_totf,ut_pt_s_15_24_totp,ut_pt_s_25over_in_m,ut_pt_s_25over_in_f,ut_pt_s_25over_in_p,ut_pt_s_25over_non_in_m,ut_pt_s_25over_non_in_f,ut_pt_s_25over_non_in_p,ut_pt_s_25ov_in_s_nsm,ut_pt_s_25ov_in_s_nsf,ut_pt_s_25ov_in_s_nsp,ut_pt_s_25over_totm,ut_pt_s_25over_totf,ut_pt_s_25over_totp,ut_ft_pt_stud_st_ns_ind_m,ut_ft_pt_stud_st_ns_ind_f,ut_ft_pt_stud_st_ns_ind_p,ut_ft_pt_stu_st_ns_nonind_m,ut_ft_pt_stu_st_ns_nonind_f,ut_ft_pt_stu_st_ns_nonind_p,ut_ft_pt_st_st_ns_in_st_nsm,ut_ft_pt_st_st_ns_in_st_nsf,ut_ft_pt_st_st_ns_in_st_nsp,ut_ft_pt_stu_st_ns_totm,ut_ft_pt_stu_st_ns_totf,ut_ft_pt_stu_st_ns_totp,ut_tot_indig_m,ut_tot_indig_f,ut_tot_indig_p,ut_tot_nonind_m,ut_tot_nonind_f,ut_tot_nonind_p,ut_tot_indigstat_nsm,ut_tot_indigstat_nsf,ut_tot_indigstat_nsp,ut_tot_totm,ut_tot_totf,ut_tot_totp,oei_ind_m,oei_ind_f,oei_ind_p,oei_nonind_m,oei_nonind_f,oei_nonind_p,oei_indst_nsm,oei_indst_nsf,oei_indst_nsp,oei_totm,oei_totf,oei_totp,t_ei_ns_ind_m,t_ei_ns_ind_f,t_ei_ns_ind_p,t_ei_ns_nonind_m,t_ei_ns_nonind_f,t_ei_ns_nonind_p,t_ei_ns_indst_nsm,t_ei_ns_indst_nsf
Bourke - Cobar - Coonamble,10501,115,112,222,127,153,279,3,3,7,246,267,512,447,456,897,592,567,1158,15,22,41,1052,1042,2097,244,278,522,312,279,591,14,6,23,562,570,1136,7,10,18,10,12,17,0,0,0,19,20,41,4,17,23,9,12,20,0,0,0,8,33,41,10,22,35,34,34,72,0,0,0,45,54,101,9,36,45,34,97,132,3,0,3,45,135,180,0,0,0,3,0,3,0,0,0,3,0,3,31,91,120,89,155,241,3,3,5,124,243,373,0,6,10,17,45,69,0,0,0,20,58,76,4,5,11,7,17,25,0,0,0,11,26,34,0,6,6,12,12,27,0,0,0,12,21,27,0,12,9,38,108,147,0,3,3,40,123,164,0,0,0,0,3,3,0,0,0,0,3,3,5,28,33,79,195,268,0,3,3,84,228,306,7,11,18,17,30,49,0,0,0,23,42,63,240,236,471,251,239,493,1307,1209
Broken Hill and Far West,10502,40,31,68,146,128,275,3,3,4,187,158,349,130,152,280,553,543,1095,13,13,30,698,711,1408,94,98,196,436,422,856,4,6,11,533,531,1062,4,11,14,22,20,38,0,0,0,28,29,57,9,11,14,6,42,44,0,0,0,12,48,64,9,0,13,63,42,102,3,0,3,71,43,116,4,13,21,56,127,187,0,0,0,67,137,205,0,3,3,0,0,0,0,0,0,0,3,3,26,38,65,147,232,377,0,4,6,178,269,444,0,3,3,9,40,49,0,0,0,9,42,49,0,4,11,4,19,26,0,0,0,5,29,34,0,3,3,10,15,23,0,0,0,7,16,27,6,10,15,48,98,150,3,0,3,59,110,169,0,0,0,0,4,4,0,0,0,0,4,4,3,18,27,75,178,251,3,0,3,80,204,284,7,12,15,29,61,91,0,0,0,42,71,111,139,87,228,296,288,580,622,615
Dubbo,10503,191,178,374,539,504,1041,7,11,22,738,700,1434,813,740,1557,2302,2133,4436,31,38,66,3145,2915,6062,536,489,1027,1559,1585,3145,28,38,74,2126,2120,4243,22,40,55,51,76,126,0,3,3,70,119,183,7,42,49,21,75,100,0,0,0,31,118,154,50,39,90,211,139,345,3,0,3,258,178,440,36,71,114,196,350,546,3,6,5,236,426,664,0,3,4,5,4,8,0,0,0,4,7,11,117,198,309,485,647,1126,5,10,15,602,852,1448,15,39,60,106,190,302,0,4,0,131,233,356,6,21,23,46,113,163,3,0,3,56,137,192,3,12,13,18,76,94,0,0,0,20,90,110,5,49,61,160,344,513,0,5,6,173,399,576,0,0,0,7,3,8,0,0,0,6,3,9,41,117,155,344,734,1080,3,3,10,382,858,1244,19,37,54,85,152,238,3,3,6,102,190,292,555,293,854,870,689,1559,2317,2339
Lower Hunter,10601,100,77,180,770,757,1533,10,14,21,878,849,1731,515,465,976,3442,3304,6748,56,48,103,4010,3818,7825,285,322,602,2466,2444,4915,39,34,73,2789,2804,5594,9,12,23,75,122,200,0,0,0,86,133,221,3,13,17,36,76,108,0,0,0,39,88,125,25,25,48,295,211,508,3,0,3,331,229,561,11,45,51,220,431,648,0,0,4,228,476,708,3,0,3,3,6,8,0,0,0,8,9,14,49,92,140,640,835,1472,7,0,12,696,928,1624,22,17,38,226,364,593,0,3,3,249,382,632,7,9,18,64,166,231,0,0,3,78,175,250,3,4,9,62,93,160,0,0,5,66,101,173,7,14,20,168,397,570,0,0,0,179,411,591,0,0,0,0,3,5,0,0,0,0,3,5,41,50,86,530,1024,1552,4,4,7,577,1082,1656,7,15,26,132,289,419,3,0,3,144,312,452,333,106,442,1382,916,2291,2521,2540
Maitland,10602,73,64,138,795,694,1486,3,4,6,870,768,1636,335,306,642,3287,3165,6456,39,35,69,3659,3506,7168,227,216,439,2332,2208,4537,20,20,41,2575,2447,5023,12,15,27,107,136,245,8,0,8,126,153,279,3,6,8,45,93,134,0,3,3,45,98,151,20,21,46,280,190,465,3,0,3,304,215,516,9,20,31,231,417,650,3,3,5,244,439,686,0,0,5,6,4,17,0,0,0,8,12,18,47,71,116,669,841,1513,13,7,17,727,915,1648,12,12,20,368,530,896,3,3,6,383,547,929,8,23,31,127,249,378,0,0,0,140,271,411,3,7,10,79,133,211,0,0,0,85,141,226,7,12,20,282,483,759,3,0,0,286,492,785,0,0,0,0,0,4,0,0,0,0,0,4,31,51,75,861,1394,2257,3,9,9,894,1451,2347,9,28,38,156,250,402,0,0,0,161,276,442,56,52,113,590,627,1224,1440,1412
Port Stephens,10603,60,78,134,564,526,1086,4,9,14,629,609,1233,307,268,578,2599,2472,5071,40,36,79,2944,2781,5726,192,189,378,2003,1875,3883,31,21,59,2227,2086,4316,3,10,9,70,81,149,0,0,0,71,93,160,3,8,13,22,82,106,0,0,0,25,90,114,18,16,31,234,139,374,3,0,3,253,154,409,14,24,34,165,313,471,0,0,3,180,330,510,0,0,0,7,0,9,0,0,0,6,4,10,38,53,87,491,616,1111,8,3,8,536,670,1209,14,20,35,226,360,589,0,3,3,238,381,625,3,10,15,76,194,267,3,0,3,84,204,284,0,5,5,65,82,151,0,0,0,65,91,161,6,12,18,139,340,480,0,3,6,150,350,503,0,0,0,0,10,10,0,0,0,0,11,8,24,44,67,511,984,1495,6,9,11,536,1039,1576,4,17,22,105,212,315,0,4,4,116,229,348,55,64,123,671,793,1465,2124,2054
Upper Hunter,10604,44,30,77,299,273,572,3,7,8,347,314,655,196,181,374,1265,1217,2485,16,31,45,1480,1431,2912,96,103,196,808,836,1646,18,23,41,922,961,1888,3,5,4,18,34,58,0,3,3,22,44,67,0,0,4,11,23,32,0,0,0,7,28,40,13,7,24,115,84,198,3,0,4,130,92,222,5,12,20,93,166,253,0,0,0,96,179,276,0,0,0,5,0,5,0,0,0,5,0,5,19,30,55,237,309,548,3,3,6,263,343,607,5,0,6,38,64,98,0,0,0,36,65,104,0,0,6,14,40,55,0,3,3,19,46,63,0,3,5,11,22,32,0,0,0,6,29,37,3,6,4,53,131,185,0,0,0,58,135,196,0,0,0,0,0,0,0,0,0,0,0,0,6,11,23,110,262,377,0,3,3,119,283,403,9,8,12,19,76,97,0,0,0,27,79,111,64,47,107,536,321,852,944,953
Dapto - Port Kembla,10701,44,55,101,786,707,1493,10,10,28,845,775,1615,224,227,447,2978,2821,5800,44,28,78,3245,3082,6327,149,152,307,2362,2309,4667,27,33,57,2537,2489,5029,3,9,6,95,100,194,3,0,3,101,104,207,4,10,11,73,140,214,0,4,4,70,151,225,15,11,25,270,153,428,4,0,11,298,169,466,9,15,21,205,290,494,3,0,0,214,308,524,0,0,3,6,9,16,0,3,3,13,13,23,33,46,76,655,696,1349,10,7,18,697,747,1438,6,19,25,510,628,1139,6,8,16,520,656,1178,8,9,12,155,197,351,0,3,6,158,208,365,0,0,7,82,107,191,0,0,0,88,110,197,8,13,24,180,368,544,0,3,3,182,387,568,0,0,0,0,4,3,0,0,0,0,4,3,16,43,60,924,1305,2224,8,11,26,953,1358,2309,7,12,18,128,274,405,0,5,7,142,292,431,77,57,138,784,852,1636,1385,1347
Illawarra Catchment Reserve,10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Kiama - Shellharbour,10703,62,49,115,962,825,1785,13,10,24,1035,885,1922,257,248,504,3651,3470,7121,51,38,88,3959,3759,7713,193,177,375,2855,2855,5704,31,28,57,3080,3062,6137,8,4,11,118,127,248,0,4,3,121,142,262,5,8,14,60,122,178,0,0,0,60,132,195,14,17,34,440,203,641,3,3,6,462,221,683,14,21,34,203,387,587,0,3,3,216,414,625,5,0,5,8,8,20,3,0,3,18,9,25,42,59,100,829,851,1672,7,5,18,880,916,1788,13,27,37,503,756,1262,0,7,7,513,790,1304,7,8,18,116,228,343,0,0,0,126,238,363,0,9,6,97,148,243,3,3,6,102,154,255,9,20,25,236,483,715,0,3,6,244,503,742,0,0,0,3,3,11,0,0,0,8,3,11,24,60,85,954,1618,2574,4,13,18,987,1691,2673,10,12,23,166,352,520,0,0,0,175,367,541,48,58,100,833,1024,1855,1866,1919
Wollongong,10704,41,33,79,1196,1133,2332,9,3,10,1244,1170,2418,186,185,374,4888,4727,9619,58,40,97,5129,4953,10088,136,151,284,3716,3614,7336,27,32,56,3885,3792,7682,6,10,14,177,212,391,0,0,0,184,221,404,7,9,18,179,241,424,0,0,3,187,259,442,14,4,18,533,236,764,0,0,0,545,244,787,14,8,21,362,539,906,3,3,3,380,557,936,0,0,0,10,16,26,0,0,0,13,16,25,33,35,72,1266,1246,2507,8,3,10,1302,1287,2594,48,62,108,3321,3144,6470,18,7,28,3389,3212,6603,17,11,33,1445,1048,2495,0,0,3,1468,1060,2530,10,7,18,254,305,560,0,4,7,263,318,580,17,20,37,642,1023,1666,0,3,5,663,1040,1703,0,0,0,12,15,28,0,3,3,12,13,27,93,104,197,5678,5527,11208,26,13,42,5798,5647,11448,3,11,13,296,484,782,0,5,5,305,494,800,31,41,67,887,1080,1967,2746,2663
Great Lakes,10801,28,38,72,196,175,372,0,8,5,232,219,451,125,124,250,849,839,1688,27,22,43,1001,984,1982,87,80,158,711,677,1389,20,22,42,818,772,1586,9,6,12,25,37,65,0,0,0,31,43,77,4,3,12,16,49,72,0,0,0,23,60,82,9,9,15,75,50,121,0,0,0,80,52,137,5,17,22,57,158,213,0,0,3,65,180,241,0,0,0,10,3,8,0,0,0,6,3,9,28,37,58,185,296,484,0,3,3,210,333,545,6,5,10,32,59,85,0,0,0,35,63,100,0,0,6,21,39,61,0,0,0,25,40,63,0,0,0,10,13,22,0,0,0,10,21,27,5,3,6,46,103,148,0,0,0,51,100,155,0,0,0,0,0,0,3,0,3,3,0,3,10,13,19,106,208,321,3,3,8,118,225,344,4,11,13,25,69,98,0,0,0,26,83,111,34,37,69,370,450,820,898,932
Kempsey - Nambucca,10802,90,92,188,334,260,592,9,8,11,433,359,791,388,378,767,1393,1396,2783,40,34,76,1814,1811,3628,242,243,482,1131,1061,2189,31,34,68,1403,1338,2744,7,15,16,32,44,72,0,0,0,43,53,99,8,22,30,28,79,108,0,0,3,33,104,138,13,18,28,113,82,195,3,0,3,127,92,222,15,38,50,87,207,290,0,4,4,98,243,343,0,0,0,0,0,7,0,0,0,0,3,4,36,82,123,266,410,673,3,8,11,304,500,803,0,16,19,55,97,148,3,3,8,60,112,175,0,10,11,22,82,101,3,3,4,30,94,117,0,4,3,13,28,38,0,3,3,14,31,44,3,15,13,73,179,252,0,0,0,82,191,271,0,0,0,3,3,7,0,0,0,3,4,4,8,39,46,166,388,552,8,10,15,180,430,615,5,21,28,50,104,152,0,4,4,56,125,182,326,173,504,947,791,1733,1515,1544
Lord Howe Island,10803,0,0,0,0,3,3,0,0,0,0,3,3,0,3,0,11,12,22,0,0,0,16,11,25,0,0,0,4,0,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,18,13
Port Macquarie,10804,42,75,117,659,582,1236,10,3,18,712,665,1370,268,260,530,2774,2627,5396,40,50,89,3086,2931,6021,194,172,365,2278,2271,4552,26,31,60,2498,2480,4971,8,10,24,70,93,166,0,0,0,77,111,191,7,20,27,41,138,181,0,0,0,49,160,206,20,11,35,224,172,401,6,3,8,254,189,438,14,20,33,211,437,648,0,4,8,226,461,688,3,0,3,7,11,11,0,0,0,7,11,13,51,71,124,553,849,1405,8,8,14,614,927,1539,8,20,30,150,329,479,0,0,0,160,345,510,6,14,19,98,197,294,0,4,3,104,213,319,6,4,9,30,59,92,0,0,0,38,70,104,10,20,33,204,432,640,4,3,5,212,458,672,0,0,0,6,4,6,0,0,0,6,4,6,26,61,91,488,1024,1509,6,10,9,518,1093,1617,8,17,25,127,263,385,3,0,0,135,281,413,60,63,121,761,982,1743,1965,1933
Taree - Gloucester,10805,78,69,147,405,349,757,8,10,14,491,431,922,347,306,652,1754,1611,3360,44,32,77,2139,1953,4092,207,193,403,1321,1411,2735,35,31,60,1565,1639,3202,10,11,26,57,69,126,0,0,0,68,84,149,12,14,24,45,106,149,0,0,0,51,123,172,15,12,27,137,115,250,3,0,3,150,128,284,13,33,50,104,248,347,3,0,3,120,287,405,0,3,6,3,3,4,0,0,0,5,7,12,52,75,131,337,546,880,9,0,9,395,624,1015,5,12,12,49,135,184,0,0,0,57,143,202,0,12,9,32,82,115,0,0,0,38,95,130,0,0,4,12,50,61,0,0,0,16,52,68,3,16,18,73,214,286,0,0,0,75,236,308,0,0,0,0,4,4,0,0,0,0,4,5,8,36,50,173,485,658,4,3,9,187,528,713,4,22,20,63,149,210,0,0,0,67,166,241,81,80,166,584,726,1303,1407,1484
Albury,10901,30,21,54,519,505,1027,4,0,3,555,531,1085,148,178,329,2464,2342,4804,22,25,50,2636,2541,5180,121,89,208,1848,1940,3788,21,23,39,1991,2052,4037,6,3,8,81,91,168,0,0,0,87,97,180,0,8,9,65,124,186,0,0,0,62,130,198,8,3,8,246,148,391,0,0,0,253,152,407,7,13,20,215,371,586,0,0,0,218,386,606,0,0,0,4,0,4,0,0,0,4,0,4,22,26,48,606,733,1341,4,0,5,630,766,1389,5,5,17,240,559,802,0,0,3,253,566,823,4,6,16,108,206,313,0,0,0,118,218,331,0,0,0,58,76,137,0,0,0,58,76,133,6,5,14,186,385,573,0,0,0,198,389,585,0,0,0,0,3,3,0,0,0,0,3,3,20,19,39,593,1233,1825,4,0,6,620,1253,1869,8,17,26,146,231,371,3,0,0,152,247,402,34,38,71,493,634,1127,1749,1752
Lower Murray,10902,18,12,22,95,96,186,0,0,3,108,101,214,79,74,154,453,414,867,8,11,22,540,500,1036,51,56,99,302,300,599,9,8,15,356,359,716,0,3,0,5,7,13,0,0,0,10,10,22,0,0,0,0,9,14,0,0,0,0,12,16,3,0,3,30,18,49,0,0,0,34,18,48,0,3,6,24,46,70,0,0,0,24,51,79,0,0,0,0,0,0,0,0,0,0,0,0,8,10,12,65,85,147,0,0,0,68,89,163,0,0,4,13,50,62,0,0,0,14,46,69,0,3,3,3,13,17,0,0,0,3,14,15,0,0,4,3,3,9,0,0,0,4,6,12,0,4,4,16,45,60,0,3,3,16,49,68,0,0,0,0,0,0,0,0,0,0,0,0,3,9,14,36,105,147,0,4,4,39,123,159,0,3,4,15,31,43,0,0,0,16,35,51,53,54,114,146,130,274,591,530
Upper Murray exc. Albury,10903,29,19,48,328,308,635,7,4,17,360,339,698,82,98,174,1463,1475,2941,45,21,61,1586,1598,3187,44,60,104,1059,1128,2185,18,20,41,1119,1211,2330,4,8,9,26,39,67,0,0,0,29,48,77,0,8,8,15,27,39,0,3,5,11,42,55,3,11,13,126,73,200,3,0,3,135,87,219,4,11,10,92,185,282,0,0,0,98,196,293,0,0,0,0,3,7,0,0,0,0,8,7,11,28,43,261,337,595,0,9,10,278,371,649,0,3,5,53,117,174,0,0,0,55,119,177,0,0,0,21,56,75,0,0,0,19,57,80,0,0,0,18,39,52,0,0,0,18,39,52,0,3,3,60,152,213,0,0,0,63,161,219,0,0,0,3,3,9,0,0,0,3,3,9,4,5,8,153,369,519,0,3,3,160,380,533,0,6,6,36,99,139,0,0,0,36,105,144,24,31,60,559,615,1175,1515,1523
Armidale,11001,46,41,92,279,242,519,4,8,9,330,291,619,215,199,414,1267,1286,2554,17,17,36,1496,1505,3008,123,126,248,1171,1191,2359,20,5,24,1308,1316,2631,3,3,5,45,41,88,0,0,0,55,48,100,6,9,16,31,42,75,0,0,0,43,50,88,9,14,24,90,71,160,0,0,0,106,79,183,15,12,23,101,177,279,0,0,0,118,184,301,0,0,0,4,0,9,0,0,0,4,0,9,36,36,73,276,332,612,0,0,3,316,363,680,32,48,81,766,1009,1775,3,3,5,802,1056,1860,9,12,20,308,374,677,0,3,5,312,387,702,3,0,3,84,127,207,0,0,0,89,129,213,3,11,11,174,347,528,0,0,0,182,358,537,0,0,0,12,6,19,0,0,0,12,6,19,46,75,114,1345,1861,3202,7,3,15,1394,1937,3330,10,10,15,51,69,120,0,3,3,53,83,143,61,64,126,318,378,695,1137,1209
Inverell - Tenterfield,11002,63,42,102,283,240,523,4,6,16,346,288,638,230,222,452,1288,1253,2544,17,23,41,1540,1500,3039,148,139,289,926,966,1888,20,28,50,1100,1132,2230,3,10,12,25,30,55,0,0,0,26,36,66,0,9,12,17,45,61,0,0,0,18,58,78,8,6,15,76,87,165,3,0,0,91,91,185,7,14,24,72,173,252,0,0,0,82,187,274,0,4,4,5,3,3,0,0,0,5,6,7,26,43,70,197,335,533,3,4,4,221,384,606,0,7,7,66,77,143,0,0,0,63,79,146,3,3,6,12,51,63,0,0,0,15,60,70,3,0,9,22,46,73,0,0,0,30,52,80,0,3,7,49,124,175,0,0,0,50,131,183,0,0,0,0,0,0,0,0,0,0,0,0,9,14,24,147,304,458,0,0,4,157,326,482,8,11,14,74,110,184,0,0,3,78,120,199,112,79,193,603,521,1120,1432,1494
Moree - Narrabri,11003,65,56,127,198,206,402,8,0,9,267,266,535,315,348,665,829,802,1628,24,18,41,1166,1166,2335,178,176,351,496,482,976,10,11,17,683,665,1350,0,3,4,5,14,20,0,0,0,7,16,27,6,17,20,7,12,23,0,0,0,17,27,45,18,7,23,65,38,98,0,3,3,81,42,123,10,17,32,45,93,137,0,3,0,60,111,174,0,3,7,0,3,3,0,0,0,3,7,6,36,49,85,128,155,280,0,4,3,168,203,369,5,4,10,24,56,82,0,0,0,31,58,87,3,6,7,11,27,39,0,0,0,15,30,48,0,4,4,12,24,41,0,0,0,12,32,45,5,4,8,35,121,152,0,0,0,40,127,165,0,0,0,0,0,3,0,0,0,0,0,3,13,16,33,85,230,312,0,0,0,98,250,343,4,4,13,25,48,69,0,0,0,34,51,77,127,141,270,257,272,535,1226,1211
Tamworth - Gunnedah,11004,175,150,333,657,667,1329,9,4,18,847,826,1672,706,629,1335,2883,2734,5614,41,38,76,3637,3399,7031,455,479,939,2079,2070,4150,32,36,69,2573,2585,5159,18,25,44,54,73,122,0,0,0,69,102,168,4,31,38,45,84,127,0,0,0,53,110,165,46,44,95,207,179,384,0,0,0,254,220,481,26,59,84,190,389,584,0,5,5,220,453,677,0,0,0,6,3,12,0,0,0,12,7,19,100,165,261,507,724,1231,0,6,9,609,897,1500,12,22,34,100,207,309,0,0,0,117,233,347,0,16,16,51,128,179,0,0,0,51,144,191,3,10,9,49,100,148,0,0,0,51,110,159,10,18,28,191,423,614,0,0,6,203,445,651,0,0,0,4,3,9,0,0,0,4,3,9,21,69,92,396,866,1261,3,3,5,426,938,1361,9,23,37,106,198,304,0,0,0,119,221,345,252,211,465,834,888,1722,2502,2558
Lake Macquarie - East,11101,85,68,158,1146,1083,2231,9,8,19,1240,1164,2405,367,340,707,4819,4481,9306,48,32,80,5234,4860,10090,226,248,471,3667,3530,7195,26,30,58,3916,3815,7732,7,19,24,136,136,273,0,0,0,140,155,298,8,11,19,56,132,186,0,0,0,66,137,207,27,20,47,477,265,743,3,3,3,509,291,799,9,18,31,315,536,846,0,6,6,326,558,885,0,0,0,11,10,18,0,0,0,11,10,18,54,67,125,990,1074,2063,7,4,14,1051,1143,2201,20,45,65,871,1022,1893,3,5,11,898,1070,1971,8,6,11,235,397,627,0,3,3,243,399,645,5,11,16,148,211,362,0,0,3,155,222,378,11,25,35,433,816,1250,0,4,6,439,848,1284,0,0,0,8,6,11,0,0,0,8,6,11,42,79,128,1699,2448,4142,7,17,16,1742,2546,4287,9,15,25,191,365,548,0,0,0,200,373,576,55,64,117,1017,1279,2293,1800,1805
Lake Macquarie - West,11102,73,56,130,626,608,1235,5,6,12,699,674,1375,321,287,606,2684,2648,5331,35,31,68,3036,2964,5997,209,215,422,2203,2154,4363,17,22,43,2435,2388,4825,8,6,16,95,104,199,0,0,0,102,111,213,3,14,12,36,100,136,0,0,0,35,115,149,20,19,44,264,158,415,0,0,0,282,180,460,9,27,39,204,350,557,0,0,0,215,382,591,0,0,0,4,0,8,0,0,0,7,0,5,41,71,107,599,710,1309,0,0,3,643,781,1424,16,28,42,412,507,919,0,0,3,436,531,971,6,9,11,152,254,399,3,0,3,154,260,413,3,5,9,73,99,168,0,0,0,75,105,180,9,16,23,210,402,615,0,0,3,217,416,636,0,0,0,0,7,8,0,0,0,0,7,8,34,49,83,850,1260,2109,9,3,10,889,1318,2205,14,21,33,133,255,393,3,0,3,151,273,428,69,44,110,744,973,1717,1181,1160
