sa3_name16,sa3_code16,iad_hhs_with_ind_p,iad_oth_households,iad_tot_households,inad_hhs_with_ind_p,inad_oth_households,inad_tot_households,ia_ns_indig_per,ia_ns_oth_households,ia_ns_tot_households,tot_hholds_w_indig_per,tot_oth_households,tot_tot_households
Belconnen,80101,708,30385,31096,96,2868,2961,28,641,666,832,33888,34722
Canberra East,80103,7,318,326,5,152,154,0,19,20,13,487,503
Gungahlin,80104,444,21720,22160,26,1044,1070,14,421,431,484,23180,23668
North Canberra,80105,286,16671,16954,56,1798,1853,18,487,505,353,18960,19319
South Canberra,80106,133,9610,9746,34,866,897,8,188,199,178,10662,10835
Tuggeranong,80107,852,26291,27144,106,2273,2372,26,615,647,984,29177,30166
Weston Creek,80108,134,7338,7470,22,770,787,10,154,163,161,8256,8419
Woden Valley,80109,178,11421,11595,35,1245,1275,11,277,285,222,12934,13158
Molonglo,80110,17,1620,1637,3,51,51,0,27,27,21,1689,1710
Urriarra - Namadgi,80111,5,139,142,0,19,19,0,3,3,5,160,166
Christmas Island,90101,0,316,315,0,61,68,0,17,18,3,394,399
Cocos (Keeling) Islands,90102,3,102,102,0,25,25,0,7,7,3,130,131
Jervis Bay,90103,25,28,55,22,3,27,5,3,11,58,36,86
Norfolk Island,90104,5,595,597,3,116,119,0,23,23,9,738,743
