SA3_MAIN11,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons,SA3_NAME11
10601,26668,71783,1183,2230,151,303,1334,2533,910,1422,0,0,0,0,26,60,936,1482,139,217,17,44,49,102,205,363,19,42,29162,76203,3369,0,32531,76203,Lower Hunter
10602,20172,56345,1196,2105,284,531,1480,2636,1145,1819,0,0,0,0,16,22,1161,1841,78,114,0,3,75,140,153,257,4,13,22970,61092,1551,0,24521,61092,Maitland
10603,20662,53915,1577,2936,1177,2603,2754,5539,820,1419,166,276,148,258,25,43,1159,1996,475,681,12,30,43,86,530,797,16,32,25121,62279,6709,0,31830,62279,Port Stephens
10604,9752,25358,279,482,45,79,324,561,499,780,0,4,8,12,10,9,517,805,128,178,6,14,29,51,163,243,22,39,10778,27006,1640,0,12418,27006,Upper Hunter
10701,22128,60977,1162,2225,664,1550,1826,3775,1285,2112,252,401,55,69,45,85,1637,2667,245,362,0,3,74,155,319,520,12,24,25922,67963,1635,0,27557,67963,Dapto - Port Kembla
10702,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,4,15,Illawarra Catchment Reserve
10703,24466,69556,1781,3275,1374,2823,3155,6098,1353,2259,238,385,166,226,37,61,1794,2931,312,478,0,3,87,206,399,687,9,9,29823,79281,3179,0,33002,79281,Kiama - Shellharbour
10704,28981,80867,2640,4927,3782,8245,6422,13172,4337,7399,2649,4606,2875,5436,116,214,9977,17655,270,407,5,3,154,314,429,724,36,71,45845,112489,4240,0,50085,112489,Wollongong
10801,9038,21570,1350,2264,311,603,1661,2867,651,1068,238,406,315,497,25,50,1229,2021,347,540,10,16,46,104,403,660,10,22,12341,27140,4193,0,16534,27140,Great Lakes
10802,16037,39309,753,1481,118,240,871,1721,863,1305,69,102,45,82,9,18,986,1507,252,381,27,65,64,129,343,575,9,21,18246,43133,3212,0,21458,43133,Kempsey - Nambucca
10803,112,245,4,3,0,0,4,3,0,3,0,0,0,0,14,20,14,23,0,0,0,0,3,3,3,3,0,0,133,274,49,0,182,274,Lord Howe Island
10804,21996,55748,2449,4173,898,1617,3347,5790,1584,2435,544,882,746,1301,37,65,2911,4683,599,933,6,10,190,319,795,1262,18,35,29067,67518,3580,0,32647,67518,Port Macquarie
10805,17441,43228,943,1552,159,336,1102,1888,1213,1701,31,36,0,0,17,32,1261,1769,202,310,18,54,91,176,311,540,20,43,20135,47468,3238,0,23373,47468,Taree - Gloucester
10901,17861,46104,993,1587,104,201,1097,1788,2930,4564,99,142,25,35,13,28,3067,4769,77,110,3,12,36,74,116,196,17,49,22158,52906,2731,0,24889,52906,Albury
10902,4302,10753,46,74,9,14,55,88,185,288,0,0,6,9,0,0,191,297,82,135,5,6,32,56,119,197,4,14,4671,11349,879,0,5550,11349,Lower Murray
10903,14186,34005,460,646,29,74,489,720,995,1438,0,0,0,0,6,9,1001,1447,218,332,10,17,78,197,306,546,32,81,16014,36799,3559,0,19573,36799,Upper Murray exc. Albury
11001,11300,28560,475,780,65,111,540,891,1020,1672,35,67,0,0,22,31,1077,1770,75,114,3,9,41,96,119,219,13,31,13049,31471,1850,0,14899,31471,Armidale
