sa3_name16,sa3_code16,med_ag_pe_in_pe_hh_in_p,me_ag_ps_n_in_ps_ot_hh,med_age_psns_tot,me_p_in_wk_in_ps_hh_in_ps,me_ps_in_wk_no_in_ps_ot_hh,med_psnl_inc_wk_tot,me_hh_in_wk_in_ps_hh_in_ps,me_hh_in_wk_no_in_ps_ot_hh,med_hhd_inc_wk_tot,me_mo_re_mt_in_ps_hh_in_ps,me_mo_re_mt_no_in_ps_ot_hh,med_mort_repay_mth_tot,me_re_wk_in_ps_hh_ind_psns,me_re_wk_no_in_psns_oth_hh,med_rent_wk_tot,av_n_p_pe_be_in_ps_hh_w_in_p,av_nu_ps_pe_be_no_in_ps_ot_hh,avg_nu_psns_per_bed_tot,av_hh_si_in_ps_hh_wi_ind_psns,avg_hh_si_no_ind_psn_othr_hhd,avg_household_size_tot,p_d_n_x_b_in_ps_hh_w_in_p,p_d_n_x_b_no_in_p_oth_hh,p_d_n_x_b_tot
Kingston,20803,28,40,40,593,750,749,1568,1582,1581,2134,2000,2000,351,356,356,1.0,0.8,0.8,2.8,2.5,2.5,6.8,2.2,2.2
Stonnington - East,20804,27,36,36,687,910,909,2049,2011,2011,2000,2500,2500,412,381,381,1.0,0.9,0.9,2.7,2.5,2.5,0.0,3.1,3.1
Capalaba,30101,21,39,39,541,728,725,1575,1666,1663,2028,1937,1950,365,380,380,1.0,0.8,0.8,3.4,2.7,2.7,8.0,1.8,2.0
Cleveland - Stradbroke,30102,24,44,43,522,662,658,1354,1455,1451,2000,2000,2000,345,400,400,0.9,0.7,0.8,3.2,2.6,2.6,5.9,1.3,1.4
Wynnum - Manly,30103,24,39,38,592,787,783,1502,1741,1731,2167,2048,2050,370,400,400,0.9,0.8,0.8,3.0,2.6,2.7,6.8,1.9,2.1
Bald Hills - Everton Park,30201,22,38,38,580,808,805,1579,1857,1850,1733,2000,2000,380,390,390,0.9,0.8,0.8,3.2,2.7,2.7,4.5,1.3,1.4
Chermside,30202,25,37,37,629,795,792,1455,1616,1612,1972,2000,2000,350,370,370,1.0,0.8,0.8,2.9,2.4,2.4,7.4,2.5,2.6
Nundah,30203,25,35,35,611,818,814,1629,1664,1663,1972,1950,1950,360,375,375,1.0,0.8,0.8,2.8,2.4,2.4,9.3,3.3,3.5
Sandgate,30204,23,38,38,534,705,701,1428,1470,1468,1863,1800,1800,345,355,355,1.0,0.8,0.8,3.1,2.5,2.5,8.3,2.7,2.9
Carindale,30301,24,37,36,594,855,852,1937,1943,1943,2167,2167,2167,410,420,420,0.9,0.8,0.8,3.0,2.6,2.7,6.9,1.8,1.9
Holland Park - Yeronga,30302,27,33,33,595,832,829,1505,1730,1727,2238,2050,2056,350,360,360,1.0,0.9,0.9,2.5,2.4,2.4,7.1,3.8,3.8
Mt Gravatt,30303,24,35,34,517,648,647,1621,1630,1630,2000,2000,2000,383,400,400,1.0,0.8,0.8,3.2,2.8,2.8,8.2,3.6,3.7
Nathan,30304,23,34,34,573,691,689,1505,1657,1653,2000,2000,2000,360,375,375,1.0,0.9,0.9,3.1,2.7,2.7,6.6,4.0,4.0
Rocklea - Acacia Ridge,30305,23,33,33,494,666,664,1537,1651,1648,1820,1867,1863,370,390,390,0.9,0.8,0.8,3.2,3.0,3.0,7.4,3.4,3.5
Mudgeeraba - Tallebudgera,30905,20,39,38,545,693,691,1921,1733,1738,2167,2000,2000,393,410,410,1.0,0.8,0.8,3.8,3.0,3.0,7.7,2.0,2.1
Nerang,30906,23,38,38,512,663,661,1526,1485,1486,2000,1907,1907,380,395,395,1.0,0.8,0.8,3.3,2.8,2.8,8.2,2.5,2.6
Ormeau - Oxenford,30907,20,34,34,605,733,731,1601,1732,1727,2090,2000,2000,410,420,415,1.0,0.8,0.8,3.6,3.0,3.0,6.1,1.9,2.0
Outback - South,31503,23,44,41,473,691,670,947,1142,1119,869,1000,997,145,120,130,1.0,0.7,0.8,2.8,2.2,2.3,7.0,1.8,2.4
Buderim,31601,21,40,40,559,645,644,1566,1427,1431,2000,1950,1950,420,420,420,0.9,0.8,0.8,3.3,2.6,2.6,5.2,1.4,1.5
Caloundra,31602,20,44,44,479,609,607,1398,1238,1242,1950,1928,1928,400,390,390,1.0,0.8,0.8,3.3,2.4,2.5,7.8,1.6,1.8
Maroochy,31603,25,44,44,555,652,650,1219,1213,1213,1759,1733,1733,350,350,350,1.0,0.8,0.8,2.8,2.2,2.2,7.4,2.3,2.4
Noosa,31605,22,47,46,494,631,630,1434,1234,1237,2050,1800,1804,400,410,410,1.0,0.7,0.8,3.3,2.4,2.4,8.4,1.3,1.4
Sunshine Coast Hinterland,31606,20,46,45,477,574,572,1331,1246,1248,1829,1733,1733,325,330,330,1.0,0.8,0.8,3.4,2.6,2.6,9.8,2.6,2.7
Nambour,31607,21,42,42,482,591,589,1260,1230,1231,1733,1703,1712,330,320,325,1.0,0.8,0.8,3.3,2.6,2.6,11.4,2.3,2.6
Noosa Hinterland,31608,22,47,47,503,560,560,1236,1213,1214,1612,1673,1662,343,340,340,1.0,0.8,0.8,3.4,2.6,2.6,6.4,2.3,2.4
Charters Towers - Ayr - Ingham,31801,22,46,43,338,588,552,962,1123,1106,1300,1300,1300,165,200,190,1.2,0.8,0.8,3.5,2.3,2.4,20.3,1.8,3.6
Townsville,31802,21,35,34,473,718,703,1216,1443,1424,1690,1733,1733,280,300,300,1.0,0.8,0.8,3.2,2.5,2.6,9.1,2.0,2.5
Bundaberg,31901,20,46,45,403,498,495,968,988,987,1500,1351,1365,265,260,260,1.0,0.8,0.8,3.2,2.3,2.4,9.1,1.9,2.3
Burnett,31902,21,47,45,380,477,471,879,904,902,1065,1120,1105,178,200,200,1.0,0.8,0.8,3.3,2.3,2.4,12.7,2.5,3.2
Gympie - Cooloola,31903,20,47,46,410,481,479,934,938,938,1311,1300,1300,260,250,250,1.0,0.8,0.8,3.2,2.3,2.4,8.9,2.6,2.8
Hervey Bay,31904,19,49,48,409,478,477,1019,922,926,1517,1500,1500,295,290,290,1.0,0.7,0.7,3.2,2.3,2.3,7.0,1.6,1.9
Broadbeach - Burleigh,30901,27,40,40,642,722,721,1730,1382,1388,2019,1900,1907,390,380,380,1.0,0.8,0.8,2.7,2.3,2.3,8.2,2.9,3.0
Coolangatta,30902,24,43,42,521,652,648,1288,1262,1262,2080,1842,1860,350,360,360,1.0,0.8,0.8,2.9,2.3,2.4,6.1,2.7,2.8
Gold Coast - North,30903,25,45,44,500,606,604,1208,1157,1158,1900,1733,1733,365,360,360,1.0,0.8,0.8,2.9,2.2,2.3,9.5,2.7,2.8
Gold Coast Hinterland,30904,22,45,45,543,640,639,2011,1407,1417,1950,1820,1820,356,360,360,0.9,0.8,0.8,3.4,2.6,2.6,0.0,2.2,2.2
North Lakes,31402,20,32,32,648,753,751,1593,1607,1606,1907,1898,1900,360,365,365,1.0,0.8,0.8,3.4,2.8,2.8,6.7,1.7,1.9
Strathpine,31403,20,36,36,533,672,669,1426,1399,1400,1647,1690,1690,330,340,340,1.0,0.8,0.8,3.4,2.7,2.7,9.1,2.9,3.2
Far North,31501,24,41,31,359,738,494,996,1388,1184,1733,1517,1600,120,105,120,1.2,0.9,1.1,3.8,2.3,3.0,25.1,4.2,13.9
Outback - North,31502,23,34,32,412,1016,842,1219,2011,1833,1800,1752,1768,160,225,195,1.2,0.8,0.9,3.5,2.4,2.7,19.5,2.6,6.6
Toowoomba,31701,19,38,37,474,656,649,1210,1302,1298,1540,1560,1560,290,285,285,1.0,0.8,0.8,3.3,2.5,2.5,7.8,1.9,2.2
Maryborough,31905,22,49,48,402,459,457,911,878,880,1192,1213,1213,245,240,240,1.0,0.8,0.8,3.1,2.3,2.3,7.4,2.5,2.7
Port Adelaide - West,40402,23,41,41,421,546,542,978,1099,1096,1625,1517,1517,244,255,250,1.0,0.8,0.8,2.8,2.3,2.3,9.8,3.9,4.1
Prospect - Walkerville,40106,29,39,39,459,769,766,1474,1608,1607,1767,1950,1950,253,300,300,0.9,0.9,0.9,2.4,2.4,2.4,3.1,3.1,3.1
West Torrens,40403,25,38,38,483,622,621,1294,1227,1228,1788,1712,1712,285,280,280,0.9,0.8,0.9,2.5,2.3,2.3,7.6,3.8,3.9
Barossa,40501,22,43,43,470,636,635,1386,1265,1267,1517,1387,1387,270,245,250,0.9,0.8,0.8,3.2,2.5,2.5,4.2,1.6,1.7
Lower North,40502,23,47,47,391,553,550,968,1027,1026,867,1040,1040,210,185,190,0.9,0.7,0.7,2.8,2.3,2.3,5.0,1.7,1.8
Mid North,40503,19,47,46,353,488,484,759,916,909,867,975,962,165,165,165,0.9,0.7,0.7,3.1,2.2,2.2,6.4,1.5,1.7
Yorke Peninsula,40504,24,53,53,374,482,480,817,866,864,1088,1083,1083,200,200,200,0.9,0.7,0.7,2.8,2.1,2.2,6.8,1.1,1.3
Eyre Peninsula and South West,40601,23,43,42,390,587,576,859,1087,1073,1252,1257,1257,165,180,180,0.9,0.7,0.8,3.0,2.3,2.3,8.9,1.5,1.9
Outback - North and East,40602,26,41,37,334,749,640,900,1297,1212,1127,1213,1204,117,173,160,1.1,0.7,0.8,3.3,2.2,2.4,17.6,1.6,4.5
Sunnybank,30306,23,33,33,556,535,535,1471,1463,1464,1820,1733,1733,390,395,395,1.0,0.9,0.9,3.3,3.0,3.1,7.0,5.8,5.8
Centenary,30401,22,39,39,587,815,813,2171,2033,2035,2183,2000,2000,413,410,410,1.0,0.8,0.8,3.5,2.8,2.9,3.6,1.2,1.3
Kenmore - Brookfield - Moggill,30402,22,41,40,622,861,860,2192,2319,2318,2167,2194,2188,450,450,450,0.9,0.8,0.8,3.6,3.0,3.0,0.0,1.0,1.0
Sherwood - Indooroopilly,30403,23,30,30,571,642,642,1963,1732,1733,1766,2167,2167,425,410,410,1.0,0.9,0.9,2.9,2.5,2.5,8.6,4.5,4.5
The Gap - Enoggera,30404,21,37,37,503,839,833,1459,1893,1885,2013,2080,2068,335,375,375,1.0,0.8,0.8,3.2,2.7,2.7,8.0,1.5,1.6
Brisbane Inner,30501,32,32,32,601,859,855,1246,1742,1734,2167,2058,2061,365,445,440,1.1,1.0,1.0,2.0,2.1,2.1,8.5,7.2,7.2
Brisbane Inner - East,30502,28,34,34,735,1036,1032,1854,2178,2170,2518,2383,2400,360,420,420,1.0,0.8,0.9,2.6,2.5,2.5,8.4,2.5,2.6
Brisbane Inner - North,30503,28,33,33,668,955,951,1504,1886,1879,2167,2167,2167,370,395,395,1.0,0.9,0.9,2.4,2.3,2.3,7.5,3.5,3.6
Brisbane Inner - West,30504,27,32,32,657,956,953,1693,2097,2092,2167,2383,2383,420,420,420,1.0,0.9,0.9,2.7,2.5,2.5,5.3,2.6,2.6
Cairns - North,30601,22,39,39,602,774,768,1508,1557,1554,1848,1733,1733,340,340,340,1.0,0.8,0.8,3.1,2.5,2.6,7.7,1.5,1.8
Cairns - South,30602,22,38,36,463,687,662,994,1272,1238,1625,1588,1599,250,290,283,1.1,0.8,0.9,3.2,2.4,2.5,15.9,3.5,5.0
Innisfail - Cassowary Coast,30603,23,46,43,362,583,540,1046,1075,1071,1268,1300,1300,180,225,215,1.2,0.8,0.9,3.7,2.3,2.5,23.6,2.9,5.6
Port Douglas - Daintree,30604,26,44,43,463,693,677,993,1186,1171,1652,1560,1560,200,290,280,1.1,0.8,0.8,3.0,2.2,2.3,12.6,3.0,3.8
Tablelands (East) - Kuranda,30605,23,47,45,393,545,528,963,1014,1009,1375,1430,1430,225,250,240,1.1,0.8,0.8,3.3,2.3,2.4,14.6,2.7,3.8
Darling Downs (West) - Maranoa,30701,22,39,38,458,678,661,1001,1258,1233,1300,1313,1300,200,190,195,1.0,0.8,0.8,3.0,2.4,2.5,6.3,1.9,2.3
Darling Downs - East,30702,18,42,41,451,597,589,1122,1183,1179,1408,1317,1322,235,225,225,1.0,0.8,0.8,3.3,2.5,2.5,7.4,2.2,2.5
Granite Belt,30703,19,46,45,428,515,510,965,990,988,1224,1300,1300,240,230,230,1.0,0.8,0.8,3.3,2.4,2.4,9.0,2.1,2.4
Central Highlands (Qld),30801,22,33,33,422,857,814,1180,1835,1788,1733,1850,1842,140,180,170,1.0,0.8,0.8,3.3,2.6,2.7,12.8,2.1,3.0
Rockhampton,30803,20,39,38,441,636,623,1148,1281,1268,1690,1625,1625,260,280,275,1.0,0.8,0.8,3.2,2.5,2.5,7.9,2.3,2.7
Biloela,30804,25,38,37,446,725,714,1259,1594,1575,1600,1517,1517,198,190,190,0.9,0.8,0.8,2.9,2.6,2.6,5.1,2.3,2.4
Gladstone,30805,20,36,35,455,690,678,1331,1602,1586,2000,1950,1950,240,250,250,0.9,0.8,0.8,3.1,2.6,2.6,4.9,1.7,1.8
Robina,30908,22,38,38,568,652,651,1565,1419,1422,2000,1860,1863,440,440,440,1.0,0.8,0.8,3.1,2.6,2.6,8.9,2.4,2.5
Southport,30909,23,38,37,493,577,575,1253,1194,1196,1950,1733,1733,380,370,370,1.0,0.9,0.9,2.9,2.4,2.4,9.7,4.7,4.9
Surfers Paradise,30910,28,40,40,652,673,672,1411,1273,1275,1733,1950,1950,378,375,375,1.1,0.9,1.0,2.5,2.2,2.2,10.0,5.6,5.7
Forest Lake - Oxley,31001,25,34,33,437,586,580,1095,1366,1354,1780,1733,1733,280,345,340,1.0,0.9,0.9,3.1,2.9,2.9,9.9,5.4,5.5
Ipswich Hinterland,31002,20,43,42,435,543,538,1236,1169,1172,1452,1517,1517,280,275,280,1.0,0.8,0.8,3.5,2.6,2.6,8.4,2.3,2.6
Ipswich Inner,31003,19,36,35,463,648,640,1241,1331,1325,1517,1517,1517,280,285,280,1.0,0.8,0.8,3.4,2.6,2.6,9.7,2.6,3.1
Springfield - Redbank,31004,19,30,30,500,721,715,1406,1585,1575,1733,1733,1733,330,345,345,1.0,0.8,0.8,3.5,3.0,3.1,9.0,3.8,4.1
Beaudesert,31101,19,43,42,454,528,524,1051,1090,1088,1733,1517,1550,295,288,288,1.0,0.8,0.8,3.4,2.5,2.6,8.5,2.1,2.5
Beenleigh,31102,20,36,35,472,596,591,1195,1173,1174,1580,1560,1560,320,320,320,1.0,0.8,0.8,3.4,2.6,2.6,10.3,3.1,3.5
Browns Plains,31103,19,33,32,545,638,636,1481,1435,1437,1690,1647,1647,350,350,350,1.0,0.8,0.9,3.6,3.0,3.0,8.6,4.6,4.8
Jimboomba,31104,19,35,35,570,721,717,1851,1846,1846,2068,2000,2000,400,400,400,1.0,0.8,0.8,3.8,3.2,3.2,4.7,2.2,2.3
Loganlea - Carbrook,31105,20,36,35,497,677,672,1471,1492,1491,1777,1733,1733,340,350,350,1.0,0.8,0.8,3.5,2.8,2.8,9.3,3.0,3.3
Springwood - Kingston,31106,19,34,34,453,589,584,1133,1293,1285,1603,1603,1603,290,310,310,1.1,0.9,0.9,3.4,2.8,2.8,13.2,6.3,6.6
Bowen Basin - North,31201,24,35,34,534,786,772,1381,1717,1686,1820,1559,1579,220,140,150,1.0,0.8,0.8,3.0,2.5,2.6,6.6,2.3,2.6
Mackay,31202,20,38,37,494,708,698,1232,1474,1456,1904,1950,1950,260,280,277,1.0,0.8,0.8,3.1,2.5,2.5,6.8,1.9,2.2
Whitsunday,31203,22,37,37,495,741,735,1125,1330,1321,1798,1733,1733,255,300,300,1.0,0.8,0.8,3.0,2.4,2.4,5.0,2.8,2.9
Bribie - Beachmere,31301,24,56,55,429,490,489,1091,927,932,1950,1600,1603,330,300,305,0.9,0.7,0.7,3.0,2.2,2.2,6.1,1.4,1.6
Caboolture,31302,18,35,34,440,564,558,1133,1218,1212,1690,1625,1625,310,310,310,1.0,0.8,0.8,3.5,2.7,2.8,9.0,3.0,3.4
Caboolture Hinterland,31303,26,42,42,435,572,568,1218,1203,1203,1660,1625,1625,283,280,280,1.0,0.8,0.8,3.1,2.6,2.6,6.4,3.4,3.5
Narangba - Burpengary,31304,20,37,37,464,634,629,1301,1448,1441,1733,1760,1755,320,329,326,1.0,0.8,0.8,3.6,2.8,2.9,10.3,2.2,2.5
Redcliffe,31305,22,46,45,471,599,595,1148,1132,1132,1733,1680,1690,320,320,320,1.0,0.8,0.8,3.0,2.3,2.3,8.2,2.3,2.5
The Hills District,31401,22,38,38,673,823,821,2090,2081,2081,2167,2031,2035,400,400,400,0.9,0.8,0.8,3.5,3.0,3.0,2.3,1.3,1.3
Adelaide City,40101,29,30,30,434,555,553,739,1271,1266,1647,1733,1733,187,375,375,1.0,0.9,0.9,1.8,1.9,1.9,5.3,5.7,5.7
Adelaide Hills,40102,19,42,42,580,710,709,1433,1559,1558,1690,1690,1690,305,309,309,0.9,0.8,0.8,3.2,2.6,2.6,3.7,1.5,1.5
Norwood - Payneham - St Peters,40105,24,40,40,465,683,681,1275,1308,1307,1539,1800,1800,275,300,300,0.9,0.8,0.8,2.4,2.2,2.2,5.7,2.6,2.6
Unley,40107,26,41,41,582,792,791,1388,1639,1636,2394,2000,2000,320,315,315,1.0,0.8,0.9,2.6,2.4,2.4,6.4,2.1,2.1
Gawler - Two Wells,40201,20,41,40,451,610,607,1266,1251,1252,1517,1500,1500,270,260,260,1.0,0.8,0.8,3.2,2.5,2.5,9.1,1.9,2.0
Playford,40202,19,33,33,441,498,497,932,1011,1008,1300,1300,1300,245,245,245,1.0,0.8,0.8,3.1,2.6,2.6,9.4,3.8,4.0
Port Adelaide - East,40203,24,35,35,425,561,558,897,1191,1185,1517,1600,1600,238,280,280,0.9,0.8,0.8,2.8,2.5,2.5,9.9,4.6,4.7
Salisbury,40204,22,36,35,476,534,533,1126,1151,1150,1408,1361,1365,265,278,275,1.0,0.8,0.8,3.1,2.6,2.6,9.2,4.4,4.5
Tea Tree Gully,40205,25,41,41,471,660,658,1309,1386,1385,1625,1517,1517,300,300,300,0.9,0.8,0.8,3.0,2.5,2.5,4.7,1.5,1.5
Mitcham,40303,26,42,42,457,715,713,1385,1598,1596,1882,1842,1842,300,300,300,0.9,0.8,0.8,2.9,2.6,2.6,6.6,2.1,2.2
Onkaparinga,40304,19,40,40,449,596,594,1058,1200,1197,1517,1450,1450,280,290,290,0.9,0.8,0.8,3.0,2.5,2.5,7.1,1.6,1.7
Charles Sturt,40401,24,41,41,470,612,611,1030,1231,1227,1733,1700,1700,260,290,290,0.9,0.8,0.8,2.7,2.4,2.4,8.0,3.1,3.2
Burnside,40103,25,44,44,408,808,807,1375,1718,1716,2000,2000,2000,305,320,320,0.9,0.8,0.8,2.7,2.5,2.5,0.0,2.1,2.1
Campbelltown (SA),40104,27,42,41,463,590,589,1275,1255,1255,1733,1700,1700,290,300,300,0.9,0.8,0.8,2.8,2.5,2.5,3.9,2.5,2.5
Fleurieu - Kangaroo Island,40701,22,53,53,433,505,504,959,931,931,1300,1300,1300,260,250,250,0.9,0.7,0.7,2.9,2.2,2.2,2.0,1.3,1.3
Limestone Coast,40702,22,43,42,446,609,607,1002,1112,1109,1083,1083,1083,180,176,177,0.9,0.7,0.8,2.9,2.3,2.4,4.6,1.7,1.8
Murray and Mallee,40703,23,45,45,400,528,523,893,969,965,1083,1083,1083,180,185,184,1.0,0.7,0.8,3.0,2.3,2.3,7.2,2.1,2.3
Augusta - Margaret River - Busselton,50101,18,41,41,488,660,658,1202,1298,1296,1800,1816,1816,310,340,340,1.0,0.8,0.8,3.2,2.5,2.5,5.8,1.6,1.6
Bunbury,50102,21,39,39,425,650,643,1148,1404,1396,1733,1733,1733,270,300,300,0.9,0.7,0.7,3.2,2.5,2.5,7.5,1.4,1.6
Manjimup,50103,22,47,47,421,571,566,972,1098,1094,1300,1430,1430,220,200,200,1.0,0.7,0.7,3.0,2.3,2.3,10.2,1.6,1.8
Mandurah,50201,20,44,43,420,556,553,1184,1169,1169,1892,1820,1826,300,320,320,0.9,0.7,0.7,3.4,2.4,2.4,7.6,1.2,1.4
Cottesloe - Claremont,50301,20,40,40,328,931,926,1708,2361,2358,2400,3000,3000,379,450,450,0.9,0.8,0.8,2.6,2.6,2.6,5.3,1.9,1.9
Perth City,50302,30,35,35,608,975,973,1659,1908,1906,2600,2167,2167,350,400,400,1.0,0.9,0.9,2.2,2.2,2.2,6.8,3.7,3.7
Bayswater - Bassendean,50401,23,38,38,446,732,728,1170,1514,1507,1950,2000,1999,300,350,350,0.9,0.8,0.8,3.0,2.4,2.4,9.3,2.6,2.7
Mundaring,50402,28,42,42,473,686,682,1562,1591,1590,2000,1950,1950,300,350,350,1.0,0.8,0.8,3.5,2.6,2.6,8.2,1.5,1.6
Swan,50403,20,34,34,471,726,721,1450,1649,1643,2000,2000,2000,320,360,355,1.0,0.8,0.8,3.4,2.8,2.8,8.3,2.4,2.5
Joondalup,50501,23,40,40,615,776,776,1864,1958,1957,2022,2100,2100,390,410,410,0.9,0.7,0.7,3.3,2.8,2.8,4.3,0.9,0.9
Stirling,50502,25,37,37,497,764,761,1230,1564,1558,1970,2000,2000,300,360,355,0.9,0.8,0.8,2.8,2.4,2.4,8.9,2.6,2.6
Wanneroo,50503,19,33,33,492,711,708,1397,1701,1695,2000,2058,2058,340,380,375,1.0,0.8,0.8,3.5,2.9,2.9,7.9,2.2,2.3
Armadale,50601,20,34,33,449,704,698,1253,1507,1497,1733,1950,1950,300,330,325,1.0,0.8,0.8,3.4,2.7,2.7,9.1,2.1,2.4
Belmont - Victoria Park,50602,26,34,34,465,767,761,1099,1533,1522,1950,2000,2000,280,360,360,1.0,0.8,0.8,2.8,2.3,2.4,10.9,3.9,4.1
Canning,50603,22,35,35,443,606,605,1197,1528,1524,1807,1950,1950,300,370,370,1.0,0.8,0.8,3.2,2.8,2.8,7.6,3.4,3.4
Gosnells,50604,23,34,34,446,640,636,1276,1486,1482,1700,1800,1800,300,350,350,1.0,0.8,0.8,3.5,2.8,2.9,9.9,3.6,3.7
Kalamunda,50605,19,39,39,466,735,732,1642,1662,1661,1965,2000,2000,350,380,380,0.9,0.7,0.7,3.4,2.7,2.7,6.8,1.6,1.7
Serpentine - Jarrahdale,50606,18,33,32,706,774,773,1903,1857,1858,2167,2126,2136,370,380,380,0.9,0.8,0.8,3.9,2.9,3.0,7.2,1.7,1.8
South Perth,50607,20,37,37,343,845,838,1125,1787,1780,3197,2167,2173,265,380,375,1.0,0.8,0.8,2.9,2.3,2.3,12.6,1.8,1.9
Cockburn,50701,22,35,35,489,764,761,1368,1754,1745,2167,2058,2058,335,380,380,0.9,0.8,0.8,3.3,2.7,2.7,7.6,1.9,2.0
Fremantle,50702,26,42,42,425,817,810,1057,1688,1677,2145,2167,2167,200,370,360,1.0,0.8,0.8,2.7,2.3,2.3,10.5,1.8,2.0
Kwinana,50703,24,32,32,442,691,684,1157,1480,1471,1733,1818,1813,300,330,325,0.9,0.8,0.8,3.2,2.7,2.7,8.5,2.5,2.7
Melville,50704,22,41,41,486,758,757,1511,1848,1846,1903,2167,2167,365,400,400,0.9,0.7,0.7,3.2,2.6,2.6,7.3,1.2,1.3
Rockingham,50705,20,35,34,533,685,682,1524,1556,1555,1950,1950,1950,350,350,350,0.9,0.7,0.7,3.4,2.7,2.7,6.5,1.4,1.5
Albany,50901,24,44,44,399,619,613,1066,1182,1178,1254,1500,1500,200,240,240,1.0,0.8,0.8,3.1,2.4,2.4,8.3,2.1,2.3
Wheat Belt - North,50902,23,46,45,400,630,617,1021,1208,1199,1300,1408,1408,175,188,185,1.0,0.7,0.7,3.3,2.4,2.4,9.5,1.8,2.1
Wheat Belt - South,50903,25,45,44,390,688,672,888,1239,1220,1000,1127,1109,190,162,168,1.0,0.7,0.7,3.1,2.3,2.3,11.2,1.4,1.9
Kimberley,51001,25,36,32,331,1088,748,920,2014,1592,2167,2400,2383,119,255,180,1.2,0.9,1.0,3.5,2.3,2.8,23.4,4.0,11.1
East Pilbara,51002,27,33,32,434,1723,1554,1735,2707,2476,2279,2600,2500,120,175,150,1.1,0.9,0.9,3.5,2.6,2.8,16.4,2.4,5.2
West Pilbara,51003,25,34,33,496,1861,1763,1772,2735,2569,2223,2600,2600,130,150,150,1.1,0.9,0.9,3.3,2.7,2.8,12.9,1.8,3.3
Esperance,51101,18,41,40,355,695,682,1283,1348,1345,1489,1625,1625,223,230,230,1.0,0.8,0.8,3.3,2.4,2.5,6.5,1.5,1.7
Gascoyne,51102,24,40,38,397,759,717,1003,1391,1337,1517,1800,1783,145,225,200,1.1,0.9,0.9,3.1,2.3,2.4,16.3,3.4,5.1
Goldfields,51103,24,34,33,347,1044,938,1075,2054,1980,1500,1733,1733,150,265,250,1.2,0.8,0.8,3.6,2.5,2.6,20.6,2.1,4.0
Mid West,51104,24,42,40,396,683,655,970,1309,1277,1677,1698,1690,200,250,250,1.0,0.7,0.8,3.2,2.4,2.5,11.4,1.4,2.3
Brighton,60101,21,36,35,444,589,573,1019,1139,1125,1300,1300,1300,210,220,215,1.0,0.8,0.8,3.0,2.6,2.6,8.2,2.8,3.4
Hobart - North East,60102,25,43,42,506,679,672,1237,1304,1300,1324,1452,1445,250,270,265,0.9,0.8,0.8,3.0,2.4,2.4,5.8,1.7,1.9
Hobart - North West,60103,23,41,40,477,556,552,1017,1011,1012,1260,1300,1300,250,240,240,1.0,0.8,0.8,2.9,2.3,2.3,7.0,3.2,3.4
Hobart - South and West,60104,25,41,41,627,688,686,1484,1399,1404,1638,1517,1517,300,300,300,0.9,0.8,0.8,3.1,2.5,2.6,5.0,1.8,1.9
Hobart Inner,60105,26,39,39,538,721,718,1330,1441,1438,1625,1647,1647,280,290,290,1.0,0.8,0.8,2.6,2.3,2.3,7.5,2.6,2.7
Sorell - Dodges Ferry,60106,25,44,43,454,600,595,1234,1151,1156,1300,1300,1300,280,260,260,0.9,0.8,0.8,3.1,2.4,2.4,9.3,2.3,2.7
Launceston,60201,22,40,40,459,577,573,943,1086,1079,1300,1300,1300,220,230,230,0.9,0.8,0.8,2.8,2.3,2.3,5.2,2.3,2.4
Meander Valley - West Tamar,60202,21,48,47,435,496,495,989,976,977,1257,1200,1200,225,200,200,1.0,0.8,0.8,3.1,2.3,2.4,7.6,1.6,1.8
North East,60203,26,48,48,434,493,491,907,921,920,1083,1127,1127,180,180,180,0.9,0.8,0.8,2.8,2.3,2.3,7.9,1.9,2.2
Central Highlands (Tas.),60301,27,46,45,410,516,509,1008,1001,1002,1067,1105,1100,178,150,151,1.0,0.8,0.8,2.9,2.4,2.4,5.5,2.3,2.5
Huon - Bruny Island,60302,24,48,47,471,506,502,1157,985,1001,1300,1300,1300,235,225,228,1.0,0.8,0.8,3.0,2.3,2.4,4.8,2.7,2.9
South East Coast,60303,28,56,56,445,488,486,875,826,829,957,1064,1040,200,190,190,0.9,0.7,0.8,2.7,2.0,2.1,4.5,1.6,1.7
Holdfast Bay,40301,29,46,46,629,751,751,1511,1360,1362,2167,1798,1800,320,300,300,1.0,0.8,0.8,2.4,2.2,2.2,3.0,1.3,1.3
Marion,40302,23,39,39,444,631,629,1170,1265,1263,1760,1625,1625,270,300,300,1.0,0.8,0.8,2.8,2.4,2.4,9.0,2.2,2.3
Burnie - Ulverstone,60401,24,45,44,472,519,515,1034,957,964,1200,1142,1148,210,200,200,0.9,0.8,0.8,2.8,2.2,2.3,4.6,1.6,1.9
Devonport,60402,26,46,45,467,526,522,1077,995,1001,1257,1213,1213,224,220,220,0.9,0.8,0.8,2.9,2.3,2.3,5.3,2.0,2.2
West Coast,60403,23,45,43,489,557,550,1183,1032,1049,1083,1000,1036,170,150,150,0.9,0.7,0.8,2.9,2.2,2.3,4.3,1.6,2.0
Darwin City,70101,30,34,34,511,1219,1195,1700,2342,2320,2253,2253,2253,350,475,470,1.1,0.9,0.9,2.7,2.3,2.3,14.6,4.8,5.3
Darwin Suburbs,70102,23,35,34,576,983,956,1786,2101,2075,2167,2167,2167,310,400,390,1.1,1.0,1.0,3.2,2.7,2.8,11.8,6.3,6.9
