sa3_code16,sa3_name16,num_employed_000_males,num_employed_000_females,num_employed_000_persons,median_income_per_employed_aud_males,median_income_per_employed_aud_females,median_income_per_employed_aud_persons
40201,Gawler - Two Wells,9.452,8.513,17.964000000000002,53420.0,33687.0,42741.0
40202,Playford,21.684,17.477999999999998,39.165,46852.0,31854.0,39889.0
40203,Port Adelaide - East,17.771,15.261,33.031,46719.0,37281.0,42110.0
40204,Salisbury,37.33,31.094,68.422,48566.0,34446.0,41777.0
40205,Tea Tree Gully,27.754,26.021,53.775,54737.0,37189.0,45380.0
40303,Mitcham,18.226,18.062,36.288000000000004,56132.0,38791.0,46116.0
40304,Onkaparinga,46.836000000000006,43.242,90.079,49800.0,34758.0,41866.0
40401,Charles Sturt,30.068,27.794,57.861999999999995,48913.0,36997.0,42741.0
40402,Port Adelaide - West,16.465,14.54,31.0,48516.0,36938.0,42784.0
50702,Fremantle,13.073,11.793,24.864,61777.0,38443.0,48260.0
50703,Kwinana,10.413,8.251,18.664,64760.0,35152.0,50448.0
50704,Melville,33.986999999999995,31.031,65.017,67989.0,37729.0,50116.0
50705,Rockingham,37.88,30.269000000000002,68.15,75153.0,34592.0,52664.0
50901,Albany,17.855999999999998,15.797,33.650999999999996,42852.0,28166.0,35036.0
50902,Wheat Belt - North,17.598,14.232999999999999,31.834,51507.0,31123.0,40623.0
50903,Wheat Belt - South,6.768,5.615,12.383,47197.0,30425.0,38008.0
51001,Kimberley,10.49,9.199,19.692,47927.0,36963.0,41928.0
51002,East Pilbara,8.486,6.029,14.519,108983.0,46975.0,74204.0
40103,Burnside,12.232000000000001,12.325,24.553,57404.0,38806.0,46392.0
40104,Campbelltown (SA),13.775,13.282,27.057,48642.0,35703.0,41751.0
51003,West Pilbara,10.93,7.915,18.847,114205.0,46578.0,78542.0
51101,Esperance,5.447,4.391,9.835,52621.0,29145.0,39785.0
40106,Prospect - Walkerville,8.394,7.897,16.287,51768.0,40666.0,45901.0
51104,Mid West,17.402,14.325,31.721999999999998,60199.0,33501.0,45116.0
60101,Brighton,4.05,3.77,7.817,47236.0,33075.0,39862.0
60102,Hobart - North East,13.669,13.624,27.293000000000003,49786.0,37786.0,43211.0
60103,Hobart - North West,13.585,12.565,26.154,44490.0,34042.0,39650.0
60104,Hobart - South and West,8.921,8.988999999999999,17.913,51231.0,36545.0,43093.0
60105,Hobart Inner,15.298,15.139000000000001,30.439,47155.0,39048.0,42725.0
60106,Sorell - Dodges Ferry,4.317,4.059,8.377,44669.0,33321.0,38917.0
60201,Launceston,21.81,20.655,42.467,44809.0,33156.0,39070.0
60202,Meander Valley - West Tamar,6.2010000000000005,5.374,11.583,42233.0,27429.0,34321.0
60203,North East,10.026,8.488,18.517,41601.0,26936.0,33914.0
60301,Central Highlands (Tas.),3.2439999999999998,2.59,5.84,40000.0,28397.0,34523.0
60302,Huon - Bruny Island,5.233,4.5680000000000005,9.802999999999999,38256.0,26216.0,32154.0
60303,South East Coast,1.778,1.5590000000000002,3.3289999999999997,31403.0,23917.0,27432.0
60402,Devonport,12.16,10.979000000000001,23.136999999999997,44859.0,28680.0,36644.0
60403,West Coast,5.4879999999999995,4.391,9.877,47280.0,27158.0,37454.0
70101,Darwin City,13.825999999999999,10.927,24.748,54078.0,39851.0,47699.0
70102,Darwin Suburbs,19.682000000000002,16.984,36.662,59400.0,47922.0,53792.0
70103,Litchfield,6.502999999999999,5.127999999999999,11.629000000000001,66245.0,46184.0,55633.0
70104,Palmerston,11.752,9.526,21.274,68638.0,46445.0,58676.0
40301,Holdfast Bay,10.024,9.862,19.883,53921.0,39277.0,45576.0
40302,Marion,25.349,24.462,49.82,51044.0,37668.0,43877.0
60401,Burnie - Ulverstone,12.769,11.314,24.081,47822.0,29733.0,38688.0
70201,Alice Springs,11.253,11.07,22.322,47816.0,39704.0,43520.0
70202,Barkly,1.193,1.021,2.214,39278.0,36767.0,38384.0
70203,Daly - Tiwi - West Arnhem,2.035,1.6269999999999998,3.66,41460.0,28170.0,34691.0
70204,East Arnhem,2.07,1.746,3.813,85450.0,36251.0,53631.0
70205,Katherine,4.287,3.69,7.975,44920.0,36395.0,40791.0
