sa3_name16,sa3_code16,t_ei_ns_indst_nsp,t_ei_ns_totm,t_ei_ns_totf,t_ei_ns_totp,tot_indig_m,tot_indig_f,tot_indig_p,tot_nonind_m,tot_nonind_f,tot_nonind_p,tot_indigstat_nsm,tot_indigstat_nsf,tot_indigstat_nsp,tot_totm,tot_totf,tot_totp
Sandgate,30204,2170,1538,1615,3153,273,311,581,6376,6871,13244,1098,1153,2252,7752,8332,16081
Carindale,30301,1912,1203,1255,2466,102,131,225,6143,6474,12621,999,990,1987,7243,7598,14837
Holland Park - Yeronga,30302,3896,2402,2288,4690,148,164,314,9295,9744,19036,2045,1935,3979,11483,11848,23329
Mt Gravatt,30303,2481,1718,1815,3536,165,162,326,9802,10635,20440,1282,1303,2584,11253,12097,23355
Nathan,30304,1729,1137,1116,2254,90,126,214,5513,5469,10986,919,878,1799,6523,6472,12994
Rocklea - Acacia Ridge,30305,2126,1617,1512,3132,187,175,366,7914,8144,16060,1130,1049,2177,9235,9368,18604
Mudgeeraba - Tallebudgera,30905,1473,957,931,1883,99,124,222,4378,4654,9036,777,772,1547,5250,5554,10806
Nerang,30906,3403,2146,2296,4435,246,268,511,7711,8398,16106,1727,1793,3519,9682,10459,20138
Ormeau - Oxenford,30907,6861,4262,4316,8577,435,502,933,14896,16504,31404,3550,3514,7060,18880,20516,39394
Outback - South,31503,1139,817,823,1643,326,346,674,1342,1481,2821,591,588,1178,2260,2421,4679
Buderim,31601,2212,1468,1485,2948,173,191,368,6706,7914,14622,1169,1120,2295,8050,9234,17284
Caloundra,31602,3469,2298,2479,4777,330,327,662,8428,9139,17572,1775,1813,3588,10536,11276,21810
Maroochy,31603,3639,2183,2356,4539,152,203,357,5146,5857,11005,1841,1899,3744,7142,7957,15100
Noosa,31605,2167,1483,1625,3108,96,107,200,4276,4722,8995,1116,1104,2219,5490,5931,11420
Sunshine Coast Hinterland,31606,2328,1677,1632,3310,186,235,418,5094,5653,10744,1248,1198,2452,6529,7085,13613
Nambour,31607,2046,1386,1351,2737,239,257,494,4379,4994,9375,1105,1021,2132,5724,6271,11998
Noosa Hinterland,31608,1121,781,729,1506,79,90,168,2294,2466,4761,626,544,1171,2996,3102,6097
Charters Towers - Ayr - Ingham,31801,2696,1982,1939,3927,938,779,1717,3578,3838,7412,1418,1379,2800,5939,5990,11923
Townsville,31802,11598,8494,6947,15444,2870,2746,5618,20525,23237,43761,6533,5426,11959,29927,31413,61335
Bundaberg,31901,4945,3422,3412,6835,670,733,1399,8366,9079,17446,2629,2494,5124,11667,12310,23969
Burnett,31902,3237,2557,2280,4834,755,698,1449,4348,4599,8947,1790,1584,3372,6898,6873,13769
Gympie - Cooloola,31903,3181,2252,2299,4548,381,347,725,4622,5165,9789,1697,1608,3303,6699,7120,13816
Hervey Bay,31904,3275,2271,2392,4665,482,475,953,5081,5835,10922,1675,1691,3368,7240,7999,15238
West Torrens,40403,2329,1608,1809,3410,111,121,228,7287,8107,15395,1199,1206,2407,8601,9434,18027
Barossa,40501,1548,1151,1128,2280,76,82,159,3970,4135,8113,840,794,1630,4887,5015,9899
Lower North,40502,1195,875,878,1753,72,77,149,2151,2375,4520,645,611,1256,2862,3063,5923
Mid North,40503,1367,1021,1013,2034,193,213,405,2522,2654,5175,697,704,1400,3410,3576,6987
Yorke Peninsula,40504,1198,1032,1004,2039,122,137,263,2184,2162,4343,666,612,1272,2972,2913,5883
Eyre Peninsula and South West,40601,3239,2707,2507,5217,706,732,1442,5551,5912,11465,1713,1668,3378,7970,8314,16283
Outback - North and East,40602,2010,2154,1396,3549,1080,965,2047,2148,1893,4043,1162,911,2075,4393,3767,8164
Fleurieu - Kangaroo Island,40701,2575,1857,1927,3784,137,149,287,4180,4787,8968,1378,1322,2693,5692,6256,11950
Sunnybank,30306,1769,1273,1304,2573,93,92,184,7103,7232,14335,933,907,1838,8130,8232,16361
Centenary,30401,698,510,457,971,65,58,120,4257,4360,8614,377,364,744,4706,4781,9481
Kenmore - Brookfield - Moggill,30402,1219,906,982,1885,47,50,97,7066,7057,14120,687,613,1302,7796,7721,15520
Sherwood - Indooroopilly,30403,2190,1327,1418,2739,71,82,156,9637,10366,20005,1127,1135,2271,10840,11589,22430
The Gap - Enoggera,30404,1515,1039,1140,2179,162,170,325,6536,6840,13372,808,786,1593,7501,7794,15295
Brisbane Inner,30501,6864,4042,3541,7582,97,113,209,8373,9113,17484,3706,3226,6937,12175,12452,24629
Brisbane Inner - East,30502,2215,1322,1294,2620,87,78,163,5024,5308,10329,1136,1126,2262,6246,6517,12760
Brisbane Inner - North,30503,5554,3306,3302,6611,136,181,323,10792,12245,23032,2891,2782,5676,13818,15210,29027
Brisbane Inner - West,30504,2978,1768,1654,3417,95,87,178,8107,8741,16845,1589,1465,3050,9791,10291,20081
Cairns - North,30601,3421,2095,2027,4123,456,419,875,5952,6611,12566,1807,1723,3533,8214,8754,16970
Cairns - South,30602,8528,5560,5534,11091,2173,2380,4552,9175,10238,19417,4422,4331,8748,15771,16942,32716
Innisfail - Cassowary Coast,30603,2542,1883,1738,3623,944,1020,1965,2588,2641,5230,1422,1231,2654,4951,4896,9843
Port Douglas - Daintree,30604,1365,789,865,1659,146,148,297,835,885,1713,681,724,1408,1659,1757,3414
Tablelands (East) - Kuranda,30605,2997,2067,2065,4133,699,739,1436,3297,3644,6943,1550,1563,3116,5544,5944,11488
Darling Downs (West) - Maranoa,30701,4332,2906,2622,5529,534,539,1076,4066,4312,8381,2384,2042,4432,6987,6898,13885
Darling Downs - East,30702,2806,1969,1876,3845,446,443,897,4179,4529,8704,1522,1394,2915,6143,6365,12512
Granite Belt,30703,2002,1490,1491,2985,345,338,685,3890,4103,7997,1091,1014,2112,5329,5464,10798
Central Highlands (Qld),30801,3077,2103,1609,3714,364,377,743,2954,3042,6003,1804,1343,3146,5119,4773,9891
Rockhampton,30803,7388,5836,4665,10496,1572,1549,3121,12166,12830,24996,4217,3461,7683,17956,17843,35801
Biloela,30804,974,723,626,1355,96,97,197,1464,1535,2997,549,459,1006,2111,2095,4198
Gladstone,30805,3894,2614,2329,4946,441,484,926,6518,7173,13695,2147,1895,4043,9108,9557,18661
Broadbeach - Burleigh,30901,4117,2461,2628,5087,93,122,224,5873,6545,12425,2061,2139,4200,8030,8817,16847
Coolangatta,30902,3238,1993,2142,4136,235,235,470,5287,5670,10949,1634,1691,3329,7153,7594,14752
Gold Coast - North,30903,4117,2616,2946,5564,189,195,385,6238,6971,13214,2047,2170,4222,8474,9343,17822
Gold Coast Hinterland,30904,1332,876,919,1800,77,70,150,1906,2162,4070,710,652,1364,2699,2883,5582
Limestone Coast,40702,2945,2801,2357,5157,291,238,530,7292,7249,14545,1587,1523,3111,9169,9016,18185
Robina,30908,2506,1635,2013,3645,115,160,278,6238,6872,13113,1204,1383,2587,7563,8418,15978
Southport,30909,3686,2593,2367,4961,231,235,462,7351,7733,15089,1906,1895,3804,9485,9868,19355
Surfers Paradise,30910,4714,2710,2623,5331,51,62,114,4106,4416,8523,2450,2316,4769,6603,6803,13409
Forest Lake - Oxley,31001,4033,5478,3446,8925,807,487,1291,11095,9889,20985,2077,2125,4206,13984,12497,26483
Ipswich Hinterland,31002,4095,3317,2804,6122,585,504,1089,6689,6819,13507,2160,2147,4305,9431,9472,18902
Ipswich Inner,31003,5495,3673,3738,7407,1074,1038,2116,11502,12741,24244,2867,2847,5717,15442,16635,32070
Springfield - Redbank,31004,4248,2916,2937,5848,640,635,1270,10970,11954,22928,2201,2203,4407,13818,14793,28603
Beaudesert,31101,843,732,589,1322,145,175,316,1435,1543,2977,445,434,882,2024,2155,4181
Beenleigh,31102,2135,1407,1551,2956,267,301,570,4277,4795,9066,1062,1161,2227,5607,6261,11862
Browns Plains,31103,4325,2972,3032,5998,479,516,995,9465,10341,19804,2250,2243,4493,12200,13098,25300
Jimboomba,31104,2285,1576,1457,3028,279,302,576,5584,6076,11657,1243,1159,2399,7099,7541,14641
Loganlea - Carbrook,31105,3070,2008,2158,4161,306,353,663,6818,7233,14053,1544,1628,3172,8667,9215,17885
Springwood - Kingston,31106,3822,2763,2823,5582,568,582,1148,9358,9940,19302,1990,1966,3952,11912,12490,24404
Bowen Basin - North,31201,3973,2793,1888,4684,289,320,609,3102,3264,6363,2491,1598,4092,5883,5188,11071
Mackay,31202,7771,5711,4222,9934,1044,1231,2271,11609,12610,24213,4754,3238,7990,17405,17068,34478
Whitsunday,31203,2612,1683,1403,3084,111,126,231,1822,1997,3815,1467,1207,2669,3396,3324,6723
Bribie - Beachmere,31301,1588,1168,1361,2529,163,176,343,2556,3010,5568,814,839,1654,3532,4030,7561
Caboolture,31302,3571,2582,2834,5410,654,677,1337,7351,8544,15891,1826,1894,3719,9834,11114,20940
Caboolture Hinterland,31303,916,1586,610,2191,298,73,377,1846,1278,3130,502,459,955,2648,1811,4463
Narangba - Burpengary,31304,2656,1938,2108,4044,412,434,844,7640,8245,15885,1412,1400,2808,9466,10078,19543
Redcliffe,31305,2913,2038,2346,4382,320,324,648,5632,6324,11965,1455,1573,3035,7410,8230,15640
The Hills District,31401,2554,1735,1667,3394,222,238,461,11524,12067,23591,1408,1290,2692,13158,13586,26743
North Lakes,31402,3039,1977,2051,4026,289,365,648,8707,9605,18316,1552,1589,3139,10548,11560,22107
Strathpine,31403,1415,1094,1070,2168,237,250,489,4259,4554,8811,768,704,1470,5263,5505,10766
Far North,31501,2054,2860,1699,4559,3436,2937,6369,1498,1292,2794,1168,942,2109,6103,5175,11270
Outback - North,31502,2740,1916,1632,3551,1197,1218,2408,2013,2166,4182,1503,1295,2796,4709,4675,9391
Toowoomba,31701,8208,5380,5742,11123,1129,1347,2471,17187,19227,36407,4195,4315,8506,22506,24881,47392
Maryborough,31905,2861,2661,1997,4655,495,354,848,4292,4237,8530,1554,1402,2952,6341,5989,12331
Adelaide City,40101,1933,1514,1032,2552,83,53,135,4073,4115,8188,1095,881,1973,5249,5045,10290
Adelaide Hills,40102,2882,1980,2022,4007,133,134,266,8804,9547,18345,1551,1500,3050,10489,11181,21667
Norwood - Payneham - St Peters,40105,1411,911,985,1891,50,46,99,4544,4659,9203,712,751,1466,5303,5461,10761
Unley,40107,1467,914,990,1906,29,29,55,4858,5394,10253,751,761,1510,5631,6192,11824
Gawler - Two Wells,40201,1521,1099,1053,2154,115,126,242,3873,4249,8122,821,787,1608,4810,5166,9970
Playford,40202,4696,3643,3605,7251,634,684,1316,10819,11590,22413,2498,2429,4929,13949,14705,28654
Port Adelaide - East,40203,2563,2660,2161,4824,364,321,685,8955,8720,17676,1348,1309,2660,10667,10349,21019
Salisbury,40204,4942,3892,3991,7880,525,568,1095,16539,17595,34133,2650,2535,5189,19714,20697,40409
Tea Tree Gully,40205,2515,1841,2031,3876,175,177,354,10750,11458,22211,1319,1334,2647,12246,12966,25209
Mitcham,40303,1955,1347,1410,2752,55,80,137,8476,9305,17779,1043,1005,2051,9576,10392,19967
Onkaparinga,40304,6794,4696,4987,9682,589,628,1217,18747,20174,38926,3489,3623,7116,22825,24422,47250
