sa3_code16,all_inc_ns_emp_aw,all_inc_ns_e_t,all_inc_ns_une_lfw_ftw,all_inc_ns_une_lfw_ptw,all_inc_ns_une_lfw_tot,all_inc_ns_t_lf,all_inc_ns_notin_lf,all_inc_ns_lf_sta_ns,all_inc_ns_tot,tot_emp_wft,tot_emp_wpt,tot_emp_aw,tot_e_t,tot_une_lfw_ftw,tot_une_lfw_ptw,tot_une_lfw_tot,tot_t_lf,tot_notin_lf,tot_lf_sta_ns,tot_tot,sa3_name16
40501,0,3,0,0,0,3,14,3,17,375,332,48,749,41,25,68,825,389,12,1220,Barossa
40502,0,4,0,0,0,3,9,0,15,153,187,19,361,28,16,43,411,350,7,769,Lower North
40503,0,3,0,0,0,6,20,3,29,234,283,28,544,44,45,88,633,569,15,1210,Mid North
40504,0,6,0,0,0,6,12,5,18,159,201,8,370,34,41,76,450,414,8,872,Yorke Peninsula
40601,3,18,7,0,7,20,53,39,112,525,551,68,1144,111,88,197,1339,997,56,2389,Eyre Peninsula and South West
40602,5,8,0,0,0,8,36,31,73,252,218,45,508,49,32,79,595,498,39,1127,Outback - North and East
40701,5,18,5,3,8,23,9,6,43,379,530,44,954,44,42,82,1039,707,19,1764,Fleurieu - Kangaroo Island
40702,0,11,0,0,0,14,25,17,60,596,676,57,1328,75,64,138,1467,884,28,2383,Limestone Coast
40703,3,21,7,3,9,32,39,27,93,668,678,68,1419,133,95,230,1646,1279,46,2971,Murray and Mallee
50101,0,3,0,0,0,6,14,9,24,499,602,65,1168,45,64,106,1277,565,13,1857,Augusta - Margaret River - Busselton
50102,3,19,0,3,3,22,37,17,79,1083,1155,139,2371,173,163,331,2704,1525,52,4273,Bunbury
50103,0,0,0,0,0,0,3,7,14,172,185,25,383,25,28,57,440,284,12,732,Manjimup
50201,7,21,4,0,4,27,39,15,84,965,975,122,2064,189,164,353,2416,1768,35,4219,Mandurah
40107,0,3,0,0,0,3,3,4,14,470,287,31,791,25,18,45,834,366,7,1210,Unley
40201,6,19,0,4,4,20,11,7,36,448,427,66,939,60,53,110,1046,568,13,1634,Gawler - Two Wells
40202,9,30,3,0,7,34,88,47,172,1086,1144,144,2378,308,248,552,2925,2973,76,5973,Playford
40203,4,9,0,4,9,14,25,17,54,795,626,68,1496,96,88,186,1681,1388,34,3107,Port Adelaide - East
40204,13,35,3,3,9,41,73,47,161,1814,1627,192,3634,303,262,571,4204,3237,71,7510,Salisbury
40205,0,21,0,0,3,29,21,13,59,1415,1143,80,2639,106,89,194,2832,1236,19,4090,Tea Tree Gully
40303,0,7,0,0,0,7,9,9,22,748,581,51,1385,41,34,83,1461,649,12,2125,Mitcham
40304,6,38,0,8,8,46,72,61,178,2229,2332,242,4802,273,241,518,5324,3191,84,8599,Onkaparinga
40401,5,32,0,0,0,34,48,26,112,1346,1107,125,2572,107,122,229,2801,2101,58,4958,Charles Sturt
40402,0,6,0,0,3,10,51,23,83,829,690,68,1583,95,90,187,1765,1437,34,3242,Port Adelaide - West
50301,3,7,0,0,0,7,6,3,20,599,460,37,1095,40,44,86,1174,602,10,1782,Cottesloe - Claremont
50302,3,8,0,0,0,8,13,0,26,846,571,63,1480,75,75,152,1634,767,13,2409,Perth City
50401,0,9,0,0,0,9,23,16,54,1016,778,70,1867,100,107,209,2072,1139,29,3247,Bayswater - Bassendean
50402,6,7,0,0,0,11,11,9,27,567,374,50,992,55,39,87,1081,552,16,1649,Mundaring
50403,7,25,3,0,4,31,42,32,106,1901,1331,133,3363,242,170,409,3776,1922,55,5752,Swan
50501,7,41,0,3,3,47,25,6,81,1923,1448,148,3516,149,129,281,3794,1481,25,5296,Joondalup
50502,15,34,4,0,5,36,54,46,134,2171,1779,193,4143,257,216,471,4616,2646,79,7341,Stirling
50503,18,43,9,7,13,52,52,37,141,2536,1938,246,4714,350,293,643,5357,2623,82,8060,Wanneroo
50601,9,19,0,4,4,20,36,17,78,1020,837,104,1955,178,145,324,2279,1388,35,3698,Armadale
50602,0,11,0,0,3,17,17,19,49,721,537,58,1312,102,100,199,1512,954,37,2499,Belmont - Victoria Park
50603,0,5,0,0,0,5,18,9,34,1008,711,89,1811,96,89,186,1996,1095,17,3109,Canning
50604,7,25,3,0,3,28,27,35,88,1469,1024,112,2605,212,176,390,2993,1861,62,4917,Gosnells
50605,5,14,4,0,4,12,16,8,38,792,546,61,1399,72,55,130,1527,692,25,2237,Kalamunda
50606,6,7,0,0,0,6,5,4,16,279,226,31,541,37,29,66,606,261,12,881,Serpentine - Jarrahdale
50607,0,0,0,0,0,0,6,10,17,394,312,21,735,46,26,78,810,454,20,1280,South Perth
50701,5,22,3,0,5,25,31,18,77,1292,1053,109,2452,149,122,271,2720,1285,36,4044,Cockburn
50702,0,7,0,0,0,7,12,5,21,409,386,31,830,34,35,70,902,492,17,1407,Fremantle
50703,3,3,3,0,3,6,14,8,30,489,370,36,897,125,81,205,1102,734,18,1855,Kwinana
50704,4,23,0,4,5,23,18,11,56,1196,873,84,2154,68,88,155,2310,1179,20,3509,Melville
50705,5,26,0,4,5,36,32,27,93,1569,1243,150,2967,277,197,477,3439,1880,45,5368,Rockingham
50901,8,14,0,0,0,12,28,12,60,510,620,53,1184,54,57,112,1298,833,28,2162,Albany
50902,0,11,0,3,3,19,24,14,57,422,399,59,878,80,55,139,1010,762,32,1800,Wheat Belt - North
40103,0,7,0,0,0,7,3,3,12,456,347,35,839,29,28,66,907,475,4,1385,Burnside
40104,0,9,0,0,0,15,18,14,39,645,487,49,1178,43,48,97,1269,811,24,2108,Campbelltown (SA)
40106,4,6,0,0,0,6,4,0,9,305,174,20,502,15,11,28,534,293,7,834,Prospect - Walkerville
50903,0,0,0,0,0,0,11,9,22,160,128,18,303,20,26,47,354,286,11,654,Wheat Belt - South
51001,4,16,0,3,3,19,40,38,99,388,225,44,655,77,54,128,785,830,56,1667,Kimberley
51002,0,3,4,0,4,3,13,10,31,175,70,20,265,22,14,39,307,224,17,545,East Pilbara
51003,0,6,0,0,0,6,12,8,21,290,69,28,386,32,18,53,440,215,9,668,West Pilbara
51101,0,10,0,0,0,10,7,7,21,135,137,15,283,14,5,25,307,199,15,521,Esperance
51102,0,11,0,0,0,6,9,8,33,89,65,14,168,14,11,20,188,119,16,326,Gascoyne
51103,0,15,0,5,3,14,26,33,75,464,215,33,716,65,34,100,816,500,49,1367,Goldfields
51104,0,9,0,0,0,13,27,24,64,597,487,59,1150,107,79,183,1334,848,38,2217,Mid West
60101,3,10,0,0,0,10,19,8,40,208,268,30,511,46,32,75,584,553,12,1145,Brighton
60102,3,12,0,0,0,14,22,6,47,745,653,80,1479,41,66,104,1585,964,24,2571,Hobart - North East
60103,3,12,0,3,5,20,29,26,71,741,804,94,1640,90,97,182,1820,1419,41,3279,Hobart - North West
60104,0,6,0,3,6,12,3,3,18,479,428,37,944,27,40,71,1012,433,10,1452,Hobart - South and West
60105,0,5,0,0,0,5,3,3,13,603,457,39,1098,25,30,52,1151,501,7,1655,Hobart Inner
60106,0,0,0,0,3,3,8,3,12,204,216,26,447,20,14,32,483,285,8,774,Sorell - Dodges Ferry
60201,3,26,0,0,3,30,37,21,93,965,1001,116,2081,126,113,232,2318,1550,44,3909,Launceston
60202,0,0,0,0,3,4,10,3,15,178,222,27,424,18,21,43,463,354,9,824,Meander Valley - West Tamar
60203,5,8,3,0,3,7,10,8,23,260,326,42,623,56,44,98,726,648,20,1388,North East
60301,0,3,0,0,0,3,5,4,13,99,77,19,193,13,10,21,216,213,7,440,Central Highlands (Tas.)
60302,0,3,0,0,0,3,12,3,13,142,182,24,345,17,24,37,384,307,10,705,Huon - Bruny Island
60303,0,3,0,0,0,3,3,0,8,40,55,4,100,4,4,11,103,111,8,226,South East Coast
60401,3,12,0,0,0,12,30,17,61,520,539,68,1125,92,75,171,1295,1013,32,2329,Burnie - Ulverstone
60402,3,16,0,4,4,17,32,18,66,461,500,71,1023,60,69,124,1156,929,26,2108,Devonport
60403,4,3,0,0,0,8,5,12,26,131,155,16,303,29,18,45,350,253,20,618,West Coast
70101,0,0,0,0,3,3,9,3,14,312,64,17,388,11,7,20,407,172,6,590,Darwin City
70102,11,21,0,0,0,18,19,21,61,859,334,74,1257,60,36,92,1351,629,40,2014,Darwin Suburbs
70103,0,4,0,0,0,4,10,10,17,292,94,31,422,12,6,25,442,149,12,603,Litchfield
70104,8,11,0,0,0,11,20,13,50,636,198,54,888,48,32,79,965,412,22,1397,Palmerston
40301,0,3,0,0,0,4,7,0,12,420,319,41,784,23,18,40,823,343,4,1166,Holdfast Bay
40302,5,15,5,0,5,17,20,17,58,1187,997,112,2297,100,101,194,2493,1451,37,3979,Marion
70201,3,25,0,0,0,25,21,20,61,496,205,48,743,89,34,123,869,558,32,1459,Alice Springs
70202,0,0,0,0,0,0,6,8,10,49,23,5,78,22,7,27,99,154,6,265,Barkly
70203,0,3,0,0,0,3,11,18,34,146,79,27,250,63,17,79,333,409,27,765,Daly - Tiwi - West Arnhem
70204,4,26,11,7,19,40,60,55,161,136,100,17,245,32,15,51,295,382,68,743,East Arnhem
70205,0,5,0,0,0,5,29,13,43,184,56,31,264,28,26,48,317,386,24,726,Katherine
80101,3,15,0,0,0,15,25,14,50,1434,693,117,2241,68,66,131,2378,1225,21,3631,Belconnen
80103,0,0,0,0,0,0,0,0,0,14,4,0,23,3,0,3,23,12,0,34,Canberra East
80104,3,12,0,0,0,12,9,3,23,1158,410,73,1643,32,28,63,1703,489,6,2198,Gungahlin
80105,0,7,0,0,0,7,4,0,9,502,263,33,792,27,26,56,849,481,5,1333,North Canberra
80106,0,0,0,0,0,0,3,0,8,378,135,16,531,18,11,29,554,272,8,841,South Canberra
80107,4,10,0,0,0,10,19,12,44,1809,757,126,2695,74,55,129,2823,1115,29,3962,Tuggeranong
80108,0,3,0,0,0,3,3,6,11,330,198,23,550,16,12,32,580,300,10,886,Weston Creek
80109,0,3,0,0,0,3,9,0,9,471,201,28,699,14,12,30,727,385,3,1116,Woden Valley
80110,0,0,0,0,0,0,0,0,0,62,21,4,91,3,3,7,99,15,0,112,Molonglo
80111,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,8,6,0,15,Urriarra - Namadgi
90101,0,0,0,0,0,0,0,0,0,16,8,3,25,0,0,0,29,10,0,35,Christmas Island
90102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,Cocos (Keeling) Islands
90103,0,0,0,0,0,0,3,3,12,3,4,3,10,0,0,0,15,19,3,37,Jervis Bay
90104,0,0,0,0,0,0,0,0,0,35,18,3,52,0,0,0,52,11,0,66,Norfolk Island
