gml_id,sa3_code16,p_pg_deg_35_44_yr,p_pg_deg_45_54_yr,p_pg_deg_55_64_yr,p_pg_deg_65_74_yr,p_pg_deg_75_84_yr,p_pg_deg_85_yr_over,p_pguate_deg_tot,p_grad_dip_cer_15_24,p_grad_dip_cer_25_34,p_grad_dip_cer_35_44,p_grad_dip_cer_45_54,p_grad_dip_cer_55_64,p_grad_dip_cer_65_74,p_grad_dip_cer_75_84,p_grad_dip_cer_85_over,p_grad_dip_cer_tot,p_b_deg_15_24_yr,p_b_deg_25_34_yr,p_b_deg_35_44_yr,p_b_deg_45_54_yr,p_b_deg_55_64_yr,p_b_deg_65_74_yr,p_b_deg_75_84_yr,p_b_deg_85_yr_over,p_b_deg_tot,p_adv_dip_dip_15_24,p_adv_dip_dip_25_34,p_adv_dip_dip_35_44,p_adv_dip_dip_45_54,p_adv_dip_dip_55_64,p_adv_dip_dip_65_74,p_adv_dip_dip_75_84,p_adv_dip_dip_85_over,p_adv_dip_dip_total,p_cer_iii_iv_15_24_yr,p_cer_iii_iv_25_34_yr,p_cer_iii_iv_35_44_yr,p_cer_iii_iv_45_54_yr,p_cer_iii_iv_55_64_yr,p_cer_iii_iv_65_74_yr,p_cer_iii_iv_75_84_yr,p_cer_iii_iv_85_yr,p_cer_iii_iv_tot,p_cer_i_ii_15_24_yr,p_cer_i_ii_25_34_yr,p_cer_i_ii_35_44_yr,p_cer_i_ii_45_54_yr,p_cer_i_ii_55_64_yr,p_cer_i_ii_65_74_yr,p_cer_i_ii_75_84_yr,p_cer_i_ii_85_yr_over,p_cer_i_ii_tot,p_cer_nfd_15_24_yr,p_cer_nfd_25_34_yr,p_cer_nfd_35_44_yr,p_cer_nfd_45_54_yr,p_cer_nfd_55_64_yr,p_cer_nfd_65_74_yr,p_cer_nfd_75_84_yr,p_cer_nfd_85_yr_over,p_cer_nfd_tot,p_cer_tot_15_24_yr,p_cer_tot_25_34_yr,p_cer_tot_35_44_yr,p_cer_tot_45_54_yr,p_cer_tot_55_64_yr,p_cer_tot_65_74_yr,p_cer_tot_75_84_yr,p_cer_tot_85_yr_over,p_cer_tot_tot,p_lvl_educ_inad_desc_15_24,p_lvl_educ_inad_desc_25_34,p_lvl_educ_inad_desc_35_44,p_lvl_educ_inad_desc_45_54,p_lvl_educ_inad_desc_55_64,p_lvl_educ_inad_desc_65_74,p_lvl_educ_inad_desc_75_84,p_lvl_educ_inad_desc_85,p_lvl_educ_inad_desc_tot,p_lvl_educ_ns_15_24,p_lvl_educ_ns_25_34,p_lvl_educ_ns_35_44,p_lvl_educ_ns_45_54,p_lvl_educ_ns_55_64,p_lvl_educ_ns_65_74,p_lvl_educ_ns_75_84,p_lvl_educ_ns_85,p_lvl_educ_ns_tot,p_tot_15_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6392,"12701","489","287","183","54","9","8","1842","24","132","179","117","82","33","8","0","577","975","2761","2051","1250","805","304","86","13","8247","746","1832","1737","1340","748","270","82","15","6775","1308","2829","2612","2453","1486","716","255","50","11711","156","233","244","210","103","29","8","3","984","128","282","364","429","280","120","37","12","1652","1590","3339","3220","3092","1873","870","301","61","14349","43","130","139","150","103","39","22","0","624","1218","1097","1134","1100","952","743","416","133","6793","4691","10012","8945","7338","4746","2311","924","231","39206",Bringelly - Green Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6393,"12702","502","311","268","115","26","3","2434","69","225","138","120","122","54","13","0","742","2112","4827","2838","1832","1442","723","182","27","13984","1286","2775","2462","2111","1392","574","193","42","10831","1797","3377","3131","3248","2584","1487","649","157","16423","298","324","340","325","215","83","17","3","1612","205","373","550","641","500","271","89","24","2645","2292","4076","4025","4218","3299","1839","753","181","20685","97","260","236","271","248","128","64","7","1317","1640","1576","1481","1628","1601","1290","933","467","10621","7658","14798","11680","10492","8364","4720","2168","727","60609",Fairfield
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6394,"12703","1154","604","373","149","25","3","3567","45","231","269","158","112","61","8","0","882","1075","3738","3164","1925","1216","482","133","34","11759","784","2138","2268","1810","1005","424","145","33","8600","1263","2857","2780","2637","1601","1023","438","119","12712","163","218","244","205","121","47","8","6","1009","160","283","428","422","317","192","54","30","1876","1578","3355","3448","3258","2043","1263","499","146","15599","60","174","201","207","160","88","34","17","946","1457","1786","1595","1372","1266","919","627","345","9372","5105","12592","12084","9340","6182","3377","1469","583","50727",Liverpool
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6395,"12801","1026","929","692","373","128","38","4169","23","279","364","345","442","213","44","8","1723","1080","3705","3574","2622","2124","1060","457","177","14790","540","1895","2232","2260","1743","1018","451","167","10306","1202","2885","2925","2973","2337","1619","1013","419","15374","122","131","160","190","159","93","44","14","920","120","211","393","528","550","471","249","110","2619","1447","3223","3474","3691","3046","2184","1304","543","18915","36","89","122","178","233","209","139","59","1069","620","892","823","800","867","853","886","773","6512","3801","11010","11613","10810","9151","5910","3406","1770","57489",Cronulla - Miranda - Caringbah
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6396,"12802","1179","917","763","310","74","11","4203","33","320","436","400","449","164","27","4","1830","1223","3455","3618","2549","2047","931","250","84","14149","561","1586","2314","2330","1789","953","274","102","9904","1382","2750","3156","3212","2591","1628","817","326","15863","114","111","165","165","166","105","26","7","862","119","217","363","514","631","529","176","87","2636","1618","3079","3680","3893","3384","2268","1020","421","19364","48","91","132","172","223","177","78","34","960","469","433","562","594","602","627","565","504","4349","4005","9850","11924","10844","9261","5431","2289","1152","54760",Sutherland - Menai - Heathcote
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6397,"20101","624","595","509","254","81","10","2718","24","377","543","551","491","232","49","4","2267","812","2898","2597","1745","1358","834","297","87","10625","451","1247","1405","1486","1207","785","327","80","6979","1959","3437","2739","2636","2087","1228","558","173","14822","308","237","178","143","129","60","9","6","1074","118","204","226","241","215","146","74","27","1253","2390","3873","3142","3019","2439","1430","648","207","17149","32","56","70","85","92","86","47","23","492","1123","920","859","975","1042","1129","977","548","7566","4898","9950","9237","8457","7132","4751","2425","959","47804",Ballarat
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6398,"20102","170","189","216","133","34","4","795","8","52","122","157","182","93","15","0","633","77","365","649","554","541","351","91","22","2652","84","258","383","527","501","336","95","22","2202","318","639","769","964","820","484","175","52","4221","41","40","47","49","45","17","0","0","238","23","52","85","76","97","63","20","10","427","384","736","890","1086","960","571","197","61","4880","6","9","11","25","36","42","14","4","139","333","212","297","462","509","524","326","183","2846","895","1677","2527","2992","2947","2048","773","292","14146",Creswick - Daylesford - Ballan
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6399,"20103","41","51","65","48","10","3","246","9","40","53","53","76","52","15","4","291","65","237","255","227","278","195","66","18","1340","58","177","263","307","316","245","64","22","1445","307","608","682","856","840","558","210","54","4116","39","62","65","48","45","24","8","0","286","29","32","70","67","95","64","17","8","379","372","703","821","969","976","650","234","60","4784","3","7","10","26","23","36","9","6","113","253","216","291","408","487","608","355","167","2785","767","1412","1723","2032","2219","1830","746","280","11013",Maryborough - Pyrenees
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_639a,"20201","430","406","340","217","46","10","1922","35","334","456","407","391","205","53","10","1885","668","2579","2113","1335","1161","632","238","78","8799","370","1060","1155","1176","1139","752","286","115","6045","1829","3333","2567","2533","2143","1186","578","168","14341","229","230","171","147","132","60","4","8","981","134","234","230","227","248","160","72","35","1330","2192","3798","2968","2911","2525","1406","650","204","16653","35","72","60","58","76","88","51","26","458","1071","911","827","916","1007","1083","1052","750","7612","4431","9168","8007","7197","6639","4381","2367","1195","43385",Bendigo
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_639b,"20202","345","375","334","281","75","15","1554","12","114","306","351","365","191","35","0","1363","140","651","1258","1103","999","705","238","51","5148","106","332","589","788","795","640","224","60","3534","521","957","1130","1412","1289","797","350","86","6534","69","60","74","69","76","41","8","5","401","31","77","100","134","158","135","47","16","687","621","1101","1299","1619","1514","970","401","110","7629","12","28","27","37","66","59","34","13","273","571","597","630","742","812","791","520","306","4982","1479","2939","4454","5010","4890","3623","1521","558","24479",Heathcote - Castlemaine - Kyneton
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_639c,"20203","27","19","19","17","0","0","95","6","10","35","38","46","18","5","0","149","28","121","165","122","128","71","18","8","650","17","71","129","153","143","93","28","5","654","126","243","293","413","407","210","69","15","1776","15","23","19","34","20","0","4","0","115","9","14","22","33","43","41","7","0","158","147","279","335","479","463","244","74","16","2048","0","4","6","7","11","14","6","3","50","148","89","130","194","242","254","143","72","1273","356","579","821","1013","1054","704","281","109","4922",Loddon - Elmore
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_639d,"20301","78","66","88","43","13","0","337","4","48","95","75","59","32","6","0","328","66","338","429","334","289","151","32","6","1644","62","224","327","351","272","167","47","10","1460","249","613","765","741","513","278","76","12","3254","22","28","45","21","27","11","0","0","158","14","38","64","71","48","43","14","6","297","289","683","876","833","591","328","86","17","3705","5","12","12","12","18","17","9","3","77","218","101","166","190","204","173","107","52","1210","643","1449","1982","1859","1521","899","302","94","8755",Barwon - West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_639e,"20302","1292","924","689","378","101","18","4843","71","692","757","725","629","288","69","16","3255","1754","5745","4740","3032","2418","1314","475","148","19626","1023","2705","2875","2736","2307","1437","585","245","13920","3346","5988","4836","5145","4002","2387","1153","400","27251","415","354","279","268","199","102","24","4","1637","245","368","432","467","469","327","148","73","2524","3996","6710","5547","5870","4668","2810","1328","477","31415","60","152","138","131","163","148","104","51","945","2037","1981","1751","1916","1878","1930","1874","1256","14623","9059","19313","17108","15334","12753","8308","4536","2213","88625",Geelong
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_639f,"20303","572","472","442","337","78","14","2246","21","243","399","395","465","236","49","8","1825","291","1817","2358","1702","1581","1104","366","101","9319","221","831","1118","1178","1307","1032","419","133","6247","759","1735","1911","1976","1805","1139","522","159","9996","87","85","84","85","82","70","21","3","513","41","114","153","193","229","224","90","35","1068","884","1935","2144","2251","2116","1431","628","198","11582","13","24","58","61","71","91","65","27","410","505","433","535","610","733","869","656","390","4732","1964","5583","7198","6662","6722","5099","2265","875","36366",Surf Coast - Bellarine Peninsula
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63a0,"20401","177","184","188","145","38","10","867","23","137","165","187","180","113","28","3","849","227","778","920","732","754","537","193","50","4188","191","606","692","811","798","593","196","60","3954","870","1540","1582","1757","1688","1101","390","111","9044","136","97","88","81","81","46","11","3","543","85","101","130","179","181","150","64","28","913","1094","1730","1805","2015","1952","1296","466","145","10500","18","32","32","46","55","69","39","15","303","884","641","722","888","1024","989","657","331","6137","2451","4033","4521","4867","4950","3747","1622","606","26798",Upper Goulburn Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63a1,"20402","137","140","156","71","15","3","664","7","98","139","192","201","109","31","0","780","154","707","774","585","732","390","150","48","3539","156","427","601","701","723","486","216","60","3370","731","1265","1293","1482","1302","777","310","121","7291","102","85","83","73","72","37","11","11","467","52","79","138","129","139","107","33","16","692","886","1429","1513","1684","1518","924","353","142","8445","3","26","31","41","54","31","27","8","230","535","311","431","554","689","742","621","463","4348","1748","3121","3635","3897","4074","2758","1409","735","21376",Wangaratta - Benalla
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63a2,"20403","360","372","323","201","29","5","1585","20","202","330","349","366","162","27","4","1465","322","1478","1718","1167","1162","661","181","55","6740","310","952","1096","1268","1160","736","238","78","5838","1418","2597","2249","2448","1974","1075","394","126","12281","221","160","151","144","117","62","12","6","871","102","158","189","225","246","193","54","22","1197","1740","2916","2590","2819","2344","1328","461","153","14353","32","48","45","60","67","72","54","19","392","977","915","974","1037","1060","940","653","325","6884","3428","6774","7113","7079","6481","4105","1636","639","37250",Wodonga - Alpine
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63a3,"20501","169","175","191","86","32","3","802","8","116","179","170","230","142","17","4","860","177","827","812","634","712","414","126","31","3731","184","551","632","722","638","473","167","45","3408","856","1752","1443","1651","1245","835","361","76","8217","99","87","88","84","67","46","11","3","476","62","107","101","126","128","124","34","9","692","1013","1948","1635","1858","1440","1005","398","90","9389","15","31","26","34","38","55","31","18","233","506","357","429","563","623","645","465","218","3818","1910","3963","3878","4151","3876","2809","1242","408","22234",Baw Baw
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63a4,"20502","100","95","136","109","26","8","556","7","85","102","140","179","107","21","3","648","98","491","533","506","652","505","162","38","2980","121","371","443","563","690","616","229","68","3098","553","1084","1132","1393","1461","1098","480","123","7322","78","92","84","83","103","55","9","5","511","40","91","101","113","175","159","66","27","768","673","1267","1323","1589","1738","1312","554","150","8605","18","20","30","23","37","74","38","15","256","518","379","437","605","775","994","756","445","4894","1437","2688","2966","3519","4206","3716","1786","729","21040",Gippsland - East
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63a5,"20503","161","173","242","197","46","9","947","13","126","202","200","272","160","39","3","1016","145","799","881","763","960","739","241","63","4598","128","547","713","837","906","772","285","95","4290","713","1717","1719","1992","1860","1241","518","172","9933","104","115","106","106","98","58","15","0","605","54","108","153","169","226","214","70","29","1019","872","1933","1976","2266","2185","1510","606","203","11554","18","31","38","52","58","94","44","20","361","595","479","513","792","912","1132","825","448","5696","1780","4031","4486","5089","5540","4604","2094","837","28461",Gippsland - South West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63a6,"20504","201","187","193","95","25","7","925","25","171","183","198","177","88","19","4","873","373","1259","953","742","754","373","132","35","4625","287","816","819","889","833","460","187","48","4331","1382","2742","2171","2477","2095","1190","523","173","12749","208","205","149","98","94","40","16","4","813","93","171","165","205","200","139","46","11","1028","1685","3121","2484","2777","2396","1361","584","192","14592","14","34","51","59","56","67","24","11","322","1006","849","765","977","1091","1059","926","462","7135","3417","6436","5458","5833","5503","3499","1897","757","32799",Latrobe Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63a7,"20505","110","97","90","65","10","5","505","9","101","129","151","126","72","15","4","606","167","760","672","424","513","272","73","28","2920","108","435","482","532","571","361","128","49","2675","660","1424","1194","1430","1289","717","292","79","7087","76","91","71","64","70","34","5","4","422","44","79","118","113","142","67","31","9","600","781","1592","1387","1608","1500","814","330","91","8103","5","41","27","35","33","38","27","10","222","599","673","669","618","739","650","500","212","4671","1685","3715","3473","3467","3589","2267","1095","401","19694",Wellington
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63a8,"20601","2312","1225","714","275","56","9","7831","69","887","922","673","495","146","22","4","3219","2093","7936","4724","2355","1270","531","119","38","19070","542","1978","1402","984","658","272","89","49","5967","801","1826","1187","1085","780","373","216","110","6383","107","111","84","53","42","26","3","3","427","72","145","169","201","131","62","32","21","831","976","2080","1436","1340","950","468","246","132","7633","58","130","83","72","64","43","21","7","475","756","1405","823","647","542","409","385","209","5169","4651","17504","11702","7303","4683","2145","931","444","49359",Brunswick - Coburg
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63a9,"20602","1362","1097","616","212","48","5","4836","25","509","632","596","406","123","11","7","2310","882","4110","3169","2012","963","380","88","44","11637","268","934","852","739","450","156","54","24","3490","407","930","670","618","446","212","149","43","3474","56","53","43","38","24","11","0","0","219","29","91","104","111","88","47","23","10","491","489","1083","816","762","550","265","166","55","4187","21","60","65","44","31","23","8","10","253","391","758","568","426","337","289","279","172","3225","2143","8862","7471","5676","3353","1456","662","323","29943",Darebin - South
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63aa,"20603","1228","812","554","246","37","7","4766","25","497","505","473","458","153","33","7","2142","1292","4550","3196","2224","1472","539","145","61","13477","417","1171","999","1024","763","391","151","61","4983","546","1189","930","1081","731","415","180","101","5166","78","77","67","70","38","19","4","7","361","63","136","140","183","145","69","42","24","803","688","1403","1135","1336","916","504","225","132","6334","23","105","67","58","66","46","23","18","408","630","1065","706","621","525","429","345","230","4541","3194","10541","7837","6542","4754","2310","954","505","36641",Essendon
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63ab,"20604","3378","1748","1235","741","229","62","16407","198","1346","762","548","493","244","53","11","3651","9191","18798","5666","2924","2067","1183","414","138","40382","2292","3276","1637","1283","1070","610","202","81","10445","1188","2053","1061","916","691","338","114","46","6410","191","158","90","75","58","27","3","0","606","230","294","211","223","175","119","37","10","1302","1610","2509","1364","1218","921","486","149","57","8319","428","393","168","104","87","69","37","17","1308","5479","6943","4332","3933","3070","1804","764","542","26874","20081","41389","17302","11756","8944","5148","1851","905","107380",Melbourne City
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63ac,"20605","2629","1706","1142","663","141","33","9686","40","903","884","734","585","244","49","9","3442","1597","9792","6152","3512","2346","1292","434","150","25275","609","2434","1820","1449","1077","710","247","107","8459","712","2318","1391","1196","811","485","199","87","7196","110","119","107","73","55","51","11","7","525","78","240","252","237","220","131","63","17","1244","907","2679","1749","1507","1087","661","268","113","8964","42","205","138","111","92","123","51","15","770","1072","3106","1965","1591","1293","944","527","254","10756","4401","22372","15337","10606","7613","4641","1716","683","67368",Port Phillip
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63ad,"20702","1642","1076","834","445","159","29","5930","26","265","411","503","416","253","73","21","1968","1318","4179","3896","3115","2212","1316","612","147","16798","422","1038","1196","1557","1199","999","580","172","7162","496","927","993","1450","1042","946","743","218","6810","72","45","62","88","83","38","21","7","407","63","109","156","295","247","233","131","71","1301","626","1084","1208","1828","1365","1216","900","292","8522","31","100","108","127","140","140","90","29","764","449","491","453","563","567","770","839","609","4746","3015","8787","8908","8761","6727","5143","3251","1307","45892",Manningham - West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63ae,"20703","2096","1441","923","490","162","48","7999","65","423","671","786","626","275","101","33","2980","2108","5644","4636","3630","2353","1233","648","245","20498","982","1532","1394","1608","1302","901","547","227","8489","809","1046","973","1434","1089","716","520","238","6823","107","79","81","96","57","48","20","8","495","82","126","171","241","218","157","127","66","1185","998","1259","1225","1764","1359","919","661","317","8503","71","120","113","120","111","109","99","59","802","815","723","526","614","567","626","765","664","5303","5227","12361","10660","9970","7234","4557","2990","1584","54578",Whitehorse - West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63af,"20801","1614","1982","1313","682","194","60","6826","24","249","606","881","741","361","95","26","2995","1088","3032","4863","4976","3348","1863","737","311","20225","335","829","1373","1916","1561","1282","613","299","8206","452","865","927","1419","1112","744","419","230","6168","77","47","78","84","73","58","27","8","450","62","87","169","278","287","243","120","94","1337","588","991","1175","1787","1469","1046","568","330","7959","20","58","114","139","132","126","80","55","728","584","544","592","797","767","709","619","669","5273","2700","6610","10347","12481","9341","6080","2905","1758","52217",Bayside
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63b0,"20902","1564","680","355","83","25","7","5213","52","526","603","466","247","81","14","9","1990","1454","5418","3671","1885","919","350","118","31","13838","692","2075","1676","1281","691","269","105","41","6838","952","1906","1658","1627","1133","649","380","145","8449","155","121","120","115","75","37","5","3","627","90","180","206","245","171","95","30","17","1028","1204","2207","1980","1989","1372","773","421","163","10109","65","156","108","88","76","52","19","15","576","1121","1507","1069","1021","832","817","842","669","7880","4746","14223","10676","7398","4494","2428","1541","935","46440",Darebin - North
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63b1,"20903","726","678","549","297","77","6","2758","26","200","443","499","521","192","48","4","1929","635","1622","2422","2074","1610","754","202","56","9373","381","724","1080","1402","1129","676","167","30","5588","826","1316","1556","2151","1598","821","311","70","8660","79","59","67","88","70","24","7","0","390","68","87","137","224","205","148","37","6","920","971","1461","1762","2467","1877","1000","349","77","9971","15","38","47","68","64","73","25","14","346","479","279","389","503","439","439","227","118","2871","2543","4710","6868","7700","6186","3429","1098","300","32826",Nillumbik - Kinglake
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63b2,"20606","1436","890","667","473","148","49","6274","39","624","393","349","281","173","56","11","1921","1744","7857","3200","2012","1580","1173","513","164","18238","479","1431","870","717","647","558","290","102","5102","424","1260","585","434","330","189","120","64","3393","46","71","47","44","22","23","9","3","261","58","150","92","117","104","97","59","14","680","524","1477","724","589","455","309","183","78","4338","40","129","78","64","58","87","31","18","508","757","1834","888","628","595","547","435","243","5920","3711","15840","7579","5252","4284","3313","1655","656","42296",Stonnington - West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63b3,"20607","2321","1535","1090","716","158","29","9609","52","1108","787","590","553","283","42","5","3415","2078","11260","4856","2571","1722","1087","312","85","23970","490","2046","1197","879","667","484","164","51","5972","616","1793","989","762","490","271","147","45","5114","100","112","73","62","36","15","7","4","419","84","227","158","146","114","91","33","13","868","795","2134","1221","972","640","382","191","61","6395","48","125","89","72","57","52","28","9","488","1073","2527","1332","1083","946","781","489","231","8449","4711","22790","11803","7701","5670","3775","1390","467","58305",Yarra
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63b4,"20701","3878","3936","2662","1526","495","158","16696","70","858","1208","1583","1352","660","181","54","5965","3550","9689","8388","8368","5798","3348","1447","644","41229","876","1750","1762","2468","2109","1725","880","451","12013","954","1581","1041","1523","1159","768","465","258","7745","144","85","66","123","96","67","28","12","624","118","141","210","348","352","287","167","130","1766","1216","1805","1324","1999","1607","1120","658","398","10135","82","171","201","227","203","175","128","83","1257","1192","1275","1009","1093","1008","1019","928","761","8283","7275","19284","17767","19676","14739","9577","4708","2555","95574",Boroondara
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63b5,"20904","2006","778","403","152","44","6","6280","93","763","737","467","300","106","11","5","2484","1911","7718","5484","2629","1679","743","181","42","20393","1408","4902","4138","2726","1605","705","203","50","15737","2850","6969","5742","5122","3408","1649","639","166","26543","324","409","400","280","190","67","13","9","1694","270","605","647","612","467","221","61","23","2911","3447","7979","6793","6021","4067","1936","713","193","31145","102","311","291","186","182","119","40","18","1249","2022","2448","2045","1829","1754","1535","964","348","12941","9146","26858","21489","14635","9989","5296","2164","656","90229",Whittlesea - Wallan
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_63b6,"21001","530","387","266","104","19","4","1843","25","198","305","271","193","86","20","6","1104","597","2053","2151","1435","954","376","127","27","7735","268","814","999","997","694","424","159","52","4411","496","1218","1241","1372","915","747","517","138","6637","60","58","75","73","59","26","10","0","363","43","100","158","181","132","114","56","15","803","608","1374","1473","1626","1100","884","579","158","7800","17","40","65","57","58","57","32","18","335","374","426","390","444","444","704","584","328","3698","1942","5404","5917","5213","3707","2640","1517","587","26929",Keilor
