SA3_MAIN11,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total,SA3_NAME11
31802,1499,339,1855,28479,10068,1437,39984,85487,12223,137694,Townsville
31901,1377,418,1801,12448,4434,633,17515,44998,5772,68285,Bundaberg
31902,654,228,890,7042,2444,412,9898,24369,3179,37446,Burnett
31903,505,296,807,6920,2317,360,9597,23470,3240,36307,Gympie - Cooloola
31904,896,320,1219,7559,2499,388,10446,28750,3510,42706,Hervey Bay
30304,659,119,784,5744,1926,278,7948,19823,2289,30060,Nathan
31905,579,269,851,5962,2220,308,8490,22488,3452,34430,Maryborough
39797,6,3,9,33,24,0,57,301,94,452,Migratory - Offshore - Shipping (Qld)
39999,41,11,52,913,637,48,1598,7975,1912,11485,Special Purpose Codes SA3 (Qld)
40502,516,98,620,3283,1387,190,4860,11825,1136,17821,Lower North
40503,615,95,713,4008,1693,209,5910,14622,1530,22062,Mid North
40504,575,94,677,3123,1491,178,4792,14095,1201,20088,Yorke Peninsula
40601,840,216,1059,8986,3624,512,13122,28262,3505,44889,Eyre Peninsula and South West
40602,186,78,271,4228,1709,316,6253,13234,2967,22454,Outback - North and East
40701,1204,271,1487,6215,3323,361,9899,26438,2743,39080,Fleurieu - Kangaroo Island
40702,1069,232,1304,10626,4191,545,15362,31801,3103,50266,Limestone Coast
40703,1181,329,1528,9793,4106,526,14425,35683,4887,54995,Murray and Mallee
31401,430,130,560,16532,5212,886,22630,36471,2586,61687,Hills District
31402,544,155,705,10678,2930,532,14140,22567,2116,38823,North Lakes
40101,312,49,364,1250,846,45,2141,14202,2152,18495,Adelaide City
40102,855,151,1021,12335,4859,837,18031,33509,2474,54014,Adelaide Hills
50603,1467,463,1946,13003,4867,516,18386,50059,5365,73810,Canning
60302,199,31,233,2915,1060,172,4147,9412,831,14390,Huon - Bruny Island
60303,108,33,144,825,395,39,1259,3859,419,5537,South East Coast
60401,754,304,1067,7326,2939,352,10617,25248,2919,38784,Burnie - Ulverstone
60402,773,187,963,6630,2567,374,9571,22914,2425,34910,Devonport
60403,181,38,222,2980,986,146,4112,9096,983,14191,West Coast
69999,3,3,9,110,53,9,172,654,148,974,Special Purpose Codes SA3 (Tas.)
70101,81,9,90,2662,900,110,3672,13003,2865,19540,Darwin City
70102,173,48,228,7675,2670,424,10769,23937,6091,40797,Darwin Suburbs
70103,37,6,43,2904,926,151,3981,8558,2120,14659,Litchfield
31102,357,83,443,6180,2261,362,8803,18139,2543,29485,Beenleigh
31103,412,129,547,13003,4237,684,17924,32703,4083,54710,Browns Plains
31104,118,22,145,7690,2266,388,10344,15677,1715,27736,Jimboomba
31105,428,213,644,9506,3568,493,13567,26404,3068,43039,Loganlea - Carbrook
31106,565,149,729,12074,4746,569,17389,36074,4981,58444,Springwood - Kingston
31201,202,59,264,6398,1391,353,8142,15554,3620,27316,Bowen Basin - North
31202,1047,222,1281,19495,6408,973,26876,54010,7951,88837,Mackay
31203,124,19,146,2790,839,154,3783,9380,1938,15101,Whitsunday
31301,692,152,847,3588,1825,232,5645,18076,2194,25915,Bribie - Beachmere
31302,574,284,866,10161,3368,665,14194,26381,4256,44831,Caboolture
31303,114,18,132,1692,630,108,2430,5401,1246,9077,Caboolture Hinterland
31304,448,137,591,10752,3695,627,15074,26351,3124,44549,Narangba - Burpengary
31305,1293,259,1564,8080,3608,450,12138,30498,3555,46191,Redcliffe
40107,1199,297,1512,5647,2337,285,8269,20776,1863,30908,Unley
40201,444,94,541,5374,2055,295,7724,16040,1512,25276,Gawler - Two Wells
40202,859,189,1052,13199,4715,728,18642,38247,4666,61555,Playford
40203,1063,328,1405,9243,3524,376,13143,32612,4409,50164,Port Adelaide - East
40204,1324,313,1648,20805,8065,947,29817,65344,7137,102298,Salisbury
40205,1338,291,1642,14870,7138,827,22835,48676,3539,75050,Tea Tree Gully
49797,0,0,0,0,0,0,0,6,0,6,Migratory - Offshore - Shipping (SA)
49999,58,12,76,297,154,9,460,1845,461,2766,Special Purpose Codes SA3 (SA)
50101,640,130,773,7484,2335,427,10246,20247,2542,33035,Augusta - Margaret River - Busselton
50102,1052,267,1335,16226,5471,886,22583,45305,6263,74151,Bunbury
50103,280,61,344,3474,1167,183,4824,11309,1083,17216,Manjimup
50201,1222,500,1731,12267,5020,716,18003,43265,6232,67500,Mandurah
50301,1423,398,1842,10120,3962,523,14605,34119,3696,52420,Cottesloe - Claremont
50302,1413,337,1766,11714,4192,574,16480,55329,8280,80089,Perth City
50401,1375,236,1625,11159,4283,546,15988,43130,4749,63867,Bayswater - Bassendean
50402,416,111,540,6332,2712,419,9463,19529,3702,32694,Mundaring
50403,711,204,923,18885,5446,845,25176,48289,6240,79705,Swan
50501,1561,397,1977,26479,10063,1469,38011,78518,6437,122966,Joondalup
50502,3042,805,3891,26623,10437,1110,38170,97224,12424,147818,Stirling
50503,1103,329,1444,29893,7973,1389,39255,67471,8253,114979,Wanneroo
40304,2267,531,2826,26990,11829,1661,40480,81906,7059,129445,Onkaparinga
50704,2063,480,2561,15065,6138,822,22025,54835,4848,81708,Melville
50705,962,251,1225,18969,6130,1075,26174,48051,6193,80418,Rockingham
50801,156,46,202,2647,771,137,3555,7433,1151,12139,Esperance
50802,52,14,66,1379,419,82,1880,4475,938,7293,Gascoyne
50803,143,46,195,6792,1957,437,9186,18306,4764,32256,Goldfields
50804,78,31,109,4789,2074,536,7399,14201,4645,26245,Kimberley
50805,496,134,637,8547,2906,498,11951,26213,4042,42206,Mid West
50806,43,11,54,9356,2121,532,12009,25850,10518,48377,Pilbara
50901,892,196,1094,9062,3032,569,12663,27886,3331,43880,Albany
50902,620,149,778,8223,2841,435,11499,27175,3689,42363,Wheat Belt - North
50903,303,62,365,3475,1211,229,4915,10098,1373,16386,Wheat Belt - South
59797,0,0,0,32,7,0,39,311,66,416,Migratory - Offshore - Shipping (WA)
59999,8,8,19,561,253,28,842,4551,1299,6692,Special Purpose Codes SA3 (WA)
60101,114,16,133,2860,870,150,3880,7091,972,11943,Brighton
60102,1022,161,1192,7924,3573,411,11908,25625,2794,40327,Hobart - North East
60103,940,197,1148,7738,3346,401,11485,27145,2873,41503,Hobart - North West
60104,444,121,575,5525,2286,364,8175,15196,1180,24551,Hobart - South and West
60105,1020,255,1284,6752,2834,430,10016,28870,2750,41636,Hobart Inner
60106,174,38,215,2500,936,162,3598,7525,800,11923,Sorell - Dodges Ferry
60201,1626,353,1988,12393,4726,600,17719,42449,4072,64240,Launceston
60202,304,53,360,3448,1212,179,4839,11841,1161,17841,Meander Valley - West Tamar
60203,502,93,601,5546,2010,235,7791,19738,2060,29589,North East
60301,85,14,102,1836,594,67,2497,5827,696,9020,Central Highlands (Tas.)
40103,1206,329,1558,6361,2889,315,9565,23851,2076,35492,Burnside
40104,1122,187,1326,7404,3369,271,11044,27215,2138,40397,Campbelltown (SA)
40105,1115,156,1285,4723,2143,227,7093,21095,1843,30031,Norwood - Payneham - St Peters
40303,1673,248,1954,9980,4429,637,15046,33532,2367,50945,Mitcham
40106,652,107,763,4215,1537,162,5914,15288,1347,22549,Prospect - Walkerville
40301,1395,260,1666,4089,2449,217,6755,20141,2027,28923,Holdfast Bay
40302,2008,443,2466,12608,5539,661,18808,47684,4187,70679,Marion
50601,521,135,662,10345,3801,655,14801,30210,3916,48927,Armadale
50602,897,212,1118,8741,2947,346,12034,36635,5401,54070,Belmont - Victoria Park
50604,784,260,1052,17810,6085,861,24756,51669,7565,83990,Gosnells
50605,602,158,770,8628,3761,518,12907,27140,2929,42976,Kalamunda
50606,108,20,128,3363,1082,163,4608,7976,1034,13618,Serpentine - Jarrahdale
50607,884,213,1106,5159,2204,303,7666,24488,2793,34947,South Perth
50701,722,192,923,15833,4959,747,21539,42967,4544,69050,Cockburn
50702,646,112,762,4848,2113,337,7298,18847,2223,28368,Fremantle
50703,193,62,255,5151,1613,268,7032,12692,2803,22527,Kwinana
70104,49,19,68,5185,1323,320,6828,11196,2188,20212,Palmerston
70202,14,3,17,743,459,86,1288,2226,703,4217,Barkly
70203,11,3,26,2390,2036,866,5292,5136,866,11294,Daly - Tiwi - West Arnhem
70204,17,0,17,2262,2026,616,4904,4224,618,9746,East Arnhem
70205,35,9,52,2650,1489,353,4492,6739,1531,12762,Katherine
79797,0,0,0,3,0,0,3,91,16,110,Migratory - Offshore - Shipping (NT)
79999,0,0,0,127,79,0,206,1254,264,1724,Special Purpose Codes SA3 (NT)
70201,92,53,153,5335,2337,510,8182,15385,4175,27742,Alice Springs
80101,864,261,1136,14811,6197,811,21819,48845,4727,75391,Belconnen
80102,0,3,3,98,25,6,129,279,26,434,Cotter - Namadgi
80103,5,0,8,131,60,6,197,721,429,1347,Fyshwick - Pialligo - Hume
80104,101,14,118,9930,2175,417,12522,21592,1550,35664,Gungahlin
80105,689,184,890,5561,2129,375,8065,30692,3315,42072,North Canberra
80106,685,80,774,3347,1318,136,4801,14397,1380,20578,South Canberra
80107,473,83,567,15035,5494,853,21382,44666,3038,69086,Tuggeranong
80108,421,49,470,3811,1721,216,5748,11883,745,18376,Weston Creek
80109,749,99,858,5091,2048,234,7373,18652,1331,27356,Woden
89797,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (ACT)
89999,3,3,6,63,36,3,102,404,68,574,Special Purpose Codes SA3 (ACT)
90101,0,0,0,205,28,0,233,736,835,1804,Christmas Island
90102,4,0,4,75,16,9,100,290,29,419,Cocos (Keeling) Islands
