gml_id,sa3_name16,sa3_code16,o_or_ds_sep_house,o_or_ds_semid_ro_or_tce_h_th,o_or_ds_flat_apart,o_or_ds_oth_dwell,o_or_ds_not_stated,o_or_total,o_mtg_ds_sep_house,o_mtg_ds_semid_ro_or_tce_h_th,o_mtg_ds_flat_apart,o_mtg_ds_oth_dwell,o_mtg_ds_not_stated,o_mtg_total,r_re_agt_ds_sep_house,r_re_ag_ds_semd_ro_or_tc_h_th,r_re_agt_ds_flat_apart,r_re_agt_ds_oth_dwell,r_re_agt_ds_not_stated,r_re_agt_total,r_st_h_auth_ds_sep_house,r_st_h_au_ds_sd_ro_or_tc_h_th,r_st_h_auth_ds_flat_apart,r_st_h_auth_ds_oth_dwell,r_st_h_auth_ds_not_stated,r_st_h_auth_total,r_psn_not_in_s_hh_ds_sep_hous,r_p_not_in_s_h_ds_sd_ro_t_h_t,r_p_not_in_s_hh_ds_flat_apart,r_psn_not_in_s_hh_ds_oth_dwel,r_psn_not_in_s_hh_ds_ns,r_psn_not_in_s_hh_total,r_hs_cop_cty_ch_gp_ds_sp_ho,r_hs_c_ct_ch_g_ds_sd_ro_t_h_t,r_hse_cp_cty_ch_g_ds_flt_apt,r_hs_cop_cty_ch_gp_ds_ot_dwel,r_hse_coop_cty_ch_gp_ds_ns,r_hse_coop_cty_ch_gp_total,r_ot_landld_typ_ds_sep_house,r_o_lld_typ_ds_sd_ro_tc_h_th,r_ot_lld_typ_ds_flat_apart,r_ot_landld_typ_ds_oth_dwell,r_ot_landld_typ_ds_not_stated,r_ot_landld_typ_total,r_landld_typ_ns_ds_sep_house,r_ld_typ_ns_ds_sd_ro_tce_h_th,r_lld_typ_ns_ds_flat_apart,r_landld_typ_ns_ds_oth_dwell,r_landld_typ_ns_ds_not_stated,r_landld_typ_ns_total,r_tot_ds_sep_house,r_tot_ds_semid_ro_or_tce_h_th,r_tot_ds_flat_apart,r_tot_ds_oth_dwell,r_tot_ds_not_stated,r_tot_total,oth_ten_type_ds_sep_house,oth_ten_ty_ds_sd_ro_tce_h_th,oth_ten_type_ds_flat_apart,oth_ten_type_ds_oth_dwell,oth_ten_type_ds_not_stated,oth_ten_type_total,ten_type_ns_ds_sep_house,ten_ty_ns_ds_sd_ro_tce_h_t,ten_ty_ns_ds_flat_apart,ten_type_ns_ds_oth_dwell,ten_type_ns_ds_not_stated,ten_type_ns_total,total_ds_sep_house,total_ds_semid_ro_or_tce_h_th,total_ds_flat_apart,total_ds_oth_dwell,total_ds_not_stated,total_total
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bb0,Merrylands - Guildford,"12503","10756","1099","700","37","13","12600","10155","2173","1675","55","26","14084","3771","1472","4003","88","65","9396","1266","1120","1439","3","3","3828","1647","366","479","28","39","2564","84","236","169","0","0","490","349","71","76","9","6","508","146","43","54","3","3","258","7258","3303","6224","132","112","17031","186","96","60","0","7","354","2029","597","1070","80","42","3817","30378","7276","9736","300","205","47885"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6baf,Parramatta,"12504","7405","908","1736","10","21","10085","7196","2347","3931","43","40","13563","2508","1876","11587","96","84","16154","414","792","1191","3","7","2406","873","342","1392","26","21","2652","44","137","277","0","3","463","115","130","122","3","13","385","67","35","85","3","4","196","4020","3310","14655","135","131","22250","84","46","445","0","3","582","956","522","2275","50","76","3882","19662","7138","23048","239","275","50358"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bae,Pennant Hills - Epping,"12601","5090","431","480","0","4","6008","4287","414","642","4","6","5356","1000","376","1445","11","10","2840","28","48","35","0","0","110","356","63","222","4","4","653","22","4","70","0","0","101","39","11","19","0","0","77","30","3","15","0","0","52","1488","510","1808","14","15","3832","47","30","60","0","0","136","330","119","179","3","8","636","11235","1505","3163","21","40","15966"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bad,Ryde - Hunters Hill,"12602","10365","2002","1946","41","34","14383","8575","2205","3251","14","33","14078","2176","1914","8143","65","52","12350","224","604","854","0","0","1684","1032","430","1223","19","20","2726","38","155","136","0","14","337","95","119","94","16","12","332","103","46","56","3","3","203","3662","3264","10511","99","97","17635","137","128","190","3","19","484","1027","435","1146","15","60","2691","23768","8031","17036","180","251","49270"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bac,Bringelly - Green Valley,"12701","6601","220","5","11","28","6862","12024","646","13","12","34","12727","3472","470","50","6","15","4029","1122","296","539","0","10","1973","1024","92","18","7","7","1151","72","17","35","0","0","126","252","17","10","4","13","297","122","5","4","0","3","135","6063","905","664","20","52","7709","146","26","8","0","0","184","2061","195","194","15","108","2569","26893","1990","886","61","220","30058"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bab,Fairfield,"12702","15576","1002","880","104","18","17584","12785","1735","989","80","33","15629","5236","1625","3266","115","98","10337","1369","1678","667","9","9","3725","1951","386","435","33","28","2835","123","149","132","7","3","414","457","92","125","52","9","738","169","36","59","3","0","266","9299","3959","4682","223","153","18313","239","76","43","3","0","358","2355","488","619","92","71","3634","40254","7254","7227","507","274","55518"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6baa,Liverpool,"12703","7133","520","638","9","5","8302","10648","1367","1196","18","27","13267","2951","1281","3601","27","24","7890","721","666","793","0","15","2187","776","160","302","0","9","1255","43","87","106","0","3","235","536","76","70","4","5","687","91","19","48","0","7","161","5111","2288","4924","29","57","12420","155","56","52","0","0","258","1517","554","1534","26","14","3648","24570","4785","8340","88","113","37895"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6ba9,Cronulla - Miranda - Caringbah,"12801","9960","2432","2458","65","13","14930","9337","1739","2636","19","25","13752","1507","973","4650","63","27","7221","100","359","463","0","3","930","535","218","717","26","17","1508","26","61","110","0","0","194","53","142","28","20","0","244","73","24","51","5","0","144","2294","1774","6014","115","45","10242","90","65","225","0","0","385","869","447","1197","45","24","2585","22548","6460","12527","247","112","41902"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6ba8,Sutherland - Menai - Heathcote,"12802","11283","1319","971","34","15","13623","12742","1580","1420","12","20","15773","1315","677","1866","41","15","3915","173","297","304","0","0","767","466","173","259","3","10","910","41","42","71","0","0","165","35","15","14","69","5","138","60","9","11","0","0","87","2087","1220","2523","113","31","5972","71","19","114","0","3","213","788","249","388","35","25","1484","26974","4382","5416","201","95","37067"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6ba7,Ballarat,"20101","11169","1178","170","33","33","12584","12217","835","74","40","37","13210","5206","2168","603","15","30","8026","925","458","104","0","9","1496","1511","316","96","8","14","1939","142","101","63","0","8","314","123","57","19","13","13","229","130","38","11","0","0","182","8029","3151","893","35","76","12185","205","82","6","3","8","300","2176","488","184","44","71","2969","33796","5737","1341","164","221","41252"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6ba6,Creswick - Daylesford - Ballan,"20102","4256","23","12","176","51","4514","4039","8","6","110","38","4203","542","20","30","36","3","626","62","29","21","0","0","117","591","11","12","25","15","656","7","11","9","0","0","30","66","3","0","13","4","87","75","0","3","3","7","82","1338","84","75","79","28","1608","76","6","0","11","4","96","967","47","22","45","29","1112","10679","158","128","418","152","11537"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6ba5,Maryborough - Pyrenees,"20103","4468","85","4","129","16","4711","3207","20","3","21","9","3264","596","73","19","3","4","691","108","52","30","0","0","195","594","17","17","14","3","653","9","18","10","0","0","44","75","7","0","20","0","104","89","3","4","4","0","99","1476","177","81","45","14","1785","68","29","3","8","0","108","785","35","20","51","7","901","10007","343","112","254","53","10768"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6ba4,Bendigo,"20201","10694","547","50","85","28","11394","11760","291","56","15","28","12152","5161","1410","213","12","34","6833","881","433","68","0","6","1388","1805","253","40","12","9","2118","184","86","27","0","0","302","131","20","56","45","0","258","140","26","9","3","3","177","8301","2229","412","76","54","11073","181","22","5","0","3","212","2214","440","172","55","38","2921","33154","3526","693","234","159","37757"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6ba3,Heathcote - Castlemaine - Kyneton,"20202","7180","117","32","54","54","7436","6748","35","21","27","59","6891","1176","146","47","10","8","1388","159","92","14","0","0","259","795","54","25","24","9","916","49","21","6","0","0","81","102","5","0","16","9","133","83","8","3","0","0","90","2363","321","98","55","26","2869","113","0","5","0","3","123","1512","65","19","36","31","1661","17913","544","176","176","170","18977"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6ba2,Loddon - Elmore,"20203","2048","7","6","62","24","2150","1370","0","0","21","15","1404","117","0","10","0","0","131","19","8","17","0","0","41","316","3","4","10","0","331","12","0","3","0","0","12","73","0","0","8","0","84","58","0","0","3","0","60","595","8","40","17","0","663","45","0","0","3","0","51","496","3","20","28","5","551","4554","19","68","126","45","4816"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6ba1,Barwon - West,"20301","2196","6","12","9","14","2228","3158","3","4","15","7","3192","275","6","7","0","0","290","23","0","0","0","0","23","300","3","6","3","3","313","11","0","0","0","0","11","63","0","0","0","0","64","44","0","0","3","0","46","711","10","14","9","8","752","37","0","0","0","0","37","404","0","5","11","3","423","6514","22","33","39","27","6627"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6ba0,Geelong,"20302","21159","1708","302","197","49","23418","22173","1344","282","76","41","23913","8428","3238","1113","47","54","12883","1573","825","147","0","0","2546","3054","630","185","29","17","3903","325","264","58","4","0","646","296","76","40","167","11","597","210","59","31","16","5","320","13880","5088","1568","262","94","20899","449","126","22","14","4","624","3854","807","370","162","26","5221","61517","9082","2554","711","208","74074"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b9f,Surf Coast - Bellarine Peninsula,"20303","10212","559","138","33","52","10994","8824","290","49","11","28","9194","3055","575","128","22","15","3793","39","40","11","0","0","88","1133","134","31","19","13","1322","43","18","4","0","0","71","78","9","3","23","8","125","144","14","3","6","5","169","4495","791","178","66","40","5573","176","14","9","3","5","209","1511","171","63","49","23","1817","25216","1831","437","164","143","27790"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b9e,Upper Goulburn Valley,"20401","7794","165","126","165","71","8327","6608","42","38","32","36","6755","1695","158","181","11","4","2054","309","83","59","0","0","450","1078","32","74","22","14","1226","16","20","18","0","0","53","425","30","22","71","19","569","173","12","12","0","5","205","3704","332","361","110","45","4548","161","27","24","5","3","219","1780","101","107","177","32","2192","20041","671","656","487","180","22042"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b9d,Wangaratta - Benalla,"20402","7009","232","97","69","24","7424","5639","82","44","22","21","5810","1527","404","229","7","11","2178","463","160","79","0","0","703","879","117","41","9","5","1051","23","39","10","0","0","75","95","19","8","25","4","144","105","14","3","4","4","130","3085","758","377","40","21","4282","96","41","48","3","3","191","1275","146","117","70","9","1622","17109","1251","676","198","84","19326"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b9c,Wodonga - Alpine,"20403","8560","283","134","93","76","9146","8447","166","77","23","72","8789","3078","774","281","14","13","4161","669","268","86","0","0","1017","1408","178","145","22","31","1781","52","20","15","0","0","82","434","31","48","49","8","579","134","17","9","3","4","168","5772","1281","583","91","60","7785","193","22","36","12","6","266","1745","300","240","105","24","2415","24714","2053","1069","324","239","28397"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b9b,Baw Baw,"20501","6201","162","350","85","32","6824","6504","56","33","15","19","6629","1693","244","194","7","7","2145","166","78","45","0","0","289","860","54","56","8","8","978","16","19","9","0","0","42","89","3","16","42","7","149","86","8","11","0","0","106","2900","402","326","56","24","3707","91","4","41","0","0","134","1251","98","94","33","23","1495","16950","725","835","186","102","18791"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b9a,Gippsland - East,"20502","7606","162","80","217","54","8122","4852","48","21","20","31","4965","1600","232","109","13","15","1969","343","109","42","0","5","500","945","43","18","16","27","1047","94","16","13","0","4","122","183","10","13","52","10","268","133","4","13","5","5","155","3300","411","196","86","62","4062","135","4","3","10","6","158","1532","118","61","116","78","1904","17428","736","364","447","235","19212"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b99,Gippsland - South West,"20503","10031","326","114","168","38","10675","7325","64","33","27","36","7486","2537","253","136","10","17","2954","190","156","45","0","0","395","1356","49","53","11","13","1485","54","45","32","0","0","123","216","15","6","58","10","305","217","11","7","0","0","241","4565","534","281","91","44","5503","170","21","15","10","12","225","1953","119","52","99","24","2255","24053","1061","493","384","146","26143"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b98,Latrobe Valley,"20504","9445","391","176","67","20","10094","9362","135","103","11","15","9628","3047","544","744","3","13","4350","733","299","226","0","4","1264","1230","103","91","4","12","1439","96","61","32","0","0","188","99","36","16","19","25","185","85","20","9","0","3","122","5285","1061","1121","31","54","7550","115","53","6","0","0","176","2175","244","268","30","59","2780","26382","1891","1672","135","146","30226"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b97,Wellington,"20505","6095","103","78","94","29","6396","5313","43","25","20","25","5431","1577","194","208","6","13","1993","291","94","45","0","0","438","779","23","21","15","7","844","43","22","6","0","0","80","305","11","3","28","0","355","125","5","8","3","0","147","3128","355","290","57","19","3850","95","28","3","3","0","124","1275","87","54","45","6","1473","15906","627","446","221","83","17283"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b96,Brunswick - Coburg,"20601","7052","1545","572","27","26","9213","5444","2145","1590","21","37","9231","2382","3507","5213","89","42","11227","108","315","316","0","0","737","929","745","659","35","22","2389","24","51","60","0","3","141","44","31","46","9","3","138","77","52","32","0","0","160","3555","4702","6331","136","78","14804","100","40","30","0","3","173","991","610","897","32","20","2550","17146","9042","9414","217","158","35971"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b95,Darebin - South,"20602","4380","1068","328","21","15","5809","3521","1405","807","18","15","5762","1386","1984","2740","55","31","6194","72","186","343","0","0","606","466","381","305","23","11","1186","38","46","28","0","0","108","28","17","14","3","0","61","65","25","26","0","0","110","2053","2639","3451","84","43","8267","56","26","21","0","3","98","648","349","629","36","8","1675","10654","5486","5230","156","82","21607"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b94,Essendon,"20603","5091","1196","888","17","22","7209","4180","1511","1242","17","24","6974","1225","1650","4155","49","23","7106","46","184","1585","0","7","1821","451","327","563","16","13","1369","53","22","101","0","0","169","35","11","32","4","6","94","54","28","55","0","0","131","1867","2223","6494","67","46","10695","64","35","72","0","0","178","599","348","1292","16","25","2275","11809","5312","9988","113","112","27337"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b93,Melbourne City,"20604","613","1786","5889","16","42","8347","442","1834","7212","16","45","9552","324","2263","26077","47","183","28896","53","321","2191","0","16","2581","137","766","4925","16","41","5886","10","59","592","0","0","671","15","35","832","5","18","910","16","60","312","7","11","400","568","3509","34926","79","275","39349","26","51","414","9","14","507","202","617","6773","361","81","8035","1854","7797","55214","479","451","65791"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b92,Port Phillip,"20605","1665","3534","3704","48","38","8998","1397","3312","5714","88","28","10530","569","2394","15395","269","64","18698","31","549","1439","4","3","2020","202","699","2437","64","16","3418","9","34","327","3","3","377","12","20","110","3","3","151","22","47","148","3","4","227","840","3751","19867","349","93","24897","24","62","161","0","3","255","339","789","4585","167","48","5930","4274","11444","34025","651","214","50603"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b91,Whitehorse - West,"20703","10151","2638","443","7","15","13258","8173","2246","569","10","28","11027","2948","2547","2148","7","33","7684","229","295","123","0","0","643","1226","638","359","5","8","2235","45","105","126","0","0","269","132","75","90","0","3","294","91","46","37","0","0","174","4656","3702","2886","17","49","11308","196","250","95","0","0","543","1072","503","370","9","22","1979","24249","9344","4366","44","113","38118"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b90,Bayside,"20801","10250","3039","1034","32","46","14393","8382","2325","806","59","58","11624","2014","1899","1540","73","28","5551","152","298","352","0","0","802","704","476","253","25","15","1473","13","23","93","0","0","129","32","26","30","3","0","94","80","43","23","0","0","145","2984","2763","2294","103","51","8194","105","96","97","0","4","300","1110","506","602","31","12","2264","22837","8727","4833","219","164","36776"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b8f,Darebin - North,"20902","9388","1318","195","13","13","10926","6500","2313","514","45","25","9391","3292","3566","1709","78","34","8681","570","752","314","0","0","1637","1207","591","214","46","11","2063","34","44","62","0","3","142","121","76","35","3","0","242","115","48","15","4","0","183","5342","5078","2345","135","50","12947","150","75","16","0","4","244","1783","919","525","40","30","3296","23157","9701","3591","228","124","36802"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b8e,Nillumbik - Kinglake,"20903","7738","163","163","12","19","8104","10148","205","108","13","17","10495","900","183","136","0","6","1229","49","49","11","0","0","103","483","40","25","5","3","553","8","3","18","0","0","25","31","3","0","0","0","41","50","13","6","0","0","72","1531","283","194","12","17","2023","114","10","32","0","3","152","946","64","48","4","7","1068","20476","719","543","37","64","21842"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b8d,Whittlesea - Wallan,"20904","17655","1445","324","6","22","19455","27656","2871","289","7","39","30871","8163","3040","1050","6","32","12291","474","146","53","0","0","675","2106","381","129","9","14","2644","79","53","54","0","0","185","315","43","55","12","3","416","181","41","7","0","0","233","11324","3699","1347","23","52","16448","299","84","110","0","0","489","3794","628","263","11","16","4716","60725","8735","2336","54","131","71978"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b8c,Keilor,"21001","8191","1276","42","44","7","9556","5201","1462","54","32","11","6764","1616","1151","91","37","19","2914","52","58","0","0","0","112","535","206","21","10","9","777","9","10","0","0","0","19","37","13","0","0","0","47","54","13","4","0","0","71","2307","1451","116","45","26","3941","71","77","13","3","0","164","947","335","36","19","6","1352","16711","4603","267","139","53","21772"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b8b,Macedon Ranges,"21002","3317","127","27","17","13","3497","4682","97","12","0","15","4810","575","134","22","0","3","742","26","19","4","0","0","46","325","46","4","3","4","379","7","23","6","0","0","41","46","3","0","7","0","55","51","3","0","0","0","59","1031","233","36","16","5","1321","40","3","0","0","0","43","598","63","6","14","0","673","9668","517","81","47","37","10348"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b8a,Kingston,"20803","9831","3387","1322","75","40","14663","10799","4229","1824","29","44","16931","2373","3092","2820","57","26","8374","201","213","280","0","3","701","741","659","402","28","16","1842","36","30","86","0","7","155","55","35","38","78","9","214","70","57","41","3","5","173","3480","4085","3661","169","66","11460","109","98","122","0","8","342","1307","775","889","52","43","3061","25524","12569","7826","329","198","46451"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b89,Stonnington - East,"20804","3612","1164","605","16","6","5401","2745","900","681","25","13","4358","652","815","2503","123","16","4103","7","35","79","0","4","123","252","205","379","21","9","861","3","30","59","3","3","105","16","12","35","0","0","63","23","26","12","0","0","62","946","1120","3073","149","33","5320","41","55","56","3","0","156","355","181","395","16","11","959","7705","3415","4798","209","66","16195"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b88,Banyule,"20901","14777","1502","384","13","33","16713","13102","1965","431","10","24","15530","3733","2037","1301","23","28","7119","630","582","242","0","16","1471","1211","430","191","12","10","1863","69","93","90","0","0","251","184","61","8","0","0","252","106","41","22","0","0","168","5937","3245","1859","31","56","11127","148","86","40","0","0","278","1603","585","333","6","29","2558","35568","7390","3044","65","140","46205"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b87,Moreland - North,"21003","7783","1065","274","17","13","9150","5774","2299","259","20","17","8367","2189","3068","616","33","25","5929","302","241","102","8","3","648","883","468","76","13","9","1452","19","17","19","0","0","59","141","51","14","4","5","221","85","41","13","0","0","136","3617","3886","843","52","37","8440","142","29","16","0","3","197","1267","733","214","20","7","2248","18592","8016","1606","109","86","28407"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b86,Sunbury,"21004","3748","183","204","0","0","4140","6116","82","158","0","6","6359","1512","163","390","3","4","2074","67","25","43","0","0","138","469","30","76","0","0","576","15","6","10","0","0","25","17","3","0","0","0","21","21","0","9","0","0","31","2104","230","526","3","7","2866","47","7","0","0","0","58","719","70","63","0","9","861","12729","571","954","10","26","14278"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b85,Tullamarine - Broadmeadows,"21005","11242","601","119","82","16","12062","19557","1636","211","30","21","21462","4909","2088","448","15","28","7495","922","296","179","39","3","1433","1838","335","101","14","20","2301","83","21","40","0","0","143","398","75","42","123","5","648","146","26","13","10","0","196","8304","2838","815","204","55","12223","242","35","9","4","0","295","2866","593","186","152","44","3838","42208","5702","1341","476","142","49868"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b84,Knox,"21101","16189","1785","269","117","19","18387","20691","1887","234","55","22","22889","5402","1532","341","18","27","7317","526","261","151","0","0","943","1514","310","28","12","16","1887","64","56","70","3","0","185","77","18","15","59","6","174","120","25","13","0","3","154","7708","2201","611","94","45","10658","199","433","139","0","0","778","1966","514","179","66","18","2736","46754","6822","1434","339","105","55451"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b83,Manningham - East,"21102","3471","114","61","19","10","3664","3393","85","13","0","3","3501","485","82","7","0","0","573","28","17","0","0","0","41","185","11","3","0","0","202","5","3","0","0","0","7","15","0","0","8","0","17","34","0","0","0","0","36","744","114","10","4","0","874","38","45","24","0","0","106","326","37","16","3","13","398","7973","396","124","33","24","8542"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b82,Maroondah,"21103","12371","578","77","5","17","13045","14932","969","281","3","19","16209","5115","1124","379","11","18","6657","508","250","59","0","0","813","1400","192","48","5","11","1661","86","88","58","0","3","234","75","27","0","0","3","102","97","15","3","0","0","117","7287","1698","554","16","40","9590","208","38","13","0","3","259","1562","367","135","19","30","2113","36362","3645","1060","47","106","41216"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6b81,Whitehorse - East,"21104","6980","1317","91","0","7","8392","6359","1383","85","5","14","7844","1828","1387","297","4","6","3522","135","279","24","0","0","442","549","269","25","3","7","846","50","42","22","0","0","113","44","27","0","0","0","75","68","23","4","0","0","95","2672","2024","371","9","16","5091","87","146","25","0","0","260","627","274","77","3","10","994","16727","5137","643","22","46","22575"
