sa3_name16,sa3_code16,oh_r_tot_ds_sh,oh_r_tot_ds_sdrtht,oh_r_tot_ds_fa,oh_r_tot_ds_od_c,oh_r_tot_ds_od_ch,oh_r_tot_ds_od_ih_t_so,oh_r_tot_od_hf_a_so,oh_r_tot_ds_od_tot,oh_r_tot_ds_ns,oh_r_tot_ds_tot,oh_ott_ds_sh,oh_ott_ds_sdrtht,oh_ott_ds_fa,oh_ott_ds_od_c,oh_ott_ds_od_ch,oh_ott_ds_od_ih_t_so,oh_ott_od_hf_a_so,oh_ott_ds_od_tot,oh_ott_ds_ns,oh_ott_ds_tot,oh_t_ns_ds_sh,oh_t_ns_ds_sdrtht,oh_t_ns_ds_fa,oh_t_ns_ds_od_c,oh_t_ns_ds_od_ch,oh_t_ns_ds_od_ih_t_so,oh_t_ns_od_hf_a_so,oh_t_ns_ds_od_tot,oh_t_ns_ds_ns,oh_t_ns_ds_tot,oh_tot_ds_shouse,oh_tot_ds_sdrtht,oh_tot_ds_f_u_or_a,oh_tot_ds_od_c,oh_tot_ds_od_ch,oh_tot_ds_od_ih_t_so,oh_tot_ds_od_hf_a_to_a_s_o,oh_tot_ds_od_tot,oh_tot_ds_ns,oh_tot_tot,t_h_oo_ds_sh,t_h_oo_ds_sdrtht,t_h_oo_ds_fa,t_h_oo_ds_od_c,t_h_oo_ds_od_ch,t_h_oo_ds_od_ih_t_so,t_h_oo_od_hf_a_so,t_h_oo_ds_od_tot,t_h_oo_ds_ns,t_h_oo_ds_tot,t_h_m_ds_sh,t_h_m_ds_sdrtht,t_h_m_ds_fa,t_h_m_ds_od_c,t_h_m_ds_od_ch,t_h_m_ds_od_ih_t_so,t_h_m_od_hf_a_so,t_h_m_ds_od_tot,t_h_m_ds_ns,t_h_m_ds_tot,t_h_rrea_ds_sh,t_h_rrea_ds_sdrtht,t_h_rrea_ds_fa,t_h_rrea_ds_od_c,t_h_rrea_ds_od_ch,t_h_rrea_ds_od_ih_t_so,t_h_rrea_od_hf_a_so,t_h_rrea_ds_od_tot,t_h_rrea_ds_ns,t_h_rrea_ds_tot,t_h_rha_ds_sh,t_h_rha_ds_sdrtht,t_h_rha_ds_fa,t_h_rha_ds_od_c,t_h_rha_ds_od_ch,t_h_rha_ds_od_ih_t_so,t_h_rha_od_hf_a_so,t_h_rha_ds_od_tot,t_h_rha_ds_ns,t_h_rha_ds_tot,t_h_r_psh_ds_sh,t_h_r_psh_ds_sdrtht,t_h_r_psh_ds_fa,t_h_r_psh_ds_od_c,t_h_r_psh_ds_od_ch,t_h_r_psh_ds_od_ih_t_so,t_h_r_psh_od_hf_a_so,t_h_r_psh_ds_od_tot,t_h_r_psh_ds_ns,t_h_r_psh_ds_tot,t_h_r_hcc_ds_sh,t_h_r_hcc_ds_sdrtht,t_h_r_hcc_ds_fa,t_h_r_hcc_ds_od_c,t_h_r_hcc_ds_od_ch,t_h_r_hcc_ds_od_ih_t_so,t_h_r_hcc_od_hf_a_so,t_h_r_hcc_ds_od_tot,t_h_r_hcc_ds_ns,t_h_r_hcc_ds_tot,t_h_r_olt_ds_sh,t_h_r_olt_ds_sdrtht,t_h_r_olt_ds_fa,t_h_r_olt_ds_od_c,t_h_r_olt_ds_od_ch,t_h_r_olt_ds_od_ih_t_so,t_h_r_olt_od_hf_a_so,t_h_r_olt_ds_od_tot,t_h_r_olt_ds_ns,t_h_r_olt_ds_tot,t_h_r_lns_ds_sh,t_h_r_lns_ds_sdrtht,t_h_r_lns_ds_fa,t_h_r_lns_ds_od_c,t_h_r_lns_ds_od_ch,t_h_r_lns_ds_od_ih_t_so,t_h_r_lns_od_hf_a_so,t_h_r_lns_ds_od_tot,t_h_r_lns_ds_ns,t_h_r_lns_ds_tot,t_h_r_tot_ds_sh,t_h_r_tot_ds_sdrtht,t_h_r_tot_ds_fa,t_h_r_tot_ds_od_c,t_h_r_tot_ds_od_ch,t_h_r_tot_ds_od_ih_t_so,t_h_r_tot_od_hf_a_so,t_h_r_tot_ds_od_tot,t_h_r_tot_ds_ns,t_h_r_tot_ds_tot,t_h_ott_ds_sh,t_h_ott_ds_sdrtht,t_h_ott_ds_fa,t_h_ott_ds_od_c,t_h_ott_ds_od_ch,t_h_ott_ds_od_ih_t_so,t_h_ott_od_hf_a_so,t_h_ott_ds_od_tot,t_h_ott_ds_ns,t_h_ott_ds_tot,t_h_t_ns_ds_sh,t_h_t_ns_ds_sdrtht,t_h_t_ns_ds_fa,t_h_t_ns_ds_od_c,t_h_t_ns_ds_od_ch,t_h_t_ns_ds_od_ih_t_so,t_h_t_ns_od_hf_a_so,t_h_t_ns_ds_od_tot,t_h_t_ns_ds_ns,t_h_t_ns_ds_tot,t_h_tot_ds_sh,t_h_tot_ds_sdrtht,t_h_tot_ds_fa,t_h_tot_ds_od_c,t_h_tot_ds_od_ch,t_h_tot_ds_od_ih_t_so,t_h_tot_od_hf_a_so,t_h_tot_ds_od_tot,t_h_tot_ds_ns,t_h_tot_ds_tot
Wheat Belt - North,50902,3896,259,138,20,9,7,16,53,43,4387,181,11,0,0,0,9,0,7,5,211,503,18,19,18,5,6,0,22,31,593,18422,346,182,134,42,66,40,291,202,19434,7867,43,19,91,25,20,18,152,69,8152,6383,15,8,13,5,31,11,55,52,6512,833,37,28,0,0,0,0,0,0,892,664,135,68,0,0,0,0,0,3,871,1713,42,16,5,3,3,5,15,20,1806,67,37,21,0,0,0,0,0,3,130,746,35,15,18,5,0,5,30,22,845,279,3,6,0,4,0,3,7,3,304,4302,290,146,20,11,7,15,54,46,4843,187,11,0,0,0,6,0,9,5,215,529,15,21,14,5,6,0,23,31,622,19276,374,198,135,44,75,46,302,205,20350
Wheat Belt - South,50903,1551,164,63,7,3,0,35,48,11,1832,85,0,0,3,0,0,15,16,0,99,183,12,3,5,0,0,3,12,4,216,6606,205,80,45,8,8,72,127,69,7076,3000,24,14,35,3,4,10,56,33,3123,1918,11,0,0,0,0,8,8,11,1947,289,27,19,0,0,0,0,0,0,341,237,81,21,0,0,0,7,7,0,342,698,9,9,4,0,0,6,8,5,731,32,33,17,0,0,0,18,18,0,99,370,24,6,3,3,0,3,12,5,409,118,10,3,0,0,0,0,0,0,133,1744,179,69,7,3,0,35,48,11,2052,84,0,0,3,0,0,15,16,0,102,197,16,3,5,0,0,3,12,4,233,6944,226,84,50,8,8,72,135,69,7458
Kimberley,51001,2273,522,302,149,7,45,68,266,68,3435,29,3,4,10,0,0,3,15,4,53,124,20,15,57,0,22,5,89,16,269,4387,603,376,607,14,93,134,845,120,6330,813,23,12,387,4,24,31,449,24,1326,1576,49,43,29,0,4,23,58,20,1745,739,227,163,20,0,0,10,26,12,1170,2347,284,120,0,0,3,0,5,30,2792,460,43,39,27,4,4,31,72,12,627,264,10,3,0,0,3,0,4,10,287,863,181,75,95,0,35,27,157,30,1314,142,9,10,8,0,8,5,22,9,189,4817,759,414,156,6,50,72,286,110,6387,67,3,7,11,0,8,7,20,5,102,269,57,38,61,3,31,5,102,17,477,7548,888,510,639,16,114,141,914,174,10031
East Pilbara,51002,2903,256,435,9,6,3,8,29,30,3651,49,4,0,0,0,0,0,3,5,57,84,8,20,17,0,0,0,23,14,145,3664,299,478,88,9,8,12,113,51,4609,287,18,16,59,0,0,0,61,6,380,453,17,16,3,0,0,0,3,0,490,1089,108,218,0,0,0,0,0,3,1424,618,62,23,0,0,0,0,0,7,711,134,10,14,4,0,0,3,7,0,166,110,0,5,0,0,0,0,0,0,122,1736,154,211,12,4,4,6,19,19,2139,72,4,11,0,3,0,0,3,6,88,3762,346,482,16,6,3,8,27,31,4649,51,5,0,0,0,3,0,4,5,70,152,16,22,18,0,3,0,26,19,229,4706,401,532,97,9,6,15,124,57,5815
West Pilbara,51003,4501,587,224,25,7,9,8,50,16,5375,42,0,0,3,0,3,0,3,5,54,103,15,9,11,0,0,6,15,10,147,5810,671,247,138,9,18,8,176,44,6942,387,16,6,100,0,10,0,104,8,515,872,53,7,10,0,0,0,10,3,940,1284,222,127,0,3,0,0,5,0,1646,516,155,15,5,0,0,0,5,3,692,245,25,4,3,0,0,0,8,0,281,88,3,6,0,0,0,0,0,0,98,3041,343,81,15,3,5,4,35,10,3512,112,16,3,0,0,3,0,3,4,138,5296,761,234,23,7,12,8,50,18,6368,55,0,0,3,0,3,0,6,5,67,133,27,9,12,0,0,4,16,11,194,6733,854,257,141,9,21,13,184,51,8084
Esperance,51101,1324,253,64,12,0,6,6,20,28,1682,30,10,0,0,0,0,0,0,0,39,106,30,0,7,0,0,0,6,5,153,4610,381,77,44,0,11,10,67,74,5207,1717,67,8,30,0,7,0,32,24,1852,1520,16,7,4,0,3,6,14,18,1571,425,78,20,0,0,0,0,0,0,533,150,74,12,0,0,0,0,0,5,240,497,48,21,3,0,0,0,5,7,583,11,40,0,0,0,0,0,0,0,49,243,23,3,5,0,3,0,13,17,296,87,7,0,0,0,0,0,0,3,96,1413,273,64,12,0,6,6,20,32,1802,36,10,0,0,0,0,0,0,0,45,115,33,0,5,0,0,0,4,9,166,4808,401,78,52,0,11,10,75,77,5436
Gascoyne,51102,889,128,47,38,7,11,3,58,7,1130,16,0,0,6,3,5,0,15,3,32,75,35,0,24,0,3,0,32,3,149,2186,177,59,274,21,34,7,341,40,2803,638,6,8,193,13,15,3,222,15,888,683,11,3,12,0,0,3,22,12,725,282,25,20,0,0,0,3,0,0,341,356,67,3,0,0,0,0,0,5,427,199,21,12,7,0,0,0,11,3,246,21,12,0,0,0,0,0,0,0,36,237,27,6,23,0,6,0,38,3,311,36,6,4,6,0,0,0,8,0,58,1136,153,48,41,7,11,3,55,7,1409,18,0,0,6,3,5,0,15,3,36,100,35,0,29,0,7,0,30,4,180,2575,212,63,279,21,39,12,346,44,3242
Goldfields,51103,2717,1128,184,69,15,3,14,105,32,4166,24,6,0,0,0,0,0,3,3,38,216,47,12,15,3,4,0,21,27,317,8979,1526,211,179,18,10,32,242,88,11052,1912,97,8,90,4,3,8,100,25,2138,4396,260,14,8,0,0,9,16,6,4690,1363,667,101,0,0,0,0,0,4,2133,740,289,34,0,0,0,0,0,6,1079,764,118,19,3,0,0,4,12,8,917,77,28,33,0,0,0,0,0,3,133,496,131,18,66,18,0,10,90,14,748,82,19,0,4,0,3,4,10,3,114,3515,1247,204,75,17,4,19,113,41,5120,37,6,4,3,0,0,0,4,3,51,268,57,12,15,3,4,0,21,30,386,10132,1664,238,180,19,11,37,253,103,12381
Mid West,51104,3668,825,265,37,18,6,27,90,39,4887,114,38,3,0,3,0,0,9,0,159,360,51,14,16,6,0,3,32,27,480,14935,1392,339,209,117,43,76,451,128,17246,5628,316,32,156,91,16,10,273,46,6300,5725,171,24,11,0,17,39,66,16,6009,1600,425,99,0,0,0,4,6,11,2140,673,263,121,0,0,0,17,19,3,1087,1453,186,46,5,0,3,18,25,11,1720,81,34,11,0,0,0,0,0,0,131,543,41,39,32,18,3,9,62,12,694,177,14,6,3,0,4,3,9,3,205,4527,960,322,39,22,11,44,109,45,5960,117,39,0,0,3,3,0,5,0,172,424,58,19,16,6,0,6,35,27,566,16426,1542,402,221,118,48,109,498,141,19010
Brighton,60101,1227,53,249,0,0,0,0,3,3,1542,18,0,3,0,0,0,0,0,0,25,115,3,18,0,0,0,0,0,0,138,4751,78,457,0,0,4,5,10,15,5313,1350,15,81,0,0,0,0,0,4,1453,2332,5,117,0,0,3,0,4,11,2467,471,22,140,0,0,0,0,0,0,635,677,31,82,0,0,0,0,0,0,792,279,3,61,0,0,0,0,0,0,347,52,5,10,0,0,0,0,0,0,75,37,0,4,0,0,0,0,0,0,48,26,0,4,0,0,0,0,0,0,33,1552,62,301,0,0,0,0,4,3,1921,26,0,3,0,0,0,0,0,0,27,127,3,20,0,0,0,0,0,0,153,5389,87,519,7,0,4,5,14,16,6028
Hobart - North East,60102,3450,541,239,0,6,0,5,9,15,4254,145,38,7,0,0,0,0,0,0,192,383,46,16,3,3,3,0,10,7,453,18037,846,368,19,23,5,10,54,41,19343,7069,122,62,14,14,0,0,27,10,7292,7439,101,49,0,5,0,8,15,13,7614,1561,179,129,0,0,0,0,0,3,1875,747,251,42,0,0,0,0,0,0,1045,1230,104,57,0,0,0,3,3,9,1398,82,33,5,0,0,0,0,0,0,116,104,12,5,0,6,0,0,8,3,127,74,10,0,0,0,0,0,0,0,85,3796,582,242,0,6,0,5,9,11,4649,151,41,7,0,0,0,0,0,0,197,404,44,16,3,4,3,0,12,7,479,18866,891,380,20,23,5,14,58,37,20229
Hobart - North West,60103,4001,792,1490,0,0,0,36,41,12,6336,82,31,16,0,0,0,0,0,0,129,431,66,79,0,0,0,0,0,3,587,16454,1189,2118,17,20,3,56,91,29,19894,5757,192,307,13,14,0,3,28,4,6290,6709,120,239,4,4,0,14,22,7,7096,1832,279,640,0,0,0,15,19,3,2767,873,301,451,0,0,0,0,0,5,1623,1483,134,360,0,0,0,18,21,9,2004,84,91,64,0,0,0,0,0,0,237,161,48,66,3,0,0,6,9,0,278,74,26,25,0,0,0,4,3,0,125,4504,874,1605,6,3,0,41,48,13,7040,85,31,16,0,0,0,0,0,0,128,456,72,86,0,0,0,0,0,3,617,17513,1284,2252,14,20,3,58,99,32,21178
Hobart - South and West,60104,1918,326,150,3,0,0,7,17,3,2413,82,12,10,0,0,0,0,0,0,109,189,18,8,0,5,0,0,5,0,220,10646,591,254,8,12,9,14,37,15,11545,4262,128,46,6,7,3,4,12,3,4457,4523,106,46,0,0,3,3,4,6,4687,1021,152,59,0,0,0,11,11,3,1245,214,80,14,0,0,0,0,0,0,308,701,69,50,0,0,0,3,3,3,829,82,30,23,0,0,0,0,0,0,135,52,4,7,4,0,0,0,6,0,67,32,3,3,0,0,0,0,0,0,43,2102,345,159,5,0,0,7,13,4,2626,91,12,14,0,0,0,0,0,0,108,206,21,7,0,5,0,0,5,0,233,11185,609,266,7,8,9,14,42,17,12116
Hobart Inner,60105,2595,1252,2802,0,3,3,50,55,55,6765,66,53,116,0,0,0,0,0,0,233,240,54,108,0,3,0,0,5,21,432,13427,2076,3817,3,15,6,71,90,94,19503,5769,351,447,0,8,0,8,21,14,6602,4901,378,351,0,0,0,9,15,7,5645,1356,659,1529,0,0,0,22,22,29,3592,157,110,341,0,0,0,0,0,0,613,1038,429,815,0,0,0,30,30,24,2335,25,59,129,0,0,0,0,0,0,218,59,29,53,0,0,0,3,3,5,148,56,12,27,0,0,0,0,0,0,93,2691,1303,2889,0,3,3,50,55,54,6993,69,54,116,0,0,0,0,0,0,233,252,62,108,0,3,0,0,5,21,443,13678,2142,3913,3,14,6,69,95,96,19923
Sorell - Dodges Ferry,60106,1032,52,3,0,6,0,9,14,3,1098,35,0,0,0,0,0,0,0,0,37,145,0,0,3,0,0,0,3,3,147,5683,78,7,9,11,15,13,45,23,5831,2084,12,0,7,0,7,0,20,5,2122,2577,15,3,0,3,3,6,9,12,2618,430,30,0,0,0,0,0,0,0,466,73,6,0,0,0,0,0,0,0,79,540,9,3,0,0,0,4,5,0,567,7,7,0,0,0,0,0,0,0,17,37,0,0,0,7,0,0,7,0,46,41,0,0,0,0,0,0,0,0,41,1137,54,3,0,7,0,9,17,3,1216,38,0,0,0,0,0,0,0,0,44,154,0,0,3,0,0,0,3,0,154,5990,83,7,9,13,13,9,53,23,6149
Launceston,60201,5647,1654,1905,0,3,0,45,51,41,9303,195,83,14,0,0,0,0,0,3,292,548,111,104,4,0,0,0,3,10,782,24494,2693,2596,11,10,6,76,108,106,29993,9055,517,364,6,9,4,18,32,29,9993,9545,332,217,3,0,4,13,21,22,10135,3094,698,960,0,0,0,26,25,20,4803,894,424,423,0,0,0,0,0,3,1739,1882,377,447,0,0,0,22,22,15,2738,110,152,108,0,0,0,0,0,3,374,159,87,65,0,9,0,8,9,3,326,98,27,30,0,0,0,0,0,0,158,6247,1757,2030,0,5,0,46,57,45,10136,200,83,9,0,0,0,0,0,3,294,578,119,107,4,0,0,0,3,15,818,25618,2812,2735,11,16,6,79,106,113,31383
Meander Valley - West Tamar,60202,1331,82,34,3,7,0,10,18,6,1481,55,3,0,3,0,0,0,3,0,63,190,6,0,0,3,0,0,7,5,214,7939,162,70,29,40,0,25,97,32,8299,3672,23,27,21,30,0,9,53,7,3783,2887,37,10,5,7,0,3,9,11,2959,530,27,13,0,0,0,3,3,0,573,115,12,0,0,0,0,0,0,0,123,603,11,17,3,0,0,4,6,3,641,31,34,0,0,0,0,0,0,0,68,107,10,3,0,3,0,0,7,3,121,67,0,3,0,0,0,0,0,0,71,1451,86,34,3,8,0,10,19,10,1598,58,3,0,3,0,0,0,3,0,63,200,6,0,0,3,0,0,7,5,218,8257,161,70,27,42,0,25,99,32,8620
North East,60203,2666,239,213,6,10,0,12,32,25,3176,117,9,3,0,0,0,0,0,0,130,319,17,17,5,0,0,3,9,9,380,13075,315,285,44,23,18,36,115,107,13909,6017,38,37,25,12,5,16,53,45,6193,4294,13,16,5,3,4,7,26,24,4371,1020,66,106,0,3,0,3,10,12,1215,301,85,57,0,0,0,0,0,0,447,1082,38,33,0,0,0,8,8,12,1172,58,46,11,0,0,0,0,0,0,120,313,16,16,3,3,0,3,9,4,355,157,8,3,0,0,0,0,5,6,180,2938,256,232,6,10,0,10,28,30,3491,120,9,3,0,0,0,0,0,0,136,337,18,21,5,0,0,3,9,9,398,13702,335,308,44,23,18,42,123,113,14580
Central Highlands (Tas.),60301,609,3,3,0,3,0,3,12,9,633,42,0,0,0,0,0,0,0,3,45,99,0,0,0,0,0,0,0,3,104,3887,5,10,5,9,3,16,36,30,3971,1704,0,0,3,3,3,3,9,5,1726,1621,0,0,0,3,0,7,16,11,1646,135,3,0,0,0,0,3,0,0,143,12,0,5,0,0,0,0,0,0,18,342,0,0,0,0,0,3,3,5,359,19,0,0,0,0,0,0,0,0,19,114,0,0,0,0,0,3,4,3,125,56,0,0,0,0,0,0,0,0,58,686,5,3,0,3,0,8,10,13,713,42,0,0,0,0,0,0,0,3,46,114,0,0,3,0,0,0,3,3,120,4168,6,11,5,9,3,21,38,32,4258
Huon - Bruny Island,60302,949,45,65,3,13,5,10,26,6,1087,46,0,4,0,0,0,0,0,0,50,150,4,3,5,0,0,0,5,5,171,6380,83,80,26,31,23,21,105,28,6670,3081,26,5,22,16,8,8,53,12,3181,2660,10,0,3,4,3,8,20,11,2702,379,21,11,0,0,0,4,4,0,417,53,5,21,0,0,0,0,0,0,80,554,14,11,3,4,3,4,13,3,596,6,3,17,0,0,0,0,0,0,31,60,4,3,0,0,0,5,5,0,77,62,4,3,0,4,0,3,4,0,80,1117,51,74,3,13,5,12,33,6,1277,49,0,4,0,0,0,0,0,0,56,176,4,3,5,0,0,0,5,5,199,7089,95,89,35,31,23,29,117,24,7412
South East Coast,60303,453,27,24,4,3,0,4,11,5,520,21,3,0,0,0,0,0,0,0,25,83,0,4,0,0,0,0,0,0,88,2443,40,25,14,6,5,9,46,30,2587,1340,3,0,7,3,3,6,17,14,1377,648,7,0,7,0,4,0,8,10,676,133,6,4,0,0,0,0,0,0,146,33,4,7,0,0,0,0,0,0,41,253,10,6,0,0,0,0,6,4,272,3,5,0,0,0,0,0,0,0,13,51,0,0,3,0,0,0,6,0,59,35,0,4,0,0,0,0,0,0,44,500,31,21,4,3,0,4,11,5,574,25,0,0,0,0,0,0,0,0,25,83,0,4,0,0,0,0,0,0,93,2596,40,30,14,6,5,9,46,32,2746
Holdfast Bay,40301,1068,1661,1555,0,3,0,21,29,20,4326,45,114,202,0,0,0,0,0,10,379,114,102,96,0,0,0,0,0,13,327,7246,3974,2702,5,6,0,28,37,66,14023,3261,1273,522,3,0,0,5,9,14,5077,2792,835,332,0,0,0,0,3,11,3971,590,983,1020,0,0,0,21,20,6,2618,45,120,66,0,0,0,0,0,0,228,408,507,331,0,0,0,3,3,7,1256,17,38,118,0,0,0,0,0,0,169,15,20,22,0,0,0,0,3,4,62,22,23,30,0,0,0,0,0,0,74,1095,1689,1575,0,3,0,21,29,20,4402,45,120,202,0,0,0,0,0,10,383,115,107,97,0,0,0,0,0,13,328,7316,4017,2732,5,6,0,28,37,66,14168
Marion,40302,4802,4179,1535,0,0,0,10,12,47,10576,116,259,41,0,0,0,0,0,4,414,496,233,85,0,0,0,0,0,5,827,24516,8300,2406,3,0,0,13,21,113,35360,8829,1578,345,3,0,0,0,3,13,10769,10443,2078,406,0,0,0,7,7,35,12965,2280,1728,616,0,0,0,4,4,21,4651,789,1448,504,0,0,0,0,0,5,2755,1588,714,321,0,0,0,3,3,6,2634,142,301,79,0,0,0,0,0,4,518,113,50,26,0,0,0,0,0,4,197,76,55,11,0,0,0,0,0,3,141,4980,4295,1560,0,0,0,10,12,47,10896,114,259,41,0,0,0,0,0,4,416,516,242,85,0,0,0,0,0,5,852,24882,8453,2436,3,0,0,14,20,113,35901
Burnie - Ulverstone,60401,3405,974,179,17,3,0,17,42,19,4610,59,39,0,0,0,0,0,3,0,105,421,76,9,7,0,0,0,7,7,519,15523,1350,222,75,12,0,30,125,55,17277,6569,217,28,50,5,0,8,62,12,6890,5976,51,14,8,4,0,5,18,13,6074,1558,344,83,0,0,0,10,10,7,2009,802,392,46,0,0,0,0,0,4,1247,1312,196,41,4,0,0,6,12,10,1565,96,74,24,0,0,0,0,0,0,197,131,36,6,20,7,0,0,19,5,202,96,13,0,4,0,0,0,4,0,115,4000,1066,205,21,7,0,17,45,23,5342,63,39,0,0,0,0,0,3,0,111,452,81,12,7,0,0,0,7,12,573,17067,1460,258,84,17,3,34,135,55,18982
Devonport,60402,3117,796,174,13,16,0,14,48,11,4147,90,19,22,0,4,0,0,4,0,125,366,69,6,0,10,0,0,13,4,460,14376,1193,283,31,69,7,27,132,43,16028,6139,250,57,18,46,0,5,69,15,6532,5315,75,24,0,0,3,3,7,18,5435,1391,305,80,0,0,0,3,3,0,1778,650,324,21,0,0,0,0,0,0,1001,1204,142,38,3,4,0,11,20,9,1403,129,51,28,0,0,0,0,0,0,203,135,22,20,11,15,0,0,27,0,203,81,26,9,0,0,0,0,3,0,118,3586,870,193,13,24,0,20,55,10,4705,101,18,22,0,4,0,0,4,0,138,400,74,6,0,10,0,0,13,4,493,15539,1280,303,31,78,7,29,146,44,17309
West Coast,60403,1301,43,76,0,0,3,7,7,8,1431,50,0,0,0,0,0,0,0,0,51,150,5,8,0,0,0,0,0,9,169,5495,87,102,3,4,3,19,41,50,5776,2491,26,12,3,3,3,5,19,19,2560,2036,19,7,0,0,0,12,14,17,2084,537,9,31,0,0,0,0,0,3,582,95,6,11,0,0,0,0,0,0,118,570,12,15,0,0,0,0,4,3,602,26,4,7,0,0,0,0,0,0,43,279,13,18,0,0,0,0,3,3,311,89,3,3,0,0,0,0,0,0,95,1595,44,90,0,0,3,6,7,14,1752,52,0,3,0,0,0,0,0,3,63,172,5,17,0,0,0,0,0,9,207,6352,96,129,5,4,3,24,43,51,6665
Darwin City,70101,672,909,3537,13,15,0,16,35,51,5209,28,6,18,0,0,0,0,4,3,64,63,49,130,8,10,0,3,14,18,276,2108,1498,4873,41,70,5,25,136,89,8697,637,200,348,19,45,0,3,73,6,1273,775,355,878,0,3,0,5,6,8,2021,334,525,2584,0,3,0,0,5,9,3457,41,141,145,0,0,0,0,0,7,344,189,239,518,0,0,0,3,3,15,955,44,14,6,0,0,0,0,0,0,62,142,62,419,13,11,0,7,30,22,672,19,10,28,0,0,0,0,0,3,60,768,986,3702,13,15,0,16,37,50,5553,25,6,24,0,0,0,0,4,3,67,75,54,143,8,10,7,3,21,18,301,2280,1605,5100,41,67,4,27,140,89,9213
Darwin Suburbs,70102,2954,1008,2052,18,3,4,38,59,41,6112,39,30,8,3,0,0,0,5,0,84,289,57,116,44,0,0,9,48,11,514,10139,1667,3054,190,6,7,93,300,65,15227,2796,208,281,127,4,3,25,151,7,3444,4676,409,624,3,0,3,27,40,12,5763,1285,477,1296,0,0,0,23,21,15,3094,755,294,218,0,0,0,0,0,3,1271,882,269,564,3,3,0,14,14,12,1750,42,34,23,0,0,0,0,0,0,106,561,53,102,17,0,0,0,24,14,752,50,16,26,0,0,0,0,3,0,97,3581,1152,2229,20,3,4,39,62,45,7072,46,30,8,3,0,0,0,5,0,91,333,66,137,40,0,0,9,49,12,597,11429,1855,3285,198,6,14,95,311,76,16963
Litchfield,70103,832,36,103,35,20,20,3,83,25,1072,27,0,0,0,0,0,0,6,0,36,149,3,3,20,7,0,0,25,6,179,4910,51,120,244,36,53,18,355,72,5495,1363,10,5,181,3,12,3,201,22,1605,2941,10,13,22,8,14,8,52,20,3032,299,24,83,3,0,0,0,7,0,423,7,0,14,0,0,0,0,0,0,17,501,10,13,12,3,16,3,36,12,567,29,0,0,0,0,0,0,0,0,29,68,3,0,23,13,6,0,42,3,113,60,0,7,0,3,0,0,10,9,81,958,40,111,37,21,24,3,89,24,1225,34,0,0,0,0,0,0,6,0,42,169,3,3,18,7,3,0,29,6,208,5466,58,134,265,38,58,18,383,75,6109
Jervis Bay,90103,26,0,0,0,0,0,0,0,0,26,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,0,3,30,0,0,0,0,3,0,7,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,64,0,3,0,0,0,0,0,0,69,3,0,0,0,0,3,0,3,0,6,6,0,0,0,0,0,0,3,0,11,80,0,4,0,0,3,0,7,3,86
Norfolk Island,90104,192,0,4,0,0,0,3,3,0,203,9,0,0,0,0,0,0,0,0,9,24,0,0,0,0,0,0,0,0,24,718,0,4,0,0,0,10,5,4,738,266,0,0,0,0,0,0,0,0,273,233,0,0,0,0,0,0,0,3,236,60,0,0,0,0,0,3,3,0,62,3,0,0,0,0,0,0,0,0,3,94,0,3,0,0,0,3,3,0,102,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,10,22,0,0,0,0,0,0,0,0,21,191,0,4,0,0,0,3,3,0,206,9,0,0,0,0,0,0,0,0,9,24,0,0,0,0,0,0,0,0,24,726,0,4,0,0,0,10,5,4,743
Palmerston,70104,2863,657,856,0,0,0,0,3,3,4381,16,3,3,0,0,0,0,0,0,28,154,32,48,0,0,0,0,0,5,240,6965,966,1309,3,0,0,3,6,18,9261,741,46,75,3,0,0,0,4,0,868,3680,255,361,0,0,0,0,3,4,4296,1864,445,499,0,0,0,0,3,3,2810,393,181,309,0,0,0,0,0,0,888,582,120,140,0,0,0,0,0,0,852,5,3,8,0,0,0,0,0,0,11,556,28,58,0,0,0,0,0,0,643,31,4,15,0,0,0,0,0,0,50,3425,773,1035,4,0,0,3,8,4,5253,21,5,3,0,0,0,0,0,0,28,194,42,72,0,0,0,0,0,4,310,8065,1127,1546,6,0,0,3,12,18,10762
Alice Springs,70201,1345,1271,478,34,29,9,118,194,35,3322,51,15,0,3,4,3,0,4,0,76,138,57,30,14,8,12,12,42,13,275,4385,1931,549,199,41,42,259,544,63,7468,1065,135,14,137,11,17,51,220,4,1443,2215,504,30,7,0,6,92,114,7,2864,583,722,170,3,5,0,38,46,12,1529,1243,272,60,3,3,0,18,26,9,1615,382,200,39,14,0,3,39,54,12,684,254,36,22,3,0,0,3,8,3,316,408,281,306,32,23,4,41,103,16,1113,128,36,5,4,0,3,4,5,6,180,2996,1551,593,48,38,14,139,237,55,5428,104,20,3,3,4,18,0,24,0,152,236,76,40,21,8,14,19,55,20,431,6606,2292,683,218,54,69,304,644,92,10322
