sa3_name16,sa3_code16,p_sol_sp_en_t_2006_2010,p_sol_sp_en_t_2011,p_sol_sp_en_t_2012,p_sol_sp_en_t_2013,p_sol_sp_en_t_2014,p_sol_sp_en_t_2015,p_sol_sp_en_t_2016,p_sol_sp_en_t_yr_arr_ns,p_sol_sp_en_t_t,p_lanprof_en_ns_bef_2000,p_lanprof_en_ns_2000_2005,p_lanprof_en_ns_2006_2010,p_lanprof_en_ns_2011,p_lanprof_en_ns_2012,p_lanprof_en_ns_2013,p_lanprof_en_ns_2014,p_lanprof_en_ns_2015,p_lanprof_en_ns_2016,p_lanprof_en_ns_yr_arr_ns,p_lanprof_en_ns_t,p_t_b_2000,p_t_2000_2005,p_t_2006_2010,p_t_2011,p_t_2012,p_t_2013,p_t_2014,p_t_2015,p_t_2016,p_t_yr_arrival_ns,p_t_t
Carindale,30301,1388,241,203,260,237,272,170,194,6335,3,0,3,0,0,0,0,0,0,7,20,6002,1526,2362,447,352,409,400,416,225,346,12475
Holland Park - Yeronga,30302,2377,478,607,865,925,905,642,359,10929,18,5,8,0,0,0,0,3,3,16,57,7266,1927,3404,746,842,1069,1157,1137,768,623,18955
Mt Gravatt,30303,4684,911,1085,1310,1307,1382,737,700,20612,6,3,0,3,0,3,0,7,13,23,54,9989,3528,5649,1076,1269,1460,1433,1556,838,963,27765
Nathan,30304,1693,384,460,587,613,672,434,289,8271,29,3,3,0,0,0,0,0,0,14,51,4543,1364,2211,468,548,671,697,766,503,429,12199
Rocklea - Acacia Ridge,30305,5100,916,870,840,838,798,497,560,19789,10,3,3,5,0,3,0,3,0,10,47,9749,4535,6261,1103,1067,1005,1019,930,555,777,26994
Mudgeeraba - Tallebudgera,30905,382,53,44,57,53,54,11,44,1820,8,0,3,0,0,0,0,0,0,3,9,4161,1224,1492,203,228,193,161,131,45,185,8023
Nerang,30906,1075,147,156,147,189,129,68,158,5049,9,4,3,0,0,0,0,0,0,6,26,9052,2528,3218,550,474,402,407,310,166,517,17640
Ormeau - Oxenford,30907,1942,297,334,305,343,267,180,243,7709,16,8,5,4,0,3,0,0,3,13,58,13423,4857,7622,1322,1453,1110,1036,779,478,978,33056
Outback - South,31503,75,25,16,24,70,30,21,17,396,0,0,0,0,0,0,0,3,0,3,7,885,83,162,52,31,40,80,50,18,72,1471
Buderim,31601,556,86,135,157,168,213,190,96,2660,5,4,4,0,3,0,0,0,0,9,20,5710,1643,2241,421,418,439,369,429,286,393,12346
Caloundra,31602,646,92,144,138,141,156,88,98,2967,21,3,6,0,0,0,0,0,0,9,37,8600,1766,2739,418,478,410,379,366,231,448,15838
Maroochy,31603,631,104,159,186,228,232,112,100,2810,20,4,0,0,0,0,0,0,0,8,32,6318,1235,1823,287,424,397,404,463,221,393,11954
Noosa,31605,343,56,92,99,88,87,76,49,1938,29,3,13,0,3,0,0,0,0,31,73,5951,1229,1564,261,326,295,259,254,167,276,10587
Sunshine Coast Hinterland,31606,200,31,44,17,46,56,49,75,1326,14,0,0,0,0,0,0,0,0,13,25,5608,916,1066,141,141,115,137,98,83,324,8625
Nambour,31607,323,85,53,46,54,53,35,56,1415,8,0,0,3,0,0,0,0,0,28,37,4101,763,1060,217,160,105,94,107,55,226,6885
Noosa Hinterland,31608,82,14,13,21,21,19,11,11,573,7,0,0,0,0,0,0,0,0,4,12,2574,570,484,53,43,55,57,56,11,109,4018
Charters Towers - Ayr - Ingham,31801,148,23,41,17,42,93,44,121,1326,8,0,0,0,0,0,0,3,7,12,30,2388,173,283,51,84,40,64,153,85,242,3566
Townsville,31802,2791,529,500,548,555,620,335,323,9764,8,3,6,0,0,0,0,0,0,77,106,12463,2703,4989,975,932,891,875,929,544,886,26193
Bundaberg,31901,556,80,134,158,172,305,198,242,3101,20,0,0,0,0,0,0,0,3,26,54,6609,778,1127,190,248,259,263,437,277,560,10751
Burnett,31902,219,46,63,49,74,155,68,128,1246,8,0,4,0,0,0,0,0,0,15,28,3169,255,395,69,94,70,105,178,85,318,4741
Gympie - Cooloola,31903,164,35,31,45,23,32,25,28,957,12,0,0,0,0,0,0,0,0,7,17,3936,419,511,80,88,114,41,85,40,188,5490
Hervey Bay,31904,364,67,61,57,76,66,33,76,1992,32,0,3,0,0,0,0,0,0,25,60,7013,852,1027,164,177,130,145,149,79,356,10086
Sunnybank,30306,4831,966,1038,1466,1467,1392,868,832,21917,10,4,4,0,0,0,0,3,3,19,38,8648,3744,5394,1091,1205,1559,1568,1525,958,989,26671
Centenary,30401,949,163,151,171,141,117,81,124,5416,5,0,0,0,0,0,0,0,0,4,8,5891,1513,1592,261,292,259,195,173,95,280,10559
Kenmore - Brookfield - Moggill,30402,1052,160,236,203,199,161,130,93,4798,17,3,0,0,0,3,0,0,0,32,52,6376,2383,2675,488,478,390,363,287,220,307,13967
Sherwood - Indooroopilly,30403,1566,451,686,876,1246,1831,1547,330,10895,3,0,0,0,0,0,0,0,0,8,15,4713,1663,2475,676,914,1100,1520,2094,1817,483,17467
The Gap - Enoggera,30404,714,163,126,113,152,125,82,91,3127,3,0,0,0,0,0,0,0,0,3,13,4752,1265,1784,368,348,293,277,237,145,258,9719
Brisbane Inner,30501,2580,781,1036,1288,1704,2512,2254,1271,17655,9,0,6,0,0,0,0,0,5,56,72,7612,2340,3960,1160,1454,1751,2226,3204,2859,1731,28294
Brisbane Inner - East,30502,665,165,202,222,283,297,241,148,3508,3,0,0,0,0,0,0,0,0,3,13,3612,1141,1655,431,432,420,451,482,335,292,9268
Brisbane Inner - North,30503,2362,474,789,982,1277,1431,954,453,11861,3,0,0,0,0,3,0,0,3,14,29,7609,2301,3947,904,1192,1349,1632,1757,1189,727,22611
Brisbane Inner - West,30504,901,213,314,409,531,626,475,183,5286,6,0,3,0,0,0,0,0,0,3,9,5042,1386,1863,458,527,618,771,865,647,383,12568
Cairns - North,30601,919,142,215,157,171,164,108,118,3899,13,0,0,0,0,0,0,0,0,10,26,6588,1548,2139,402,429,353,326,313,221,352,12670
Cairns - South,30602,2449,555,548,634,572,601,471,551,10752,21,0,5,0,0,0,5,3,4,30,70,10503,2385,3714,820,816,877,785,832,687,1036,22443
Innisfail - Cassowary Coast,30603,435,47,75,88,127,185,109,126,2069,12,0,0,0,0,0,0,0,0,0,17,2844,276,625,75,114,128,168,269,180,238,4910
