sa3_name16,sa3_code16,hh_in_p_1_f_hh_c_f_n_c_n_u_2,hh_in_p_1_f_hh_c_f_n_c_n_u_3,hh_in_p_1_f_hh_c_f_n_c_n_u_4,hh_in_p_1_f_hh_c_f_n_c_n_u_5,hh_in_p_1_f_h_c_f_n_c_n_u_6ov,hh_in_p_1_f_hh_c_f_no_ch_tot,hh_in_p_1_f_hh_c_f_ch_nu_ur_3,hh_in_p_1_f_hh_c_f_ch_nu_ur_4,hh_in_p_1_f_hh_c_f_ch_nu_ur_5,hh_i_p_1_f_h_c_f_ch_nu_ur_6ov,hh_in_pe_1_fa_hh_co_fa_ch_tot,hh_in_p_1_f_h_1_pa_f_nu_ur_2,hh_in_p_1_f_h_1_pa_f_nu_ur_3,hh_in_p_1_f_h_1_pa_f_nu_ur_4,hh_in_p_1_f_h_1_pa_f_nu_ur_5,hh_in_p_1_f_h_1_pa_f_n_ur_6ov,hh_in_p_1_f_h_1_pa_f_tot,hh_in_p_1_fa_hh_ot_fa_nu_ur_2,hh_in_p_1_fa_hh_ot_fa_nu_ur_3,hh_in_p_1_fa_hh_ot_fa_nu_ur_4,hh_in_p_1_fa_hh_ot_fa_nu_ur_5,hh_in_p_1_fa_hh_ot_f_n_ur_6ov,hh_in_pe_1_fa_hh_other_fa_tot,hh_in_pe_1_fa_hh_tot_nu_ur_2,hh_in_pe_1_fa_hh_tot_nu_ur_3,hh_in_pe_1_fa_hh_tot_nu_ur_4,hh_in_pe_1_fa_hh_tot_nu_ur_5,hh_in_pe_1_fa_hh_tot_n_ur_6ov,hh_in_pe_1_fa_hh_tot_tot,hhd_in_pe_mu_fa_hhd_nu_ur_4,hhd_in_pe_mu_fa_hhd_nu_ur_5,hhd_in_pe_mu_fa_hhd_n_ur_6ov,hhd_in_pe_mu_fa_hhd_tot,hhd_in_pe_totfa_hhd_nu_ur_2,hhd_in_pe_totfa_hhd_nu_ur_3,hhd_in_pe_totfa_hhd_nu_ur_4,hhd_in_pe_totfa_hhd_nu_ur_5,hhd_in_pe_totfa_hhd_n_ur_6ov,hhd_in_pe_totfa_hhd_tot,hhd_in_pe_lo_per_hhd_nu_ur_1,hhd_in_pe_lo_per_hhd_tot,hhd_in_pe_gr_hh_nu_ur_2,hhd_in_pe_gr_hh_nu_ur_3,hhd_in_pe_gr_hh_nu_ur_4,hhd_in_pe_gr_hh_nu_ur_5,hhd_in_pe_gr_hh_n_ur_6ov,hhd_in_pe_gr_hh_tot,hhd_in_pe_tot_nu_ur_1,hhd_in_pe_tot_nu_ur_2,hhd_in_pe_tot_nu_ur_3,hhd_in_pe_tot_nu_ur_4,hhd_in_pe_tot_nu_ur_5,hhd_in_pe_tot_nu_ur_6_more,hhd_in_pe_tot_tot,ot_hh_1_f_hh_c_f_no_c_nu_ur_2,ot_hh_1_f_hh_c_f_no_c_nu_ur_3,ot_hh_1_f_hh_c_f_no_c_nu_ur_4,ot_hh_1_f_hh_c_f_no_c_nu_ur_5,ot_hh_1_f_hh_c_f_n_c_n_ur_6ov,ot_hh_1_f_hh_c_f_no_c_tot,ot_hh_1_f_hh_c_f_ch_nu_ur_3,ot_hh_1_f_hh_c_f_ch_nu_ur_4,ot_hh_1_f_hh_c_f_ch_nu_ur_5,ot_hh_1_f_hh_c_f_ch_n_ur_6ov,ot_hh_1_f_hh_c_f_with_ch_tot,ot_hh_1_f_hh_1_pa_f_nu_ur_2,ot_hh_1_f_hh_1_pa_f_nu_ur_3,ot_hh_1_f_hh_1_pa_f_nu_ur_4,ot_hh_1_f_hh_1_pa_f_nu_ur_5,ot_hh_1_f_hh_1_pa_f_n_ur_6ov,ot_hh_1_f_hh_1_parent_f_tot,ot_hh_one_fa_hh_ot_fa_nu_ur_2,ot_hh_one_fa_hh_ot_fa_nu_ur_3,ot_hh_one_fa_hh_ot_fa_nu_ur_4,ot_hh_one_fa_hh_ot_fa_nu_ur_5,ot_hh_1_fa_hh_ot_fa_n_ur_6ov,ot_hh_one_fa_hhd_other_fa_tot,ot_hh_one_fa_hhd_tot_nu_ur_2,ot_hh_one_fa_hhd_tot_nu_ur_3,ot_hh_one_fa_hhd_tot_nu_ur_4,ot_hh_one_fa_hhd_tot_nu_ur_5,ot_hh_one_fa_hhd_tot_n_ur_6ov,ot_hh_one_fa_hhd_tot_tot,ot_hh_multiple_fa_hhd_nu_ur_4,ot_hh_multiple_fa_hhd_nu_ur_5,ot_hh_multiple_fa_hh_nu_u_6ov,ot_hh_multiple_fa_hhd_tot,ot_hh_totfa_hhd_nu_ur_2,ot_hh_totfa_hhd_nu_ur_3,ot_hh_totfa_hhd_nu_ur_4,ot_hh_totfa_hhd_nu_ur_5,ot_hh_totfa_hhd_nu_ur_6_more,ot_hh_totfa_hhd_tot,ot_hh_lo_per_hhd_nu_ur_1,ot_hh_lo_per_hhd_tot,ot_hh_gr_hh_nu_ur_2,ot_hh_gr_hh_nu_ur_3,ot_hh_gr_hh_nu_ur_4,ot_hh_gr_hh_nu_ur_5,ot_hh_gr_hh_nu_u_6ov,ot_hh_gr_hh_tot,ot_hh_tot_nu_ur_1,ot_hh_tot_nu_ur_2,ot_hh_tot_nu_ur_3,ot_hh_tot_nu_ur_4,ot_hh_tot_nu_ur_5,ot_hh_tot_nu_ur_6_more,ot_hh_tot_tot
Queanbeyan,10102,132,6,0,0,0,138,79,99,58,33,273,59,60,48,18,15,203,15,3,0,0,0,16,202,151,150,74,48,626,7,8,8,24,202,151,162,82,53,655,123,123,31,3,0,0,0,35,123,231,152,165,82,54,816,4902,167,17,0,0,5085,2310,2858,1218,384,6770,880,565,195,54,17,1704,128,27,4,0,0,158,5907,3067,3081,1271,398,13721,116,103,124,339,5907,3067,3190,1377,519,14062,5143,5143,375,62,8,3,0,445,5143,6284,3125,3199,1378,519,19644
Snowy Mountains,10103,54,3,0,0,0,55,16,30,18,8,67,12,6,8,3,0,37,0,0,0,0,0,3,76,27,35,18,8,167,0,0,0,0,76,27,35,18,7,164,41,41,9,0,0,3,0,11,41,81,33,35,22,7,217,2055,45,12,3,0,2118,634,722,303,105,1759,344,196,59,18,3,629,40,5,3,0,0,44,2439,885,798,324,111,4546,13,14,16,45,2439,885,813,338,128,4594,2208,2208,182,35,17,4,4,243,2208,2622,920,829,336,131,7041
South Coast,10104,235,21,10,0,0,264,109,103,82,70,368,107,119,70,40,32,372,17,8,0,0,0,21,358,250,186,125,105,1022,5,16,24,46,358,250,189,134,135,1072,229,229,50,0,4,0,0,57,229,413,250,195,139,135,1351,9597,236,13,0,0,9851,1955,2057,828,356,5206,1277,738,243,94,43,2393,145,19,5,0,0,169,11020,2951,2321,927,399,17617,91,67,81,242,11020,2951,2411,998,483,17860,8468,8468,569,54,7,0,0,639,8468,11588,3001,2422,997,483,26963
Goulburn - Mulwaree,10105,87,9,4,0,0,96,56,73,36,27,195,44,45,28,9,11,140,3,4,0,0,0,6,139,120,107,44,39,438,4,6,3,15,139,120,111,57,38,459,90,90,16,0,0,0,0,23,90,152,121,111,55,39,572,3552,119,11,3,0,3684,1136,1282,600,269,3289,673,394,150,59,26,1299,96,12,0,0,0,115,4317,1668,1440,663,296,8389,50,47,63,157,4317,1668,1489,708,359,8546,3775,3775,244,30,5,3,3,280,3775,4564,1695,1492,712,363,12607
Young - Yass,10106,110,6,0,0,0,119,44,68,53,28,196,42,44,27,9,10,134,3,0,0,0,0,3,153,97,96,67,34,447,6,0,11,22,153,97,109,66,41,465,84,84,29,0,0,0,0,25,84,180,99,109,66,41,575,3766,91,5,0,0,3862,1179,1493,774,291,3740,547,341,164,49,18,1121,91,20,3,0,0,107,4397,1631,1668,824,315,8838,35,31,56,123,4397,1631,1703,854,369,8958,3291,3291,240,24,8,0,0,274,3291,4637,1657,1711,855,369,12522
Gosford,10201,311,39,6,0,0,360,217,289,147,105,759,190,212,104,50,32,578,23,5,8,0,0,39,527,476,403,201,136,1741,31,30,68,130,527,476,435,231,204,1871,301,301,100,18,5,4,0,134,301,622,496,445,233,206,2296,15525,611,81,5,6,16225,5849,7813,3211,1053,17918,3280,2250,866,240,86,6723,432,87,19,0,0,542,19236,8797,8778,3459,1139,41413,318,282,424,1024,19236,8797,9101,3737,1568,42436,16666,16666,1472,227,60,21,10,1791,16666,20712,9025,9156,3758,1580,60899
Wyong,10202,508,59,10,3,0,573,324,434,269,188,1217,247,338,231,102,51,962,44,11,0,0,0,61,800,731,672,376,238,2818,40,45,95,188,800,731,714,422,339,3001,366,366,128,13,7,0,0,154,366,928,745,722,425,338,3524,13653,597,69,11,0,14323,4795,6289,2865,1083,15040,3279,2279,1082,340,123,7106,433,82,13,3,0,532,17362,7751,7450,3221,1203,36992,297,329,453,1076,17362,7751,7751,3550,1656,38072,14619,14619,1400,161,50,18,3,1629,14619,18763,7913,7798,3567,1659,54326
Bathurst,10301,128,10,6,0,0,144,81,98,66,45,297,83,97,63,23,18,282,13,3,3,0,0,19,221,188,165,96,65,737,12,7,15,32,221,188,182,99,81,771,156,156,53,8,11,0,3,71,156,272,200,184,99,85,992,4043,122,16,0,0,4179,1447,1804,818,321,4387,775,498,237,68,17,1597,100,16,4,0,0,120,4918,2078,2053,892,339,10284,52,50,84,190,4918,2078,2105,946,422,10475,4240,4240,440,89,34,10,4,569,4240,5355,2165,2143,951,430,15285
Lachlan Valley,10302,356,29,3,0,0,383,199,214,134,113,669,194,189,109,55,39,572,29,10,8,0,0,41,575,424,329,196,149,1670,8,16,24,49,575,424,339,214,173,1718,374,374,69,7,3,3,0,78,374,637,426,342,212,173,2169,5553,140,16,0,0,5707,1499,1598,990,391,4473,868,490,209,66,31,1672,152,21,3,0,0,178,6576,2146,1825,1060,421,12030,55,32,56,149,6576,2146,1878,1090,480,12182,5901,5901,292,36,3,0,0,333,5901,6873,2182,1887,1090,480,18409
Lithgow - Mudgee,10303,192,20,0,0,0,210,120,172,84,47,425,80,79,50,23,21,248,10,5,0,0,0,18,282,226,219,105,66,906,17,10,12,42,282,226,239,118,84,947,198,198,36,6,3,0,0,44,198,318,232,235,118,82,1187,4445,132,13,3,0,4590,1412,1581,738,283,4017,837,481,202,61,23,1613,110,25,3,0,0,137,5395,2051,1797,802,309,10354,49,48,57,146,5395,2051,1849,844,366,10501,5037,5037,364,28,5,4,0,401,5037,5757,2076,1854,847,366,15938
Orange,10304,169,15,0,0,0,186,115,153,121,65,459,131,113,79,40,31,390,12,3,3,0,0,18,304,251,238,163,95,1047,12,9,21,35,304,251,242,168,115,1087,180,180,61,9,0,3,0,75,180,373,255,244,175,115,1339,5259,136,11,0,4,5415,1869,2331,1177,441,5824,970,594,247,68,25,1915,119,25,9,0,0,148,6346,2621,2603,1253,474,13295,68,49,80,198,6346,2621,2675,1298,553,13494,5438,5438,386,55,29,14,3,485,5438,6733,2674,2706,1310,558,19421
Clarence Valley,10401,177,19,4,0,0,199,110,123,96,74,403,110,129,68,40,36,381,16,4,0,0,0,22,305,256,201,132,109,1007,14,21,31,66,305,256,221,148,141,1069,229,229,50,6,3,0,0,53,229,357,262,219,148,141,1353,5892,174,15,0,0,6084,1354,1423,705,289,3764,932,594,230,73,29,1867,136,25,3,0,0,159,6958,2149,1673,778,320,11876,55,61,98,214,6958,2149,1727,836,416,12088,5446,5446,502,41,11,4,3,555,5446,7460,2187,1735,838,416,18089
Coffs Harbour,10402,266,24,10,0,0,302,133,190,107,83,516,143,185,115,51,36,530,17,12,0,0,0,24,429,348,314,165,118,1376,13,23,45,80,429,348,325,182,170,1453,260,260,74,10,3,3,0,97,260,504,362,329,186,165,1810,8691,352,48,9,0,9099,2596,3059,1319,488,7458,1684,1151,448,151,57,3490,168,28,3,3,0,202,10541,4130,3557,1472,551,20246,129,133,238,501,10541,4130,3681,1607,784,20749,8517,8517,925,114,42,14,12,1102,8517,11469,4241,3723,1622,802,30363
Bourke - Cobar - Coonamble,10501,339,25,3,3,0,371,147,185,116,121,561,191,230,126,76,52,676,59,14,5,0,0,77,591,416,321,195,167,1686,12,27,57,91,591,416,334,217,220,1780,494,494,89,3,0,0,0,96,494,676,425,334,218,220,2370,1816,52,3,3,0,1869,469,525,269,124,1377,267,102,44,12,5,429,43,4,4,0,0,46,2119,630,572,276,126,3730,7,6,17,31,2119,630,584,284,147,3760,2312,2312,128,18,0,0,0,149,2312,2250,640,580,285,147,6214
Broken Hill and Far West,10502,102,11,0,3,0,112,76,80,43,30,230,87,97,55,29,16,291,18,3,0,0,0,20,209,183,131,75,48,648,0,6,12,22,209,183,132,79,64,671,169,169,28,3,0,0,0,32,169,234,185,139,84,64,878,1893,49,3,3,0,1944,573,547,212,99,1427,419,238,102,29,11,797,57,5,3,0,0,67,2370,862,661,238,106,4234,24,20,25,61,2370,862,682,262,131,4299,2651,2651,150,14,3,0,0,171,2651,2526,874,687,262,131,7116
Dubbo,10503,522,70,13,0,0,609,336,396,257,184,1171,321,412,248,139,90,1214,67,29,3,0,0,97,915,847,657,391,276,3087,32,41,76,155,915,847,689,440,354,3241,661,661,138,22,4,0,0,160,661,1051,864,691,440,354,4062,6031,205,14,3,3,6251,1886,2062,1083,426,5464,952,582,240,66,23,1861,164,34,3,0,0,201,7146,2701,2321,1158,453,13782,73,62,60,196,7146,2701,2397,1212,520,13976,6111,6111,434,73,11,3,0,516,6111,7575,2771,2409,1217,515,20600
Lower Hunter,10601,383,35,3,0,0,424,250,325,197,121,893,156,194,146,63,37,595,20,7,0,0,0,26,561,493,472,264,157,1947,20,44,52,118,561,493,493,305,209,2064,281,281,77,6,3,3,0,86,281,642,494,494,311,209,2435,7435,251,20,3,0,7711,2924,3549,1539,588,8604,1501,1078,477,154,67,3278,222,45,3,0,0,270,9151,4300,4054,1706,655,19861,122,142,143,415,9151,4300,4177,1851,799,20277,7051,7051,590,46,16,3,0,660,7051,9744,4348,4196,1852,802,27988
Maitland,10602,287,24,3,0,0,313,177,227,125,97,631,125,126,81,42,24,398,22,6,3,0,0,34,432,336,315,166,118,1374,12,24,34,74,432,336,327,189,153,1440,191,191,59,14,3,0,0,87,191,496,349,334,191,156,1723,6369,216,26,3,0,6623,2751,3595,1499,531,8368,1306,981,431,135,49,2902,211,30,3,0,0,242,7889,3977,4045,1635,583,18135,103,115,135,352,7889,3977,4148,1751,719,18488,5511,5511,463,64,8,4,0,545,5511,8357,4046,4159,1751,719,24537
Port Stephens,10603,255,19,8,0,0,279,155,185,134,80,555,122,126,73,27,19,374,13,0,0,0,0,15,389,305,268,168,99,1226,22,22,35,77,389,305,289,190,132,1297,146,146,55,6,3,0,0,67,146,446,315,287,190,132,1519,7920,218,24,3,3,8164,2166,2702,1153,444,6472,1245,822,310,99,38,2518,158,26,3,0,0,190,9323,3232,3038,1256,487,17345,110,96,154,364,9323,3232,3147,1359,646,17702,6488,6488,507,56,10,5,0,580,6488,9832,3291,3160,1360,646,24773
Upper Hunter,10604,152,12,3,0,0,169,108,111,62,37,322,76,79,57,20,9,246,10,0,0,0,0,8,236,200,175,83,50,750,9,3,6,19,236,200,177,88,59,762,134,134,27,6,0,0,0,36,134,267,207,177,88,59,937,2763,76,3,0,0,2836,932,1164,581,184,2858,478,328,129,44,13,992,60,10,0,0,0,70,3297,1340,1290,622,200,6747,25,25,35,78,3297,1340,1316,645,230,6834,2878,2878,240,34,6,3,0,286,2878,3533,1378,1328,650,230,9988
Dapto - Port Kembla,10701,161,16,5,0,0,184,118,137,76,67,400,113,126,79,38,25,373,8,7,0,0,0,22,281,274,216,115,92,979,14,17,33,68,281,274,235,130,123,1046,155,155,39,4,4,0,0,55,155,326,277,240,130,123,1253,6066,276,32,5,0,6389,2654,3574,1431,604,8264,1564,1042,447,133,64,3260,230,47,6,0,0,283,7863,4025,4057,1563,671,18187,152,161,271,584,7863,4025,4211,1727,948,18771,6242,6242,452,48,14,3,0,516,6242,8315,4069,4225,1733,945,25533
Illawarra Catchment Reserve,10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Kiama - Shellharbour,10703,190,24,8,0,0,219,130,196,118,78,520,94,123,75,29,16,343,11,7,0,0,0,24,303,279,280,149,96,1109,21,24,40,89,303,279,303,176,131,1193,146,146,28,8,3,0,0,38,146,330,289,303,176,131,1378,8150,288,23,5,0,8474,3241,4383,1830,624,10079,1649,1200,466,149,50,3513,205,34,3,0,0,247,9997,4773,4874,1986,674,22303,205,189,277,665,9997,4773,5077,2171,949,22970,6373,6373,523,53,17,8,0,608,6373,10520,4825,5094,2179,955,29951
Wollongong,10704,195,25,7,0,0,224,118,152,90,38,393,109,104,54,21,7,290,20,3,0,0,0,24,324,248,220,104,44,940,10,22,26,58,324,248,229,125,74,999,245,245,71,35,14,0,3,123,245,394,282,239,132,80,1366,10827,470,82,26,13,11421,4401,6191,2465,733,13782,2410,1507,497,142,55,4608,401,86,23,5,4,519,13642,6452,6790,2633,807,30332,165,208,263,637,13642,6452,6952,2844,1070,30971,12219,12219,1581,603,275,93,60,2612,12219,15226,7056,7226,2943,1124,45800
Great Lakes,10801,136,8,0,0,0,150,64,63,31,30,189,52,79,53,27,14,223,12,3,0,0,0,10,198,157,117,64,43,577,3,10,13,28,198,157,120,72,57,608,111,111,39,6,3,0,0,45,111,235,162,124,72,57,761,4231,108,3,0,0,4343,823,851,316,138,2122,604,368,118,47,15,1159,85,10,0,0,0,97,4919,1312,972,366,151,7724,41,31,28,98,4919,1312,1015,399,176,7821,3993,3993,316,22,6,0,0,346,3993,5229,1332,1016,399,175,12159
Kempsey - Nambucca,10802,207,20,3,0,0,235,95,124,98,88,404,157,192,132,100,61,635,38,11,3,0,0,54,402,327,258,198,148,1332,12,28,52,88,402,327,274,226,200,1426,278,278,79,8,6,0,0,89,278,481,338,275,226,200,1795,5130,189,17,0,0,5336,1230,1207,583,249,3266,894,575,206,72,43,1797,108,19,3,0,0,134,6136,2010,1437,653,301,10534,91,67,72,230,6136,2010,1524,727,376,10768,5291,5291,428,43,10,3,3,488,5291,6562,2052,1535,727,372,16552
Lord Howe Island,10803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,0,0,0,0,44,15,14,6,0,31,5,0,0,0,0,3,0,0,0,0,0,0,51,20,17,6,0,85,0,0,0,0,51,20,17,6,0,85,38,38,3,0,0,0,0,7,38,52,18,17,6,0,130
Port Macquarie,10804,273,25,3,0,0,296,121,163,115,69,477,130,124,69,38,17,382,11,3,0,0,0,15,409,279,241,149,91,1168,10,11,34,59,409,279,251,165,126,1227,206,206,66,6,3,0,0,74,206,470,284,257,170,126,1512,9571,316,30,0,0,9910,2210,2692,1198,396,6496,1469,949,329,107,47,2905,169,27,5,0,0,197,11204,3506,3053,1315,444,19513,119,107,131,355,11204,3506,3168,1419,571,19869,8612,8612,740,97,24,4,0,876,8612,11947,3604,3194,1421,574,29353
Taree - Gloucester,10805,241,22,3,3,0,269,142,142,90,84,453,134,161,107,60,33,493,14,10,0,0,0,27,385,330,250,148,117,1234,11,17,23,48,385,330,264,166,142,1288,217,217,56,6,3,0,0,69,217,443,338,270,166,142,1571,6490,174,17,3,0,6679,1466,1584,753,303,4099,970,642,254,85,42,1989,143,19,3,0,0,160,7598,2295,1863,838,336,12930,77,76,82,231,7598,2295,1937,906,422,13159,5820,5820,471,47,9,4,0,528,5820,8068,2338,1946,912,422,19505
Albury,10901,99,10,3,0,0,108,60,76,48,44,228,76,79,55,13,17,244,10,0,0,0,0,13,182,150,134,68,68,590,4,5,12,17,182,150,137,72,75,610,142,142,29,3,3,0,0,42,142,218,152,138,72,75,796,5967,148,28,0,0,6146,2039,2432,1100,398,5977,1151,686,309,85,27,2259,123,38,8,0,0,163,7245,2905,2783,1184,427,14543,54,51,58,165,7245,2905,2836,1237,484,14706,6814,6814,637,128,43,8,4,828,6814,7879,3039,2885,1248,489,22350
Lower Murray,10902,58,9,0,0,0,66,36,26,27,23,105,30,43,25,16,4,112,5,0,0,0,0,10,95,82,48,40,22,294,4,3,3,14,95,82,52,46,32,309,75,75,14,0,0,0,0,9,75,106,88,52,46,32,398,1303,28,0,0,0,1331,364,403,253,85,1102,174,101,39,9,4,333,26,3,0,0,0,27,1505,499,437,263,90,2794,12,9,6,28,1505,499,452,271,93,2822,1200,1200,72,3,4,0,0,79,1200,1580,505,452,271,93,4104
Upper Murray exc. Albury,10903,100,10,0,0,0,116,39,53,34,18,146,49,53,28,16,0,151,9,3,0,0,0,12,162,101,85,54,22,429,0,0,9,5,162,101,85,54,29,433,103,103,26,4,0,0,0,29,103,186,105,85,54,29,561,5157,99,9,0,0,5267,1189,1417,749,294,3650,671,385,156,33,15,1260,92,8,0,0,0,104,5922,1689,1590,788,304,10289,32,24,17,78,5922,1689,1623,807,325,10363,4924,4924,306,30,10,3,3,349,4924,6228,1712,1628,811,334,15641
Armidale,11001,120,17,3,0,0,145,74,92,57,41,265,101,91,47,35,23,292,16,8,3,0,0,26,238,194,142,87,67,730,4,20,20,42,238,194,147,105,80,771,187,187,42,13,4,3,0,64,187,280,205,150,105,82,1016,3480,90,23,6,3,3606,1046,1306,601,203,3161,623,328,116,43,12,1116,90,18,3,3,0,111,4190,1486,1449,647,216,7993,35,18,32,87,4190,1486,1481,664,251,8079,3628,3628,338,79,46,16,3,482,3628,4531,1562,1526,683,258,12192
Inverell - Tenterfield,11002,196,21,3,0,0,215,104,95,70,49,315,109,105,76,53,35,377,13,13,0,0,0,20,315,240,177,124,83,930,9,17,11,40,315,240,185,139,95,972,198,198,45,4,3,0,0,58,198,362,244,186,139,95,1221,4278,104,7,3,0,4390,1008,1069,605,247,2934,619,376,161,53,16,1221,102,11,3,0,0,120,4997,1501,1238,657,263,8659,42,40,34,114,4997,1501,1279,692,301,8772,4311,4311,302,19,6,4,0,330,4311,5301,1524,1290,698,301,13417
Moree - Narrabri,11003,197,17,0,0,0,215,119,139,77,64,402,147,147,108,61,35,493,31,13,9,0,0,50,371,288,260,135,104,1163,15,22,34,72,371,288,274,160,140,1237,338,338,62,3,0,0,0,63,338,435,296,276,162,140,1636,2102,55,9,4,0,2160,703,765,419,148,2029,302,185,72,15,5,576,54,14,0,0,0,67,2452,951,836,436,153,4835,20,28,22,71,2452,951,858,463,172,4901,2196,2196,159,16,0,0,0,181,2196,2613,971,858,463,172,7273
Tamworth - Gunnedah,11004,506,58,6,0,0,578,311,386,245,146,1088,287,350,225,108,67,1030,43,16,3,3,0,65,831,734,617,359,213,2759,26,28,57,116,831,734,645,390,276,2875,574,574,154,16,6,0,0,177,574,981,755,648,392,276,3629,7435,241,29,4,0,7703,2332,2746,1264,453,6793,1283,824,317,98,34,2551,212,33,3,0,0,254,8926,3428,3094,1366,490,17300,76,59,101,240,8926,3428,3169,1425,590,17540,7665,7665,573,85,26,6,20,711,7665,9498,3511,3191,1436,609,25921
Lake Macquarie - East,11101,325,34,8,0,0,373,187,284,160,91,721,173,175,101,38,20,503,21,11,3,0,0,38,522,403,401,200,109,1632,23,24,42,86,522,403,424,225,148,1718,271,271,74,11,5,0,0,93,271,598,413,428,223,148,2076,11521,424,42,4,3,12002,4508,5855,2150,667,13179,2507,1601,602,166,47,4929,301,60,7,0,0,365,14330,6597,6502,2321,720,30471,226,181,204,613,14330,6597,6728,2502,924,31082,10989,10989,834,115,27,4,9,996,10989,15159,6709,6757,2512,940,43068
Lake Macquarie - West,11102,257,29,3,0,0,283,181,249,129,83,642,115,139,81,48,22,402,21,6,0,0,0,27,394,356,332,177,100,1356,15,20,52,88,394,356,347,199,148,1444,165,165,51,8,7,0,0,66,165,439,371,353,197,148,1678,7412,248,29,4,3,7684,2566,3248,1331,442,7590,1318,984,377,123,44,2837,175,33,8,0,0,210,8900,3835,3662,1454,484,18327,162,139,204,499,8900,3835,3821,1592,684,18831,6046,6046,507,67,19,3,4,592,6046,9407,3900,3837,1598,692,25464
Newcastle,11103,451,56,4,5,4,517,242,289,168,79,783,242,251,126,50,33,705,42,17,3,0,0,64,736,564,432,222,114,2072,18,19,39,81,736,564,449,240,158,2151,550,550,187,64,28,14,10,304,550,924,635,477,256,166,3008,14276,587,115,18,10,15007,5602,6875,2567,742,15782,3353,2057,735,204,66,6413,579,146,31,8,8,771,18212,8382,7751,2799,825,37976,195,205,239,647,18212,8382,7953,3008,1064,38614,17693,17693,2429,947,328,107,77,3891,17693,20641,9330,8278,3112,1141,60198
Richmond Valley - Coastal,11201,160,19,3,4,0,190,87,109,61,28,285,86,86,57,25,10,265,9,6,0,3,0,22,259,197,176,87,47,761,17,10,28,48,259,197,190,98,70,813,158,158,46,25,7,3,0,76,158,305,221,189,98,71,1048,7830,347,57,10,3,8247,2410,2959,1149,335,6857,1648,1056,322,101,18,3142,173,35,12,0,0,226,9646,3858,3344,1260,354,18473,121,110,148,382,9646,3858,3470,1376,507,18850,8244,8244,1066,247,88,41,8,1451,8244,10714,4104,3560,1414,511,28542
Richmond Valley - Hinterland,11202,185,17,0,0,0,208,127,163,103,85,482,141,156,105,60,43,504,25,9,0,3,0,33,349,312,271,168,134,1234,7,27,36,71,349,312,277,187,171,1302,282,282,86,16,4,8,0,114,282,440,327,289,194,167,1694,6573,264,33,3,0,6864,2010,2229,1114,438,5792,1458,932,386,135,41,2954,209,40,7,0,0,253,8234,3247,2653,1249,484,15869,91,91,120,306,8234,3247,2740,1346,605,16172,7447,7447,804,108,30,5,0,955,7447,9040,3355,2773,1352,603,24577
Tweed Valley,11203,234,25,6,0,0,267,148,200,105,73,520,130,150,99,40,25,445,18,4,4,0,0,30,387,328,301,146,100,1257,16,26,55,92,387,328,315,167,149,1349,227,227,67,10,3,0,0,79,227,451,337,323,167,149,1652,9566,375,46,6,3,9995,2622,3331,1437,481,7875,1812,1173,445,137,49,3621,233,43,3,0,0,281,11620,4211,3819,1588,534,21771,158,137,237,532,11620,4211,3977,1731,765,22299,9882,9882,1088,125,29,6,4,1254,9882,12704,4335,4007,1733,771,33438
Griffith - Murrumbidgee (West),11301,177,13,0,0,0,190,117,141,69,51,380,112,105,63,26,26,341,19,12,0,0,0,28,312,242,206,103,81,942,20,12,14,47,312,242,228,115,93,988,250,250,43,5,3,0,0,48,250,350,247,230,115,93,1286,4146,129,13,8,6,4295,1442,1835,1028,390,4698,678,393,194,61,25,1352,122,26,6,4,0,148,4941,1984,2048,1096,426,10491,38,48,81,163,4941,1984,2092,1144,500,10661,4098,4098,324,58,17,12,14,427,4098,5261,2045,2106,1158,516,15183
Tumut - Tumbarumba,11302,60,4,0,0,0,63,16,36,12,12,80,26,28,20,7,3,83,7,0,0,0,0,7,89,50,57,21,13,225,3,0,0,6,89,50,57,21,17,232,48,48,12,0,0,0,0,12,48,98,50,57,21,17,287,1627,42,5,0,0,1678,420,525,239,91,1276,262,110,56,23,7,456,44,0,0,0,0,43,1927,580,586,257,98,3453,15,13,18,41,1927,580,598,269,115,3491,1527,1527,72,7,3,0,0,88,1527,2004,586,602,272,120,5109
