sa3_name16,sa3_code16,neg_nil_inc_hh_with_ind_psns,neg_nil_inc_other_households,neg_nil_income_tot_hhlds,hi1_149_hhd_with_indig_psns,hi1_149_other_households,hi1_149_tot_hhlds,hi150_299_hhd_with_indig_psns,hi150_299_other_households,hi150_299_tot_hhlds,hi300_399_hhd_with_indig_psns,hi300_399_other_households,hi300_399_tot_hhlds,hi400_499_hhd_with_indig_psns,hi400_499_other_households,hi400_499_tot_hhlds,hi500_649_hhd_with_indig_psns,hi500_649_other_households,hi500_649_tot_hhlds,hi650_799_hhd_with_indig_psns,hi650_799_other_households,hi650_799_tot_hhlds,hi800_999_hh_with_indig_psn,hi800_999_other_households,hi800_999_tot_hhlds,hi1000_1249_hh_with_indig_psn,hi1000_1249_other_households,hi1000_1249_tot_hhlds,hi1250_1499_hh_with_indig_psn,hi1250_1499_other_households,hi1250_1499_tot_hhlds,hi1500_1999_hh_with_indig_psn,hi1500_1999_other_households,hi1500_1999_tot_hhlds,hi2000_2499_hh_with_indig_psn,hi2000_2499_other_households,hi2000_2499_tot_hhlds,hi2500_2999_hh_with_indig_psn,hi2500_2999_other_households,hi2500_2999_tot_hhlds,hi3000_more_hh_with_indig_psn,hi3000_more_other_households,hi3000_more_tot_hhlds,part_inc_st_hh_with_indig_psn,partial_inc_stated_other_hhds,partial_inc_stated_tot_hhlds,all_inc_ns_hh_with_ind_psns,all_income_ns_other_household,all_inc_ns_tot_hhlds,tot_household_with_indig_psns,tot_other_households,tot_tot_hhlds
Ballarat,20101,16,448,459,7,252,255,20,908,929,25,1380,1403,71,3291,3359,58,2166,2226,69,3438,3510,59,3120,3180,82,3355,3444,58,3023,3082,70,4496,4566,55,3579,3640,24,2006,2030,40,3234,3275,57,2537,2591,25,1077,1105,749,38307,39056
Creswick - Daylesford - Ballan,20102,3,160,170,3,105,103,7,271,275,0,373,373,10,948,959,3,549,546,11,948,960,11,865,882,17,957,977,5,811,818,21,1103,1120,18,902,919,9,524,535,11,831,843,4,786,793,3,315,319,144,10446,10591
Maryborough - Pyrenees,20103,0,172,177,0,112,112,8,334,335,13,503,518,17,1301,1316,13,647,655,28,1180,1213,13,879,895,22,911,932,18,698,711,22,884,912,3,595,601,7,278,285,10,327,337,8,663,668,13,411,417,201,9893,10096
Bendigo,20201,9,324,336,11,246,259,34,760,798,41,1207,1246,57,2769,2819,52,1981,2039,73,3151,3229,70,2939,3011,80,3271,3347,91,2930,3026,76,4112,4195,67,3250,3317,28,1860,1888,27,2676,2705,63,2265,2333,25,1004,1026,815,34745,35561
Heathcote - Castlemaine - Kyneton,20202,3,195,203,3,174,177,7,402,410,9,588,597,15,1552,1562,12,904,916,20,1512,1534,10,1291,1302,18,1589,1608,21,1322,1339,28,1927,1955,22,1586,1608,9,933,947,18,1622,1646,16,1279,1293,10,474,479,225,17357,17580
Loddon - Elmore,20203,4,85,84,0,58,57,0,126,127,6,191,191,7,523,527,9,215,221,13,431,447,6,378,390,10,387,391,6,323,330,8,448,458,3,279,279,0,139,139,4,204,206,9,334,347,4,165,172,91,4280,4367
Barwon - West,20301,0,53,57,0,38,35,0,108,109,0,117,118,0,338,340,3,239,237,6,436,435,5,395,398,0,552,557,9,548,552,12,797,809,11,732,743,6,495,500,10,697,707,3,544,544,4,143,147,76,6226,6296
Geelong,20302,20,842,867,20,511,531,24,1650,1674,44,2409,2448,84,5638,5724,75,3690,3766,62,5624,5692,78,5195,5272,89,6008,6093,74,5255,5331,98,7984,8082,87,6906,6990,69,3999,4063,71,6809,6873,92,4699,4794,37,2053,2088,1020,69271,70291
Surf Coast - Bellarine Peninsula,20303,9,340,348,4,215,217,4,435,440,4,648,652,13,1731,1746,17,1264,1281,13,1996,2007,15,1737,1749,29,2193,2221,24,1943,1974,25,3124,3148,28,2675,2700,16,1672,1695,34,3129,3160,24,2050,2065,7,635,645,263,25779,26043
Upper Goulburn Valley,20401,3,319,324,0,180,185,15,513,532,13,743,754,27,1830,1855,27,1115,1138,23,1824,1844,29,1556,1579,33,1777,1814,31,1532,1557,53,2179,2235,31,1626,1660,24,982,1004,11,1314,1328,36,1488,1520,13,763,772,368,19741,20110
Wangaratta - Benalla,20402,5,199,206,7,152,158,9,435,440,11,728,745,28,1711,1735,20,1025,1042,38,1791,1831,35,1588,1627,31,1691,1720,19,1379,1400,51,1885,1936,18,1457,1471,10,802,814,9,1063,1075,34,1206,1233,21,663,681,332,17779,18116
Wodonga - Alpine,20403,11,236,243,12,178,190,29,529,555,22,865,891,38,2020,2062,53,1364,1412,54,2197,2250,33,2018,2053,75,2288,2364,49,2140,2187,63,3005,3059,56,2464,2521,21,1479,1498,31,1868,1906,43,1866,1911,25,738,763,622,25256,25872
Baw Baw,20501,3,223,229,3,152,155,5,384,392,3,537,538,13,1390,1405,11,868,878,22,1578,1600,18,1411,1425,25,1616,1640,26,1347,1368,28,2086,2109,20,1606,1623,15,949,964,17,1507,1524,31,1237,1262,13,512,525,239,17407,17641
Gippsland - East,20502,13,246,259,4,194,198,23,469,490,31,732,765,49,1894,1941,45,1077,1121,70,1928,1997,55,1516,1566,57,1641,1698,58,1350,1410,46,1626,1673,24,1144,1168,17,568,590,20,762,783,47,1207,1255,36,672,709,582,17033,17614
Gippsland - South West,20503,6,344,355,3,238,245,13,681,698,13,983,1001,18,2565,2576,15,1546,1559,30,2494,2530,22,2057,2083,32,2272,2303,31,1821,1851,38,2418,2453,15,1653,1662,11,867,876,13,1278,1295,27,1618,1652,10,902,910,301,23741,24037
Latrobe Valley,20504,8,390,395,6,251,260,33,855,890,27,1249,1279,56,2602,2660,48,1647,1698,54,2568,2617,48,2067,2112,53,2246,2302,46,1902,1953,50,2867,2918,36,2376,2411,14,1330,1344,41,2372,2412,42,1883,1925,33,961,989,587,27565,28158
Wellington,20505,3,223,224,3,163,166,10,417,429,12,597,616,19,1432,1455,16,840,861,28,1451,1476,30,1258,1283,33,1434,1461,29,1149,1174,38,1677,1714,23,1292,1322,12,711,721,18,1302,1317,26,1258,1282,13,520,534,309,15720,16030
Brunswick - Coburg,20601,5,587,595,3,273,277,16,786,802,6,888,897,9,1794,1806,8,1197,1211,14,1795,1806,18,1829,1846,17,2479,2498,15,2324,2341,32,4029,4063,42,3861,3905,20,2532,2552,37,6074,6113,31,2744,2776,3,560,570,297,33760,34058
Darebin - South,20602,5,239,246,3,156,155,5,424,430,9,567,574,16,1053,1070,6,701,714,7,1097,1103,13,1048,1063,19,1431,1451,17,1314,1332,22,2270,2287,22,2122,2146,16,1395,1412,36,4361,4400,16,1523,1537,3,365,365,204,20077,20277
Essendon,20603,3,453,457,4,231,228,8,609,619,9,761,765,7,1295,1303,7,907,908,11,1307,1320,19,1404,1424,6,1727,1730,10,1623,1636,14,2736,2750,18,2674,2690,11,1684,1690,32,5564,5594,18,1842,1855,7,603,605,174,25405,25578
Melbourne City,20604,11,7559,7568,3,1169,1169,14,1794,1801,5,1529,1536,12,1915,1929,7,1891,1895,10,2249,2257,9,2854,2865,25,3794,3816,23,3484,3507,26,6042,6071,31,5903,5936,21,2758,2782,51,9406,9463,17,3648,3668,10,744,761,269,56742,57012
Port Phillip,20605,0,841,844,3,330,334,13,887,907,16,1245,1263,16,1867,1879,8,1396,1402,17,1893,1910,10,2247,2259,22,3016,3042,22,2968,2985,24,5395,5411,22,5370,5394,19,2702,2722,38,10786,10827,19,3098,3116,19,794,812,282,44830,45114
Darebin - North,20902,13,721,729,11,354,362,22,954,977,34,1167,1199,36,2520,2553,21,1498,1516,20,2547,2569,33,2362,2394,33,2860,2889,30,2633,2665,58,4018,4074,39,3414,3447,27,2156,2183,39,3565,3602,21,2332,2358,19,913,933,449,34009,34457
Nillumbik - Kinglake,20903,3,207,206,7,120,128,3,239,241,3,291,291,5,714,713,3,572,572,6,874,879,4,961,964,7,1329,1337,6,1322,1327,23,2404,2429,14,2520,2535,15,1967,1978,35,5064,5095,12,1988,2004,3,353,354,154,20906,21059
Stonnington - West,20606,0,765,768,0,214,211,3,506,512,0,647,650,0,1048,1052,3,808,805,8,1077,1083,8,1370,1379,12,1791,1802,14,1799,1805,21,3241,3257,19,3334,3352,16,1599,1611,36,7259,7291,14,2156,2173,5,548,549,145,28164,28314
Yarra,20607,3,596,599,0,308,308,9,957,965,7,1032,1043,9,1649,1654,16,1091,1106,14,1432,1442,22,1613,1632,20,2070,2083,6,2044,2054,27,3816,3845,22,4116,4135,16,2432,2455,54,9496,9548,15,3002,3024,11,642,651,260,36290,36553
Boroondara,20701,3,1520,1527,3,510,517,3,1013,1020,3,1078,1081,9,2066,2077,3,2013,2022,8,2275,2284,12,2668,2677,6,3480,3488,13,3367,3377,25,5686,5719,16,5873,5895,15,3759,3770,48,18025,18075,15,5227,5238,5,1077,1081,193,59656,59849
Manningham - West,20702,4,868,875,0,356,356,6,583,587,0,704,704,4,1705,1709,3,1231,1233,0,2111,2109,4,1944,1946,8,2345,2350,4,2115,2120,10,3518,3525,13,3137,3147,3,2056,2060,22,5841,5863,3,2618,2622,3,605,607,92,31740,31827
Whitehorse - West,20703,3,1495,1495,3,431,434,7,803,808,10,939,948,11,2130,2143,5,1590,1594,10,2171,2180,8,2169,2169,8,2752,2760,12,2351,2365,22,3719,3739,6,3599,3608,7,2323,2332,20,6673,6689,13,2756,2768,4,627,633,131,36527,36658
Bayside,20801,4,497,506,0,237,241,6,488,493,4,751,758,3,1549,1549,4,1241,1244,8,1514,1514,3,1576,1582,8,1984,1986,3,1770,1777,3,2989,2995,6,3274,3282,4,2089,2101,35,11129,11163,14,3007,3018,4,822,833,117,34916,35037
Whittlesea - Wallan,20904,17,1115,1128,0,465,464,7,1064,1071,22,1361,1383,30,3658,3692,43,2489,2532,62,4999,5054,48,4697,4748,71,5942,6019,68,5820,5889,128,9515,9645,96,8362,8458,56,5025,5076,92,6736,6829,60,5190,5250,39,1460,1496,834,67897,68732
Keilor,21001,0,329,329,0,180,178,0,350,353,0,488,488,4,1320,1320,0,774,775,6,1551,1556,7,1244,1246,3,1532,1530,7,1392,1402,15,2262,2270,12,2166,2182,7,1543,1551,26,3528,3560,9,1578,1584,5,604,607,103,20831,20932
Macedon Ranges,21002,5,103,109,0,64,62,0,122,125,0,180,183,7,438,449,4,295,300,4,508,512,9,547,552,5,704,708,10,649,656,14,1202,1220,11,1163,1171,0,783,786,16,1839,1858,17,884,898,6,216,221,105,9720,9827
Stonnington - East,20804,0,523,523,0,145,145,0,245,246,3,311,316,3,569,570,3,488,495,3,614,622,7,656,663,0,876,881,0,858,862,4,1562,1568,8,1444,1449,4,855,854,16,4633,4649,3,1271,1270,0,293,293,49,15357,15406
Banyule,20901,4,635,644,7,285,289,4,773,776,13,1088,1102,31,2351,2379,23,1640,1661,25,2693,2720,34,2555,2587,33,3303,3335,22,2914,2933,44,5169,5214,32,5061,5095,25,3360,3391,36,8030,8062,33,3220,3253,11,976,990,374,44058,44431
Moreland - North,21003,0,492,494,0,215,219,10,616,621,9,870,873,15,2044,2054,10,1114,1122,24,1963,1991,13,1755,1765,23,2181,2204,11,2009,2023,21,3232,3247,29,2802,2829,7,1790,1803,15,2975,2988,16,1817,1827,10,781,787,218,26642,26861
Sunbury,21004,4,146,154,3,86,86,4,193,195,4,272,275,6,719,724,9,508,518,14,828,846,14,837,852,11,1148,1161,29,1078,1105,37,1812,1847,26,1705,1725,14,1061,1076,23,1745,1768,13,974,988,3,323,322,201,13438,13641
Tullamarine - Broadmeadows,21005,3,844,845,0,365,366,12,992,999,20,1127,1141,16,2687,2702,28,2006,2029,39,3518,3555,33,3673,3704,49,4446,4493,44,3980,4022,62,6057,6119,52,5042,5095,32,2872,2898,43,4285,4328,58,3841,3899,23,1127,1150,503,46851,47358
Knox,21101,6,717,726,4,317,321,9,756,769,8,1098,1107,21,2840,2858,16,2047,2063,25,3482,3511,24,3513,3543,26,4373,4402,30,4064,4090,48,6700,6754,44,6480,6528,22,4263,4286,58,7449,7501,29,4045,4075,13,1126,1142,389,53277,53669
Manningham - East,21102,0,124,121,0,58,58,0,78,80,0,114,114,0,316,318,0,233,233,3,357,358,0,389,389,5,510,513,0,466,465,4,834,834,0,783,784,0,607,611,11,2345,2357,4,821,824,4,194,199,37,8228,8262
Maroondah,21103,4,515,519,3,264,267,9,620,626,7,897,909,14,2316,2332,11,1696,1707,23,2485,2504,17,2600,2618,27,3183,3206,24,2944,2967,50,4929,4976,22,4580,4604,23,3223,3244,37,5663,5701,24,2750,2771,11,843,853,309,39510,39820
Whitehorse - East,21104,0,378,381,0,171,171,7,421,426,3,504,511,10,1214,1226,7,911,917,8,1310,1320,3,1417,1424,10,1725,1729,9,1487,1499,12,2524,2534,3,2341,2342,7,1743,1749,11,3673,3691,8,1526,1537,3,461,459,96,21813,21908
Yarra Ranges,21105,10,528,534,7,323,326,10,810,814,20,1126,1146,28,2879,2908,40,2130,2167,35,3376,3412,53,3396,3448,55,4259,4312,71,3931,4000,92,6569,6659,79,6190,6269,43,3934,3980,54,6118,6175,68,4099,4170,16,1310,1329,678,50964,51646
Cardinia,21201,5,367,369,3,153,152,5,453,460,7,602,610,15,1566,1580,14,1208,1219,22,2025,2043,26,2116,2140,38,2687,2725,32,2654,2687,57,4385,4439,52,3814,3866,31,2323,2354,43,3242,3283,30,2369,2397,7,726,729,383,30676,31055
Casey - North,21202,7,558,565,3,261,269,7,661,666,6,831,842,20,2157,2173,18,1503,1522,23,2775,2800,25,2822,2843,34,3519,3555,20,3303,3326,37,5479,5516,36,4984,5019,12,3114,3132,31,5218,5248,23,3396,3422,10,940,946,312,41529,41836
Casey - South,21203,6,624,635,6,226,231,9,615,625,12,754,763,15,1997,2014,15,1683,1703,31,2973,3001,33,3280,3320,42,4427,4475,43,4561,4604,72,7704,7777,60,7005,7062,32,4004,4036,52,5053,5103,46,3873,3915,22,1010,1031,499,49786,50285
Dandenong,21204,9,1333,1342,7,500,512,14,1475,1490,10,1926,1936,20,4427,4445,16,2880,2895,32,5083,5115,18,4708,4722,27,5650,5675,24,4827,4846,31,7226,7258,25,5791,5816,15,3405,3421,19,4801,4818,31,4542,4575,21,1485,1506,316,60064,60375
Monash,21205,8,2152,2160,3,709,713,4,1183,1187,7,1400,1412,8,3237,3242,11,2256,2265,11,3752,3758,12,3575,3585,20,4555,4571,16,3928,3948,23,6479,6501,19,6285,6305,24,4176,4202,34,9901,9934,16,4627,4645,3,1034,1033,206,59255,59458
Brimbank,21301,4,1280,1282,0,537,544,14,1563,1580,8,1695,1703,18,4000,4021,19,2522,2547,27,4638,4669,33,4350,4383,28,5285,5315,36,4676,4708,48,7107,7157,33,5658,5694,24,3492,3517,28,5009,5045,45,4726,4771,17,1622,1645,392,58171,58564
Hobsons Bay,21302,5,491,494,0,241,242,8,625,632,10,852,859,10,1931,1936,9,1081,1097,16,1815,1833,26,1835,1858,21,2223,2237,12,2005,2013,27,3479,3501,21,3244,3269,22,2119,2142,41,5662,5702,17,2257,2269,3,773,775,245,30619,30862
Maribyrnong,21303,4,642,642,3,297,302,12,832,840,18,942,961,13,1621,1635,7,1100,1105,19,1743,1761,23,1773,1801,19,2366,2385,12,2078,2093,34,3576,3612,29,3282,3312,19,2162,2182,35,5150,5180,21,2073,2088,6,567,576,276,30202,30481
Melton - Bacchus Marsh,21304,11,674,688,9,278,279,20,751,769,16,905,920,22,2274,2296,34,1795,1827,48,3059,3107,57,3081,3135,71,4136,4204,38,3988,4025,77,6498,6578,87,6023,6114,41,3685,3724,69,5498,5569,45,3476,3527,11,1153,1166,664,47264,47926
Wyndham,21305,15,999,1010,0,394,392,21,1018,1040,17,1127,1137,29,2648,2676,29,2342,2372,56,3780,3836,50,4580,4636,54,5883,5933,73,5797,5869,106,9697,9803,92,9077,9164,64,5383,5453,80,8824,8905,66,4992,5061,19,1275,1295,785,67803,68588
Frankston,21401,10,645,662,8,302,310,14,931,949,15,1418,1432,46,3453,3503,35,2393,2429,42,3511,3557,54,3698,3756,64,4371,4435,57,3932,3991,82,6080,6163,68,5357,5426,50,3249,3291,61,4701,4766,66,3560,3627,25,1382,1403,697,48987,49687
Mornington Peninsula,21402,11,792,810,0,425,422,18,1021,1036,27,1650,1680,30,4324,4350,43,3005,3046,54,4654,4709,55,4195,4244,58,4892,4948,57,4153,4208,85,6391,6470,55,5301,5359,37,3257,3295,57,6743,6803,46,4359,4400,23,1981,2002,643,57149,57791
Grampians,21501,9,294,301,4,217,220,7,636,646,29,937,968,41,2435,2476,22,1383,1408,55,2273,2326,36,2038,2074,38,2105,2145,25,1852,1884,28,2319,2348,22,1731,1748,12,893,908,15,1261,1273,36,1559,1587,28,873,899,400,22812,23215
Mildura,21502,11,250,256,8,170,177,37,494,531,52,773,822,79,1731,1804,80,1033,1114,91,1860,1949,80,1575,1660,75,1705,1779,64,1502,1568,74,2102,2176,53,1587,1638,25,857,874,33,1165,1194,84,1398,1480,43,736,776,890,18921,19817
Murray River - Swan Hill,21503,3,235,237,4,149,151,24,341,363,30,566,588,42,1433,1475,27,781,809,64,1387,1448,28,1140,1169,50,1269,1323,42,1037,1077,38,1399,1440,30,992,1020,12,487,499,18,669,686,34,943,974,36,574,608,468,13396,13869
Campaspe,21601,6,218,225,11,100,109,18,309,331,18,487,503,30,1263,1293,35,708,742,40,1367,1404,48,1082,1125,39,1278,1315,31,1121,1153,33,1502,1536,28,1170,1202,10,586,600,12,795,807,43,966,1009,14,525,540,418,13484,13899
Glen Eira,20802,6,1308,1310,0,499,505,6,1000,1004,3,1197,1200,4,2769,2773,7,2070,2076,13,2879,2891,17,2948,2963,11,3823,3838,6,3494,3501,14,5942,5955,14,5726,5740,11,3738,3746,38,12294,12333,12,4036,4051,3,1183,1186,164,54901,55064
Kingston,20803,10,565,573,4,322,326,7,757,768,8,1155,1165,16,2693,2709,6,1808,1816,14,2668,2677,15,2714,2733,19,3319,3337,28,3076,3098,44,5052,5097,29,4918,4946,21,3378,3398,46,7407,7453,21,3086,3108,7,1022,1026,286,43933,44224
Moira,21602,6,143,148,0,108,105,7,292,300,10,400,408,31,1097,1125,14,594,609,27,1110,1136,25,879,905,28,968,991,24,834,858,25,1133,1161,19,817,833,6,427,436,15,554,573,21,774,801,19,496,516,272,10625,10899
Shepparton,21603,16,290,309,7,155,167,34,487,519,56,765,817,79,1715,1797,66,1188,1258,97,1912,2006,80,1725,1810,76,2012,2091,68,1721,1792,110,2483,2595,71,2004,2080,34,1185,1225,42,1581,1624,72,1555,1631,42,771,818,963,21559,22527
Glenelg - Southern Grampians,21701,8,168,175,4,130,135,14,409,419,17,532,554,19,1373,1394,25,800,829,39,1285,1321,39,1126,1166,35,1247,1287,29,1025,1050,25,1474,1493,23,1083,1107,15,610,634,13,861,877,27,968,998,16,545,555,361,13633,13991
Colac - Corangamite,21703,4,217,219,0,182,183,3,379,384,12,532,547,15,1337,1351,20,811,828,16,1244,1261,18,1188,1205,22,1377,1406,14,1078,1090,11,1461,1475,17,1158,1175,8,576,584,7,819,831,14,944,965,8,530,532,204,13825,14030
Warrnambool,21704,4,222,227,6,145,154,14,435,451,20,644,660,25,1421,1450,23,1035,1056,37,1559,1590,31,1448,1482,36,1618,1658,38,1463,1503,33,2202,2240,23,1718,1741,10,1020,1031,22,1453,1478,24,1226,1251,19,549,566,356,18160,18519
Capalaba,30101,9,208,214,4,116,122,13,350,363,18,473,487,24,1291,1315,27,870,900,55,1576,1630,48,1451,1505,56,1894,1946,59,1736,1793,98,2989,3087,93,3050,3141,59,1995,2050,95,3895,3991,44,1842,1883,12,414,423,718,24136,24854
Cleveland - Stradbroke,30102,17,343,354,3,197,202,10,475,486,22,742,771,68,2057,2123,55,1343,1398,66,2283,2347,70,1841,1910,84,2171,2257,69,1916,1984,126,3165,3292,98,3028,3128,68,2107,2170,95,4388,4489,81,2194,2277,22,693,710,944,28949,29895
Wynnum - Manly,30103,8,192,200,4,114,114,23,333,356,22,515,539,47,1426,1466,46,849,899,53,1359,1412,56,1330,1384,71,1747,1813,59,1565,1632,111,2628,2740,89,2694,2785,64,1961,2021,118,4555,4674,69,1905,1974,17,470,484,841,23645,24484
Bald Hills - Everton Park,30201,6,125,124,3,67,70,0,149,149,3,204,207,13,605,617,9,491,504,9,776,782,26,747,767,24,1059,1081,32,1013,1045,43,1708,1746,38,1774,1808,17,1202,1216,49,2993,3044,26,1045,1070,4,211,219,300,14152,14451
Chermside,30202,3,281,284,4,148,147,17,402,417,29,673,701,29,1583,1610,32,1073,1100,47,1569,1619,35,1618,1655,55,2044,2106,60,1818,1872,79,3078,3153,76,2892,2975,49,2025,2074,83,4691,4779,61,1737,1800,25,593,617,682,26237,26918
Nundah,30203,5,160,167,3,94,97,5,218,225,15,344,363,23,783,807,25,566,584,29,760,787,28,857,887,26,1156,1179,22,1059,1085,60,1974,2030,57,1822,1884,34,1193,1233,64,2333,2397,21,969,985,4,259,260,428,14544,14971
Sandgate,30204,3,236,236,5,103,109,10,316,326,28,572,593,26,1453,1482,44,936,977,58,1375,1436,44,1364,1407,65,1769,1835,64,1580,1642,96,2670,2772,85,2495,2577,68,1551,1618,64,2621,2689,51,1460,1517,18,459,473,728,20964,21695
Carindale,30301,3,185,189,0,98,95,6,218,227,6,299,302,16,876,890,13,633,638,10,879,890,27,872,898,25,1140,1162,20,1035,1049,43,1974,2018,55,1989,2039,33,1429,1460,65,4354,4418,19,1321,1343,9,285,291,328,17589,17923
Holland Park - Yeronga,30302,6,379,383,12,162,171,20,530,559,23,788,812,29,1463,1491,27,967,990,26,1318,1346,37,1450,1484,37,1954,1987,42,1742,1787,57,3217,3277,55,3064,3121,39,2045,2081,96,5531,5625,24,1945,1976,16,410,421,541,26978,27513
Mt Gravatt,30303,3,559,556,3,195,196,8,406,412,18,506,519,12,1241,1255,22,869,894,24,1436,1459,33,1356,1383,36,1790,1824,27,1590,1616,61,2747,2815,46,2587,2632,27,1898,1925,65,4148,4217,20,1765,1786,9,369,380,418,23451,23864
Nathan,30304,7,222,224,3,94,93,6,225,227,8,305,312,12,731,744,11,544,559,13,758,772,16,731,747,17,1015,1032,28,912,939,36,1531,1573,21,1455,1475,19,1081,1098,39,2459,2498,22,910,931,9,223,230,269,13187,13455
Rocklea - Acacia Ridge,30305,4,328,335,0,135,139,6,268,270,15,276,293,20,678,699,13,561,575,31,1073,1108,34,1176,1212,24,1519,1541,31,1474,1502,55,2390,2448,50,2383,2429,33,1590,1619,53,2613,2668,46,1468,1515,15,231,243,416,18170,18582
Mudgeeraba - Tallebudgera,30905,3,106,108,0,56,56,3,108,106,3,147,145,7,394,401,10,334,336,14,593,600,13,615,629,19,815,837,12,772,784,31,1293,1323,33,1266,1300,26,860,886,42,1737,1782,26,933,958,6,170,175,251,10193,10445
Nerang,30906,5,268,269,0,116,121,13,331,347,10,455,463,22,1267,1288,28,910,935,51,1611,1664,46,1415,1457,47,1892,1933,55,1746,1806,84,2928,3013,75,2669,2748,48,1625,1671,81,2584,2666,48,1721,1773,6,548,553,627,22087,22716
Ormeau - Oxenford,30907,14,402,415,4,153,159,12,315,327,13,471,480,23,1342,1370,42,1205,1239,47,2134,2185,79,2086,2167,110,2953,3062,112,2936,3046,173,5346,5522,137,4893,5032,80,3195,3278,143,5565,5706,103,3054,3159,9,593,603,1112,36643,37751
Outback - South,31503,16,139,149,6,56,63,37,140,176,48,218,264,65,561,625,51,260,310,65,476,546,70,426,490,63,514,569,78,447,520,68,596,664,47,521,573,28,313,334,37,468,505,87,536,624,47,248,298,808,5919,6720
Buderim,31601,0,205,204,4,91,95,8,315,320,10,384,392,10,1286,1294,18,841,861,26,1459,1486,21,1294,1314,34,1535,1568,48,1428,1480,68,2244,2318,47,2012,2056,36,1242,1281,49,2506,2551,31,1578,1609,10,389,400,414,18814,19226
Caloundra,31602,9,342,351,3,181,184,6,464,471,15,835,846,37,2283,2316,40,1707,1749,55,2751,2805,55,2277,2332,56,2702,2761,72,2343,2416,97,3374,3477,84,2789,2880,48,1730,1779,68,3045,3114,79,2215,2299,21,730,751,763,29770,30529
Maroochy,31603,12,289,300,8,144,151,7,471,478,22,698,726,29,1608,1641,31,1246,1281,45,1883,1923,51,1767,1816,63,2154,2217,54,1953,2004,75,2560,2641,58,2026,2083,29,1134,1158,43,1964,2005,56,1594,1653,9,468,477,600,21952,22549
Noosa,31605,3,222,228,0,110,109,4,294,299,3,429,428,13,1133,1141,15,830,843,17,1392,1406,26,1180,1203,18,1437,1459,26,1272,1294,36,1834,1865,28,1380,1406,16,777,792,28,1600,1626,26,1280,1300,6,359,362,260,15515,15772
Sunshine Coast Hinterland,31606,8,200,203,0,133,137,13,327,341,16,423,439,16,1260,1279,23,826,858,40,1489,1524,37,1406,1437,36,1651,1688,38,1386,1422,57,1959,2015,60,1670,1730,21,1045,1067,34,1615,1652,50,1497,1550,8,349,360,463,17240,17701
Nambour,31607,3,165,173,8,96,103,18,293,306,18,395,409,28,1125,1150,31,810,847,50,1341,1391,48,1134,1180,48,1313,1361,38,1200,1240,87,1739,1827,39,1478,1519,48,840,883,35,1226,1259,45,1083,1129,18,359,380,557,14602,15155
Noosa Hinterland,31608,0,100,101,0,54,56,4,194,195,0,196,199,9,541,553,9,379,386,18,664,678,15,616,631,30,725,755,11,610,620,26,897,930,21,682,699,9,397,408,16,671,680,29,721,749,0,147,152,205,7587,7789
Charters Towers - Ayr - Ingham,31801,24,179,203,16,122,141,74,353,425,69,533,602,104,1311,1412,98,662,761,150,1347,1494,138,1021,1155,136,1210,1340,126,1060,1186,143,1475,1621,107,1211,1319,41,710,753,60,1059,1123,115,1125,1243,67,581,642,1468,13951,15422
Townsville,31802,50,771,820,48,376,425,159,1100,1258,171,1515,1688,252,3600,3853,319,2586,2902,373,4099,4474,376,4183,4560,427,5004,5432,424,4779,5203,567,7678,8243,449,6783,7231,263,4394,4654,354,6986,7348,441,5704,6150,155,1236,1385,4834,60784,65617
Bundaberg,31901,12,389,406,14,265,280,58,823,880,66,1122,1183,147,3281,3426,111,1960,2074,173,3769,3939,157,2761,2920,145,2954,3103,160,2401,2560,176,3204,3379,97,2357,2459,47,1231,1282,50,1903,1961,144,2140,2282,47,1095,1143,1603,31663,33261
Burnett,31902,19,255,275,25,164,183,58,500,551,66,670,743,127,2070,2202,108,1005,1111,157,2142,2298,137,1510,1648,143,1499,1638,111,1286,1397,124,1509,1632,74,1150,1222,35,574,612,41,861,898,86,1189,1278,56,692,750,1362,17081,18441
Gympie - Cooloola,31903,11,250,258,11,159,164,27,440,469,34,682,723,71,2031,2097,67,1169,1236,98,2158,2254,79,1603,1683,87,1721,1805,72,1403,1477,92,1729,1819,45,1180,1222,27,635,665,31,842,868,59,1239,1301,30,574,601,833,17808,18644
Hervey Bay,31904,16,263,278,6,178,187,46,491,535,31,806,842,68,2290,2357,72,1409,1477,114,2852,2970,99,1862,1967,112,2108,2218,122,1560,1680,88,1868,1954,72,1412,1479,43,683,718,38,1074,1115,85,1347,1431,28,680,709,1040,20876,21913
Sunnybank,30306,3,424,427,3,147,146,3,286,287,12,277,291,4,742,753,9,594,607,10,920,923,14,1025,1045,18,1354,1372,15,1289,1308,21,1949,1970,28,1745,1772,14,1088,1101,25,1904,1932,23,1287,1309,8,234,235,213,15272,15479
Centenary,30401,3,117,123,0,67,67,3,117,116,0,123,127,3,346,347,5,337,338,10,492,499,5,532,539,7,719,727,5,697,705,14,1280,1288,19,1370,1384,14,1006,1022,32,2629,2663,14,904,916,3,112,115,139,10841,10985
Kenmore - Brookfield - Moggill,30402,0,151,152,0,75,75,0,135,135,0,164,165,0,441,441,3,350,347,5,484,490,8,637,641,5,852,857,11,746,751,13,1442,1457,16,1567,1582,6,1222,1233,30,4687,4718,11,1466,1480,0,182,185,110,14594,14709
