sa3_code16,p_oth_scs_15_19,p_oth_scs_20_24,p_oth_scs_25_34,p_oth_scs_35_44,p_oth_scs_45_54,p_oth_scs_55_64,p_oth_scs_65_74,p_oth_scs_75_84,p_oth_scs_85ov,p_oth_scs_tot,p_id_ns_15_19,p_id_ns_20_24,p_id_ns_25_34,p_id_ns_35_44,p_id_ns_45_54,p_id_ns_55_64,p_id_ns_65_74,p_id_ns_75_84,p_id_ns_85ov,p_id_ns_tot,p_tot_15_19,p_tot_20_24,p_tot_25_34,p_tot_35_44,p_tot_45_54,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_tot,sa3_name16
10901,57,122,265,216,222,180,39,11,0,1120,61,118,171,155,228,171,79,24,0,1012,1808,2585,5456,5431,5940,4809,1219,155,24,27430,Albury
10902,12,19,24,25,35,28,9,3,0,159,24,35,28,51,56,57,26,6,0,283,288,405,800,975,1267,1145,330,70,13,5298,Lower Murray
10903,41,62,118,127,116,108,39,9,0,620,54,61,86,128,143,151,70,17,3,710,983,1260,2804,3225,3879,3774,1193,213,42,17372,Upper Murray exc. Albury
11001,37,71,98,87,100,86,22,14,0,502,29,39,82,85,85,60,51,19,7,462,1004,1534,2760,2851,3563,2970,984,189,34,15891,Armidale
11002,40,55,101,91,99,90,37,13,0,518,41,53,86,90,117,108,76,35,12,617,825,1051,2157,2639,3237,2996,1104,289,48,14341,Inverell - Tenterfield
11003,41,56,105,99,92,67,24,3,0,487,48,50,89,80,103,96,47,14,0,532,565,841,2100,2172,2442,2050,680,137,11,11012,Moree - Narrabri
11004,89,158,296,290,279,251,61,12,6,1435,104,122,265,278,282,244,97,37,12,1442,2109,2791,6948,6880,7625,6265,1761,312,51,34742,Tamworth - Gunnedah
11101,131,234,430,455,493,317,70,12,0,2138,85,179,343,349,410,274,90,20,3,1756,3404,4803,10303,11456,12483,8739,1605,169,16,52963,Lake Macquarie - East
11102,99,176,321,315,325,210,45,5,0,1498,80,142,227,275,293,185,60,18,3,1284,1950,2827,6245,6692,7071,5325,1111,101,16,31339,Lake Macquarie - West
11103,140,381,717,576,480,361,92,25,4,2782,124,294,587,510,476,314,95,39,3,2442,3971,8971,18858,16185,15306,10572,1998,262,28,76144,Newcastle
11201,51,93,186,253,293,209,56,4,0,1150,82,87,255,363,332,281,117,30,20,1569,1772,1929,5127,6973,8052,6929,1779,224,51,32839,Richmond Valley - Coastal
11202,46,112,200,188,247,190,66,4,0,1050,61,83,170,196,242,212,75,36,5,1086,1750,2181,4271,5352,6615,5884,1504,261,37,27858,Richmond Valley - Hinterland
11203,49,126,267,296,332,203,65,3,4,1342,108,131,298,327,355,307,96,31,13,1662,2162,2692,5797,7566,8522,7130,1623,213,37,35731,Tweed Valley
11301,55,111,174,140,131,113,30,10,3,768,82,98,183,159,184,156,61,27,7,945,1319,1833,4242,4133,4768,3774,1075,210,32,21383,Griffith - Murrumbidgee (West)
11302,19,18,29,23,30,28,14,0,0,169,13,29,49,49,66,60,24,13,0,296,294,423,994,1144,1384,1272,397,93,12,6010,Tumut - Tumbarumba
11303,82,206,346,299,319,232,82,4,0,1576,92,147,311,257,313,229,87,33,13,1490,2750,4345,8527,8204,8814,7079,1925,350,55,42056,Wagga Wagga
11401,58,133,288,289,292,222,68,8,0,1367,94,121,231,243,306,274,104,36,13,1422,2277,2984,6276,7084,8430,7271,1712,202,37,36268,Shoalhaven
11402,47,91,157,155,189,136,52,8,0,846,41,69,107,175,231,187,99,25,7,938,1331,1432,3054,3893,5008,4082,1545,259,32,20627,Southern Highlands
11501,101,233,407,491,553,431,136,7,0,2367,128,246,522,722,759,469,179,23,0,3052,3801,6882,11861,16821,17276,11994,3284,264,20,72214,Baulkham Hills
11502,53,76,99,116,146,114,39,7,0,649,33,60,77,102,172,101,50,14,3,609,853,1276,1743,2438,3330,2371,950,145,15,13122,Dural - Wisemans Ferry
11503,39,94,115,129,133,109,23,0,0,641,46,60,110,138,178,84,41,14,0,664,805,1228,2006,2499,3234,2190,578,81,8,12630,Hawkesbury
11504,53,74,141,220,172,76,18,3,0,763,46,85,146,217,194,98,30,6,0,823,1193,1532,3046,4675,4070,2239,539,59,3,17351,Rouse Hill - McGraths Hill
11601,87,229,600,497,444,314,79,6,0,2250,129,414,991,835,738,454,94,14,7,3678,2738,6021,16176,14819,11743,8282,1589,106,20,61490,Blacktown
11602,96,138,421,441,388,183,48,0,0,1719,79,165,504,628,452,228,58,7,0,2116,2398,3920,10861,13906,9704,5057,954,44,5,46855,Blacktown - North
11603,79,200,329,299,276,220,48,5,0,1458,188,407,745,701,607,355,80,8,0,3089,2442,5048,10859,10083,9181,5729,937,52,12,44336,Mount Druitt
11701,21,84,225,197,180,117,35,0,0,857,23,103,336,233,210,128,31,5,0,1079,774,2265,6602,5590,4441,2610,634,51,8,22976,Botany
11703,61,310,1359,784,463,297,72,7,0,3356,91,671,2418,1151,664,348,135,31,7,5518,1991,13084,52134,26728,15275,8984,2634,331,52,121209,Sydney Inner City
11801,49,162,606,415,328,205,98,16,4,1879,70,199,1067,763,569,358,213,62,14,3318,1203,4749,21267,16218,11914,7748,3702,685,119,67604,Eastern Suburbs - North
11802,71,170,602,503,368,265,101,15,3,2097,86,256,802,606,532,292,117,29,4,2727,2095,6561,19596,16387,13024,7995,2284,287,46,68276,Eastern Suburbs - South
11901,113,323,688,769,582,440,87,13,0,3026,169,501,1046,944,888,618,125,24,11,4312,3048,7384,15852,15207,14029,9659,1928,184,20,67318,Bankstown
11902,67,213,572,580,543,309,71,6,0,2354,124,384,996,832,815,449,97,16,3,3716,1960,5533,14897,12947,11211,6689,1309,118,15,54677,Canterbury
11903,63,208,425,410,473,336,76,13,0,2012,113,344,838,602,653,450,115,29,6,3143,2358,5888,14916,12510,12503,8267,1955,210,24,58645,Hurstville
11904,67,214,582,563,463,330,88,12,0,2319,95,398,1082,711,629,443,116,26,5,3509,2136,6306,20369,15210,12506,8096,1924,201,30,66770,Kogarah - Rockdale
12001,47,120,329,293,330,211,75,10,0,1413,43,142,555,420,389,230,99,15,5,1901,1278,3309,11760,10458,8703,5768,1734,207,26,43244,Canada Bay
12002,21,75,214,209,175,133,32,3,0,848,15,75,259,313,258,144,58,6,0,1127,621,2087,7148,8737,6611,3983,1263,105,12,30557,Leichhardt
12003,64,229,681,478,506,321,91,11,3,2381,110,511,1279,720,689,439,88,20,7,3864,2281,7966,24030,16207,14323,9083,2127,254,38,76311,Strathfield - Burwood - Ashfield
12101,65,110,392,335,338,235,81,11,0,1573,56,197,621,611,516,283,111,27,4,2427,1612,4313,14644,14776,11578,7252,2400,318,44,56939,Chatswood - Lane Cove
12102,57,145,281,334,322,225,54,4,3,1425,63,111,342,424,376,237,61,17,3,1630,1880,3235,7733,10599,9462,6076,1502,153,12,40659,Hornsby
12103,88,153,217,278,389,265,96,22,3,1505,78,165,328,490,638,379,151,41,4,2279,2766,4752,7757,12089,14756,9105,3203,574,71,55072,Ku-ring-gai
12104,47,104,369,303,249,168,72,13,0,1316,37,124,591,488,400,277,163,43,9,2133,955,3339,15868,12892,9550,6831,3069,482,63,53052,North Sydney - Mosman
12201,29,63,157,140,125,64,26,3,0,604,31,66,249,256,230,113,55,11,6,1019,679,1491,5441,5723,4789,2907,990,144,29,22199,Manly
12202,68,129,220,229,278,204,63,4,0,1196,69,109,203,323,412,273,113,28,11,1553,1597,2352,4018,6511,7657,5803,1973,257,29,30194,Pittwater
12203,159,314,656,677,657,405,130,15,0,3014,142,281,714,956,924,450,149,35,9,3654,3777,5973,15201,19460,18574,10765,3110,403,35,77294,Warringah
12301,90,140,307,279,256,150,26,4,0,1238,99,158,301,361,319,170,53,7,10,1471,2248,3071,7044,8164,6932,4008,805,55,17,32352,Camden
12302,117,339,566,480,443,377,96,4,0,2425,209,477,997,838,814,579,133,18,3,4065,3587,7564,16323,14917,13978,10760,2035,128,17,69308,Campbelltown (NSW)
12303,62,101,207,175,187,108,33,0,0,875,68,87,197,195,219,159,57,15,0,996,1309,1892,3870,4424,4565,3272,720,76,18,20151,Wollondilly
12401,63,113,184,249,289,226,70,7,0,1194,64,110,202,225,293,222,82,20,3,1227,1944,2660,5383,7668,8743,7314,1887,170,20,35800,Blue Mountains
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue Mountains - South
12403,164,312,732,617,493,339,83,6,0,2746,203,399,828,782,682,447,119,20,4,3487,4292,7052,16691,15804,13559,9505,2030,157,15,69111,Penrith
12404,49,113,169,143,150,92,37,3,0,751,64,99,189,185,211,144,39,10,3,944,1142,2041,3681,3361,3740,2511,620,69,4,17181,Richmond - Windsor
12405,48,146,245,175,206,143,21,0,0,983,93,191,354,292,324,217,39,4,0,1519,1470,2981,5903,5163,5112,3959,614,37,5,25241,St Marys
12501,30,119,373,259,216,178,34,0,0,1205,71,367,1195,602,545,320,56,5,7,3172,1029,4257,13526,8029,6325,4110,650,43,13,37982,Auburn
12502,35,88,218,254,317,191,47,6,0,1149,51,131,377,351,378,233,76,14,5,1621,1267,2599,6546,7067,6912,4574,1091,144,12,30209,Carlingford
12503,75,214,595,532,462,266,64,3,0,2213,193,551,1124,885,820,503,84,26,4,4187,2563,6511,15703,12942,10898,7124,1362,105,15,57223,Merrylands - Guildford
12504,45,190,592,446,408,233,68,7,0,1988,82,321,1149,879,534,359,111,14,6,3470,1710,5301,22426,17560,10603,6627,1631,144,27,66035,Parramatta
11702,22,118,349,251,199,107,28,0,0,1061,35,114,408,280,209,111,22,8,0,1188,585,2902,10075,7621,5432,2985,602,66,5,30272,Marrickville - Sydenham - Petersham
12601,30,71,97,130,168,134,29,3,3,659,28,96,235,205,205,158,47,5,7,987,1006,2205,4375,5125,5409,3852,1014,132,19,23135,Pennant Hills - Epping
12602,83,202,515,485,487,316,97,17,0,2208,78,244,838,702,596,428,118,32,12,3041,2248,5933,17231,15303,13188,8808,2410,292,43,65463,Ryde - Hunters Hill
12701,99,196,466,423,383,202,45,0,0,1820,157,330,655,683,624,362,90,16,7,2930,2366,4881,10697,10135,9369,5486,988,76,16,44017,Bringelly - Green Valley
12702,77,389,804,847,699,411,77,9,0,3303,218,664,1259,1159,1375,889,150,24,0,5740,2965,8537,15977,13763,14698,10280,1806,124,8,68157,Fairfield
12703,60,160,413,469,364,202,51,8,0,1738,130,340,719,666,614,372,79,15,0,2945,2171,4881,11705,11898,10192,5931,1175,101,5,48046,Liverpool
12801,101,212,533,429,433,288,95,13,4,2111,98,234,495,556,536,412,142,24,7,2522,2834,4943,11526,12303,12400,8995,2443,292,41,55769,Cronulla - Miranda - Caringbah
12802,119,297,443,512,495,366,103,10,0,2341,93,203,386,495,445,315,111,18,9,2084,3283,5342,10491,13080,12868,9343,2087,155,20,56671,Sutherland - Menai - Heathcote
20101,63,181,331,306,345,280,79,8,0,1587,107,183,263,291,343,229,79,21,4,1521,2793,4954,9670,9549,9881,7218,1517,173,31,45790,Ballarat
20102,21,40,56,87,97,87,14,0,0,410,31,64,66,98,146,109,55,13,9,590,609,789,1548,2517,3281,2726,801,107,27,12415,Creswick - Daylesford - Ballan
20103,18,34,58,64,78,70,13,0,0,335,29,33,47,89,87,100,50,19,3,463,496,669,1293,1753,2236,2041,577,91,21,9185,Maryborough - Pyrenees
20201,75,211,388,278,288,251,67,9,3,1571,83,169,262,309,281,249,72,27,3,1450,2564,4711,9126,8350,8563,6723,1379,151,31,41593,Bendigo
20202,27,68,103,145,191,133,41,4,0,709,54,55,98,154,218,168,74,20,7,840,1044,1278,2631,4156,5404,4334,1173,183,40,20238,Heathcote - Castlemaine - Kyneton
20203,8,10,30,21,37,21,5,0,0,129,16,10,30,36,44,45,15,10,3,204,216,242,540,855,1174,1150,343,85,17,4615,Loddon - Elmore
20301,18,35,66,83,67,66,25,0,0,359,32,29,49,79,94,66,20,5,0,389,478,632,1456,2151,2259,1584,494,60,18,9136,Barwon - West
20302,105,400,736,606,596,445,120,18,3,3022,188,363,681,655,678,504,143,38,20,3272,4873,9073,18588,17825,17956,12889,2660,280,57,84191,Geelong
20303,56,89,193,224,240,189,55,6,0,1056,67,97,169,244,250,225,93,21,4,1178,1638,2140,5352,7222,7536,6046,1566,184,22,31696,Surf Coast - Bellarine Peninsula
20401,48,80,156,145,188,157,58,3,4,835,66,86,126,180,276,215,97,36,4,1071,1278,1734,3668,4307,5381,4913,1526,271,62,23132,Upper Goulburn Valley
20402,43,87,138,128,159,118,44,9,3,724,55,65,119,153,180,153,73,23,8,828,1201,1459,3085,3816,4813,4247,1183,222,45,20070,Wangaratta - Benalla
20403,74,153,244,212,251,168,47,3,0,1149,87,107,197,240,269,200,86,25,10,1221,2048,2766,5840,6287,7472,6055,1601,220,48,32340,Wodonga - Alpine
