sa3_name16,sa3_code16,canada_before_1946,canada_1946_1955,canada_1956_1965,canada_1966_1975,canada_1976_1985,canada_1986_1995,canada_1996_2005,canada_2006_2010,canada_2011,canada_2012,canada_2013,canada_2014,canada_2015,canada_2016,canada_yr_arrival_notstated,canada_tot,china_exc_sars_taiw_bef_1946,china_exc_sars_taiwan_46_55,china_exc_sars_taiwan_56_65,china_exc_sars_taiwan_66_75,china_exc_sars_taiwan_76_85,china_exc_sars_taiwan_86_95,china_exc_sars_taiwan_96_05,china_exc_sars_taiwan_06_10,china_exc_sars_taiwan_2011,china_exc_sars_taiwan_2012,china_exc_sars_taiwan_2013,china_exc_sars_taiwan_2014,china_exc_sars_taiwan_2015,china_exc_sars_taiwan_2016,china_exc_sars_tawan_arr_notstated,china_exc_sars_taiwan_tot,croatia_before_1946,croatia_1946_1955,croatia_1956_1965,croatia_1966_1975,croatia_1976_1985,croatia_1986_1995,croatia_1996_2005,croatia_2006_2010,croatia_2011,croatia_2012,croatia_2013,croatia_2014,croatia_2015,croatia_2016,croatia_yr_arrival_notstated,croatia_tot,egypt_before_1946,egypt_1946_1955,egypt_1956_1965,egypt_1966_1975,egypt_1976_1985,egypt_1986_1995,egypt_1996_2005,egypt_2006_2010,egypt_2011,egypt_2012,egypt_2013,egypt_2014,egypt_2015,egypt_2016,egypt_yr_arrival_notstated,egypt_tot,fiji_before_1946,fiji_1946_1955,fiji_1956_1965,fiji_1966_1975,fiji_1976_1985,fiji_1986_1995,fiji_1996_2005,fiji_2006_2010,fiji_2011,fiji_2012,fiji_2013,fiji_2014,fiji_2015,fiji_2016,fiji_yr_arrival_notstated,fiji_tot,germany_before_1946,germany_1946_1955,germany_1956_1965,germany_1966_1975,germany_1976_1985,germany_1986_1995,germany_1996_2005,germany_2006_2010,germany_2011,germany_2012,germany_2013,germany_2014,germany_2015,germany_2016,germany_yr_arrival_notstated,germany_tot,greece_before_1946,greece_1946_1955,greece_1956_1965,greece_1966_1975,greece_1976_1985,greece_1986_1995,greece_1996_2005,greece_2006_2010,greece_2011,greece_2012,greece_2013,greece_2014,greece_2015,greece_2016,greece_yr_arrival_notstated,greece_tot,hng_kng_sar_china_bfre_1946,hng_kng_sar_china_1946_1955,hng_kng_sar_china_1956_1965,hng_kng_sar_china_1966_1975,hng_kng_sar_china_1976_1985,hng_kng_sar_china_1986_1995,hng_kng_sar_china_1996_2005,hng_kng_sar_china_2006_2010,hong_kong_sar_china_2011,hong_kong_sar_china_2012,hong_kong_sar_china_2013,hong_kong_sar_china_2014,hong_kong_sar_china_2015,hong_kong_sar_china_2016,hng_kng_sar_chna_arrival_notstated,hong_kong_sar_china_tot,india_before_1946,india_1946_1955,india_1956_1965,india_1966_1975,india_1976_1985,india_1986_1995,india_1996_2005,india_2006_2010,india_2011,india_2012,india_2013,india_2014,india_2015,india_2016,india_yr_arrival_notstated,india_tot,indonesia_before_1946,indonesia_1946_1955,indonesia_1956_1965,indonesia_1966_1975,indonesia_1976_1985,indonesia_1986_1995,indonesia_1996_2005,indonesia_2006_2010,indonesia_2011,indonesia_2012,indonesia_2013,indonesia_2014,indonesia_2015,indonesia_2016,indonesia_yr_arrival_notstated,indonesia_tot,iran_before_1946,iran_1946_1955,iran_1956_1965,iran_1966_1975,iran_1976_1985,iran_1986_1995,iran_1996_2005,iran_2006_2010,iran_2011,iran_2012,iran_2013,iran_2014,iran_2015,iran_2016,iran_yr_arrival_notstated,iran_tot,iraq_before_1946,iraq_1946_1955,iraq_1956_1965,iraq_1966_1975,iraq_1976_1985,iraq_1986_1995,iraq_1996_2005,iraq_2006_2010,iraq_2011,iraq_2012,iraq_2013,iraq_2014,iraq_2015,iraq_2016,iraq_yr_arrival_notstated,iraq_tot,ireland_before_1946,ireland_1946_1955,ireland_1956_1965,ireland_1966_1975,ireland_1976_1985,ireland_1986_1995,ireland_1996_2005,ireland_2006_2010
Great Lakes,10801,0,0,3,5,0,3,13,4,0,0,0,0,0,0,0,35,0,3,3,0,0,8,9,9,3,0,4,0,6,3,0,50,0,0,10,8,4,0,0,0,0,0,0,0,0,0,3,24,0,12,3,0,0,0,0,5,0,0,0,0,0,0,0,22,3,5,0,0,3,5,0,0,0,0,0,0,0,0,0,22,0,59,47,15,10,3,15,3,3,0,0,0,0,0,5,159,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,7,3,3,0,0,0,9,0,5,3,3,0,3,4,47,0,0,0,5,3,3,3,3,0,0,0,0,5,0,0,23,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,20,3,8,7,0
Kempsey - Nambucca,10802,0,0,3,10,3,12,4,3,0,0,0,3,6,0,3,47,0,0,0,0,4,10,5,10,3,6,0,0,7,6,9,66,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,5,3,9,11,9,11,0,0,0,0,0,0,4,63,0,69,40,20,23,15,3,3,4,0,0,0,0,0,10,183,0,8,6,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,13,0,0,7,10,5,4,3,11,0,10,7,7,0,0,6,80,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,15,8,0,3,10
Lord Howe Island,10803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Port Macquarie,10804,0,7,9,20,11,12,36,14,3,7,3,11,3,0,3,140,0,12,7,7,3,17,32,37,8,7,6,5,3,8,13,155,0,0,11,9,0,0,3,0,0,0,0,0,0,0,9,34,0,10,12,11,3,3,0,9,5,0,0,0,0,0,4,59,0,3,3,0,12,16,0,7,0,0,0,3,0,0,3,53,7,117,93,45,30,18,22,10,0,0,8,0,3,0,12,362,0,3,8,9,3,0,0,0,0,0,0,0,0,0,0,23,0,0,0,7,3,10,9,6,0,0,0,0,0,0,3,43,0,15,3,21,10,13,35,55,13,18,18,11,15,3,6,237,0,5,4,7,0,5,8,8,0,0,3,0,0,0,0,36,0,0,0,0,6,3,4,0,3,0,0,3,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,8,16,33,20,25,32,15
Taree - Gloucester,10805,0,0,6,16,3,12,11,0,3,0,0,0,0,0,0,54,0,0,0,0,3,13,15,7,4,0,0,10,3,3,0,65,0,0,3,14,3,0,0,0,0,0,0,0,0,0,0,20,0,9,11,4,0,4,10,7,0,0,0,0,3,0,0,42,0,0,0,6,0,3,8,3,0,0,0,0,0,0,0,23,0,57,49,24,16,10,12,8,0,0,3,0,0,0,6,187,0,3,10,0,3,0,0,0,0,3,0,0,0,0,0,18,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,17,0,0,3,5,0,5,16,40,11,25,3,11,3,9,5,136,0,3,7,0,0,4,4,5,0,0,3,3,0,0,0,31,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,5,8,22,7,7,0,0
Albury,10901,0,0,3,10,6,7,7,4,6,0,0,0,0,0,3,53,0,3,0,0,5,3,23,40,0,9,9,7,7,11,0,114,0,3,8,33,3,3,3,0,0,0,0,0,0,0,3,55,0,3,0,8,0,0,0,0,0,0,3,0,4,0,0,18,0,0,3,3,8,12,9,11,0,7,0,3,0,0,0,55,0,118,79,31,14,8,10,12,0,0,0,0,3,3,10,298,0,17,21,7,3,3,0,0,0,0,0,0,0,0,3,56,0,0,0,4,8,11,3,3,0,0,3,3,0,0,3,35,0,3,0,12,7,8,44,271,31,36,45,46,34,20,13,573,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,17,0,0,0,0,4,4,3,3,0,5,0,4,3,0,0,28,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,6,13,9,4,8,8,9
Lower Murray,10902,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,4,3,0,8,0,0,4,35,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,28,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,13,3,7,23,0,0,3,3,0,0,0,52,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
Upper Murray exc. Albury,10903,0,0,0,3,0,0,3,3,3,7,0,0,0,0,0,20,0,0,0,0,0,12,14,7,3,4,0,3,3,0,4,51,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,3,0,3,0,0,0,0,0,3,0,15,0,70,33,16,8,0,3,0,0,0,0,0,0,0,9,133,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,9,0,0,3,13,0,0,4,40,3,6,5,19,13,5,5,121,0,0,0,0,0,0,3,4,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,13,4,8,4,3
Armidale,11001,0,0,3,14,6,12,19,5,0,0,0,0,3,0,0,64,0,0,0,0,3,16,39,38,14,7,17,28,64,39,25,288,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,7,8,6,0,0,3,0,0,0,3,0,38,0,23,16,8,15,15,20,6,0,0,3,0,6,0,3,130,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,3,3,5,0,4,0,0,0,3,3,0,29,0,0,7,7,3,10,17,58,3,7,12,16,23,11,5,175,0,3,3,0,3,3,8,4,0,0,0,3,6,4,0,41,0,0,0,0,4,7,3,3,10,5,7,3,6,3,3,46,0,0,0,0,0,0,3,7,3,5,22,30,11,0,0,89,0,0,10,4,3,10,7,0
Inverell - Tenterfield,11002,0,0,0,6,3,0,3,0,0,3,0,0,0,0,0,26,0,3,0,0,3,3,10,7,0,0,0,0,3,0,0,33,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,3,0,3,4,3,0,0,0,0,0,0,4,25,0,31,22,17,9,4,6,5,0,0,0,0,0,0,3,94,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,6,0,3,4,3,0,4,15,5,4,3,8,6,3,3,67,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,4,4,4
Moree - Narrabri,11003,0,0,0,4,5,0,4,3,0,0,0,0,0,0,0,19,0,0,6,0,0,3,6,9,0,4,0,3,0,0,0,34,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,0,22,0,0,6,6,0,0,0,54,0,15,8,7,4,3,5,3,0,0,0,0,0,0,0,53,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,3,37,0,3,8,3,3,0,6,73,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,6
Tamworth - Gunnedah,11004,0,0,6,3,7,7,12,9,0,0,3,3,9,0,0,56,0,0,7,3,6,14,23,42,9,16,4,11,20,7,3,168,0,0,6,3,0,3,0,0,0,0,0,0,0,0,0,16,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,18,0,0,0,0,6,6,5,7,0,7,4,4,16,0,0,54,0,35,29,19,12,3,8,6,0,0,0,3,3,0,9,132,0,3,10,3,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,3,6,5,3,3,3,0,0,0,8,0,0,34,0,3,3,3,3,9,20,123,17,22,24,15,18,16,4,276,0,3,3,4,0,4,5,0,0,3,0,0,3,0,0,31,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,0,0,3,18,10,12,4,8
Lake Macquarie - East,11101,0,3,5,17,12,28,36,24,4,9,3,3,5,3,9,157,0,5,10,14,22,50,63,70,8,22,15,14,19,12,11,341,0,12,20,35,5,0,3,0,0,0,0,0,0,0,0,79,0,3,4,19,0,5,3,11,0,0,0,3,0,0,0,46,0,0,11,4,18,19,6,5,0,0,4,0,0,0,3,71,3,309,83,26,26,13,25,18,8,0,9,3,3,3,16,552,0,35,39,23,3,3,0,0,0,0,0,0,0,0,4,109,0,0,3,12,22,23,10,11,0,0,0,0,0,0,3,86,0,8,5,37,20,32,83,107,11,19,20,19,13,9,20,398,0,5,4,3,3,7,33,19,4,5,0,3,5,0,5,98,0,0,0,0,3,0,4,16,3,5,0,0,0,6,0,40,0,0,0,3,3,0,3,4,0,0,0,0,0,0,0,14,0,5,19,23,14,28,38,27
Lake Macquarie - West,11102,0,4,0,21,19,11,19,9,6,3,0,7,3,0,0,106,0,3,4,0,3,21,30,47,11,9,12,13,7,0,7,184,0,3,7,22,4,3,6,7,0,0,0,0,0,0,0,53,0,7,3,0,0,0,0,0,0,0,0,6,0,0,0,18,0,4,5,5,13,26,9,6,0,0,0,0,0,0,3,81,3,142,67,25,9,8,7,8,3,3,0,6,0,0,12,296,0,9,4,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,6,0,5,4,0,0,0,0,3,0,0,0,27,0,12,10,25,7,8,27,96,14,16,9,8,15,5,5,269,0,3,9,3,0,9,9,4,3,4,6,0,0,0,0,51,0,0,0,0,0,4,3,4,0,0,0,0,3,0,0,13,0,0,0,0,0,0,4,4,0,0,0,0,9,0,0,17,0,5,9,33,5,12,10,22
Newcastle,11103,0,3,14,35,29,32,57,57,18,27,5,14,13,5,10,321,0,3,12,5,33,81,178,319,60,95,113,211,329,152,110,1701,0,3,25,104,7,7,25,0,0,0,0,0,0,0,8,186,0,6,7,17,3,9,7,19,0,0,5,3,0,0,4,90,0,3,0,19,20,36,24,20,0,10,0,0,4,3,3,145,0,280,73,41,26,31,47,42,9,7,6,8,10,3,43,636,3,79,139,88,19,7,5,0,3,0,0,0,0,3,19,373,3,0,0,14,43,43,21,26,10,4,16,26,28,17,24,285,0,13,10,42,28,48,154,302,62,138,90,97,98,67,32,1173,0,3,3,6,7,14,34,27,6,9,4,3,11,5,4,143,0,0,0,0,3,7,18,44,27,37,34,15,28,23,6,246,0,0,0,0,0,5,17,3,0,8,27,24,8,10,8,110,0,3,19,47,13,56,37,44
Richmond Valley - Coastal,11201,0,0,8,41,35,25,48,30,4,14,5,3,6,7,11,261,3,9,6,0,7,4,20,18,3,0,5,6,6,0,3,89,0,3,8,12,0,0,0,0,0,0,0,0,0,0,0,28,0,3,11,3,0,0,0,0,0,0,0,0,0,0,0,24,3,6,15,12,4,10,9,3,3,0,0,3,0,0,4,62,0,76,46,35,61,78,73,41,4,12,9,10,3,3,18,481,0,10,15,9,0,3,3,0,0,0,3,0,0,0,0,44,0,0,3,6,8,5,10,3,0,0,0,0,0,0,3,45,3,7,13,16,7,15,28,48,6,5,12,13,3,3,3,185,0,3,11,0,7,7,3,8,3,5,3,0,0,3,3,61,0,0,0,0,0,9,9,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,9,40,11,19,26,26
Richmond Valley - Hinterland,11202,0,3,8,21,23,10,22,22,3,0,3,0,4,0,11,127,0,0,3,0,3,7,26,13,3,3,3,8,11,7,5,93,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,8,0,4,3,6,0,0,3,0,0,0,0,0,0,0,0,20,0,5,5,3,3,12,8,4,0,6,0,0,0,0,0,42,0,57,54,22,59,59,42,19,0,0,3,0,4,0,13,326,0,9,3,5,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,13,5,0,7,0,0,0,0,0,3,0,0,22,0,3,10,13,6,9,22,47,4,8,0,4,10,4,0,141,0,4,5,3,3,3,14,6,0,3,0,0,0,7,0,56,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,18,12,22,13,8
Tweed Valley,11203,0,0,13,25,15,23,45,38,9,7,8,4,6,0,9,201,0,5,11,3,17,17,30,50,13,5,18,16,28,4,11,232,0,4,17,6,0,0,0,0,0,0,0,0,0,0,0,34,0,9,9,8,0,3,0,0,0,0,0,0,0,0,0,30,7,0,3,13,11,13,18,17,4,0,0,3,0,0,3,92,0,135,103,46,30,31,43,29,3,3,5,0,3,0,17,452,0,9,14,7,0,0,0,0,0,0,0,0,0,0,3,35,3,0,5,5,11,4,3,3,0,0,0,0,3,0,0,42,4,16,11,24,28,15,27,117,16,6,21,28,9,6,11,346,0,8,13,3,7,7,13,6,0,0,3,0,0,3,3,62,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,27,44,12,17,20,24
Griffith - Murrumbidgee (West),11301,0,0,0,3,3,5,0,4,0,0,0,0,3,0,3,23,0,0,0,3,3,20,15,26,10,3,0,3,11,5,0,102,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,3,3,0,0,0,0,3,0,16,0,0,0,0,10,35,39,37,10,9,21,12,3,0,11,188,0,8,10,5,3,7,5,11,0,3,3,0,8,5,3,75,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,5,7,0,5,3,3,0,3,34,0,4,0,4,20,67,225,400,34,71,80,51,59,40,69,1123,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,9,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,3,0,4,7,3,12
Tumut - Tumbarumba,11302,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,18,0,0,0,0,0,4,4,7,0,0,0,3,0,0,3,23,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,5,5,0,0,0,0,0,0,0,17,0,15,15,12,6,0,0,3,0,0,0,0,0,0,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,4,14,3,3,5,0,3,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,3,0,3
Wagga Wagga,11303,0,0,3,15,3,8,25,10,4,0,0,3,3,0,9,85,0,0,0,3,9,22,52,86,16,17,17,10,31,38,37,334,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,22,0,3,0,4,0,15,29,19,3,27,4,0,5,0,3,106,0,0,3,5,0,10,22,4,0,4,10,3,0,3,5,63,0,66,40,18,3,15,13,7,3,0,3,0,0,0,15,191,0,9,16,4,3,0,0,0,0,0,0,0,0,0,0,35,0,0,0,3,15,13,11,8,0,0,3,3,4,3,4,74,3,0,4,6,9,7,59,235,58,113,102,64,37,16,37,749,0,7,3,0,6,4,8,3,0,0,0,0,0,0,3,32,0,0,0,0,8,3,18,6,4,11,12,13,7,7,3,87,0,0,0,0,0,3,27,9,0,3,0,0,3,0,0,43,0,6,7,10,8,3,13,13
Shoalhaven,11401,0,0,8,30,29,8,17,14,3,0,4,0,0,0,3,121,3,12,8,3,11,25,45,64,8,6,17,9,9,14,24,253,0,0,48,82,4,7,4,0,0,0,0,0,0,0,4,152,0,11,23,11,0,3,0,3,0,0,0,0,0,0,0,62,0,0,9,8,11,19,8,5,0,0,0,3,0,0,3,67,0,186,166,62,30,24,26,8,3,3,3,3,0,0,16,540,0,13,69,44,10,0,4,0,0,0,0,4,0,0,10,147,3,5,0,7,5,10,4,0,3,0,0,0,0,0,4,51,0,18,12,22,7,4,33,72,5,13,24,33,11,8,15,276,0,13,4,0,7,4,11,9,0,3,3,0,5,3,6,75,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,15,0,0,0,4,0,0,4,5,0,0,3,0,0,0,10,27,0,4,24,46,19,21,12,17
Southern Highlands,11402,0,3,24,20,15,23,23,3,3,0,0,3,0,0,0,114,3,4,6,3,8,20,16,23,4,8,8,20,40,39,21,211,0,0,11,22,0,5,0,0,0,0,0,0,0,0,0,40,0,10,3,11,0,0,0,0,0,0,0,0,0,0,3,33,0,3,9,6,10,9,5,3,0,7,0,0,0,0,3,56,0,88,67,23,24,17,11,15,3,0,0,5,0,3,5,265,0,8,26,12,8,7,0,3,0,0,0,8,0,0,4,76,0,3,0,7,9,9,9,0,0,0,5,4,13,9,3,72,0,7,5,18,4,15,26,73,3,3,3,4,17,7,4,198,0,7,0,0,4,9,6,5,0,0,0,0,0,0,3,40,0,0,0,0,0,3,0,4,0,0,3,0,5,0,0,17,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,3,19,29,8,27,6,8
Baulkham Hills,11501,3,3,15,22,28,38,60,24,0,13,5,18,15,13,12,262,5,29,77,43,163,1528,3001,1856,285,320,353,362,346,156,309,8830,0,10,66,161,14,45,15,0,0,0,0,0,0,0,10,321,0,24,52,140,33,158,80,42,3,20,22,8,3,3,13,598,4,0,13,27,111,297,186,38,3,0,8,8,3,8,14,711,0,138,70,68,57,42,65,31,3,7,7,11,10,10,23,541,0,27,117,79,14,8,11,3,0,3,0,3,0,0,3,267,0,8,22,84,335,1277,478,131,15,15,18,36,34,13,27,2496,3,14,20,260,319,1329,2256,1069,126,132,129,151,159,113,120,6210,3,6,12,31,135,183,382,83,9,15,25,13,14,16,20,946,0,3,3,36,131,396,392,324,88,103,66,46,55,18,32,1679,0,0,0,17,20,29,50,14,3,0,0,0,0,5,0,145,0,11,24,84,50,96,62,55
Dural - Wisemans Ferry,11502,0,3,3,14,6,3,12,7,0,0,0,0,0,0,3,57,3,12,16,3,13,60,76,83,8,9,5,23,4,13,4,327,0,0,16,33,3,3,5,0,0,0,0,0,0,0,3,65,0,9,3,7,6,10,6,0,0,0,0,0,0,0,0,39,0,0,6,8,9,21,3,0,0,0,0,0,0,0,0,50,0,33,29,23,14,8,9,4,0,0,3,0,0,0,3,127,0,5,8,14,4,0,0,0,4,0,0,0,0,0,3,38,0,0,0,4,16,40,29,8,0,0,3,0,0,0,0,105,0,0,0,24,8,41,57,29,5,6,10,3,0,0,3,190,0,0,0,3,4,10,5,3,0,0,0,0,0,0,0,34,0,0,0,9,12,39,14,7,0,3,0,0,0,0,0,86,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,3,12,15,27,6,6
Hawkesbury,11503,0,0,3,6,5,0,4,0,0,0,0,0,0,0,0,30,0,3,3,3,6,7,14,6,0,4,0,3,0,0,3,45,0,4,3,12,0,3,0,0,0,0,0,0,0,0,0,27,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,13,0,32,30,24,17,5,4,3,0,0,0,4,3,0,0,124,0,3,7,12,0,0,0,0,0,0,0,0,0,0,0,27,0,0,5,3,0,3,3,0,0,0,0,0,0,0,0,14,0,0,3,11,3,12,5,3,0,0,0,0,0,0,0,34,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,4,17,16,4
Rouse Hill - McGraths Hill,11504,0,0,0,0,4,10,20,7,0,3,0,0,0,0,6,54,0,4,4,0,12,83,230,191,17,29,26,30,32,11,26,701,0,0,19,42,3,7,0,0,0,0,0,0,0,0,4,82,0,4,3,18,11,38,25,11,3,3,0,0,0,0,3,124,0,0,0,6,20,58,36,8,0,0,0,3,0,0,0,146,0,34,25,13,7,3,8,7,0,0,0,0,4,4,3,114,0,3,8,11,0,0,0,0,0,0,0,0,0,0,3,32,0,0,3,3,12,48,23,3,0,6,8,0,0,0,0,107,0,3,3,24,27,137,286,164,26,25,26,12,5,5,18,764,0,0,0,9,17,24,63,11,10,3,0,3,0,0,0,146,0,0,0,3,9,57,64,56,16,15,9,4,4,0,3,233,0,0,0,3,0,11,23,0,0,0,0,3,0,0,0,49,0,0,4,11,7,25,12,22
Blacktown,11601,0,4,6,11,7,17,21,7,4,0,8,3,0,9,4,103,0,4,32,23,93,584,725,652,75,93,80,119,72,52,72,2671,0,13,77,248,30,74,97,0,0,0,3,0,0,0,12,554,0,18,33,147,51,204,145,69,16,19,42,14,13,3,12,781,4,0,4,35,198,887,736,298,62,59,58,40,25,29,60,2491,0,177,87,51,39,20,38,15,0,3,3,8,3,0,17,465,0,17,137,151,27,12,8,6,4,5,8,4,3,0,9,395,0,0,3,26,89,194,78,16,6,5,4,9,11,3,19,469,0,7,11,135,130,701,2687,5006,393,488,675,993,864,565,387,13038,0,6,7,23,74,121,231,77,5,7,11,12,13,8,24,610,0,0,0,14,29,107,150,91,51,44,41,24,22,6,14,592,0,0,0,11,20,30,101,39,4,24,7,0,11,3,13,264,0,0,17,74,22,47,27,22
Blacktown - North,11602,0,0,0,11,16,17,25,28,3,3,0,4,9,14,10,148,0,7,18,9,29,253,465,327,46,74,49,50,66,38,61,1490,0,0,22,79,18,29,18,0,0,0,0,0,0,0,5,174,3,4,20,79,22,105,90,42,0,11,14,10,11,3,11,437,0,0,0,8,104,486,580,169,22,24,19,7,15,7,38,1480,0,78,28,30,17,17,33,5,3,3,3,5,3,3,3,247,0,11,35,28,6,3,0,0,0,0,0,0,0,0,0,91,0,0,0,6,67,139,97,24,3,3,11,5,8,5,9,376,0,3,7,84,148,949,3485,3063,255,249,323,261,285,214,235,9564,0,0,0,18,42,90,256,81,6,12,4,0,9,3,13,537,0,0,0,10,42,136,264,124,39,29,27,15,14,10,18,713,0,0,0,0,3,28,45,15,4,5,3,4,0,0,10,115,0,0,7,40,13,42,32,48
