sa3_code16,sme_usl_ad_5_yr_ago_as_2016_m,sme_usl_ad_5_yr_ago_as_2016_f,sme_usl_ad_5_yr_ago_as_2016_p,dif_usl_ad_5_yr_ago_sme_sa2_m,dif_usl_ad_5_yr_ago_sme_sa2_f,dif_usl_ad_5_yr_ago_sme_sa2_p,dif_us_ad_5_ago_dif_sa2_nsw_m,dif_us_ad_5_ago_dif_sa2_nsw_f,dif_us_ad_5_ago_dif_sa2_nsw_p,dif_us_ad_5_ago_dif_sa2_vic_m,dif_us_ad_5_ago_dif_sa2_vic_f,dif_us_ad_5_ago_dif_sa2_vic_p,dif_us_ad_5_ago_dif_sa2_qld_m,dif_us_ad_5_ago_dif_sa2_qld_f,dif_us_ad_5_ago_dif_sa2_qld_p,dif_us_ad_5_ago_dif_sa2_sa_m,dif_us_ad_5_ago_dif_sa2_sa_f,dif_us_ad_5_ago_dif_sa2_sa_p,dif_us_ad_5_ago_dif_sa2_wa_m,dif_us_ad_5_ago_dif_sa2_wa_f,dif_us_ad_5_ago_dif_sa2_wa_p,dif_us_ad_5_ago_dif_sa2_tas_m,dif_us_ad_5_ago_dif_sa2_tas_f,dif_us_ad_5_ago_dif_sa2_tas_p,dif_us_ad_5_ago_dif_sa2_nt_m,dif_us_ad_5_ago_dif_sa2_nt_f,dif_us_ad_5_ago_dif_sa2_nt_p,dif_us_ad_5_ago_dif_sa2_act_m,dif_us_ad_5_ago_dif_sa2_act_f,dif_us_ad_5_ago_dif_sa2_act_p,dif_us_ad_5_ago_dif_sa2_ot_m,dif_us_ad_5_ago_dif_sa2_ot_f,dif_us_ad_5_ago_dif_sa2_ot_p,dif_us_ad_5_ago_dif_sa2_tot_m,dif_us_ad_5_ago_dif_sa2_tot_f,dif_us_ad_5_ago_dif_sa2_tot_p,difnt_usl_add_5_yr_ago_os_m,difnt_usl_add_5_yr_ago_os_f,difnt_usl_add_5_yr_ago_os_p,difnt_usl_add_5_yr_ago_ns_m,difnt_usl_add_5_yr_ago_ns_f,difnt_usl_add_5_yr_ago_ns_p,difnt_usl_add_5_yr_ago_tot_m,difnt_usl_add_5_yr_ago_tot_f,difnt_usl_add_5_yr_ago_tot_p,n_stated_m,n_stated_f,n_stated_p,tot_m,tot_f,tot_p,sa3_name16
10304,14111,14442,28553,2872,3139,6015,5802,6365,12166,139,136,278,285,328,612,46,38,88,99,105,203,24,38,62,26,24,49,50,68,119,0,0,3,6472,7097,13573,472,541,1011,143,122,259,9958,10901,20859,2056,2037,4093,26119,27382,53502,Orange
10401,13543,13796,27344,2928,3258,6186,3156,3367,6524,143,161,298,918,970,1890,39,30,68,105,99,202,28,26,56,73,63,135,39,32,71,3,0,3,4495,4755,9247,205,247,443,138,132,271,7765,8388,16153,2300,2024,4324,23614,24209,47818,Clarence Valley
10402,20779,21608,42384,3962,4451,8413,7836,8720,16553,458,542,1001,1179,1117,2291,116,113,222,209,242,449,79,82,161,92,105,202,98,104,200,0,0,0,10070,11019,21086,999,1233,2231,313,362,678,15349,17064,32414,3184,3358,6545,39309,42029,81336,Coffs Harbour
10501,6649,6138,12791,1288,1377,2665,1268,1295,2567,71,59,128,180,204,383,28,31,61,46,29,78,21,30,52,23,19,41,6,10,21,3,0,3,1644,1676,3322,100,160,260,52,45,97,3092,3253,6344,1689,1556,3245,11423,10948,22379,Bourke - Cobar - Coonamble
10502,5978,6117,12094,1250,1461,2707,514,549,1069,97,107,205,93,96,187,204,230,440,50,50,97,27,18,45,28,20,45,10,13,27,0,0,0,1022,1094,2120,91,90,177,53,57,114,2425,2692,5114,964,884,1846,9362,9692,19057,Broken Hill and Far West
10503,17288,17731,35024,3254,3744,7003,6243,6616,12865,145,186,325,363,432,796,42,48,92,90,84,174,21,16,30,36,52,85,53,39,100,0,0,0,7000,7470,14470,448,560,1008,173,138,303,10878,11907,22784,3647,3257,6908,31820,32892,64714,Dubbo
10601,22959,22702,45657,4862,5182,10047,7394,7934,15331,165,127,300,611,597,1207,58,43,99,138,130,263,31,23,61,54,43,97,43,27,71,0,0,0,8490,8940,17425,326,376,696,219,254,473,13890,14753,28640,4146,3419,7562,40995,40879,81871,Lower Hunter
10602,17704,18202,35900,3434,3739,7169,8759,9684,18442,142,152,292,449,525,973,71,78,149,71,69,143,22,30,52,67,76,144,51,59,109,0,3,3,9646,10671,20312,417,535,954,210,176,382,13705,15119,28821,1934,1957,3894,33340,35277,68613,Maitland
10603,17795,18153,35950,3937,4128,8071,6970,7205,14181,258,248,512,568,530,1097,112,92,205,129,116,248,55,59,109,115,129,245,115,97,215,0,0,0,8328,8478,16802,388,478,862,195,223,418,12849,13309,26154,2725,2743,5466,33367,34207,67571,Port Stephens
10604,7509,7348,14853,1923,1959,3883,2397,2668,5057,60,62,125,269,256,516,24,14,40,44,50,92,9,7,15,18,12,31,4,7,9,0,0,0,2813,3078,5889,274,277,558,86,85,176,5101,5406,10507,1511,1229,2742,14122,13977,28096,Upper Hunter
