sa3_code16,i_4000more_1aw_othnw,i_4000more_bnw,i_4000more_lfsta_ns,i_4000more_tot,part_inc_stated_be_wft,part_inc_stated_be_wpt,part_inc_stated_be_baw,part_inc_stated_1eft_othpt,part_inc_stated_1eft_othaw,part_inc_stated_1eft_othnw,part_inc_stated_1ept_othaw,part_inc_stated_1ept_othnw,part_inc_stated_1aw_othnw,part_inc_stated_bnw,part_inc_stated_lfsta_ns,part_inc_stated_tot,all_inc_ns_be_wft,all_inc_ns_be_wpt,all_inc_ns_be_baw,all_inc_ns_1eft_othpt,all_inc_ns_1eft_othaw,all_inc_ns_1eft_othnw,all_inc_ns_1ept_othaw,all_inc_ns_1ept_othnw,all_inc_ns_1aw_othnw,all_inc_ns_bnw,all_inc_ns_lfsta_ns,all_inc_ns_tot,tot_be_wft,tot_be_wpt,tot_be_baw,tot_1eft_othpt,tot_1eft_othaw,tot_1eft_othnw,tot_1ept_othaw,tot_1ept_othnw,tot_1aw_othnw,tot_bnw,tot_lfsta_ns,tot_tot,sa3_name16
40205,3,8,0,873,207,33,6,224,14,92,12,43,12,64,505,1209,14,0,5,14,0,7,0,0,3,11,22,82,2496,453,76,4272,418,1947,129,544,93,752,545,11722,Tea Tree Gully
40103,8,19,0,1668,115,22,0,116,10,60,0,19,7,25,436,808,5,3,0,6,3,3,0,0,0,3,6,32,1249,281,33,1844,144,989,36,270,40,340,444,5674,Burnside
40601,0,6,0,349,108,24,3,111,15,50,6,23,4,30,389,767,3,0,0,5,4,0,0,0,3,16,45,78,1035,252,55,1865,188,859,87,253,74,394,451,5506,Eyre Peninsula and South West
40602,0,0,0,184,56,9,3,45,3,32,0,11,7,39,197,399,0,0,4,0,0,5,0,3,0,6,29,58,436,84,32,599,83,408,20,135,42,281,241,2364,Outback - North and East
40701,0,6,0,163,74,39,3,99,4,37,8,36,6,41,272,631,6,3,6,6,0,3,0,3,0,0,12,33,644,324,51,1409,129,608,73,342,64,378,298,4313,Fleurieu - Kangaroo Island
40702,0,6,0,305,134,13,7,170,16,74,6,14,3,31,354,819,7,0,4,14,3,0,0,5,0,7,19,61,1356,285,77,2459,220,1036,91,317,75,409,393,6721,Limestone Coast
40703,3,10,0,216,128,35,9,164,8,57,10,30,9,73,343,848,8,4,3,11,5,6,0,3,3,16,13,70,1280,290,73,2077,194,1047,88,348,89,648,375,6500,Murray and Mallee
50101,4,7,3,400,99,30,6,117,12,43,8,24,6,22,700,1067,6,0,0,7,0,3,0,3,0,3,12,44,849,370,61,1868,136,875,118,328,76,278,726,5690,Augusta - Margaret River - Busselton
50102,15,12,0,1074,183,32,11,266,21,146,14,47,23,75,1182,2003,13,3,6,10,4,8,3,0,0,12,33,102,1777,415,105,3623,343,2449,173,540,218,743,1242,11632,Bunbury
50103,3,4,0,129,55,13,5,61,3,25,4,9,4,20,196,395,3,0,0,3,0,0,0,0,0,9,10,25,376,115,35,672,50,371,29,119,41,155,207,2164,Manjimup
