sa3_name16,sa3_code16,p_85y_ov_no_udw,p_85y_ov_udw_notstated,p_85y_ov_total,p_tot_udw_5_hrs_less,p_tot_udw_5_14_hrs,p_tot_udw_15_29_hrs,p_tot_udw_30_hrs_more,p_tot_no_udw,p_tot_udw_notstated,p_tot_total
Meander Valley - West Tamar,60202,195,80,456,3326,4735,2733,2365,3682,1821,18665
North East,60203,326,154,728,5143,7437,4356,3908,6597,3411,30849
Central Highlands (Tas.),60301,49,23,125,1596,2235,1253,1107,2014,984,9191
Huon - Bruny Island,60302,137,55,298,2728,4332,2454,2035,2748,1519,15817
South East Coast,60303,53,52,172,864,1452,887,747,1162,782,5887
Devonport,60402,491,209,1083,6734,9293,4906,4229,8087,3257,36508
West Coast,60403,108,53,233,2461,3487,1941,1773,2836,1457,13955
Darwin City,70101,87,27,166,6027,5691,1629,1017,4736,3170,22269
Darwin Suburbs,70102,155,47,309,9498,11443,4224,2996,9310,5208,42671
Litchfield,70103,19,15,63,3268,4676,1963,1483,3414,4549,19349
Prospect - Walkerville,40106,387,85,787,5849,6944,2852,1686,4671,1472,23476
Holdfast Bay,40301,800,248,1635,7085,8599,3528,2073,5746,2186,29217
Marion,40302,1394,355,2811,17852,21820,9124,6125,16045,4490,75460
Burnie - Ulverstone,60401,564,223,1207,7093,10066,5262,4558,8791,3439,39213
Palmerston,70104,41,14,85,5865,7235,2517,1911,4808,2686,25016
Barkly,70202,9,5,17,1093,921,307,178,1048,616,4156
Daly - Tiwi - West Arnhem,70203,13,5,36,2515,3079,1354,825,2332,1900,11998
East Arnhem,70204,0,0,8,2674,2208,820,642,1647,1306,9295
Katherine,70205,27,20,56,3569,2888,1155,743,2692,2872,13906
Belconnen,80101,540,293,1398,19163,24442,10029,5833,13575,4958,78013
Canberra East,80103,4,5,17,195,273,86,53,205,639,1455
Alice Springs,70201,96,28,195,6082,7582,2994,1507,5174,5016,28350
Gungahlin,80104,75,32,210,14060,17047,6248,4033,9646,2933,53975
North Canberra,80105,350,206,1058,13401,14489,4405,2120,8073,3917,46406
South Canberra,80106,288,244,881,6372,7488,2578,1372,3152,2102,23075
Tuggeranong,80107,311,232,923,16901,21883,8990,5281,11463,3950,68469
Weston Creek,80108,176,183,586,4228,6060,2731,1501,2543,1296,18358
Woden Valley,80109,449,147,1076,6897,8986,3904,2140,4701,1978,28604
Molonglo,80110,6,0,3,1036,1238,360,228,435,314,3601
Urriarra - Namadgi,80111,0,0,3,105,161,66,30,52,56,464
Christmas Island,90101,3,0,3,242,299,94,86,311,500,1526
Cocos (Keeling) Islands,90102,0,0,0,70,72,35,30,156,62,430
Jervis Bay,90103,0,0,0,55,59,21,22,76,85,312
Norfolk Island,90104,16,9,45,260,456,218,158,224,130,1450
