sa3_name16,sa3_code16,h_w_in_ps_oo_ds_sh,h_w_in_ps_oo_ds_sdrtht,h_w_in_ps_oo_ds_fa,h_w_in_ps_oo_ds_od_c,h_w_in_ps_oo_ds_od_ch,h_w_in_ps_oo_ds_od_ih_t_so,h_w_in_ps_oo_od_hf_a_so,h_w_in_ps_oo_ds_od_tot,h_w_in_ps_oo_ds_ns,h_w_in_ps_oo_tot,h_w_in_ps_m_ds_sh,h_w_in_ps_m_ds_sdrtht,h_w_in_ps_m_ds_fa,h_w_in_ps_m_ds_od_c,h_w_in_ps_m_ds_od_ch,h_w_in_ps_m_ds_od_ih_t_so,h_w_in_ps_m_od_hf_a_so,h_w_in_ps_m_ds_od_tot,h_w_in_ps_m_ds_ns,h_w_in_ps_m_tot,h_w_in_ps_rrea_ds_sh,h_w_in_ps_rrea_ds_sdrtht,h_w_in_ps_rrea_ds_fa,h_w_in_ps_rrea_ds_od_c,h_w_in_ps_rrea_ds_od_ch,h_w_in_ps_rrea_ds_od_ih_t_so,h_w_in_ps_rrea_od_hf_a_so,h_w_in_ps_rrea_ds_od_tot,h_w_in_ps_rrea_ds_ns,h_w_in_ps_rrea_tot,h_w_in_ps_rha_ds_sh,h_w_in_ps_rha_ds_sdrtht,h_w_in_ps_rha_ds_fa,h_w_in_ps_rha_ds_od_c,h_w_in_ps_rha_ds_od_ch,h_w_in_ps_rha_ds_od_ih_t_so,h_w_in_ps_rha_od_hf_a_so,h_w_in_ps_rha_ds_od_tot,h_w_in_ps_rha_ds_ns,h_w_in_ps_rha_tot,h_w_in_ps_r_psh_ds_sh,h_w_in_ps_r_psh_ds_sdrtht,h_w_in_ps_r_psh_ds_fa,h_w_in_ps_r_psh_ds_od_c,h_w_in_ps_r_psh_ds_od_ch,h_w_in_ps_r_psh_ds_od_ih_t_so,h_w_in_ps_r_psh_od_hf_a_so,h_w_in_ps_r_psh_ds_od_tot,h_w_in_ps_r_psh_ds_ns,h_w_in_ps_r_psh_tot,h_w_in_ps_r_hcc_ds_sh,h_w_in_ps_r_hcc_ds_sdrtht,h_w_in_ps_r_hcc_ds_fa,h_w_in_ps_r_hcc_ds_od_c,h_w_in_ps_r_hcc_ds_od_ch,h_w_in_ps_r_hcc_ds_od_ih_t_so,h_w_in_ps_r_hcc_od_hf_a_so,h_w_in_ps_r_hcc_ds_od_tot,h_w_in_ps_r_hcc_ds_ns,h_w_in_ps_r_hcc_tot,h_w_in_ps_r_olt_ds_sh,h_w_in_ps_r_olt_ds_sdrtht,h_w_in_ps_r_olt_ds_fa,h_w_in_ps_r_olt_ds_od_c,h_w_in_ps_r_olt_ds_od_ch,h_w_in_ps_r_olt_ds_od_ih_t_so,h_w_in_ps_r_olt_od_hf_a_so,h_w_in_ps_r_olt_ds_od_tot,h_w_in_ps_r_olt_ds_ns,h_w_in_ps_r_olt_tot,h_w_in_ps_r_lns_ds_sh,h_w_in_ps_r_lns_ds_sdrtht,h_w_in_ps_r_lns_ds_fa,h_w_in_ps_r_lns_ds_od_c,h_w_in_ps_r_lns_ds_od_ch,h_w_in_ps_r_lns_ds_od_ih_t_so,h_w_in_ps_r_lns_od_hf_a_so,h_w_in_ps_r_lns_ds_od_tot,h_w_in_ps_r_lns_ds_ns,h_w_in_ps_r_lns_tot,h_w_in_ps_r_tot_ds_sh,h_w_in_ps_r_tot_ds_sdrtht,h_w_in_ps_r_tot_ds_fa,h_w_in_ps_r_tot_ds_od_c,h_w_in_ps_r_tot_ds_od_ch,h_w_in_ps_r_tot_ds_od_ih_t_so,h_w_in_ps_r_tot_od_hf_a_so,h_w_in_ps_r_tot_ds_od_tot,h_w_in_ps_r_tot_ds_ns,h_w_in_ps_r_tot_tot,h_w_in_ps_ott_ds_sh,h_w_in_ps_ott_ds_sdrtht,h_w_in_ps_ott_ds_fa,h_w_in_ps_ott_ds_od_c,h_w_in_ps_ott_ds_od_ch,h_w_in_ps_ott_ds_od_ih_t_so,h_w_in_ps_ott_od_hf_a_so,h_w_in_ps_ott_ds_od_tot,h_w_in_ps_ott_ds_ns,h_w_in_ps_ott_tot,h_w_in_ps_t_ns_ds_sh,h_w_in_ps_t_ns_ds_sdrtht,h_w_in_ps_t_ns_ds_fa,h_w_in_ps_t_ns_ds_od_c,h_w_in_ps_t_ns_ds_od_ch,h_w_in_ps_t_ns_ds_od_ih_t_so,h_w_in_ps_t_ns_od_hf_a_so,h_w_in_ps_t_ns_ds_od_tot,h_w_in_ps_t_ns_ds_ns,h_w_in_ps_t_ns_tot,h_w_in_ps_tot_ds_sh,h_w_in_ps_tot_ds_sdrtht,h_w_in_ps_tot_ds_fa,h_w_in_ps_tot_ds_od_c,h_w_in_ps_tot_ds_od_ch,h_w_in_ps_tot_ds_od_ih_t_so,h_w_in_ps_tot_od_hf_a_so,h_w_in_ps_tot_ds_od_tot,h_w_in_ps_tot_ds_ns,h_w_in_ps_tot_tot,oh_oo_ds_sh,oh_oo_ds_sdrtht,oh_oo_ds_fa,oh_oo_ds_od_c,oh_oo_ds_od_ch,oh_oo_ds_od_ih_t_so,oh_oo_od_hf_a_so,oh_oo_ds_od_tot,oh_oo_ds_ns,oh_oo_ds_tot,oh_m_ds_sh,oh_m_ds_sdrtht,oh_m_ds_fa,oh_m_ds_od_c,oh_m_ds_od_ch,oh_m_ds_od_ih_t_so,oh_m_od_hf_a_so,oh_m_ds_od_tot,oh_m_ds_ns,oh_m_ds_tot,oh_rrea_ds_sh,oh_rrea_ds_sdrtht,oh_rrea_ds_fa,oh_rrea_ds_od_c,oh_rrea_ds_od_ch,oh_rrea_ds_od_ih_t_so,oh_rrea_od_hf_a_so,oh_rrea_ds_od_tot,oh_rrea_ds_ns,oh_rrea_ds_tot,oh_rha_ds_sh,oh_rha_ds_sdrtht,oh_rha_ds_fa,oh_rha_ds_od_c,oh_rha_ds_od_ch,oh_rha_ds_od_ih_t_so,oh_rha_od_hf_a_so,oh_rha_ds_od_tot,oh_rha_ds_ns,oh_rha_ds_tot,oh_r_psh_ds_sh,oh_r_psh_ds_sdrtht,oh_r_psh_ds_fa,oh_r_psh_ds_od_c,oh_r_psh_ds_od_ch,oh_r_psh_ds_od_ih_t_so,oh_r_psh_od_hf_a_so,oh_r_psh_ds_od_tot,oh_r_psh_ds_ns,oh_r_psh_ds_tot,oh_r_hcc_ds_sh,oh_r_hcc_ds_sdrtht,oh_r_hcc_ds_fa,oh_r_hcc_ds_od_c,oh_r_hcc_ds_od_ch,oh_r_hcc_ds_od_ih_t_so,oh_r_hcc_od_hf_a_so,oh_r_hcc_ds_od_tot,oh_r_hcc_ds_ns,oh_r_hcc_ds_tot,oh_r_olt_ds_sh,oh_r_olt_ds_sdrtht,oh_r_olt_ds_fa,oh_r_olt_ds_od_c,oh_r_olt_ds_od_ch,oh_r_olt_ds_od_ih_t_so,oh_r_olt_od_hf_a_so,oh_r_olt_ds_od_tot,oh_r_olt_ds_ns,oh_r_olt_ds_tot,oh_r_lns_ds_sh,oh_r_lns_ds_sdrtht,oh_r_lns_ds_fa,oh_r_lns_ds_od_c,oh_r_lns_ds_od_ch,oh_r_lns_ds_od_ih_t_so,oh_r_lns_od_hf_a_so,oh_r_lns_ds_od_tot,oh_r_lns_ds_ns,oh_r_lns_ds_tot
Carindale,30301,30,0,0,10,0,0,0,10,0,39,76,10,0,0,0,0,0,0,0,90,71,28,17,0,0,0,0,0,3,118,39,3,3,0,0,0,0,0,0,49,12,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,126,43,19,0,0,0,0,0,3,190,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,3,0,12,240,52,27,10,0,0,0,10,3,328,5048,468,183,80,3,0,0,81,4,5791,5250,848,237,7,0,0,3,6,12,6352,1759,1186,445,0,0,0,5,9,18,3413,296,152,61,0,0,0,0,0,0,505,553,259,67,0,0,0,0,0,0,879,15,16,10,0,0,0,0,0,0,42,36,20,4,13,0,0,0,13,0,68,50,10,3,3,0,0,0,3,0,62
Holland Park - Yeronga,30302,40,0,6,0,0,0,0,0,0,51,81,9,20,0,0,0,0,0,0,110,80,32,94,0,0,0,0,0,0,204,29,10,48,0,0,0,0,0,0,92,30,3,17,0,0,0,0,0,0,48,3,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,7,144,50,164,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,15,270,65,202,0,0,0,0,0,0,541,4315,265,1066,0,0,0,20,20,18,5682,5591,606,1519,0,0,0,51,55,20,7790,2205,1214,4867,0,0,0,31,33,67,8389,248,253,961,0,0,0,0,0,3,1459,987,230,1083,0,0,0,20,23,15,2331,34,24,103,0,0,0,0,0,3,166,42,17,70,0,0,0,0,0,0,133,59,7,48,0,0,0,0,0,3,118
Mt Gravatt,30303,42,0,0,3,0,0,0,3,0,46,95,3,4,0,0,0,0,0,0,100,98,16,14,0,0,0,0,0,0,134,43,5,10,0,0,0,0,0,4,65,24,7,3,0,0,0,0,0,0,35,3,0,0,0,0,0,0,0,0,5,0,0,0,3,15,0,0,16,0,15,3,0,0,0,0,0,0,0,0,3,176,28,26,3,15,0,0,16,8,258,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,14,317,33,32,3,15,0,0,20,11,418,6953,367,165,17,47,0,3,67,14,7566,6874,764,302,7,0,0,4,8,24,7968,2220,1042,830,0,3,0,0,3,16,4114,421,73,288,0,0,0,0,0,0,787,1056,338,218,0,3,0,0,8,15,1625,35,59,52,0,0,0,0,0,0,155,84,48,39,54,215,0,0,271,4,453,68,11,18,0,0,0,0,0,0,100
Nathan,30304,29,0,0,0,0,0,0,0,0,29,66,3,3,0,0,0,0,0,0,69,64,9,16,0,0,0,0,0,0,87,10,9,8,0,0,0,0,0,0,28,17,7,4,0,0,0,0,0,0,24,3,0,7,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,102,21,32,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,3,15,201,25,39,0,0,0,0,0,3,269,3655,109,84,0,0,0,0,0,8,3849,4120,264,192,0,0,0,0,0,15,4586,1442,491,588,0,0,0,5,5,15,2540,165,159,178,0,0,0,0,0,0,506,711,118,175,0,0,0,0,0,3,1005,26,14,30,0,0,0,0,0,0,71,39,27,21,0,0,0,0,0,0,86,33,5,5,0,0,0,0,0,0,53
Rocklea - Acacia Ridge,30305,30,0,0,0,0,0,0,0,0,30,113,9,0,0,0,0,0,0,0,116,108,24,0,0,0,0,0,0,0,130,53,12,3,0,0,0,0,0,0,67,37,6,3,0,0,0,0,0,0,42,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,4,204,37,5,0,0,0,3,0,0,254,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,20,360,45,7,3,0,0,3,4,0,416,4258,228,12,23,3,3,3,29,0,4520,7155,747,24,0,0,0,3,3,14,7940,2328,1146,89,0,0,0,0,0,4,3564,299,80,15,0,0,0,0,0,0,394,672,256,22,0,0,0,0,0,7,957,25,37,0,0,0,0,0,0,0,71,93,46,3,5,13,0,0,25,0,167,44,16,0,0,0,0,0,0,0,53
Mudgeeraba - Tallebudgera,30905,27,0,0,0,0,0,0,0,0,35,102,12,0,0,0,0,0,0,0,114,35,15,0,0,0,0,0,0,0,49,11,0,5,0,0,0,0,0,0,14,15,10,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,60,23,5,3,0,0,0,3,0,95,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,201,40,5,3,0,0,0,3,0,251,2521,233,6,3,0,0,0,9,0,2768,4623,479,15,0,0,4,0,8,9,5126,762,417,11,0,0,0,0,0,4,1196,39,29,5,0,0,0,0,0,0,76,410,204,7,6,0,0,0,6,4,626,6,11,0,0,0,0,0,0,0,12,36,28,0,14,0,0,0,13,0,82,35,5,0,0,0,0,0,0,0,43
Nerang,30906,71,10,0,3,3,0,0,9,0,85,199,11,8,0,0,0,0,0,0,213,105,65,8,0,0,0,0,0,0,178,30,12,0,0,0,0,0,0,0,40,31,16,4,0,0,0,0,0,0,50,5,3,0,0,0,0,0,0,0,11,4,3,0,3,3,0,0,6,0,17,0,0,0,0,0,0,0,0,0,0,176,101,18,3,3,0,0,6,0,295,3,0,0,0,0,0,0,0,0,3,18,3,0,0,0,0,0,0,0,27,466,126,21,3,7,0,0,13,0,627,4112,930,147,88,47,0,0,133,4,5320,8403,965,169,3,0,3,0,11,11,9554,1955,1549,303,0,0,0,0,0,4,3814,274,134,87,0,0,0,0,0,0,494,744,530,92,0,0,0,0,0,8,1379,16,42,47,0,0,0,0,0,0,108,77,65,10,199,34,0,0,237,0,382,40,27,12,4,0,0,0,3,0,81
Ormeau - Oxenford,30907,79,5,3,0,0,0,0,3,0,89,300,27,0,0,0,0,0,0,0,324,406,120,16,0,0,0,0,0,4,545,14,4,0,0,0,0,0,0,0,21,53,15,0,0,0,0,0,0,0,68,3,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,3,502,135,17,0,0,0,0,3,7,660,0,3,0,0,0,0,0,0,0,6,26,12,0,0,0,0,0,0,0,32,900,183,18,3,7,0,0,5,4,1112,5957,931,187,50,109,0,0,166,21,7262,13576,1316,166,9,21,6,0,29,31,15116,7762,2529,443,0,9,0,0,10,35,10779,141,83,9,0,0,0,0,0,3,237,1189,564,91,4,6,0,0,11,7,1859,34,31,10,0,0,0,0,0,0,72,145,64,14,9,5,0,0,18,6,241,76,18,3,0,0,0,0,5,5,108
Outback - South,31503,134,0,0,3,0,0,0,3,0,144,156,0,0,0,0,0,0,0,0,155,75,0,3,0,0,0,0,0,0,75,128,19,10,0,0,0,0,0,0,158,115,0,0,0,0,0,0,0,3,120,25,6,5,0,0,0,0,0,0,36,45,0,0,0,0,0,0,0,0,56,18,0,0,0,0,0,0,0,0,19,399,26,23,0,0,0,0,0,10,462,10,0,0,0,0,0,0,0,0,11,27,0,3,0,0,0,0,0,0,34,726,26,28,6,0,0,0,8,11,808,2195,5,6,116,3,3,6,129,31,2365,1324,0,0,10,0,3,10,22,15,1366,301,19,28,0,0,0,0,0,3,342,161,23,38,3,0,0,0,3,0,223,422,8,16,0,0,0,4,6,11,457,22,32,12,0,0,0,0,0,3,65,480,20,43,5,6,0,5,18,10,570,144,5,6,3,0,0,4,7,4,163
Buderim,31601,42,9,3,3,0,0,0,3,0,51,127,5,4,0,0,0,0,0,0,135,115,21,36,0,0,0,0,0,0,167,12,5,3,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,142,21,48,0,3,0,0,3,0,214,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,13,310,39,61,3,3,0,0,8,0,414,4372,984,244,11,39,0,0,48,12,5660,6221,255,161,4,0,0,0,7,21,6663,2315,485,760,0,0,0,0,0,10,3569,69,78,96,0,0,0,0,0,0,235,666,126,162,0,3,0,0,3,13,966,18,41,12,0,0,0,0,0,0,73,48,38,16,0,11,0,0,11,3,124,52,10,6,0,0,0,0,0,0,72
Caloundra,31602,85,15,8,3,0,0,0,4,0,100,187,3,8,0,0,0,0,0,0,194,212,34,49,0,0,0,0,0,0,298,46,7,10,0,0,0,0,0,0,62,46,7,8,0,0,0,0,0,0,55,3,0,0,0,0,0,0,0,0,6,5,0,6,0,3,0,0,3,0,8,3,0,0,0,0,0,0,0,0,3,312,50,76,0,3,0,0,3,3,436,7,0,0,0,0,0,0,0,0,5,14,0,4,0,0,0,0,0,0,24,594,64,89,4,3,0,0,6,3,763,7567,1700,1159,139,159,0,9,301,59,10794,7647,549,469,8,5,0,5,12,24,8704,3651,986,1523,0,0,0,8,6,13,6186,226,203,247,0,0,0,0,0,6,676,1119,314,455,0,0,0,4,12,19,1918,18,45,44,0,0,0,0,0,0,107,76,55,36,38,39,0,0,81,3,244,75,23,30,0,0,0,0,0,0,129
Maroochy,31603,51,3,10,4,0,0,0,3,0,64,116,15,14,0,0,0,0,0,0,146,94,49,98,0,0,0,0,0,4,243,14,20,7,0,0,0,0,0,0,40,35,14,22,0,0,0,0,0,0,66,0,0,4,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,6,149,83,135,0,0,0,0,0,3,367,3,0,0,0,0,0,0,0,0,3,10,4,7,0,0,0,0,0,0,14,317,105,172,4,3,0,0,8,3,600,3981,936,1321,191,44,4,0,235,31,6509,4266,812,891,4,4,3,3,13,10,5996,1808,1341,2411,0,0,0,5,13,37,5605,98,229,355,0,0,0,0,0,6,690,750,394,703,5,3,0,0,16,16,1872,9,19,15,0,0,0,0,0,0,51,53,44,80,24,15,0,3,38,4,218,48,30,36,6,0,0,0,5,0,129
Noosa,31605,36,3,0,0,0,0,0,0,0,41,58,4,0,0,0,0,0,0,0,64,65,19,13,0,0,0,0,0,0,100,17,0,0,0,0,0,0,0,0,21,14,4,3,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,101,28,16,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,202,32,18,0,0,0,0,0,0,260,4392,976,335,14,5,3,0,28,13,5745,3818,386,192,0,0,0,0,0,28,4432,1941,741,484,0,0,0,4,4,25,3200,128,38,109,0,0,0,0,0,0,273,585,254,149,0,0,0,3,3,14,1003,8,9,0,0,0,0,0,0,0,19,39,18,9,9,3,0,0,14,4,83,40,20,14,0,0,0,0,0,3,76
Sunshine Coast Hinterland,31606,50,0,0,5,3,0,0,4,0,59,181,0,0,0,0,0,0,0,0,184,88,13,0,0,0,0,0,0,0,99,13,3,0,0,0,0,0,0,0,18,59,0,0,0,0,0,0,0,0,63,3,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,4,0,5,6,0,0,0,0,0,0,0,0,9,174,13,3,0,3,0,0,9,3,203,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,17,421,21,3,4,3,3,3,14,5,463,6433,115,29,87,52,5,7,146,34,6761,6512,58,12,9,5,3,4,30,36,6642,1404,197,18,0,3,0,0,3,3,1630,76,35,26,0,0,0,0,0,0,133,1074,30,21,8,13,0,9,31,22,1182,10,9,8,0,0,0,0,0,0,29,127,0,3,20,32,0,0,60,8,198,106,3,0,3,0,0,0,6,0,119
Nambour,31607,55,0,0,0,0,0,0,0,0,59,190,3,0,0,0,0,0,0,0,195,109,22,14,0,0,0,0,0,0,146,28,14,5,0,0,0,0,0,0,43,43,4,3,0,0,0,0,0,0,51,4,0,4,0,0,0,0,0,0,12,7,0,0,7,4,0,0,13,0,20,3,0,0,0,0,0,0,0,0,4,190,44,29,12,5,0,0,15,3,277,8,0,3,0,0,0,0,0,0,11,9,0,4,0,0,0,0,3,0,13,446,48,35,8,5,0,0,20,3,557,4199,380,52,73,74,3,0,148,22,4798,5506,153,49,9,0,7,0,11,18,5736,1261,343,278,0,8,0,0,7,19,1901,100,110,111,0,0,0,0,0,0,313,732,56,77,0,11,0,3,12,12,892,18,19,37,0,0,0,0,0,0,75,50,12,9,74,71,0,0,147,0,217,43,4,14,4,0,0,0,3,0,66
Noosa Hinterland,31608,41,0,0,0,0,0,0,0,0,41,87,0,0,0,0,0,0,0,0,89,31,0,3,0,0,0,0,0,0,39,6,0,0,0,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,56,0,4,3,0,0,0,3,0,68,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,193,4,7,3,0,0,0,3,3,205,3016,15,18,22,0,20,0,39,14,3110,2976,14,19,3,0,10,0,21,9,3037,563,8,26,0,0,3,0,3,0,601,29,0,13,0,0,0,0,0,0,43,437,4,17,0,5,0,0,11,13,479,4,0,0,0,0,0,0,0,0,4,35,0,0,8,0,0,0,11,7,52,41,0,0,0,0,0,0,4,0,43
Charters Towers - Ayr - Ingham,31801,120,4,0,3,0,11,0,16,0,148,187,0,0,0,0,0,0,0,3,190,229,6,49,0,0,0,0,0,0,285,477,19,39,0,0,0,0,0,0,539,94,3,0,0,0,0,0,0,0,98,56,0,24,0,0,0,0,0,0,85,30,3,4,0,0,0,0,0,0,43,13,4,0,0,0,0,0,0,0,12,898,34,119,3,0,0,0,8,0,1061,10,0,0,0,0,3,0,4,0,10,44,0,13,0,0,0,0,0,0,59,1261,40,131,9,4,19,0,33,5,1468,5746,31,97,164,0,10,19,196,25,6092,3662,16,34,3,0,6,11,24,12,3744,1167,34,381,0,0,0,3,7,5,1590,124,15,71,0,0,0,0,0,0,214,889,12,72,3,0,0,9,13,12,1003,11,5,43,3,0,0,0,3,0,63,359,10,31,5,3,3,3,22,8,427,186,8,14,0,0,0,0,4,0,209
Townsville,31802,299,17,3,12,0,0,0,12,0,330,1123,19,17,0,0,0,0,0,3,1165,1218,281,146,3,0,0,0,3,5,1654,650,147,62,0,0,0,0,3,0,862,326,41,16,0,0,0,0,3,0,390,34,15,14,0,0,0,0,0,0,57,106,8,4,4,3,0,0,14,0,130,26,10,3,0,0,0,0,0,0,37,2349,504,242,7,6,0,3,21,10,3126,10,0,3,0,0,0,0,0,0,17,138,34,15,0,0,0,0,0,9,199,3923,570,279,24,9,0,3,37,27,4834,12998,743,521,272,63,11,5,352,43,14659,20725,610,499,25,6,15,8,52,51,21933,8545,3016,2360,7,8,0,0,16,43,13976,839,609,320,0,0,0,4,4,0,1774,3159,646,457,10,5,3,4,27,22,4306,64,62,85,0,0,0,0,0,0,217,1374,100,111,20,17,0,3,47,17,1643,189,44,34,0,3,0,0,6,7,274
Bundaberg,31901,201,3,4,6,4,0,0,13,0,224,373,8,0,0,0,0,0,0,0,374,412,40,47,0,0,0,0,0,3,500,108,49,22,0,0,0,0,0,0,181,153,11,11,0,0,0,0,0,0,176,10,9,4,0,0,0,0,0,0,27,26,4,5,0,4,0,0,6,0,41,9,3,0,0,0,0,0,3,0,15,723,109,91,3,6,0,0,7,3,939,8,0,0,0,0,0,0,0,0,3,48,6,0,0,0,0,0,0,0,54,1341,131,101,12,4,0,4,21,6,1603,10972,571,238,242,92,14,10,365,31,12171,8807,119,133,6,0,3,3,19,23,9102,3611,636,695,3,4,0,12,17,19,4976,318,339,164,0,0,0,0,0,3,819,1948,178,220,10,3,3,7,20,17,2382,27,54,66,0,0,0,0,0,0,144,247,40,46,61,30,0,8,105,14,447,162,17,24,4,0,0,4,8,3,208
Burnett,31902,177,0,0,3,0,0,0,3,0,179,242,0,0,0,0,0,0,5,0,245,289,12,18,0,0,0,0,0,0,319,299,10,15,0,0,0,0,4,3,333,124,0,3,0,0,0,0,0,0,129,39,0,9,0,0,0,0,0,0,48,26,4,0,3,0,0,0,3,0,30,15,0,3,0,0,0,0,0,0,18,793,23,48,3,0,0,4,9,5,880,4,0,0,0,0,0,0,0,0,4,40,3,3,0,0,0,0,0,0,48,1251,27,52,8,0,3,11,25,3,1362,6943,24,22,147,6,42,11,217,19,7225,4652,25,20,12,3,32,16,60,25,4773,1725,174,230,0,0,0,3,3,8,2138,113,53,65,0,0,0,0,0,0,234,1179,15,35,3,3,12,9,31,10,1265,28,13,44,0,0,0,0,0,0,87,316,4,27,42,20,12,4,71,4,431,176,5,13,10,3,0,3,14,3,209
Gympie - Cooloola,31903,132,0,3,4,4,0,0,12,0,142,228,0,0,0,0,0,0,3,0,232,205,23,10,0,0,0,0,0,0,228,26,3,4,0,0,0,0,0,0,38,104,0,3,0,3,0,0,3,3,119,5,6,3,0,0,0,0,0,0,11,16,0,0,3,0,0,0,3,0,19,7,0,0,0,0,0,0,0,0,11,362,35,15,3,3,0,0,10,7,423,3,0,0,0,0,0,0,0,0,4,25,3,0,0,0,0,0,0,0,30,748,36,24,9,8,0,3,22,7,833,6665,90,37,155,64,25,12,255,27,7072,5384,38,12,15,9,21,8,53,20,5501,1985,310,138,0,19,3,6,27,11,2472,119,116,40,0,0,0,0,0,3,272,1219,106,71,3,4,8,12,22,9,1428,14,28,30,0,0,0,0,0,0,67,144,21,32,19,6,5,3,32,7,237,99,11,8,3,3,3,0,5,0,124
Hervey Bay,31904,152,3,4,6,0,0,0,12,0,168,251,3,3,0,0,0,0,0,0,253,287,59,13,0,0,0,0,0,0,364,42,38,3,0,0,0,0,0,0,86,93,3,0,0,0,0,0,0,0,98,11,3,0,0,0,0,0,0,0,18,8,4,0,3,4,0,0,11,0,18,7,0,0,0,0,0,0,0,0,3,448,110,20,3,4,0,0,11,3,590,3,0,0,0,0,0,0,0,0,3,15,3,0,5,0,0,0,5,0,25,870,122,24,15,4,0,0,24,7,1040,7583,474,177,184,83,9,0,276,42,8552,4941,179,43,4,12,12,3,33,23,5222,2631,861,313,0,0,0,5,8,29,3837,177,316,15,0,0,0,0,0,0,499,986,211,65,6,0,0,3,15,24,1298,18,41,11,0,0,0,0,0,0,83,105,38,20,70,37,3,3,111,11,277,64,19,8,0,0,0,0,0,6,100
Brisbane Inner - North,30503,31,0,7,0,0,0,0,0,0,43,59,4,23,0,0,0,0,0,0,84,90,22,169,0,0,0,0,0,3,290,19,10,43,0,0,0,0,0,0,66,26,10,28,0,0,0,0,0,0,62,0,0,11,0,0,0,0,0,0,17,4,5,3,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,4,140,38,263,0,0,0,0,0,3,444,0,0,0,0,0,0,0,0,0,5,4,3,16,0,0,0,0,0,3,26,228,54,307,0,0,0,0,0,8,594,4890,419,1654,0,10,0,7,18,14,6992,5846,589,2630,3,4,0,13,14,35,9109,2348,1100,8373,0,0,0,12,11,57,11894,47,77,741,0,0,0,0,0,0,865,890,249,1727,0,0,0,3,3,17,2891,24,17,187,0,0,0,0,0,0,235,43,26,156,0,0,0,0,3,3,226,50,9,67,0,0,0,0,0,0,127
Brisbane Inner - West,30504,24,0,5,0,0,0,0,0,0,26,47,3,3,0,0,0,0,0,0,54,62,9,64,0,0,0,0,0,0,134,7,0,3,0,0,0,0,0,0,11,9,3,11,0,0,0,0,0,0,20,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,89,9,80,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,12,164,9,92,0,0,0,0,0,0,268,4051,217,903,3,3,0,3,15,11,5192,4910,228,1086,0,0,0,7,7,5,6243,2103,410,3450,0,0,0,20,20,25,6009,24,46,120,0,0,0,0,0,0,189,766,97,880,0,0,0,6,6,12,1751,27,0,51,0,0,0,0,0,0,85,35,6,53,0,0,0,0,0,6,99,35,3,26,0,0,0,0,0,0,64
