gml_id,sa3_name16,sa3_code16,intct_fam_no_otr_chld_pre_fam,step_fam_no_otr_chld_pre_fam,blnd_fam_no_otr_chld_pre_fam,intct_fam_othr_child_pres_fam,step_fam_othr_child_pres_fam,blnd_fam_othr_child_pres_fam,otr_cpl_fam_otr_chld_only_fam,tot_families
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bc4,Melton - Bacchus Marsh,"21304","19192","1251","848","259","27","21","86","21678"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bc5,Wyndham,"21305","29702","1638","1035","447","47","32","88","32996"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bc6,Frankston,"21401","13297","1318","738","153","31","9","61","15607"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bc7,Mornington Peninsula,"21402","14845","1327","685","113","17","9","69","17072"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bc8,Grampians,"21501","4796","358","294","40","12","3","58","5554"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bc9,Mildura,"21502","4627","423","262","55","9","6","33","5432"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bca,Murray River - Swan Hill,"21503","3164","204","154","37","0","0","30","3593"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bcb,Campaspe,"21601","3268","267","179","26","3","0","24","3770"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bcc,Moira,"21602","2379","189","130","22","3","4","20","2747"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bcd,Shepparton,"21603","5978","426","290","71","10","3","43","6822"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bce,Glenelg - Southern Grampians,"21701","3046","241","169","22","0","4","29","3503"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bcf,Colac - Corangamite,"21703","3224","230","173","25","0","0","19","3678"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bd0,Warrnambool,"21704","4674","313","219","28","6","3","36","5282"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bd1,Capalaba,"30101","8047","756","437","92","23","0","35","9390"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bd2,Cleveland - Stradbroke,"30102","8489","843","488","76","18","6","41","9964"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bd3,Wynnum - Manly,"30103","7757","694","372","70","16","6","24","8937"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bd4,Bald Hills - Everton Park,"30201","4880","345","176","55","3","4","11","5485"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bd5,Chermside,"30202","6955","505","251","81","5","9","21","7822"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bd6,Nundah,"30203","3599","319","115","51","4","4","6","4097"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bd7,Sandgate,"30204","6092","512","243","73","5","3","21","6962"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bd8,Carindale,"30301","5881","370","144","66","8","0","8","6474"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bd9,Holland Park - Yeronga,"30302","6282","406","151","47","8","5","22","6910"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bda,Mt Gravatt,"30303","7967","443","211","117","8","6","30","8773"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bdb,Nathan,"30304","4096","230","94","52","3","0","12","4493"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bdc,Rocklea - Acacia Ridge,"30305","7415","459","271","165","17","10","30","8362"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bdd,Mudgeeraba - Tallebudgera,"30905","4226","320","189","50","13","3","17","4821"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bde,Nerang,"30906","7124","717","453","106","16","10","42","8469"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bdf,Ormeau - Oxenford,"30907","13750","1327","946","192","35","16","52","16322"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5be0,Outback - South,"31503","1473","96","59","19","3","0","18","1661"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5be1,Stonnington - West,"20606","3777","255","67","19","0","0","12","4135"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5be2,Yarra,"20607","5497","374","88","35","3","0","11","6011"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5be3,Boroondara,"20701","20764","855","303","156","11","6","17","22119"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5be4,Manningham - West,"20702","11759","508","171","139","10","10","27","12624"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5be5,Whitehorse - West,"20703","11917","492","195","80","6","0","26","12715"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5be6,Bayside,"20801","12533","625","226","54","6","3","21","13462"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5be7,Darebin - North,"20902","9475","427","199","130","9","4","26","10264"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5be8,Nillumbik - Kinglake,"20903","9260","553","256","70","0","0","17","10155"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5be9,Whittlesea - Wallan,"20904","27932","1446","919","368","38","19","71","30793"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bea,Keilor,"21001","7301","365","164","59","6","3","19","7908"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5beb,Macedon Ranges,"21002","3752","207","139","29","4","0","12","4148"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bec,Buderim,"31601","5669","468","262","52","3","4","20","6477"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bed,Caloundra,"31602","7279","685","390","78","14","6","34","8490"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bee,Maroochy,"31603","4240","440","173","31","4","0","15","4917"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bef,Noosa,"31605","3577","323","145","15","3","0","11","4086"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bf0,Sunshine Coast Hinterland,"31606","4644","488","277","62","7","5","25","5509"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bf1,Glen Eira,"20802","17918","798","251","112","11","0","28","19126"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bf2,Kingston,"20803","13628","876","398","90","13","0","24","15027"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bf3,Stonnington - East,"20804","4853","197","59","27","0","0","3","5141"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bf4,Banyule,"20901","14743","723","314","106","9","0","34","15931"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bf5,Moreland - North,"21003","8447","338","188","74","7","0","15","9069"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bf6,Nambour,"31607","4127","391","232","44","9","3","22","4827"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bf7,Noosa Hinterland,"31608","2132","190","88","25","10","0","12","2449"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bf8,Charters Towers - Ayr - Ingham,"31801","3617","274","186","64","15","9","36","4194"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bf9,Townsville,"31802","16690","1678","1131","221","33","21","130","19904"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bfa,Bundaberg,"31901","6696","722","478","78","14","13","73","8066"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bfb,Burnett,"31902","3560","334","279","46","19","8","58","4307"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bfc,Gympie - Cooloola,"31903","3708","371","321","50","17","3","37","4507"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bfd,Hervey Bay,"31904","3922","479","322","52","16","9","35","4832"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bfe,Sunnybank,"30306","5606","290","144","100","14","4","24","6179"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bff,Centenary,"30401","4379","310","123","33","3","0","5","4861"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c00,Kenmore - Brookfield - Moggill,"30402","6330","335","179","41","3","0","12","6891"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c01,Sherwood - Indooroopilly,"30403","4732","224","83","43","0","0","14","5096"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c02,The Gap - Enoggera,"30404","5926","420","208","41","5","0","15","6613"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c03,Brisbane Inner,"30501","3267","256","65","20","3","0","9","3618"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c04,Brisbane Inner - East,"30502","4102","277","103","19","3","3","8","4522"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c05,Brisbane Inner - North,"30503","7361","489","165","40","3","0","18","8084"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c06,Brisbane Inner - West,"30504","5524","325","123","21","0","0","13","6008"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c07,Cairns - North,"30601","5272","443","232","55","9","3","37","6054"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c08,Cairns - South,"30602","8007","787","449","149","26","14","72","9508"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c09,Innisfail - Cassowary Coast,"30603","2758","196","129","73","4","4","35","3206"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c0a,Port Douglas - Daintree,"30604","777","68","47","10","3","3","7","913"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c0b,Tablelands (East) - Kuranda,"30605","3110","280","178","51","17","3","35","3679"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c0c,Darling Downs (West) - Maranoa,"30701","3948","231","212","41","4","5","33","4477"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c0d,Darling Downs - East,"30702","3804","268","274","61","0","5","33","4454"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c0e,Granite Belt,"30703","3376","291","217","40","5","0","36","3968"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c0f,Central Highlands (Qld),"30801","3019","177","171","27","4","0","27","3428"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c10,Rockhampton,"30803","10307","909","660","148","28","15","85","12155"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c11,Biloela,"30804","1480","91","77","10","0","0","13","1676"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c12,Gladstone,"30805","6239","544","427","75","3","3","44","7340"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c13,Broadbeach - Burleigh,"30901","5011","495","185","32","15","0","21","5765"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c14,Coolangatta,"30902","4595","429","226","43","12","0","26","5336"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c15,Gold Coast - North,"30903","4908","547","251","57","9","0","28","5799"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c16,Gold Coast Hinterland,"30904","1761","198","86","16","8","3","11","2081"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c17,West Torrens,"40403","5963","389","156","59","0","0","16","6588"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c18,Robina,"30908","4789","472","201","60","7","0","28","5562"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c19,Southport,"30909","4650","437","206","55","12","0","11","5373"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c1a,Surfers Paradise,"30910","2603","258","87","26","0","0","13","2986"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c1b,Forest Lake - Oxley,"31001","7175","560","343","160","18","7","64","8336"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c1c,Ipswich Hinterland,"31002","5376","538","445","86","18","9","76","6552"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c1d,Ipswich Inner,"31003","9586","1060","750","151","15","15","80","11651"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c1e,Springfield - Redbank,"31004","9015","846","694","227","30","25","67","10899"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c1f,Beaudesert,"31101","1119","121","89","17","3","3","15","1374"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c20,Beenleigh,"31102","3340","427","299","73","17","11","38","4203"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c21,Browns Plains,"31103","8075","784","649","188","35","19","59","9806"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c22,Jimboomba,"31104","5459","517","430","89","22","5","55","6583"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c23,Loganlea - Carbrook,"31105","6036","637","426","117","15","6","40","7280"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c24,Springwood - Kingston,"31106","7397","623","451","186","16","11","64","8747"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c25,Bowen Basin - North,"31201","3122","228","200","23","4","0","21","3595"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c26,Mackay,"31202","11358","930","628","124","20","13","74","13150"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c27,Whitsunday,"31203","1624","154","84","17","3","3","14","1895"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c28,Bribie - Beachmere,"31301","2042","299","180","39","11","4","24","2593"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c29,Caboolture,"31302","5730","745","647","104","26","16","65","7325"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c2a,Caboolture Hinterland,"31303","1072","117","78","12","5","3","9","1296"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c2b,Narangba - Burpengary,"31304","6493","758","526","105","22","10","32","7957"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c2c,Redcliffe,"31305","4493","593","323","65","15","8","44","5535"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c2d,The Hills District,"31401","11656","834","492","102","9","9","45","13135"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c2e,North Lakes,"31402","7894","795","573","87","18","3","43","9419"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c2f,Strathpine,"31403","3761","363","237","58","14","5","32","4466"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c30,Far North,"31501","2361","205","162","178","27","15","100","3054"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c31,Outback - North,"31502","2468","198","157","86","14","12","54","2986"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c32,Toowoomba,"31701","13615","1095","808","170","21","17","104","15821"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c33,Maryborough,"31905","3068","342","207","56","11","8","29","3727"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c34,Barossa,"40501","3587","318","221","28","6","0","20","4170"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c35,Lower North,"40502","1893","138","102","20","0","3","18","2173"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c36,Mid North,"40503","2146","170","121","24","3","0","32","2507"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c37,Yorke Peninsula,"40504","1723","166","105","17","6","0","19","2035"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c38,Eyre Peninsula and South West,"40601","4656","408","324","49","14","8","59","5506"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c39,Outback - North and East,"40602","1972","162","119","64","4","5","31","2364"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c3a,Fleurieu - Kangaroo Island,"40701","3624","351","243","40","6","0","44","4313"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c3b,Limestone Coast,"40702","5728","523","350","50","14","3","59","6721"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c3c,Swan,"50403","14554","1172","718","248","21","21","78","16816"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c3d,Adelaide City,"40101","758","57","19","0","0","0","0","833"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c3e,Adelaide Hills,"40102","8335","682","333","55","3","0","22","9439"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c3f,Norwood - Payneham - St Peters,"40105","3339","191","60","22","9","0","12","3634"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c40,Unley,"40107","3940","244","79","24","0","0","7","4297"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c41,Gawler - Two Wells,"40201","3415","384","232","39","13","3","27","4108"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c42,Playford,"40202","7524","894","660","138","25","15","77","9335"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c43,Port Adelaide - East,"40203","6874","410","196","91","7","4","29","7609"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c44,Salisbury,"40204","13759","1199","721","248","37","24","79","16063"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c45,Tea Tree Gully,"40205","10254","908","417","83","10","7","39","11722"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c46,Mitcham,"40303","7486","472","200","50","3","4","20","8225"
