tpp_australian_labor_party_percentage, tpp_swing, tpp_liberal_national_coalition_percentage, state, polling_place_id
8.7,7.26,91.3,"NSW","1137"
28.49,3.88,71.51,"NSW","2212"
34.43,-4.44,65.57,"NSW","2214"
24.03,-1.93,75.97,"NSW","1138"
28.04,12.33,71.96,"NSW","1140"
21.36,3.64,78.64,"NSW","1143"
52.0,-40.24,48.0,"NSW","14140"
17.53,15.48,82.47,"NSW","1150"
16.89,0.48,83.11,"NSW","2224"
9.9,8.52,90.1,"NSW","2226"
17.8,-2.18,82.2,"NSW","2551"
23.55,2.93,76.45,"NSW","2227"
7.45,1.82,92.55,"NSW","2552"
46.01,-2.19,53.99,"NSW","1161"
19.42,6.3,80.58,"NSW","1158"
31.26,0.08,68.74,"NSW","2231"
18.57,4.19,81.43,"NSW","1164"
56.19,3.36,43.81,"NSW","2560"
25.24,-1.72,74.76,"NSW","2238"
50.0,15.0,50.0,"NSW","65463"
47.24,4.16,52.76,"NSW","33795"
41.2,-0.88,58.8,"NSW","635"
44.2,-0.19,55.8,"NSW","636"
63.98,-7.46,36.02,"NSW","97576"
55.23,5.31,44.77,"NSW","30131"
50.14,0.26,49.86,"NSW","2276"
46.7,2.66,53.3,"NSW","641"
50.25,5.01,49.75,"NSW","640"
44.03,4.0,55.97,"NSW","58040"
65.23,4.04,34.77,"NSW","2378"
64.56,6.28,35.44,"NSW","58042"
66.83,-5.07,33.17,"NSW","82887"
56.13,16.41,43.87,"NSW","58026"
54.0,-3.72,46.0,"NSW","2257"
49.42,10.8,50.58,"NSW","2387"
51.22,6.53,48.78,"NSW","45838"
65.86,-3.07,34.14,"NSW","81651"
62.55,1.26,37.45,"NSW","81649"
59.74,-2.16,40.26,"NSW","83044"
53.89,7.9,46.11,"NSW","82821"
37.97,1.31,62.03,"NSW","33798"
33.51,3.47,66.49,"NSW","652"
25.06,12.5,74.94,"NSW","83270"
50.46,2.76,49.54,"NSW","57247"
43.36,10.69,56.64,"NSW","83274"
58.63,3.82,41.37,"NSW","2250"
56.59,-1.48,43.41,"NSW","2267"
61.95,0.55,38.05,"NSW","2269"
54.95,6.75,45.05,"NSW","33868"
58.83,3.11,41.17,"NSW","2255"
58.54,3.16,41.46,"NSW","2273"
60.57,5.61,39.43,"NSW","57989"
70.1,-0.24,29.9,"NSW","81621"
46.49,4.22,53.51,"NSW","2272"
57.93,8.01,42.07,"NSW","2274"
52.96,2.77,47.04,"NSW","2275"
31.58,30.66,68.42,"NSW","83650"
20.0,42.26,80.0,"NSW","97598"
62.88,1.5,37.12,"NSW","14141"
50.79,5.92,49.21,"NSW","97611"
51.6,3.82,48.4,"NSW","659"
60.53,0.78,39.47,"NSW","2277"
52.83,4.71,47.17,"NSW","1022"
62.73,3.04,37.27,"NSW","2278"
62.06,2.54,37.94,"NSW","2279"
56.25,1.84,43.75,"NSW","2251"
65.2,0.84,34.8,"NSW","11980"
56.6,9.65,43.4,"NSW","2282"
54.8,11.14,45.2,"NSW","82953"
43.19,3.6,56.81,"NSW","65195"
65.19,10.86,34.81,"NSW","322"
51.78,1.28,48.22,"NSW","1562"
55.07,1.99,44.93,"NSW","1349"
64.78,7.76,35.22,"NSW","1352"
0.0,-18.18,0.0,"NSW","65396"
45.21,1.89,54.79,"NSW","1565"
59.27,12.87,40.73,"NSW","81692"
39.79,-1.21,60.21,"NSW","1578"
35.71,8.73,64.29,"NSW","30400"
65.84,-0.03,34.16,"NSW","1364"
61.15,4.75,38.85,"NSW","1386"
53.91,6.53,46.09,"NSW","58670"
56.67,3.31,43.33,"NSW","1366"
52.07,3.7,47.93,"NSW","1870"
59.14,8.8,40.86,"NSW","1372"
66.58,9.41,33.42,"NSW","356"
68.23,7.94,31.77,"NSW","83691"
64.92,12.36,35.08,"NSW","33973"
53.79,3.33,46.21,"NSW","1608"
50.47,2.88,49.53,"NSW","1382"
64.27,3.44,35.73,"NSW","1385"
48.0,2.33,52.0,"NSW","1613"
66.1,4.04,33.9,"NSW","1394"
43.75,-0.06,56.25,"NSW","1396"
48.72,4.15,51.28,"NSW","1398"
46.73,1.43,53.27,"NSW","1619"
47.68,0.21,52.32,"NSW","1620"
40.58,3.57,59.42,"NSW","33891"
65.37,8.47,34.63,"NSW","364"
63.55,2.53,36.45,"NSW","1628"
59.95,2.55,40.05,"NSW","1629"
59.71,7.48,40.29,"NSW","1630"
62.0,10.05,38.0,"NSW","1407"
53.19,3.49,46.81,"NSW","33890"
61.44,8.25,38.56,"NSW","1412"
61.73,7.33,38.27,"NSW","1413"
58.12,5.45,41.88,"NSW","83694"
60.32,9.69,39.68,"NSW","8870"
48.78,0.49,51.22,"NSW","31506"
42.91,-0.05,57.09,"NSW","1632"
47.96,7.35,52.04,"NSW","1634"
52.91,-0.45,47.09,"NSW","1636"
42.78,2.38,57.22,"NSW","82960"
56.12,7.96,43.88,"NSW","58535"
72.73,-19.4,27.27,"NSW","14143"
51.46,9.44,48.54,"NSW","1641"
61.57,8.77,38.43,"NSW","1422"
66.52,8.38,33.48,"NSW","1423"
60.15,3.55,39.85,"NSW","1424"
60.46,7.04,39.54,"NSW","1425"
64.45,13.09,35.55,"NSW","378"
50.36,5.92,49.64,"NSW","1655"
52.75,2.55,47.25,"NSW","31511"
70.5,9.46,29.5,"NSW","1430"
45.3,-2.3,54.7,"NSW","1515"
63.29,-3.15,36.71,"NSW","81772"
50.69,-3.44,49.31,"NSW","65245"
50.0,2.38,50.0,"NSW","65457"
34.06,2.99,65.94,"NSW","82951"
52.87,-4.72,47.13,"NSW","1516"
54.39,-2.4,45.61,"NSW","1517"
51.32,-0.52,48.68,"NSW","1519"
57.08,-12.18,42.92,"NSW","97583"
41.65,1.24,58.35,"NSW","1521"
49.93,-0.76,50.07,"NSW","1522"
36.52,3.53,63.48,"NSW","1551"
45.74,0.2,54.26,"NSW","1524"
53.26,-3.1,46.74,"NSW","1525"
41.08,-0.5,58.92,"NSW","34043"
39.57,3.56,60.43,"NSW","1527"
54.4,-5.29,45.6,"NSW","1540"
61.69,-10.33,38.31,"NSW","83450"
53.68,0.26,46.32,"NSW","996"
0.0,-51.79,0.0,"NSW","30135"
47.97,-6.23,52.03,"NSW","1530"
46.62,-5.87,53.38,"NSW","83389"
44.67,-4.21,55.33,"NSW","1531"
53.27,-0.76,46.73,"NSW","81827"
50.21,1.04,49.79,"NSW","1533"
44.98,4.16,55.02,"NSW","1534"
41.19,-0.95,58.81,"NSW","1550"
66.58,-6.39,33.42,"NSW","1535"
56.78,-4.93,43.22,"NSW","1536"
52.87,0.25,47.13,"NSW","1537"
58.93,-2.76,41.07,"NSW","2384"
58.38,-6.17,41.62,"NSW","81807"
36.46,0.61,63.54,"NSW","1541"
50.13,-4.93,49.87,"NSW","34328"
54.64,-9.43,45.36,"NSW","83669"
46.74,-1.93,53.26,"NSW","1543"
45.86,-1.92,54.14,"NSW","1544"
59.77,-1.37,40.23,"NSW","81809"
46.7,-3.17,53.3,"NSW","1545"
30.24,-0.34,69.76,"NSW","1546"
48.14,-1.01,51.86,"NSW","1547"
47.08,-0.91,52.92,"NSW","1548"
29.5,1.56,70.5,"NSW","1549"
54.62,0.22,45.38,"NSW","14108"
44.31,1.35,55.69,"NSW","65246"
50.72,-3.53,49.28,"NSW","46751"
57.62,-2.57,42.38,"NSW","2044"
51.51,-1.32,48.49,"NSW","2045"
50.44,2.25,49.56,"NSW","83038"
45.11,0.12,54.89,"NSW","65236"
45.45,3.08,54.55,"NSW","2047"
68.43,-6.47,31.57,"NSW","2399"
44.93,6.31,55.07,"NSW","31668"
45.77,0.19,54.23,"NSW","31672"
46.9,-1.34,53.1,"NSW","2400"
50.0,1.26,50.0,"NSW","83938"
53.59,-0.84,46.41,"NSW","2402"
75.79,-5.25,24.21,"NSW","2403"
41.67,15.47,58.33,"NSW","65601"
58.89,0.65,41.11,"NSW","2404"
75.43,-4.16,24.57,"NSW","2407"
70.07,-4.09,29.93,"NSW","2408"
71.63,-1.18,28.37,"NSW","2409"
69.34,-5.09,30.66,"NSW","33760"
73.01,-7.79,26.99,"NSW","11917"
43.62,7.77,56.38,"NSW","83039"
47.76,-0.53,52.24,"NSW","83279"
49.48,3.26,50.52,"NSW","2412"
51.27,2.48,48.73,"NSW","2413"
49.04,0.43,50.96,"NSW","2415"
73.17,-12.49,26.83,"NSW","2416"
68.55,-4.55,31.45,"NSW","2418"
43.33,0.14,56.67,"NSW","2419"
48.48,2.3,51.52,"NSW","30136"
45.73,1.9,54.27,"NSW","2422"
79.94,-6.06,20.06,"NSW","2425"
67.74,-11.33,32.26,"NSW","2427"
70.07,-10.93,29.93,"NSW","2428"
80.73,-7.53,19.27,"NSW","2429"
61.05,-9.67,38.95,"NSW","2430"
53.18,2.67,46.82,"NSW","2438"
50.41,-1.92,49.59,"NSW","2440"
51.53,-3.59,48.47,"NSW","58461"
60.28,-6.52,39.72,"NSW","2442"
74.84,-3.34,25.16,"NSW","2454"
77.71,-5.95,22.29,"NSW","83040"
58.69,1.94,41.31,"NSW","2457"
56.64,4.05,43.36,"NSW","2455"
52.27,-0.75,47.73,"NSW","33762"
54.14,-1.39,45.86,"NSW","2405"
56.47,-4.53,43.53,"NSW","2459"
72.3,-3.02,27.7,"NSW","11918"
76.41,-6.55,23.59,"NSW","83041"
49.32,3.66,50.68,"NSW","83042"
55.08,-2.46,44.92,"NSW","2462"
49.02,4.2,50.98,"NSW","83211"
85.71,-36.62,14.29,"NSW","97618"
60.69,2.07,39.31,"NSW","2465"
75.24,-2.93,24.76,"NSW","38336"
62.5,-18.75,37.5,"NSW","14150"
39.31,1.26,60.69,"NSW","2466"
44.62,-1.97,55.38,"NSW","2468"
48.87,-1.07,51.13,"NSW","94025"
53.92,-3.12,46.08,"NSW","2472"
50.84,3.22,49.16,"NSW","83043"
43.63,2.31,56.37,"NSW","33761"
56.02,1.86,43.98,"NSW","2473"
46.89,3.18,53.11,"NSW","65963"
50.92,0.42,49.08,"NSW","34348"
57.57,-0.73,42.43,"NSW","2474"
72.07,-2.59,27.93,"NSW","2475"
85.94,0.88,14.06,"NSW","2476"
14.6,3.58,85.4,"NSW","2148"
25.93,-0.93,74.07,"NSW","1244"
15.24,-0.95,84.76,"NSW","1245"
43.41,2.23,56.59,"NSW","1246"
21.99,1.34,78.01,"NSW","2483"
9.4,0.82,90.6,"NSW","2153"
23.7,-2.96,76.3,"NSW","2155"
36.84,8.61,63.16,"NSW","65475"
24.16,3.11,75.84,"NSW","2156"
13.16,6.67,86.84,"NSW","1256"
13.64,-0.15,86.36,"NSW","1260"
36.63,0.06,63.37,"NSW","1311"
30.62,-0.53,69.38,"SA","7423"
17.45,0.3,82.55,"NSW","769"
28.99,8.92,71.01,"NSW","1261"
23.81,2.54,76.19,"NSW","1262"
39.69,1.87,60.31,"NSW","1263"
34.88,4.86,65.12,"NSW","58572"
44.01,-1.51,55.99,"NSW","1265"
35.14,5.65,64.86,"NSW","912"
39.83,2.07,60.17,"NSW","948"
28.08,6.75,71.92,"NSW","33867"
28.4,2.36,71.6,"NSW","913"
10.0,34.12,90.0,"NSW","30401"
13.45,-5.86,86.55,"NSW","1270"
27.22,0.21,72.78,"NSW","2186"
31.07,2.26,68.93,"NSW","2188"
23.1,2.26,76.9,"NSW","65498"
20.41,5.17,79.59,"NSW","2189"
37.76,3.44,62.24,"NSW","1272"
26.26,2.09,73.74,"NSW","1274"
37.53,1.82,62.47,"NSW","32486"
19.25,2.38,80.75,"NSW","2196"
23.08,-3.69,76.92,"NSW","1275"
21.82,5.14,78.18,"NSW","1276"
41.79,19.52,58.21,"NSW","1279"
47.33,16.61,52.67,"NSW","1280"
40.81,1.11,59.19,"NSW","1281"
15.15,-2.78,84.85,"NSW","1283"
27.68,7.83,72.32,"NSW","1284"
31.02,7.05,68.98,"NSW","1285"
32.37,-6.53,67.63,"NSW","33857"
35.05,3.74,64.95,"NSW","939"
34.68,1.59,65.32,"NSW","1289"
37.16,1.87,62.84,"NSW","1315"
22.71,-1.68,77.29,"NSW","1291"
29.94,2.99,70.06,"NSW","1292"
22.13,2.83,77.87,"NSW","807"
11.54,2.41,88.46,"NSW","1295"
19.35,-3.28,80.65,"NSW","1296"
13.07,4.79,86.93,"NSW","946"
39.34,1.7,60.66,"NSW","1300"
25.45,4.55,74.55,"NSW","949"
31.77,12.33,68.23,"NSW","1302"
34.21,6.08,65.79,"NSW","1304"
35.59,-2.28,64.41,"NSW","2215"
25.89,6.45,74.11,"NSW","2216"
30.43,6.44,69.57,"NSW","2217"
27.17,4.17,72.83,"NSW","33952"
28.74,10.41,71.26,"NSW","2221"
25.5,4.08,74.5,"NSW","2222"
38.17,0.79,61.83,"NSW","2219"
18.12,-0.73,81.88,"NSW","824"
20.98,-9.26,79.02,"NSW","1309"
23.89,3.63,76.11,"NSW","1314"
50.0,-18.42,50.0,"NSW","14153"
0.0,4.76,100.0,"NSW","2548"
19.19,1.38,80.81,"NSW","1317"
25.59,2.51,74.41,"NSW","1318"
20.64,5.31,79.36,"NSW","1319"
23.31,1.42,76.69,"NSW","12075"
28.71,3.68,71.29,"NSW","837"
42.94,-1.14,57.06,"NSW","1321"
26.36,3.0,73.64,"NSW","2228"
23.75,0.39,76.25,"NSW","2229"
24.83,8.25,75.17,"NSW","1323"
41.97,0.9,58.03,"NSW","1326"
18.26,5.15,81.74,"NSW","2553"
31.13,0.39,68.87,"NSW","1327"
40.74,1.73,59.26,"NSW","1328"
33.78,-0.9,66.22,"NSW","1331"
30.74,1.26,69.26,"NSW","33860"
38.72,3.31,61.28,"NSW","1340"
37.84,-12.36,62.16,"NSW","1333"
13.58,-2.61,86.42,"NSW","2555"
17.88,1.27,82.12,"NSW","2556"
36.05,0.58,63.95,"NSW","977"
27.3,7.2,72.7,"NSW","978"
18.98,3.0,81.02,"NSW","2563"
14.25,4.3,85.75,"NSW","33954"
18.72,7.21,81.28,"NSW","853"
31.45,3.47,68.55,"NSW","980"
35.39,2.75,64.61,"NSW","982"
27.33,3.73,72.67,"NSW","36439"
32.87,3.53,67.13,"NSW","11952"
49.45,-4.75,50.55,"NSW","2586"
47.37,0.63,52.63,"NSW","65594"
42.91,1.05,57.09,"NSW","2588"
53.35,-1.49,46.65,"NSW","2589"
38.1,8.81,61.9,"NSW","2590"
45.45,54.55,54.55,"NSW","30137"
43.6,2.33,56.4,"NSW","2591"
43.11,1.01,56.89,"NSW","2592"
39.3,4.82,60.7,"NSW","83504"
38.94,-2.43,61.06,"NSW","2593"
40.5,1.01,59.5,"NSW","33075"
54.38,0.07,45.62,"NSW","2594"
50.61,3.89,49.39,"NSW","83513"
56.05,4.71,43.95,"NSW","2596"
55.98,1.45,44.02,"NSW","2597"
48.48,-0.29,51.52,"NSW","2598"
60.68,2.06,39.32,"NSW","2604"
44.38,2.04,55.62,"NSW","31134"
45.99,4.88,54.01,"NSW","83558"
45.82,6.83,54.18,"NSW","2605"
50.86,1.78,49.14,"NSW","83499"
47.34,2.62,52.66,"NSW","2606"
46.03,2.65,53.97,"NSW","31699"
40.13,9.82,59.87,"NSW","83862"
27.99,2.15,72.01,"NSW","2610"
58.57,-7.15,41.43,"NSW","2611"
48.32,-0.34,51.68,"NSW","2612"
46.48,4.81,53.52,"NSW","11919"
54.29,1.82,45.71,"NSW","32594"
56.42,2.25,43.58,"NSW","2615"
36.49,-9.92,63.51,"NSW","2618"
55.88,-4.14,44.12,"NSW","2620"
58.04,-11.59,41.96,"NSW","2621"
40.25,4.21,59.75,"NSW","2622"
40.08,4.81,59.92,"NSW","65113"
28.81,3.92,71.19,"NSW","2623"
42.66,13.8,57.34,"NSW","2624"
47.31,4.6,52.69,"NSW","2625"
59.52,-6.58,40.48,"NSW","14154"
47.4,-7.73,52.6,"NSW","2626"
35.29,4.83,64.71,"NSW","620"
39.46,-0.19,60.54,"NSW","83538"
35.57,2.75,64.43,"NSW","33077"
51.49,7.31,48.51,"NSW","2629"
51.1,2.94,48.9,"NSW","31701"
54.6,3.64,45.4,"NSW","2628"
38.05,0.99,61.95,"NSW","618"
56.44,0.03,43.56,"NSW","2631"
47.87,5.71,52.13,"NSW","31708"
52.94,-1.19,47.06,"NSW","2633"
58.48,-2.63,41.52,"NSW","31960"
60.0,-5.08,40.0,"NSW","46408"
56.26,5.83,43.74,"NSW","2683"
58.76,5.1,41.24,"NSW","2684"
59.48,7.01,40.52,"NSW","2685"
49.4,8.39,50.6,"NSW","83453"
55.26,-0.37,44.74,"NSW","2687"
58.48,9.36,41.52,"NSW","2688"
64.29,-3.58,35.71,"NSW","65534"
57.23,6.94,42.77,"NSW","581"
55.73,3.13,44.27,"NSW","12051"
52.52,11.04,47.48,"NSW","582"
58.69,6.73,41.31,"NSW","333"
57.38,1.03,42.62,"NSW","82081"
61.51,6.13,38.49,"NSW","336"
62.08,7.21,37.92,"NSW","337"
52.74,3.81,47.26,"NSW","2690"
52.91,9.44,47.09,"NSW","12050"
60.51,1.96,39.49,"NSW","2691"
60.99,-1.28,39.01,"NSW","2692"
50.94,6.0,49.06,"NSW","46502"
61.03,4.52,38.97,"NSW","2693"
48.99,7.24,51.01,"NSW","58671"
32.14,26.29,67.86,"NSW","30139"
57.0,-4.26,43.0,"NSW","2694"
52.95,3.4,47.05,"NSW","82110"
46.96,-1.86,53.04,"NSW","344"
49.97,6.09,50.03,"NSW","2695"
56.36,0.15,43.64,"NSW","348"
65.54,7.52,34.46,"NSW","2696"
50.46,9.03,49.54,"NSW","590"
60.13,-0.04,39.87,"NSW","11938"
53.78,7.81,46.22,"NSW","2700"
60.39,-1.1,39.61,"NSW","2701"
57.29,-3.21,42.71,"NSW","46411"
48.47,8.5,51.53,"NSW","597"
56.31,12.86,43.69,"NSW","600"
57.49,7.52,42.51,"NSW","2706"
59.39,2.04,40.61,"NSW","11982"
54.49,3.62,45.51,"NSW","65202"
45.97,9.66,54.03,"NSW","2715"
54.96,1.45,45.04,"NSW","2717"
67.44,3.9,32.56,"NSW","608"
53.93,6.78,46.07,"NSW","367"
48.07,4.92,51.93,"NSW","11636"
60.54,6.16,39.46,"NSW","2718"
59.3,4.02,40.7,"NSW","31659"
68.97,4.71,31.03,"NSW","14156"
44.55,2.21,55.45,"NSW","374"
45.09,1.64,54.91,"NSW","83443"
52.11,5.25,47.89,"NSW","376"
56.22,0.38,43.78,"NSW","377"
46.05,5.71,53.95,"NSW","32802"
57.22,3.05,42.78,"NSW","2722"
73.47,9.23,26.53,"NSW","2723"
76.36,-7.53,23.64,"NSW","1433"
78.85,-2.29,21.15,"NSW","83843"
75.66,-4.29,24.34,"NSW","2727"
64.91,-6.49,35.09,"NSW","82983"
62.5,14.42,37.5,"NSW","65468"
81.07,-6.33,18.93,"NSW","2735"
87.18,-5.54,12.82,"NSW","2736"
75.7,-13.4,24.3,"NSW","97566"
69.15,-6.48,30.85,"NSW","2853"
73.4,-8.7,26.6,"NSW","83845"
82.4,-2.07,17.6,"NSW","1441"
82.59,-5.27,17.41,"NSW","82984"
0.0,-100.0,0.0,"NSW","30140"
56.37,5.36,43.63,"NSW","97564"
65.99,-4.37,34.01,"NSW","82989"
80.1,-4.53,19.9,"NSW","1444"
83.17,-5.62,16.83,"NSW","82985"
77.8,-7.72,22.2,"NSW","2740"
78.28,-4.07,21.72,"NSW","2742"
80.11,-2.52,19.89,"NSW","2743"
73.46,-5.17,26.54,"NSW","2744"
69.67,-7.37,30.33,"NSW","97595"
71.87,-2.72,28.13,"NSW","2768"
60.1,2.74,39.9,"NSW","46533"
67.37,-10.37,32.63,"NSW","2869"
71.36,-8.54,28.64,"NSW","2871"
40.1,0.04,59.9,"SA","7018"
69.54,-10.21,30.46,"NSW","82572"
64.51,-1.62,35.49,"NSW","97562"
69.95,-7.65,30.05,"NSW","83883"
64.71,-3.6,35.29,"NSW","2755"
74.78,0.18,25.22,"NSW","65248"
38.3,0.56,61.7,"NSW","2756"
88.27,-3.26,11.73,"NSW","8881"
80.37,-1.44,19.63,"NSW","8882"
80.19,-10.19,19.81,"NSW","97561"
62.96,-0.27,37.04,"NSW","97540"
54.92,-6.73,45.08,"NSW","2762"
79.15,-7.29,20.85,"NSW","1465"
67.93,2.13,32.07,"NSW","2879"
80.53,-3.98,19.47,"NSW","1464"
55.63,0.67,44.37,"NSW","1466"
60.56,-1.42,39.44,"NSW","1446"
74.03,-3.89,25.97,"NSW","2887"
70.31,-7.66,29.69,"NSW","2866"
75.61,-8.64,24.39,"NSW","2888"
76.39,-7.09,23.61,"NSW","2852"
73.68,-2.85,26.32,"NSW","2864"
54.41,-3.11,45.59,"NSW","14165"
56.87,2.8,43.13,"NSW","33970"
66.78,-3.25,33.22,"NSW","2769"
71.68,0.22,28.32,"NSW","2856"
77.7,-6.56,22.3,"NSW","1471"
67.36,-7.33,32.64,"NSW","2876"
64.02,-4.21,35.98,"NSW","1472"
59.24,-4.27,40.76,"NSW","1468"
48.17,-6.71,51.83,"NSW","2819"
44.5,-6.36,55.5,"NSW","2820"
45.92,-13.15,54.08,"NSW","2845"
48.45,-5.34,51.55,"NSW","2821"
43.28,-14.18,56.72,"NSW","2822"
41.18,-12.82,58.82,"NSW","32885"
43.76,-7.83,56.24,"NSW","58330"
41.76,-10.28,58.24,"NSW","2824"
66.67,-41.67,33.33,"NSW","65604"
49.57,-2.96,50.43,"NSW","2825"
50.1,23.8,49.9,"NSW","83460"
66.36,1.91,33.64,"NSW","986"
59.22,13.0,40.78,"NSW","97582"
43.48,-2.01,56.52,"NSW","65198"
51.35,-9.27,48.65,"NSW","82561"
51.67,-12.28,48.33,"NSW","2018"
53.06,-19.16,46.94,"NSW","65197"
52.1,-11.78,47.9,"NSW","2828"
49.92,-4.19,50.08,"NSW","58331"
52.44,-5.42,47.56,"NSW","58334"
46.25,-12.9,53.75,"NSW","30142"
55.22,-16.12,44.78,"NSW","2829"
38.46,-2.48,61.54,"NSW","190"
39.3,-1.65,60.7,"NSW","191"
39.75,-6.11,60.25,"NSW","58332"
39.94,27.68,60.06,"NSW","83951"
55.43,-10.05,44.57,"NSW","2830"
55.14,-13.21,44.86,"NSW","2831"
45.59,26.26,54.41,"NSW","83464"
42.62,-6.01,57.38,"NSW","200"
57.81,-15.71,42.19,"NSW","2832"
54.15,-6.66,45.85,"NSW","2833"
49.59,23.33,50.41,"NSW","83463"
53.09,-0.33,46.91,"NSW","2835"
47.36,-8.24,52.64,"NSW","33961"
56.85,-11.43,43.15,"NSW","2836"
45.47,-13.36,54.53,"NSW","2838"
42.23,-11.01,57.77,"NSW","2839"
45.34,-13.41,54.66,"NSW","58710"
43.87,-7.73,56.13,"NSW","2837"
42.32,-13.24,57.68,"NSW","33965"
53.34,-13.89,46.66,"NSW","2027"
55.16,19.73,44.84,"NSW","83462"
45.77,-9.76,54.23,"NSW","58308"
50.96,-10.17,49.04,"NSW","2841"
49.21,-8.93,50.79,"NSW","2847"
53.16,-12.54,46.84,"NSW","2843"
45.6,-8.52,54.4,"NSW","2844"
48.65,-8.55,51.35,"NSW","2846"
58.62,-2.82,41.38,"NSW","31263"
54.92,-13.94,45.08,"NSW","65199"
59.81,4.86,40.19,"NSW","985"
20.69,9.92,79.31,"SA","7382"
71.21,-1.12,28.79,"NSW","82325"
69.57,-0.2,30.43,"NSW","1017"
60.17,0.51,39.83,"NSW","66019"
65.58,-6.05,34.42,"NSW","82402"
73.87,-0.69,26.13,"NSW","58389"
63.02,8.82,36.98,"NSW","158"
48.0,13.78,52.0,"NSW","1003"
68.09,2.54,31.91,"NSW","989"
69.05,4.69,30.95,"NSW","990"
64.2,7.9,35.8,"NSW","2644"
63.36,4.49,36.64,"NSW","58680"
59.82,2.14,40.18,"NSW","1"
80.0,4.21,20.0,"NSW","65522"
73.1,-1.01,26.9,"NSW","991"
66.15,3.22,33.85,"NSW","1001"
66.45,4.59,33.55,"NSW","992"
67.95,0.99,32.05,"NSW","83478"
70.14,3.6,29.86,"NSW","995"
70.9,-7.07,29.1,"NSW","97575"
59.85,3.6,40.15,"NSW","165"
49.54,3.66,50.46,"NSW","65265"
48.26,7.03,51.74,"NSW","82404"
56.1,4.51,43.9,"NSW","1529"
56.85,3.92,43.15,"NSW","82327"
0.0,-33.33,0.0,"NSW","30402"
57.6,2.58,42.4,"NSW","1532"
53.2,7.84,46.8,"NSW","999"
53.13,5.68,46.87,"NSW","1000"
68.84,2.83,31.16,"NSW","171"
65.5,-1.68,34.5,"NSW","170"
67.17,5.47,32.83,"NSW","47687"
66.8,-1.28,33.2,"NSW","33131"
61.18,7.24,38.82,"NSW","2657"
75.91,0.86,24.09,"NSW","1005"
72.47,3.4,27.53,"NSW","1006"
82.94,-4.77,17.06,"NSW","1007"
62.68,-2.79,37.32,"NSW","82386"
59.82,2.3,40.18,"NSW","2386"
70.6,2.94,29.4,"NSW","31837"
69.46,4.26,30.54,"NSW","176"
57.64,10.77,42.36,"NSW","175"
68.66,5.95,31.34,"NSW","83458"
56.78,10.64,43.22,"NSW","82275"
57.37,6.84,42.63,"NSW","2669"
59.64,-2.41,40.36,"NSW","82406"
68.24,-5.82,31.76,"NSW","14175"
60.18,3.35,39.82,"NSW","97612"
81.47,-2.81,18.53,"NSW","178"
77.2,-0.44,22.8,"NSW","179"
35.05,-8.33,64.95,"NSW","2854"
22.65,-7.8,77.35,"NSW","2870"
46.67,0.39,53.33,"NSW","65466"
54.64,-11.67,45.36,"NSW","2297"
53.35,-9.11,46.65,"NSW","2298"
55.53,-11.66,44.47,"NSW","83718"
38.55,-1.45,61.45,"NSW","2878"
47.04,-9.94,52.96,"NSW","83716"
42.52,-3.05,57.48,"NSW","2300"
46.89,-4.56,53.11,"NSW","82990"
53.22,-9.91,46.78,"NSW","34097"
53.41,-13.64,46.59,"NSW","2301"
58.65,-25.35,41.35,"NSW","97569"
54.64,-10.12,45.36,"NSW","2305"
53.26,-5.35,46.74,"NSW","33787"
47.17,-4.21,52.83,"NSW","2306"
24.91,22.13,75.09,"NSW","82411"
63.57,-19.75,36.43,"NSW","83846"
29.57,-10.61,70.43,"NSW","2860"
0.0,0.0,0.0,"NSW","30143"
30.78,-10.08,69.22,"NSW","2862"
35.24,-14.54,64.76,"NSW","83865"
21.15,-2.26,78.85,"NSW","2303"
43.93,-20.09,56.07,"NSW","2865"
60.91,-13.19,39.09,"NSW","2877"
61.11,-27.81,38.89,"NSW","97596"
48.06,-6.95,51.94,"NSW","65694"
65.24,-10.63,34.76,"NSW","82567"
59.54,-10.62,40.46,"NSW","2882"
52.04,-18.45,47.96,"NSW","97563"
43.31,-9.5,56.69,"NSW","2867"
51.25,-17.44,48.75,"NSW","83719"
51.79,-14.07,48.21,"NSW","2874"
43.05,-6.76,56.95,"NSW","89903"
50.77,-10.67,49.23,"NSW","46280"
50.68,-9.57,49.32,"NSW","2323"
46.99,-9.1,53.01,"NSW","65251"
32.24,-5.68,67.76,"NSW","2880"
17.72,-4.26,82.28,"NSW","2881"
20.14,5.69,79.86,"NSW","89902"
63.48,-7.8,36.52,"NSW","46270"
62.24,-15.16,37.76,"NSW","31648"
33.86,0.03,66.14,"NSW","64586"
17.16,-8.35,82.84,"NSW","2889"
27.28,-6.35,72.72,"NSW","2861"
31.15,-7.06,68.85,"NSW","2890"
51.31,-10.25,48.69,"NSW","2891"
46.6,-7.03,53.4,"NSW","2299"
36.32,-9.52,63.68,"NSW","33957"
41.08,-12.14,58.92,"NSW","2892"
39.7,-10.3,60.3,"NSW","2868"
69.41,1.24,30.59,"NSW","862"
35.02,5.44,64.98,"NSW","863"
48.25,-10.79,51.75,"NSW","97588"
75.0,-4.41,25.0,"NSW","65625"
63.07,8.92,36.93,"NSW","82416"
65.04,5.3,34.96,"NSW","82430"
64.41,3.15,35.59,"NSW","31649"
57.32,10.24,42.68,"NSW","83524"
