sa4_code_2011,sa4_name_2011,year,land_area_ha,wu_ag_area_ha,wu_irrigated_area_ha,wu_vol_wat_app_ml,wu_wat_oth_ag_use_ml,wu_tot_wat_use_ml,wu_app_rate_ml_per_ha,pa_indig_area,pa_nat_park,pa_nat_res,pa_oth_pa,pa_tot,pa_indig_area_ha,pa_nat_park_ha,pa_nat_res_ha,pa_oth_pa_ha,pa_tot_ha,pa_indig_area_pc,pa_nat_park_pc,pa_nat_res_pc,pa_oth_pa_pc,pa_tot_pc,esg_gen_meters,esg_non_gen_meters,esg_tot_meters,esg_meter_dwell_gen_elec_pc,mksfg_net_meters_kwh,mksfg_gross_meters_kwh,mksfg_non_gen_meters_kwh,solar_panel_system,solar_water_heater
206,Melbourne - Inner,2011,14235.2,2735.5,119.6,169.9,42.5,212.4,1.4,,,,,,,,,,,,,,,,4149.0,265106.0,269255.0,1.5,3190.0,,3242.0,,
206,Melbourne - Inner,2010,,,,,,,,,,,,,,,,,,,,,,,2621.0,262063.0,264684.0,1.0,3391.0,,3716.0,,
207,Melbourne - Inner East,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8550.0,4093.0
207,Melbourne - Inner East,2012,,,,,,,,,,,,,,,,,,,,,,,5765.0,139321.0,145086.0,4.0,4039.0,,4252.0,,
207,Melbourne - Inner East,2011,14674.6,886.9,221.6,266.5,3.2,269.7,1.2,,,,,,,,,,,,,,,,4286.0,139118.0,143404.0,3.0,4190.0,,4299.0,,
207,Melbourne - Inner East,2010,,,,,,,,,,,,,,,,,,,,,,,1959.0,140406.0,142365.0,1.4,4167.0,,4633.0,,
208,Melbourne - Inner South,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9620.0,5421.0
208,Melbourne - Inner South,2012,,,,,,,,,,,,,,,,,,,,,,,5180.0,157447.0,162627.0,3.2,3968.0,,4245.0,,
208,Melbourne - Inner South,2011,16149.9,363.8,29.6,162.5,9.6,172.1,5.5,,,,,,,,,,,,,,,,3529.0,157600.0,161129.0,2.2,4023.0,,4316.0,,
208,Melbourne - Inner South,2010,,,,,,,,,,,,,,,,,,,,,,,1349.0,158347.0,159696.0,0.8,4291.0,,4556.0,,
209,Melbourne - North East,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17257.0,18779.0
209,Melbourne - North East,2012,,,,,,,,,,,,,,,,,,,,,,,9533.0,162644.0,172177.0,5.5,3659.0,,3541.0,,
209,Melbourne - North East,2011,185127.5,30918.9,1031.4,1789.3,457.6,2246.9,1.7,,,,,,,,,,,,,,,,6319.0,162111.0,168430.0,3.8,3988.0,,3819.0,,
209,Melbourne - North East,2010,,,,,,,,,,,,,,,,,,,,,,,3197.0,160253.0,163450.0,2.0,4183.0,,4218.0,,
210,Melbourne - North West,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13350.0,10437.0
210,Melbourne - North West,2012,,,,,,,,,,,,,,,,,,,,,,,7955.0,108842.0,116797.0,6.8,3798.0,,3639.0,,
210,Melbourne - North West,2011,161967.7,55139.2,623.1,1024.3,1381.6,2405.9,1.6,,,,,,,,,,,,,,,,4999.0,109083.0,114082.0,4.4,3970.0,,3675.0,,
210,Melbourne - North West,2010,,,,,,,,,,,,,,,,,,,,,,,3340.0,108889.0,112229.0,3.0,4661.0,,4365.0,,
211,Melbourne - Outer East,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20570.0,6712.0
211,Melbourne - Outer East,2012,,,,,,,,,,,,,,,,,,,,,,,12852.0,178091.0,190943.0,6.7,3834.0,,4080.0,,
211,Melbourne - Outer East,2011,187748.0,34872.8,4087.0,5892.8,604.4,6497.2,1.4,,,,,,,,,,,,,,,,9234.0,179882.0,189116.0,4.9,4228.0,,4527.0,,
211,Melbourne - Outer East,2010,,,,,,,,,,,,,,,,,,,,,,,4542.0,182579.0,187121.0,2.4,4648.0,,4833.0,,
212,Melbourne - South East,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30562.0,24425.0
212,Melbourne - South East,2012,,,,,,,,,,,,,,,,,,,,,,,17192.0,238143.0,255335.0,6.7,3513.0,,3875.0,,
212,Melbourne - South East,2011,192144.3,127973.2,6377.5,11548.6,3145.5,14694.0,1.8,,,,,,,,,,,,,,,,10700.0,240478.0,251178.0,4.3,3793.0,,4113.0,,
212,Melbourne - South East,2010,,,,,,,,,,,,,,,,,,,,,,,3945.0,242124.0,246069.0,1.6,4165.0,,4362.0,,
213,Melbourne - West,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30972.0,34642.0
213,Melbourne - West,2012,,,,,,,,,,,,,,,,,,,,,,,20769.0,221646.0,242415.0,8.6,3603.0,,3696.0,,
213,Melbourne - West,2011,141638.6,29845.6,6538.9,16082.8,372.4,16455.2,2.5,,,,,,,,,,,,,,,,12340.0,224573.0,236913.0,5.2,3742.0,,3530.0,,
213,Melbourne - West,2010,,,,,,,,,,,,,,,,,,,,,,,5461.0,223455.0,228916.0,2.4,4068.0,,4113.0,,
214,Mornington Peninsula,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14934.0,7808.0
214,Mornington Peninsula,2012,,,,,,,,,,,,,,,,,,,,,,,8029.0,131472.0,139501.0,5.8,3754.0,,3761.0,,
214,Mornington Peninsula,2011,85366.5,23168.5,2863.3,7082.4,3450.7,10533.1,2.5,,,,,,,,,,,,,,,,5070.0,133034.0,138104.0,3.7,3840.0,,3847.0,,
214,Mornington Peninsula,2010,,,,,,,,,,,,,,,,,,,,,,,1982.0,134411.0,136393.0,1.5,4003.0,,4074.0,,
215,North West,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9213.0,6369.0
215,North West,2012,,,,,,,,,,,,,,,,,,,,,,,5380.0,62980.0,68360.0,7.9,5976.0,,6072.0,,
215,North West,2011,7807157.7,5053418.1,129154.2,368830.7,22969.4,391800.1,2.9,,,,,,,,,,,,,,,,3179.0,64578.0,67757.0,4.7,6113.0,,5684.0,,
215,North West,2010,,,,,,,,,,,,,,,,,,,,,,,1268.0,66067.0,67335.0,1.9,6049.0,,6822.0,,
216,Shepparton,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10297.0,5047.0
216,Shepparton,2012,,,,,,,,,,,,,,,,,,,,,,,6200.0,48424.0,54624.0,11.4,5321.0,,4981.0,,
