sa4_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,sa4_name16
111,19530,19554,19713,20008,20707,47,47,47,47,47,502310009,530922232,540830850,558852274,609228563,10697,10880,11176,11377,11731,25720,27152,27435,27931,29421,5.4,5.3,5.5,5.5,5.7,Newcastle and Lake Macquarie
112,28211,27969,27931,28257,28941,50,50,51,51,51,415615273,423613874,400964240,462384999,526753208,7072,7054,6904,7904,9034,14732,15146,14356,16364,18201,11.9,11.7,11.4,11.6,12.0,Richmond - Tweed
113,18610,18392,18335,18333,18628,50,51,51,52,52,423069657,350327789,376289014,444418796,514527587,10290,8913,9385,11735,13349,22733,19048,20523,24241,27621,11.5,10.8,10.8,11.2,11.7,Riverina
114,13159,13120,13176,13323,13630,50,51,51,51,51,256021071,257594311,253814438,271182320,302895717,10264,10607,10587,12010,12719,19456,19634,19263,20354,22223,10.1,10.0,10.0,10.0,10.2,Southern Highlands and Shoalhaven
115,18562,18620,18598,18761,19115,47,48,48,48,48,443467298,447906737,475194014,490619531,527420977,10514,11041,12060,12340,13277,23891,24055,25551,26151,27592,7.3,7.3,7.3,7.2,7.2,Sydney - Baulkham Hills and Hawkesbury
116,15530,15850,16377,17069,18252,42,42,42,42,42,264051153,276308974,285903505,318833987,353224748,10932,11517,11598,12457,13318,17003,17433,17458,18679,19353,5.7,5.7,5.8,6.0,6.2,Sydney - Blacktown
117,21866,22539,23565,24512,26235,40,40,40,40,40,665186842,698812440,716808092,777133943,871403280,10100,10490,10780,11500,11610,30421,31005,30418,31704,33215,6.2,6.2,6.3,6.4,6.5,Sydney - City and Inner South
118,25059,25444,26011,26587,27445,45,45,45,45,45,1190910679,1237026474,1298486251,1400086913,1512944402,13385,13521,14405,15121,15513,47524,48618,49921,52661,55126,7.9,7.8,7.8,7.8,7.8,Sydney - Eastern Suburbs
119,39232,39632,40344,41326,43277,45,45,45,45,45,816120798,838858445,891430831,954999247,1027431414,13661,14195,15230,16080,16353,20802,21166,22096,23109,23741,8.8,8.8,9.0,9.2,9.3,Sydney - Inner South West
120,22938,23102,23957,24370,25127,45,46,46,45,46,737034898,758195589,811695689,872977508,933629564,12800,12916,13741,14390,14790,32132,32819,33881,35822,37156,7.5,7.4,7.6,7.6,7.6,Sydney - Inner West
121,32419,32686,33065,33553,34155,48,49,49,49,49,1734713578,1772139759,1801578212,1926915410,2012533648,11109,11549,12557,13577,13869,53509,54217,54486,57429,58924,6.4,6.4,6.4,6.5,6.4,Sydney - North Sydney and Hornsby
122,23833,24200,24724,24891,25414,46,46,46,46,47,707065088,730461295,752423128,804746790,859655426,12756,13055,13453,14651,14921,29667,30184,30433,32331,33826,8.2,8.1,8.2,8.2,8.1,Sydney - Northern Beaches
123,13397,13492,13595,13836,14658,45,45,45,45,45,252859389,251944894,260999744,279052770,308658265,10802,10817,11477,12217,12931,18874,18674,19198,20169,21057,5.8,5.7,5.7,5.8,6.0,Sydney - Outer South West
