sa4_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,sa4_name16
504,78436,83914,87853,92689,97768,44,44,44,44,43,465960267,515192734,587951648,643985835,649292807,269,258,236,207,169,5941,6140,6692,6948,6641,9.7,9.5,9.4,9.4,9.9,Perth - North East
505,191194,204250,211900,219897,230551,44,44,44,44,44,1487794457,1650112546,1860848336,1994694594,2004038173,314,307,282,255,212,7782,8079,8782,9071,8692,11.6,11.4,11.3,11.4,11.9,Perth - North West
506,159846,172064,179629,185952,195328,44,43,43,43,42,1102247030,1237097545,1324485119,1405241915,1379197759,299,285,253,224,184,6896,7190,7373,7557,7061,10.1,9.9,9.7,9.9,10.5,Perth - South East
507,135899,144621,150596,156404,165419,45,45,45,45,44,1228828086,1371915168,1580579387,1688890352,1631287062,348,329,296,257,213,9042,9486,10495,10798,9862,12.2,11.9,11.6,11.7,12.2,Perth - South West
509,50610,52163,52778,54623,56564,50,50,50,50,50,479352449,515079944,527846743,560267789,588624203,800,716,645,570,507,9471,9874,10001,10257,10406,18.1,17.7,16.8,15.7,15.9,Western Australia - Wheat Belt
510,22820,25022,26782,27991,28942,39,39,39,39,39,68220162,100970809,128353495,114811498,83123821,64,70,65,57,41,2989,4035,4793,4102,2872,4.3,4.7,4.7,4.6,4.9,Western Australia - Outback (North)
511,36937,39507,40095,41111,42252,46,45,45,46,46,272915740,309841990,324280261,367458845,335827756,307,281,256,219,182,7389,7843,8088,8938,7948,9.7,9.8,9.7,10.1,10.5,Western Australia - Outback (South)
601,76227,77360,78354,79044,82530,47,48,48,48,48,494175323,514584663,524042104,551296241,583215320,340,357,303,285,260,6483,6652,6688,6975,7067,10.4,10.8,10.9,10.9,11.0,Hobart
602,47177,47561,47470,47570,49127,48,48,49,49,49,314273324,329494338,328679879,338159087,348262279,342,356,305,270,249,6662,6928,6924,7109,7089,11.8,11.9,12.2,11.7,11.7,Launceston and North East
603,11078,11196,11277,11571,12088,51,51,52,52,52,58188214,61071163,65257756,71249784,70905855,358,377,314,276,252,5253,5455,5787,6158,5866,11.8,12.3,12.6,12.2,12.3,South East
604,33768,34186,34103,34285,35776,49,49,50,50,50,179346552,176228415,185414690,188134536,193036394,322,349,297,245,222,5311,5155,5437,5487,5396,10.4,10.4,10.5,10.4,10.4,West and North West
701,43254,47149,49274,52041,56109,41,41,41,41,40,151598255,201441017,251231581,258610278,248374775,120,113,102,92,72,3505,4272,5099,4969,4427,4.6,4.6,4.7,4.7,5.0,Darwin
702,15290,16419,16800,17165,18041,43,43,43,43,43,48365630,50186266,60780840,71870415,59237620,124,114,101,90,71,3163,3057,3618,4187,3283,3.5,3.7,3.8,3.9,4.1,Northern Territory - Outback
801,166608,173170,176953,178371,183566,44,44,44,44,44,839532923,883778827,983662098,1036207431,1024704529,312,299,292,284,266,5039,5104,5559,5809,5582,8.3,8.3,8.2,8.2,8.6,Australian Capital Territory
901,655,730,716,746,765,47,47,46,47,48,4188971,6039612,6953715,6191984,5458867,1062,1142,1021,1090,1009,6395,8273,9712,8300,7136,10.5,12.2,10.9,11.2,14.7,Other Territories
