yr,land_area_ha,water_use_aus_farms_area_agri_land_ha,water_use_aus_farms_area_irrigated_ha,water_use_aus_farms_volume_water_applied_ml,water_use_aus_farms_application_rt_area_watered_used_ml_ha,solar_instl_small_scale_solar_panel_sys_instl_num,solar_instl_increase_instl_prev_yr_pr100,solar_instl_solar_water_heater_instl_num,solar_instl_increase_swh_instl_prev_yr_pr100,sa4_code16,sa4_name16,ogc_fid
2011,,1703.0,146.0,390.0,2.7,,,,,301,Brisbane - East,275
2018,18694.9,,,,,,,,,302,Brisbane - North,276
2017,,,,,,21308.0,7.7,6722.0,4.7,302,Brisbane - North,277
2016,,,,,,19779.0,6.7,6418.0,3.2,302,Brisbane - North,278
2015,,,,,,18543.0,9.1,6219.0,5.2,302,Brisbane - North,279
2014,,,,,,17001.0,,5913.0,,302,Brisbane - North,280
2011,,15.0,1.0,2.0,2.0,,,,,302,Brisbane - North,281
2018,26534.5,,,,,,,,,303,Brisbane - South,282
2017,,,,,,36498.0,7.1,11338.0,3.1,303,Brisbane - South,283
2016,,4619.0,47.0,171.0,3.6,34079.0,5.9,10998.0,4.0,303,Brisbane - South,284
2015,,,,,,32172.0,8.4,10573.0,5.6,303,Brisbane - South,285
2014,,,,,,29683.0,,10017.0,,303,Brisbane - South,286
2011,,3060.0,393.0,1271.0,3.2,,,,,303,Brisbane - South,287
2018,26965.1,,,,,,,,,304,Brisbane - West,288
2017,,,,,,19135.0,9.3,7077.0,3.0,304,Brisbane - West,289
2016,,4503.0,4.0,19.0,5.0,17512.0,6.8,6874.0,3.4,304,Brisbane - West,290
2015,,,,,,16395.0,9.2,6648.0,4.5,304,Brisbane - West,291
2014,,,,,,15009.0,,6360.0,,304,Brisbane - West,292
2011,,593.0,4.0,90.0,24.8,,,,,304,Brisbane - West,293
2018,8173.9,,,,,,,,,305,Brisbane Inner City,294
2017,,,,,,12086.0,11.1,2963.0,2.7,305,Brisbane Inner City,295
2016,,1602.0,,,,10874.0,8.6,2884.0,3.3,305,Brisbane Inner City,296
2015,,,,,,10010.0,10.9,2793.0,5.2,305,Brisbane Inner City,297
2014,,,,,,9025.0,,2656.0,,305,Brisbane Inner City,298
2011,,737.0,,,,,,,,305,Brisbane Inner City,299
2018,2133796.8,,,,,,,,,306,Cairns,300
2017,,,,,,21926.0,14.2,9546.0,3.5,306,Cairns,301
2016,,933857.0,36070.0,169498.0,4.7,19195.0,9.6,9220.0,4.6,306,Cairns,302
2015,,,,,,17510.0,10.4,8816.0,4.4,306,Cairns,303
2014,,,,,,15858.0,,8446.0,,306,Cairns,304
2011,,978095.0,24947.0,91912.0,3.7,,,,,306,Cairns,305
2018,16634006.0,,,,,,,,,307,Darling Downs - Maranoa,306
2017,,,,,,15472.0,9.6,3929.0,3.2,307,Darling Downs - Maranoa,307
2016,,13825485.0,113581.0,441351.0,3.9,14121.0,7.2,3807.0,2.9,307,Darling Downs - Maranoa,308
2015,,,,,,13171.0,8.9,3698.0,7.9,307,Darling Downs - Maranoa,309
2014,,,,,,12097.0,,3426.0,,307,Darling Downs - Maranoa,310
2011,,13886511.0,162818.0,747597.0,4.6,,,,,307,Darling Downs - Maranoa,311
2018,11758800.0,,,,,,,,,308,Central Queensland,312
2017,,,,,,22688.0,10.0,12441.0,2.9,308,Central Queensland,313
2016,,9187118.0,55819.0,212730.0,3.8,20628.0,8.1,12095.0,3.3,308,Central Queensland,314
2015,,,,,,19080.0,8.9,11711.0,4.6,308,Central Queensland,315
2014,,,,,,17526.0,,11200.0,,308,Central Queensland,316
2011,,9116799.0,43486.0,121275.0,2.8,,,,,308,Central Queensland,317
2018,185788.5,,,,,,,,,309,Gold Coast,318
2017,,,,,,60586.0,9.7,23139.0,3.5,309,Gold Coast,319
2016,,132640.0,416.0,1704.0,4.1,55221.0,8.1,22353.0,4.0,309,Gold Coast,320
2015,,,,,,51092.0,10.0,21500.0,3.9,309,Gold Coast,321
2014,,,,,,46468.0,,20694.0,,309,Gold Coast,322
2011,,21660.0,486.0,1159.0,2.4,,,,,309,Gold Coast,323
2018,668114.7,,,,,,,,,310,Ipswich,324
2017,,,,,,40669.0,7.9,12788.0,4.4,310,Ipswich,325
2016,,289313.0,16404.0,35048.0,2.1,37680.0,6.4,12245.0,4.2,310,Ipswich,326
2015,,,,,,35407.0,8.9,11750.0,5.6,310,Ipswich,327
2014,,,,,,32501.0,,11132.0,,310,Ipswich,328
2011,,235862.0,14533.0,27118.0,1.9,,,,,310,Ipswich,329
