sa4_code11,agcereal_aharic_f,agcerealxricha_f,agcottpltdaha_f,agfrutnutotaha_f,aggrape_aha_f,aglandgrazeha_f,aglandtotlaha_f,aglandtotlhaflag_f,agnurflwtuaha_f,agothcropaha_f,agpasceothsilaha_f,agpascrhayaha_f,agsugarcanaha_f,agvege_aha_f,agwatersrcamlriv_f,agwatincotml_f,agwatrccrpahagrs_f,agwatrccrpamlgrs_f,agwatrfrutaha_f,agwatrfrutaml_f,agwatrgrapaha_f,agwatrgrapaml_f,agwatrnursaha_f,agwatrnursaml_f,agwatrocrpaha_f,agwatrocrpahacot_f,agwatrocrpahaobc_f,agwatrocrpaharic_f,agwatrocrpahasug_f,agwatrocrpaml_f,agwatrocrpamlcot_f,agwatrocrpamlobc_f,agwatrocrpamlric_f,agwatrocrpamlsug_f,agwatrothraml_f,agwatrpacrahagrz_f,agwatrpacrahahay_f,agwatrpacrahasil_f,agwatrpacramlgrz_f,agwatrpacramlhay_f,agwatrpacramlsil_f,agwatrpermamlpur_f,agwatrprod_flag_f,agwatrprodaha_f,agwatrprodaml_f,agwatrsrcastml_f,agwatrtempamlpur_f,agwatrvegeahacon_f,agwatrvegeamlcon_f,agwatscrvchaml_f,agwatscrvncaml_f,agwatsrcamlgrn_f,agwatsrcamlich_f,agwatsrcamlmns_f,agwatsrcamlonf_f,agwatsrcamloth_f,agwatsrcamlrec_f,bxirrigchgadw_f,bxwatrpermadw_f,bxwatrtempadw_f,sa4_name11
402,,32.93,,38.41,21.88,41.84,399.26,399.26,20.19,16.97,,30.75,,244.24,6.12,360.36,1.15,1.15,34.59,34.59,21.88,21.88,20.19,20.19,6.64,,,,,6.64,,,,,58.45,4.49,4.51,,4.49,4.51,,24.28,317.76,317.76,317.76,360.36,29.94,241.56,241.56,5.12,1.0,222.29,31.59,88.5,92.3,22.83,79.07,123.67,24.28,29.94,Adelaide - North
403,,7.02,,8.16,195.18,40.72,236.45,236.45,10.34,2.33,1.2,19.78,,2.21,6.97,228.36,,,7.03,7.03,188.39,188.39,10.31,10.31,2.31,,,,,2.31,,,,,48.14,4.79,,,4.79,,,12.64,208.08,208.08,208.08,228.36,22.28,2.21,2.21,3.59,3.38,147.35,10.68,37.9,33.43,6.83,78.56,104.16,12.64,22.28,Adelaide - South
404,,1.15,,,,1.15,2.34,2.34,,,,1.15,,,2.34,2.34,,,1.19,1.19,,,,,,,,,,,,,,,1.15,,,,,,,,1.19,1.19,1.19,2.34,,,,1.19,1.15,,,,,,,,,,Adelaide - West
405,,1822.56,,31.09,369.5,1592.53,2711.17,2711.17,3.3,971.11,51.17,980.35,,19.95,187.93,2197.02,31.12,31.12,19.39,19.39,332.44,332.44,3.44,3.44,7.54,,3.5,,,7.54,,3.5,,,1925.17,14.58,10.29,,14.58,10.29,,73.32,417.96,417.96,417.96,2197.02,111.41,18.74,18.74,84.28,104.77,965.97,153.04,1241.64,685.75,140.39,50.09,260.16,73.32,111.41,Barossa - Yorke - Mid North
406,,858.55,,1.0,4.26,861.41,1235.74,1235.74,1.14,339.23,11.52,290.84,,2.0,71.13,1055.74,25.23,25.23,,,3.26,3.26,1.14,1.14,,,2.13,,,,,2.13,,,1038.61,3.52,,,3.52,,,21.52,38.44,38.44,38.44,1055.74,19.18,4.32,4.32,29.43,42.85,320.19,36.94,669.86,357.82,33.78,4.3,,21.52,19.18,South Australia - Outback
407,,1406.76,,399.33,884.02,3017.54,4483.24,4483.24,41.59,580.86,313.28,1734.59,,140.18,677.97,4262.5,74.92,74.92,391.12,391.12,850.71,850.71,36.75,36.75,87.97,,42.58,,,87.97,,42.58,,,3235.31,473.7,270.36,74.06,473.7,270.36,73.06,66.85,1879.71,1879.71,1879.71,4262.5,363.38,134.26,134.26,462.71,241.36,2316.83,714.78,653.75,690.41,194.92,17.52,1126.81,66.85,363.38,South Australia - South East
501,,118.23,,189.26,237.66,1168.16,1477.47,1477.47,38.97,42.8,128.95,653.42,,121.92,137.36,1404.89,4.4,4.4,173.39,173.39,197.36,197.36,32.17,32.17,23.52,,,,,23.52,,,,,1156.32,151.26,15.67,5.56,151.26,15.67,5.56,18.82,634.2,634.2,634.2,1404.89,47.39,108.49,108.49,39.25,101.61,413.91,185.72,30.34,1003.36,31.57,3.36,139.96,18.82,47.39,Bunbury
502,,,,,0.0,89.81,97.39,97.39,2.33,,8.94,52.03,,1.16,12.72,96.29,,,,,0.0,0.0,2.33,2.33,,,,,,,,,,,93.96,2.4,,,2.4,,,,4.73,4.73,4.73,96.29,,,,1.23,11.49,55.0,6.02,2.28,55.8,4.46,,,,,Mandurah
503,,3.14,,,1.19,3.34,6.69,6.69,,1.14,,,,,,3.41,,,,,1.19,1.19,,,,,,,,,,,,,2.21,,,,,,,,1.19,1.19,1.19,3.41,,,,,,,,,3.41,,,,,,Perth - Inner
504,,1.0,,13.22,63.29,58.23,145.82,145.82,13.93,,,18.98,,11.6,9.91,140.12,,,11.01,11.01,60.19,60.19,12.54,12.54,,,,,,,,,,,64.36,10.56,2.58,,10.56,2.58,,,94.88,94.88,94.88,140.12,,5.49,,,9.91,117.67,1.0,10.65,29.38,3.42,,13.68,,,Perth - North East
505,,2.51,,24.16,1.0,7.91,124.04,124.04,26.53,,,,,52.72,3.23,118.14,,,21.39,21.39,,,26.53,26.53,2.52,,,,,2.52,,,,,18.61,2.78,,,2.78,,,3.47,102.31,102.31,102.31,118.14,3.95,53.22,53.22,,3.23,114.41,,4.11,2.73,1.12,1.35,,3.47,3.95,Perth - North West
506,,,,84.93,2.11,81.79,212.12,212.12,22.26,,3.59,26.94,,14.27,17.71,197.26,,,86.58,86.58,1.11,1.11,22.26,22.26,,,,,,,,,,,94.41,16.3,,,16.3,,,,130.17,130.17,130.17,197.26,,12.81,12.81,3.4,14.31,153.0,8.84,5.71,72.23,4.8,2.58,13.71,,,Perth - South East
507,,1.0,,,1.12,5.56,61.64,61.64,18.22,1.0,,4.88,,23.86,,53.66,,,2.84,2.84,1.12,1.12,15.74,15.74,2.81,,,,,2.81,,,,,14.29,,1.15,,,1.15,,,47.85,47.85,47.85,53.66,,22.86,22.86,,,53.66,,,,,,9.2,,,Perth - South West
508,1.29,883.56,1.29,91.0,16.34,901.48,1551.53,1551.53,18.36,615.6,18.4,279.73,2.93,113.85,125.64,1182.66,25.92,25.92,95.22,95.22,15.88,15.88,13.4,13.4,13.6,1.29,5.93,1.29,2.93,13.6,1.29,5.93,1.29,2.93,991.12,4.1,11.81,3.0,,11.81,3.0,13.61,216.65,216.65,216.65,1182.66,24.37,98.66,98.66,39.62,89.87,742.85,113.51,98.58,479.91,55.63,5.15,120.35,13.61,24.37,Western Australia - Outback
509,,3297.26,,104.91,56.97,3459.97,4723.17,4723.17,33.16,1870.37,111.88,1573.47,0.0,47.06,179.67,4020.41,50.99,50.99,81.22,81.22,31.08,31.08,23.53,23.53,1.23,,16.85,,,1.23,,16.85,,,3884.67,30.11,19.79,2.14,30.11,19.79,2.14,33.4,250.13,250.13,250.13,4020.41,48.92,36.52,36.52,35.49,146.39,1377.08,76.82,1111.59,2890.33,165.57,18.3,66.4,33.4,48.92,Western Australia - Wheat Belt
601,,25.36,,17.61,24.25,91.62,138.31,138.31,7.87,6.11,3.38,28.23,,12.54,33.47,128.39,4.62,4.62,16.15,16.15,23.25,23.25,6.74,6.74,6.93,,3.68,,,6.93,,3.68,,,91.92,22.82,16.13,2.61,22.82,16.13,2.61,8.43,78.62,78.62,78.62,128.39,20.12,9.08,9.08,11.89,21.58,13.58,38.0,35.1,53.15,2.14,15.75,48.75,8.43,20.12,Hobart
602,,165.81,,38.16,29.86,807.29,929.7,929.7,13.86,73.97,254.66,495.22,,157.94,358.39,905.16,63.96,63.96,32.31,32.31,20.45,20.45,9.23,9.23,63.75,,85.66,,,63.75,,85.66,,,846.93,300.89,92.49,95.19,300.89,92.49,94.19,50.62,485.54,485.54,485.54,905.16,101.09,137.06,137.06,177.03,203.26,172.7,172.67,81.22,582.13,28.53,9.46,285.27,50.62,100.09,Launceston and North East
603,,68.05,,76.09,20.83,337.35,414.47,414.47,23.13,26.17,51.62,108.13,,19.4,185.71,394.31,20.89,20.89,70.08,70.08,18.13,18.13,18.18,18.18,12.28,,33.34,,,12.28,,33.34,,,335.86,86.04,36.14,21.23,86.04,36.14,21.23,4.84,199.86,199.86,199.86,394.31,22.3,6.39,6.39,59.44,134.28,53.17,32.48,22.11,240.07,21.08,3.7,78.66,4.84,22.3,South East
604,,92.65,,23.19,6.24,713.67,847.54,847.54,21.12,65.44,281.44,439.09,,205.33,269.15,830.33,29.81,29.81,18.25,18.25,3.88,3.88,17.39,17.39,53.41,,91.11,,,53.41,,91.11,,,752.82,236.44,52.84,61.63,236.44,52.84,61.63,37.01,453.03,453.03,453.03,830.33,48.49,178.09,178.09,73.38,205.53,270.46,73.03,31.53,643.39,40.71,10.19,164.66,37.01,48.49,West and North West
701,,,,62.58,,18.56,123.66,123.66,16.06,,,11.54,,28.14,3.66,109.62,,,68.01,68.01,1.0,1.0,15.06,15.06,,,,,,,,,,,16.6,,,,,,,,96.85,96.85,96.85,109.62,,22.87,22.87,,3.66,105.86,1.11,3.35,6.78,5.39,,13.38,,,Darwin
702,1.15,3.32,,23.74,3.0,189.27,250.81,250.81,1.0,3.32,1.0,38.93,,25.92,64.51,238.27,,,23.63,23.63,3.0,3.0,1.0,1.0,,,,1.15,,,,,1.15,,197.64,3.79,3.87,1.24,3.79,3.87,1.24,,53.17,53.17,53.17,238.27,,24.92,24.92,8.02,56.49,214.98,2.29,5.65,92.22,7.14,,7.26,,,Northern Territory - Outback
801,,1.0,,,,35.33,39.66,39.66,2.0,1.0,,2.0,,1.0,11.14,39.66,1.0,1.0,,,,,2.0,2.0,,,,,,,,,,,36.66,1.58,,,1.58,,,,5.58,5.58,5.58,39.66,,1.0,1.0,7.58,3.55,15.17,,11.77,32.14,,,3.58,,,Australian Capital Territory
