statistical_local_area_code,statistical_local_area_name,state_code,state_name,statistical_division,statistical_division_name,statistical_subdivision,statistical_subdivision_name,local_government_area,local_government_area_name,seifa_2001_population,irsad_score,irsd_score,ier_score,ieo_score,q10_irsad,q25_irsad,q50_irsad,q75_irsad,q90_irsad,q10_irsd,q25_irsd,q50_irsd,q75_irsd,q90_irsd,q10_ier,q25_ier,q50_ier,q75_ier,q90_ier,q10_ieo,q25_ieo,q50_ieo,q75_ieo,q90_ieo,total_irsad,total_irsd,total_ier,total_ieo,min_irsad,min_irsd,min_ier,min_ieo,max_irsad,max_irsd,max_ier,max_ieo,med_irsad,med_irsd,med_ier,med_ieo
425108341,Wattle Range (DC) - East,4,South Australia,425,South East,42510,Lower South East,48340,Wattle Range (DC),3147,940.375,993.418,968.203,909.92,887.398,916.49,941.5039999999999,993.816,1068.46,911.209,965.971,1004.51,1040.99,1073.99,884.043,900.6460000000001,939.6419999999999,981.7310000000001,1050.35,887.421,918.253,944.4119999999999,996.4,1072.9,2959359.8,3126286.2,3046935.0,2863518.0,818.9760000000001,860.681,897.08,769.005,1072.45,1121.75,1042.96,1047.3,953.828,1001.83,971.915,945.7819999999999
425108344,Wattle Range (DC) - West,4,South Australia,425,South East,42510,Lower South East,48340,Wattle Range (DC),8475,910.197,958.335,936.809,883.1569999999999,887.398,916.49,941.5039999999999,993.816,1068.46,911.209,965.971,1004.51,1040.99,1073.99,884.043,900.6460000000001,939.6419999999999,981.7310000000001,1050.35,887.421,918.253,944.4119999999999,996.4,1072.9,7713918.0,8121890.5,7939454.5,7484755.0,792.174,755.082,843.193,763.457,976.903,1075.34,1011.74,964.398,924.467,988.493,946.5139999999999,877.778
430051190,Cleve (DC),4,South Australia,430,Eyre,43005,Lincoln,41190,Cleve (DC),1828,941.155,1035.43,915.442,940.9,887.398,916.49,941.5039999999999,993.816,1068.46,911.209,965.971,1004.51,1040.99,1073.99,884.043,900.6460000000001,939.6419999999999,981.7310000000001,1050.35,887.421,918.253,944.4119999999999,996.4,1072.9,1720431.4,1892759.6,1673427.1,1719965.1,877.8789999999999,941.6139999999999,849.045,876.663,975.247,1086.97,964.586,974.293,938.3789999999999,1039.22,919.502,946.814
430051750,Elliston (DC),4,South Australia,430,Eyre,43005,Lincoln,41750,Elliston (DC),1194,921.937,1008.73,884.043,942.788,887.398,916.49,941.5039999999999,993.816,1068.46,911.209,965.971,1004.51,1040.99,1073.99,884.043,900.6460000000001,939.6419999999999,981.7310000000001,1050.35,887.421,918.253,944.4119999999999,996.4,1072.9,1100792.9,1204426.4,1055547.1,1125688.2,869.7230000000001,940.8889999999999,813.424,850.33,984.321,1104.35,935.1339999999999,983.079,927.428,1005.05,890.3960000000001,951.7539999999999
430051960,Franklin Harbor (DC),4,South Australia,430,Eyre,43005,Lincoln,41960,Franklin Harbor (DC),1267,904.2769999999999,1023.28,879.1510000000001,926.15,887.398,916.49,941.5039999999999,993.816,1068.46,911.209,965.971,1004.51,1040.99,1073.99,884.043,900.6460000000001,939.6419999999999,981.7310000000001,1050.35,887.421,918.253,944.4119999999999,996.4,1072.9,1145718.5,1296492.9,1113883.9,1173432.1,880.1289999999999,996.7410000000001,818.841,907.182,976.948,1105.04,921.091,1001.43,893.301,996.7410000000001,887.3969999999999,907.182
430053220,Kimba (DC),4,South Australia,430,Eyre,43005,Lincoln,43220,Kimba (DC),1182,947.576,1043.99,917.5060000000001,959.8,887.398,916.49,941.5039999999999,993.816,1068.46,911.209,965.971,1004.51,1040.99,1073.99,884.043,900.6460000000001,939.6419999999999,981.7310000000001,1050.35,887.421,918.253,944.4119999999999,996.4,1072.9,1120034.9,1233994.2,1084491.5,1134483.5,924.694,1007.3,887.39,947.2330000000001,997.341,1125.55,978.0110000000001,985.4630000000001,929.135,1029.41,908.403,949.576
510015110,Mandurah (C),5,Western Australia,510,South West,51001,Mandurah,55110,Mandurah (C),44533,929.686,949.297,952.3689999999999,917.059,918.38,936.415,951.273,984.154,1053.27,922.684,960.887,983.762,1004.45,1057.03,883.797,909.428,940.887,994.4939999999999,1069.89,904.263,933.431,951.557,970.263,1060.79,41401708.0,42275036.0,42411852.0,40839400.0,715.43,607.8340000000001,790.049,729.868,1129.18,1133.6,1184.46,1090.46,936.197,971.8510000000001,942.625,923.404
510016230,Murray (S),5,Western Australia,510,South West,51001,Mandurah,56230,Murray (S),10056,918.03,944.7460000000001,938.5260000000001,900.367,918.38,936.415,951.273,984.154,1053.27,922.684,960.887,983.762,1004.45,1057.03,883.797,909.428,940.887,994.4939999999999,1069.89,904.263,933.431,951.557,970.263,1060.79,9231705.0,9500363.0,9437821.0,9054091.0,828.541,794.0210000000001,894.243,784.887,1029.49,1054.5,989.987,1023.63,910.885,951.6610000000001,938.283,892.971
510031190,Bunbury (C),5,Western Australia,510,South West,51003,Bunbury,51190,Bunbury (C),28662,957.826,960.0889999999999,978.59,947.07,918.38,936.415,951.273,984.154,1053.27,922.684,960.887,983.762,1004.45,1057.03,883.797,909.428,940.887,994.4939999999999,1069.89,904.263,933.431,951.557,970.263,1060.79,27453220.0,27518068.0,28048354.0,27144924.0,780.92,713.3539999999999,813.716,804.265,1130.68,1095.87,1160.95,1154.93,946.875,971.538,977.03,930.091
705051104,Stuart Park,7,Northern Territory,705,Darwin,70505,Darwin City,71000,Darwin (C),3505,1108.57,1066.03,1142.35,1089.47,894.426,956.8810000000001,1022.65,1071.9,1114.05,709.319,917.1189999999999,987.574,1037.37,1063.53,890.329,978.813,1046.72,1101.63,1142.2,906.02,965.5360000000001,1012.54,1052.37,1094.25,3885530.0,3736451.5,4003942.5,3818600.5,1078.87,1033.53,1094.58,1055.72,1186.64,1132.22,1237.6,1133.21,1107.22,1076.3,1143.47,1094.66
