ogc_fid,objectid_1,playarea_id,iams_id,parent_playground_name,parent_playground_iams_id,division_name,upgrade_year,equipment_replacement_cost,surface_type,surface_location,surface_area,other_surface_type,other_surface_location,other_surface_area,edging_type,fencing_type,access_description,all_access,age_range_0_to_3,age_range_4_to_7,age_range_8_to_12,age_range_13_plus,balance,bridge,bar,climber,cubby,combination_unit,flying_fox,fort,goal,panal,rocker,rotation,sculpture,slide,sound,swing,track_glide,sand_element,exercise_element,vehicle,total_structures,comments,feature_type,operational,area,perimeter,latitude,longitude,feature_type_code,create_date,feature_instance_metadata_id,objectid,natural_element,shape_length,shape_area
146,527,613,PLAR683,CHIFLEY (SHANN) PLACE,PLGR372,CHIFLEY,2010.0,35000.0,TANBARK,WEST SUPPORT POST AT SLIDE AND CLIMBING WALL,175.0,NONE,BETWEEN CENTRE OF SPINNING POLES,,CONCRETE,PARTIAL,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,"HAS SMALL PLAYSPACE COMBINATION UNIT, TRAIN AND 2 SPIN POLES.",PLAY AREA,,188.63929057548302,54.389321275,,,20,,,487,0,54.3865596754084,188.639560407333
147,532,554,PLAR635,CHIFLEY (SHANN) PLACE,PLGR372,CHIFLEY,2008.0,65000.0,TANBARK,AT BASE OF FIREPOLE SUPPORT,200.0,NONE,ONE METRE TO THE NORTH OF ROCKWALL CLIMBER,,NONE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,HAS 2 COMBINATION UNITS.,PLAY AREA,,205.540310051198,53.163339683400004,,,20,,,492,0,53.1606912609162,205.540236690543
148,543,503,PLAR750,MORGAN PLACE,PLGR369,CURTIN,2011.0,,TANBARK,,,NONE,,,CONCRETE,,EASTERN PATH,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,PLAY AREA,,42.3332388483829,25.7282231883,,,20,,,533,0,25.726874816069397,42.3327314318372
149,544,504,PLAR751,TAUCHERT STREET,PLGR363,CHAPMAN,2011.0,,TANBARK,,,,,,CONCRETE,,FOOT PATH TO THE NORTH,,,,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,,PLAY AREA,,150.660996766209,50.569175611700004,,,20,,,534,0,50.5660442399975,150.661400167527
150,547,619,PLAR701,KAMBAH DISTRICT PARK,PLGR305,KAMBAH,2009.0,10000.0,RUBBER,,40.0,NONE,,,CONCRETE,FULL WITH CHILDPROOF GATE,WHEELCHAIR ACCESSIBLE,,NO,NO,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,CONTAINS LIBERTY SWING,PLAY AREA,,45.788600472392396,26.286858199,,,20,,,537,0,26.285416655155302,45.788607538609895
151,548,612,PLAR702,MORICE PLACE,PLGR586,BONYTHON,2010.0,53000.0,TANBARK,NORTH WEST POST AT SLIDE,200.0,NONE,UNDER TODDLER SWING SEAT,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWINK AND FIRE TRUCK.",PLAY AREA,,202.44260669472098,58.9883907124,,,20,,,538,0,58.9856667722106,202.44258237239399
152,559,1,PLAR705,WESTON COMMUNITY PARK,PLGR588,WESTON,2010.0,10000.0,TANBARK,EAST SUPPORT POST OF SWING FRAME,40.0,NONE,UNDERNEATH CENTRE OF BASKET SWING SEAT,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,BASKET SWING AREA,PLAY AREA,,38.755955520681795,25.231646197800004,,,20,,,549,0,25.230215850071,38.7558899747357
153,560,614,PLAR707,RIVETT COMMUNITY PARK,PLGR590,RIVETT,2010.0,26000.0,TANBARK,EAST SUPPORT POST AT SLIDE,120.0,NONE,AT END OF SLIDE RUNOUT,,CONCRETE,PARTIAL,SEALED PATH,,YES,YES,YES,YES,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,"HAS ROPE CLIMBER, SLIDE AND SOUND TUBE.",PLAY AREA,,119.711348814828,50.874678072100004,,,20,,,550,0,50.8712661212389,119.711253877839
154,561,615,PLAR708,RIVETT COMMUNITY PARK,PLGR590,RIVETT,2010.0,70000.0,TANBARK,AT SOUND TUBE POST,250.0,NONE,UNDERNEATH TODDLER SWING SEAT,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,6,HAS SWINGS AND SCULPTURAL CLIMBERS,PLAY AREA,,241.895164582707,63.7158022186,,,20,,,551,0,63.711504791247606,241.895314882228
155,579,620,PLAR689,SUMMERLAND CIRCUIT (NORTH),PLGR580,KAMBAH,2010.0,5000.0,MULCH,SOUTH SIDE OF SPINNER (SUPPORT INACCESSIBLE),50.0,NONE,500MM FROM NORTH SIDE OF EDGE OF SPINNER,,CONCRETE,PARTIAL,WHEELCHAIR ACCESSIBLE,,NO,NO,NO,NO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,HAS A ROPE CAROUSEL,PLAY AREA,,73.8810750220922,30.829733730999997,,,20,,,569,0,30.8279682705232,73.88093124628571
193,123,44,PLAR247,LADY NELSON PLACE,PLGR208,RED HILL,1995.0,52000.0,TANBARK,NORTH SUPPORT POST AT SLIDE,300.0,NONE,UNDERNEATH CENTRE OF CRADLE SWING SEAT,,TIMBER (SLEEPER),PARTIAL,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,"CONTAINS COMBINATION UNIT, SWING AND ROCKERS.",PLAY AREA,,293.893464273684,73.7281540189,,,20,,,148,0,73.7259045941161,293.892531201603
156,580,621,PLAR690,SUMMERLAND CIRCUIT (NORTH),PLGR580,KAMBAH,2010.0,8000.0,MULCH,SW SWING FRAME POST,80.0,NONE,UNDER TODDLER SWING SEAT,,CONCRETE,PARTIAL,WHEELCHAIR ACCESSIBLE,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,HAS THE SWINGS,PLAY AREA,,69.9570264931951,37.3385275073,,,20,,,570,0,37.3364802779421,69.9563642674225
157,581,624,PLAR693,SUMMERLAND CIRCUIT (NORTH),PLGR580,KAMBAH,2010.0,20000.0,MULCH,AT POINT OF SCULPTURE,50.0,NONE,AT NORTH END OF SCULPTURE,,CONCRETE,PARTIAL,WHEELCHAIR ACCESSIBLE,,NO,NO,NO,NO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,HAS THE TRIANGULAR CLIMBER SCULPTURE,PLAY AREA,,57.6698682267982,27.201745562800003,,,20,,,571,0,27.200282209226103,57.6698084839388
158,582,610,PLAR695,BODDINGTON CRESCENT (NORTH),PLGR582,KAMBAH,2010.0,8000.0,MULCH,NORTH SUPPORT POST OF SWING FRAME,60.0,NONE,UNDERNEATH CENTRE OF TODDLER SWING SEAT,,CONCRETE,NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,CONTAINS SWING.,PLAY AREA,,53.4455582964069,29.555528755799997,,,20,,,572,0,29.553615434905602,53.4452305478734
159,583,611,PLAR696,BODDINGTON CRESCENT (NORTH),PLGR582,KAMBAH,2010.0,65000.0,MULCH,SOUTH SUPPORT POST AT SLIDE,170.0,NONE,IN THE CENTRE OF GROUND WAVE CLIMBER,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SPINNING TURNTABLE AND LOW WAVE CLIMBER.",PLAY AREA,,200.04817247557597,61.5564092271,,,20,,,573,0,61.55258735288611,200.048324705761
160,588,602,PLAR831,MCCONCHIE CIRCUIT NEIGHBOURHOOD PLAYGROUND,PLGR651,WESTON,,,TANBARK,NORTH WEST OF MCCONCHIE CIRCUIT,,,,,CONCRETE,,PATH SOUTHERN END OF PLAYGROUND,,,,,,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,5,"CONTAINS JUNIOR ACIVITY PANEL, SWINGS CLIMBER AND ROCKER",PLAY AREA,,150.309966631343,54.4939954774,,,20,,,578,0,54.4908429278576,150.309828581145
161,597,19,PLAR807,LAKE TUGGERANONG DISTRICT PARK,PLGR240,GREENWAY,,,TANBARK,NEAR MORTIMER LEWIS DR,,,,,CONCRETE,,FOOTPATH TO THE WEST,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,PLAY AREA,,285.79433392337796,64.62224614029999,,,20,,,597,0,64.618779678559,285.794710148575
194,124,480,PLAR242,BEDFORD STREET,PLGR205,DEAKIN,1985.0,20000.0,TANBARK,NORTH SUPPORT POST AT SPIRAL SLIDE,200.0,NONE,UNDERNEATH CENTRE OF TYRE SWING,,TIMBER (SLEEPER),NONE,NO PATH,,NO,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS COMBINATION UNIT.,PLAY AREA,,235.140689005626,61.3043908088,,,20,,,149,0,61.302226877993,235.14092768003502
162,607,495,PLAR840,PETER CULLEN WAY NEIGHBOURHOOD PARK,PLGR656,WRIGHT,,,RUBBER,SOUTH OF CAR PARK,,TANBARK,SOUTH OF CAR PARK,,CONCRETE,POOL TYPE,MUTIPLE FOOTPATHS,YES,NO,NO,NO,NO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,CONTAINS CLIMBING NET RUBBER MOUND AND RUNNING TRACK,PLAY AREA,,342.375781416333,75.3109090554,,,20,,,615,0,75.30570176038059,342.37521683291
163,618,574,PLAR857,NORTH WESTERN PLAYGROUND,PLGR670,COOMBS,,,TANBARK,,,,,,CONCRETE,,,YES,NO,NO,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,,PLAY AREA,,139.851216571176,52.6811177817,,,20,,,638,0,52.6778206560876,139.85151755028
164,619,572,PLAR855,POND A PLAYGROUND,PLGR668,COOMBS,,,RUBBER,,,TANBARK SURFACE,SAIL AREA HAS TANBARK,,FENCE,POOL STYLE,NO CARPARK AT PLAYGROUND,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,0,6,HAND OVER INCLUDES NORTH WESTERN PLAYGROUND,PLAY AREA,,278.713955438787,86.93682141209999,,,20,,,639,0,86.9313765734897,278.71384958302997
165,620,573,PLAR856,POND A PLAYGROUND,PLGR668,COOMBS,,,TANBARK,,,,,,CONCRETE,POOL STYLE,NO PLAYGROUND CARPARK,,NO,NO,NO,NO,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,,PLAY AREA,,183.990499197785,59.1465494027,,,20,,,640,0,59.1429138231622,183.990327996857
166,622,601,PLAR830,MCCONCHIE CIRCUIT NEIGHBOURHOOD PLAYGROUND,PLGR651,WESTON,,,TANBARK,NORRTH EAST OF MCCONCHIE CIRCUIT,,,,,CONCRETE,,PATH SOUTHERN END OF PLAYGROUND,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONATAINS 3 CLIMBING ELEMENTS,PLAY AREA,,129.503209270982,40.345420494,,,20,,,621,0,40.3431018520454,129.503268261009
231,231,171,PLAR412,MERRIMAN STREET,PLGR326,MACARTHUR,1985.0,14000.0,TANBARK,SOUTH POST AT SLIDE,115.0,NONE,AT END OF SLIDE,,TIMBER (SLEEPER),NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,CONTAINS COMBINATION UNIT AND ROCKERS.,PLAY AREA,,98.4918070622253,39.7916704359,,,20,,,240,0,39.7904498978498,98.4923430873991
167,628,146,PLAR375,KAMBAH DISTRICT PARK,PLGR305,KAMBAH,1980.0,60000.0,TANBARK,SOUTH WESTERN SIDE OF PLAYGROUND,230.0,RUBBER,EASTERN SIDE OF PLAYGROUND,,CONCRETE,NONE,SEALED PATH,,NO,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,CONTAINS  COMBINATION UNIT.SPEED GYRO & 2 X SURFBOARD ROCKERS,PLAY AREA,,220.19705764694697,60.1152668004,,,20,,,627,0,60.1116622753744,220.19717994845902
168,629,147,PLAR376,KAMBAH DISTRICT PARK,PLGR305,KAMBAH,2007.0,44000.0,TANBARK,SOUTH SUPPORT POST OF ANT HILL,370.0,RUBBER (WET POUR),0.5M FROM ANT HILL CLIMBER WALL,180.0,CONCRETE,NONE,SEALED PATH,,NO,NO,NO,NO,0,0,0,1,0,0,0,0,0,0,3,1,0,1,0,1,0,0,0,0,7,"CONTAINS ROCKWALL CLIMBER, T-SWING, KANGAROO ROCKERS, SPINNER AND MOUND SLIDE.  UPGRADE MOUND AREA IN THE SHORT TERM.",PLAY AREA,,504.843120212697,85.9754420518,,,20,,,628,0,85.97046737670031,504.843021212721
169,630,152,PLAR387,PRIMMER COURT,PLGR306,KAMBAH,2002.0,35000.0,RUBBER,,160.0,NONE,,,MIXED,PARTIAL,WHEELCHAIR ACCESSIBLE,,YES,YES,YES,YES,1,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,6,"CONTAINS COMBINATION UNIT, ROCKERS, SPINNING POLES AND BALANCE BEAM.",PLAY AREA,,237.256040229768,67.9761486056,,,20,,,629,0,67.9721599460048,237.256488372034
170,631,158,PLAR395,ALLCHIN CIRCUIT,PLGR312,KAMBAH,2009.0,31000.0,MULCH,NORTH WEST SUPPORT POST AT SLIDE,150.0,NONE,UNDERNEATH CRADLE SWING SEAT,,CONCRETE,NONE,GRAVEL PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4,"CONTAINS COMBINATION UNIT, SWING, ROCKER, SPEAKING TUBES AND MAZE POLES.",PLAY AREA,,263.26131248704104,71.4979620891,,,20,,,630,0,71.49335633831679,263.261374200945
171,633,485,PLAR808,MAX JACOBS AVENUE NEIGHBOURHOOD PARK,PLGR639,WRIGHT,,,RUBBER,EAST OF MAX JACOBS AVENUE,,,,,CONCRETE,,MULTIPLE FOOTPATHS,,YES,YES,YES,YES,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,"CONTAINS MEDIUM COMBONATION UNIT, SUPERNOVA, DOUBLE SWING, 2 X ROCKERS",PLAY AREA,,352.439040920027,89.74849505510001,,,20,,,602,0,89.7426382580343,352.43922878514604
172,634,18,PLAR806,DILLON CLOSE PEDESTRIAN PARKLAND,PLGR638,WESTON,2005.0,,RUBBER,,,,,,CONCRETE,,,,,,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,PLAY AREA,,77.5929740825865,33.6302764704,,,20,,,603,0,33.6282976095589,77.5927053707034
173,636,88,PLAR308,NEWMAN MORRIS CIRCUIT,PLGR255,OXLEY,1980.0,32000.0,TANBARK,NORTH EAST SUPPORT POST AT SLIDE,170.0,NONE,UNDERNEATH FLAT SWING SEAT,,MIXED,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWING AND ROCKER.",PLAY AREA,,182.00941534171199,54.709220708000004,,,20,,,605,0,54.7065770599408,182.009808156785
175,647,600,PLAR835,BANJO PATTERSON AVENUE NEIGHBOURHOOD PLAYGROUND,PLGR654,WRIGHT,,,RUBBER,WEST OF SHELTER,,,,,CONCRETE,POOL STYLE,MULTIPLE PATHWAYS,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,PLAY AREA,,478.96045451910004,117.9384013248,,,20,,,647,0,117.93056322270701,478.96032471934603
176,654,622,PLAR691,SUMMERLAND CIRCUIT (NORTH),PLGR580,KAMBAH,2010.0,14000.0,MULCH,AT SLIDE LADDER,105.0,NONE,END OF SLIDE,,CONCRETE,PARTIAL,WHEELCHAIR ACCESSIBLE,,NO,NO,NO,NO,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,HAS THE SLIDE AND EXERCISE EQUIPMENT,PLAY AREA,,122.752839839382,52.7162842187,,,20,,,654,0,52.713615458319,122.753182256887
191,118,474,PLAR234,LIGHT STREET,PLGR200,GRIFFITH,1985.0,25000.0,TANBARK,NORTH SUPPORT POST OF EAST SWING FRAME,290.0,NONE,WEST SWING UNDERNEATH SOUTH FLAT SWING SEAT CENTRE,,MIXED,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,"CONTAINS SLIDE,  2 SWINGS AND ROCKERS.",PLAY AREA,,276.369227716176,69.5038163584,,,20,,,143,0,69.5020066647645,276.368499201727
177,655,2,PLAR706,WESTON COMMUNITY PARK,PLGR588,WESTON,2010.0,41000.0,TANBARK,EAST SUPPORT POST AT SLIDE,315.0,NONE,UNDERNEATH TODDLER SWING SEAT,,CONCRETE,PARTIAL,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,6,"LARGE CIRCULAR AREA WITH COMBINATION UNIT, SWINGS, ROCKER AND ROTATING ELEMENTS.",PLAY AREA,,431.27987499942395,81.51302830270001,,,20,,,655,0,81.50822817342029,431.280279699794
178,7,578,PLAR671,MOLONGO GEORGE NATURE RESERVE (SOUTH),PLGR540,KOWEN,2002.0,60000.0,TANBARK,NORTH POST AT STRAIGHT SLIDE,260.0,NONE,UNDER CENTRE OF MONKEY BARS,,TIMBER (SLEEPER),NONE,GRAVEL PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS COMBINATION UNIT.,PLAY AREA,,249.64305921199298,63.9862051446,,,20,,,16,0,63.987437774799005,249.64291911926003
179,14,579,PLAR672,MOLONGO GEORGE NATURE RESERVE (NORTH),PLGR541,KOWEN,2004.0,12000.0,TANBARK,NORTH SUPPORT POST OF SWING FRAME,120.0,NONE,UNDER FLAT SWING SEAT,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,CONTAINS SWING AND ROCKERS.,PLAY AREA,,184.212582380521,54.5674584908,,,20,,,17,0,54.5684545094346,184.212669207413
180,22,545,PLAR615,SANDALWOOD STREET,PLGR500,KINGSTON,2002.0,32000.0,TANBARK,NORTH SUPPORT POST AT SLIDE,230.0,NONE,UNDERNEATH CRADLE SWING SEAT CENTRE,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,"CONTAINS COMBINATION UNIT, SWING AND ROCKERS",PLAY AREA,,210.285146255262,62.9063832642,,,20,,,25,0,62.9049778749672,210.28420230753002
181,34,482,PLAR245,GOLDEN GROVE,PLGR207,RED HILL,2002.0,55000.0,TANBARK,NORTH EAST SUPPORT POST AT BANISTER RAILS,200.0,NONE,UNDERNEATH EAST FLAT SWING SEAT,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,"CONTAINS COMBINATION UNIT, SWING, SLIDE AND ROCKER.",PLAY AREA,,246.261516245615,64.5428475019,,,20,,,4,0,64.5409019360143,246.261358306345
182,44,481,PLAR243,LAWLEY STREET,PLGR206,DEAKIN,2000.0,52000.0,TANBARK,NORTH SUPPORT POST AT SLIDE,220.0,NONE,UNDERNEATH CRADLE SWING SEAT CENTRE,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,"CONTAINS COMBINATION UNIT, SWING, JUNIOR CLIMBER AND ROCKERS.",PLAY AREA,,241.043017716754,60.4121176037,,,20,,,87,0,60.40963600780729,241.04207144599602
183,45,45,PLAR248,ASTROLABE STREET,PLGR209,RED HILL,1985.0,27000.0,TANBARK,EAST SUPPORT POST OF MONKEY BAR LADDER,200.0,NONE,UNDERNEATH CENTRE OF MONKEY BARS,,TIMBER (SLEEPER),NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CONTAINS MONKEY BARS, ROCKERS, CRAWL TUNNEL AND BALANCE BEAM.",PLAY AREA,,196.93669677981498,51.6848328937,,,20,,,88,0,51.6833889885053,196.936951371665
184,61,37,PLAR729,DEAMER CRESCENT,PLGR231,CHISHOLM,,,TANBARK,,190.0,,,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,,PLAY AREA,,189.11352486531,52.4721384487,,,20,,,53,0,52.470721597912394,189.11475339893798
192,119,475,PLAR235,THROSBY LANE - PEDESTRIAN PARKLAND,PLGR201,GRIFFITH,1985.0,33000.0,TANBARK,NORTH WEST SUPPORT POST AT BARRIER RAILS,300.0,NONE,UNDERNEATH SOUTH SWING FLAT SEAT CENTRE,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,"CONTAINS COMBINATION UNIT, SLIDE AND SWING.",PLAY AREA,,295.898943804322,70.4324205537,,,20,,,144,0,70.4306836149658,295.898131043279
185,64,39,PLAR723,EDDISON DISTRICT PARK (WEST),PLGR381,PHILLIP,2010.0,0.0,CONCRETE,,300.0,NONE,,,NONE,NONE,WHEELCHAIR ACCESSIBLE,,NO,NO,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SENSORY PATH AREA. CONTAIN 2 LARGE DECKS / STAGES.,PLAY AREA,,289.700519145129,238.0577301539,,,20,,,56,0,238.046891753146,289.701144780426
186,79,643,PLAR774,RAILWAY STREET - PEDESTRIAN PARKLAND,PLGR187,OAKS ESTATE,2012.0,,TANBARK,SOUTH EASTERN END,,,,,CONCRETE,,PATHWAY,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CONTAINS CAROUSEL & TRAIN,PLAY AREA,,66.38682313576261,36.4152428903,,,20,,,71,0,36.415751660282204,66.3867101373139
187,80,645,PLAR776,ROSMAN CIRCUIT,PLGR239,GILMORE,2012.0,,TANBARK,NORTHERN END,,,,,CONCRETE,,NO PATH,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CONTAINS COMBINATION UNIT AN SOUND TUBE,PLAY AREA,,70.9158853477372,31.155007635300002,,,20,,,72,0,31.1542150028631,70.91598746366941
188,86,646,PLAR777,ROSMAN CIRCUIT,PLGR239,GILMORE,2012.0,,TANBARK,SOUTHERN END,,,,,CONCRETE,,NO PATH,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CONTAINS SWINGS, SEESAW & SOUND TUBE",PLAY AREA,,75.4711717254759,32.0553091397,,,20,,,78,0,32.0544243418142,75.4711869288378
189,116,472,PLAR230,FLINDERS WAY,PLGR198,GRIFFITH,1980.0,16000.0,TANBARK,"NORTH SWING, NORTH CENTRAL POST",160.0,NONE,"SOUTH SWING, UNDER TODDLER SEAT",,CONCRETE,NONE,NO PATH,,NO,NO,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,CONTAINS 2 SWINGS.,PLAY AREA,,172.248352480776,49.532128206,,,20,,,141,0,49.530734829473,172.24831626459599
190,117,473,PLAR233,STOKES STREET,PLGR199,GRIFFITH,1985.0,27000.0,TANBARK,SOUTH WEST SUPPORT POST AT FIREPOLE,140.0,NONE,UNDERNEATH CENTRE OF CRADLE SWING SEAT,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"CONTAINS COMBINATION UNIT, SLIDE AND ROCKER.",PLAY AREA,,158.426990800811,49.8382259463,,,20,,,142,0,49.836712982973204,158.426563303671
195,128,464,PLAR219,SPRENT STREET,PLGR190,NARRABUNDAH,1995.0,35000.0,TANBARK,NORTH SUPPORT POST AT SLIDE,130.0,NONE,UNDERNEATH EAST FLAT SWING SEAT CENTRE,,CONCRETE,NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,"CONTAINS COMBINATION UNIT, SWING, ROCKERS AND BALANCE BEAM.",PLAY AREA,,209.497669814977,52.7428592398,,,20,,,127,0,52.74154193057299,209.497341082578
196,129,465,PLAR220,ANEMBO STREET - PEDESTRIAN PARKLAND (WEST),PLGR191,NARRABUNDAH,2000.0,52000.0,TANBARK,NORTH EAST SUPPORT POST AT SLIDE,280.0,NONE,UNDERNEATH CRADLE SWING SEAT CENTRE,,TIMBER (SLEEPER),NONE,GRAVEL PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,"CONTAINS COMBINATION UNIT, SWING AND ROCKERS.",PLAY AREA,,269.52664758136103,73.18009018020001,,,20,,,128,0,73.1786777826034,269.526266605273
197,130,466,PLAR222,ANEMBO STREET - PEDESTRIAN PARKLAND (EAST),PLGR192,NARRABUNDAH,1990.0,22000.0,TANBARK,SOUTH EAST SUPPORT POST OF TRACKGLIDE,200.0,NONE,UNDERNEATH NORTH FLAT SWING SEAT CENTRE,,NONE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"CONTAINS SWING, SLIDE TRACKGLIDE AND ROCKERS.",PLAY AREA,,278.628395768386,68.0506449506,,,20,,,129,0,68.04937572251161,278.628538974399
198,131,468,PLAR226,BROCKMAN STREET - PEDESTRIAN PARKLAND,PLGR196,NARRABUNDAH,1995.0,20000.0,TANBARK,NORTH SUPPORT POST AT SLIDE,145.0,NONE,UNDERNEATH CENTRE OF TRACKGLIDE,,TIMBER (SLEEPER),NONE,NO PATH,,NO,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS COMBINATION UNIT.,PLAY AREA,,161.312987663983,51.0414507388,,,20,,,130,0,51.0400413628683,161.31222403221
199,132,469,PLAR227,WELLS GARDENS,PLGR197,GRIFFITH,1985.0,16000.0,TANBARK,SOUTH SUPPORT POST OF SWING FRAME,180.0,NONE,NORTH SWING SEAT CENTRE,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"CONTAINS SLIDE, SWING AND TURNOVER BAR.",PLAY AREA,,168.505426555322,55.6169413691,,,20,,,131,0,55.615309694473,168.50569011610702
