objectid_1,objectid,heritage_i,location_i,name,status,status_dat,owner_name,descr,site_name,loc_type,title,block_key,district_n,district_i,division_n,division_i,heritage_r,shape_leng,shape_length,shape_area
331,331,2501,8487,Lower Molonglo 1,Provisional Registration,,,,Lower Molonglo 1,Natural,District of BELCONNEN,0,Various,V,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/v#various,2914.1644668410304,2914.1644668410304,326289.561561668
332,332,280,384,King Billy's Cottage site,Nominated for Provisional Registration,,,Block 2087 (part),,Historic,District of JERRABOMBERRA,0,JERRABOMBERRA,J,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/j#jerrabomberra,3899.4423341833203,3899.4423341833203,479146.478705722
333,333,2861,9266,Evans House,Nominated for Provisional Registration,,,,,Historic,,0,BELCONNEN,B,COOK,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#cook,142.027264022655,142.027264022655,1156.48663162292
334,334,1362,4702,Wybalena Grove,Nominated for Provisional Registration,,,Section 37 Block 1,,,COOK,0,BELCONNEN,B,COOK,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#cook,2779.70770796122,2779.70770796122,114782.642082062
340,340,387,4445,Haig Park,Final Registration,,,"Section 65 Blocks 1-3 and 9, Section 66 Blocks 4, 9-13, 18, 19, 22",,Historic,TURNER,0,CANBERRA CENTRAL,C,BRADDON,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#braddon,2102.33330359237,2102.33330359237,112158.68979324099
389,389,1243,2425,"M42-6, MV14",Final Registration,20050309.0,,,,Restricted,,20000000611,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,5439.35423327649,5439.35423327649,1430335.27367289
335,335,467,483,Kingston/Griffith Housing Precinct,Final Registration,,,"Section 15 Blocks 1-7, 10-16 ,21,22, Section 16 Blocks 1-18,Section 17 Blocks 1-15",,Historic,KINGSTON,0,CANBERRA CENTRAL,C,Various,V,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/,1658.0254276095402,1658.0254276095402,121194.777881562
341,341,84,176,Civic Square,Nominated for Provisional Registration,,,"Section 19 Blocks 3, 10, 18, 19, 20-22, 23 (part)",,Historic,CITY,0,CANBERRA CENTRAL,C,CITY,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#city,786.9000908643151,786.9000908643151,29910.743841642998
2820,2820,2029,2138,MRC149,Final Registration,20050308.0,,,,Restricted,,110000000066,COREE,C,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#coree,18611.8670466874,18611.8670466874,6891724.25537467
336,336,462,452,Reid Housing Precinct,Final Registration,,,"Section 15 Blocks 1-15, Section 16 Blocks 1-10, Section 17 Blocks 1-10, Section 18 Blocks 1-14, Section 23 Blocks 1-16 & 19-25, Section 24 Blocks 1-22, Section 25 Blocks 1, 3-11, Section 26 Blocks 2 & 3, Section 27 Block 1, Section 28 Blocks 1-10, Sectio",,Historic,REID,0,CANBERRA CENTRAL,C,Various,V,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/,3067.82716301672,3067.82716301672,557560.7755574561
337,337,2624,8223,Former Sewerage Attendant's Cottage,Final Registration,,,"Block 1168, 1196 Part",,Historic,District of WESTON CREEK,0,MOLONGLO VALLEY,M,COOMBS,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#coombs,227.807405252523,227.807405252523,2600.7250785339397
338,338,182,104,"Swinger Hill Stage 1 and 2, Cluster Housing",Final Registration,,,Section 63 Blocks 1-25,,Historic,PHILLIP,0,WODEN VALLEY,W,PHILLIP,P,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/p#phillip,553.590764204931,553.590764204931,4338.28460240467
355,355,1683,5103,"Small Purple Pea Habitat (at Mt Taylor, Kambah and Aranda)",Final Registration,,,Block 1552 (part) Mt Taylor site,,Natural,District of TUGGERANONG,0,Various,V,Various,V,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/,9780.61763510782,9780.61763510782,2059036.50683282
342,342,114,206,36 Furneaux Street,Final Registration,,,Section 3 Block 9,,Historic,GRIFFITH,0,CANBERRA CENTRAL,C,GRIFFITH,G,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/g#griffith,147.979169609578,147.979169609578,1353.0941366699499
343,343,35,50,Campbell Housing Group,Final Registration,,,Section 9 Block 15,,Historic,CAMPBELL,0,CANBERRA CENTRAL,C,CAMPBELL,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#campbell,245.419285827292,245.419285827292,3083.91574154094
344,344,205,127,St Ninian's Church,Final Registration,,,Section 41 Block 1,,Historic,LYNEHAM,0,CANBERRA CENTRAL,C,LYNEHAM,L,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/l#lyneham,38.53318810790321,38.53318810790321,79.02110782020921
345,345,121,213,St Paul's Church of England Burial Ground,Final Registration,,,Section 95 Block 1,,Historic,EVATT,0,BELCONNEN,B,EVATT,E,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/e#evatt,361.206825432846,361.206825432846,7818.639132013371
356,356,250,303,Travelling Stock Route,Nominated for Provisional Registration,,,Block 130,,Historic,District of TUGGERANONG,0,TUGGERANONG,T,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/t#tuggeranong,1223.82152554181,1223.82152554181,73095.8767644045
2821,2821,2029,2141,MRC163,Final Registration,20050308.0,,,,Restricted,,110000000066,COREE,C,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#coree,18611.8670466874,18611.8670466874,6891724.25537467
346,346,320,269,"Mt Stromlo Observatory, Director's House- Institute, of Anatomy",Nominated for Provisional Registration,,,Block 38,,Historic,District of STROMLO,0,STROMLO,S,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/s#stromlo,4456.60709485154,4456.60709485154,812207.4052090159
347,347,319,268,Stromlo Housing,Nominated for Provisional Registration,,,Block 38,,Historic,District of STROMLO,0,STROMLO,S,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/s#stromlo,4456.60709485154,4456.60709485154,812207.4052090159
348,348,250,296,Travelling Stock Route,Nominated for Provisional Registration,,,Block 59,,Historic,District of STROMLO,0,STROMLO,S,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/s#stromlo,1510.6720812418,1510.6720812418,94723.7940753976
357,357,44,59,All Saints Church,Final Registration,,,Section 24 Block 15,,Historic,AINSLIE,0,CANBERRA CENTRAL,C,AINSLIE,A,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/a#ainslie,346.155051975901,346.155051975901,7013.365632693921
358,358,252,356,Ukranian Orthodox Church,Nominated for Provisional Registration,,,Section 37 Blocks 4-5,,Historic,,0,CANBERRA CENTRAL,C,TURNER,T,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/t#turner,242.938519267195,242.938519267195,3987.6688519032796
359,359,377,305,Yarralumla Woolshed and Outbuildings,Provisional Registration,,,Blocks 1201 (part) and 1144,,Historic,District of WESTON CREEK,0,WESTON CREEK,W,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/w#weston_creek,2298.25419740309,2298.25419740309,187444.274232983
390,390,1243,4584,Aboriginal Places in the District of Majura,Final Registration,20050309.0,,,,Restricted,,20000000611,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,5439.35423327649,5439.35423327649,1430335.27367289
349,349,460,4620,Brumby Yards,Final Registration,,,part Block 163 (Site 10) and part Block 24 (Site 11),,Historic,District of TENNENT,0,TENNENT,T,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/t#tennent,628.242180681597,628.242180681597,31407.5234503802
362,362,2564,8527,Eucalyptus aggregata (Black Gum) Habitat on the Kings Highway and 'Felled Timbers' property,Nominated for Provisional Registration,,,,,Natural,District of KOWEN,0,KOWEN,K,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/k#kowen,156.880309758378,156.880309758378,1953.54132145593
391,391,1243,1250,MV103,Final Registration,20050309.0,,,,Restricted,,20000000611,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,5439.35423327649,5439.35423327649,1430335.27367289
350,350,460,4620,Brumby Yards,Final Registration,,,part Block 163 (Site 10) and part Block 24 (Site 11),,Historic,District of TENNENT,0,TENNENT,T,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/t#tennent,628.244552977667,628.244552977667,31407.7639090784
351,351,418,428,Tennent Homestead,Final Registration,,,Block 1 (part),,Historic,District of TENNENT,0,TENNENT,T,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/t#tennent,668.657313881267,668.657313881267,25242.5164671237
352,352,371,299,Honeysuckle Creek Tracking Station (NASA Ground Station Complex),Final Registration,,,"Block 120, Tracking Station",,Historic,District of TENNENT,0,TENNENT,T,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/t#tennent,972.043095140911,972.043095140911,58913.4184265094
353,353,372,300,Lanyon,Final Registration,,,"Blocks 128, 1244, 1245,1426, 1478, 1480,1481, 1537, 1494-1496",,Historic,District of TUGGERANONG,0,TUGGERANONG,T,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/t#tuggeranong,16798.2765078126,16798.2765078126,4600264.21842432
354,354,422,432,Royalla Woolshed,Nominated for Provisional Registration,,,Block 1249,,Historic,District of TUGGERANONG,0,TUGGERANONG,T,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/t#tuggeranong,1641.70303200635,1641.70303200635,161771.224301446
360,360,47,9006,Lennox House,Final Registration,,,,,Historic,,0,CANBERRA CENTRAL,C,ACTON,A,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/a#acton,1878.77755081198,1878.77755081198,74312.4889906857
361,361,120,212,Northbourne Housing Precinct Representative Sample,Final Registration,,,"Section 1 Block 4, Section 12 Block 1, Section 6 Block 41",,Historic,DICKSON,0,CANBERRA CENTRAL,C,LYNEHAM,L,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/l#lyneham,120.94511582594,120.94511582594,560.0
487,487,1166,1328,JA7,Final Registration,20050309.0,,,,Restricted,,88031110006,JERRABOMBERRA,J,SYMONSTON,S,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/s#symonston,4275.9777257306,4275.9777257306,998547.586381452
363,363,2564,8527,Eucalyptus aggregata (Black Gum) Habitat on the Kings Highway and 'Felled Timbers' property,Nominated for Provisional Registration,,,,,Natural,District of KOWEN,0,KOWEN,K,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/k#kowen,156.88033722232902,156.88033722232902,1953.5420055199
364,364,2564,8527,Eucalyptus aggregata (Black Gum) Habitat on the Kings Highway and 'Felled Timbers' property,Nominated for Provisional Registration,,,,,Natural,District of KOWEN,0,KOWEN,K,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/k#kowen,156.88036649474301,156.88036649474301,1953.5427345741398
365,365,2564,8527,Eucalyptus aggregata (Black Gum) Habitat on the Kings Highway and 'Felled Timbers' property,Nominated for Provisional Registration,,,,,Natural,District of KOWEN,0,KOWEN,K,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/k#kowen,156.880327736242,156.880327736242,1953.54176917887
366,366,2564,8527,Eucalyptus aggregata (Black Gum) Habitat on the Kings Highway and 'Felled Timbers' property,Nominated for Provisional Registration,,,,,Natural,District of KOWEN,0,KOWEN,K,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/k#kowen,156.880327736147,156.880327736147,1953.5417691765101
367,367,2801,8363,Gubur Dhaura (Aboriginal Ochre Quarry and Historic Mining Area),Final Registration,,,Section 106 Block 1,,,District of GUNGAHLIN,0,GUNGAHLIN,G,FRANKLIN,F,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/f#franklin,1432.56426150704,1432.56426150704,65362.3504163625
368,368,387,395,Haig Park,Final Registration,,,"Sections 8 Blocks 3, 6, 7 and Section 14 Block 1",,Historic,BRADDON,0,CANBERRA CENTRAL,C,TURNER,T,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/t#turner,2765.9494066514503,2765.9494066514503,133161.582611871
369,369,260,364,Naas Valley,Nominated for Provisional Registration,,,"Blocks 1-6, 9, 10, 14, 16, 18,, 19, 20, 21, 24, 28, 40, 50-52,, 57, 59, 60-62, 64, 67, 68, 70-73,, 76-79, 81-86, 96, 101",,Historic,,0,BOOTH,B,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#booth,8312.15604743467,8312.15604743467,1698285.6292016
370,370,260,364,Naas Valley,Nominated for Provisional Registration,,,"Blocks 1-6, 9, 10, 14, 16, 18,, 19, 20, 21, 24, 28, 40, 50-52,, 57, 59, 60-62, 64, 67, 68, 70-73,, 76-79, 81-86, 96, 101",,Historic,,0,BOOTH,B,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#booth,10921.0654319291,10921.0654319291,3277020.10162151
371,371,34,49,Gossan Hill,Final Registration,,,Section 4 Blocks 9 (part) & 17 (part),,Historic,BRUCE,0,BELCONNEN,B,BRUCE,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#bruce,1781.2604670746,1781.2604670746,185885.50663673898
372,372,3361,9546,St Josephs Catholic Church,Nominated for Provisional Registration,,,,,Historic,O'CONNOR,0,CANBERRA CENTRAL,C,O'CONNOR,O,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/o#oconnor,881.058692953824,881.058692953824,26690.230286271602
373,373,1422,4762,Woden Library,Final Registration,,,Section 8  Block 27,,Historic,PHILLIP,0,WODEN VALLEY,W,PHILLIP,P,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/p#phillip,343.270563367335,343.270563367335,1599.37488845928
374,374,1422,4762,Woden Library,Final Registration,,,Section 8  Block 27,,Historic,PHILLIP,0,WODEN VALLEY,W,PHILLIP,P,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/p#phillip,211.993416706182,211.993416706182,2683.12727297773
375,375,250,222,Travelling Stock Route,Nominated for Provisional Registration,,,Block 314,,Historic,District of HALL,0,PADDYS RIVER,P,THARWA,T,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/t#tharwa,1734.4732319357502,1734.4732319357502,129358.267214542
376,376,1166,2639,CA 5,Final Registration,20050309.0,,,,Restricted,,88040100001,JERRABOMBERRA,J,BEARD,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#beard,1048.7201327295402,1048.7201327295402,40459.6263818317
377,377,1244,2736,HPD PAD (AS-MD),Final Registration,20050309.0,,,,Restricted,,77062100001,GUNGAHLIN,G,NGUNNAWAL,N,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/n#ngunnawal,84.3342710866285,84.3342710866285,402.698573902521
378,378,1247,2804,BRF1 and PAD,Final Registration,20050309.0,,,,Restricted,,11030900003,CANBERRA CENTRAL,C,O'CONNOR,O,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/o#oconnor,1006.17171904569,1006.17171904569,42370.5735393668
387,387,1243,1204,"AAS3, MV28",Final Registration,20050309.0,,,,Restricted,,20000000611,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,5439.35423327649,5439.35423327649,1430335.27367289
388,388,1243,1249,MV72,Final Registration,20050309.0,,,,Restricted,,20000000611,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,5439.35423327649,5439.35423327649,1430335.27367289
488,488,1166,478,Aboriginal Places in the District of Jerrabomberra,Final Registration,20050309.0,,,,Restricted,,88031110006,JERRABOMBERRA,J,SYMONSTON,S,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/s#symonston,4275.9777257306,4275.9777257306,998547.586381452
379,379,1823,5168,Aboriginal Places in Pierces Creek Forest,Final Registration,20050309.0,,,,Restricted,,160000000322,PADDYS RIVER,P,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/p#paddys_river,21233.9433308102,21233.9433308102,10323731.6226784
380,380,1243,2927,MV102,Final Registration,20050309.0,,,,Restricted,,20000000611,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,5439.35423327649,5439.35423327649,1430335.27367289
381,381,1243,1236,MV83,Final Registration,20050309.0,,,,Restricted,,20000000611,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,5439.35423327649,5439.35423327649,1430335.27367289
382,382,1243,762,"M42-5, MV15",Final Registration,20050309.0,,,,Restricted,,20000000611,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,5439.35423327649,5439.35423327649,1430335.27367289
383,383,1243,2783,"AIF2, MV16",Final Registration,20050309.0,,,,Restricted,,20000000611,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,5439.35423327649,5439.35423327649,1430335.27367289
384,384,1243,2805,"AIF4, MV24",Final Registration,20050309.0,,,,Restricted,,20000000611,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,5439.35423327649,5439.35423327649,1430335.27367289
385,385,1243,1220,MV74,Final Registration,20050309.0,,,,Restricted,,20000000611,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,5439.35423327649,5439.35423327649,1430335.27367289
386,386,1243,2806,"AAS2, MV27",Final Registration,20050309.0,,,,Restricted,,20000000611,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,5439.35423327649,5439.35423327649,1430335.27367289
392,392,1243,1286,"AIF3, MV17",Final Registration,20050309.0,,,,Restricted,,20000000611,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,5439.35423327649,5439.35423327649,1430335.27367289
393,393,1243,1287,"AIF5, MV25",Final Registration,20050309.0,,,,Restricted,,20000000611,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,5439.35423327649,5439.35423327649,1430335.27367289
394,394,1243,1288,"AIF6, MV26",Final Registration,20050309.0,,,,Restricted,,20000000611,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,5439.35423327649,5439.35423327649,1430335.27367289
395,395,413,6644,Jerrabomberra Wetlands,Final Registration,20050309.0,,,,Restricted,,12170060020,CANBERRA CENTRAL,C,KINGSTON,K,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/k#kingston,944.211299118248,944.211299118248,51562.1888993993
396,396,2001,598,SUC 35,Final Registration,20050308.0,,,,Restricted,,110000000089,COREE,C,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#coree,4220.11700978762,4220.11700978762,622319.515063256
397,397,2027,1120,Scarred Tree Tuggeranong,Final Registration,20050308.0,,,,Restricted,,66021010004,TUGGERANONG,T,WANNIASSA,W,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/w#wanniassa,1332.14264936824,1332.14264936824,36001.9496261857
398,398,2027,7546,Aboriginal Scarred Trees across the ACT,Final Registration,20050308.0,,,,Restricted,,66021010004,TUGGERANONG,T,WANNIASSA,W,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/w#wanniassa,1332.14264936824,1332.14264936824,36001.9496261857
403,403,2029,2291,MRC87,Final Registration,20050308.0,,,,Restricted,,170000000117,TENNENT,T,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/t#tennent,6205.46871119221,6205.46871119221,1783494.78171086
2822,2822,1801,1786,UF 22,Final Registration,20050309.0,,,,Restricted,,110000000066,COREE,C,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#coree,18611.8670466874,18611.8670466874,6891724.25537467
399,399,2001,1072,IF2,Final Registration,20050308.0,,,,Restricted,,10000001329,CANBERRA CENTRAL,C,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#canberra_central,2205.9586672904197,2205.9586672904197,235322.08453841897
400,400,1233,2663,BHDS2,Final Registration,20050309.0,,,,Restricted,,77010450001,GUNGAHLIN,G,MITCHELL,M,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#mitchell,1850.8231950851502,1850.8231950851502,145094.041447325
401,401,1961,2941,OBR 2,Final Registration,20050309.0,,,,Restricted,,180000000023,BOOTH,B,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#booth,706.0111816769161,706.0111816769161,28207.469210736203
402,402,2029,670,MRC86,Final Registration,20050308.0,,,,Restricted,,170000000117,TENNENT,T,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/t#tennent,6205.46871119221,6205.46871119221,1783494.78171086
489,489,2023,1156,Q2,Final Registration,20050308.0,,,,Restricted,,70000000829,GUNGAHLIN,G,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/g#gungahlin,4531.89471394705,4531.89471394705,561937.426021748
404,404,1172,1069,WBIF2,Final Registration,20050309.0,,,,Restricted,,55691060002,BELCONNEN,B,MACGREGOR,M,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#macgregor,564.373154584409,564.373154584409,17924.4847824951
405,405,1162,1584,CLWB18,Final Registration,20050309.0,,,,Restricted,,55691060002,BELCONNEN,B,MACGREGOR,M,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#macgregor,564.374692958673,564.374692958673,17924.9465571427
418,418,1243,2896,"OC11, MV71",Final Registration,20050309.0,,,,Restricted,,20000000719,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,8019.694166097529,8019.694166097529,1277041.34306604
419,419,1243,2903,MV95,Final Registration,20050309.0,,,,Restricted,,20000000719,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,8019.694166097529,8019.694166097529,1277041.34306604
406,406,1162,4456,Aboriginal Places along Urban and Rural Bushfire Containment Lines,Final Registration,20050309.0,,,,Restricted,,55691060002,BELCONNEN,B,MACGREGOR,M,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#macgregor,564.374692958673,564.374692958673,17924.9465571427
407,407,1162,2849,CLWB17,Final Registration,20050309.0,,,,Restricted,,55691060002,BELCONNEN,B,MACGREGOR,M,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#macgregor,564.374692958673,564.374692958673,17924.9465571427
420,420,1243,1235,MV81,Final Registration,20050309.0,,,,Restricted,,20000000719,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,8019.694166097529,8019.694166097529,1277041.34306604
408,408,1162,1446,CLC12,Final Registration,20050309.0,,,,Restricted,,77070920001,GUNGAHLIN,G,AMAROO,A,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/a#amaroo,2248.20395193212,2248.20395193212,104836.57629317301
415,415,2029,674,MRC90c,Final Registration,20050308.0,,,,Restricted,,60000001508,TUGGERANONG,T,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/t#tuggeranong,4472.023876424149,4472.023876424149,526203.239673255
461,461,1243,2111,PN1 ; P1,Final Registration,20050309.0,,,,Restricted,,80000002028,JERRABOMBERRA,J,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/j#jerrabomberra,1131.34336204846,1131.34336204846,23136.685059044703
409,409,1162,4442,Aboriginal Places along Urban and Rural Bushfire Containment Lines,Final Registration,20050309.0,,,,Restricted,,77070920001,GUNGAHLIN,G,AMAROO,A,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/a#amaroo,2248.20395193212,2248.20395193212,104836.57629317301
416,416,2029,675,MRC91,Final Registration,20050308.0,,,,Restricted,,60000001508,TUGGERANONG,T,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/t#tuggeranong,4472.023876424149,4472.023876424149,526203.239673255
462,462,1166,1331,CA 1,Final Registration,20050309.0,,,,Restricted,,80000002028,JERRABOMBERRA,J,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/j#jerrabomberra,1131.34356159263,1131.34356159263,23136.6894518506
410,410,2023,2253,C3/4,Final Registration,20050308.0,,,,Restricted,,77070920001,GUNGAHLIN,G,AMAROO,A,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/a#amaroo,2248.20395193212,2248.20395193212,104836.57629317301
411,411,1244,2736,HPD PAD (AS-MD),Final Registration,20050309.0,,,,Restricted,,77050970015,GUNGAHLIN,G,CASEY,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#casey,86.99696130089409,86.99696130089409,387.472494504861
412,412,353,326,Birrigai Rock Shelter,Final Registration,20150610.0,,,,Restricted,,160000000086,PADDYS RIVER,P,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/p#paddys_river,152.93834464307199,152.93834464307199,1004.28306213702
413,413,1941,5743,Aboriginal Places - Tidbinbilla Nature Reserve and Birrigai,Final Registration,20050309.0,,,,Restricted,,160000000086,PADDYS RIVER,P,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/p#paddys_river,152.93834464307199,152.93834464307199,1004.28306213702
414,414,2027,2214,C5/9; ST2,Final Registration,20050308.0,,,,Restricted,,77190630038,GUNGAHLIN,G,BONNER,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#bonner,64.7170180620635,64.7170180620635,247.28179692431
417,417,1243,1244,MV96,Final Registration,20050309.0,,,,Restricted,,20000000719,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,8019.694166097529,8019.694166097529,1277041.34306604
463,463,1162,1490,CLC4,Final Registration,20050309.0,,,,Restricted,,55530280039,BELCONNEN,B,KALEEN,K,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/k#kaleen,82.0680420336157,82.0680420336157,362.47300565894403
421,421,1243,1234,MV80,Final Registration,20050309.0,,,,Restricted,,20000000719,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,8019.694166097529,8019.694166097529,1277041.34306604
422,422,1243,1218,"OC10, MV70",Final Registration,20050309.0,,,,Restricted,,20000000719,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,8019.694166097529,8019.694166097529,1277041.34306604
423,423,1243,1241,MV91,Final Registration,20050309.0,,,,Restricted,,20000000719,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,8019.694166097529,8019.694166097529,1277041.34306604
424,424,1243,1242,MV92,Final Registration,20050309.0,,,,Restricted,,20000000719,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,8019.694166097529,8019.694166097529,1277041.34306604
425,425,1243,769,"OC12, MV62",Final Registration,20050309.0,,,,Restricted,,20000000719,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,8019.694166097529,8019.694166097529,1277041.34306604
426,426,1243,2902,MV93,Final Registration,20050309.0,,,,Restricted,,20000000719,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,8019.694166097529,8019.694166097529,1277041.34306604
472,472,1243,2807,"AAS4, MV29",Final Registration,20050309.0,,,,Restricted,,20000000051,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,3625.2251160729706,3625.2251160729706,793853.87106668
820,820,2029,5640,CT-1,Final Registration,20050308.0,,,,Restricted,,66106600025,TUGGERANONG,T,THEODORE,T,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/t#theodore,85.99750990942209,85.99750990942209,371.982669900366
427,427,1243,1243,MV94,Final Registration,20050309.0,,,,Restricted,,20000000719,MAJURA,M,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/m#majura,8019.694166097529,8019.694166097529,1277041.34306604
