sla_code_2006_,sla_name_2006_,ieo_score,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_,minimum_score_for_cds_in_area_percentile_,maximum_score_for_cds_in_area_percentile_,urp,per100_urp_without_a_cd_level_score_percentile_
240151014,Benalla (RC) Bal,1012,928,7,67,VIC,146,8,72,967,1088,4395,0
240154250,Mansfield (S),979,748,6,54,VIC,104,6,51,855,1106,7189,4
240156430,Strathbogie (S),965,642,5,46,VIC,88,5,43,881,1140,9294,0
240158249,Mount Buller Alpine Resort,1111,1229,9,89,VIC,187,10,92,1111,1111,250,72
240204851,Mitchell (S) - North,935,372,3,27,VIC,32,2,16,819,1054,10618,0
240204854,Mitchell (S) - South,941,436,4,32,VIC,44,3,22,871,1074,20310,0
240205621,Murrindindi (S) - East,967,662,5,48,VIC,90,5,44,885,1073,6156,0
240205622,Murrindindi (S) - West,1002,883,7,64,VIC,134,7,66,919,1060,7517,0
245053351,Indigo (S) - Pt A,1008,907,7,65,VIC,143,7,70,897,1089,11165,0
245056671,Towong (S) - Pt A,983,771,6,56,VIC,110,6,54,941,1052,2393,0
245057170,Wodonga (RC),953,542,4,39,VIC,68,4,34,831,1063,33006,1
245103352,Indigo (S) - Pt B,952,538,4,39,VIC,66,4,33,892,1102,3635,0
245106701,Wangaratta (RC) - Central,930,323,3,24,VIC,25,2,13,770,1030,16055,0
245106704,Wangaratta (RC) - North,1000,868,7,63,VIC,131,7,64,890,1037,4660,6
245106705,Wangaratta (RC) - South,1008,903,7,65,VIC,142,7,70,882,1056,5678,0
245150111,Alpine (S) - East,993,839,7,61,VIC,127,7,62,856,1128,7434,1
245150112,Alpine (S) - West,918,242,2,18,VIC,18,1,9,850,993,4565,0
205801613,Casey (C) - Cranbourne,904,163,2,12,VIC,10,1,5,829,1098,63916,0
245156672,Towong (S) - Pt B,990,814,6,59,VIC,123,7,61,897,1076,3624,0
309105758,Noosa (S) Bal,974,706,6,51,QLD,250,6,53,890,1103,15937,0
312053050,Esk (S),916,229,2,17,QLD,89,2,19,804,1018,15164,0
312054250,Kilcoy (S),899,136,1,10,QLD,53,2,12,870,986,3433,0
305011227,Fortitude Valley,1123,1257,10,91,QLD,437,10,92,996,1191,5386,0
210052753,Geelong,1012,925,7,67,VIC,145,8,71,833,1142,11366,0
705102806,Durack,1058,1095,8,79,NT ,79,9,87,1049,1071,2685,0
205801616,Casey (C) - Hallam,952,531,4,39,VIC,64,4,32,807,1057,49711,0
205801618,Casey (C) - South,957,575,5,42,VIC,74,4,37,873,1058,13568,0
255050831,Baw Baw (S) - Pt A,950,526,4,38,VIC,63,4,31,873,1031,4147,0
245158109,Falls Creek Alpine Resort,1013,933,7,67,VIC,147,8,72,1013,1013,255,84
210052754,Geelong West,1022,977,7,70,VIC,153,8,75,909,1093,13664,0
225053191,Horsham (RC) - Central,948,506,4,37,VIC,59,3,29,773,1050,13478,0
225053194,Horsham (RC) Bal,1021,968,7,70,VIC,152,8,75,949,1156,5016,0
210052755,Newtown,1093,1191,9,86,VIC,181,9,89,995,1188,9580,0
210052756,South Barwon - Inner,1011,924,7,67,VIC,144,8,71,921,1116,48216,1
210102757,Greater Geelong (C) - Pt B,1001,877,7,63,VIC,133,7,65,838,1160,33529,0
215106261,S. Grampians (S) - Hamilton,937,394,3,29,VIC,36,2,18,889,1019,9114,0
215106264,S. Grampians (S) - Wannon,1000,870,7,63,VIC,132,7,65,890,1150,2318,0
215106265,S. Grampians (S) Bal,1041,1046,8,75,VIC,164,9,81,848,1142,5205,0
350103840,Iama (IC),882,90,1,7,QLD,37,1,8,882,882,312,0
350103930,Injinoo (S),801,7,1,1,QLD,4,1,1,801,801,417,0
225055811,N. Grampians (S) - St Arnaud,939,415,3,30,VIC,39,2,20,883,1053,3414,0
225055814,N. Grampians (S) - Stawell,936,375,3,27,VIC,33,2,17,862,1072,8497,0
210151751,Colac-Otway (S) - Colac,906,177,2,13,VIC,12,1,6,805,992,10858,0
210151754,Colac-Otway (S) - North,987,792,6,57,VIC,113,6,56,826,1080,6063,0
210151755,Colac-Otway (S) - South,998,860,7,62,VIC,129,7,63,921,1072,3374,0
210152491,Golden Plains (S) - North-West,947,490,4,36,VIC,53,3,26,858,1080,7442,0
210152492,Golden Plains (S) - South-East,971,689,5,50,VIC,95,5,47,892,1070,9013,0
210152758,Greater Geelong (C) - Pt C,984,782,6,57,VIC,111,6,55,941,1032,2956,19
215016730,Warrnambool (C),961,613,5,44,VIC,85,5,42,823,1157,30392,0
215051831,Corangamite (S) - North,956,571,5,41,VIC,72,4,36,856,1116,9205,0
215051832,Corangamite (S) - South,980,757,6,55,VIC,106,6,52,831,1125,7412,0
215055491,Moyne (S) - North-East,1003,889,7,64,VIC,137,7,67,916,1116,2405,0
215055493,Moyne (S) - North-West,1021,967,7,70,VIC,151,8,74,885,1136,2785,0
215055496,Moyne (S) - South,988,799,6,58,VIC,116,6,57,927,1108,10262,0
255053818,Latrobe (C) Bal,1003,886,7,64,VIC,136,7,67,959,1073,2563,0
255100834,Baw Baw (S) - Pt B East,977,732,6,53,VIC,101,5,50,822,1085,3836,0
255100835,Baw Baw (S) - Pt B West,969,674,5,49,VIC,92,5,45,836,1099,29196,0
255107458,Yarra Ranges (S) - Pt B,962,622,5,45,VIC,87,5,43,958,968,591,0
255200741,Bass Coast (S) - Phillip Is.,981,767,6,55,VIC,109,6,54,905,1122,8136,0
255200744,Bass Coast (S) Bal,942,450,4,33,VIC,47,3,23,837,1142,18408,0
255206171,South Gippsland (S) - Central,981,760,6,55,VIC,107,6,53,894,1075,12317,0
255206174,South Gippsland (S) - East,989,807,6,58,VIC,118,6,58,823,1093,5636,0
255206175,South Gippsland (S) - West,947,496,4,36,VIC,54,3,27,870,1035,7784,0
255208529,French Island,1077,1145,9,83,VIC,174,9,85,1077,1077,92,0
215102411,Glenelg (S) - Heywood,954,555,4,40,VIC,70,4,35,836,1053,6057,0
215102412,Glenelg (S) - North,938,406,3,30,VIC,38,2,19,850,1045,3330,0
215102413,Glenelg (S) - Portland,901,152,2,11,VIC,7,1,4,818,998,10372,0
225056890,West Wimmera (S),993,834,6,60,VIC,126,7,62,822,1084,4475,0
255053811,Latrobe (C) - Moe,886,95,1,7,VIC,4,1,2,760,997,17981,0
255053814,Latrobe (C) - Morwell,902,154,2,12,VIC,8,1,4,691,1026,21562,0
220050571,Ballarat (C) - Central,1004,891,7,64,VIC,138,7,68,868,1153,32885,0
220050572,Ballarat (C) - Inner North,959,591,5,43,VIC,78,4,39,737,1088,28890,0
220050573,Ballarat (C) - North,978,742,6,54,VIC,103,6,51,908,1018,984,0
220050574,Ballarat (C) - South,954,551,4,40,VIC,69,4,34,801,1087,22436,1
220102911,Hepburn (S) - East,1017,953,7,69,VIC,149,8,73,963,1086,7225,0
220102912,Hepburn (S) - West,962,620,5,45,VIC,86,5,42,894,1078,6508,0
220105151,Moorabool (S) - Bacchus Marsh,960,601,5,44,VIC,82,5,41,856,1028,15972,0
220105154,Moorabool (S) - Ballan,959,597,5,43,VIC,81,4,40,876,1023,5986,0
220105155,Moorabool (S) - West,989,808,6,58,VIC,119,6,59,952,1062,3517,0
220150260,Ararat (RC),955,560,5,41,VIC,71,4,35,786,1231,11255,6
220155991,Pyrenees (S) - North,950,525,4,38,VIC,62,4,31,881,1019,3294,0
220155994,Pyrenees (S) - South,943,456,4,33,VIC,48,3,24,872,1160,3263,0
710404650,Wallace Rockhole (CGC),834,28,1,3,NT ,10,2,11,834,834,88,0
255053815,Latrobe (C) - Traralgon,948,503,4,37,VIC,58,3,29,773,1046,27223,0
230156611,Swan Hill (RC) - Central,936,379,3,28,VIC,34,2,17,859,994,9684,0
230156614,Swan Hill (RC) - Robinvale,918,240,2,18,VIC,16,1,8,850,975,3964,0
230156616,Swan Hill (RC) Bal,957,573,5,42,VIC,73,4,36,818,1067,6986,0
305011067,Bowen Hills,1109,1224,9,88,QLD,424,9,89,1035,1131,1586,0
350104150,Johnstone (S),921,264,2,19,QLD,103,3,22,844,1000,18253,4
350104420,Kowanyama (S),807,14,1,2,QLD,9,1,2,807,807,1020,0
309054905,Maroochy (S) - Coastal North,991,825,6,60,QLD,279,6,59,881,1112,23089,0
610052410,Glamorgan/Spring Bay (M),919,249,2,18,TAS,20,5,46,820,1140,4190,0
610053010,Huon Valley (M),933,341,3,25,TAS,24,6,55,834,1014,14001,0
235052621,Gr. Bendigo (C) - Central,938,403,3,29,VIC,37,2,19,784,1093,17781,0
305011143,City - Inner,1201,1383,10,100,QLD,475,10,100,1111,1235,2718,0
320055550,Murilla (S),958,582,5,42,QLD,211,5,45,860,1114,2687,0
320056050,Pittsworth (S),939,413,3,30,QLD,161,4,34,883,1044,4785,0
320056454,Rosalie (S) - Pt B,944,467,4,34,QLD,178,4,38,786,1018,4495,0
610053612,Kingborough (M) - Pt B,1021,973,7,70,TAS,39,9,89,930,1099,2619,0
235052622,Gr. Bendigo (C) - Eaglehawk,874,69,1,5,VIC,1,1,1,829,935,8629,0
235052623,Gr. Bendigo (C) - Inner East,1015,942,7,68,VIC,148,8,73,878,1094,23350,0
235052624,Gr. Bendigo (C) - Inner North,933,344,3,25,VIC,28,2,14,892,973,9691,0
235052625,Gr. Bendigo (C) - Inner West,935,368,3,27,VIC,31,2,16,820,1060,15950,0
235052626,Gr. Bendigo (C) - S'saye,1036,1029,8,74,VIC,160,8,79,895,1138,6539,0
235101671,C. Goldfields (S) - M'borough,880,84,1,7,VIC,2,1,1,768,940,7366,0
235101674,C. Goldfields (S) Bal,917,238,2,18,VIC,15,1,8,847,984,4960,0
235102628,Gr. Bendigo (C) - Pt B,959,595,5,43,VIC,80,4,40,842,1078,11312,0
235103943,Loddon (S) - North,997,855,7,62,VIC,128,7,63,868,1119,3191,0
235103945,Loddon (S) - South,927,297,3,22,VIC,21,2,11,777,1042,4647,0
309055752,Noosa (S) - Noosa-Noosaville,1029,1006,8,73,QLD,343,8,72,878,1118,9104,2
420056671,Renmark Paringa (DC) - Paringa,949,512,4,37,SA ,55,5,45,936,1007,1792,0
420056674,Renmark Paringa (DC) - Renmark,899,141,2,11,SA ,20,2,17,828,973,7658,4
245158309,Mount Hotham Alpine Resort,998,861,7,62,VIC,130,7,64,998,998,117,54
250052111,E. Gippsland (S) - Bairnsdale,937,386,3,28,VIC,35,2,18,811,1042,25366,0
250052113,E. Gippsland (S) - Orbost,952,541,4,39,VIC,67,4,33,836,1107,8299,0
250052115,E. Gippsland (S) - South-West,991,820,6,59,VIC,124,7,61,902,1023,3804,0
250052117,E. Gippsland (S) Bal,971,687,5,50,VIC,94,5,46,936,1088,2567,0
250156811,Wellington (S) - Alberton,952,536,4,39,VIC,65,4,32,886,1064,5474,0
250156812,Wellington (S) - Avon,975,717,6,52,VIC,97,5,48,909,1042,3892,2
250156813,Wellington (S) - Maffra,939,420,4,31,VIC,41,3,21,811,1163,10068,0
250156814,Wellington (S) - Rosedale,947,497,4,36,VIC,55,3,27,836,1027,7310,17
250156815,Wellington (S) - Sale,950,524,4,38,VIC,61,3,30,804,1078,13336,0
305011146,City - Remainder,1188,1366,10,98,QLD,471,10,99,1095,1251,4474,0
305011187,Dutton Park,1101,1207,9,87,QLD,418,9,88,1040,1185,1365,0
309104918,Maroochy (S) Bal,1001,881,7,64,QLD,299,7,63,840,1116,24763,0
305011274,Herston,1174,1345,10,97,QLD,464,10,98,1137,1197,1795,4
305011277,Highgate Hill,1137,1285,10,93,QLD,447,10,94,1055,1214,5428,0
305011315,Kelvin Grove,1156,1315,10,95,QLD,456,10,96,1124,1175,4385,0
305011304,Kangaroo Point,1137,1284,10,92,QLD,446,10,94,1089,1199,6867,0
705102808,Gray,928,307,3,22,NT ,39,5,43,883,956,3294,0
305011378,Milton,1164,1331,10,96,QLD,460,10,97,1089,1211,1731,0
305011427,Newstead,1196,1378,10,99,QLD,474,10,100,1122,1223,4819,0
710405000,Yuendumu (CGC),883,91,1,7,NT ,30,4,33,883,883,693,1
305011421,New Farm,1132,1274,10,92,QLD,444,10,94,1036,1214,10943,0
305031345,Lutwyche,1077,1147,9,83,QLD,396,9,84,1009,1139,2674,0
305071435,Northgate,1016,948,7,68,QLD,320,7,68,860,1094,3840,0
305011454,Paddington,1167,1334,10,96,QLD,462,10,97,1105,1226,7623,0
305011631,Woolloongabba,1063,1108,8,80,QLD,388,9,82,981,1133,3916,1
305011481,Red Hill,1155,1313,10,95,QLD,455,10,96,1099,1198,5267,0
305031004,Albion,1091,1182,9,85,QLD,411,9,87,900,1125,2421,0
305011525,South Brisbane,1142,1296,10,93,QLD,450,10,95,1071,1235,4283,2
305011528,Spring Hill,1133,1277,10,92,QLD,445,10,94,1083,1172,5238,0
305011607,West End,1122,1256,9,90,QLD,436,10,92,977,1204,6207,0
305071556,Taigum-Fitzgibbon,985,785,6,57,QLD,269,6,57,940,1039,7649,0
305031007,Alderley,1112,1231,9,89,QLD,426,9,90,991,1219,5070,12
305031536,Stafford Heights,1015,944,7,68,QLD,319,7,67,984,1043,6789,0
305031026,Ascot,1128,1270,10,91,QLD,443,10,93,1023,1204,4845,0
305031031,Ashgrove,1145,1300,10,94,QLD,452,10,95,1097,1189,11903,0
305031255,Hamilton,1115,1234,9,89,QLD,428,9,90,1017,1197,4369,0
305031048,Bardon,1166,1333,10,96,QLD,461,10,97,1124,1204,9111,0
305031533,Stafford,1006,896,7,65,QLD,304,7,64,878,1080,5513,0
305031151,Clayfield,1111,1228,9,88,QLD,425,9,90,1039,1178,9533,0
305031271,Hendra,1082,1161,9,84,QLD,401,9,85,962,1151,4116,0
305031293,Indooroopilly,1176,1350,10,97,QLD,466,10,98,1129,1214,10733,0
305031132,Chelmer,1178,1354,10,97,QLD,468,10,99,1167,1200,2560,0
305031244,Grange,1127,1268,10,91,QLD,441,10,93,1081,1180,4043,0
305031162,Corinda,1095,1196,9,86,QLD,417,9,88,1051,1156,4454,0
305031206,Enoggera,1052,1080,8,78,QLD,375,8,79,1002,1083,6338,6
305031241,Graceville,1158,1318,10,95,QLD,458,10,97,1113,1181,4096,0
305031312,Kedron,1057,1093,8,79,QLD,381,8,80,973,1123,11726,0
305111402,Mount Gravatt,1055,1084,8,78,QLD,378,8,80,1009,1096,3090,0
305031634,Wooloowin,1094,1192,9,86,QLD,415,9,88,1004,1153,5486,0
305031424,Newmarket,1121,1251,9,90,QLD,434,10,91,1052,1159,4215,0
305111416,Nathan,1021,969,7,70,QLD,331,7,70,1001,1058,1383,39
305111154,Coopers Plains,991,819,6,59,QLD,277,6,59,826,1032,4093,0
305031446,Nundah,1030,1010,8,73,QLD,345,8,73,955,1107,8284,0
305031506,St Lucia,1238,1393,10,100,QLD,476,10,100,1198,1291,10613,17
305031522,Sherwood,1140,1290,10,93,QLD,449,10,95,1071,1195,4765,0
305031558,Taringa,1194,1374,10,99,QLD,473,10,100,1174,1227,7490,0
305111492,Robertson,1122,1254,9,90,QLD,435,10,92,1007,1176,4751,0
305031623,Windsor,1102,1212,9,87,QLD,421,9,89,1014,1172,6164,0
345057001,Aitkenvale,988,802,6,58,QLD,274,6,58,919,1032,4839,0
305071072,Bracken Ridge,973,700,6,51,QLD,249,6,53,884,1037,14619,0
305091097,Camp Hill,1093,1188,9,86,QLD,414,9,87,1039,1154,9823,0
305071585,Upper Kedron,1083,1169,9,84,QLD,405,9,85,1080,1115,2709,0
320012551,Crow's Nest (S) - Pt A,1042,1054,8,76,QLD,364,8,77,935,1136,8720,1
305031574,Toowong,1180,1358,10,98,QLD,469,10,99,1119,1226,14959,0
305031618,Wilston,1150,1307,10,94,QLD,453,10,95,1127,1180,3654,0
325055800,Paroo (S),940,426,4,31,QLD,164,4,35,882,1127,1927,0
325056150,Quilpie (S),959,589,5,43,QLD,214,5,45,910,1142,984,0
305071018,Anstead,1151,1310,10,94,QLD,454,10,96,1117,1159,1102,0
805403819,Harrison,1179,1356,10,98,ACT,88,9,85,1035,1196,304,0
340105050,Mirani (S),913,217,2,16,QLD,83,2,18,880,958,5408,0
340105700,Nebo (S),907,181,2,13,QLD,67,2,15,855,940,2523,15
305071034,Aspley,1034,1026,8,74,QLD,351,8,74,802,1110,11840,3
305071045,Banyo,945,477,4,35,QLD,182,4,39,922,966,4867,0
305071037,Bald Hills,964,638,5,46,QLD,226,5,48,904,1062,7076,0
305071053,Bellbowrie,1123,1258,10,91,QLD,438,10,92,1095,1162,5208,0
305071078,Brighton,962,615,5,45,QLD,217,5,46,914,1057,8599,0
305071084,Brookfield (incl. Brisbane Forest Park),1175,1348,10,97,QLD,465,10,98,1093,1207,4467,0
305071064,Boondall,975,710,6,51,QLD,251,6,53,887,1031,8544,0
805208469,Waramanga,1117,1243,9,90,ACT,54,6,52,1092,1136,2535,0
305071121,Carseldine,1041,1050,8,76,QLD,362,8,76,1006,1067,6670,0
305111405,Mount Gravatt East,1045,1066,8,77,QLD,370,8,78,896,1117,10245,0
305071135,Chermside,978,743,6,54,QLD,258,6,55,911,1035,6347,0
805250609,Bonython,1070,1128,9,81,ACT,25,3,25,1054,1088,3361,0
305071075,Bridgeman Downs,1091,1180,9,85,QLD,409,9,86,1019,1140,6884,0
535105250,Meekatharra (S),948,504,4,37,WA ,42,3,27,916,1039,1135,8
305071127,Chapel Hill,1177,1352,10,97,QLD,467,10,98,1110,1201,9983,0
345057051,Pimlico,989,811,6,59,QLD,275,6,58,943,1087,2287,0
305071138,Chermside West,1020,963,7,69,QLD,328,7,69,975,1079,5955,0
305071203,Ellen Grove,1007,900,7,65,QLD,305,7,64,976,1027,5233,0
305111642,Wynnum West,949,511,4,37,QLD,188,4,40,867,1020,10755,3
615054011,Launceston (C) - Inner,1089,1179,9,85,TAS,41,10,94,1055,1103,255,0
615054012,Launceston (C) - Pt B,945,479,4,35,TAS,30,7,69,740,1138,59193,0
615054211,Meander Valley (M) - Pt A,940,423,4,31,TAS,28,7,64,878,994,8231,0
305071167,Darra-Sumner,935,367,3,27,QLD,150,4,32,885,1041,4051,0
305071173,Deagon,938,402,3,29,QLD,158,4,34,923,954,3109,0
615054611,Northern Midlands (M) - Pt A,913,215,2,16,TAS,16,4,37,855,1024,7579,0
615055811,West Tamar (M) - Pt A,976,725,6,52,TAS,36,9,82,786,1109,18916,0
305071176,Doolandella-Forest Lake,1003,887,7,64,QLD,301,7,64,923,1063,17508,0
615104212,Meander Valley (M) - Pt B,936,382,3,28,TAS,25,6,57,862,1049,10121,0
305071184,Durack,936,374,3,27,QLD,152,4,32,880,1000,6119,0
510031190,Bunbury (C),938,405,3,30,WA ,32,3,21,813,1117,29700,0
615104612,Northern Midlands (M) - Pt B,945,482,4,35,TAS,31,8,71,817,1221,4514,0
615105812,West Tamar (M) - Pt B,938,404,3,29,TAS,26,6,60,839,1006,1897,0
615150210,Break O'Day (M),908,183,2,14,TAS,14,4,32,806,1060,6068,0
615151810,Dorset (M),892,110,1,8,TAS,5,2,12,802,1033,6999,0
615152010,Flinders (M),981,759,6,55,TAS,38,9,87,942,1051,861,0
620050611,Burnie (C) - Pt A,895,125,1,9,TAS,10,3,23,690,1058,16996,0
305071211,Everton Park,1034,1023,8,74,QLD,349,8,74,970,1139,7715,0
305071217,Ferny Grove,1042,1055,8,76,QLD,365,8,77,996,1077,5488,0
305071222,Fig Tree Pocket,1186,1364,10,98,QLD,470,10,99,1181,1191,3259,0
305071236,Geebung,1008,910,7,66,QLD,310,7,65,966,1070,4104,0
305071301,Jindalee,1094,1194,9,86,QLD,416,9,88,1047,1154,4990,0
305071306,Karana Downs-Lake Manchester,1084,1172,9,84,QLD,407,9,86,1041,1136,5712,0
305071318,Kenmore,1164,1328,10,96,QLD,459,10,97,1122,1205,8205,0
520056510,Narrogin (S),1058,1098,8,79,WA ,134,9,86,1032,1097,832,0
305071288,Inala,833,27,1,2,QLD,15,1,4,766,895,13169,0
305071296,Jamboree Heights,1057,1092,8,79,QLD,380,8,80,1015,1083,3279,0
305150552,Beaudesert (S) - Pt A,939,417,3,30,QLD,162,4,34,894,998,41136,0
305202002,Bribie Island,925,289,3,21,QLD,119,3,25,847,1083,15914,0
435209529,Unincorp. Flinders Ranges,918,244,2,18,SA ,32,3,27,775,1052,1099,0
305071323,Kenmore Hills,1169,1337,10,96,QLD,463,10,98,1157,1180,2517,0
305071375,Middle Park,1091,1181,9,85,QLD,410,9,86,1079,1104,4053,0
520102100,Corrigin (S),991,823,6,59,WA ,93,6,60,931,1111,1145,0
305071326,Keperra,997,853,7,62,QLD,291,7,62,936,1047,7026,0
305071353,McDowall,1081,1158,9,83,QLD,399,9,84,1051,1106,6904,0
520104620,Kondinin (S),1011,920,7,66,WA ,109,7,70,912,1103,967,0
520104760,Kulin (S),1054,1083,8,78,WA ,133,9,86,965,1164,882,0
305071383,Mitchelton,1066,1114,8,80,QLD,391,9,82,1001,1134,7033,11
305071408,Mount Ommaney,1145,1299,10,94,QLD,451,10,95,1138,1154,2199,0
305071386,Moggill,1115,1233,9,89,QLD,427,9,90,1095,1152,2147,0
525108190,Tammin (S),989,806,6,58,WA ,92,6,59,843,1105,390,0
305071442,Nudgee,986,790,6,57,QLD,271,6,57,975,1035,2467,0
505154174,Joondalup (C) - South,1043,1059,8,76,WA ,130,9,84,919,1150,99998,0
505157914,Stirling (C) - Central,1000,872,7,63,WA ,102,7,66,850,1157,98737,0
505157915,Stirling (C) - Coastal,1104,1216,9,88,WA ,141,10,91,937,1197,62434,1
305071451,Oxley,1036,1032,8,74,QLD,352,8,74,973,1094,6377,1
305071465,Pinjarra Hills,1156,1316,10,95,QLD,457,10,96,1156,1156,410,0
305071467,Pinkenba-Eagle Farm,887,98,1,8,QLD,39,1,9,857,893,341,0
305071473,Pullenvale,1194,1373,10,99,QLD,472,10,99,1169,1229,3153,0
305071653,Zillmere,932,335,3,24,QLD,140,3,30,801,1011,7467,6
705051074,Moil,1008,909,7,66,NT ,63,7,70,966,1098,2092,0
305071484,Richlands,919,247,2,18,QLD,93,2,20,909,939,829,0
305071487,Riverhills,1058,1097,8,79,QLD,383,9,81,1025,1085,3956,0
520053010,Dumbleyung (S),1046,1068,8,77,WA ,132,9,85,949,1140,631,0
305071517,Seventeen Mile Rocks,1118,1246,9,90,QLD,432,10,91,1053,1166,8646,0
305071567,The Gap,1128,1269,10,91,QLD,442,10,93,1079,1176,15663,0
305071514,Sandgate,1027,998,8,72,QLD,340,8,72,960,1104,6504,17
305091102,Cannon Hill,1032,1017,8,73,QLD,347,8,73,867,1110,5351,0
305071593,Virginia,1007,901,7,65,QLD,306,7,65,822,1070,1841,0
345057054,Railway Estate,975,716,6,52,QLD,254,6,54,948,997,2811,0
305071604,Wavell Heights,1050,1078,8,78,QLD,374,8,79,988,1105,8761,0
305111265,Hemmant-Lytton,921,263,2,19,QLD,102,3,22,874,945,2698,0
305071612,Westlake,1116,1237,9,89,QLD,429,9,90,1100,1132,4680,0
350102900,Eacham (S),968,670,5,48,QLD,237,5,50,842,1045,6359,0
305071596,Wacol,834,29,1,3,QLD,16,1,4,781,981,4452,38
345152700,Dalrymple (S),923,280,3,21,QLD,111,3,24,810,1059,3504,0
305091015,Annerley,1084,1171,9,84,QLD,406,9,86,1026,1138,9568,0
305091108,Carindale,1082,1162,9,84,QLD,402,9,85,964,1130,13278,0
307053471,Edens Landing-Holmview,933,345,3,25,QLD,143,3,30,898,974,5731,0
307053473,Jacobs Well-Alberton,922,267,2,20,QLD,106,3,23,892,947,2937,0
350107110,Umagico (S),775,2,1,1,QLD,1,1,1,775,775,229,0
305091113,Carina,1034,1025,8,74,QLD,350,8,74,941,1088,9199,0
305091116,Carina Heights,1025,991,8,71,QLD,337,8,71,939,1091,5763,0
305091157,Coorparoo,1108,1223,9,88,QLD,423,9,89,1031,1181,13799,0
355054800,McKinlay (S),942,446,4,32,QLD,172,4,37,873,1041,896,0
305091195,East Brisbane,1102,1210,9,87,QLD,420,9,89,1031,1149,5229,0
305111023,Archerfield,898,133,1,10,QLD,52,2,11,875,916,580,0
355055250,Mornington (S),831,26,1,2,QLD,14,1,3,801,833,1031,0
305091214,Fairfield,1104,1217,9,88,QLD,422,9,89,1086,1125,2581,0
305091247,Greenslopes,1092,1184,9,85,QLD,412,9,87,1019,1191,8088,0
305091258,Hawthorne,1139,1289,10,93,QLD,448,10,94,1097,1175,4308,0
305091282,Holland Park,1066,1113,8,80,QLD,390,9,82,930,1142,7485,0
305091285,Holland Park West,1082,1160,9,84,QLD,400,9,84,1047,1102,5520,0
305091391,Moorooka,1042,1053,8,76,QLD,363,8,77,954,1130,9194,0
305111356,MacGregor,1061,1104,8,80,QLD,385,9,81,1002,1098,5314,0
305091397,Morningside,1078,1150,9,83,QLD,397,9,84,1026,1114,8663,0
305091432,Norman Park,1124,1260,10,91,QLD,439,10,93,1063,1170,6753,0
305091563,Tarragindi,1102,1208,9,87,QLD,419,9,88,1043,1175,9439,0
305091645,Yeerongpilly,1117,1241,9,89,QLD,431,10,91,1075,1153,2416,0
305091648,Yeronga,1127,1266,10,91,QLD,440,10,93,1086,1173,5355,0
305111001,Acacia Ridge,888,100,1,8,QLD,41,1,9,817,925,6859,0
305111012,Algester,981,763,6,55,QLD,262,6,55,932,1011,8166,0
305111057,Belmont-Mackenzie,1065,1112,8,80,QLD,389,9,82,883,1120,4708,0
305111364,Manly,1038,1035,8,75,QLD,355,8,75,968,1071,3815,0
305111123,Chandler-Capalaba West,1040,1044,8,75,QLD,360,8,76,974,1062,1402,0
305111091,Burbank,1067,1116,8,80,QLD,392,9,83,1049,1107,1156,0
305111094,Calamvale,1041,1049,8,76,QLD,361,8,76,991,1080,10178,0
305111367,Manly West,997,857,7,62,QLD,293,7,62,899,1080,10012,0
305111198,Eight Mile Plains,1070,1127,9,81,QLD,393,9,83,784,1142,12019,0
305111372,Mansfield,1044,1062,8,77,QLD,367,8,77,982,1101,10205,0
305111394,Moreton Island,966,651,5,47,QLD,230,5,49,937,977,250,0
305111251,Gumdale-Ransome,1044,1063,8,77,QLD,368,8,78,987,1076,1530,0
305111331,Kuraby,1046,1069,8,77,QLD,372,8,78,970,1093,6742,0
305111337,Lota,1016,951,7,69,QLD,322,7,68,955,1045,2981,0
305111495,Rochedale,1039,1040,8,75,QLD,358,8,76,1005,1062,1170,0
305111498,Rocklea,963,629,5,46,QLD,221,5,47,949,991,1499,0
305111413,Murarrie,945,480,4,35,QLD,183,4,39,924,979,2221,0
305111456,Pallara-Heathwood-Larapinta,1015,941,7,68,QLD,318,7,67,990,1080,1524,0
305111463,Parkinson-Drewvale,1016,950,7,69,QLD,321,7,68,973,1061,11862,0
305111541,Stretton-Karawatha,1080,1155,9,83,QLD,398,9,84,860,1092,3809,0
305111503,Runcorn,1030,1009,8,73,QLD,344,8,73,945,1085,12475,0
305111511,Salisbury,1014,939,7,68,QLD,317,7,67,972,1066,5523,0
305111547,Sunnybank,1054,1082,8,78,QLD,377,8,80,999,1110,7847,0
305111552,Sunnybank Hills,1037,1033,8,74,QLD,353,8,75,924,1112,16108,0
710203030,Pine Creek (CGC),905,170,2,13,NT ,36,4,40,905,905,346,26
805105589,Macgregor,1045,1064,8,77,ACT,15,2,15,1013,1086,3485,0
305111626,Wishart,1058,1096,8,79,QLD,382,9,81,996,1095,10270,0
305111571,Tingalpa,984,774,6,56,QLD,266,6,56,915,1054,8888,0
305111588,Upper Mount Gravatt,1029,1003,8,72,QLD,342,8,72,978,1078,7914,0
305111601,Wakerley,1062,1105,8,80,QLD,386,9,81,946,1080,3906,0
305111615,Willawong,906,175,2,13,QLD,65,2,14,906,906,227,0
345057033,Mt Louisa-Mt St John-Bohle,966,655,5,47,QLD,231,5,49,849,1043,5532,0
