crash_id,crash_date,crash_time,severity,crash_type,cyclists,cyclist_casualties,reported_location,latitude,longitude
1112745,13-Jul-15,18:30,Property Damage Only,Right angle collision,1,0,BRAYBROOKE/GINNINDERRA INTERSECTION,-35.239897,149.103473
1112044,26-May-15,9:00,Property Damage Only,Right angle collision,1,0,GOYDER/JERRABOMBERRA INTERSECTION,-35.337509000000004,149.149673
1113007,5-Jun-15,9:30,Property Damage Only,Collision with parked vehicle,1,0,HENTY STREET (IPIMA/LOWANNA -> IJONG),-35.266892,149.13251
1113367,17-Jun-15,17:45,Injury,Right angle collision,1,1,CARREYARRNRM/CARRUTHERS/YARRNCARRWRM INTERSECTION,-35.32633,149.08658799999998
1113357,16-Jun-15,17:24,Injury,Other - Vehicle to Vehicle,1,1,ALLSOP/CHILDERS INTERSECTION,-35.278275,149.124542
1113573,18-Jun-15,13:45,Injury,Other - Vehicle to Vehicle,1,1,BENJAMIN/CAMERON/CHAN INTERSECTION,-35.24111,149.067258
1113717,3-Jul-15,7:45,Property Damage Only,Same direction side swipe,1,0,ADELAIDE/ADELEHOPENRM INTERSECTION,-35.312712,149.104997
1113684,18-Jun-15,7:50,Injury,Struck pedestrian (On Road),1,1,BARRY DRIVE (CLUNIES ROSS/FROGGATT -> BOLDREWOOD),-35.272894,149.119504
1112621,8-Jul-15,8:25,Property Damage Only,Same direction side swipe,1,0,ALEXANDRINA DRIVE (CORONATION/FLYNN -> MARINER),-35.30103,149.118957
1112045,26-May-15,17:15,Injury,Right angle collision,1,1,COULTER/LACHLAN INTERSECTION,-35.247499,149.056151
1114879,25-Jul-15,16:45,Property Damage Only,Right angle collision,1,0,GENGE/NARELLAN INTERSECTION,-35.276868,149.132207
1115154,18-Jun-15,7:45,Property Damage Only,Other - Vehicle to Vehicle,1,0,TORRENS STREET (HELEMON -> IPIMA),-35.26768,149.13503500000002
1115191,22-Jun-15,7:50,Property Damage Only,Right turn into oncoming vehicle,1,0,NORTHBOURNE/SWINDEN INTERSECTION,-35.244144,149.13486899999998
1115430,26-Jun-15,8:25,Property Damage Only,Other - Vehicle to Vehicle,1,0,HODGSON CRESCENT (MARR -> COLLINGS),-35.357871,149.08708700000003
1116074,20-Jul-15,15:45,Injury,Other - Vehicle to Vehicle,1,0,MELROSE DRIVE (PARRAMATTA -> EGGLESTON),-35.351962,149.085284
1116432,23-Jul-15,6:45,Property Damage Only,Right angle collision,1,0,CANBERRA/EMPIRE INTERSECTION,-35.316506,149.13157900000002
1116776,4-Aug-15,15:05,Property Damage Only,Right turn into oncoming vehicle,1,0,BARRY/BOLDREWOOD INTERSECTION,-35.272921000000004,149.120306
1116784,16-Aug-15,10:50,Injury,Same direction side swipe,2,1,NORTH ROAD (DALEY -> BARRY/MCCAUGHEY),-35.273843,149.121525
1113347,15-Jun-15,8:30,Property Damage Only,Same direction side swipe,2,0,NORTHBOURNE AVENUE (ELOUERA/GOULD -> GIRRAHWEEN/MASSON),-35.272263,149.13024
1113682,5-Apr-15,13:30,Injury,Other - Vehicle to Vehicle,1,1,GILES STREET (PRINTERS -> EASTLAKE),-35.313029,149.146025
1116984,4-Aug-15,16:30,Injury,Struck object  (On Road),1,1,CANBERRA AVENUE (MILDURA -> MONANCANBWRM),-35.329269000000004,149.15975600000002
1116886,25-Jun-15,7:30,Property Damage Only,Right angle collision,1,0,DAWES/WENTWORTH INTERSECTION,-35.316652000000005,149.145701
1116903,4-Aug-15,7:10,Injury,Right angle collision,1,1,MELROSE/MELRYARRRA/YAMBMELRRA INTERSECTION,-35.336490000000005,149.085653
1114872,16-Jul-15,9:20,Property Damage Only,Same direction side swipe,1,0,ADELAIDE/COTTEADELERM INTERSECTION,-35.314087,149.09653500000002
1117848,7-Aug-15,6:25,Property Damage Only,Right angle collision,2,0,CANBERRA/MCMILLAN (SW) INTERSECTION,-35.324674,149.151735
1117854,7-Aug-15,12:30,Property Damage Only,Right angle collision,1,0,KENT/STRICKLAND INTERSECTION,-35.318414000000004,149.098151
1117850,7-Aug-15,8:45,Property Damage Only,Rear end collision,1,0,GENGE (NARELLAN -> BUNDA),-35.277212,149.132155
1118054,8-Jun-15,11:35,Property Damage Only,Rear end collision,1,0,IRON KNOB STREET (BEACONSFIELD -> GERALDTON),-35.336284,149.179631
1118377,30-Aug-15,11:30,Property Damage Only,Same direction side swipe,1,0,WIZARD/HALL BEST INTERSECTION,-35.187353,149.14936699999998
1119116,11-Sep-15,15:20,Property Damage Only,Same direction side swipe,1,0,HODGSON CRESCENT (MARR -> COLLINGS),-35.357892,149.086997
1115716,2-Jul-15,16:00,Property Damage Only,Other - Vehicle to Vehicle,1,0,CARREYARRNRM/CARRUTHERS/YARRNCARRWRM INTERSECTION,-35.326274,149.086586
1119485,8-Sep-15,17:30,Property Damage Only,Other - Vehicle to Vehicle,1,0,CANBERRA AV/TOM PRICE ST INTERSECTION,-35.340517,149.18312
1119487,11-Sep-15,8:25,Injury,Other - Vehicle to Vehicle,1,1,ATHLLON/BEASLEY/MAWSON INTERSECTION,-35.364391999999995,149.092612
1119567,17-Sep-15,5:40,Injury,Right angle collision,1,1,FURNEAUX/MANUKA INTERSECTION,-35.319097,149.133127
1119946,8-Sep-15,8:20,Property Damage Only,Other - Vehicle to Vehicle,1,0,TELOPEA/WENTWORTH/EASTLAKE INTERSECTION,-35.311173,149.141721
1119974,23-Sep-15,16:10,Injury,Overturned (On Road),1,1,CANBERRA/DALBY INTERSECTION,-35.325275,149.153076
1119966,16-Sep-15,18:30,Property Damage Only,Collision with parked vehicle,1,0,WESTON STREET (GUILFOYLE -> DEANE),-35.310475,149.104921
1119770,15-Sep-15,6:09,Property Damage Only,Rear end collision,1,0,CHILDERS/HUTTON INTERSECTION,-35.27731,149.125302
1120093,26-Sep-15,11:30,Property Damage Only,Right angle collision,1,0,DAMALA/NAMATJIRA INTERSECTION,-35.349076000000004,149.056525
1120087,24-Sep-15,8:30,Property Damage Only,Same direction side swipe,1,0,NORTHBOURNE AVENUE (BARRY/COOYONG -> McKAY),-35.275081,149.129784
1120429,18-Sep-15,16:25,Property Damage Only,Other - Vehicle to Vehicle,1,0,STATE/SYDNEY INTERSECTION,-35.310581,149.128716
1120534,3-Oct-15,18:40,Injury,Right angle collision,1,1,MCMILLAN/STURT INTERSECTION,-35.32561,149.148955
1120624,18-Sep-15,9:45,Property Damage Only,Other - Vehicle to Vehicle,1,0,COWPER STREET (DICKSON SHOPS ACCESS -> ANTILL),-35.250431,149.14068999999998
1121077,30-Sep-15,7:20,Injury,Rear end collision,2,2,MONARO HIGHWAY (JOHNSON -> OLD COOMA),-35.471976,149.139451
1121441,15-Oct-15,7:17,Property Damage Only,Same direction side swipe,1,0,ADELAIDE/COTTEADELERM INTERSECTION,-35.314004,149.096505
1121431,5-Oct-15,11:40,Property Damage Only,Rear end collision,1,0,BLACK MOUNTAIN DRIVE ( BLACK MOUNTAIN LOOP - TOP OF BLACK MOUNTAIN),-35.274071,149.097267
1121520,24-Sep-15,8:40,Injury,Struck pedestrian (Off Road),1,1,FLINDERS WAY (MONARO -> MUGGA),-35.329583,149.12374499999999
1121714,8-Oct-15,8:45,Property Damage Only,Right angle collision,1,0,BLAXLAND/FROME INTERSECTION,-35.324552000000004,149.143248
1121783,12-Oct-15,8:00,Property Damage Only,Other - Vehicle to Vehicle,1,0,SOWARD WAY (SCOLLAY -> ANKETELL),-35.418327000000005,149.068759
1121856,13-Oct-15,14:57,Property Damage Only,Same direction side swipe,1,0,FARRELL/MARCUS CLARKE INTERSECTION,-35.280783,149.12438600000002
1121859,13-Oct-15,17:20,Property Damage Only,Right angle collision,1,0,FROGGATT/ORMOND INTERSECTION,-35.267707,149.119292
1121848,19-Sep-15,16:00,Injury,Other - Vehicle to Vehicle,1,1,PADDYS RIVER ROAD (COTTER -> LAUREL CAMP),-35.333286,148.931941
1121958,23-Oct-15,9:05,Property Damage Only,Right angle collision,1,0,CURRONG/DIRRAWAN INTERSECTION,-35.281995,149.13996799999998
1121950,15-Oct-15,9:30,Injury,Right turn into oncoming vehicle,1,1,NORTHBOURNE/SWINDEN INTERSECTION,-35.244171,149.134864
1122050,15-Oct-15,7:45,Property Damage Only,Right angle collision,1,0,HERRON/MULVANY INTERSECTION,-35.207525,149.02791299999998
1122127,16-Oct-15,11:40,Property Damage Only,Other - Vehicle to Vehicle,1,0,DAVID STREET (HAY -> SARGOOD),-35.263684999999995,149.125193
1122056,15-Oct-15,17:18,Property Damage Only,Other - Vehicle to Vehicle,1,0,HUTTON/KINGSLEY INTERSECTION,-35.276534000000005,149.12401699999998
1122439,21-Oct-15,16:20,Property Damage Only,Other - Vehicle to Vehicle,1,0,COWPER STREET (DICKSON SHOPS ACCESS -> ANTILL),-35.250349,149.140736
1122521,22-Oct-15,8:20,Property Damage Only,Other - Vehicle to Vehicle,1,0,DAVID STREET (HAY -> SARGOOD),-35.263602,149.125383
1122604,1-Nov-15,22:00,Injury,Other - Vehicle to Vehicle,1,1,MORT STREET (COOYONG -> ELOUERA),-35.275386,149.131138
1122715,24-Oct-15,16:45,Property Damage Only,Right angle collision,1,0,ARTHUR/MONARO/TASMANIA INTERSECTION,-35.322573,149.126714
1122735,26-Oct-15,15:23,Property Damage Only,Other - Vehicle to Vehicle,1,0,BARRY/MCCAUGHEY/NORTH INTERSECTION,-35.273346000000004,149.121966
1080564,19-Feb-14,17:40,Injury,Other - Vehicle to Vehicle,1,1,BARRY/CLUNIES ROSS INTERSECTION,-35.27241,149.11732
1122814,6-Nov-15,8:00,Property Damage Only,Rear end collision,1,0,FEDERAL/OLD WELL STATION INTERSECTION,-35.228901,149.153868
1117019,10-Aug-15,22:00,Property Damage Only,Right angle collision,1,0,STREETON/DIXON/UNWIN INTERSECTION,-35.328717,149.053767
1123148,5-Nov-15,8:30,Injury,Right angle collision,1,1,BOLDREWOOD/DAVID/MILLER INTERSECTION,-35.26834,149.11454799999998
1123219,10-Nov-15,11:45,Injury,Overturned (On Road),1,1,HORSE PARK DRIVE ( WHITROD -> ARRABRI/YEND ),-35.160814,149.102342
1123438,11-Nov-15,9:00,Injury,Other - Vehicle to Vehicle,1,1,LA PEROUSE STREET (DALRYMPLE -> FORTITUDE),-35.339563,149.134736
