lga_code_2016,p_55_64_ud_wk_l_5_hrs,p_55_64_ud_wk_5_14_hrs,p_55_64_ud_wk_15_29_hrs,p_55_64_ud_wk_30h_more,p_55_64_no_ud_wk,p_55_64_ud_wk_ns,p_55_64_os_v,p_55_64_yr_tot,p_65_74_ud_wk_l_5_hrs,p_65_74_ud_wk_5_14_hrs,p_65_74_ud_wk_15_29_hrs,p_65_74_ud_wk_30h_more,p_65_74_no_ud_wk,p_65_74_ud_wk_ns,p_65_74_os_v,p_65_74_yr_tot,p_75_84_ud_wk_l_5_hrs,p_75_84_ud_wk_5_14_hrs,p_75_84_ud_wk_15_29_hrs,p_75_84_ud_wk_30h_more,p_75_84_no_ud_wk,p_75_84_ud_wk_ns,p_75_84_os_v,p_75_84_yr_tot,p_85ov_ud_wk_l_5_h,p_85ov_ud_wk_5_14_h,p_85ov_ud_wk_15_29_h,p_85ov_ud_wk_30h_more,p_85ov_no_ud_wk,p_85ov_ud_wk_ns,p_85ov_os_v,p_85_yr_over_tot,p_tot_ud_wk_l_5_hrs,p_tot_ud_wk_5_14_hrs,p_tot_ud_wk_15_29_hrs,p_tot_ud_wk_30h_more,p_tot_no_ud_wk,p_tot_ud_wk_ns,p_total_os_v,p_total_total,lga_name16
18450,4104,7408,3773,2492,4502,1471,189,23936,2042,4378,3189,2583,4348,1577,102,18219,1239,2277,1495,1407,3843,1556,40,11860,552,684,354,246,2581,826,10,5251,37272,43585,20136,15083,37697,11528,1560,166859,Wollongong (C)
18500,1495,1878,693,339,846,528,91,5870,1093,1622,797,374,1038,566,74,5563,456,706,359,234,720,454,24,2958,226,277,87,75,616,292,5,1575,14019,11571,4025,2602,8439,4558,787,45994,Woollahra (A)
18710,357,716,385,219,249,170,3,2107,180,377,314,264,246,152,4,1539,74,140,106,107,144,129,3,703,36,35,13,21,73,118,0,293,2656,3857,1854,1324,1644,1169,37,12543,Yass Valley (A)
19399,43,56,41,15,55,31,3,246,23,43,21,15,39,34,0,172,3,9,4,9,8,4,3,41,0,0,0,0,7,8,0,18,196,253,123,83,229,192,29,1103,Unincorporated NSW
20110,372,708,347,222,281,224,8,2164,173,419,315,221,349,196,3,1671,80,164,140,118,234,143,0,880,25,55,32,34,133,78,0,358,2083,3089,1562,1142,1741,1390,105,11099,Alpine (S)
20260,278,460,251,184,323,232,4,1725,151,256,221,226,314,180,0,1357,83,120,100,97,229,163,0,791,35,45,23,28,152,70,0,354,1693,2216,1128,1011,1942,1655,31,9676,Ararat (RC)
20570,1945,3812,1841,1187,2134,806,50,11781,1011,2126,1508,1360,2196,921,26,9150,471,880,674,647,1658,835,12,5170,225,328,143,140,1128,393,3,2363,17828,21815,9848,7931,16768,6503,364,81060,Ballarat (C)
20660,2781,4923,2360,1279,2288,734,244,14616,1464,3032,2016,1453,2319,806,125,11214,708,1292,955,763,1794,886,35,6429,315,476,231,162,1456,634,5,3278,24251,27618,12254,8614,19704,6274,991,99711,Banyule (C)
20740,837,1560,802,515,832,394,24,4962,508,1175,932,760,1011,509,13,4901,234,458,297,328,707,460,5,2492,90,139,75,79,486,237,3,1118,4875,7147,3709,3027,5140,2713,110,26719,Bass Coast (S)
20830,1035,2071,1098,727,956,537,22,6449,542,1166,981,958,1054,543,14,5258,269,489,374,380,787,457,6,2760,93,120,76,87,447,261,0,1082,7797,10017,5091,4545,6928,3508,172,38056,Baw Baw (S)
20910,2785,4450,1919,941,1541,655,120,12412,1572,2815,1765,909,1619,558,68,9309,641,1145,806,570,1378,506,28,5070,432,520,274,178,1597,537,4,3542,20506,21637,9797,6146,13899,4659,783,77432,Bayside (C)
21010,364,661,382,235,330,192,0,2174,197,394,323,297,390,224,3,1833,102,158,118,156,343,159,0,1033,74,67,45,30,215,93,3,520,2115,2837,1636,1297,2208,1234,14,11332,Benalla (RC)
21110,3947,6699,3214,1612,2271,859,462,19069,2246,4081,2679,1500,2156,782,295,13725,1020,1942,1285,879,1977,727,92,7923,542,734,421,283,2170,564,8,4724,38366,37420,16119,10482,26194,7452,2688,138723,Boroondara (C)
21180,3519,5229,2647,2265,6604,1744,426,22446,1941,2982,1803,1818,5045,1702,224,15515,1000,1346,719,671,2893,1135,46,7810,310,294,149,113,1541,544,3,2947,32173,32432,13752,12807,52542,13924,1456,159089,Brimbank (C)
21270,160,268,142,126,166,118,5,986,74,152,104,128,177,136,0,774,48,94,71,61,185,98,0,554,27,36,19,20,145,89,0,335,879,1158,665,622,1035,673,37,5072,Buloke (S)
21370,900,1551,776,558,966,442,22,5213,454,863,655,662,1078,552,6,4278,253,360,295,303,861,540,3,2624,81,126,65,55,552,265,0,1151,5765,7407,3729,3242,6273,3270,107,29787,Campaspe (S)
21450,1728,2953,1472,898,1615,656,131,9458,757,1555,1126,959,1547,625,71,6638,313,535,381,362,975,460,17,3033,148,126,69,54,561,199,3,1164,16587,19185,8679,7081,14207,5269,426,71442,Cardinia (S)
21610,5434,8441,4005,2767,7112,1854,926,30543,2346,3922,2531,2048,5129,1634,573,18195,1118,1513,917,810,3132,1212,101,8806,341,400,174,155,1831,553,22,3474,51965,55385,24006,20454,61705,15478,2603,231600,Casey (C)
21670,297,509,334,264,438,163,3,2018,183,375,352,290,485,256,7,1947,84,160,159,139,383,224,0,1143,29,44,33,26,216,104,0,447,1768,2486,1484,1329,2532,1171,24,10788,Central Goldfields (S)
21750,443,917,559,334,486,270,31,3040,239,537,373,373,505,279,14,2321,105,217,175,186,369,268,6,1325,57,67,45,27,266,116,3,571,3177,4377,2249,1841,3377,1707,250,16985,Colac-Otway (S)
21830,402,663,325,294,394,219,17,2318,192,341,315,295,423,240,3,1805,98,156,170,151,322,221,5,1118,35,58,35,31,196,100,0,454,2398,3032,1675,1539,2554,1426,234,12861,Corangamite (S)
21890,2493,4089,1758,1185,2987,1026,270,13818,1203,2140,1297,983,2728,949,112,9416,916,1476,922,684,2639,934,18,7590,389,485,261,169,1593,723,6,3617,31137,31835,11615,8381,28799,10301,1594,123673,Darebin (C)
22110,1099,2117,1162,895,1063,654,15,7008,663,1510,1284,1116,1424,857,13,6869,277,589,516,486,989,718,7,3579,120,116,89,92,559,385,10,1356,6208,9190,5255,4585,6927,4408,161,36733,East Gippsland (S)
22170,3061,5033,2099,1400,3030,1150,114,15888,1398,2648,1848,1352,2919,1116,87,11372,611,1038,713,637,2030,1039,27,6102,269,332,153,137,1297,551,11,2742,25353,28737,12125,9096,23353,8988,584,108233,Frankston (C)
22250,236,465,247,202,273,147,4,1577,166,280,238,261,337,174,3,1456,84,146,108,127,297,169,0,927,32,50,28,28,160,70,0,369,1585,2053,1201,1114,1706,937,16,8613,Gannawarra (S)
22830,1369,2193,1070,671,1618,808,72,7811,649,1144,878,761,1435,862,36,5758,340,498,386,367,1070,665,7,3324,130,150,110,66,683,334,0,1472,9985,11940,5778,4633,11957,5911,351,50552,Greater Shepparton (C)
22910,461,846,446,285,358,274,3,2680,196,501,393,376,422,278,3,2168,94,181,126,115,290,212,0,1013,41,39,18,28,219,123,0,470,2298,3384,1831,1497,2185,1586,50,12830,Hepburn (S)
22980,139,218,163,135,170,64,6,896,87,132,105,145,173,83,0,729,51,66,70,57,142,74,0,455,27,33,19,16,125,64,0,287,856,1078,665,645,1006,449,18,4708,Hindmarsh (S)
23110,1987,3113,1374,953,2092,672,147,10331,892,1554,1017,829,1829,586,79,6789,504,756,504,410,1436,590,13,4212,213,253,105,92,959,324,4,1953,17100,19057,7688,5964,16556,5138,599,72096,Hobsons Bay (C)
23190,454,808,394,278,435,187,10,2557,199,399,337,282,446,193,9,1866,133,213,189,142,400,200,0,1276,64,85,64,50,261,99,0,614,3158,4105,2125,1634,3226,1232,44,15527,Horsham (RC)
23270,3112,4952,2504,1956,5665,1476,389,20056,1508,2496,1585,1355,4224,1259,260,12692,688,995,568,506,2321,793,55,5917,193,207,80,82,1040,298,9,1906,31074,32826,14351,13520,49079,12263,1384,154499,Hume (C)
23350,428,861,465,233,348,195,4,2539,200,453,342,316,394,173,4,1887,72,133,124,116,264,160,3,873,37,46,28,20,164,60,0,349,2434,3605,1908,1381,2086,1219,40,12677,Indigo (S)
23430,3544,5605,2434,1417,3324,953,284,17558,1897,3413,2025,1470,3243,1026,170,13245,1017,1642,970,797,2530,1135,37,8131,399,543,246,198,1754,878,12,4031,30482,33441,13537,9486,27280,8187,1250,123657,Kingston (C) (Vic.)
23670,3876,6325,3052,1918,3375,862,435,19839,1724,3296,2254,1758,3242,829,239,13335,784,1375,896,763,2299,833,47,6991,340,388,163,112,1640,529,9,3184,31173,33334,14782,10981,28456,6542,1353,126619,Knox (C)
23810,1430,2771,1536,1119,1947,899,25,9733,658,1428,1080,1130,1885,887,18,7077,327,617,477,516,1345,808,3,4101,151,183,103,121,825,391,3,1780,11070,14626,7239,6434,12929,6341,146,58786,Latrobe (C) (Vic.)
23940,206,344,203,192,218,152,0,1315,115,203,160,190,267,181,4,1117,62,60,76,93,177,119,0,585,17,24,16,18,114,51,0,241,1029,1356,791,849,1252,885,17,6175,Loddon (S)
24130,1007,2082,1115,698,755,488,20,6162,533,1197,931,818,841,484,11,4819,201,356,250,282,513,322,5,1929,64,100,52,61,360,169,3,807,7529,10297,5139,4147,5593,3093,149,35947,Macedon Ranges (S)
24210,2719,4484,2350,1558,2445,569,484,14616,1598,3121,2297,1721,2411,636,250,12036,1065,1850,1221,990,2421,815,69,8435,397,466,277,153,1799,518,11,3620,22996,23882,11871,8925,23208,4834,1769,97490,Manningham (C)
24250,257,425,227,150,192,119,4,1374,140,310,206,208,206,130,7,1206,47,97,68,80,128,89,0,509,38,21,11,8,88,37,0,197,1398,1905,963,781,1125,868,77,7120,Mansfield (S)
24330,1295,2073,862,582,1846,603,159,7432,554,888,488,411,1293,483,78,4203,306,453,249,201,964,417,14,2599,149,151,70,51,661,305,7,1395,17780,17782,5852,4291,16998,6060,974,69736,Maribyrnong (C)
24410,2546,4321,1880,1082,2053,557,241,12688,1236,2504,1697,1270,1886,584,132,9302,578,1064,760,633,1539,664,24,5250,263,282,162,135,1254,499,0,2595,22509,24775,10643,7681,17633,4946,773,88955,Maroondah (C)
24600,2220,3042,1051,519,1720,3009,1651,13208,1059,1665,801,429,1336,1734,510,7527,344,472,268,169,769,768,154,2954,118,133,52,25,560,548,23,1460,39523,30217,7199,4089,40106,26345,15522,163004,Melbourne (C)
24650,2098,3214,1634,1297,3143,998,264,12655,917,1503,1026,900,2352,792,183,7679,370,433,293,258,1064,407,38,2856,94,91,43,42,499,129,3,892,21965,23915,10320,9697,26687,8722,925,102240,Melton (C)
24780,1125,2069,991,677,1490,771,36,7155,541,1065,850,753,1432,816,47,5491,285,464,351,379,1039,647,3,3167,123,159,97,76,661,312,4,1434,8302,10645,5226,4313,9895,5179,805,44359,Mildura (RC)
24850,816,1472,737,520,948,492,20,5007,374,749,504,536,777,455,16,3410,165,228,173,191,474,341,7,1575,62,60,40,43,235,132,0,579,6687,8194,3700,3362,6648,3525,154,32264,Mitchell (S)
24900,631,1160,633,469,767,375,11,4042,373,724,580,548,903,510,7,3633,190,330,233,332,745,430,0,2263,75,94,44,55,420,218,0,918,4321,5659,2843,2646,5004,2662,118,23246,Moira (S)
24970,3283,5685,2967,2003,3356,884,889,19069,1958,3874,2657,1964,3390,869,528,15248,1336,2344,1682,1252,3082,1074,134,10905,544,676,392,262,2357,802,14,5045,36654,37844,16805,12306,40424,8899,4149,157079,Monash (C)
25060,2425,4036,1896,1113,2232,775,167,12645,1161,2234,1439,1112,2331,844,108,9228,705,1190,814,705,1998,757,24,6204,353,409,218,155,1321,426,9,2888,24832,24917,10297,7411,21136,7093,900,96585,Moonee Valley (C)
25150,665,1222,648,484,677,305,6,4021,307,680,513,481,766,337,9,3099,125,232,181,157,341,208,0,1243,59,52,39,36,218,84,3,477,5260,6705,3272,2766,4893,2075,59,25027,Moorabool (S)
25250,2565,4217,1837,1151,3036,1011,260,14073,1273,2186,1260,1005,2842,901,144,9617,1011,1559,1022,832,2970,940,29,8360,491,573,292,211,2149,512,11,4243,35264,35697,12632,9238,31912,10148,1424,136306,Moreland (C)
25340,3701,6842,3172,1925,3176,1319,51,20191,2380,4938,3620,2685,3874,1667,55,19205,1142,2176,1604,1381,3232,1692,24,11263,486,640,340,275,2197,989,7,4931,26553,33425,16557,12329,24898,9956,500,124214,Mornington Peninsula (S)
17200,4012,5114,1625,758,3497,3769,2150,20936,1898,2940,1247,609,2766,2305,953,12729,678,970,495,277,1661,1223,225,5534,202,224,90,50,766,586,38,1960,60891,44487,10115,5399,53492,36916,22301,233606,Sydney (C)
17310,1295,2241,1182,784,1354,733,25,7612,644,1303,1016,899,1407,764,12,6050,320,557,466,498,1023,674,12,3550,142,141,92,87,655,301,0,1425,9113,12276,6207,4942,9640,5118,243,47522,Tamworth Regional (A)
17350,141,217,153,111,153,71,3,841,81,148,110,134,197,69,0,753,28,67,55,71,139,87,0,449,21,27,11,14,119,20,0,212,816,1175,671,627,1088,449,8,4822,Temora (A)
17400,197,311,195,195,222,181,7,1305,105,235,199,195,217,213,7,1174,54,73,60,80,118,142,3,541,10,15,5,14,41,75,0,166,893,1306,777,807,971,927,58,5731,Tenterfield (A)
22490,439,857,457,410,439,203,4,2810,180,405,356,382,353,206,0,1883,62,130,89,98,193,96,0,663,19,29,17,20,126,25,0,233,3254,4589,2334,2203,2743,1226,27,16382,Golden Plains (S)
22620,2349,4330,2219,1446,2259,1047,52,13709,1073,2300,1754,1669,2350,1135,37,10314,548,1019,704,796,1700,1072,11,5847,246,314,187,168,1157,649,3,2729,18945,23740,10969,9083,17103,7957,350,88158,Greater Bendigo (C)
22670,2621,3620,1790,1385,5154,1167,555,16291,1447,2379,1422,1206,4011,1170,265,11901,820,1097,624,542,2824,949,48,6912,262,295,137,118,1756,433,8,3009,24633,24238,10422,9315,45032,10400,1828,125873,Greater Dandenong (C)
22750,4982,8827,4447,2738,4959,1923,178,28057,2505,5213,3776,3211,5199,2043,101,22042,1211,2278,1757,1590,3940,1943,33,12749,580,790,452,350,2968,1222,17,6379,41878,49182,23040,17818,39366,15477,994,187760,Greater Geelong (C)
25430,512,1054,503,330,359,340,4,3099,261,653,492,405,415,285,3,2510,107,240,201,199,281,252,3,1279,47,79,31,43,193,168,0,556,2701,4316,2243,1737,2219,2313,46,15578,Mount Alexander (S)
25490,406,728,427,289,357,217,6,2417,198,377,304,287,353,199,9,1733,73,145,100,111,222,148,0,802,29,37,30,34,145,81,0,364,2473,3331,1848,1540,2213,1358,97,12859,Moyne (S)
17100,685,1013,570,438,906,241,182,4033,349,555,371,274,624,166,89,2420,201,296,197,129,526,128,31,1512,96,91,47,34,399,60,3,726,7835,7136,3159,2464,10431,2583,754,34362,Strathfield (A)
17150,5331,9491,4450,2485,3797,1130,197,26879,2656,5435,3716,2670,3918,1043,135,19566,1229,2342,1617,1414,3246,1022,59,10929,648,797,434,334,3050,681,12,5964,43991,49043,22032,15270,34971,8638,1025,174968,Sutherland Shire (A)
22310,3369,5164,2163,1011,2416,731,337,15188,1804,2916,1655,987,2279,646,201,10487,929,1377,851,539,1966,658,44,6364,502,574,255,199,2081,531,14,4155,31087,31372,12221,7614,24467,6515,1692,114972,Glen Eira (C)
22410,442,879,492,363,567,317,9,3060,207,415,384,353,579,325,8,2275,84,193,135,161,391,255,3,1232,37,56,35,23,274,115,0,529,2678,3944,2125,1850,3345,1813,45,15808,Glenelg (S)
25620,339,656,360,286,377,219,11,2242,198,427,343,331,387,246,6,1932,67,143,96,110,215,156,4,791,16,39,29,14,149,59,0,302,2002,2906,1556,1321,2048,1270,92,11190,Murrindindi (S)
25710,1643,3138,1528,889,986,322,52,8548,667,1465,1104,798,800,265,28,5116,208,352,356,278,460,193,13,1860,90,96,61,26,310,107,3,691,12183,13979,6834,4629,8008,2189,237,48062,Nillumbik (S)
25810,304,525,292,201,325,172,14,1833,164,344,244,235,380,207,0,1573,57,120,96,105,258,176,0,812,42,51,29,20,188,65,0,388,1681,2489,1267,1095,2119,1047,85,9774,Northern Grampians (S)
25900,2491,3316,1073,452,1727,1176,276,10504,1268,1899,916,451,1533,808,99,6970,432,656,373,189,1037,448,26,3157,146,202,82,39,714,195,9,1393,28392,24212,6503,3681,15600,10230,2530,91150,Port Phillip (C)
25990,191,322,177,171,220,181,5,1271,115,188,179,193,237,211,0,1120,20,67,50,64,157,87,0,448,18,18,13,16,61,47,0,174,930,1331,740,808,1119,1012,17,5952,Pyrenees (S)
26080,84,182,83,31,45,34,0,456,68,165,129,76,71,45,0,550,33,86,60,55,60,51,0,344,21,33,14,15,37,28,0,140,452,730,382,234,307,233,6,2351,Queenscliffe (B)
26170,675,1323,809,528,566,383,18,4302,389,797,701,700,682,443,8,3721,146,319,278,259,481,344,3,1830,68,106,59,50,363,153,0,797,4224,5879,3418,2888,3902,2338,113,22762,South Gippsland (S)
26260,371,757,375,283,343,173,8,2322,246,381,275,323,418,189,4,1838,103,168,125,162,311,185,0,1053,44,71,38,43,226,146,0,555,2472,3381,1693,1536,2454,1193,94,12823,Southern Grampians (S)
26350,2320,3404,1355,660,1467,758,220,10180,1450,2415,1226,689,1561,660,134,8133,718,1113,630,437,1401,607,42,4944,314,332,186,117,1077,397,3,2430,28430,23554,7663,4815,17791,7597,1757,91606,Stonnington (C)
26430,272,512,286,209,310,170,3,1762,170,357,270,264,321,179,0,1555,74,120,101,130,257,151,0,836,30,37,26,23,163,92,0,369,1420,2125,1164,1017,1762,989,40,8514,Strathbogie (S)
26490,686,1402,715,383,488,252,24,3946,351,817,612,452,449,231,23,2935,118,288,218,180,314,156,0,1274,47,65,36,32,272,75,0,540,5228,6617,3358,2411,3311,1664,175,22761,Surf Coast (S)
26610,404,714,406,255,562,433,18,2791,199,379,285,275,483,363,4,1990,117,202,142,127,392,271,3,1246,61,58,31,36,238,138,3,558,2976,3688,1881,1618,3695,2711,241,16816,Swan Hill (RC)
26670,176,294,167,128,160,70,0,1003,79,197,134,143,152,98,3,818,38,79,42,58,101,80,4,403,13,26,15,15,90,36,0,186,857,1307,700,609,816,487,20,4797,Towong (S)
26700,649,1307,638,421,655,335,16,4019,309,686,584,460,761,369,5,3175,184,332,225,249,560,341,3,1894,76,92,63,50,362,354,5,994,4296,6179,3097,2436,4305,2407,84,22801,Wangaratta (RC)
26730,731,1313,644,373,695,338,13,4103,351,736,514,450,712,414,22,3194,180,326,210,237,600,358,0,1903,101,107,57,54,440,197,3,965,5930,7100,3257,2510,5584,2594,269,27239,Warrnambool (C)
26810,980,1850,1042,757,1029,604,12,6276,490,973,786,801,1118,530,6,4702,203,368,288,356,727,476,0,2412,76,135,89,69,439,205,0,1012,6279,8516,4610,4078,6550,4294,156,34487,Wellington (S)
26890,130,169,92,67,95,41,0,593,62,99,79,78,87,50,0,457,28,51,42,45,81,49,4,294,11,15,8,8,49,34,0,126,661,792,434,388,520,285,11,3091,West Wimmera (S)
26980,3440,5918,2804,1550,2611,721,731,17778,1851,3814,2415,1691,2652,758,377,13557,1151,2116,1461,1077,2566,1004,80,9451,581,684,428,270,2073,881,8,4924,33436,35093,15678,10726,31196,7044,3011,136198,Whitehorse (C)
27070,3370,5086,2448,1892,5222,1313,607,19946,1701,2734,1786,1521,4234,1276,342,13588,946,1194,776,631,2797,849,50,7242,251,234,95,75,1380,321,3,2364,33406,35688,15472,13776,45173,10915,1758,156199,Whittlesea (C)
27170,808,1420,692,397,839,334,25,4518,360,723,489,465,813,301,18,3165,143,305,188,172,554,259,3,1628,61,88,52,40,385,131,0,753,6656,8523,3651,2860,6469,2550,109,30825,Wodonga (C)
27260,3068,4898,2456,1819,4218,1189,1298,18941,1288,2246,1486,1227,2969,978,680,10881,471,775,468,404,1566,622,91,4392,153,156,61,58,698,321,11,1449,35064,40084,17435,15745,41261,12288,3354,165224,Wyndham (C)
27350,1747,2547,931,415,1318,872,104,7931,877,1664,788,361,1085,710,64,5550,371,578,326,205,920,463,17,2882,123,143,78,36,501,228,3,1112,26578,21142,5596,2930,12648,8240,1218,78344,Yarra (C)
27450,3563,6387,3290,1949,2770,1031,76,19065,1598,3588,2607,2044,2617,1064,56,13568,630,1163,864,807,1737,808,24,6031,266,319,192,127,1139,396,4,2433,28420,33361,15577,11744,21357,7541,508,118503,Yarra Ranges (S)
27630,164,332,159,122,200,85,6,1062,77,153,149,139,209,119,0,846,49,70,70,92,148,99,0,535,26,30,23,16,135,87,0,324,931,1294,723,677,1162,618,14,5419,Yarriambiack (S)
29399,158,241,101,53,116,202,6,887,75,124,66,53,91,120,8,540,7,16,18,7,22,27,0,100,0,7,3,0,0,5,3,15,1642,1443,598,381,1090,1561,495,7201,Unincorporated Vic
30250,59,27,3,0,12,6,0,105,24,11,5,0,11,0,0,45,5,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,582,172,26,11,117,37,3,945,Aurukun (S)
30300,104,166,68,58,158,74,0,636,72,92,53,72,133,88,0,509,21,29,21,25,94,32,0,223,3,7,0,6,34,13,0,58,680,866,393,381,815,449,34,3619,Balonne (S)
30370,348,489,279,206,413,243,3,1989,153,265,163,202,355,216,11,1367,83,106,81,106,246,131,0,748,17,28,11,13,99,39,3,207,2401,3057,1417,1364,2471,1628,76,12418,Banana (S)
30410,76,124,78,52,107,39,0,471,63,86,58,68,157,66,9,508,21,42,18,28,67,49,0,221,10,5,5,0,20,16,0,53,471,644,305,311,624,304,18,2675,Barcaldine (R)
30450,14,17,7,0,21,8,0,68,7,9,8,6,38,3,0,80,3,0,0,3,3,0,0,8,0,0,0,0,0,0,0,0,72,68,37,20,100,28,3,324,Barcoo (S)
30760,53,86,46,52,97,31,0,358,37,51,51,53,102,40,0,337,17,11,16,15,55,25,0,140,5,3,4,3,23,3,0,44,307,386,218,209,410,161,16,1707,Blackall-Tambo (R)
34710,151,206,107,61,212,83,6,830,89,163,65,77,247,104,3,745,36,45,30,32,92,58,0,285,8,19,3,3,36,10,0,79,731,1009,435,336,923,430,26,3891,Longreach (R)
34770,2176,4145,2200,1696,2650,1178,89,14123,1023,1893,1534,1564,2346,1179,58,9592,438,802,565,641,1503,788,30,4772,161,210,103,112,845,261,9,1689,18006,23827,11187,9986,17525,7979,528,89033,Mackay (R)
34800,25,52,31,28,84,26,0,245,19,30,13,10,63,14,4,148,10,3,0,3,18,7,0,41,0,0,0,0,5,3,0,4,220,315,107,97,409,187,25,1359,McKinlay (S)
34830,23,10,4,3,11,4,0,52,3,5,6,0,3,0,0,17,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,99,56,31,5,38,17,0,246,Mapoon (S)
34860,266,455,237,159,362,253,11,1743,141,266,181,178,350,161,11,1296,50,120,55,87,236,100,0,654,18,24,14,19,111,52,0,229,2039,2724,1188,1042,2456,1704,70,11227,Maranoa (R)
34880,460,931,471,399,546,460,30,3298,264,531,431,455,574,466,16,2738,112,220,158,188,362,283,12,1328,37,61,33,23,169,68,0,393,2864,4311,2378,1986,3214,3365,333,18464,Mareeba (S)
35010,8492,15324,7652,5301,8327,2992,361,48445,4490,9579,7194,6251,8973,3443,356,40290,1895,3388,2567,2249,5515,2876,127,18623,743,835,425,342,2856,2170,24,7396,73968,92545,42129,33636,64143,24794,2609,333822,Moreton Bay (R)
35250,8,20,15,7,28,10,0,83,11,7,7,4,9,10,0,50,0,4,3,0,0,3,0,13,0,0,0,0,0,0,0,0,90,154,139,132,181,94,4,799,Mornington (S)
35300,317,515,202,171,407,371,32,2014,145,239,121,131,305,263,7,1217,46,64,41,52,104,88,3,404,11,9,7,10,33,18,0,84,3060,3863,1497,1245,2859,2500,104,15124,Mount Isa (C)
35600,96,202,93,53,182,58,3,691,62,121,60,56,176,91,3,569,24,32,23,31,86,63,0,258,11,5,3,8,55,24,0,101,687,912,419,341,941,433,26,3753,Murweh (S)
35670,15,21,3,0,24,0,0,77,12,3,0,3,8,0,0,31,3,3,0,0,3,0,0,10,0,0,0,0,0,0,0,0,226,206,33,13,190,8,0,682,Napranum (S)
35740,1648,2985,1571,897,1293,690,267,9351,1099,2448,1585,1252,1791,895,380,9450,497,932,649,588,1197,651,171,4686,172,211,121,104,571,380,26,1591,9507,13551,6790,5045,8536,4329,1821,49582,Noosa (S)
35760,240,423,239,185,356,231,8,1684,157,289,211,244,405,285,4,1598,43,117,97,114,203,209,6,790,25,35,15,10,123,73,0,282,1377,2089,1087,1051,1968,1456,283,9308,North Burnett (R)
35780,62,74,35,21,89,30,0,308,22,41,6,15,66,34,5,191,4,5,0,5,9,3,0,27,0,0,0,0,3,0,0,4,577,508,260,206,418,195,11,2169,Northern Peninsula Area (R)
35790,87,52,6,8,47,4,0,210,28,12,3,4,27,0,0,72,5,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,878,264,70,81,369,59,3,1728,Palm Island (S)
35800,59,93,48,32,82,40,0,365,37,82,37,39,91,30,0,306,14,19,13,18,33,15,0,115,0,0,0,0,13,10,0,30,289,396,175,151,387,158,9,1570,Paroo (S)
36070,36,19,0,3,20,4,0,82,18,10,3,3,10,0,0,43,8,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,314,135,18,10,94,29,3,600,Pormpuraaw (S)
36150,22,38,12,11,33,14,0,132,15,20,10,18,31,7,0,105,0,8,3,11,6,3,0,33,4,0,0,3,3,0,0,8,147,194,62,80,177,60,0,723,Quilpie (S)
36250,3667,6609,3086,1926,3062,898,156,19402,1762,3798,2856,2302,3234,1012,105,15070,827,1424,1055,939,2198,1006,48,7501,324,397,198,169,1404,772,7,3276,27612,33875,15380,10911,22640,6753,813,117988,Redland (C)
36300,30,33,21,13,31,7,0,138,20,27,14,5,47,9,0,127,3,8,0,3,23,4,0,45,0,3,0,0,8,0,0,12,152,185,82,72,211,80,25,806,Richmond (S)
36370,1397,2704,1489,1107,1750,839,86,9374,680,1399,1100,1061,1694,847,48,6835,366,627,502,521,1260,739,18,4037,144,181,108,82,680,422,6,1622,12710,16603,7790,6472,13069,6315,435,63393,Rockhampton (R)
36510,881,1783,990,670,885,584,44,5836,495,1106,899,899,988,587,34,5000,218,427,335,385,667,369,6,2409,86,86,51,57,393,133,0,812,6160,8767,4556,3911,5912,3732,268,33305,Scenic Rim (R)
36580,545,955,579,475,712,383,11,3659,288,573,517,550,687,388,9,3000,120,191,153,186,402,197,4,1248,33,37,20,19,171,66,0,346,3402,4781,2575,2561,3931,2194,80,19523,Somerset (R)
36630,687,1207,753,633,899,442,9,4628,369,887,729,859,1127,549,9,4530,172,322,230,341,668,406,3,2139,66,74,42,46,363,117,0,706,4359,6184,3472,3543,5443,2892,76,25958,South Burnett (R)
36660,783,1466,862,723,878,418,8,5141,441,986,813,881,1035,531,16,4695,236,409,305,393,687,361,3,2404,69,116,72,64,429,147,0,901,5016,7173,3949,3815,5685,2651,189,28479,Southern Downs (R)
36720,7049,13137,6403,3960,6085,2576,660,39878,4228,9122,6809,5346,7632,3128,1129,37398,2046,3931,2918,2599,5903,2675,539,20608,800,961,578,475,3701,1508,94,8105,53190,69349,32916,24550,46167,19102,4746,250020,Sunshine Coast (R)
36820,611,1152,681,523,752,427,32,4166,429,844,647,694,754,531,26,3918,164,294,253,302,539,310,12,1873,52,77,50,45,286,115,3,631,3488,5304,2907,2723,4122,2479,541,21564,Tablelands (R)
36910,3192,6129,2980,2066,3274,1492,98,19230,1677,3444,2711,2617,3306,1591,65,15409,856,1542,1161,1283,2484,1534,32,8893,337,462,245,232,1471,1059,4,3821,26411,34290,16351,13775,24464,11514,744,127535,Toowoomba (R)
36950,95,99,27,17,119,56,3,416,23,26,7,14,65,28,3,171,6,3,3,3,23,8,0,45,0,3,0,0,11,3,0,15,581,598,157,147,813,570,34,2902,Torres (S)
