LGA_MAIN11,P_SOL_SE_Tot_2001_2005,P_SOL_SE_Tot_2006,P_SOL_SE_Tot_2007,P_SOL_SE_Tot_2008,P_SOL_SE_Tot_2009,P_SOL_SE_Tot_2010,P_SOL_SE_Tot_2011,P_SOL_SE_Tot_arrival_ns,P_SOL_SE_Tot_Total,P_L_prof_Eng_ns_bf1996,P_L_prof_Eng_ns_1996_2000,P_L_prof_Eng_ns_2001_2005,P_L_prof_Eng_ns_2006,P_L_prof_Eng_ns_2007,P_L_prof_Eng_ns_2008,P_L_prof_Eng_ns_2009,P_L_prof_Eng_ns_2010,P_L_prof_Eng_ns_2011,P_L_prof_Eng_ns_arrival_ns,P_L_prof_Eng_ns_Total,P_Tot_bf1996,P_Tot_1996_2000,P_Tot_2001_2005,P_Tot_2006,P_Tot_2007,P_Tot_2008,P_Tot_2009,P_Tot_2010,P_Tot_2011,P_Tot_Yr_arrival_not_stated,P_Tot_Total,LGA_NAME11
63010,28,10,9,19,19,14,7,15,320,0,0,0,0,0,0,0,0,0,0,0,1628,97,116,68,38,47,33,24,15,71,2137,Huon Valley (M)
63210,14,3,5,6,3,7,0,6,119,0,0,0,0,0,0,0,0,0,0,0,521,37,49,17,5,13,6,13,3,33,697,Kentish (M)
63410,6,0,0,6,9,0,7,11,58,0,0,0,0,0,0,0,0,0,0,0,126,19,13,5,4,6,9,3,7,24,216,King Island (M)
56730,24,44,31,45,42,19,7,20,421,0,0,0,0,0,3,0,0,0,3,6,1159,81,82,63,55,62,59,31,21,81,1694,Northam (S)
56790,0,0,0,7,7,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,318,16,25,3,9,14,15,3,3,24,430,Northampton (S)
56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,19,Nungarin (S)
57000,3,0,0,3,0,3,0,3,33,0,0,0,0,0,0,0,0,0,0,0,73,15,15,8,9,16,5,10,3,7,161,Perenjori (S)
57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,17,Sandstone (S)
57700,55,26,20,46,9,17,9,271,768,3,0,0,0,0,0,0,0,0,3,6,2796,286,322,98,90,117,53,51,38,440,4291,Serpentine-Jarrahdale (S)
57770,4,0,0,3,0,3,0,3,22,0,0,0,0,0,0,0,0,0,0,0,108,7,13,0,5,8,4,3,0,6,154,Shark Bay (S)
57840,965,323,402,610,646,663,521,335,6897,9,0,10,3,3,6,4,0,0,12,47,6328,1040,1638,520,644,908,929,1031,778,690,14506,South Perth (C)
57910,4637,1685,2009,2627,2663,1984,1190,1571,35627,96,22,28,6,17,20,30,11,16,45,291,34521,5462,7824,2548,3126,4111,3900,3326,2200,2985,70003,Stirling (C)
57980,299,128,200,323,406,408,280,99,2873,0,0,0,0,0,0,0,8,0,4,12,2572,416,630,222,320,524,616,709,489,259,6757,Subiaco (C)
58050,1649,622,655,788,657,447,242,728,12837,46,8,18,6,3,6,9,0,6,17,119,18028,2866,3513,1317,1336,1592,1119,845,547,1565,32728,Swan (C)
58190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,6,3,0,3,3,42,Tammin (S)
58260,0,3,6,4,9,3,0,3,35,0,0,0,0,0,0,0,0,0,0,0,48,6,6,3,6,9,9,3,0,9,99,Three Springs (S)
63810,11,0,7,11,11,3,9,0,134,0,0,0,0,0,0,0,0,0,0,0,663,34,48,15,19,28,17,10,9,32,875,Latrobe (M)
