lga_code_2016,pre_school_m,pre_school_f,pre_school_p,infants_primary_government_m,infants_primary_government_f,infants_primary_government_p,infants_primary_catholic_m,infants_primary_catholic_f,infants_primary_catholic_p,infnts_primry_othr_non_govt_m,infnts_primry_othr_non_govt_f,infnts_primry_othr_non_govt_p,infants_primary_tot_m,infants_primary_tot_f,infants_primary_tot_p,secondary_government_m,secondary_government_f,secondary_government_p,secondary_catholic_m,secondary_catholic_f,secondary_catholic_p,secondary_other_non_govt_m,secondary_other_non_govt_f,secondary_other_non_govt_p,secondary_tot_m,secondary_tot_f,secondary_tot_p,tec_furt_educ_inst_ft_15_24_m,tec_furt_educ_inst_ft_15_24_f,tec_furt_educ_inst_ft_15_24_p,tec_furt_educ_inst_ft_25_ov_m,tec_furt_educ_inst_ft_25_ov_f,tec_furt_educ_inst_ft_25_ov_p,tec_furt_educ_inst_pt_15_24_m,tec_furt_educ_inst_pt_15_24_f,tec_furt_educ_inst_pt_15_24_p,tec_furt_educ_inst_pt_25_ov_m,tec_furt_educ_inst_pt_25_ov_f,tec_furt_educ_inst_pt_25_ov_p,tec_furt_educ_inst_f_pt_ns_m,tec_furt_educ_inst_f_pt_ns_f,tec_furt_educ_inst_f_pt_ns_p,tec_furt_educ_inst_tot_m,tec_furt_educ_inst_tot_f,tec_furt_educ_inst_tot_p,uni_othr_tert_inst_ft_15_24_m,uni_othr_tert_inst_ft_15_24_f,uni_othr_tert_inst_ft_15_24_p,uni_othr_tert_inst_ft_25_ov_m,uni_othr_tert_inst_ft_25_ov_f,uni_othr_tert_inst_ft_25_ov_p,uni_othr_tert_inst_pt_15_24_m,uni_othr_tert_inst_pt_15_24_f,uni_othr_tert_inst_pt_15_24_p,uni_othr_tert_inst_pt_25_ov_m,uni_othr_tert_inst_pt_25_ov_f,uni_othr_tert_inst_pt_25_ov_p,uni_othr_tert_inst_f_pt_ns_m,uni_othr_tert_inst_f_pt_ns_f,uni_othr_tert_inst_f_pt_ns_p,uni_other_tert_instit_tot_m,uni_other_tert_instit_tot_f,uni_other_tert_instit_tot_p,othr_typ_educ_inst_ft_stud_m,othr_typ_educ_inst_ft_stud_f,othr_typ_educ_inst_ft_stud_p,othr_typ_educ_inst_pt_stud_m,othr_typ_educ_inst_pt_stud_f,othr_typ_educ_inst_pt_stud_p,oth_typ_ed_instit_f_pt_ns_m,oth_typ_ed_instit_f_pt_ns_f,oth_typ_ed_instit_f_pt_ns_p,other_type_educ_instit_tot_m,other_type_educ_instit_tot_f,other_type_educ_instit_tot_p,type_educanl_institution_ns_m,type_educanl_institution_ns_f,type_educanl_institution_ns_p,os_visitors_m,os_visitors_f,os_visitors_p,tot_m,tot_f,tot_p,lga_name16
11350,253,231,484,834,740,1575,153,167,322,215,243,452,1202,1150,2351,511,522,1038,173,186,359,162,192,358,853,898,1752,21,27,50,38,99,137,75,36,107,78,156,232,0,3,3,220,319,535,75,108,183,98,132,230,19,26,43,117,266,381,0,0,0,308,531,841,20,39,57,59,136,198,0,3,5,84,170,252,2305,2312,4612,338,450,790,5563,6060,11623,Byron (A)
11400,142,134,271,456,438,892,128,132,262,78,77,150,658,651,1305,272,270,549,117,113,230,88,116,211,485,503,987,10,16,24,9,13,20,52,29,73,40,79,124,5,0,5,110,137,250,12,32,42,10,18,23,4,15,23,28,80,111,0,3,3,56,153,207,0,3,3,3,28,34,0,0,0,6,32,35,529,528,1055,18,22,44,1996,2155,4147,Cabonne (A)
11450,934,889,1822,2722,2598,5322,918,926,1848,522,481,1008,4168,4009,8177,1480,1553,3033,1047,929,1977,404,417,819,2937,2897,5832,89,121,212,38,94,132,448,181,633,175,297,471,6,4,12,754,702,1455,560,807,1370,119,254,378,99,146,247,249,505,748,0,5,6,1028,1725,2751,33,70,104,81,227,310,0,3,3,113,299,415,1738,1918,3657,132,178,313,11808,12618,24422,Camden (A)
11500,1443,1312,2758,5647,5238,10894,1040,1022,2063,787,723,1518,7476,6991,14467,3630,3641,7267,1261,1235,2494,551,509,1054,5436,5377,10816,262,271,533,199,350,543,586,290,878,419,728,1154,18,21,32,1485,1664,3143,1550,1855,3404,514,653,1168,217,280,497,462,740,1205,15,28,44,2766,3558,6326,195,297,495,227,544,772,6,14,19,435,857,1291,4917,5542,10461,480,697,1181,24441,25992,50436,Campbelltown (C) (NSW)
11520,725,645,1371,1776,1702,3476,971,928,1891,319,333,656,3059,2965,6023,799,706,1499,899,880,1781,439,513,953,2141,2095,4235,140,127,271,153,200,358,149,67,211,208,339,542,3,3,11,654,739,1392,1634,1986,3621,718,701,1416,193,168,361,529,674,1205,8,26,31,3075,3560,6631,173,189,363,209,338,543,3,8,8,387,534,918,2348,2612,4955,602,869,1476,12980,14022,27002,Canada Bay (A)
11570,3003,2657,5664,9617,8665,18278,3522,3406,6929,2273,2349,4618,15410,14422,29830,6948,7043,13993,3181,2920,6099,1756,1616,3374,11885,11585,23467,707,667,1375,684,1230,1913,1043,397,1433,872,1444,2320,54,34,87,3361,3771,7136,5577,5834,11408,2254,1822,4076,673,681,1356,1126,1493,2616,61,58,122,9682,9886,19572,813,1055,1869,690,1397,2081,34,44,80,1533,2499,4030,11723,11561,23289,1485,1964,3445,58092,58337,116430,Canterbury-Bankstown (A)
11600,29,33,55,82,69,152,30,45,79,0,0,3,113,118,232,44,57,105,3,9,10,3,0,3,50,66,118,0,0,3,0,0,0,13,5,19,0,8,8,0,0,4,17,19,31,0,0,0,0,0,0,0,3,3,5,9,10,0,0,0,5,11,15,0,0,0,0,7,7,0,0,0,0,7,6,149,120,269,44,25,68,406,392,800,Carrathool (A)
11650,3386,3092,6477,10319,9536,19859,2168,2209,4375,1532,1414,2947,14022,13164,27184,7071,6882,13953,1866,1868,3737,1466,1510,2976,10404,10255,20665,349,463,811,217,471,681,1306,751,2056,903,1734,2638,33,32,62,2798,3451,6257,1817,2378,4195,645,1152,1794,433,522,953,989,2115,3097,16,32,51,3900,6200,10096,208,322,530,432,953,1387,5,18,28,641,1300,1937,9601,10781,20375,503,680,1177,45249,48919,94171,Central Coast (C) (NSW)
11700,26,9,36,41,63,109,0,3,6,0,3,3,42,74,116,37,28,65,0,0,0,8,6,10,39,34,73,0,6,7,0,0,3,0,3,6,3,8,11,0,0,0,6,12,21,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,3,3,9,4,4,7,0,4,6,0,0,0,3,6,14,220,179,399,3,5,10,342,329,678,Central Darling (A)
11720,540,523,1069,1890,1794,3691,371,367,739,281,234,508,2541,2393,4938,1162,1211,2374,241,214,452,262,248,512,1667,1672,3339,67,83,152,30,55,87,176,150,323,155,278,427,3,5,10,422,573,995,132,221,352,52,112,163,41,60,97,86,241,334,0,0,3,307,635,944,30,47,72,46,149,193,6,7,12,77,201,282,2897,2269,5164,79,91,174,8536,8358,16901,Cessnock (C)
11730,416,367,779,1568,1402,2974,246,261,511,167,175,345,1979,1846,3828,1110,1061,2170,245,212,455,159,149,304,1511,1424,2930,72,84,155,38,121,156,174,140,317,134,316,449,6,0,9,426,658,1086,46,98,146,42,93,136,23,36,59,107,235,341,0,3,3,212,470,686,33,40,75,41,96,137,3,3,7,77,135,211,2445,2173,4621,89,99,191,7162,7169,14332,Clarence Valley (A)
11750,35,49,83,125,127,254,77,82,155,3,6,7,206,209,416,126,110,238,0,0,0,3,0,3,127,114,247,3,0,8,0,0,3,12,15,26,17,42,56,3,0,3,32,56,90,0,3,4,3,0,4,3,3,4,17,30,43,0,0,0,17,39,64,4,5,7,3,13,16,0,3,3,12,17,23,328,273,600,3,6,12,768,762,1532,Cobar (A)
11800,729,648,1376,2046,1991,4033,587,598,1180,425,414,836,3051,3001,6057,1398,1393,2792,469,438,908,442,435,871,2312,2261,4572,96,173,264,74,209,281,237,182,420,243,489,738,6,6,12,651,1061,1717,167,337,506,115,239,348,48,108,152,201,441,645,3,5,4,536,1125,1664,68,75,141,106,216,325,3,10,13,174,306,478,2910,3194,6110,304,383,692,10673,11986,22652,Coffs Harbour (C)
12000,36,33,70,145,125,268,75,54,133,4,3,11,224,181,405,82,95,176,38,32,72,37,28,64,158,150,306,3,5,5,0,3,3,9,10,16,12,18,32,0,0,0,26,30,59,5,19,18,7,3,10,0,7,9,7,40,44,0,0,0,17,64,83,0,3,3,0,5,6,0,0,0,0,6,10,233,230,459,3,4,3,695,699,1395,Coolamon (A)
12150,43,32,75,96,78,174,55,69,122,0,0,4,149,148,295,75,83,161,0,0,0,4,0,3,79,86,171,0,3,3,0,6,6,10,4,17,9,23,26,0,0,0,17,39,53,0,8,10,0,3,3,0,0,0,0,19,24,0,0,0,5,30,36,0,0,0,4,3,3,0,0,0,4,3,3,357,344,698,0,4,5,653,687,1343,Coonamble (A)
12350,105,95,200,353,341,686,116,140,252,15,15,37,483,492,977,248,280,528,74,51,121,16,21,33,336,353,685,8,12,23,8,20,27,37,39,76,35,89,121,5,3,4,89,161,250,11,17,32,5,16,24,3,15,16,16,50,64,0,0,0,40,97,140,8,10,19,11,23,32,0,0,0,21,35,48,546,578,1125,21,23,41,1642,1830,3473,Cowra (A)
12380,1862,1672,3534,6131,5576,11711,2129,2270,4396,1027,971,1990,9284,8818,18103,4008,3762,7770,1896,2033,3932,736,721,1462,6647,6519,13161,519,475,995,586,803,1390,559,260,822,702,922,1629,29,25,55,2402,2490,4888,3697,3631,7328,1848,1506,3348,457,406,865,729,852,1578,31,30,56,6760,6430,13188,746,786,1527,616,931,1551,24,23,44,1390,1739,3122,7171,6924,14095,1203,1555,2761,36719,36132,72847,Cumberland (A)
12700,96,91,190,331,293,619,46,41,80,34,13,50,403,346,754,231,257,487,26,25,48,28,29,57,287,309,599,4,14,13,3,5,9,42,17,54,13,48,62,0,0,3,60,81,141,22,39,58,4,21,28,7,7,10,21,43,69,0,0,0,58,106,163,0,4,9,3,26,27,0,0,0,5,32,37,354,352,705,9,5,12,1266,1333,2600,Dungog (A)
12730,74,62,134,293,275,568,44,49,99,16,16,32,359,340,702,202,233,437,12,14,27,17,22,37,229,275,501,6,7,15,3,7,11,31,21,50,19,48,61,0,0,0,58,83,141,7,6,16,3,9,11,6,8,12,25,24,48,0,0,0,41,48,89,0,3,4,3,20,22,0,0,0,6,25,33,465,455,919,40,21,67,1271,1316,2586,Edward River (A)
12750,238,215,455,906,834,1742,268,251,519,77,85,166,1249,1176,2428,626,628,1255,249,236,485,114,98,209,989,960,1946,23,20,41,15,33,54,103,75,174,103,149,253,4,8,11,249,283,531,21,60,86,28,68,100,10,20,25,57,165,226,0,0,0,118,315,437,14,26,37,30,82,113,8,5,8,50,112,159,1602,1680,3279,69,70,138,4554,4815,9372,Eurobodalla (A)
12850,1339,1227,2560,5987,5528,11521,1732,1758,3489,475,464,939,8197,7746,15946,5679,5356,11034,1439,1548,2983,441,493,939,7555,7391,14949,610,513,1122,475,822,1290,593,260,851,496,807,1299,40,34,77,2207,2434,4642,3047,3697,6752,609,673,1282,411,425,836,396,557,951,26,22,50,4495,5385,9873,588,831,1425,434,921,1353,24,42,62,1045,1797,2842,5857,6041,11896,550,697,1243,31246,32714,63958,Fairfield (C)
12870,111,92,198,328,347,676,106,128,237,14,12,25,456,488,944,241,247,483,61,64,126,17,14,38,323,329,651,9,20,24,3,20,18,47,22,74,29,64,97,0,3,6,89,128,216,7,30,39,9,23,35,7,7,13,14,40,52,0,3,4,34,106,141,0,8,6,3,19,25,0,0,0,6,29,34,563,587,1144,12,14,23,1593,1772,3362,Federation (A)
12900,103,115,215,272,272,541,135,131,273,13,7,18,419,408,826,147,131,279,171,191,367,12,4,19,335,334,664,4,4,6,0,13,10,47,23,69,21,53,73,0,0,0,67,87,160,6,17,25,3,10,12,3,14,16,8,35,43,0,0,0,28,80,107,0,4,5,3,14,19,0,0,0,6,20,24,547,453,1004,7,11,24,1514,1507,3021,Forbes (A)
12930,1173,1072,2241,3782,3481,7260,1142,1193,2331,452,501,952,5377,5169,10544,2784,2636,5421,1249,1161,2408,652,785,1439,4684,4582,9263,282,254,535,255,437,691,386,157,539,400,570,970,6,9,17,1322,1426,2750,3359,3375,6736,1306,1294,2600,311,301,612,610,760,1369,18,30,50,5603,5761,11361,356,397,749,373,607,986,6,10,12,736,1009,1748,3407,3575,6977,1066,1571,2630,23367,24158,47519,Georges River (A)
12950,58,46,105,97,80,178,77,95,167,0,0,0,171,176,346,98,96,196,0,3,4,5,5,12,106,110,212,3,0,7,0,7,6,12,3,13,5,14,22,0,0,0,22,23,49,0,14,9,0,5,9,0,0,0,7,18,22,0,0,3,7,37,43,5,0,3,3,6,11,0,0,0,9,7,13,186,191,379,3,0,4,563,590,1152,Gilgandra (A)
13010,62,61,124,242,212,448,97,97,195,4,4,10,336,315,651,203,232,435,5,7,11,5,4,10,210,244,454,3,9,15,6,18,21,28,16,46,19,47,66,5,4,7,57,91,151,11,27,33,0,16,14,6,10,10,12,31,44,0,3,3,28,80,105,0,3,8,4,18,26,0,0,0,10,22,32,629,533,1159,3,6,12,1329,1352,2687,Glen Innes Severn (A)
13310,265,270,531,990,850,1837,240,240,480,42,31,75,1269,1123,2393,660,583,1241,208,203,413,30,28,64,903,816,1716,23,43,70,22,29,47,146,93,240,80,182,260,3,5,6,280,343,620,46,89,131,39,74,108,19,38,58,105,187,290,3,3,5,205,393,598,32,18,53,48,100,146,0,0,0,80,123,198,1670,1142,2815,55,79,136,4723,4287,9011,Goulburn Mulwaree (A)
13340,122,103,226,344,320,665,88,82,170,103,104,211,537,504,1037,242,211,449,49,74,118,121,142,267,418,418,835,10,5,16,0,8,13,49,21,70,27,54,81,0,0,3,86,98,180,13,39,52,3,18,26,3,9,10,17,41,52,0,0,0,41,108,142,5,4,12,14,22,38,0,0,0,16,27,44,336,401,736,9,11,17,1568,1668,3237,Greater Hume Shire (A)
13450,271,220,493,818,814,1639,293,278,564,5,13,18,1122,1103,2220,521,480,998,280,275,557,21,17,39,822,776,1591,12,26,35,18,33,49,84,58,139,94,137,233,4,3,5,211,250,459,25,36,70,22,30,54,14,26,34,56,98,156,0,0,0,123,188,309,18,23,41,34,61,100,0,3,6,50,91,148,1358,1360,2714,176,196,370,4122,4184,8308,Griffith (C)
13510,103,87,185,349,314,663,132,125,257,7,3,16,496,439,929,224,218,439,73,69,141,12,7,20,304,299,602,4,16,20,6,17,21,38,29,70,26,52,79,3,0,9,75,114,192,13,24,41,3,16,20,9,10,16,13,42,55,0,0,0,38,93,129,12,9,24,5,11,20,0,0,0,18,19,41,446,431,883,21,28,45,1498,1511,3011,Gundagai (A)
13550,146,148,300,349,333,681,158,159,319,26,30,55,533,519,1057,166,135,308,139,160,298,29,36,60,332,333,668,8,10,21,4,16,21,43,34,77,25,82,104,0,0,0,73,144,222,3,8,15,4,13,17,4,11,22,29,75,101,0,0,0,43,117,162,6,3,10,10,28,35,0,0,0,17,30,52,563,569,1136,24,12,38,1741,1874,3612,Gunnedah (A)
13660,49,47,99,193,157,346,30,34,63,3,4,11,231,195,421,110,117,225,0,0,3,3,6,9,112,124,234,4,3,8,0,4,4,8,5,17,8,12,21,0,0,0,22,31,52,0,7,5,0,5,7,0,5,9,3,11,12,0,0,0,4,33,36,0,0,0,7,10,18,0,0,0,6,10,17,303,261,563,12,27,45,745,724,1468,Gwydir (A)
13800,708,600,1313,2033,1937,3963,545,495,1042,362,305,670,2939,2739,5680,1144,1171,2314,564,612,1171,457,480,934,2164,2264,4423,70,118,186,29,74,103,414,176,593,180,312,493,7,3,10,695,692,1380,388,650,1043,119,210,328,83,130,210,168,372,535,3,6,11,759,1372,2131,29,51,83,70,164,233,0,3,7,99,221,319,1952,1998,3945,92,120,209,9403,9990,19395,Hawkesbury (C)
13850,15,22,44,84,74,153,41,32,69,0,3,6,121,109,228,69,87,155,0,0,0,3,3,7,70,93,164,4,0,4,0,3,3,5,7,13,3,7,12,0,0,0,16,15,29,4,6,6,0,4,4,0,4,4,10,5,16,0,0,0,14,21,30,0,0,0,0,6,6,0,0,0,0,6,6,200,185,382,4,13,19,443,458,905,Hay (A)
16380,714,670,1382,1859,1717,3576,862,873,1736,362,327,687,3078,2924,6004,1051,1008,2061,1091,1116,2207,323,342,667,2463,2473,4933,83,106,188,47,156,207,254,184,442,242,465,706,10,7,17,627,926,1554,143,327,469,105,213,314,34,65,106,215,457,673,6,4,6,504,1070,1572,33,58,96,97,210,309,4,3,9,133,278,416,2697,2924,5619,143,195,341,10368,11460,21829,Port Macquarie-Hastings (A)
16400,615,610,1224,2161,2016,4182,429,395,821,343,313,653,2930,2727,5659,1483,1387,2868,315,299,617,406,346,760,2203,2032,4241,70,88,158,31,81,110,247,156,400,179,341,520,7,4,11,534,665,1197,227,372,592,92,195,285,64,91,149,155,347,503,0,11,8,538,1008,1548,31,46,70,82,185,264,4,5,12,116,228,348,2578,2745,5321,106,151,262,9617,10169,19786,Port Stephens (A)
16490,482,357,843,1624,1671,3292,647,528,1167,170,154,326,2438,2355,4790,1023,951,1978,654,663,1316,243,201,450,1919,1817,3738,68,82,156,36,50,83,261,140,393,210,321,532,12,5,15,583,601,1187,330,418,753,181,212,395,60,102,163,352,563,923,3,6,12,933,1312,2247,41,44,82,93,189,278,0,4,4,136,236,371,2661,2199,4862,122,148,267,9281,9027,18304,Queanbeyan-Palerang Regional (A)
16550,1124,1072,2194,2381,2324,4699,1306,1223,2537,882,861,1739,4564,4407,8979,958,956,1917,1287,1244,2530,979,977,1956,3219,3177,6398,162,182,340,187,281,472,270,136,406,430,571,1000,16,13,26,1069,1179,2250,6061,5984,12041,1988,1659,3647,277,284,561,844,1311,2154,31,29,59,9197,9277,18467,235,300,537,353,527,879,4,9,12,592,834,1427,6826,5376,12202,1492,2014,3508,28091,27340,55432,Randwick (C)
16610,213,228,435,597,585,1189,284,257,538,65,49,109,945,890,1839,428,422,852,227,256,482,58,50,108,718,728,1440,20,32,51,9,49,65,75,73,151,55,132,185,3,7,11,169,290,462,22,62,83,25,48,73,11,27,38,40,96,140,0,0,0,100,236,333,9,16,22,19,49,66,3,0,5,27,63,89,1036,1057,2096,17,28,40,3226,3521,6748,Richmond Valley (A)
16650,818,777,1596,2534,2311,4848,799,841,1641,346,334,675,3679,3482,7163,1627,1583,3216,835,774,1610,327,359,682,2789,2724,5509,213,228,441,243,353,597,287,150,440,415,492,907,5,12,19,1165,1231,2397,2023,2037,4065,1067,1037,2102,178,195,372,524,618,1141,25,18,45,3814,3907,7722,338,402,738,409,545,959,15,16,34,764,959,1728,3777,3910,7689,902,1201,2101,17714,18195,35907,Rockdale (C)
16700,957,935,1895,2900,2707,5612,946,951,1897,366,306,677,4221,3968,8187,1701,1564,3266,1040,962,2000,439,429,870,3177,2956,6133,197,254,458,277,414,694,230,104,334,385,638,1020,8,9,16,1092,1428,2524,3185,3396,6581,1273,1345,2618,271,305,584,664,868,1534,20,6,27,5423,5928,11350,185,211,395,257,431,685,3,9,5,444,641,1084,2733,2878,5612,1267,1682,2951,19319,20420,39739,Ryde (C)
16900,805,694,1501,2383,2236,4627,509,555,1064,226,182,404,3119,2977,6097,1591,1540,3131,565,651,1220,217,199,419,2376,2386,4761,91,116,205,46,117,162,344,188,528,160,331,485,10,4,20,647,753,1405,341,574,919,99,173,266,69,127,197,162,332,494,0,7,5,673,1209,1882,51,58,101,89,219,304,0,3,4,137,283,419,1862,2120,3987,64,93,165,9681,10525,20208,Shellharbour (C)
16950,916,856,1773,3083,2896,5986,357,327,690,277,297,569,3722,3521,7245,1969,1937,3907,425,445,866,399,300,700,2794,2681,5474,91,107,196,67,131,195,344,212,554,207,458,665,16,12,27,720,910,1631,180,344,527,120,250,372,47,96,139,241,501,742,4,4,9,586,1201,1789,56,75,135,91,241,332,3,3,10,154,317,470,4521,4080,8602,158,210,365,13572,13784,27358,Shoalhaven (C)
17000,240,227,470,715,728,1444,269,278,550,63,47,108,1044,1054,2094,494,469,964,224,249,466,107,97,202,817,816,1633,13,34,48,6,22,31,113,61,171,66,150,215,3,3,3,209,262,473,88,88,175,16,40,61,26,31,58,71,128,195,0,0,0,200,290,492,75,10,89,19,66,84,0,0,0,91,77,170,916,844,1759,28,45,78,3547,3622,7167,Singleton (A)
17040,257,211,464,950,894,1846,235,236,476,149,120,262,1338,1249,2586,492,492,985,140,133,268,242,148,390,873,769,1643,10,18,32,8,28,32,99,71,174,116,149,263,4,0,5,243,269,512,101,119,225,23,62,89,37,49,85,124,251,373,0,3,4,287,481,771,23,27,55,30,84,110,0,3,3,53,111,167,2849,2176,5026,422,347,762,6321,5619,11939,Snowy Monaro Regional (A)
17080,117,122,242,445,440,887,152,146,292,3,0,7,601,586,1192,342,322,664,59,61,117,8,10,17,402,389,788,16,12,26,9,17,27,51,48,98,38,83,119,0,3,3,113,165,275,7,28,34,7,18,27,3,13,12,32,57,87,0,0,0,48,121,166,5,17,20,6,21,28,0,0,0,15,34,49,910,703,1614,25,22,47,2233,2142,4374,Snowy Valleys (A)
17420,1722,1629,3355,5512,5205,10717,1706,1623,3327,1117,1062,2185,8333,7888,16226,3101,2992,6098,1823,1799,3618,1667,1492,3161,6595,6287,12877,208,215,422,134,299,434,589,225,817,326,576,900,8,18,20,1258,1333,2587,2592,2762,5353,480,613,1090,468,394,855,741,949,1695,17,32,52,4300,4751,9053,194,273,468,255,424,674,6,3,15,456,700,1158,2285,2544,4826,884,1242,2128,25835,26376,52214,The Hills Shire (A)
17550,701,579,1279,2379,2223,4604,761,769,1531,417,378,795,3558,3372,6928,1550,1542,3088,657,778,1433,421,432,855,2623,2756,5374,99,133,232,71,182,251,255,178,430,211,522,735,7,16,19,645,1016,1663,351,489,837,190,311,500,74,140,209,207,580,783,8,10,17,829,1524,2348,57,73,125,99,205,310,6,4,10,156,286,447,3806,4146,7953,272,335,603,12582,14018,26595,Tweed (A)
17620,155,144,299,407,432,844,157,129,288,102,112,218,671,674,1346,215,224,439,117,134,249,65,81,143,389,439,835,3,16,14,3,13,13,47,32,79,38,90,131,0,0,0,94,153,241,15,23,36,7,17,16,4,11,12,20,71,88,0,0,0,38,119,153,3,3,3,5,36,41,0,3,3,9,38,49,680,723,1400,30,56,88,2066,2353,4415,Upper Hunter Shire (A)
17640,78,52,136,207,208,414,69,68,140,15,10,24,289,289,579,135,180,320,45,34,80,4,4,14,186,217,406,3,7,14,0,7,4,36,22,50,25,28,51,3,0,3,65,60,131,4,24,29,3,9,14,8,5,15,19,42,58,0,0,0,30,78,110,0,0,0,5,13,22,0,0,4,7,18,22,353,318,675,9,3,12,1022,1042,2061,Upper Lachlan Shire (A)
17650,56,49,104,203,194,397,41,43,89,27,38,63,274,276,549,129,125,254,28,42,68,26,38,59,191,198,387,0,3,5,4,6,10,18,12,28,13,28,45,0,0,0,34,56,85,23,25,45,4,29,32,5,19,20,20,40,63,0,0,0,47,115,164,0,3,8,3,11,14,0,0,0,8,17,22,227,240,464,3,10,20,842,967,1804,Uralla (A)
17750,648,545,1187,1706,1615,3320,806,838,1648,332,277,606,2840,2733,5567,1148,1057,2201,646,713,1359,345,359,706,2131,2130,4265,154,93,249,97,114,210,305,203,511,217,397,613,9,4,14,785,808,1593,656,1346,2007,196,332,526,70,169,241,295,556,851,3,7,12,1220,2420,3643,156,66,227,82,146,227,6,3,9,240,214,459,2048,1972,4022,98,139,239,10015,10959,20975,Wagga Wagga (C)
17850,24,25,52,66,77,143,46,32,80,3,0,4,118,110,228,49,61,106,13,11,22,5,10,16,62,82,146,3,5,6,3,4,4,7,6,15,4,17,15,0,0,0,15,30,48,4,4,11,3,5,7,3,8,6,3,17,15,0,0,0,10,33,38,0,0,0,0,0,0,0,0,0,0,0,0,186,190,375,0,3,6,424,473,896,Walcha (A)
17900,66,71,144,180,185,362,82,70,149,5,6,13,267,265,528,97,86,184,3,3,3,3,8,14,107,94,197,4,4,14,0,14,15,8,10,22,15,25,40,0,0,0,36,57,89,5,0,3,3,3,9,3,8,9,4,28,35,0,3,3,11,39,56,3,4,8,0,6,9,0,0,0,4,9,18,469,424,891,4,6,17,969,976,1938,Walgett (A)
17950,41,41,81,62,46,112,42,78,124,0,0,6,111,128,237,52,55,108,0,0,7,0,0,0,53,58,109,0,3,3,0,3,3,3,3,7,8,14,18,0,0,0,7,21,28,0,10,10,0,3,3,3,3,5,5,11,17,0,0,0,10,27,37,0,0,0,0,0,0,0,0,0,0,3,3,141,158,302,7,11,16,370,441,813,Warren (A)
18020,76,68,149,271,277,551,89,105,187,10,0,10,368,379,749,270,252,515,11,5,15,3,0,8,279,257,537,8,11,13,0,14,13,15,23,38,26,48,77,0,3,3,44,100,147,4,16,21,5,4,4,4,11,20,9,52,67,0,0,0,25,86,108,4,5,9,8,18,22,0,0,4,10,20,32,589,582,1173,24,39,65,1421,1535,2955,Warrumbungle Shire (A)
18050,686,581,1268,1250,1185,2437,283,275,558,673,662,1335,2206,2130,4335,284,298,579,304,270,573,821,860,1684,1412,1421,2835,52,67,113,98,143,241,100,78,173,270,335,604,6,3,4,519,628,1149,661,778,1438,266,388,650,98,120,222,433,619,1054,14,4,22,1473,1903,3382,108,142,253,321,442,760,7,7,10,436,589,1029,3624,3757,7385,937,955,1886,11298,11959,23262,Waverley (A)
18100,36,30,64,132,108,232,27,32,64,3,0,3,163,137,298,76,76,146,3,16,21,3,4,3,76,93,170,0,0,0,3,8,7,9,5,15,4,17,21,0,0,0,15,32,45,0,3,4,0,3,3,0,3,0,8,10,12,0,0,0,10,16,27,0,0,3,0,6,6,0,0,0,3,11,12,170,194,365,0,0,0,469,509,981,Weddin (A)
18200,67,55,126,245,208,450,39,39,72,13,18,30,292,264,560,128,143,274,36,35,70,13,12,21,175,189,368,3,9,9,0,7,6,17,6,25,15,38,53,0,0,0,45,54,97,9,28,31,3,10,10,0,3,4,9,32,40,0,0,0,18,70,92,5,4,10,5,21,25,0,0,0,15,25,38,518,391,903,38,54,93,1168,1108,2273,Wentworth (A)
18230,539,538,1076,1421,1269,2690,606,625,1239,300,234,536,2334,2124,4453,907,860,1770,440,472,916,207,225,433,1554,1557,3114,59,97,163,27,93,116,233,145,379,191,333,521,3,4,12,512,681,1192,71,158,225,54,116,177,24,69,97,149,304,459,3,0,7,305,657,954,31,39,72,60,113,171,0,3,3,88,153,238,2878,2375,5248,71,119,184,8276,8203,16473,Western Plains Regional (A)
18250,807,752,1558,2427,2344,4766,539,458,994,486,423,910,3444,3226,6674,815,1049,1863,668,466,1134,810,737,1543,2289,2247,4543,77,95,175,117,210,325,66,45,113,181,348,531,0,6,6,450,708,1154,1412,1590,3002,441,558,1004,142,139,279,478,584,1065,13,8,26,2485,2881,5368,132,184,316,170,306,480,0,4,9,300,496,801,1751,2013,3764,1025,1314,2336,12556,13640,26190,Willoughby (C)
18350,454,380,829,1273,1261,2535,336,308,643,353,345,698,1962,1918,3880,668,634,1299,582,549,1130,329,589,917,1576,1774,3349,29,39,70,13,45,61,194,101,293,118,209,331,3,3,11,356,400,756,130,191,321,47,110,165,31,62,95,144,299,439,0,14,13,354,679,1034,27,50,78,58,147,208,0,4,7,85,203,288,1536,1748,3284,92,116,206,6408,7213,13622,Wingecarribee (A)
18400,567,534,1096,1831,1673,3510,388,397,780,302,297,600,2518,2368,4893,1019,946,1967,472,449,920,314,363,677,1808,1760,3569,42,71,114,11,40,56,305,112,415,104,184,287,3,3,8,466,414,878,267,451,717,81,135,216,52,79,131,106,273,378,3,5,4,504,946,1453,17,34,56,48,125,172,0,0,0,66,163,236,1331,1329,2668,47,62,110,7312,7577,14894,Wollondilly (A)
