lga_name_2016,lga_code_2016,p_othserv_0,p_othserv_1_15,p_othserv_16_24,p_othserv_25_34,p_othserv_35_39,p_othserv_40,p_othserv_41_48,p_othserv_49over,p_othserv_hours_ns,p_othserv_tot,p_id_ns_0,p_id_ns_1_15,p_id_ns_16_24,p_id_ns_25_34,p_id_ns_35_39,p_id_ns_40,p_id_ns_41_48,p_id_ns_49over,p_id_ns_hours_ns,p_id_ns_tot,p_tot_0,p_tot_1_15,p_tot_16_24,p_tot_25_34,p_tot_35_39,p_tot_40,p_tot_41_48,p_tot_49over,p_tot_hours_ns,p_tot_tot
Tenterfield (A),17400,4,17,10,4,10,7,7,12,0,65,11,11,13,3,12,19,3,5,25,105,95,310,252,273,323,323,150,552,74,2361
Greater Bendigo (C),22620,74,254,169,227,353,286,202,250,19,1831,73,201,117,150,278,264,104,208,335,1726,2142,6625,5193,6210,9272,7880,4450,6054,858,48675
Greater Dandenong (C),22670,30,330,398,278,720,512,179,230,40,2715,117,397,468,361,1323,816,271,257,1082,5088,1439,6485,6749,6425,16455,11780,4309,4794,1875,60306
Greater Geelong (C),22750,101,573,382,444,722,681,301,433,50,3697,163,447,285,334,581,668,229,449,845,4000,4097,14425,11744,12466,18318,18711,9096,12875,1852,103580
Strathfield (A),17100,11,60,68,59,119,120,56,75,10,578,30,121,143,76,186,209,54,78,258,1155,476,1863,2382,1738,4119,4814,1501,2249,476,19618
Sutherland Shire (A),17150,94,525,451,505,759,958,412,716,47,4475,131,401,374,360,642,972,333,653,767,4625,3607,12395,11934,11472,18335,23578,11381,18426,1642,112765
Sydney (C),17200,86,361,374,321,659,598,311,470,50,3223,155,379,718,302,609,1051,377,782,983,5347,3134,8781,14054,7867,18982,26482,13244,22744,1972,117252
Glen Eira (C),22310,53,367,292,270,363,395,206,323,17,2287,73,332,263,240,374,580,195,374,518,2951,1953,8560,7606,7608,11228,14504,6800,10333,1056,69634
Glenelg (S),22410,3,44,30,38,52,44,28,41,4,287,24,46,25,28,46,45,24,48,98,377,409,1094,923,1010,1186,1299,768,1398,230,8311
Golden Plains (S),22490,12,54,31,41,78,81,38,55,4,402,25,41,29,38,71,73,35,48,105,458,429,1227,1097,1236,1689,1833,920,1541,228,10196
Moonee Valley (C),25060,44,229,193,233,341,308,142,252,33,1779,70,244,190,160,323,396,141,295,464,2283,1830,6742,5971,5925,10095,11897,5559,8705,1034,57761
Moorabool (S),25150,11,67,40,58,111,105,45,90,8,538,15,53,54,55,86,139,59,92,143,694,550,1767,1444,1591,2445,2800,1387,2326,319,14632
Moreland (C),25250,60,339,285,326,623,496,281,326,47,2784,109,306,292,256,502,613,211,317,792,3396,2440,8504,8742,9060,15806,16337,7823,10068,1564,80352
Mornington Peninsula (S),25340,72,362,286,370,437,457,226,364,23,2595,124,372,291,277,428,543,217,407,569,3219,2496,9558,7591,8653,10164,11852,6088,9845,1261,67498
Mount Alexander (S),25430,3,31,19,32,46,50,16,40,3,246,18,48,24,26,37,41,27,44,58,334,319,1120,1006,1118,1079,1212,602,969,131,7558
Moyne (S),25490,8,27,26,19,31,50,22,29,4,216,22,33,14,25,32,62,13,54,63,311,382,897,809,875,964,1201,616,1791,184,7730
Murrindindi (S),25620,11,36,25,25,48,33,18,38,8,235,22,29,23,23,43,61,23,36,51,319,277,732,694,733,896,1054,519,924,125,5954
Nillumbik (S),25710,30,206,134,161,188,240,101,181,18,1252,43,172,121,102,154,227,85,203,180,1275,1045,4633,3669,3775,4634,6306,3081,4962,472,32575
Northern Grampians (S),25810,3,19,15,14,14,27,9,16,4,133,9,22,15,15,26,31,13,21,38,177,239,576,515,621,736,853,382,825,111,4859
Port Phillip (C),25900,33,184,164,222,342,309,182,254,14,1705,62,197,174,179,262,491,195,425,352,2350,1672,4531,4617,5318,9230,13017,6924,11654,742,57705
Pyrenees (S),25990,3,15,10,3,15,9,10,11,4,92,10,14,4,8,17,18,8,17,27,126,144,348,301,332,372,425,202,483,60,2664
Queenscliffe (B),26080,0,12,3,4,3,8,0,3,0,31,0,3,8,3,0,5,0,4,8,36,51,208,121,144,123,165,76,139,14,1046
South Gippsland (S),26170,16,54,43,40,74,86,43,62,10,436,31,78,46,44,59,66,25,73,124,549,564,1748,1408,1515,1566,1783,978,2328,299,12184
Southern Grampians (S),26260,7,31,21,26,49,54,24,33,4,247,19,19,20,21,28,26,11,24,56,229,334,940,795,906,1048,1156,647,1280,148,7250
Stonnington (C),26350,22,213,150,187,260,230,150,207,11,1431,56,260,194,157,261,447,163,401,403,2345,1436,5928,5249,4997,8557,11988,6314,11296,776,56530
Strathbogie (S),26430,11,14,11,18,26,25,7,12,0,123,16,23,15,18,25,26,8,23,45,203,202,584,456,537,661,719,348,750,117,4369
Surf Coast (S),26490,12,62,62,60,78,80,27,68,7,460,22,82,56,43,52,91,36,65,100,529,595,2029,1687,1739,1873,2500,1180,2253,229,14079
Swan Hill (RC),26610,6,46,26,27,71,56,37,49,0,315,26,40,25,38,43,71,24,47,97,425,365,1011,738,953,1575,1590,746,1335,243,8568
Towong (S),26670,0,8,14,17,12,25,7,19,0,99,15,12,3,7,12,12,4,15,29,110,141,319,260,316,337,412,207,599,81,2673
Wangaratta (RC),26700,12,41,41,40,82,114,28,74,4,434,23,60,38,38,64,90,22,60,107,507,559,1539,1398,1711,2116,2141,1066,1839,251,12616
Warrnambool (C),26730,18,116,50,59,113,106,32,58,3,563,19,57,35,40,98,82,35,53,126,545,675,2298,1636,2050,2809,2554,1422,1858,292,15601
Wellington (S),26810,28,95,57,96,102,127,51,87,10,651,32,69,54,68,88,120,37,106,175,747,858,2336,1868,2067,2698,2878,1572,3274,400,17944
West Wimmera (S),26890,0,3,4,7,6,7,0,10,0,42,8,6,0,3,7,12,3,9,11,61,85,210,163,223,190,318,122,510,43,1860
Whitehorse (C),26980,63,385,365,311,516,461,253,344,20,2731,84,376,309,241,494,574,164,308,536,3083,2151,10459,8777,8267,13173,14883,6610,9278,1104,74705
Whittlesea (C),27070,75,444,386,396,826,670,320,395,40,3545,143,470,335,370,1135,824,256,377,1003,4924,2871,9701,9104,9839,20662,17780,7355,9153,2086,88550
Wodonga (C),27170,26,78,57,79,151,132,83,77,13,702,31,60,38,49,115,127,47,70,128,674,708,2022,1688,2266,3554,3228,1987,2438,299,18199
Wyndham (C),27260,84,412,291,300,808,617,270,322,40,3144,120,391,368,358,951,958,274,406,1123,4942,2869,9618,9146,10023,23120,22103,8359,10984,2180,98411
Yarra (C),27350,40,164,115,160,313,256,169,178,16,1402,47,157,147,139,254,379,159,312,307,1897,1470,4444,4144,4689,8186,10891,6416,9867,681,50781
Yarra Ranges (S),27450,104,420,347,345,648,696,361,509,32,3469,161,400,271,307,630,725,273,481,613,3869,2810,9699,7862,8604,13033,13873,7170,10011,1351,74415
Yarriambiack (S),27630,5,12,7,6,14,22,9,8,3,95,5,5,3,8,16,20,3,8,29,104,118,307,298,313,308,502,204,513,66,2626
Unincorporated Vic,29399,0,3,0,0,0,0,0,0,0,3,0,3,0,0,4,3,3,5,0,24,11,31,26,48,74,51,61,126,12,440
No usual address (Vic.),29499,4,13,10,4,18,20,4,16,0,89,16,11,18,11,19,11,6,10,39,148,111,212,205,226,348,385,170,296,84,2033
Migratory - Offshore - Shipping (Vic.),29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,17,0,23
Aurukun (S),30250,0,3,5,5,8,8,0,0,0,34,0,0,0,3,0,0,0,0,3,10,3,17,8,31,67,39,5,38,9,231
Balonne (S),30300,3,4,6,10,11,21,8,12,0,75,0,8,4,5,16,14,4,22,23,92,67,213,178,248,264,309,153,666,57,2149
Banana (S),30370,7,29,28,24,39,46,27,48,6,243,11,25,13,11,24,41,11,45,61,248,292,648,496,630,992,967,749,2230,167,7185
Barcaldine (R),30410,0,3,3,5,7,9,3,3,0,31,0,6,4,3,3,12,3,10,13,54,45,104,73,138,204,244,122,489,28,1447
Barcoo (S),30450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,9,10,27,12,79,0,167
Blackall-Tambo (R),30760,0,3,0,3,0,4,0,7,0,20,0,0,6,3,3,3,3,10,8,38,49,66,67,96,109,149,59,313,31,932
Longreach (R),34710,6,6,3,6,19,13,13,16,0,84,3,11,0,5,12,9,9,10,28,87,97,137,104,187,342,355,209,457,54,1938
Mackay (R),34770,73,259,192,227,555,384,302,582,34,2604,95,182,143,155,378,295,151,316,484,2202,2015,5276,4312,5666,9501,7585,5693,11567,1117,52732
McKinlay (S),34800,0,0,3,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,3,6,14,14,16,24,32,72,32,275,11,490
Mapoon (S),34830,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,4,6,42,3,9,12,0,82
Maranoa (R),34860,3,22,7,15,32,46,28,59,3,224,15,34,9,19,42,54,18,65,56,317,227,541,413,539,990,1034,569,1904,138,6356
Mareeba (S),34880,3,33,27,34,57,47,31,54,4,298,18,38,23,32,41,54,21,44,93,366,353,915,760,1098,1540,1214,661,1547,204,8284
Moreton Bay (R),35010,222,946,773,928,1643,1510,801,1142,81,8046,265,779,566,665,1552,1477,545,1172,1546,8571,6657,20628,17635,23156,39274,33629,17636,27512,3369,189495
Mornington (S),35250,0,0,6,3,6,3,3,3,3,26,0,0,0,0,0,0,0,0,7,8,6,16,23,31,85,55,27,46,14,314
Mount Isa (C),35300,11,34,26,25,57,80,33,77,0,354,7,27,12,21,32,55,23,48,92,321,397,590,418,730,1320,1460,1803,2190,192,9108
Murweh (S),35600,0,3,3,5,9,12,3,11,0,60,4,8,5,5,10,11,4,13,26,94,72,173,126,215,409,356,154,490,54,2046
Napranum (S),35670,0,0,4,4,3,3,0,3,0,14,0,0,0,0,0,0,0,0,3,8,3,18,12,14,24,29,24,24,6,153
Noosa (S),35740,23,156,112,126,129,157,73,112,18,906,40,152,79,138,119,145,51,150,178,1053,765,3209,2537,3508,3275,3279,1668,3395,375,22007
North Burnett (R),35760,4,19,7,18,18,25,9,29,0,129,7,19,11,19,18,22,5,40,67,208,150,423,374,502,514,622,387,1225,135,4334
Northern Peninsula Area (R),35780,5,5,12,3,16,24,7,9,0,75,0,5,3,0,3,0,0,3,10,20,37,49,53,100,239,140,43,132,21,804
Palm Island (S),35790,0,10,3,10,4,4,0,12,0,47,0,0,0,0,0,0,0,0,4,8,21,98,33,72,80,78,25,84,3,487
Paroo (S),35800,0,0,0,3,5,3,0,3,0,22,0,3,4,3,3,6,4,11,5,34,33,54,50,65,89,121,54,244,11,720
Pormpuraaw (S),36070,0,9,3,3,0,7,0,0,0,21,0,0,0,0,0,0,0,3,0,4,0,61,6,17,30,37,7,42,3,212
Quilpie (S),36150,0,0,0,0,3,0,0,3,0,11,0,0,0,0,3,0,0,4,3,19,22,29,14,38,61,76,28,172,10,452
Redland (C),36250,66,363,324,364,581,579,279,438,25,3019,89,296,222,231,514,580,202,475,491,3110,2256,7867,6622,8396,13470,12722,6664,11080,1090,70168
Richmond (S),36300,0,0,0,0,0,3,0,0,0,6,0,3,0,0,0,3,0,3,9,23,13,30,26,26,59,72,26,166,18,434
Rockhampton (R),36370,53,169,108,159,358,278,134,249,7,1505,55,114,53,88,207,187,88,148,237,1168,1373,3675,2905,3954,7723,5495,3096,5520,579,34314
Scenic Rim (R),36510,18,99,75,72,108,103,73,128,8,682,37,97,47,73,115,130,50,149,139,838,632,2019,1684,2184,2670,2679,1488,3197,376,16926
Somerset (R),36580,8,42,47,39,74,47,32,56,3,343,16,43,25,37,54,58,30,67,110,441,343,1006,845,1149,1551,1502,838,1788,245,9270
South Burnett (R),36630,13,79,33,42,72,77,34,87,0,438,13,58,36,41,56,64,27,90,142,519,449,1358,1118,1583,1962,1555,957,2402,273,11656
Southern Downs (R),36660,16,78,43,79,101,107,41,83,5,559,24,61,27,53,86,70,27,77,163,595,545,1813,1349,1819,2398,2043,1132,2661,348,14094
Sunshine Coast (R),36720,131,806,574,749,858,899,431,635,43,5132,185,670,497,574,744,864,324,875,1012,5735,4493,17066,14143,18457,21598,20302,10900,20475,2203,129641
Tablelands (R),36820,12,39,23,40,72,65,33,63,3,358,14,63,32,40,38,53,24,55,97,415,433,1300,965,1287,1528,1270,755,1907,216,9654
Toowoomba (R),36910,87,381,267,297,537,505,326,494,21,2911,98,264,149,202,386,379,193,427,497,2593,2559,7860,6423,8479,13948,10824,6938,12966,1176,71188
Torres (S),36950,3,7,5,3,4,4,4,4,0,48,5,3,5,5,6,8,0,9,29,67,62,106,76,128,222,323,125,252,85,1379
Torres Strait Island (R),36960,0,41,8,18,10,19,0,12,7,121,0,0,0,5,4,3,0,0,15,33,29,129,83,155,193,164,21,156,39,974
Townsville (C),37010,87,381,266,367,701,610,326,490,33,3263,114,266,175,231,490,463,165,375,615,2882,3419,9183,7015,9684,18007,14598,8810,14322,1412,86449
Weipa (T),37300,0,3,0,3,8,6,7,14,0,47,6,4,0,3,4,3,12,12,15,58,108,111,101,146,185,255,748,465,40,2152
Western Downs (R),37310,14,56,53,55,79,107,59,97,4,521,27,57,21,44,81,71,45,140,120,612,536,1562,1089,1453,1953,2005,1433,4087,313,14418
Whitsunday (R),37340,22,65,51,67,103,99,56,98,12,573,26,65,46,66,88,114,56,117,138,719,599,1376,1183,1852,2454,2465,1790,3626,336,15681
Sorell (M),64810,7,32,37,28,52,56,20,20,3,258,15,25,20,24,32,31,16,20,47,224,282,771,717,883,1306,1053,511,673,116,6323
Boulia (S),30900,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,6,8,11,3,10,23,21,19,112,5,218
Brisbane (C),31000,416,2525,2100,2353,4024,3437,1834,2609,185,19486,549,2223,1784,1719,3472,3908,1311,2803,3864,21628,17663,63549,56958,60814,110684,109496,54996,87854,8445,570455
Hinchinbrook (S),33800,4,14,15,16,39,33,12,32,4,172,11,22,8,18,24,22,15,32,47,197,159,506,404,544,750,674,425,995,115,4562
Hope Vale (S),33830,4,4,0,15,17,3,0,5,0,48,0,0,0,0,0,0,0,0,8,8,4,9,8,49,98,24,3,31,8,230
Ipswich (C),33960,94,379,270,420,784,564,378,395,32,3324,128,277,228,325,847,726,265,455,714,3969,3026,7926,7029,9945,20091,15167,8385,11193,1532,84285
Bulloo (S),31750,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,3,10,6,6,6,15,26,23,18,103,7,220
Bundaberg (R),31820,30,160,124,159,287,203,121,181,19,1280,71,147,103,112,218,176,102,168,327,1425,1189,3966,3320,4764,6359,4926,3002,5716,726,33970
Burdekin (S),31900,5,26,17,33,54,65,33,62,3,305,19,34,14,13,26,46,25,47,85,308,256,820,636,854,1227,1275,778,1792,197,7841
Burke (S),31950,0,0,0,0,4,3,0,3,0,13,0,0,0,0,0,0,0,3,7,11,6,11,7,7,19,33,17,45,6,147
Cairns (R),32080,71,314,291,355,669,561,301,460,31,3050,105,284,208,235,382,422,181,377,636,2830,2588,7071,6415,9791,15144,12180,6820,11046,1362,72405
Carpentaria (S),32250,0,0,0,3,9,3,0,3,0,18,0,5,0,6,6,3,0,9,16,51,27,55,30,74,137,125,79,258,35,813
Cassowary Coast (R),32260,12,57,39,59,93,78,47,67,5,448,29,50,54,73,95,77,36,59,126,606,439,1215,1169,1633,2270,1878,979,2202,305,12084
Central Highlands (R) (Qld),32270,14,74,42,50,75,81,66,151,5,566,19,44,41,41,46,55,31,81,99,459,580,1278,952,1145,1610,1584,1532,4497,280,13460
Charters Towers (R),32310,9,33,17,22,27,32,14,31,3,183,9,13,13,22,28,27,10,33,37,189,203,449,367,523,679,634,351,1245,118,4579
Isaac (R),33980,7,49,27,25,43,30,31,86,3,308,15,27,12,14,25,28,11,66,66,262,479,793,577,749,948,962,1298,3961,206,9972
Kowanyama (S),34420,0,5,0,0,0,3,3,3,0,16,0,0,0,0,0,0,0,0,3,6,0,32,20,36,32,58,22,30,3,227
Livingstone (S),34530,18,84,55,92,122,111,60,120,3,655,25,50,37,50,70,69,22,84,124,534,666,1756,1360,1823,2717,2272,1425,3109,294,15425
Lockhart River (S),34570,0,6,3,8,8,0,0,4,5,34,0,0,0,3,0,0,0,0,9,19,3,22,8,35,27,31,10,24,25,189
Cherbourg (S),32330,0,9,0,0,8,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,7,19,4,18,47,17,4,9,4,127
Cloncurry (S),32450,0,0,0,6,4,7,9,22,0,47,0,3,0,3,3,4,3,11,16,52,51,68,59,96,160,238,124,672,41,1520
Cook (S),32500,3,3,5,5,11,23,5,12,3,73,3,5,3,10,7,10,6,20,22,94,66,124,128,227,297,267,143,414,54,1707
Croydon (S),32600,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,8,10,7,8,17,4,46,4,110
Lockyer Valley (R),34580,18,76,58,52,125,108,61,80,5,586,26,65,41,59,118,111,46,100,154,719,612,1825,1435,2002,2933,2394,1462,2743,371,15762
Logan (C),34590,148,618,499,704,1316,1114,625,782,72,5876,208,553,472,588,1605,1385,500,882,1376,7569,4203,12619,11325,15805,30300,24039,12536,18282,2851,131955
Litchfield (M),72300,14,28,19,47,79,116,52,95,8,461,39,38,19,44,91,100,44,144,114,620,644,718,648,930,2025,2154,1106,3247,283,11746
Diamantina (S),32750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,7,9,15,17,27,16,64,0,164
Clare and Gilbert Valleys (DC),41140,3,16,17,12,33,31,14,28,0,165,7,13,12,10,7,22,8,26,37,148,208,507,464,552,537,647,397,755,80,4148
Ceduna (DC),41010,3,4,5,9,12,15,4,8,0,62,3,11,7,0,0,10,4,10,18,56,81,151,126,176,277,244,146,277,48,1531
Charles Sturt (C),41060,54,267,258,279,528,371,214,239,26,2226,86,180,146,172,308,258,90,163,311,1716,1920,6496,5237,6509,11729,8372,4710,5962,781,51718
Doomadgee (S),32770,4,11,0,9,6,4,3,3,3,49,0,0,0,0,0,0,0,0,4,3,13,75,8,44,63,22,10,31,10,279
Douglas (S),32810,4,20,15,27,36,28,14,42,3,188,14,26,18,26,45,35,12,48,49,270,202,482,531,802,905,826,513,1105,140,5509
Etheridge (S),33100,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,18,30,13,26,31,46,18,164,11,360
Flinders (S) (Qld),33200,0,10,0,0,3,4,0,0,0,20,0,3,5,0,3,3,3,4,14,31,18,66,47,67,94,144,43,284,29,795
Fraser Coast (R),33220,51,206,142,190,281,189,100,160,17,1336,74,165,105,135,211,152,61,184,308,1388,1284,4230,3370,4729,6388,4393,2465,4749,666,32271
Gladstone (R),33360,28,153,93,92,203,143,91,148,13,974,56,94,69,78,128,174,88,231,215,1135,1085,2854,2254,2665,4038,4004,3540,6158,476,27074
Gold Coast (C),33430,253,1396,1119,1403,1847,1842,937,1461,120,10372,374,1307,993,1217,1885,2222,784,1774,2246,12806,7748,30302,26643,34923,48431,45459,22327,39990,4727,260548
Goondiwindi (R),33610,3,17,14,14,39,45,29,32,0,194,10,12,5,11,19,38,13,41,57,206,180,451,397,516,625,763,452,1356,109,4855
Gympie (R),33620,22,104,80,99,149,114,60,125,9,759,49,85,59,85,105,90,41,125,184,836,761,2251,1796,2567,2918,2257,1320,3260,371,17499
Winton (S),37400,0,0,0,0,3,6,3,0,0,15,0,3,0,0,3,0,0,3,10,24,29,29,25,55,78,95,47,198,18,572
Copper Coast (DC),41560,8,37,21,25,31,46,16,24,4,229,10,14,10,10,24,22,7,16,49,160,242,784,527,717,833,673,381,688,114,4960
Elliston (DC),41750,0,0,0,3,0,0,0,0,0,5,0,8,0,0,0,0,0,3,3,16,28,60,50,61,41,71,29,155,10,496
Woorabinda (S),37550,0,3,3,0,10,3,6,0,3,35,0,0,0,0,0,0,0,0,0,4,5,20,16,23,67,23,9,24,13,193
Salisbury (C),47140,44,283,201,257,606,420,257,224,33,2323,68,254,155,252,569,334,119,185,499,2422,1966,6573,5369,7680,14968,8992,5210,5544,1109,57408
Southern Mallee (DC),47290,0,3,3,3,6,10,3,0,0,25,0,0,0,0,3,6,0,7,12,32,41,98,91,121,100,143,66,299,29,978
Streaky Bay (DC),47490,3,8,0,4,7,4,4,4,0,37,0,3,3,7,6,0,3,12,13,50,49,130,105,126,113,131,87,213,30,988
Tatiara (DC),47630,6,7,15,12,13,37,23,23,3,141,4,8,12,8,20,19,4,12,36,120,165,369,311,359,609,497,330,715,73,3426
Tea Tree Gully (C),47700,52,258,228,280,470,371,195,252,8,2112,48,163,87,126,242,189,76,150,242,1320,1608,5923,4800,6056,10766,7658,4636,5283,571,47302
The Coorong (DC),47800,0,5,3,3,11,11,9,17,0,54,4,11,7,4,3,10,3,10,11,65,76,287,227,282,286,283,205,608,44,2292
Tumby Bay (DC),47910,0,11,3,5,5,10,8,10,3,45,0,3,0,3,4,3,3,4,4,31,50,144,106,134,121,148,104,255,18,1087
Wujal Wujal (S),37570,0,3,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,4,11,7,7,24,10,3,3,0,64
Yarrabah (S),37600,3,3,3,9,3,6,0,11,6,44,0,0,0,0,0,0,0,3,15,19,20,29,24,48,87,38,13,61,25,343
No usual address (Qld),39499,5,17,16,10,11,21,7,7,5,99,14,19,12,26,25,38,7,32,86,257,195,274,297,410,473,463,235,575,158,3087
Migratory - Offshore - Shipping (Qld),39799,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,9,9,6,7,9,10,4,12,0,60
Bridgetown-Greenbushes (S),50840,4,7,6,14,9,8,4,15,0,71,4,19,5,8,8,10,3,17,19,92,94,303,226,235,238,250,162,386,42,1942
Brookton (S),50910,0,3,0,0,3,5,0,0,0,10,5,3,0,0,0,0,0,3,4,18,22,39,33,56,33,42,32,128,8,394
Broome (S),50980,3,39,37,44,72,69,33,64,10,362,15,28,16,33,50,60,18,66,88,366,343,559,518,851,1487,1354,723,1378,175,7379
Adelaide (C),40070,8,40,34,46,51,34,21,27,10,261,15,40,14,19,34,33,12,41,46,254,352,1333,899,897,1821,1541,872,1421,143,9275
Adelaide Hills (DC),40120,23,84,71,85,123,142,66,84,8,692,34,91,58,51,76,94,44,97,83,628,817,2693,2091,2525,3055,3104,1888,3075,265,19510
Alexandrina (DC),40220,14,78,34,40,74,61,33,81,4,416,15,54,25,36,36,40,18,56,66,347,465,1488,1257,1490,1590,1371,775,1460,174,10077
Anangu Pitjantjatjara (AC),40250,0,5,9,8,4,7,5,4,3,43,0,3,0,3,10,3,3,5,16,33,20,31,40,106,103,95,41,64,25,512
Barossa (DC),40310,16,60,15,45,77,60,31,59,0,372,25,36,23,33,53,62,30,50,52,370,480,1430,1155,1355,1768,1980,1146,1707,154,11167
Barunga West (DC),40430,0,3,4,5,0,10,0,3,0,26,0,3,3,0,3,3,0,3,10,28,44,131,94,123,84,129,68,224,16,911
Berri and Barmera (DC),40520,5,27,14,18,38,44,16,26,4,191,15,23,4,16,29,32,8,12,29,157,156,467,398,637,855,759,367,590,82,4311
Carnarvon (S),51540,3,3,5,10,3,18,5,14,0,56,6,7,4,5,18,14,3,18,32,105,149,155,150,245,403,395,253,544,61,2344
Chapman Valley (S),51610,0,4,3,0,0,8,0,5,0,33,0,4,3,3,0,3,5,6,0,28,45,79,50,67,95,79,74,167,14,652
Burnside (C),40700,18,91,42,68,100,112,46,77,4,562,20,76,55,68,73,100,43,76,93,601,627,3138,2159,2458,3234,3145,1828,3320,219,20125
Campbelltown (C) (SA),40910,24,152,112,153,242,161,89,124,13,1065,17,81,50,62,132,83,41,81,161,702,737,3137,2469,3093,5038,3668,1935,2507,365,22950
Cleve (DC),41190,0,7,6,3,7,7,0,8,0,37,4,0,0,0,0,6,3,5,7,25,36,105,59,117,88,132,76,222,21,846
Coober Pedy (DC),41330,3,0,0,0,3,0,0,0,0,13,3,3,0,0,0,0,0,6,20,41,41,48,54,72,137,97,52,115,30,643
Flinders Ranges (DC),41830,0,5,0,0,3,4,0,3,0,22,0,6,0,0,4,3,0,3,12,24,33,96,49,75,111,91,45,173,15,688
Franklin Harbour (DC),41960,0,3,0,0,7,0,0,3,0,17,0,3,0,0,3,0,0,4,9,20,38,72,57,61,63,63,33,140,14,533
Gawler (T),42030,12,45,35,49,89,81,48,48,3,409,10,33,20,25,66,41,18,35,81,318,388,1134,963,1396,2119,1551,954,1182,163,9847
Goyder (DC),42110,0,4,10,5,5,8,3,12,0,47,3,10,0,11,3,8,0,4,29,75,70,210,176,228,204,218,148,383,56,1695
Grant (DC),42250,4,25,15,13,40,17,18,23,0,149,3,24,6,10,18,14,13,20,19,131,170,502,377,480,559,537,354,822,63,3867
Denmark (S),52730,8,11,18,3,10,13,5,10,0,70,4,32,14,14,6,15,5,10,15,104,158,427,341,328,229,317,167,370,36,2364
Derby-West Kimberley (S),52800,0,21,14,21,43,44,8,36,9,206,6,8,3,10,13,5,6,16,45,114,102,130,115,205,491,438,216,530,89,2324
Donnybrook-Balingup (S),52870,9,13,9,12,9,13,7,21,0,89,5,12,11,10,6,14,5,23,20,111,150,317,259,306,284,342,236,563,52,2509
Holdfast Bay (C),42600,25,88,75,85,105,95,51,68,7,602,14,51,50,44,54,94,28,63,108,513,598,2249,1776,2226,3093,2792,1613,2319,269,16922
Kangaroo Island (DC),42750,3,4,6,11,11,10,4,6,0,64,0,11,4,9,7,8,3,6,8,63,119,319,290,344,299,245,144,372,39,2166
Karoonda East Murray (DC),43080,0,0,0,3,0,5,0,4,0,20,3,3,0,0,0,3,0,3,0,16,7,51,37,52,44,76,36,169,8,478
Kimba (DC),43220,0,0,0,3,6,6,3,0,0,17,5,0,0,0,0,0,0,4,6,18,29,68,46,47,44,77,54,154,11,526
Kingston (DC) (SA),43360,3,10,5,11,4,0,0,4,0,36,4,3,0,3,6,0,0,3,10,32,67,154,112,137,108,152,87,191,29,1050
Light (RegC),43650,5,37,27,40,45,43,30,29,0,254,12,21,12,22,32,35,12,27,44,219,289,902,694,947,1264,1187,723,1185,118,7309
Lower Eyre Peninsula (DC),43710,3,9,7,13,16,25,16,8,0,94,8,7,4,9,10,12,4,15,21,86,108,326,288,327,383,374,231,460,47,2536
Loxton Waikerie (DC),43790,3,31,17,17,24,43,11,26,0,175,4,12,13,15,26,18,16,21,49,176,212,574,510,674,839,829,426,829,97,4989
Mallala (DC),43920,6,22,10,12,31,28,11,28,4,153,5,20,13,17,40,31,13,15,38,187,158,438,360,562,826,663,356,665,82,4106
Merredin (S),55460,3,3,7,8,16,16,5,23,4,74,9,0,6,0,7,5,4,9,12,49,84,134,119,157,246,253,174,298,37,1498
Maralinga Tjarutja (AC),44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,0,0,7,0,8
Marion (C),44060,44,248,182,205,344,239,164,162,10,1592,55,136,81,105,204,187,65,111,255,1201,1663,5384,4454,5651,9378,6568,3770,4425,571,41862
Mid Murray (DC),44210,3,16,15,15,16,14,15,13,0,105,11,25,11,16,14,14,0,10,32,139,129,409,354,471,521,446,279,604,71,3287
Mitcham (C),44340,40,172,107,135,167,176,119,126,9,1052,25,99,69,80,109,131,50,107,150,832,1202,4572,3640,3919,5392,4746,2894,4192,380,30924
Mount Barker (DC),44550,30,111,54,93,145,105,83,111,7,729,19,75,41,50,59,76,37,74,79,504,707,2204,1759,2238,2929,2411,1598,2278,249,16379
Mount Gambier (C),44620,15,73,46,53,121,62,60,65,3,492,14,43,30,20,63,58,26,39,85,382,441,1442,1148,1534,2314,1648,1211,1688,183,11612
Mount Remarkable (DC),44830,0,7,3,3,3,4,11,8,0,39,3,7,0,0,3,3,0,4,14,38,51,143,124,143,173,171,101,321,28,1252
