lga_code_2016,p_85y_ov_no_udw,p_85y_ov_udw_notstated,p_85y_ov_total,p_tot_udw_5_hrs_less,p_tot_udw_5_14_hrs,p_tot_udw_15_29_hrs,p_tot_udw_30_hrs_more,p_tot_no_udw,p_tot_udw_notstated,p_tot_total,lga_name_2016
15950,454,196,1146,19224,17620,5092,2811,9215,5159,59115,North Sydney (A)
15990,2838,1420,6945,53918,57932,24645,15787,36800,13934,203023,Northern Beaches (A)
16100,58,19,112,768,1053,538,485,818,712,4375,Oberon (A)
16150,470,148,921,6637,8616,3830,3009,6862,2851,31801,Orange (C)
16200,187,127,438,2095,2777,1469,1300,2518,1511,11662,Parkes (A)
16260,1923,564,3898,41636,44913,19685,15886,47659,14770,184550,Parramatta (C)
11300,524,113,976,7422,6656,2790,2145,10849,2155,32004,Burwood (A)
11350,295,166,687,5604,7221,3452,2312,3820,3861,26265,Byron (A)
11400,158,48,306,2001,2754,1437,1269,1976,1057,10499,Cabonne (A)
11450,456,240,980,14479,16351,7146,5560,12189,3785,59521,Camden (A)
11500,696,473,1666,26058,29489,12966,11770,33045,9819,123148,Campbelltown (C) (NSW)
11520,1076,227,2020,18754,18878,7427,5223,18193,5250,73728,Canada Bay (A)
11570,3934,945,7487,56442,56502,25644,24326,90256,22093,275266,Canterbury-Bankstown (A)
11600,38,10,60,406,543,228,237,495,266,2185,Carrathool (A)
11650,4363,2462,10278,56414,70415,33906,27056,57006,22510,267307,Central Coast (C) (NSW)
11700,9,8,23,209,257,127,152,429,304,1485,Central Darling (A)
11720,521,219,1052,7842,10762,5429,5131,9954,5062,44189,Cessnock (C)
11730,801,282,1618,6916,10474,5882,5561,8697,4833,42364,Clarence Valley (A)
