lga_name_2016,lga_code_2016,f_grdi_grcer_grdi_mng,f_grdi_grcer_grdi_pro,f_grdi_grcer_grdi_ttw,f_grdi_grcer_grdi_cps,f_grdi_grcer_grdi_ca,f_grdi_grcer_grdi_sal,f_grdi_grcer_grdi_mod,f_grdi_grcer_grdi_lab,f_grdi_grcer_grdi_idns,f_grdi_grcer_grdi_tot,f_grdi_grcer_gradcer_mng,f_grdi_grcer_gradcer_pro,f_grdi_grcer_gradcer_ttw,f_grdi_grcer_gradcer_cps,f_grdi_grcer_gradcer_ca,f_grdi_grcer_gradcer_sal,f_grdi_grcer_gradcer_mod,f_grdi_grcer_gradcer_lab,f_grdi_grcer_gradcer_idns,f_grdi_grcer_gradcer_tot,f_bade_bade_mng,f_bade_bade_pro,f_bade_bade_ttw,f_bade_bade_cps,f_bade_bade_ca,f_bade_bade_sal,f_bade_bade_mod,f_bade_bade_lab,f_bade_bade_idns,f_bade_bade_tot,f_advdi_di_advdi_di_nfd_mng,f_advdi_di_advdi_di_nfd_pro,f_advdi_di_advdi_di_nfd_ttw,f_advdi_di_advdi_di_nfd_cps,f_advdi_di_advdi_di_nfd_ca,f_advdi_di_advdi_di_nfd_sal,f_advdi_di_advdi_di_nfd_mod,f_advdi_di_advdi_di_nfd_lab,f_advdi_di_advdi_di_nfd_idns,f_advdi_di_advdi_di_nfd_tot,f_advdi_di_advdi_asde_mng,f_advdi_di_advdi_asde_pro,f_advdi_di_advdi_asde_ttw,f_advdi_di_advdi_asde_cps,f_advdi_di_advdi_asde_ca,f_advdi_di_advdi_asde_sal,f_advdi_di_advdi_asde_mod,f_advdi_di_advdi_asde_lab,f_advdi_di_advdi_asde_idns,f_advdi_di_advdi_asde_tot,f_advdi_di_dip_mng,f_advdi_di_dip_pro,f_advdi_di_dip_ttw,f_advdi_di_dip_cps,f_advdi_di_dip_ca,f_advdi_di_dip_sal,f_advdi_di_dip_mod,f_advdi_di_dip_lab,f_advdi_di_dip_idns,f_advdi_di_dip_tot,f_cert_certiii_iv_mng,f_cert_certiii_iv_pro,f_cert_certiii_iv_ttw,f_cert_certiii_iv_cps,f_cert_certiii_iv_ca,f_cert_certiii_iv_sal,f_cert_certiii_iv_mod,f_cert_certiii_iv_lab,f_cert_certiii_iv_idns,f_cert_certiii_iv_tot,f_cert_certi_ii_mng,f_cert_certi_ii_pro,f_cert_certi_ii_ttw,f_cert_certi_ii_cps,f_cert_certi_ii_ca,f_cert_certi_ii_sal,f_cert_certi_ii_mod,f_cert_certi_ii_lab,f_cert_certi_ii_idns,f_cert_certi_ii_tot,f_cert_cert_nfd_mng,f_cert_cert_nfd_pro,f_cert_cert_nfd_ttw,f_cert_cert_nfd_cps,f_cert_cert_nfd_ca,f_cert_cert_nfd_sal,f_cert_cert_nfd_mod,f_cert_cert_nfd_lab,f_cert_cert_nfd_idns,f_cert_cert_nfd_tot,f_le_id_mng,f_le_id_pro,f_le_id_ttw,f_le_id_cps,f_le_id_ca,f_le_id_sal,f_le_id_mod,f_le_id_lab,f_le_id_idns,f_le_id_tot,f_le_ns_mng,f_le_ns_pro,f_le_ns_ttw,f_le_ns_cps,f_le_ns_ca,f_le_ns_sal,f_le_ns_mod,f_le_ns_lab,f_le_ns_idns,f_le_ns_tot,f_tot_mng,f_tot_pro,f_tot_ttw,f_tot_cps,f_tot_ca,f_tot_sal,f_tot_mod,f_tot_lab,f_tot_idns,f_tot_tot,p_pode_pode_nfd_mng,p_pode_pode_nfd_pro,p_pode_pode_nfd_ttw,p_pode_pode_nfd_cps,p_pode_pode_nfd_ca,p_pode_pode_nfd_sal,p_pode_pode_nfd_mod,p_pode_pode_nfd_lab,p_pode_pode_nfd_idns,p_pode_pode_nfd_tot,p_pode_doctde_mng,p_pode_doctde_pro,p_pode_doctde_ttw,p_pode_doctde_cps,p_pode_doctde_ca,p_pode_doctde_sal,p_pode_doctde_mod,p_pode_doctde_lab,p_pode_doctde_idns,p_pode_doctde_tot,p_pode_masde_mng,p_pode_masde_pro,p_pode_masde_ttw,p_pode_masde_cps,p_pode_masde_ca,p_pode_masde_sal,p_pode_masde_mod,p_pode_masde_lab,p_pode_masde_idns,p_pode_masde_tot,p_grdigrcer_grdigrcernfd_mng,p_grdigrcer_grdigrcernfd_pro,p_grdigrcer_grdigrcernfd_ttw,p_grdigrcer_grdigrcernfd_cps,p_grdigrcer_grdigrcernfd_ca,p_grdigrcer_grdigrcernfd_sal,p_grdigrcer_grdigrcernfd_mod,p_grdigrcer_grdigrcernfd_lab,p_grdigrcer_grdigrcernfd_idns,p_grdigrcer_grdigrcernfd_tot,p_grdi_grcer_grdi_mng,p_grdi_grcer_grdi_pro,p_grdi_grcer_grdi_ttw,p_grdi_grcer_grdi_cps,p_grdi_grcer_grdi_ca,p_grdi_grcer_grdi_sal,p_grdi_grcer_grdi_mod,p_grdi_grcer_grdi_lab,p_grdi_grcer_grdi_idns,p_grdi_grcer_grdi_tot,p_grdi_grcer_gradcer_mng,p_grdi_grcer_gradcer_pro,p_grdi_grcer_gradcer_ttw,p_grdi_grcer_gradcer_cps,p_grdi_grcer_gradcer_ca,p_grdi_grcer_gradcer_sal,p_grdi_grcer_gradcer_mod,p_grdi_grcer_gradcer_lab,p_grdi_grcer_gradcer_idns,p_grdi_grcer_gradcer_tot,p_bade_bade_mng,p_bade_bade_pro,p_bade_bade_ttw,p_bade_bade_cps,p_bade_bade_ca,p_bade_bade_sal,p_bade_bade_mod,p_bade_bade_lab,p_bade_bade_idns,p_bade_bade_tot,p_advdi_di_advdi_di_nfd_mng,p_advdi_di_advdi_di_nfd_pro,p_advdi_di_advdi_di_nfd_ttw,p_advdi_di_advdi_di_nfd_cps,p_advdi_di_advdi_di_nfd_ca,p_advdi_di_advdi_di_nfd_sal,p_advdi_di_advdi_di_nfd_mod,p_advdi_di_advdi_di_nfd_lab,p_advdi_di_advdi_di_nfd_idns,p_advdi_di_advdi_di_nfd_tot
Bundaberg (R),31820,24,175,4,44,19,0,3,3,0,280,16,84,0,8,11,3,0,0,0,124,205,1872,40,207,250,52,5,94,16,2743,0,5,0,12,3,0,0,0,0,29,68,190,18,125,100,27,3,32,3,565,123,178,39,482,241,84,10,64,5,1217,228,134,332,988,703,315,36,242,26,3014,27,11,18,73,92,105,5,55,4,387,32,23,25,121,106,53,9,63,3,435,12,21,3,13,13,6,4,28,3,104,30,57,10,75,59,50,5,53,34,382,813,3026,503,2169,1621,704,73,651,104,9660,0,18,0,0,0,0,0,0,0,19,6,110,3,0,6,0,0,0,0,125,87,376,18,12,29,14,3,15,7,564,4,30,0,3,3,0,0,0,0,44,43,259,8,52,23,0,3,3,0,402,30,103,3,9,9,3,0,5,0,168,427,2739,130,300,301,76,23,164,25,4179,4,5,0,15,3,0,0,3,0,33
Burke (S),31950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,4,0,15,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,3,4,0,3,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
Cairns (R),32080,73,571,10,120,65,21,0,4,4,872,26,150,3,9,28,3,0,3,0,226,618,4437,158,734,845,333,24,180,60,7386,4,5,0,20,12,3,0,0,0,53,223,469,56,377,325,131,8,69,28,1677,361,452,133,950,805,316,24,136,33,3214,409,338,667,1688,1574,640,85,320,61,5775,35,28,30,107,171,172,10,64,5,639,70,57,32,288,257,126,13,80,11,927,33,61,17,63,56,38,0,22,4,294,49,114,40,164,137,123,8,115,80,824,2100,7752,1170,4627,4405,1951,178,1017,288,23488,3,59,0,3,3,0,0,3,0,70,33,432,3,10,19,3,0,3,0,507,365,1210,42,132,169,63,12,37,20,2052,20,86,0,3,9,6,0,0,0,125,131,817,23,159,75,24,14,13,5,1269,50,204,12,18,35,8,0,7,0,336,1353,6784,489,1165,1095,501,124,322,108,11938,9,12,10,27,15,3,0,0,3,78
Carpentaria (S),32250,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,28,4,8,3,0,0,3,0,45,0,0,0,0,0,0,0,0,0,0,4,3,3,0,6,0,0,0,0,19,0,4,0,9,4,0,0,0,0,29,5,8,3,19,15,6,0,6,0,58,3,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,4,0,0,0,4,3,0,0,0,0,11,26,51,9,47,38,4,0,19,3,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,32,11,11,8,0,0,3,0,71,0,0,0,0,0,0,0,0,0,0
Cassowary Coast (R),32260,5,58,0,13,6,3,0,0,0,92,3,8,0,0,0,0,0,0,0,17,77,442,21,75,70,21,3,52,3,767,0,0,0,3,0,0,0,0,0,3,30,71,7,51,25,13,3,22,0,227,36,56,17,97,81,19,4,32,4,347,67,59,94,255,249,104,17,103,11,953,15,8,3,23,28,24,0,20,0,118,17,9,5,38,31,26,3,21,3,159,8,3,3,14,9,4,3,6,0,49,16,20,13,36,21,27,3,44,9,187,293,797,163,615,521,243,34,311,30,3013,0,3,0,0,0,0,0,0,0,3,6,13,0,3,0,0,0,0,0,18,35,88,4,3,15,3,0,9,0,153,3,9,0,0,0,0,0,4,0,11,20,89,3,14,7,6,0,0,0,132,6,13,0,0,0,0,0,0,0,24,168,630,48,111,78,32,12,95,11,1187,4,0,0,3,0,0,0,0,0,13
Central Highlands (R) (Qld),32270,19,62,3,5,4,0,0,0,0,103,0,13,0,3,0,0,0,0,0,18,101,595,22,56,107,20,0,37,3,947,0,0,0,0,0,0,0,0,0,3,41,29,12,30,30,15,0,5,3,171,55,51,16,88,109,23,14,31,4,396,83,46,99,202,260,93,50,94,7,931,14,5,10,16,43,26,10,23,0,137,15,10,4,33,32,14,8,13,3,125,3,0,0,7,3,5,0,3,0,24,16,12,7,24,24,28,4,29,4,142,372,891,182,466,626,215,91,238,26,3113,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,14,32,111,11,4,20,3,0,0,0,186,0,6,0,0,3,0,0,0,0,13,30,92,10,9,8,0,0,0,0,146,8,23,7,3,0,0,0,0,0,32,231,852,80,84,119,28,31,52,3,1485,3,0,0,4,0,0,0,0,0,7
Charters Towers (R),32310,6,34,0,6,3,0,0,0,0,42,0,4,0,0,0,0,0,0,0,6,26,233,6,22,28,3,0,3,0,333,0,0,0,0,0,0,0,0,0,4,16,29,3,17,6,5,0,0,0,76,26,19,8,47,31,6,0,3,0,135,30,25,46,99,76,23,5,28,0,336,9,4,4,8,6,9,0,8,0,38,0,9,3,24,6,6,4,9,0,61,3,0,0,3,0,3,0,0,0,11,10,11,0,18,6,11,0,7,0,67,132,405,78,242,166,68,6,63,8,1156,0,0,0,0,0,0,0,0,0,3,0,17,0,0,0,0,0,0,0,14,10,43,0,0,0,0,0,0,0,57,0,4,0,0,0,0,0,0,0,4,10,50,0,6,6,0,0,0,0,68,3,4,0,0,0,0,0,0,0,14,56,326,17,32,33,7,0,6,3,483,0,0,0,0,0,0,0,0,0,3
Croydon (S),32600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,3,8,3,0,0,7,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
Etheridge (S),33100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,8,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,9,0,0,0,6,3,0,0,0,0,10,9,3,0,0,7,0,0,3,0,21,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,20,17,0,6,19,0,0,11,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,8,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
Flinders (S) (Qld),33200,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,19,23,0,6,4,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,5,5,0,5,0,0,0,0,0,16,4,0,4,6,6,3,3,6,0,42,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,4,0,11,37,31,3,16,31,7,3,16,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,19,27,0,6,4,0,0,3,0,63,0,0,0,0,0,0,0,0,0,0
Cherbourg (S),32330,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,5,0,3,4,6,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,18,3,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cloncurry (S),32450,0,4,0,0,3,0,0,0,0,8,0,3,0,5,0,0,0,0,0,6,4,63,0,9,17,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,4,5,0,3,3,4,0,3,0,25,7,6,4,6,12,0,3,4,0,38,6,7,5,18,22,4,13,11,0,84,0,0,0,3,5,3,0,3,0,13,0,0,0,3,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,3,3,0,0,3,9,0,0,0,0,16,27,102,20,47,63,17,15,24,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,4,0,3,0,0,0,0,43,0,0,0,0,0,0,0,0,0,3,0,8,0,0,3,0,0,0,0,15,0,3,0,5,0,0,0,0,0,6,28,109,8,15,19,0,4,3,0,180,0,0,0,0,0,0,0,0,0,0
Cook (S),32500,0,13,0,3,0,0,0,0,0,25,0,3,0,0,0,0,0,0,0,8,19,64,3,7,12,3,0,14,0,133,0,0,0,0,0,0,0,0,0,3,4,13,0,8,4,3,0,3,0,43,7,13,3,19,9,3,0,4,0,65,14,16,13,41,31,13,3,14,4,146,4,0,0,9,6,0,0,8,0,21,4,3,0,3,0,0,0,9,0,19,0,0,0,0,0,0,0,0,0,4,3,5,0,5,9,0,0,9,3,40,58,159,24,102,84,32,6,62,13,531,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,6,18,0,4,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,24,0,4,0,0,0,0,0,26,0,3,0,0,3,0,0,0,0,5,42,106,4,19,17,5,3,23,3,210,0,0,0,0,0,0,0,0,0,4
Weipa (T),37300,0,12,0,3,0,0,3,0,0,22,0,10,0,0,0,0,0,0,0,12,11,118,3,9,11,4,3,5,3,170,0,0,0,0,0,0,0,0,0,0,4,7,0,8,0,0,3,7,0,34,6,7,3,14,13,5,3,3,0,59,3,6,26,26,46,11,32,13,3,163,0,3,0,3,3,0,0,0,0,14,0,3,0,3,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,6,0,8,3,4,0,0,9,0,3,24,47,195,39,75,88,22,54,30,3,558,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,9,28,3,5,3,0,0,0,0,51,0,0,0,0,0,0,0,0,0,3,0,21,0,3,0,0,3,0,0,33,0,10,0,0,0,0,0,0,0,12,34,167,13,12,16,4,10,5,3,261,0,0,0,0,0,0,0,0,0,0
Western Downs (R),37310,15,70,0,7,3,0,0,0,0,103,5,15,0,0,0,0,0,0,0,23,145,649,27,76,96,26,4,45,0,1062,0,0,0,4,0,0,0,0,0,5,55,71,9,41,42,7,0,18,0,259,74,53,20,130,140,19,11,24,3,471,95,61,126,265,323,97,34,86,3,1090,15,6,6,37,45,27,5,18,0,158,26,9,11,54,51,13,3,24,0,183,9,5,3,5,4,0,0,3,0,27,33,16,13,29,27,24,4,30,16,200,479,1025,219,646,743,225,64,252,32,3672,0,3,0,0,0,0,0,0,0,3,6,9,0,4,0,0,0,0,0,17,28,92,10,3,10,0,3,4,0,143,3,3,0,0,0,0,0,0,0,9,22,96,0,7,3,0,0,0,0,134,9,22,0,0,5,0,0,0,0,40,308,930,81,100,107,33,20,73,10,1663,0,0,0,4,0,3,0,0,0,10
Whitsunday (R),37340,14,67,0,9,9,3,0,0,0,100,4,13,0,3,3,0,0,0,0,24,131,534,34,132,113,57,5,65,11,1078,0,0,0,10,0,0,0,0,0,12,56,69,13,64,52,25,4,20,7,297,104,63,32,185,135,47,9,44,6,624,98,73,201,340,282,133,35,122,7,1293,19,11,3,35,30,37,8,30,4,179,32,9,10,43,40,29,7,29,0,202,9,5,6,7,10,3,3,17,0,64,26,15,13,30,25,31,4,68,14,230,504,947,306,867,717,376,68,398,51,4226,0,7,0,0,0,0,0,0,0,9,0,19,0,0,3,0,0,0,0,20,37,98,6,13,11,8,3,12,0,196,3,11,0,0,0,0,0,0,0,14,18,99,5,16,11,3,0,3,0,149,3,19,0,6,3,0,0,0,0,32,244,763,89,191,140,67,27,133,15,1669,5,3,0,6,8,0,0,0,0,25
Clare and Gilbert Valleys (DC),41140,6,35,0,11,10,0,0,0,0,63,0,9,0,0,3,0,0,0,0,15,58,214,10,25,32,15,0,14,0,369,0,0,0,0,0,0,0,0,0,0,24,45,0,22,25,0,0,9,0,123,21,11,0,45,30,11,0,3,0,126,35,16,41,108,81,32,5,23,0,337,5,4,3,5,12,5,0,7,0,49,11,8,9,8,11,6,0,11,0,59,0,0,0,3,3,3,0,0,0,14,4,0,0,3,9,5,0,3,6,40,173,379,70,233,218,79,7,76,8,1242,0,3,0,0,0,0,0,0,0,4,7,8,0,0,0,0,0,3,0,18,16,38,0,7,9,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,11,49,3,11,10,3,0,4,0,87,0,12,0,0,0,0,0,0,0,14,125,328,12,26,46,18,6,25,4,596,0,0,0,0,0,0,0,0,0,0
Fraser Coast (R),33220,18,225,0,49,27,3,0,0,0,330,13,75,0,7,6,0,0,0,0,103,147,1839,25,217,210,51,4,40,7,2550,0,6,0,4,7,4,0,0,0,25,63,204,22,179,135,51,4,21,8,688,132,175,46,481,323,92,3,66,6,1318,193,174,365,1212,702,364,25,242,24,3288,22,8,17,84,114,95,3,55,5,405,32,31,24,165,104,73,7,40,3,481,9,17,0,28,23,20,0,4,7,102,24,54,24,105,65,47,11,60,27,417,703,3117,525,2538,1733,803,54,530,100,10104,0,14,0,0,0,0,0,0,0,17,5,93,0,0,0,3,0,0,3,108,93,398,4,18,23,4,0,3,3,554,8,27,0,0,0,0,0,0,3,43,39,314,12,62,31,6,3,0,4,473,26,97,0,7,15,3,0,0,0,149,323,2635,85,307,269,77,17,62,28,3808,3,10,3,5,7,4,0,7,0,39
Gladstone (R),33360,13,134,0,27,9,0,0,0,0,185,6,38,3,3,7,0,0,0,0,58,166,1290,39,150,182,38,16,33,19,1938,3,0,0,3,3,0,0,0,0,12,38,121,12,93,77,20,7,20,3,393,84,132,44,228,186,66,24,24,4,791,148,110,328,611,574,244,72,177,14,2292,30,10,12,43,55,62,10,46,5,276,17,15,15,70,58,35,5,25,5,251,6,22,0,15,11,5,0,0,0,54,23,28,8,39,40,42,5,41,18,241,566,2076,479,1306,1224,523,145,371,67,6747,4,14,0,0,0,0,0,0,0,26,11,52,0,0,4,0,0,0,0,68,96,253,27,19,28,3,6,8,3,443,6,17,0,0,4,0,0,0,0,32,36,212,16,33,19,0,3,3,0,319,15,41,11,3,13,0,3,3,0,95,369,1915,208,216,248,63,72,76,35,3190,5,0,3,8,8,0,0,3,0,27
Gold Coast (C),33430,226,1510,17,342,226,72,4,27,16,2440,84,477,6,27,88,32,3,0,11,721,2613,13541,579,2437,3269,1508,88,624,213,24865,22,24,7,88,39,24,5,12,3,230,890,1578,214,1235,1398,628,44,223,66,6281,1466,1763,588,4022,3067,1479,86,486,144,13100,1496,1167,2335,5347,4798,2597,270,1180,180,19369,135,97,96,378,518,414,26,195,22,1883,308,259,134,891,1108,656,60,240,42,3703,116,230,48,154,313,150,8,75,26,1113,214,369,138,469,498,408,44,276,258,2680,8379,25058,4226,15703,15796,8197,646,3460,1032,82489,30,184,10,11,10,7,0,0,0,259,144,1560,9,20,36,17,7,12,19,1816,1722,5330,233,435,675,423,74,224,96,9212,60,294,14,18,31,12,5,7,13,451,459,2259,77,405,277,102,28,55,33,3698,169,627,23,51,111,44,9,6,11,1056,6104,22190,1862,3582,4375,2683,509,1376,481,43159,35,39,33,104,42,30,10,20,12,329
Diamantina (S),32750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,5,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,8,9,0,0,11,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,8,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
Doomadgee (S),32770,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,3,0,0,0,3,0,0,0,0,5,0,3,0,8,4,0,0,0,0,22,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,7,23,0,20,12,0,0,0,4,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,21,0,3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
Douglas (S),32810,7,29,0,11,7,3,0,0,0,66,0,10,0,0,0,0,0,0,0,11,64,207,23,81,46,35,0,18,3,479,3,0,0,0,0,0,0,0,0,3,24,23,6,34,28,19,0,13,0,153,35,16,6,71,21,20,0,18,0,189,40,19,57,119,87,59,3,53,3,437,8,3,3,10,12,4,0,10,0,49,11,9,3,20,19,13,3,8,0,88,3,0,3,6,3,3,0,4,0,16,17,13,6,19,17,17,0,12,4,94,232,361,109,373,247,184,8,141,14,1670,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,14,35,47,6,18,9,5,0,5,3,124,0,3,0,0,0,0,0,0,0,3,16,42,0,15,10,7,0,0,0,87,3,10,0,0,0,0,0,0,0,17,130,286,46,111,70,47,3,37,3,741,3,0,0,0,0,0,0,0,0,3
Goondiwindi (R),33610,0,31,0,3,0,0,0,3,0,36,0,9,0,0,0,0,0,0,0,8,54,248,11,18,58,12,0,22,9,426,0,0,0,3,0,0,0,0,0,3,22,21,4,26,15,3,0,6,0,96,35,19,7,62,42,6,3,10,0,178,40,21,40,108,85,25,9,34,3,354,5,0,0,6,15,8,0,7,0,43,7,3,3,22,19,8,0,3,0,61,6,0,0,0,3,0,0,3,0,7,9,3,0,13,3,9,0,13,0,53,182,373,59,265,238,73,13,92,10,1305,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,18,31,0,0,0,3,0,0,0,56,0,0,0,0,0,0,0,0,0,0,8,30,0,3,0,0,0,3,0,47,0,12,0,0,0,0,0,0,0,11,129,314,17,32,60,14,8,37,4,622,3,0,0,3,0,0,0,0,0,3
Gympie (R),33620,15,92,3,19,14,3,0,0,0,149,7,30,0,0,0,0,0,0,0,45,117,748,22,79,119,20,3,37,5,1146,0,0,0,4,0,0,0,0,0,13,60,107,25,73,75,23,0,14,7,385,79,84,27,260,169,45,12,30,9,710,111,93,204,524,353,212,22,141,17,1673,14,3,5,31,61,44,3,28,0,197,16,10,13,81,53,31,4,25,4,229,0,12,3,9,11,3,0,4,3,50,32,27,10,35,26,31,4,22,22,203,473,1305,304,1127,898,431,48,306,68,4965,3,5,0,0,0,0,0,0,0,11,9,40,0,0,0,0,0,0,0,47,33,141,10,9,14,5,0,3,3,226,0,11,0,0,0,0,0,0,0,14,23,136,3,32,13,6,0,0,3,220,5,35,0,3,0,0,0,3,0,54,228,1055,54,121,146,37,21,56,11,1720,0,0,0,4,0,6,0,0,0,21
Hinchinbrook (S),33800,0,12,0,3,3,0,0,0,0,26,0,3,0,0,0,0,0,0,0,6,28,201,3,15,18,3,0,3,0,281,0,0,0,0,0,0,0,0,0,0,8,21,3,18,20,9,0,0,0,72,16,23,0,40,24,11,4,4,5,125,30,27,52,134,85,34,12,19,0,392,0,5,8,14,10,3,0,3,0,37,0,3,7,17,9,7,0,4,0,49,0,0,0,0,0,0,0,0,0,6,3,8,3,18,9,5,0,6,3,58,90,328,76,264,180,67,18,48,10,1081,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,9,30,3,0,4,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,3,23,0,6,3,0,0,0,0,35,0,4,0,0,0,0,0,0,0,10,60,307,5,20,25,8,6,4,0,440,3,0,0,0,0,0,0,0,0,3
