LGA_MAIN11,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size,LGA_NAME11
42110,46,758,413,120,940,1.1,755,2.3,Goyder (DC)
42250,41,1300,577,135,1372,1.1,1184,2.7,Grant (DC)
51960,31,1300,846,180,2177,1.1,1818,2.6,Coolgardie (S)
52030,46,1400,493,115,1125,1.1,917,2.2,Coorow (S)
42600,45,1850,646,270,1727,1.1,1159,2.1,Holdfast Bay (C)
42750,46,1083,489,159,1053,1.1,834,2.2,Kangaroo Island (DC)
43080,46,802,389,88,887,1.1,761,2.4,Karoonda East Murray (DC)
43220,45,575,577,85,1365,1.1,1017,2.4,Kimba (DC)
43360,46,1083,480,130,988,1.0,819,2.2,Kingston (DC)
43650,38,1430,570,200,1457,1.1,1274,2.8,Light (RegC)
43710,40,1200,526,140,1238,1.1,1039,2.6,Lower Eyre Peninsula (DC)
43790,43,1062,458,135,1070,1.1,830,2.3,Loxton Waikerie (DC)
43920,40,1354,526,190,1317,1.1,1167,2.7,Mallala (DC)
44000,38,0,258,0,724,1.2,500,1.9,Maralinga Tjarutja (AC)
44060,39,1600,552,240,1422,1.1,1064,2.3,Marion (C)
44210,48,1083,403,140,931,1.1,757,2.2,Mid Murray (DC)
44340,41,1733,637,265,1815,1.1,1387,2.5,Mitcham (C)
44550,38,1612,598,266,1502,1.1,1254,2.6,Mount Barker (DC)
44620,37,1257,504,160,1174,1.1,899,2.3,Mount Gambier (C)
44830,49,910,423,100,994,1.1,795,2.3,Mount Remarkable (DC)
45040,40,1200,454,180,1026,1.1,836,2.4,Murray Bridge (RC)
45400,49,867,433,71,1090,1.1,932,2.3,Orroroo/Carrieton (DC)
45540,50,563,355,125,727,1.1,564,2.0,Peterborough (DC)
45680,32,1300,455,200,1063,1.1,896,2.6,Playford (C)
45890,37,1600,484,220,1221,1.1,952,2.4,Port Adelaide Enfield (C)
46090,38,1200,541,150,1245,1.1,986,2.4,Port Augusta (C)
46300,38,1300,523,180,1203,1.1,924,2.4,Port Lincoln (C)
46450,41,1000,404,150,1006,1.1,771,2.3,Port Pirie City and Dists (M)
46510,36,1777,660,260,1821,1.1,1336,2.4,Prospect (C)
46670,40,1083,462,150,1052,1.1,842,2.4,Renmark Paringa (DC)
46860,45,1389,555,160,1206,1.0,846,2.3,Robe (DC)
46970,29,2323,1464,196,2840,1.1,2756,2.9,Roxby Downs (M)
47140,35,1410,502,240,1193,1.1,1021,2.6,Salisbury (C)
47290,43,780,480,95,1060,1.1,866,2.3,Southern Mallee (DC)
47490,43,1116,463,140,1044,1.1,812,2.4,Streaky Bay (DC)
47630,40,1000,528,132,1152,1.1,946,2.5,Tatiara (DC)
47700,40,1517,591,260,1493,1.0,1246,2.6,Tea Tree Gully (C)
47800,44,877,427,110,964,1.1,785,2.4,The Coorong (DC)
47980,39,1950,723,280,2065,1.1,1428,2.3,Unley (C)
48050,56,1213,408,210,905,1.0,751,2.1,Victor Harbor (C)
48130,42,997,460,150,1041,1.1,842,2.4,Wakefield (DC)
48640,38,758,544,84,1262,1.1,973,2.4,Wudinna (DC)
48750,51,1120,437,190,946,1.1,778,2.2,Yankalilla (DC)
53150,42,2200,858,360,2530,1.1,1834,2.5,East Fremantle (T)
53220,32,358,1812,75,2756,1.2,2695,3.1,East Pilbara (S)
48260,44,1950,699,261,2118,1.1,1451,2.3,Walkerville (M)
48340,42,975,470,130,1131,1.1,884,2.4,Wattle Range (DC)
48410,38,1690,546,250,1359,1.1,1014,2.3,West Torrens (C)
48540,38,1300,472,150,1276,1.1,934,2.3,Whyalla (C)
48830,52,975,394,138,889,1.1,717,2.2,Yorke Peninsula (DC)
49399,39,867,746,45,1340,1.2,1087,2.3,Unincorporated SA
49499,39,0,368,0,0,0.0,0,0.0,
50080,41,1560,522,230,1269,1.1,1003,2.4,Albany (C)
53290,38,1517,578,180,1401,1.1,1138,2.5,Esperance (S)
53360,38,2167,737,257,1719,1.1,1373,2.4,Exmouth (S)
53430,41,2167,680,300,1863,1.1,1299,2.2,Fremantle (C)
53520,36,1647,603,230,1492,1.1,1225,2.6,Geraldton-Greenough (C)
53570,44,1603,472,200,1123,1.1,937,2.5,Gingin (S)
50210,34,1850,621,290,1534,1.1,1309,2.7,Armadale (C)
50250,33,954,1873,30,2831,1.1,2705,2.8,Ashburton (S)
51680,42,2000,565,220,1577,1.1,1368,2.7,Chittering (S)
53640,36,650,612,100,1307,1.1,1003,2.5,Gnowangerup (S)
51750,41,2700,826,398,2612,1.1,1789,2.3,Claremont (T)
51820,34,2015,691,330,1820,1.0,1554,2.7,Cockburn (C)
51890,39,1586,558,195,1695,1.1,1339,2.5,Collie (S)
52100,47,693,539,100,1113,1.1,915,2.2,Corrigin (S)
52170,40,3000,1024,450,2799,1.1,2409,2.5,Cottesloe (T)
52240,41,860,485,80,1031,1.1,842,2.4,Cranbrook (S)
52310,44,1000,469,100,991,1.1,895,2.4,Cuballing (S)
52380,49,217,380,100,840,1.2,671,2.0,Cue (S)
52450,38,997,510,114,1239,1.1,947,2.4,Cunderdin (S)
52520,40,953,681,110,1488,1.1,1171,2.5,Dalwallinu (S)
52590,43,1500,573,200,1283,1.1,994,2.3,Dandaragan (S)
52660,35,1900,636,290,1697,1.0,1502,2.7,Dardanup (S)
52730,47,1359,470,210,1042,1.1,848,2.3,Denmark (S)
52800,29,1733,409,65,1048,1.3,1208,3.2,Derby-West Kimberley (S)
52870,44,1404,496,195,1278,1.1,990,2.5,Donnybrook-Balingup (S)
52940,43,650,518,90,1023,1.1,827,2.3,Dowerin (S)
53010,40,813,497,80,958,1.1,810,2.3,Dumbleyung (S)
53080,37,655,796,100,1555,1.1,1130,2.3,Dundas (S)
54280,31,1950,897,260,2280,1.1,1969,2.7,Kalgoorlie/Boulder (C)
55040,32,800,1562,0,2200,1.1,1874,2.7,Leonora (S)
53710,42,1000,475,100,1042,1.1,852,2.5,Goomalling (S)
56620,28,0,272,21,595,1.4,939,3.4,Ngaanyatjarraku (S)
53780,33,1800,623,310,1561,1.1,1372,2.8,Gosnells (C)
53920,26,175,312,50,755,1.6,968,3.7,Halls Creek (S)
53990,37,1842,603,260,1683,1.1,1464,2.7,Harvey (S)
54060,44,1700,517,195,1283,1.1,995,2.4,Irwin (S)
54130,40,1000,597,105,1191,1.1,958,2.4,Jerramungup (S)
54170,38,2000,718,370,2036,1.0,1780,2.8,Joondalup (C)
54200,38,1989,681,320,1779,1.0,1521,2.7,Kalamunda (S)
54340,36,1213,526,140,1149,1.1,950,2.6,Katanning (S)
54410,43,737,391,100,1027,1.1,824,2.5,Kellerberrin (S)
54480,37,758,611,80,1083,1.0,990,2.6,Kent (S)
54550,41,932,528,103,1158,1.1,954,2.4,Kojonup (S)
54620,39,823,610,110,992,1.1,920,2.4,Kondinin (S)
54690,42,379,502,86,859,1.0,865,2.5,Koorda (S)
54760,41,520,540,89,1130,1.1,918,2.4,Kulin (S)
54830,32,1800,606,260,1451,1.1,1253,2.7,Kwinana (T)
54900,40,950,616,100,1302,1.0,993,2.3,Lake Grace (S)
54970,37,953,1460,70,793,1.3,900,2.5,Laverton (S)
56520,37,1300,506,160,1181,1.1,955,2.4,Narrogin (T)
56580,41,3000,818,430,2779,1.1,2490,2.8,Nedlands (C)
55390,37,2813,292,86,700,1.5,900,3.1,Menzies (S)
55530,39,309,700,100,1399,1.1,981,2.4,Mingenew (S)
57280,31,2600,1421,120,2944,1.2,2809,2.8,Port Hedland (T)
55600,37,919,590,125,1361,1.1,1180,2.5,Moora (S)
64610,43,1246,472,150,1137,1.1,909,2.4,Northern Midlands (M)
55670,37,850,550,100,1256,1.1,1086,2.6,Morawa (S)
56930,40,2167,1028,370,2912,1.0,2685,2.8,Peppermint Grove (S)
61810,44,997,393,135,922,1.1,734,2.3,Dorset (M)
55740,38,2582,747,285,2555,1.1,1497,2.3,Mosman Park (T)
55810,37,650,582,130,885,1.3,1045,2.5,Mount Magnet (S)
55880,39,860,613,60,1275,1.0,970,2.5,Mount Marshall (S)
57140,44,1083,411,124,910,1.1,759,2.4,Pingelly (S)
57210,43,1300,470,164,1093,1.1,888,2.4,Plantagenet (S)
55950,45,530,550,65,1312,1.1,1055,2.3,Mukinbudin (S)
56160,38,6100,553,45,1187,1.2,1018,2.6,Murchison (S)
56230,43,1950,488,245,1325,1.1,1069,2.5,Murray (S)
56300,49,1620,459,116,984,1.1,821,2.3,Nannup (S)
62010,52,1000,454,80,963,1.0,830,1.9,Flinders (M)
62210,42,1200,394,170,972,1.1,788,2.4,George Town (M)
62410,53,1096,422,160,908,1.1,753,2.1,Glamorgan/Spring Bay (M)
62610,39,1322,487,215,1126,1.1,869,2.3,Glenorchy (C)
62810,38,1700,641,260,1782,1.1,1260,2.3,Hobart (C)
63010,42,1192,441,200,1058,1.1,868,2.5,Huon Valley (M)
63210,43,1116,395,160,962,1.1,820,2.5,Kentish (M)
63410,46,867,625,115,1357,1.1,953,2.1,King Island (M)
63610,40,1517,594,275,1473,1.1,1208,2.5,Kingborough (M)
63810,44,1300,480,195,1136,1.1,923,2.4,Latrobe (M)
64010,38,1300,484,200,1175,1.1,907,2.3,Launceston (C)
64210,42,1300,477,200,1175,1.1,922,2.4,Meander Valley (M)
56370,44,650,538,100,1181,1.1,961,2.3,Narembeen (S)
65610,39,769,465,125,1284,1.1,966,2.2,West Coast (M)
65810,42,1311,517,220,1286,1.1,1028,2.5,West Tamar (M)
69399,43,0,1180,0,0,0.0,0,0.0,
69499,37,0,338,0,0,0.0,0,0.0,
56730,39,1300,517,180,1242,1.1,1005,2.5,Northam (S)
57000,38,867,1297,100,1471,1.1,1105,2.5,Perenjori (S)
57080,32,2496,1018,440,2448,1.2,1858,1.8,Perth (C)
57630,48,2000,485,0,2449,1.1,1042,2.0,Sandstone (S)
70200,33,1950,866,300,1974,1.2,1692,2.6,Alice Springs (T)
58330,46,1517,497,230,1275,1.1,1012,2.4,Toodyay (S)
72800,28,2167,911,365,2009,1.1,1814,2.9,Palmerston (C)
74050,26,542,250,40,589,1.6,774,4.0,Tiwi Islands (S)
74500,23,867,275,40,650,1.8,1021,4.1,Victoria-Daly (S)
58400,44,498,511,75,1166,1.1,807,2.3,Trayning (S)
58470,27,0,311,50,650,1.4,862,3.2,Upper Gascoyne (S)
58540,41,477,537,70,1238,1.1,902,2.4,Victoria Plains (S)
74560,47,2100,880,175,1922,1.3,1302,2.0,Wagait (S)
74660,26,108,325,50,997,1.8,1717,4.2,West Arnhem (S)
58570,34,2300,867,360,2309,1.1,1689,2.2,Vincent (T)
89399,34,2167,918,380,2277,1.1,1920,2.6,Unincorporated ACT
99399,32,867,817,89,1753,1.2,1670,2.9,Unincorp. Other Territories
99499,29,0,1545,0,0,0.0,0,0.0,
59030,43,1439,774,46,1292,1.1,1458,2.3,Westonia (S)
59100,42,606,496,110,911,1.1,777,2.4,Wickepin (S)
59170,43,1083,611,115,1289,1.1,1107,2.3,Williams (S)
59310,38,975,645,114,1423,1.1,1172,2.4,Wongan-Ballidu (S)
59360,38,867,945,100,1434,1.1,1118,2.4,Yilgarn (S)
59370,47,1404,477,200,1156,1.1,908,2.4,York (S)
59399,36,0,2000,0,0,0.0,0,0.0,
59499,40,0,491,0,0,0.0,0,0.0,
60210,50,953,366,167,831,1.1,654,2.1,Break O'Day (M)
60410,33,1300,485,185,1083,1.1,957,2.7,Brighton (M)
60610,38,1148,455,175,1080,1.1,854,2.4,Burnie (C)
60810,43,1235,450,180,1108,1.1,869,2.4,Central Coast (M)
61010,45,832,376,79,866,1.1,710,2.3,Central Highlands (M)
61210,38,1092,509,130,1156,1.1,936,2.5,Circular Head (M)
61410,41,1500,577,235,1400,1.1,1124,2.4,Clarence (C)
61510,41,1200,432,185,1080,1.1,869,2.5,Derwent Valley (M)
61610,40,1257,457,190,1048,1.1,835,2.4,Devonport (C)
70420,27,967,312,50,763,1.6,1158,3.5,Barkly (S)
70620,27,0,272,20,625,1.7,1063,4.3,Central Desert (S)
70700,43,1333,528,92,1066,1.2,806,2.2,Coomalie (S)
71000,34,2167,899,360,2063,1.2,1809,2.6,Darwin (C)
71300,25,108,263,40,728,2.0,1410,5.3,East Arnhem (S)
72200,31,1733,759,200,1759,1.2,1534,2.8,Katherine (T)
72300,36,2167,864,300,2010,1.2,1767,2.8,Litchfield (M)
72330,27,1625,257,25,571,1.7,954,4.0,MacDonnell (S)
