lga_name_2016,lga_code_2016,negnil_inc_be_wft,negnil_inc_be_wpt,negnil_inc_be_baw,negnil_inc_1eft_othpt,negnil_inc_1eft_othaw,negnil_inc_1eft_othnw,negnil_inc_1ept_othaw,negnil_inc_1ept_othnw,negnil_inc_1aw_othnw,negnil_inc_bnw,negnil_inc_lfsta_ns,negnil_inc_tot,i_1_149_be_wft,i_1_149_be_wpt,i_1_149_be_baw,i_1_149_1eft_othpt,i_1_149_1eft_othaw,i_1_149_1eft_othnw,i_1_149_1ept_othaw,i_1_149_1ept_othnw,i_1_149_1aw_othnw,i_1_149_bnw,i_1_149_lfsta_ns,i_1_149_tot,i_150_299_be_wft,i_150_299_be_wpt,i_150_299_be_baw,i_150_299_1eft_othpt,i_150_299_1eft_othaw,i_150_299_1eft_othnw,i_150_299_1ept_othaw,i_150_299_1ept_othnw,i_150_299_1aw_othnw,i_150_299_bnw,i_150_299_lfsta_ns,i_150_299_tot,i_300_399_be_wft,i_300_399_be_wpt,i_300_399_be_baw,i_300_399_1eft_othpt,i_300_399_1eft_othaw,i_300_399_1eft_othnw,i_300_399_1ept_othaw,i_300_399_1ept_othnw,i_300_399_1aw_othnw,i_300_399_bnw,i_300_399_lfsta_ns,i_300_399_tot,i_400_499_be_wft,i_400_499_be_wpt,i_400_499_be_baw,i_400_499_1eft_othpt,i_400_499_1eft_othaw,i_400_499_1eft_othnw,i_400_499_1ept_othaw,i_400_499_1ept_othnw,i_400_499_1aw_othnw,i_400_499_bnw,i_400_499_lfsta_ns,i_400_499_tot,i_500_649_be_wft,i_500_649_be_wpt,i_500_649_be_baw,i_500_649_1eft_othpt,i_500_649_1eft_othaw,i_500_649_1eft_othnw,i_500_649_1ept_othaw,i_500_649_1ept_othnw,i_500_649_1aw_othnw,i_500_649_bnw,i_500_649_lfsta_ns,i_500_649_tot,i_650_799_be_wft,i_650_799_be_wpt,i_650_799_be_baw,i_650_799_1eft_othpt,i_650_799_1eft_othaw,i_650_799_1eft_othnw,i_650_799_1ept_othaw,i_650_799_1ept_othnw,i_650_799_1aw_othnw,i_650_799_bnw,i_650_799_lfsta_ns,i_650_799_tot,i_800_999_be_wft,i_800_999_be_wpt,i_800_999_be_baw,i_800_999_1eft_othpt,i_800_999_1eft_othaw,i_800_999_1eft_othnw,i_800_999_1ept_othaw,i_800_999_1ept_othnw,i_800_999_1aw_othnw,i_800_999_bnw,i_800_999_lfsta_ns,i_800_999_tot,i_1000_1249_be_wft,i_1000_1249_be_wpt,i_1000_1249_be_baw,i_1000_1249_1eft_othpt,i_1000_1249_1eft_othaw,i_1000_1249_1eft_othnw,i_1000_1249_1ept_othaw,i_1000_1249_1ept_othnw,i_1000_1249_1aw_othnw,i_1000_1249_bnw,i_1000_1249_lfsta_ns,i_1000_1249_tot,i_1250_1499_be_wft,i_1250_1499_be_wpt,i_1250_1499_be_baw,i_1250_1499_1eft_othpt,i_1250_1499_1eft_othaw,i_1250_1499_1eft_othnw,i_1250_1499_1ept_othaw,i_1250_1499_1ept_othnw,i_1250_1499_1aw_othnw,i_1250_1499_bnw,i_1250_1499_lfsta_ns,i_1250_1499_tot,i_1500_1749_be_wft,i_1500_1749_be_wpt,i_1500_1749_be_baw,i_1500_1749_1eft_othpt,i_1500_1749_1eft_othaw,i_1500_1749_1eft_othnw,i_1500_1749_1ept_othaw,i_1500_1749_1ept_othnw,i_1500_1749_1aw_othnw,i_1500_1749_bnw,i_1500_1749_lfsta_ns,i_1500_1749_tot,i_1750_1999_be_wft,i_1750_1999_be_wpt,i_1750_1999_be_baw,i_1750_1999_1eft_othpt,i_1750_1999_1eft_othaw,i_1750_1999_1eft_othnw,i_1750_1999_1ept_othaw,i_1750_1999_1ept_othnw,i_1750_1999_1aw_othnw,i_1750_1999_bnw,i_1750_1999_lfsta_ns,i_1750_1999_tot,i_2000_2499_be_wft,i_2000_2499_be_wpt,i_2000_2499_be_baw,i_2000_2499_1eft_othpt,i_2000_2499_1eft_othaw,i_2000_2499_1eft_othnw,i_2000_2499_1ept_othaw,i_2000_2499_1ept_othnw,i_2000_2499_1aw_othnw,i_2000_2499_bnw,i_2000_2499_lfsta_ns,i_2000_2499_tot,i_2500_2999_be_wft,i_2500_2999_be_wpt,i_2500_2999_be_baw,i_2500_2999_1eft_othpt,i_2500_2999_1eft_othaw,i_2500_2999_1eft_othnw,i_2500_2999_1ept_othaw,i_2500_2999_1ept_othnw,i_2500_2999_1aw_othnw,i_2500_2999_bnw,i_2500_2999_lfsta_ns,i_2500_2999_tot,i_3000_3499_be_wft,i_3000_3499_be_wpt,i_3000_3499_be_baw,i_3000_3499_1eft_othpt,i_3000_3499_1eft_othaw,i_3000_3499_1eft_othnw,i_3000_3499_1ept_othaw,i_3000_3499_1ept_othnw,i_3000_3499_1aw_othnw,i_3000_3499_bnw,i_3000_3499_lfsta_ns,i_3000_3499_tot,i_3500_3999_be_wft,i_3500_3999_be_wpt,i_3500_3999_be_baw,i_3500_3999_1eft_othpt,i_3500_3999_1eft_othaw,i_3500_3999_1eft_othnw,i_3500_3999_1ept_othaw,i_3500_3999_1ept_othnw,i_3500_3999_1aw_othnw,i_3500_3999_bnw,i_3500_3999_lfsta_ns,i_3500_3999_tot,i_4000more_be_wft,i_4000more_be_wpt,i_4000more_be_baw,i_4000more_1eft_othpt,i_4000more_1eft_othaw,i_4000more_1eft_othnw,i_4000more_1ept_othaw,i_4000more_1ept_othnw
Gunnedah (A),13550,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,12,0,0,0,6,0,0,0,4,0,3,0,11,0,0,0,0,0,10,0,8,3,13,0,34,3,3,0,7,0,11,0,6,0,18,0,55,3,4,0,18,0,26,0,8,0,14,3,79,14,3,0,28,6,34,0,8,3,7,0,107,16,0,0,35,9,24,0,4,3,4,0,92,19,7,3,45,7,24,3,0,3,5,0,112,51,8,0,82,6,36,0,4,4,0,3,202,49,3,3,63,7,11,0,3,4,7,0,151,31,0,3,43,3,8,0,0,0,0,0,87,26,0,0,11,0,22,0,0,0,0,0,68,47,5,0,39,3,3,4,0
Gwydir (A),13660,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,12,0,0,0,0,0,4,0,0,0,4,0,16,3,0,0,0,0,4,0,0,0,5,0,10,3,0,0,6,0,5,0,0,0,3,0,23,3,3,0,11,0,14,0,3,0,13,0,47,11,0,0,21,5,24,0,3,0,3,0,62,4,0,0,17,0,12,3,0,0,3,0,46,11,0,0,10,0,3,0,0,0,4,0,24,17,3,0,31,6,10,0,0,0,0,0,62,10,0,0,12,0,4,0,0,0,0,0,23,9,0,0,9,0,0,3,0,0,0,0,24,3,0,0,4,0,0,0,0,0,0,0,9,3,0,0,8,0,0,0,0
Hawkesbury (C),13800,3,0,0,9,0,0,0,0,0,11,0,23,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,3,0,3,0,8,0,0,0,0,0,3,0,4,0,20,3,33,3,3,0,3,0,4,0,20,0,14,0,55,3,6,0,11,0,18,0,20,0,28,0,89,7,13,0,38,3,65,0,27,3,37,0,201,15,23,0,99,3,122,4,37,14,61,0,378,43,40,0,172,16,164,3,26,15,51,0,523,62,24,5,240,17,202,6,33,16,43,3,650,95,23,5,268,20,167,8,25,3,31,0,651,318,48,13,518,64,268,5,26,9,42,0,1317,366,36,11,478,40,116,12,12,11,28,4,1113,295,15,4,290,44,68,6,9,3,17,3,739,263,14,6,136,18,71,3,7,6,10,4,526,477,15,10,314,17,108,12,14
Hay (A),13850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,8,0,5,0,0,0,4,0,21,0,0,0,9,0,8,0,0,0,0,0,29,3,3,0,5,0,7,3,0,3,0,0,21,4,3,0,3,0,4,0,0,0,0,0,18,18,5,0,10,3,10,0,0,0,0,0,37,6,0,0,10,0,0,0,0,0,0,0,20,5,0,0,3,0,0,0,0,0,0,0,14,3,0,0,4,0,0,0,0,0,0,0,4,4,0,0,3,0,3,0,0
Penrith (C),16350,8,0,0,3,0,8,0,3,0,49,3,76,0,0,0,4,0,4,0,4,4,16,0,32,3,0,0,7,0,0,0,5,0,25,0,47,0,0,0,3,0,6,0,17,0,23,0,42,0,4,0,3,0,5,0,24,3,66,0,119,0,3,0,14,0,48,0,52,8,67,0,187,11,25,0,25,0,126,3,67,24,135,7,412,20,34,0,69,3,317,3,120,19,151,3,741,53,67,3,228,28,564,8,145,35,201,8,1337,155,69,16,485,44,660,7,126,30,177,0,1780,171,68,15,594,58,642,15,81,21,153,6,1830,334,70,13,729,94,569,19,70,28,140,6,2062,1258,97,41,1426,217,909,46,110,39,183,10,4337,1186,80,37,1236,188,417,38,67,24,105,11,3386,1004,36,21,740,128,202,13,34,14,49,4,2247,740,17,16,331,79,212,8,14,10,21,3,1444,1350,35,13,697,98,295,20,24
Port Macquarie-Hastings (A),16380,3,3,0,0,0,0,0,0,0,14,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,5,0,4,3,3,0,0,0,3,0,5,0,20,0,37,4,0,0,3,0,14,0,16,3,32,0,71,6,9,0,18,0,29,0,33,5,65,0,159,15,27,0,48,3,78,4,57,11,85,0,333,29,50,9,135,8,147,7,74,17,126,3,598,57,58,11,245,21,158,11,52,8,93,0,719,82,53,4,219,21,126,7,45,13,53,3,631,107,31,0,213,15,112,5,22,9,24,0,545,306,51,5,487,24,165,19,33,8,47,3,1156,288,31,17,318,20,62,14,14,4,16,0,783,214,11,3,166,15,33,6,7,0,10,0,467,130,3,4,51,15,44,3,3,0,3,0,250,206,19,0,165,11,41,5,6
Port Stephens (A),16400,7,0,0,0,0,0,0,3,0,11,0,22,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,5,0,7,0,16,0,0,0,0,0,0,0,3,0,4,0,14,0,0,0,0,0,4,0,8,0,24,0,35,0,8,0,7,0,4,0,11,3,22,0,60,3,8,0,12,0,22,0,28,5,67,0,152,7,16,0,27,4,67,3,46,12,81,3,266,17,41,4,87,9,132,3,54,7,116,0,468,38,38,9,161,19,168,5,42,6,66,3,570,45,24,3,245,15,159,8,40,4,39,0,586,73,28,5,230,21,151,6,28,8,32,0,586,266,33,8,480,47,206,19,34,9,49,11,1160,273,29,11,361,48,87,10,14,3,33,0,862,206,15,11,183,25,34,6,5,0,14,0,508,119,4,3,68,6,45,3,4,9,5,3,276,226,12,11,199,22,66,4,9
Queanbeyan-Palerang Regional (A),16490,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,3,0,0,0,0,0,3,0,9,0,3,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0,3,0,0,0,3,0,5,0,3,0,0,0,3,0,7,0,14,0,29,3,3,0,0,0,9,0,5,0,14,0,40,7,0,0,5,0,14,0,13,0,24,0,59,4,13,3,9,0,54,0,24,3,18,0,136,9,23,3,42,3,78,0,25,11,37,0,229,27,14,0,89,8,80,11,17,5,18,0,277,30,8,0,104,3,95,4,14,12,23,0,295,88,8,3,134,20,85,5,17,5,22,3,385,257,22,17,288,47,180,5,22,8,32,3,870,303,30,12,333,84,72,19,25,4,22,0,902,311,19,8,288,68,60,4,13,0,15,0,794,333,14,9,145,28,75,8,4,5,3,0,626,835,23,18,382,67,136,11,14
Randwick (C),16550,3,0,0,3,0,8,0,3,0,54,0,72,0,0,0,4,0,0,0,3,0,5,0,13,0,0,0,3,0,0,0,10,0,16,0,24,0,0,0,0,0,0,0,3,0,3,0,16,0,3,0,0,0,8,0,11,0,21,0,48,0,4,0,4,0,30,0,25,3,32,0,103,4,14,0,14,0,30,0,31,0,42,0,136,16,23,0,31,3,74,4,53,3,47,5,252,21,29,0,76,3,136,0,57,6,83,0,415,44,50,5,123,6,143,3,41,13,75,0,502,47,28,4,151,12,170,3,41,3,90,3,557,71,36,5,202,18,176,13,38,5,68,4,635,291,81,11,520,65,372,10,53,20,113,3,1545,371,64,12,600,74,157,13,36,4,72,3,1394,420,39,21,478,91,89,16,41,3,51,0,1243,368,32,13,268,79,434,9,32,10,33,7,1282,1824,100,40,1566,212,568,22,70
Richmond Valley (A),16610,3,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,14,0,0,0,3,0,10,0,11,0,16,0,43,7,8,0,3,0,17,0,16,0,31,0,79,7,6,3,12,0,33,4,21,3,35,0,123,11,18,3,43,3,60,4,42,3,50,4,242,23,15,3,76,11,72,8,16,3,32,0,257,26,19,3,60,3,40,5,15,3,19,0,198,42,17,3,71,12,38,0,14,3,14,0,207,81,16,4,114,12,42,7,5,4,12,0,297,83,7,0,67,10,16,0,3,0,3,0,194,46,3,0,32,3,6,3,0,0,0,0,95,30,3,0,17,3,3,0,0,0,0,0,56,22,0,0,9,3,3,0,0
Rockdale (C),16650,0,0,0,3,0,0,0,3,0,48,0,62,0,0,0,0,0,3,0,5,0,24,0,34,0,0,0,3,0,7,0,24,3,25,0,61,0,0,0,0,0,3,0,27,5,27,0,64,3,4,0,4,0,10,0,36,0,44,0,112,0,14,3,11,0,39,5,88,6,70,0,242,3,30,0,9,0,81,0,96,4,97,3,337,14,42,0,44,4,228,3,111,20,117,3,582,25,49,11,115,10,330,18,110,19,145,3,831,72,66,9,229,17,273,13,82,16,122,0,898,105,45,3,235,16,274,11,59,23,134,3,913,151,40,13,228,27,232,10,57,11,97,0,868,457,66,13,569,73,449,15,83,18,147,5,1898,454,45,12,460,73,167,18,35,5,72,3,1336,369,26,9,308,59,96,12,23,7,49,0,962,292,11,10,144,46,170,0,11,5,21,0,718,671,37,12,441,65,157,6,37
Ryde (C),16700,0,0,0,0,0,3,0,6,0,91,4,105,4,0,0,4,0,0,0,4,0,15,0,30,0,0,0,0,0,6,0,12,0,23,0,36,0,0,0,0,0,6,0,16,0,22,0,43,3,3,0,0,0,12,0,19,0,47,0,83,0,10,0,9,0,45,0,40,0,57,0,157,7,20,0,19,0,80,0,66,6,62,0,268,10,30,3,40,5,143,0,68,10,70,0,383,29,57,3,88,13,268,9,85,14,110,0,661,72,52,4,158,14,266,12,71,11,85,0,753,92,51,8,200,24,307,8,51,9,83,5,825,141,30,6,235,19,276,7,49,13,70,0,849,380,67,14,581,71,622,17,83,21,130,0,1995,455,49,15,575,73,199,17,39,7,80,0,1505,474,31,6,481,79,135,17,31,8,53,0,1315,418,20,8,229,60,309,6,25,11,37,3,1124,1360,70,32,1069,122,375,19,63
Shellharbour (C),16900,3,0,0,4,0,3,0,0,3,11,0,25,0,0,0,3,0,0,0,0,0,8,0,9,3,0,0,0,0,3,0,0,0,13,0,18,0,0,0,0,0,0,0,4,0,4,0,16,0,0,0,3,0,3,0,13,0,20,0,38,0,3,0,3,0,11,0,10,0,21,0,60,3,12,0,9,0,25,3,37,4,66,0,161,0,11,0,20,3,64,0,56,11,81,0,249,14,32,4,100,11,167,0,67,6,117,3,523,38,40,5,205,15,191,9,54,8,81,0,648,62,33,3,257,27,205,3,32,12,75,3,713,83,28,8,297,26,181,10,34,6,46,0,716,286,39,3,613,52,296,22,38,18,74,5,1441,286,35,7,539,60,108,18,17,7,27,0,1099,224,13,5,274,37,55,7,12,3,18,0,646,198,3,5,106,21,75,0,7,7,7,0,437,285,17,9,236,29,79,6,14
Shoalhaven (C),16950,0,0,0,0,0,0,0,0,0,13,0,18,0,3,0,0,0,0,0,7,0,8,0,14,0,0,0,4,0,3,0,6,0,16,0,29,0,0,0,0,0,0,0,6,4,9,0,15,5,4,0,4,0,0,0,14,0,54,0,83,4,12,0,12,0,17,0,31,3,39,3,115,10,22,3,17,0,33,0,62,10,118,3,290,13,44,4,71,3,112,8,86,9,109,0,461,35,79,5,171,17,197,4,79,13,174,8,785,66,61,6,291,31,229,16,81,13,116,6,915,95,63,7,282,14,215,8,46,11,66,0,807,115,30,8,283,31,149,14,33,7,61,3,736,283,53,8,529,49,204,14,52,17,49,3,1273,253,25,11,385,46,83,5,18,3,25,3,858,205,11,6,181,30,31,7,9,0,16,0,496,140,6,4,65,5,35,0,3,7,6,0,273,189,12,0,168,20,29,10,12
Singleton (A),17000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,4,0,3,0,3,3,11,0,23,4,3,0,0,0,10,0,5,0,15,0,44,0,3,0,10,0,16,0,14,3,20,0,63,14,0,0,18,3,46,0,14,0,27,0,132,14,4,0,54,0,50,0,7,3,23,0,161,11,0,0,62,4,64,3,8,7,13,0,178,13,6,0,62,8,63,4,10,0,5,0,184,67,18,0,167,10,165,0,14,8,10,0,466,64,14,0,214,22,47,6,3,3,11,0,385,72,8,0,97,12,21,3,0,0,3,0,223,65,0,0,42,8,55,0,3,3,0,0,181,141,8,3,167,20,54,9,5
Snowy Monaro Regional (A),17040,0,3,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,3,0,4,0,3,0,15,0,6,0,3,0,8,0,14,3,15,0,39,4,8,0,10,0,13,3,5,3,19,0,70,19,12,0,25,6,33,5,10,3,12,0,119,28,13,0,59,0,27,6,5,0,15,0,156,38,8,0,84,4,24,0,13,0,4,0,169,36,6,0,70,5,30,0,3,0,6,3,157,131,14,0,111,12,30,4,3,3,8,0,326,78,8,3,72,12,12,0,0,4,7,0,203,64,4,3,60,10,11,3,0,0,4,0,152,50,0,0,20,6,8,0,0,0,0,0,83,71,3,3,37,11,4,0,3
Snowy Valleys (A),17080,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,4,0,3,0,11,3,3,0,3,0,10,0,10,0,14,0,36,0,9,0,8,0,14,0,11,0,10,0,55,3,6,3,21,0,27,0,3,5,19,0,96,10,7,0,50,0,32,3,6,0,11,0,121,16,3,0,50,4,23,3,0,0,4,0,113,20,4,0,46,3,28,5,4,0,3,0,114,63,12,3,92,10,37,0,3,5,13,0,237,47,0,0,69,6,11,4,0,0,3,0,148,36,0,0,34,3,3,3,0,0,0,3,82,26,0,0,7,0,5,0,0,0,0,0,42,20,3,0,16,0,4,0,0
The Hills Shire (A),17420,16,0,0,9,3,3,0,3,8,48,0,93,4,0,0,3,0,12,0,3,3,15,0,39,3,0,0,3,0,5,0,15,0,28,0,52,0,0,0,0,0,3,0,11,0,14,0,32,0,8,0,0,0,7,0,16,0,38,0,77,7,9,0,10,0,39,3,46,6,53,0,171,4,20,0,13,0,62,3,52,3,78,3,252,16,41,0,57,3,159,3,65,16,83,0,437,38,84,6,133,14,257,9,94,9,112,6,763,91,73,3,251,15,302,8,78,9,104,0,940,112,67,9,314,23,350,8,83,17,96,4,1078,175,68,7,407,29,399,4,69,10,91,3,1270,678,119,19,1031,80,1031,21,117,28,199,4,3315,866,92,20,1248,107,380,24,69,20,120,9,2946,1038,69,19,1046,104,232,22,67,7,86,5,2684,893,44,9,500,80,709,10,53,19,50,7,2371,3074,127,36,2158,210,869,40,109
Tweed (A),17550,3,0,0,3,0,3,0,0,0,14,0,22,0,0,0,3,0,0,0,0,0,3,3,6,0,3,0,3,0,5,0,4,0,10,0,32,0,0,0,0,0,3,0,4,0,3,0,14,0,5,0,3,0,6,0,14,0,36,0,62,3,7,0,7,0,8,0,28,0,42,0,100,10,19,0,17,0,33,0,61,3,80,3,222,12,33,0,40,5,101,4,80,11,104,3,387,23,57,3,175,14,197,3,87,15,134,3,707,67,69,8,247,17,194,5,73,7,99,11,811,84,68,9,319,19,173,6,51,6,68,0,820,116,36,4,274,30,149,10,30,9,55,0,716,268,77,16,577,48,206,33,27,7,67,4,1335,271,39,9,405,36,85,14,26,0,22,0,906,193,22,4,222,29,41,9,8,0,13,0,544,114,13,3,74,16,65,3,10,6,3,0,299,205,16,3,224,19,42,8,15
Upper Hunter Shire (A),17620,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,0,0,0,0,3,0,3,0,5,0,15,0,3,0,0,0,7,0,6,0,8,0,25,6,3,0,3,3,21,0,10,0,10,0,54,4,3,0,24,3,28,4,4,0,15,0,97,12,8,0,33,0,30,0,3,5,3,0,98,28,3,0,30,0,34,0,4,0,3,0,113,22,3,0,36,10,20,4,11,3,3,0,115,63,6,3,82,3,66,0,4,3,0,0,240,44,13,0,89,0,14,5,3,3,0,0,174,57,8,0,48,7,0,5,0,0,3,0,119,36,0,4,15,3,12,0,0,0,0,0,71,56,3,5,46,8,10,5,3
Upper Lachlan Shire (A),17640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,3,0,0,0,7,0,3,0,3,0,3,0,4,0,5,0,17,3,4,0,10,0,10,0,4,4,11,0,35,4,3,0,15,0,13,3,3,0,5,0,49,7,3,0,26,3,10,0,6,0,5,0,60,13,3,0,41,0,12,4,0,0,8,0,78,15,3,0,28,0,7,0,0,0,3,0,60,25,3,3,38,4,16,3,3,3,9,0,105,20,6,0,40,4,4,0,0,0,4,0,79,28,0,0,22,0,3,0,0,0,0,0,55,21,3,0,9,0,3,0,0,0,0,0,35,21,0,0,14,4,5,0,0
Uralla (A),17650,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,4,0,0,0,3,0,7,0,22,3,0,0,3,0,8,0,13,0,6,0,37,4,3,0,12,0,4,0,8,0,15,0,53,11,7,0,32,3,12,0,8,0,4,0,74,8,3,0,21,6,11,0,3,0,5,0,56,11,3,0,25,3,6,3,7,0,0,0,61,20,3,0,41,3,7,0,3,0,3,0,86,24,0,0,17,3,4,6,0,0,0,0,49,17,0,0,11,0,3,0,0,0,0,0,30,13,0,0,3,0,0,0,0,0,0,0,14,16,0,0,7,0,4,0,0
Wagga Wagga (C),17750,4,0,0,0,0,4,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,3,0,0,0,10,0,5,0,0,0,4,0,4,0,23,0,48,0,0,0,0,0,6,0,13,0,26,0,51,5,0,0,9,3,24,0,21,3,41,4,106,6,3,0,28,0,77,3,29,3,45,0,198,20,22,0,88,10,133,3,29,7,45,3,359,44,31,0,172,14,126,14,27,7,40,0,482,65,23,3,240,11,123,4,22,3,27,0,522,115,21,4,241,33,117,6,14,4,9,0,570,355,27,3,446,65,159,12,27,4,22,3,1124,356,21,13,336,51,57,8,11,3,6,0,860,252,12,3,192,32,25,5,5,0,6,0,540,171,4,8,72,24,40,3,4,0,3,3,323,262,11,6,186,14,45,4,6
Walcha (A),17850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,10,0,3,0,0,0,21,5,0,0,4,0,14,0,3,0,3,0,34,4,0,0,14,0,5,0,0,0,3,0,29,8,3,0,13,0,8,0,0,0,0,0,29,11,3,0,3,0,5,0,0,0,0,0,21,11,0,0,19,0,0,0,0,0,0,0,35,3,0,0,15,0,0,0,0,0,0,0,21,3,0,0,4,0,0,0,0,0,0,0,14,3,0,0,3,0,3,0,0,0,0,0,10,7,0,0,5,0,0,0,0
Walgett (A),17900,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,0,0,0,0,0,0,0,3,0,0,0,8,5,0,0,3,0,3,0,0,3,17,0,29,3,3,0,3,0,7,0,9,0,5,0,27,3,0,0,5,3,9,0,3,3,7,0,34,0,5,0,8,3,10,0,6,0,14,0,46,0,3,0,14,0,8,0,3,0,7,0,33,3,0,0,13,0,3,0,0,0,0,0,20,14,0,0,18,3,7,0,0,0,0,0,47,17,0,0,13,0,0,0,0,0,0,0,30,6,0,0,7,4,0,0,0,0,0,0,14,3,0,0,0,3,3,0,0,0,0,0,10,9,0,0,3,0,0,0,0
Warren (A),17950,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,3,0,0,0,0,0,12,0,0,0,3,0,3,0,0,0,0,0,9,5,0,0,9,0,10,0,0,0,0,0,19,3,0,0,12,0,3,0,0,0,0,0,19,8,3,0,12,0,3,0,0,0,0,0,27,11,0,0,10,0,9,0,0,0,0,0,37,13,0,0,13,0,0,3,0,0,0,0,30,10,0,0,3,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,3,8,0,0,3,0,0,0,0
Warrumbungle Shire (A),18020,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,0,0,0,0,12,0,19,3,0,0,3,0,3,0,0,0,4,0,14,0,3,0,7,0,7,0,7,0,10,0,33,15,0,0,13,0,9,0,9,0,16,0,67,5,6,0,24,0,17,0,4,0,16,0,77,7,4,0,38,3,11,0,6,0,7,0,82,7,0,0,29,4,7,0,3,3,5,0,57,10,3,0,17,4,11,0,0,3,0,0,44,29,3,0,43,3,19,0,0,0,0,0,103,17,4,0,20,0,4,0,0,0,0,0,51,4,0,0,9,0,0,3,0,0,3,0,24,9,0,0,3,0,0,0,4,0,0,0,14,11,0,0,14,0,0,0,0
