lga_name_2016,lga_code_2016,t_ei_ns_indst_nsp,t_ei_ns_totm,t_ei_ns_totf,t_ei_ns_totp,tot_indig_m,tot_indig_f,tot_indig_p,tot_nonind_m,tot_nonind_f,tot_nonind_p,tot_indigstat_nsm,tot_indigstat_nsf,tot_indigstat_nsp,tot_totm,tot_totf,tot_totp
Bulloo (S),31750,30,28,10,42,3,7,10,27,32,56,15,11,30,45,44,88
Bundaberg (R),31820,5330,3715,3663,7380,694,760,1455,8818,9573,18388,2848,2684,5527,12363,13006,25369
Burdekin (S),31900,1020,773,708,1479,195,186,381,1520,1588,3111,551,503,1057,2268,2281,4550
Burke (S),31950,55,35,33,69,16,8,26,3,3,9,34,25,64,52,41,96
Cairns (R),32080,12213,7832,7724,15557,2670,2842,5509,15416,17164,32580,6376,6176,12555,24464,26184,50645
Carpentaria (S),32250,132,130,105,233,119,123,241,72,76,148,76,58,143,273,263,533
Cassowary Coast (R),32260,2266,1638,1494,3135,483,550,1027,2296,2324,4616,1270,1100,2368,4040,3973,8010
Central Highlands (R) (Qld),32270,3067,2061,1578,3639,200,240,442,2952,3045,5994,1796,1341,3136,4947,4619,9569
Charters Towers (R),32310,990,660,676,1336,232,218,451,1190,1287,2472,510,519,1028,1931,2024,3947
Charles Sturt (C),41060,4166,3125,3254,6377,289,343,633,12389,13126,25512,2205,2156,4363,14885,15625,30516
Cherbourg (S),32330,3,32,32,65,225,198,424,0,0,0,0,3,3,225,204,430
Cloncurry (S),32450,388,273,215,487,93,123,221,160,175,335,231,168,397,486,465,952
Cook (S),32500,526,422,328,747,158,197,351,241,246,481,318,229,542,706,664,1375
Croydon (S),32600,72,45,31,76,4,13,18,15,17,33,38,29,72,59,59,116
Weipa (T),37300,331,225,190,412,148,152,300,305,339,643,184,154,345,634,653,1290
Western Downs (R),37310,3185,2094,1917,4010,389,371,756,3319,3536,6861,1762,1505,3266,5473,5410,10885
Diamantina (S),32750,41,17,28,48,10,6,10,30,18,48,15,24,41,49,45,98
Clare and Gilbert Valleys (DC),41140,488,334,339,678,19,25,42,892,958,1856,266,253,517,1176,1234,2409
Elliston (DC),41750,40,37,38,69,11,4,13,93,109,201,25,22,40,126,127,255
Doomadgee (S),32770,18,30,24,48,253,200,455,9,5,20,6,13,18,265,217,483
Douglas (S),32810,1412,824,889,1712,149,158,306,835,880,1713,712,747,1456,1691,1780,3478
Etheridge (S),33100,65,53,40,100,6,8,13,55,61,115,39,29,71,99,98,198
Flinders (S) (Qld),33200,106,76,76,150,12,15,27,110,101,218,51,56,107,176,173,352
Fraser Coast (R),33220,6129,4929,4390,9316,975,829,1803,9376,10063,19440,3227,3091,6317,13576,13983,27559
Gladstone (R),33360,3894,2614,2329,4946,441,484,926,6518,7173,13695,2147,1895,4043,9108,9557,18661
Gold Coast (C),33430,34386,21550,22538,44089,1708,1944,3651,62477,68311,130785,17507,17806,35314,81687,88062,169751
Goondiwindi (R),33610,905,612,582,1195,101,122,219,991,1091,2085,480,445,925,1574,1655,3228
Gympie (R),33620,3183,2254,2300,4554,381,347,725,4621,5173,9797,1702,1613,3307,6702,7128,13834
Hinchinbrook (S),33800,668,501,511,1018,207,98,305,864,949,1817,351,347,701,1431,1392,2824
Hope Vale (S),33830,24,50,31,80,144,106,247,3,3,3,15,5,24,159,112,273
Ipswich (C),33960,10339,7220,7048,14270,1826,1741,3567,22885,25115,47999,5387,5355,10739,30094,32212,62300
Isaac (R),33980,2756,1949,1196,3147,120,149,271,2141,2277,4413,1779,1039,2822,4040,3467,7506
Winton (S),37400,91,63,52,119,17,18,35,69,88,158,45,40,91,135,150,289
Tea Tree Gully (C),47700,2611,1931,2114,4040,200,198,396,11255,11958,23219,1359,1384,2742,12817,13536,26354
The Coorong (DC),47800,261,218,225,440,58,68,126,470,524,990,153,134,286,678,721,1404
Tumby Bay (DC),47910,99,80,97,179,7,11,18,213,264,479,53,53,105,275,332,605
Woorabinda (S),37550,13,42,33,80,160,145,303,7,3,4,8,3,11,171,150,323
Wujal Wujal (S),37570,0,7,8,13,24,27,44,0,3,4,0,0,3,24,25,52
Yarrabah (S),37600,14,68,79,144,419,432,851,10,4,11,8,6,10,432,442,874
No usual address (Qld),39499,1706,1598,1045,2650,225,166,391,809,692,1499,1007,720,1732,2039,1581,3621
Migratory - Offshore - Shipping (Qld),39799,15,6,12,21,0,0,0,5,7,15,6,9,15,14,18,33
Adelaide (C),40070,1933,1514,1032,2552,83,53,135,4073,4115,8188,1095,881,1973,5249,5045,10290
Adelaide Hills (DC),40120,1504,1016,997,2011,62,44,108,4824,5125,9952,829,759,1589,5722,5928,11646
Alexandrina (DC),40220,1307,943,982,1925,67,83,148,2281,2639,4924,686,681,1371,3033,3408,6443
Anangu Pitjantjatjara (AC),40250,119,138,165,309,309,315,623,16,15,33,50,73,119,376,408,778
Barossa (DC),40310,1024,749,752,1500,40,50,94,2598,2708,5311,545,534,1076,3194,3289,6479
Barunga West (DC),40430,147,109,111,223,17,9,23,190,209,400,72,74,146,283,284,565
Berri and Barmera (DC),40520,557,426,416,841,98,95,196,1041,1008,2046,306,288,587,1443,1388,2836
Burnside (C),40700,1315,928,1031,1963,23,41,62,6136,6543,12674,680,708,1391,6839,7283,14127
Campbelltown (C) (SA),40910,1261,1022,1042,2070,50,65,122,6299,6372,12674,695,664,1355,7042,7099,14143
Ceduna (DC),41010,265,243,259,507,167,188,355,244,272,516,139,134,274,543,596,1138
Cleve (DC),41190,95,82,63,138,3,0,4,194,186,379,54,50,103,251,235,484
Coober Pedy (DC),41330,238,162,162,323,46,46,91,106,127,231,124,118,245,279,292,568
Copper Coast (DC),41560,759,642,642,1282,73,88,163,1313,1253,2566,408,398,811,1799,1739,3537
Flinders Ranges (DC),41830,76,77,73,151,33,44,80,124,124,251,43,37,80,197,213,411
Franklin Harbour (DC),41960,120,75,71,140,11,3,13,107,92,204,62,60,122,179,155,336
Gawler (T),42030,1012,714,722,1440,74,89,159,2390,2687,5079,528,538,1068,2996,3317,6313
Goyder (DC),42110,237,184,172,357,10,16,22,375,463,832,129,124,248,509,593,1104
Grant (DC),42250,337,753,273,1025,56,21,75,1337,903,2242,183,183,371,1581,1113,2693
Holdfast Bay (C),42600,1673,1001,1146,2143,44,44,88,3630,4014,7640,824,879,1708,4497,4937,9430
Kangaroo Island (DC),42750,384,242,232,476,12,15,25,394,406,796,209,184,387,612,603,1214
Karoonda East Murray (DC),43080,55,42,43,87,3,0,4,116,122,230,29,25,55,149,149,294
Kimba (DC),43220,55,43,40,86,3,0,9,104,114,223,25,27,55,140,140,282
Kingston (DC) (SA),43360,129,100,112,212,10,5,16,209,198,401,74,62,137,293,262,557
Light (RegC),43650,542,434,381,819,28,30,62,1896,2026,3921,312,253,570,2243,2305,4547
Lower Eyre Peninsula (DC),43710,285,451,215,669,75,43,118,750,564,1315,161,144,305,989,756,1738
Loxton Waikerie (DC),43790,535,395,408,795,50,75,123,1059,1164,2232,302,273,574,1416,1516,2928
Mallala (DC),43920,493,357,320,680,47,45,88,954,966,1917,271,254,524,1268,1266,2535
Maralinga Tjarutja (AC),44000,0,22,23,43,20,23,39,3,0,3,0,0,0,22,23,43
Marion (C),44060,2919,2035,2213,4247,215,217,434,10205,11225,21422,1517,1537,3054,11934,12978,24910
Mid Murray (DC),44210,514,604,371,979,62,34,97,866,710,1584,273,256,535,1204,1008,2209
Mitcham (C),44340,1993,1370,1422,2790,60,87,142,8667,9474,18140,1061,1020,2085,9786,10582,20368
Mount Barker (DC),44550,1380,973,1038,2006,70,94,164,4019,4475,8497,723,739,1465,4811,5308,10120
Mount Gambier (C),44620,1099,839,909,1751,129,122,251,2804,3190,5993,568,592,1157,3500,3906,7405
Mount Remarkable (DC),44830,156,111,103,216,14,12,29,242,252,503,78,81,156,335,353,689
Murray Bridge (RC),45040,964,1134,796,1930,255,178,435,2240,2162,4400,526,490,1009,3013,2834,5846
Naracoorte and Lucindale (DC),45090,274,260,252,511,24,33,57,920,881,1806,153,143,293,1099,1048,2146
Northern Areas (DC),45120,219,177,147,322,17,11,28,420,424,842,124,102,224,553,540,1090
Norwood Payneham St Peters (C),45290,1411,911,985,1891,50,46,99,4544,4659,9203,712,751,1466,5303,5461,10761
Onkaparinga (C),45340,6758,4675,4970,9640,585,620,1211,18557,20006,38568,3466,3605,7077,22613,24236,46848
Orroroo/Carrieton (DC),45400,60,37,45,85,0,7,8,85,80,159,31,33,60,115,119,227
Peterborough (DC),45540,103,82,73,157,22,25,46,133,122,253,57,45,102,206,196,398
Playford (C),45680,4652,3615,3576,7190,629,680,1313,10746,11527,22282,2480,2406,4884,13862,14619,28476
Port Adelaide Enfield (C),45890,4780,4278,3944,8227,640,620,1263,14562,14962,29518,2470,2523,4999,17671,18103,35777
Port Augusta (C),46090,871,1209,686,1900,612,471,1077,1312,1025,2335,466,444,913,2391,1936,4323
Port Lincoln (C),46300,843,589,590,1176,144,149,294,1273,1439,2717,448,425,872,1872,2008,3881
Port Pirie City and Dists (M),46450,829,613,637,1252,140,160,299,1643,1781,3424,415,443,861,2203,2384,4585
Prospect (C),46510,766,513,498,1014,37,29,60,2756,2631,5386,403,393,792,3197,3045,6239
Renmark Paringa (DC),46670,554,418,422,834,54,55,110,907,947,1859,287,293,581,1257,1296,2554
Robe (DC),46860,89,64,62,127,3,0,5,120,112,234,53,46,96,169,157,327
Roxby Downs (M),46970,291,248,118,365,22,19,43,447,470,918,212,93,299,680,581,1261
Salisbury (C),47140,5032,3950,4033,7987,524,579,1103,16698,17675,34370,2690,2581,5274,19916,20829,40745
Southern Mallee (DC),47290,141,96,94,186,4,4,10,164,178,343,75,72,146,246,255,498
Streaky Bay (DC),47490,129,90,88,182,8,4,11,197,218,418,73,68,133,275,286,562
Tatiara (DC),47630,465,327,278,603,24,11,31,679,696,1377,255,228,488,958,938,1894
Unley (C),47980,1467,914,990,1906,29,29,55,4858,5394,10253,751,761,1510,5631,6192,11824
Victor Harbor (C),48050,606,458,516,978,41,39,80,1111,1275,2383,331,324,649,1481,1635,3115
Wakefield (DC),48130,333,249,250,498,30,30,61,698,741,1439,180,171,346,904,936,1838
Coolgardie (S),51960,381,284,208,497,85,71,160,335,354,686,229,163,387,646,581,1233
Coorow (S),52030,66,50,37,92,3,7,13,72,64,139,31,28,65,111,104,216
Walkerville (M),48260,323,212,224,435,10,18,25,948,1048,1999,178,165,344,1134,1234,2371
Wattle Range (DC),48340,543,462,469,927,48,48,99,1224,1264,2492,309,266,573,1580,1582,3157
West Torrens (C),48410,2220,1541,1729,3272,114,112,228,6972,7731,14700,1139,1148,2291,8228,8991,17215
Whyalla (C),48540,1182,897,924,1819,211,260,469,2230,2483,4715,606,628,1235,3045,3375,6422
Wudinna (DC),48640,77,47,51,104,5,3,13,111,142,257,39,39,78,157,187,342
Yankalilla (DC),48750,275,207,196,398,9,10,23,402,465,866,153,129,288,561,612,1177
Yorke Peninsula (DC),48830,438,390,365,755,47,55,104,866,908,1770,258,207,466,1169,1170,2340
Unincorporated SA,49399,470,377,236,614,120,114,235,176,154,326,304,176,475,597,440,1040
No usual address (SA),49499,292,403,220,625,62,62,126,305,213,517,184,114,302,552,393,946
Migratory - Offshore - Shipping (SA),49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albany (C),50080,1783,1695,1261,2953,401,194,592,3977,3945,7922,946,916,1867,5326,5052,10373
Armadale (C),50210,3803,2788,2703,5488,335,445,783,9244,10022,19258,2058,1846,3906,11644,12311,23947
Ashburton (S),50250,2037,1786,450,2238,144,137,281,852,664,1519,1679,376,2047,2674,1175,3848
Augusta-Margaret River (S),50280,974,668,621,1291,44,38,82,1527,1595,3123,532,474,1004,2103,2105,4212
Bassendean (T),50350,654,468,479,947,74,62,136,1651,1688,3340,344,335,679,2068,2083,4157
Bayswater (C),50420,3152,2267,2278,4543,157,176,330,7275,7493,14769,1666,1572,3238,9097,9238,18331
Belmont (C),50490,3432,2240,2022,4263,165,167,334,4288,4217,8505,1840,1637,3474,6295,6017,12310
Beverley (S),50560,170,111,114,226,12,19,32,126,141,268,92,80,174,227,239,469
Boddington (S),50630,121,89,66,154,12,12,22,177,183,361,73,56,128,260,252,511
Boyup Brook (S),50770,105,75,71,150,0,3,7,159,170,333,53,56,105,215,228,446
Bridgetown-Greenbushes (S),50840,311,209,210,418,12,12,27,430,485,921,159,164,322,599,666,1271
Brookton (S),50910,101,56,68,123,14,15,28,54,67,121,49,61,108,113,142,256
Broome (S),50980,1545,1192,1076,2269,905,834,1744,1131,1241,2373,796,799,1596,2826,2879,5710
Broomehill-Tambellup (S),51080,120,83,70,154,21,24,51,84,87,178,65,66,131,177,179,352
Bruce Rock (S),51120,53,44,38,79,4,3,8,83,91,172,31,26,58,114,123,243
Bunbury (C),51190,1925,1625,1318,2946,280,206,485,3116,3192,6310,1012,965,1979,4410,4363,8774
Busselton (C),51260,2121,1465,1477,2934,127,135,259,3938,4308,8248,1139,1063,2199,5197,5507,10703
Cambridge (T),51310,1199,742,707,1443,4,20,27,3950,3876,7832,649,596,1237,4606,4489,9091
Canning (C),51330,3388,2485,2297,4780,172,186,360,13692,13017,26717,1884,1632,3521,15755,14841,30588
Capel (S),51400,817,566,530,1102,82,82,161,2229,2492,4720,438,406,849,2747,2988,5734
Carnamah (S),51470,42,21,26,48,3,4,8,52,46,97,22,17,42,74,68,140
Carnarvon (S),51540,682,506,441,944,193,188,383,379,362,742,378,324,693,941,875,1822
Chapman Valley (S),51610,168,104,101,209,8,21,29,141,171,312,82,83,168,240,273,511
Chittering (S),51680,404,280,257,538,39,41,78,598,624,1226,220,198,418,858,870,1724
Claremont (T),51750,635,389,413,804,45,6,50,1504,1326,2829,307,337,644,1849,1670,3518
Cockburn (C),51820,5178,3559,3502,7066,334,321,656,12368,13414,25782,2762,2593,5358,15470,16333,31802
Collie (S),51890,617,442,467,913,63,72,135,856,908,1763,329,311,632,1243,1285,2527
Corrigin (S),52100,102,69,55,124,15,6,19,95,86,185,53,48,102,165,142,306
Cottesloe (T),52170,454,269,257,522,0,9,12,963,984,1950,237,222,460,1202,1218,2423
Cranbrook (S),52240,90,59,53,116,3,3,6,79,98,175,49,47,97,132,145,279
Cuballing (S),52310,101,75,47,120,0,0,0,67,85,151,72,40,108,133,121,258
Cue (S),52380,43,34,20,57,15,3,17,3,9,7,26,12,43,40,27,65
Cunderdin (S),52450,108,86,66,155,0,10,6,227,160,382,62,48,112,294,215,507
Dalwallinu (S),52520,111,80,63,142,17,11,30,132,120,248,62,51,111,212,173,383
Dandaragan (S),52590,234,159,142,301,12,12,24,238,236,474,127,118,241,382,361,741
Dardanup (S),52660,760,513,464,982,43,61,103,1458,1672,3132,421,370,787,1930,2101,4032
Denmark (S),52730,495,318,331,644,19,16,32,588,612,1191,256,254,508,860,881,1739
Derby-West Kimberley (S),52800,498,597,506,1103,906,800,1704,188,225,415,242,258,506,1336,1281,2623
Donnybrook-Balingup (S),52870,484,292,310,598,13,21,38,528,574,1105,245,253,495,790,849,1633
Dowerin (S),52940,39,25,34,57,7,4,6,59,66,126,17,19,38,81,89,170
Dumbleyung (S),53010,66,39,38,72,3,4,6,38,51,91,34,31,70,77,87,161
Dundas (S),53080,112,77,61,138,12,18,27,43,45,89,70,51,113,119,115,235
East Fremantle (T),53150,358,262,269,530,7,4,15,923,1095,2024,190,183,365,1120,1284,2407
East Pilbara (S),53220,1870,1551,529,2080,310,266,578,561,520,1080,1429,457,1880,2295,1238,3541
Esperance (S),53290,1386,919,865,1785,148,142,284,1359,1509,2866,768,683,1449,2269,2330,4599
Exmouth (S),53360,216,148,143,287,14,10,23,260,273,531,114,111,220,388,388,777
Fremantle (C),53430,2066,1312,1341,2655,96,74,170,2821,3354,6174,1067,1028,2097,3984,4453,8437
Gingin (S),53570,412,297,246,540,10,22,34,457,478,935,235,192,428,700,698,1391
Gnowangerup (S),53640,105,84,51,134,15,20,33,91,99,190,65,38,111,171,154,328
Kalgoorlie/Boulder (C),54280,2516,1772,1483,3251,426,444,873,3084,3294,6374,1399,1161,2557,4915,4890,9811
Karratha (C),54310,2245,1892,1068,2955,623,486,1115,2088,2000,4090,1478,825,2300,4200,3308,7505
Goomalling (S),53710,93,54,59,109,3,15,16,85,96,186,46,46,95,137,152,289
Gosnells (C),53780,4610,4649,3416,8066,746,536,1283,15810,15428,31239,2538,2214,4757,19100,18180,37278
Greater Geraldton (C),53800,2593,2034,1799,3833,853,749,1599,3616,4165,7782,1422,1276,2696,5887,6191,12081
Halls Creek (S),53920,290,384,405,785,489,485,971,35,32,72,151,140,290,671,660,1330
Harvey (S),53990,1689,1112,1076,2186,121,134,257,3060,3188,6246,902,853,1749,4081,4170,8248
Irwin (S),54060,202,162,142,303,15,7,21,360,348,711,112,101,210,485,455,942
Jerramungup (S),54130,128,84,68,152,15,9,18,86,88,166,73,56,130,168,150,312
Joondalup (C),54170,4835,3485,3207,6688,180,221,397,19953,20536,40489,2765,2314,5078,22891,23074,45964
Kalamunda (S),54200,2571,1841,1775,3611,209,230,442,6633,7166,13805,1400,1260,2654,8243,8656,16895
Katanning (S),54340,467,307,289,594,64,74,136,390,341,729,241,240,481,689,658,1348
Kellerberrin (S),54410,100,68,68,139,17,14,30,104,120,225,54,46,100,172,184,352
Kent (S),54480,66,42,28,69,0,0,0,44,53,95,39,21,68,86,75,162
Kojonup (S),54550,164,110,108,218,17,10,33,154,178,332,80,88,164,252,277,531
Kondinin (S),54620,56,41,35,78,16,8,24,64,77,135,32,22,57,100,111,211
Koorda (S),54690,21,17,10,21,0,5,4,38,27,66,9,7,19,52,38,94
Kulin (S),54760,48,32,27,61,0,3,9,51,65,120,26,21,52,83,90,173
Kwinana (C),54830,2298,2586,1518,4100,557,210,767,5016,4723,9738,1258,1101,2359,6837,6032,12863
Lake Grace (S),54900,98,60,71,128,8,7,12,97,126,226,50,49,105,155,181,344
Laverton (S),54970,197,165,61,220,41,50,92,28,28,54,153,52,203,216,128,348
Leonora (S),55040,309,235,108,340,32,22,61,67,73,133,218,93,308,315,187,508
Mandurah (C),55110,4141,2980,2883,5858,315,332,645,8104,9057,17165,2236,2012,4252,10658,11401,22061
Manjimup (S),55180,683,431,472,901,73,61,133,881,948,1827,345,360,700,1299,1365,2662
Meekatharra (S),55250,209,153,112,259,56,59,114,26,23,53,124,82,210,214,164,374
Melville (C),55320,3597,2556,2722,5278,168,148,315,12904,13434,26338,1899,1832,3733,14973,15406,30386
Mukinbudin (S),55950,29,29,18,49,4,7,10,46,34,83,13,10,29,68,50,126
Menzies (S),55390,45,53,17,71,32,27,57,14,5,22,39,14,51,78,42,126
Merredin (S),55460,211,145,138,280,41,42,85,379,310,688,120,101,225,537,457,991
Mingenew (S),55530,28,25,20,48,4,7,15,46,31,76,19,14,35,72,52,118
Mundaring (S),56090,1585,3014,1075,4089,680,134,815,5399,4355,9759,903,750,1650,6975,5247,12223
Morawa (S),55670,47,34,36,75,35,18,53,82,60,142,24,28,48,137,110,246
Moora (S),55600,199,136,134,267,39,46,87,216,219,433,104,102,203,356,367,724
Nungarin (S),56860,18,13,8,21,0,3,8,22,15,39,6,8,18,39,32,64
Peppermint Grove (S),56930,96,48,62,114,0,29,29,202,352,554,42,50,99,248,432,682
Mosman Park (T),55740,473,368,383,750,13,17,33,1126,1499,2621,245,239,489,1385,1756,3144
Mount Magnet (S),55810,108,69,51,118,15,15,29,31,17,52,56,47,108,98,78,180
Mount Marshall (S),55880,32,28,22,47,0,0,0,53,44,93,17,12,32,70,64,132
Waratah/Wynyard (M),65410,674,541,529,1065,199,187,386,1213,1272,2489,369,343,710,1779,1806,3584
West Coast (M),65610,254,199,184,384,51,51,104,357,341,699,141,132,277,548,527,1074
West Tamar (M),65810,1037,735,751,1485,114,125,238,2450,2701,5151,561,533,1095,3129,3356,6484
Murchison (S),56160,42,34,15,43,5,12,16,0,5,5,26,15,42,33,32,63
Murray (S),56230,1173,801,699,1500,91,86,179,1571,1845,3417,660,548,1210,2324,2480,4807
Nannup (S),56300,101,68,66,133,6,3,7,97,103,197,57,48,101,156,152,301
No usual address (Tas.),69499,92,119,61,181,13,9,20,95,79,174,58,31,91,165,121,285
Narembeen (S),56370,46,27,32,61,4,4,4,47,67,112,26,27,50,78,97,173
No usual address (NT),79499,355,449,379,822,242,192,437,98,92,188,184,174,361,527,450,986
Narrogin (S),56460,458,335,322,656,84,78,157,505,578,1084,235,232,468,822,888,1713
Nedlands (C),56580,813,530,515,1045,19,9,32,3481,3231,6708,438,410,852,3935,3651,7587
Ngaanyatjarraku (S),56620,61,181,180,364,291,266,559,9,16,24,31,33,67,332,314,650
Kentish (M),63210,346,260,254,520,62,54,111,596,585,1188,179,183,365,838,823,1662
Northam (S),56730,813,1012,532,1543,108,123,233,1437,1086,2525,434,404,835,1976,1614,3589
Northampton (S),56790,288,212,180,392,35,37,76,243,276,518,160,133,290,435,446,882
King Island (M),63410,117,65,92,153,0,3,3,118,117,230,50,71,120,166,188,354
Kingborough (M),63610,1284,946,936,1879,239,226,467,4263,4488,8753,706,655,1364,5211,5371,10575
Sandstone (S),57630,15,13,4,19,0,0,0,0,0,7,6,4,15,14,6,21
Serpentine-Jarrahdale (S),57700,1300,1257,826,2084,138,116,262,3410,3276,6685,723,619,1347,4275,4013,8294
Shark Bay (S),57770,75,57,45,97,9,3,11,68,66,138,44,30,75,117,102,221
South Perth (C),57840,2369,1467,1542,3007,156,106,263,5641,5567,11215,1226,1207,2427,7029,6879,13906
Stirling (C),57910,10766,7308,7743,15047,394,413,806,24592,26292,50877,5571,5491,11059,30553,32194,62752
Subiaco (C),57980,1112,662,719,1381,32,48,77,2851,2862,5708,561,577,1133,3439,3481,6921
Swan (C),58050,6671,4854,5179,10031,725,921,1653,16432,17348,33785,3590,3339,6929,20744,21613,42360
Tammin (S),58190,50,31,31,61,10,4,12,44,38,81,23,23,50,79,63,140
Three Springs (S),58260,39,22,30,53,4,15,18,56,47,109,16,21,39,81,79,161
Latrobe (M) (Tas.),63810,511,422,405,830,105,64,165,990,1027,2019,272,263,528,1358,1354,2715
Launceston (C),64010,3759,2563,2729,5293,452,461,908,7681,7927,15604,1886,2017,3900,10012,10403,20418
Meander Valley (M),64210,958,696,748,1440,114,111,221,1956,2050,4002,486,505,995,2553,2668,5221
Northern Midlands (M),64610,768,593,594,1186,52,64,116,1224,1331,2559,402,398,801,1680,1797,3474
Sorell (M),64810,712,493,539,1034,105,105,218,1366,1523,2894,363,383,747,1840,2015,3852
Perenjori (S),57000,52,48,24,70,5,8,16,39,37,81,37,15,53,86,56,147
Perth (C),57080,3298,1919,1674,3595,29,30,59,2226,2527,4753,1787,1526,3318,4045,4085,8127
Pingelly (S),57140,99,67,66,138,28,29,56,79,73,146,55,54,111,155,156,311
Plantagenet (S),57210,371,322,243,570,39,31,73,542,455,992,197,177,382,781,666,1446
Port Hedland (T),57280,1898,1280,1063,2347,421,405,824,1115,1258,2373,1059,870,1928,2593,2535,5130
Quairading (S),57350,111,70,64,127,7,8,18,68,76,136,58,52,109,135,129,265
Ravensthorpe (S),57420,181,121,107,228,6,3,11,138,128,259,108,78,191,251,208,462
Rockingham (C),57490,7693,5232,4731,9960,481,561,1041,14611,15899,30509,4281,3639,7927,19370,20105,39476
Southern Midlands (M),65010,326,265,248,516,54,62,112,622,627,1243,176,172,355,853,858,1709
Tasman (M),65210,240,145,166,310,16,19,38,156,174,338,121,128,251,304,320,623
Toodyay (S),58330,371,237,227,460,26,24,47,325,392,710,200,191,390,547,600,1149
Trayning (S),58400,50,38,30,63,0,10,8,24,13,38,28,26,50,52,46,100
Upper Gascoyne (S),58470,24,27,16,43,32,33,68,7,11,11,18,8,27,56,51,109
Victoria Park (T),58510,2399,1704,1731,3436,89,125,213,4257,4576,8829,1289,1147,2434,5635,5843,11477
Migratory - Offshore - Shipping (Tas.),69799,4,4,0,4,0,0,0,0,4,6,4,0,4,3,4,7
Alice Springs (T),70200,2475,1578,1654,3233,810,842,1655,2110,2461,4571,1254,1270,2527,4176,4570,8749
Victoria Plains (S),58540,76,62,26,94,3,0,5,68,92,153,49,24,76,120,116,237
Vincent (C),58570,2445,1512,1358,2869,30,45,71,3633,3889,7520,1293,1190,2484,4957,5124,10077
Wagin (S),58610,165,96,111,207,8,6,18,149,178,329,84,90,174,242,274,513
Wandering (S),58680,42,31,27,54,0,0,0,42,36,81,21,17,38,60,56,122
Wanneroo (C),58760,8600,6213,6234,12452,584,568,1149,24779,26137,50918,4617,4327,8939,29978,31031,61006
Waroona (S),58820,383,244,260,502,24,25,49,382,408,795,194,211,405,604,641,1244
West Arthur (S),58890,50,33,33,65,0,3,5,54,73,128,34,24,53,92,102,185
Westonia (S),59030,36,30,14,46,0,0,0,18,25,45,28,14,44,51,37,85
Palmerston (C),72800,2391,1553,1552,3099,765,803,1562,3445,4055,7507,1249,1225,2471,5458,6078,11538
Roper Gulf (R),73600,285,438,392,830,916,922,1835,80,80,168,163,126,287,1163,1132,2294
Tiwi Islands (R),74050,40,114,90,208,330,307,631,22,22,41,26,18,40,376,343,713
Victoria Daly (R),74550,308,287,251,535,331,310,639,54,61,112,166,145,313,551,519,1067
Wickepin (S),59100,51,37,32,72,3,6,14,64,68,131,25,17,51,97,95,187
Wagait (S),74560,21,14,9,25,3,9,16,29,48,79,16,5,21,50,62,111
West Arnhem (R),74660,328,523,477,998,874,821,1696,95,97,192,180,145,327,1146,1065,2213
West Daly (R),74680,84,202,202,406,568,534,1100,15,19,33,36,48,84,623,597,1223
Unincorporated NT,79399,847,710,466,1176,152,137,293,657,712,1364,522,353,874,1334,1198,2536
Williams (S),59170,70,50,39,92,0,0,0,80,85,166,41,35,69,120,115,239
Wiluna (S),59250,124,108,31,140,33,40,66,21,12,28,96,26,124,147,68,221
Migratory - Offshore - Shipping (NT),79799,10,12,4,13,0,0,0,3,3,10,12,4,13,16,7,23
Unincorporated ACT,89399,17557,11723,11300,23021,1377,1319,2694,54445,56217,110665,9250,8843,18093,65071,66374,131450
No usual address (ACT),89499,52,76,25,105,8,4,14,75,62,139,37,20,56,123,84,211
Migratory - Offshore - Shipping (ACT),89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unincorp. Other Territories,99399,395,543,252,796,52,48,104,641,395,1038,230,181,413,924,635,1562
No usual address (OT),99499,3,0,4,4,0,0,0,7,6,10,0,0,3,7,6,16
Migratory - Offshore - Shipping (OT),99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wongan-Ballidu (S),59310,36,44,25,67,17,8,27,123,133,249,17,17,34,158,158,312
Woodanilling (S),59320,21,14,11,24,3,3,3,34,32,67,12,9,23,47,47,98
Wyalkatchem (S),59330,60,45,34,75,4,0,4,24,39,64,33,29,64,64,66,129
Wyndham-East Kimberley (S),59340,706,508,517,1030,355,432,789,389,458,848,369,354,723,1115,1249,2362
Yalgoo (S),59350,61,43,26,73,15,11,25,12,3,11,42,25,61,64,36,104
Yilgarn (S),59360,159,115,69,188,8,5,14,75,75,149,101,50,155,182,133,314
York (S),59370,333,220,206,435,25,22,46,302,303,604,178,163,341,499,488,992
No usual address (WA),59499,802,982,607,1592,194,162,363,553,332,881,466,341,812,1215,838,2049
Migratory - Offshore - Shipping (WA),59799,72,70,8,75,0,0,0,22,0,22,67,8,68,87,6,94
Break O'Day (M),60210,368,295,268,562,36,55,90,464,499,968,200,173,372,702,731,1432
Brighton (M),60410,857,662,722,1387,304,293,600,1721,1801,3519,451,478,930,2474,2575,5045
Burnie (C),60610,839,659,719,1376,227,287,517,1843,2124,3960,446,456,903,2519,2861,5379
Central Coast (M) (Tas.),60810,948,788,866,1650,282,273,557,1944,2154,4096,501,490,991,2729,2912,5642
