lga_name_2016,lga_code_2016,p_foodhosppersserv_occ_mng,p_foodhosppersserv_occ_pro,p_foodhosppersserv_occ_ttw,p_foodhosppersserv_occ_cps,p_foodhosppersserv_occ_ca,p_foodhosppersserv_occ_sal,p_foodhosppersserv_occ_mod,p_foodhosppersserv_occ_lab,p_foodhosppersserv_occ_idns,p_foodhosppersserv_total,p_mixfieldprog_occ_mng,p_mixfieldprog_occ_pro,p_mixfieldprog_occ_ttw,p_mixfieldprog_occ_cps,p_mixfieldprog_occ_ca,p_mixfieldprog_occ_sal,p_mixfieldprog_occ_mod,p_mixfieldprog_occ_lab,p_mixfieldprog_occ_idns,p_mixfieldprog_total,p_fs_id_occ_mng,p_fs_id_occ_pro,p_fs_id_occ_ttw,p_fs_id_occ_cps,p_fs_id_occ_ca,p_fs_id_occ_sal,p_fs_id_occ_mod,p_fs_id_occ_lab,p_fs_id_occ_idns,p_fs_id_total,p_fs_ns_occ_mng,p_fs_ns_occ_pro,p_fs_ns_occ_ttw,p_fs_ns_occ_cps,p_fs_ns_occ_ca,p_fs_ns_occ_sal,p_fs_ns_occ_mod,p_fs_ns_occ_lab,p_fs_ns_occ_idns,p_fs_ns_total,p_tot_occ_mng,p_tot_occ_pro,p_tot_occ_ttw,p_tot_occ_cps,p_tot_occ_ca,p_tot_occ_sal,p_tot_occ_mod,p_tot_occ_lab,p_tot_occ_idns,p_total_total
Wagga Wagga (C),17750,118,28,417,188,128,132,28,129,8,1172,3,8,3,7,0,3,3,10,0,41,38,40,29,40,34,16,26,16,4,247,55,44,81,67,51,58,42,79,45,524,2531,5412,3555,2505,2335,1116,718,1138,203,19512
Walcha (A),17850,4,0,16,7,3,0,0,7,0,40,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,11,0,3,3,0,0,5,5,3,30,286,142,104,73,75,39,30,71,3,828
Walgett (A),17900,5,0,11,9,3,0,9,13,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,9,6,5,10,0,7,14,3,62,245,248,126,181,111,38,71,92,14,1127
Warren (A),17950,3,0,3,9,4,3,3,3,0,27,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,5,0,9,0,3,3,0,8,0,33,196,132,99,62,61,19,34,49,11,671
Warrumbungle Shire (A),18020,10,6,30,14,10,7,8,17,3,96,0,0,0,0,0,0,0,0,0,0,4,0,3,3,3,0,6,3,0,25,31,4,11,10,11,3,11,26,21,134,519,442,259,249,173,96,96,175,37,2047
Waverley (A),18050,168,50,409,171,83,59,17,37,9,997,3,7,3,8,0,0,0,0,0,30,108,193,24,37,53,37,5,22,17,511,70,96,40,46,41,45,12,40,94,481,6092,12963,2162,2173,2782,1834,325,809,505,29646
Weddin (A),18100,8,0,9,4,4,0,3,3,0,37,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,6,3,4,0,3,6,0,6,0,36,266,168,104,81,86,26,37,72,7,843
Wentworth (A),18200,15,0,35,13,14,4,3,10,0,98,0,0,0,3,0,0,0,0,0,6,0,0,3,3,0,0,0,0,0,13,18,4,16,6,7,13,12,11,6,87,317,345,281,193,168,89,91,134,18,1633
Western Plains Regional (A),18230,85,30,280,148,82,102,43,98,6,875,0,3,3,0,0,3,0,7,0,20,24,19,9,21,14,12,12,17,5,125,53,47,62,56,49,53,43,86,65,507,1953,3568,2382,1948,1795,932,556,1006,209,14343
Willoughby (C),18250,125,37,315,109,76,64,16,42,6,794,3,6,3,0,0,5,0,3,0,30,83,140,25,32,51,44,9,13,15,406,63,93,20,23,40,26,5,24,72,372,5994,13382,1761,1624,3365,1725,290,617,508,29253
Wingecarribee (A),18350,115,21,344,138,79,73,45,101,4,908,3,0,0,0,0,3,0,8,0,18,34,27,17,14,25,9,13,19,3,163,48,33,64,34,42,45,26,63,42,405,2202,3861,2580,1510,1536,858,569,881,202,14187
Wollondilly (A),18400,70,23,239,107,133,85,51,60,14,785,0,4,0,0,5,0,0,3,0,17,31,16,17,11,12,10,25,16,13,149,53,43,110,53,76,46,64,66,46,558,2112,3273,3427,1719,2005,822,1051,904,264,15580
Wollongong (C),18450,282,76,1063,543,376,283,140,237,24,3026,4,12,10,15,9,4,4,9,0,69,91,155,70,70,101,34,53,40,22,639,85,145,256,177,138,137,148,204,222,1503,7219,18990,10379,7447,7645,3259,2706,3129,879,61655
Woollahra (A),18500,133,39,211,84,67,56,10,16,3,616,0,0,3,0,3,0,0,3,3,15,102,162,15,28,65,42,3,12,16,446,83,86,15,34,53,29,5,15,56,378,5335,10971,947,1132,2331,1495,120,303,428,23053
Yass Valley (A),18710,27,7,76,23,43,11,14,27,3,223,0,0,0,0,0,0,0,0,0,3,25,24,3,11,20,0,4,0,0,96,24,20,21,28,22,15,13,16,21,179,1203,1489,762,567,741,189,152,267,103,5481
Unincorporated NSW,19399,8,0,15,0,0,0,0,7,0,38,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,6,0,3,0,0,0,0,3,3,14,121,33,40,24,25,12,3,53,14,331
No usual address (NSW),19499,14,3,42,33,7,13,5,23,0,135,0,3,0,3,0,0,0,4,0,8,0,7,3,4,8,0,3,7,0,36,6,10,17,11,7,8,9,17,26,101,200,562,348,285,168,119,144,278,58,2162
Migratory - Offshore - Shipping (NSW),19799,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,18,14,7,11,6,7,8,3,74
Alpine (S),20110,45,4,100,38,18,19,14,31,8,274,0,0,0,0,0,0,0,0,0,0,3,9,3,10,3,3,4,8,0,36,30,10,13,10,15,12,15,21,12,134,651,756,656,453,303,202,186,291,46,3551
Ararat (RC),20260,23,9,62,33,11,19,3,21,3,183,0,0,0,0,0,0,0,3,0,6,5,8,3,11,6,0,4,7,0,37,21,8,16,15,6,13,10,28,9,132,539,580,398,523,213,131,107,268,45,2808
Ballarat (C),20570,163,43,630,280,196,204,69,176,15,1777,4,4,3,6,3,5,3,8,0,40,68,98,49,62,70,19,27,29,8,430,59,64,138,80,69,97,74,108,100,779,3443,9040,4982,3822,3223,1814,1035,1708,406,29471
Banyule (C),20660,192,70,546,253,214,180,46,107,12,1623,3,4,8,3,7,0,0,8,0,38,118,218,57,78,124,53,24,23,30,723,74,106,102,76,88,67,44,68,132,755,6292,16570,5639,4140,5305,2235,873,1480,584,43124
Bass Coast (S),20740,74,9,233,98,50,67,28,55,3,628,0,0,0,0,0,0,0,3,0,8,14,24,17,11,5,10,5,14,5,108,61,16,64,41,28,48,18,50,42,372,1157,1773,1651,1121,711,565,306,619,136,8047
Baw Baw (S),20830,88,21,265,96,81,76,36,103,7,768,3,3,0,0,0,0,3,3,0,13,25,30,25,27,22,7,14,19,3,180,82,23,84,51,43,49,43,72,41,483,2035,3270,2706,1701,1387,669,681,1111,186,13753
Bayside (C),20910,183,52,292,161,144,136,16,49,11,1031,7,3,4,0,4,0,0,0,0,16,167,227,30,49,91,77,4,10,20,676,91,99,48,39,58,56,14,19,86,512,8386,14299,2554,2331,3862,2201,299,624,502,35070
Benalla (RC),21010,25,6,83,35,17,26,8,23,3,233,0,0,0,0,0,0,0,0,0,0,3,5,3,3,7,3,8,3,5,36,27,15,30,18,21,10,26,37,14,193,599,801,691,473,350,191,177,265,52,3603
Boroondara (C),21110,315,79,525,292,207,182,29,70,14,1712,12,5,7,8,4,7,3,5,3,55,256,381,50,86,181,108,14,28,25,1124,132,191,49,52,79,64,11,42,161,779,12944,30335,3773,3967,7440,3799,505,1304,949,65012
Brimbank (C),21180,273,53,1069,500,327,314,261,376,35,3214,12,8,8,11,8,15,26,35,5,126,70,122,101,87,130,64,110,102,24,809,95,121,295,203,170,169,268,315,293,1924,4444,10465,7773,5772,6423,3324,3794,4268,929,47198
Buloke (S),21270,19,0,24,9,7,14,4,12,0,87,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,0,0,0,0,11,18,3,13,3,7,4,8,12,0,68,382,317,185,146,113,76,69,104,11,1421
Campaspe (S),21370,91,10,238,96,50,72,34,107,17,723,3,0,0,3,0,0,0,0,0,10,22,7,11,6,9,9,9,6,3,93,76,28,51,50,17,35,37,91,47,437,1626,1963,1762,1237,771,546,493,928,133,9465
Cardinia (S),21450,183,47,572,250,253,215,129,175,19,1836,3,3,3,0,0,0,6,3,0,23,48,67,47,54,57,23,42,25,17,383,103,47,194,92,76,84,104,114,109,909,3434,5933,6293,3506,3509,1934,1661,1995,392,28669
Casey (C),21610,511,141,1666,742,614,582,369,578,46,5251,5,3,17,11,14,14,21,25,5,113,139,161,213,200,182,101,171,120,45,1335,178,172,490,252,292,227,320,381,402,2709,9689,18838,16548,11141,11576,5871,5871,6341,1388,87260
Central Goldfields (S),21670,15,0,83,23,10,30,5,28,3,207,0,0,0,0,0,0,0,0,0,4,4,5,4,6,8,0,7,3,0,41,27,5,24,13,7,17,8,33,9,153,330,454,555,403,198,158,123,266,38,2528
Colac-Otway (S),21750,50,7,151,46,27,28,27,92,0,425,6,0,0,3,0,0,0,4,0,14,18,6,6,13,8,3,4,15,4,80,47,9,42,26,8,21,19,67,35,274,952,1075,969,835,486,299,311,701,93,5726
Corangamite (S),21830,52,8,96,21,24,18,9,44,0,273,3,0,0,0,0,0,0,0,0,3,21,8,4,5,5,3,8,3,3,51,52,13,21,22,12,8,18,48,19,210,1029,762,641,443,255,166,199,434,60,4001
Darebin (C),21890,234,83,932,341,237,205,78,201,24,2342,10,3,5,9,7,3,8,23,0,66,164,374,100,113,180,73,39,49,31,1133,104,160,163,103,106,105,72,140,185,1137,7015,20170,5908,5134,6105,3175,1364,2553,745,52171
East Gippsland (S),22110,106,14,288,123,92,95,17,113,5,857,0,0,0,0,0,0,0,6,3,8,27,37,13,25,14,3,13,13,3,152,72,21,67,56,35,57,52,86,43,494,1552,2316,1919,1570,1052,642,493,955,164,10652
Frankston (C),22170,235,77,880,376,324,294,121,254,18,2569,5,3,5,7,8,3,3,13,3,41,92,109,77,83,88,33,47,36,22,596,99,95,208,148,113,121,125,169,165,1238,4742,9352,8418,5512,4961,2836,1906,2556,619,40897
Gannawarra (S),22250,24,3,55,20,20,24,7,26,3,178,0,0,0,0,0,0,0,0,0,3,8,0,3,3,3,3,3,0,0,22,43,10,26,9,10,12,15,36,9,164,572,466,405,277,224,126,121,247,24,2471
Greater Shepparton (C),22830,125,18,369,137,115,125,45,134,8,1082,3,3,3,0,0,3,0,10,0,28,30,39,30,16,24,13,14,29,3,188,86,50,101,58,47,68,63,125,86,684,2249,4260,2778,2061,1604,881,687,1380,223,16124
Hepburn (S),22910,49,11,113,39,27,18,16,38,3,306,0,0,0,0,0,0,0,3,0,4,16,19,3,12,10,7,0,12,0,79,22,21,25,13,14,6,16,32,16,172,728,1128,745,573,431,201,155,349,73,4373
Hindmarsh (S),22980,16,0,26,11,9,3,7,17,0,92,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,8,8,3,3,3,3,3,5,13,7,52,274,280,190,173,123,42,78,130,12,1311
Hobsons Bay (C),23110,144,47,426,216,181,140,69,113,19,1349,4,4,9,3,3,0,0,9,4,29,79,124,44,46,94,30,27,20,13,473,70,63,107,77,86,50,70,78,116,726,4620,9547,4084,2718,3648,1619,1141,1383,478,29235
Horsham (RC),23190,44,14,137,54,45,54,16,34,0,403,0,0,0,0,0,0,0,3,0,8,7,5,7,13,6,7,3,5,4,51,29,6,42,15,16,21,11,28,21,187,900,1455,972,736,607,344,232,312,78,5627
Hume (C),23270,267,58,1012,457,369,361,295,330,32,3179,4,8,11,8,7,4,17,19,4,77,76,116,107,131,108,59,115,72,26,812,131,108,294,213,181,159,216,218,222,1742,5094,10324,9000,6938,6486,3281,3713,3485,845,49151
Indigo (S),23350,48,10,116,23,26,31,13,60,3,329,0,0,0,0,0,0,3,0,0,10,13,15,7,9,14,3,0,9,3,63,29,25,27,19,25,15,26,23,22,212,855,1346,849,591,500,256,234,392,78,5095
Kingston (C) (Vic.),23430,307,112,903,369,310,288,118,173,32,2612,4,7,9,3,10,4,3,14,0,53,146,184,88,96,137,71,52,55,26,859,118,105,168,109,146,115,72,103,185,1120,7814,16432,7751,5073,6758,3410,1533,2146,737,51650
Knox (C),23670,278,84,903,380,367,332,111,218,28,2705,3,6,7,8,0,4,4,12,0,46,105,119,91,81,109,56,37,43,17,662,110,100,188,93,124,117,96,112,201,1133,6740,14696,8964,5572,7005,3498,1829,2475,729,51508
Latrobe (C) (Vic.),23810,80,28,394,159,157,141,46,145,14,1167,0,0,3,3,0,3,0,8,0,21,33,34,33,21,39,13,15,20,15,224,62,44,132,91,62,57,66,135,83,737,1858,4166,4252,2555,2127,989,1085,1378,331,18734
Loddon (S),23940,16,0,20,9,12,6,0,19,0,83,0,0,0,0,0,0,0,0,0,0,4,4,3,0,3,0,0,0,0,22,24,3,10,14,7,5,7,20,10,103,553,276,175,169,130,62,90,179,27,1661
Macedon Ranges (S),24130,79,24,234,95,76,68,28,74,3,684,3,0,0,0,0,0,0,7,0,15,62,84,27,54,46,11,12,18,4,309,41,63,91,53,50,45,26,70,42,473,2384,4454,2741,1753,1588,734,510,790,184,15142
Manningham (C),24210,222,56,536,230,178,210,41,113,18,1607,8,4,6,11,10,10,3,13,3,58,99,133,46,51,115,56,26,23,14,562,101,97,102,72,78,77,43,57,139,760,6748,13847,4146,3074,4870,2759,676,1248,588,37946
Mansfield (S),24250,30,3,61,27,16,32,6,26,0,204,0,0,0,0,0,0,0,0,0,4,6,13,4,4,3,0,0,6,0,38,11,3,21,5,9,11,5,13,10,105,444,533,499,303,234,153,106,236,41,2544
Maribyrnong (C),24330,177,52,567,271,129,158,61,133,15,1571,0,3,7,5,8,0,4,14,3,40,105,179,50,72,115,54,37,37,13,657,63,81,74,68,42,47,48,90,104,613,4472,11108,3153,3047,3598,1987,1014,1775,466,30630
Maroondah (C),24410,213,67,646,258,239,223,65,151,17,1881,3,0,8,4,3,4,3,19,0,45,80,150,62,82,92,34,24,35,21,576,75,83,134,69,83,82,46,83,121,776,5186,11894,6276,4242,4907,2316,1002,1643,468,37931
Melbourne (C),24600,266,82,1045,457,183,174,15,136,19,2378,8,13,15,25,7,17,0,13,5,103,184,306,42,89,134,85,18,46,31,934,100,159,90,115,70,41,22,84,132,816,7666,23825,3623,4665,5577,3244,516,2066,796,51965
Melton (C),24650,248,47,697,354,294,250,186,236,35,2342,4,0,4,0,9,4,11,4,6,48,66,78,69,83,103,40,82,45,23,593,100,72,208,127,137,127,171,165,170,1283,4172,8050,6754,4707,5432,2448,2684,2372,658,37274
Mildura (RC),24780,126,18,307,119,97,109,32,112,12,934,10,0,3,0,3,4,5,3,0,27,18,27,13,22,13,8,13,12,9,143,61,46,94,63,47,74,72,105,71,632,1839,3292,2267,1818,1329,854,632,1031,235,13297
Mitchell (S),24850,72,11,231,97,86,83,42,67,10,706,0,3,0,3,4,3,0,3,0,18,43,21,20,32,25,6,24,22,5,201,52,38,116,48,70,36,67,80,40,546,1433,2061,2490,1567,1339,619,751,843,172,11285
Moira (S),24900,79,9,166,70,44,50,35,93,11,558,0,0,0,4,0,0,0,3,0,15,15,7,7,9,0,3,8,11,3,76,57,18,59,46,16,42,35,88,36,387,1235,1300,1225,856,587,344,393,804,111,6859
Monash (C),24970,284,76,890,325,268,229,99,219,21,2411,17,5,11,5,8,10,4,17,3,81,149,214,87,94,161,72,29,54,31,890,107,145,142,92,110,86,69,92,200,1044,8736,22640,6440,4938,7832,3928,1488,2653,930,59581
Sydney (C),17200,592,166,1756,703,276,260,55,207,50,4068,25,17,32,60,7,25,10,48,9,227,342,619,102,158,199,119,37,71,51,1691,184,295,184,215,122,121,46,170,336,1673,16548,40493,7308,7764,9625,5864,984,3508,1531,93619
Tamworth Regional (A),17310,121,22,331,154,81,82,54,125,9,986,8,3,3,0,3,0,0,10,0,22,29,29,23,11,22,14,24,18,3,178,56,52,109,61,74,57,67,150,73,699,2178,4232,2915,1962,1924,918,785,1363,230,16507
Temora (A),17350,14,0,34,12,5,11,3,8,0,88,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,8,18,3,4,5,10,10,0,6,3,60,312,328,259,163,148,83,66,90,13,1471
Tenterfield (A),17400,10,3,25,12,7,16,6,21,0,97,0,0,0,0,0,0,0,0,0,0,9,4,0,3,0,0,0,4,0,14,15,3,3,11,5,3,7,15,9,79,294,248,203,177,137,66,81,160,34,1394
Golden Plains (S),22490,43,4,110,58,36,41,18,36,4,348,3,0,0,0,4,0,0,0,0,10,12,21,17,9,8,5,11,3,0,92,37,26,59,25,26,24,19,40,33,281,959,1474,1481,831,730,333,362,497,110,6787
Greater Bendigo (C),22620,158,52,724,286,202,218,70,225,16,1953,0,6,5,0,3,4,7,14,0,38,56,97,52,49,45,29,31,35,8,401,119,80,161,116,95,96,77,158,93,991,3702,9112,5619,4184,3372,1822,1302,2182,395,31691
Greater Dandenong (C),22670,197,32,985,372,195,205,226,364,32,2620,3,5,21,12,6,8,21,37,8,121,54,72,77,72,68,49,95,92,22,592,64,66,221,146,105,100,192,246,246,1391,2940,7412,6020,4645,4465,2526,3001,3760,720,35490
Greater Geelong (C),22750,373,116,1510,661,398,419,181,396,49,4116,7,13,10,12,6,6,8,14,0,78,121,230,118,148,140,61,76,71,27,994,158,151,323,216,154,186,198,293,253,1938,8028,20109,12161,9485,7459,4239,2731,4239,1016,69461
Moonee Valley (C),25060,192,83,543,273,222,163,54,116,21,1674,6,9,5,4,9,5,8,7,3,53,128,211,48,91,154,56,30,36,18,774,113,120,106,88,117,73,46,85,131,875,6779,15687,4653,3598,5391,2433,959,1493,651,41638
Moorabool (S),25150,55,15,129,54,59,47,31,40,3,431,0,0,0,0,3,0,3,0,0,7,19,28,20,21,18,9,21,10,5,145,36,21,54,33,35,24,27,48,28,309,1254,2138,1829,1106,1114,462,578,564,159,9208
Moreland (C),25250,262,85,1028,369,270,256,112,192,23,2605,0,6,11,9,14,13,11,27,8,97,198,436,107,145,209,109,46,52,39,1355,115,220,197,130,141,88,76,105,240,1316,7633,23360,7177,5764,7012,3413,1658,2691,924,59642
Mornington Peninsula (S),25340,344,84,1003,460,295,290,80,247,25,2829,0,11,11,9,4,3,3,13,0,56,102,129,63,82,84,46,28,38,16,592,133,140,254,145,125,149,80,156,153,1319,6759,11600,9057,5518,4593,2980,1245,2517,604,44864
Mount Alexander (S),25430,24,9,85,37,13,17,4,35,3,226,0,0,0,0,0,0,0,3,0,3,18,41,6,11,12,3,3,3,3,97,32,17,22,23,21,14,23,30,9,190,772,1682,809,655,433,233,174,380,71,5210
Moyne (S),25490,59,3,117,41,21,28,8,44,3,321,3,4,0,0,0,0,0,0,0,12,13,8,10,8,4,0,11,8,0,66,66,12,36,13,11,16,11,35,15,227,1197,1026,735,534,372,205,193,458,81,4808
Strathfield (A),17100,57,21,213,102,46,59,24,44,6,591,3,0,11,3,0,8,4,7,0,30,19,53,15,20,40,18,14,12,10,192,37,31,23,22,37,24,12,42,57,284,1793,5796,1390,1116,1907,1027,460,706,305,14509
Sutherland Shire (A),17150,427,113,1121,575,591,401,146,201,25,3602,7,19,4,8,11,11,6,13,5,80,142,217,77,90,155,60,63,36,31,876,178,186,197,155,229,160,63,91,293,1549,13381,24773,12216,7712,11581,4854,2084,2583,1184,80373
Glen Eira (C),22310,272,84,821,306,223,216,46,135,19,2124,9,9,4,11,4,3,0,10,3,40,166,309,60,82,154,88,21,45,18,939,106,162,96,57,86,98,24,54,158,847,9408,22371,4899,4289,6475,3443,818,1619,801,54115
Glenelg (S),22410,34,11,105,40,34,34,18,49,3,331,0,0,0,0,0,0,0,5,0,7,6,7,3,5,10,0,7,3,3,49,37,15,26,20,16,17,49,43,24,251,727,1026,927,652,418,191,422,445,74,4881
Murrindindi (S),25620,35,4,86,30,22,21,13,36,3,250,3,0,0,0,0,0,0,0,0,6,19,9,6,14,3,0,3,3,3,68,36,15,40,19,13,10,29,29,19,206,634,761,806,548,380,172,195,320,72,3884
Nillumbik (S),25710,114,34,280,144,133,88,24,43,11,868,4,0,0,0,6,0,0,0,0,14,70,78,27,56,63,22,7,15,6,341,71,34,76,39,52,49,13,26,54,425,3925,7757,3697,2233,2713,1144,464,719,277,22922
Northern Grampians (S),25810,40,0,66,30,9,18,9,30,0,199,0,0,0,0,0,0,0,0,0,3,3,5,0,7,3,0,3,7,0,22,22,13,20,16,11,18,4,35,17,149,554,544,421,506,200,145,123,299,39,2825
Port Phillip (C),25900,318,90,716,298,207,161,21,78,19,1911,9,11,0,3,5,4,0,0,0,44,216,312,42,78,144,65,11,20,39,933,105,154,73,51,74,64,20,29,134,695,9221,20060,3650,3466,5040,2762,437,1072,704,46412
Pyrenees (S),25990,12,0,33,14,11,8,3,11,0,85,0,0,0,0,0,0,0,0,0,0,6,3,0,6,0,3,0,0,0,14,11,3,12,8,7,0,14,10,8,68,363,273,239,217,141,58,100,141,25,1560
Queenscliffe (B),26080,5,0,17,4,0,0,0,3,0,30,0,0,0,0,0,3,0,0,0,4,3,3,0,0,9,0,0,0,0,18,3,0,0,0,0,0,0,0,3,17,131,314,90,65,81,39,12,30,20,785
South Gippsland (S),26170,59,13,171,46,39,49,25,68,4,477,3,4,3,0,0,4,0,3,0,17,22,18,18,9,11,6,12,8,8,110,79,23,62,24,25,39,34,66,34,390,1455,1512,1425,868,679,405,454,660,109,7578
Southern Grampians (S),26260,33,8,105,53,29,27,9,34,0,310,0,0,0,0,0,0,0,3,0,6,12,10,11,12,9,3,5,9,0,53,50,13,23,20,11,16,12,19,24,186,1006,1054,748,559,421,259,187,331,59,4617
Stonnington (C),26350,268,80,556,270,171,129,16,60,9,1558,7,8,0,8,3,3,0,11,0,42,191,293,49,71,151,92,7,24,30,902,81,119,42,59,75,65,17,30,109,602,8793,20923,2786,2854,5033,3090,324,907,705,45421
Strathbogie (S),26430,40,3,57,22,21,12,6,20,3,188,0,3,0,0,0,0,0,0,0,7,8,4,4,8,4,0,7,3,0,42,19,14,13,6,7,4,9,31,18,121,574,579,461,317,231,108,116,286,50,2730
Surf Coast (S),26490,63,21,185,64,51,61,6,42,4,491,0,3,0,0,0,3,0,0,0,9,22,38,18,27,16,17,9,6,7,162,37,30,43,18,23,20,8,23,34,245,1740,3323,1687,1074,972,600,235,486,153,10263
Swan Hill (RC),26610,49,14,123,37,34,40,8,45,10,350,4,0,0,0,6,0,0,9,0,18,13,11,9,5,3,0,3,5,0,47,42,19,32,20,14,22,22,63,29,261,836,1094,837,578,422,276,213,443,89,4782
Towong (S),26670,19,0,40,9,8,8,5,12,0,106,0,0,0,0,0,0,0,0,0,3,3,4,3,3,3,0,3,0,0,22,20,5,20,11,4,4,7,12,12,97,400,352,308,180,154,68,91,146,31,1728
Wangaratta (RC),26700,64,7,196,83,46,77,16,45,4,551,4,4,0,0,0,0,0,9,0,18,20,18,15,14,15,3,7,11,0,97,35,15,40,29,10,23,41,41,27,257,1216,2107,1409,1149,811,466,374,555,99,8191
Warrnambool (C),26730,76,16,301,108,62,92,24,85,4,770,0,4,4,0,0,0,0,5,0,21,21,25,13,15,13,4,14,16,3,128,30,18,47,36,26,18,27,58,34,291,1057,2761,1760,1286,975,618,362,712,111,9640
Wellington (S),26810,103,13,273,102,60,66,36,83,7,743,3,0,0,0,0,0,0,6,0,10,29,23,23,13,7,4,10,12,10,137,82,28,63,38,38,44,46,76,43,455,1781,2596,2357,1449,975,510,580,848,169,11270
West Wimmera (S),26890,9,0,16,3,3,6,0,12,0,52,0,0,0,0,0,0,0,0,0,0,3,4,0,4,3,0,0,0,0,10,9,4,0,4,0,4,6,12,6,41,344,207,93,115,69,36,45,110,10,1033
Whitehorse (C),26980,257,62,717,317,202,190,57,149,11,1963,15,4,14,11,10,4,0,14,3,72,165,235,61,84,156,76,16,44,31,889,99,143,113,84,93,83,41,80,154,884,8439,22046,5750,4895,7079,3532,1063,2084,757,55639
Whittlesea (C),27070,357,89,1322,569,484,447,275,334,38,3905,3,3,10,8,14,14,22,27,7,110,104,117,121,129,139,82,142,98,29,965,126,120,331,231,218,210,220,261,240,1947,5840,13029,10179,7511,7444,4148,3434,3740,913,56235
Wodonga (C),27170,67,20,266,127,75,86,55,89,3,791,0,3,3,0,3,0,5,5,0,18,27,17,19,26,24,9,17,10,0,156,27,14,57,50,35,36,45,56,59,382,1319,2728,2234,1765,1420,753,639,755,181,11794
Wyndham (C),27260,403,130,1225,590,437,412,418,380,40,4022,12,5,10,18,8,8,14,27,3,107,105,176,121,193,163,87,178,98,36,1158,123,124,247,171,193,139,287,200,291,1778,7758,16736,9753,8268,9319,4496,4946,4111,1119,66508
Yarra (C),27350,192,56,540,255,137,128,15,49,8,1372,7,4,3,7,3,3,0,3,3,29,191,382,39,103,133,64,8,22,40,981,62,141,47,69,61,42,18,34,102,570,7108,20392,2798,3011,4013,2225,370,827,594,41343
Yarra Ranges (S),27450,299,76,904,413,345,307,92,227,22,2689,4,8,8,9,0,3,0,10,0,54,132,136,85,110,112,40,47,36,21,713,151,104,274,154,120,100,118,158,193,1376,6739,11973,10531,6073,5564,2735,1802,2859,724,48992
Yarriambiack (S),27630,16,0,18,14,5,3,0,11,0,77,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,9,23,3,12,11,0,4,4,6,7,71,388,324,210,252,117,53,63,110,22,1536
Unincorporated Vic,29399,4,0,9,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,3,3,12,63,36,35,37,13,15,19,32,9,270
No usual address (Vic.),29499,9,3,34,8,3,3,4,6,0,75,0,0,0,0,0,0,0,0,0,0,3,4,5,7,3,3,0,6,0,34,4,5,15,4,0,0,9,14,15,66,132,367,223,181,112,65,72,142,34,1337
Migratory - Offshore - Shipping (Vic.),29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
Aurukun (S),30250,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,0,4,3,0,23,16,28,25,32,12,3,4,15,4,142
Balonne (S),30300,11,0,17,16,9,3,4,12,0,73,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,14,7,0,9,3,0,13,5,10,10,56,280,231,153,122,106,65,50,113,15,1143
Banana (S),30370,29,5,72,33,28,27,25,40,0,259,0,0,0,0,0,3,0,3,0,11,8,0,4,0,0,0,7,3,3,33,34,4,20,12,11,8,30,42,18,179,629,655,916,294,346,130,369,345,54,3740
Barcaldine (R),30410,4,0,4,8,3,0,6,6,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,8,0,6,3,3,3,0,6,3,35,151,145,101,89,72,23,39,81,12,717
Barcoo (S),30450,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,13,12,11,3,11,0,5,6,0,71
Blackall-Tambo (R),30760,3,0,9,0,5,3,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,8,0,4,3,3,7,0,36,120,76,61,63,48,27,22,46,9,476
Longreach (R),34710,13,0,23,18,12,3,3,10,0,81,0,0,0,0,0,0,0,0,0,8,3,0,0,3,3,0,0,0,0,15,17,5,9,9,4,7,0,11,12,65,224,276,173,133,124,51,39,84,17,1120
