lga_name_2016,lga_code_2016,one_method_train_m,one_method_train_f,one_method_train_p,one_method_bus_m,one_method_bus_f,one_method_bus_p,one_method_ferry_m,one_method_ferry_f,one_method_ferry_p,one_met_tram_incl_lt_rail_m,one_met_tram_incl_lt_rail_f,one_met_tram_incl_lt_rail_p,one_method_taxi_m,one_method_taxi_f,one_method_taxi_p,one_method_car_as_driver_m,one_method_car_as_driver_f,one_method_car_as_driver_p,one_method_car_as_passenger_m,one_method_car_as_passenger_f,one_method_car_as_passenger_p,one_method_truck_m,one_method_truck_f,one_method_truck_p,one_method_motorbike_scootr_m,one_method_motorbike_scootr_f,one_method_motorbike_scootr_p,one_method_bicycle_m,one_method_bicycle_f,one_method_bicycle_p,one_method_other_m,one_method_other_f,one_method_other_p,one_method_walked_only_m,one_method_walked_only_f,one_method_walked_only_p,one_method_tot_one_method_m,one_method_tot_one_method_f,one_method_tot_one_method_p,two_methods_train_bus_m,two_methods_train_bus_f,two_methods_train_bus_p,two_methods_train_ferry_m,two_methods_train_ferry_f,two_methods_train_ferry_p,two_mt_trn_trm_incl_lt_rl_m,two_mt_trn_trm_incl_lt_rl_f,two_mt_trn_trm_incl_lt_rl_p,two_methods_trn_car_as_drvr_m,two_methods_trn_car_as_drvr_f,two_methods_trn_car_as_drvr_p,two_methods_trn_car_as_pass_m,two_methods_trn_car_as_pass_f,two_methods_trn_car_as_pass_p,two_methods_train_other_m,two_methods_train_other_f,two_methods_train_other_p,two_methods_train_tot_m,two_methods_train_tot_f,two_methods_train_tot_p,two_methods_bus_ferry_m,two_methods_bus_ferry_f,two_methods_bus_ferry_p,two_mth_bu_trm_inc_lt_rl_m,two_mth_bu_trm_inc_lt_rl_f,two_mth_bu_trm_inc_lt_rl_p,two_methods_bus_car_as_drvr_m,two_methods_bus_car_as_drvr_f,two_methods_bus_car_as_drvr_p,two_methods_bus_car_as_pass_m,two_methods_bus_car_as_pass_f,two_methods_bus_car_as_pass_p,two_methods_bus_other_m,two_methods_bus_other_f,two_methods_bus_other_p,two_methods_bus_tot_m,two_methods_bus_tot_f,two_methods_bus_tot_p,two_methds_othr_two_methds_m,two_methds_othr_two_methds_f,two_methds_othr_two_methds_p,two_methods_tot_two_methods_m,two_methods_tot_two_methods_f,two_methods_tot_two_methods_p,three_meth_trn_two_othr_met_m,three_meth_trn_two_othr_met_f,three_meth_trn_two_othr_met_p,three_met_bs_2_ot_met_ex_tr_m,three_met_bs_2_ot_met_ex_tr_f,three_met_bs_2_ot_met_ex_tr_p,three_meth_othr_three_meth_m,three_meth_othr_three_meth_f,three_meth_othr_three_meth_p,three_meth_tot_three_meth_m,three_meth_tot_three_meth_f,three_meth_tot_three_meth_p,worked_home_m,worked_home_f,worked_home_p,did_not_go_to_work_m,did_not_go_to_work_f,did_not_go_to_work_p,method_travel_to_work_ns_m,method_travel_to_work_ns_f,method_travel_to_work_ns_p,tot_m,tot_f,tot_p
Ballarat (C),20570,335,201,532,157,216,370,10,0,12,0,11,8,58,47,107,16557,14700,31259,1042,1226,2268,220,4,221,81,7,92,249,53,303,115,49,166,688,634,1317,19518,17154,36672,10,11,23,0,0,0,18,13,37,102,58,166,12,11,24,22,4,30,172,108,278,0,0,0,0,0,0,7,12,16,13,34,46,4,3,8,25,39,68,135,88,219,331,235,568,60,60,115,10,10,14,9,0,9,71,64,137,749,975,1719,1783,3399,5186,227,203,433,22687,22028,44716
Banyule (C),20660,3248,2635,5883,394,439,831,8,6,15,52,81,126,65,36,103,18994,16236,35231,744,1228,1971,256,4,265,202,38,237,541,96,640,171,87,258,669,685,1350,25341,21571,46915,348,229,575,0,0,0,209,195,402,524,440,967,95,140,236,82,31,111,1259,1026,2288,0,0,0,27,31,62,20,5,25,12,25,40,3,3,11,64,71,139,190,121,313,1516,1225,2741,263,266,525,8,9,15,12,10,21,276,281,559,1082,1441,2518,1951,3763,5716,247,221,466,30404,28505,58915
Bass Coast (S),20740,17,7,26,31,16,52,0,0,0,9,0,15,4,4,11,4447,3807,8251,246,248,496,94,3,99,24,6,34,74,27,93,46,24,73,241,245,486,5245,4382,9629,0,0,3,0,0,0,0,0,0,14,3,21,0,0,0,0,0,0,21,4,20,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10,0,10,39,13,54,65,16,77,3,3,9,3,0,3,3,0,3,10,3,14,396,479,879,644,1092,1737,119,81,203,6481,6064,12537
Baw Baw (S),20830,161,118,278,43,16,63,0,0,3,4,5,5,17,7,24,7846,6572,14423,443,462,908,215,5,217,53,14,67,31,11,43,85,39,127,353,267,619,9250,7524,16772,13,12,25,0,0,0,10,4,8,48,34,77,9,12,22,6,4,9,90,63,146,0,0,0,0,0,0,6,3,6,3,4,4,0,0,4,9,9,21,83,29,114,177,96,280,36,30,63,0,0,0,3,0,3,41,30,67,763,756,1514,859,1500,2357,127,136,266,11218,10034,21255
Bayside (C),20910,2803,2199,4999,126,148,272,3,0,8,57,40,98,43,35,84,14199,12288,26489,458,850,1309,96,0,96,144,20,159,570,140,704,184,91,271,465,582,1047,19152,16387,35536,279,159,442,0,0,0,157,177,332,376,308,685,62,80,146,100,41,139,983,754,1746,0,0,0,3,7,8,5,7,13,9,13,23,3,3,4,26,25,48,162,120,279,1171,903,2077,164,157,318,5,0,9,21,9,28,187,166,354,1560,2052,3616,1482,2621,4105,155,154,309,23704,22283,45993
Benalla (RC),21010,3,3,4,6,8,11,3,4,3,0,5,5,6,0,6,2026,1738,3763,127,125,250,61,7,68,15,0,14,31,16,44,36,9,38,121,135,252,2432,2037,4470,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,3,3,18,7,22,19,12,35,0,0,0,0,0,0,0,0,4,4,0,3,210,207,416,234,415,649,31,52,83,2926,2728,5659
Boroondara (C),21110,4585,3824,8409,761,736,1499,7,0,7,1742,1985,3732,106,57,160,22926,19871,42800,856,1742,2597,123,7,126,274,34,305,1284,291,1579,256,156,414,1375,1562,2942,34292,30274,64566,196,195,394,0,0,0,691,659,1346,366,305,669,68,99,174,101,54,154,1426,1316,2738,0,0,0,139,138,278,28,37,65,16,23,40,14,3,18,202,202,403,369,272,640,1991,1788,3779,281,248,536,24,18,48,19,16,37,332,281,617,2411,2915,5325,2681,4762,7443,241,278,524,41955,40305,82260
Brimbank (C),21180,2992,3297,6284,308,416,727,8,8,16,16,45,60,181,45,229,32157,20921,53075,1826,2576,4400,514,13,525,170,10,183,190,49,232,272,116,390,320,404,724,38943,27893,66843,473,549,1025,0,0,0,161,188,351,620,529,1148,91,209,302,42,16,58,1393,1492,2888,0,0,0,6,3,5,45,22,64,19,37,60,9,7,17,74,79,149,305,164,466,1770,1732,3501,365,487,859,5,9,13,5,3,13,377,501,878,614,1090,1708,2355,3567,5920,683,500,1180,44742,35291,80034
Buloke (S),21270,0,0,4,3,0,4,0,0,0,0,0,0,0,0,4,793,603,1395,37,41,77,36,3,33,5,0,5,14,5,23,44,5,52,138,151,297,1077,814,1892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,8,3,9,0,0,0,0,0,0,0,0,0,0,0,0,188,137,327,83,146,229,14,13,27,1369,1115,2486
Campaspe (S),21370,8,7,13,20,14,39,0,3,3,0,3,7,9,11,15,5748,4908,10652,316,314,630,143,7,148,97,21,119,82,32,117,77,27,104,412,376,789,6906,5716,12630,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,3,52,19,77,59,21,87,3,0,3,0,0,0,0,0,0,7,0,7,654,567,1222,638,1125,1765,135,109,243,8401,7545,15950
Cardinia (S),21450,783,592,1377,67,62,125,4,0,7,4,5,13,24,12,36,17775,14109,31883,947,892,1837,520,15,533,121,9,132,57,21,79,116,84,198,297,290,585,20712,16092,36804,125,96,220,0,0,0,28,23,49,201,164,363,30,38,68,32,4,35,411,327,741,0,0,0,0,0,0,8,5,16,11,6,20,0,0,0,24,15,39,166,61,229,605,399,1009,112,106,217,3,3,6,8,6,14,126,115,244,839,1361,2203,1472,2766,4241,244,213,455,24000,20952,44955
Casey (C),21610,2986,2545,5534,381,531,907,24,10,33,15,14,27,142,52,196,56999,41779,98774,3080,3655,6735,1323,26,1348,321,21,344,136,23,158,449,201,652,493,544,1032,66356,49395,115751,493,484,978,0,0,0,72,86,158,996,597,1597,102,243,349,38,20,59,1707,1430,3136,0,0,0,0,0,0,44,30,77,46,81,126,11,4,12,97,118,215,526,241,765,2329,1790,4115,483,496,984,15,4,20,27,3,32,523,507,1031,1637,2983,4618,4009,7098,11105,749,541,1288,75599,62315,137913
Central Goldfields (S),21670,3,0,3,3,3,4,3,0,3,0,0,0,3,5,3,1602,1368,2969,98,121,216,33,0,36,6,4,7,21,11,31,16,4,18,135,82,214,1919,1593,3519,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,18,11,5,21,0,0,0,0,0,0,0,0,0,0,0,0,120,103,225,200,333,533,28,37,64,2290,2068,4352
Colac-Otway (S),21750,10,5,15,19,7,27,0,0,3,3,0,3,6,8,8,3418,2809,6224,197,226,425,66,0,66,35,5,39,77,18,99,41,14,61,294,247,544,4161,3348,7516,0,0,0,0,0,0,0,0,0,4,0,6,3,0,3,0,0,0,7,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,17,55,46,20,63,6,0,6,0,0,0,4,0,4,10,0,10,392,351,743,402,681,1085,66,66,131,5079,4471,9545
Corangamite (S),21830,3,8,7,12,4,15,3,0,3,0,0,0,6,0,6,2185,1837,4022,126,102,231,80,6,83,63,15,83,25,11,37,65,18,84,312,237,553,2889,2237,5127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,17,4,25,23,9,27,0,0,0,0,0,0,3,0,3,3,0,3,639,480,1121,258,504,758,75,51,127,3876,3282,7164
Darebin (C),21890,3984,4072,8061,465,564,1034,16,0,21,1406,2112,3517,105,51,153,19105,15934,35042,834,1378,2214,281,4,287,350,59,411,2112,1122,3231,194,114,309,738,890,1631,29594,26311,55910,389,378,765,0,0,0,497,526,1021,336,390,722,68,114,187,154,90,245,1446,1496,2940,0,0,0,142,236,379,14,22,34,15,35,52,11,17,25,182,305,493,320,348,666,1948,2157,4098,307,353,661,20,28,45,23,12,38,342,394,743,1114,1434,2548,2242,4124,6364,364,283,643,35606,34704,70311
East Gippsland (S),22110,14,7,22,41,23,71,3,0,8,4,0,5,17,10,21,5865,5312,11176,357,400,752,164,7,175,41,0,50,91,39,127,115,42,153,370,355,727,7085,6200,13287,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,3,0,4,75,51,126,74,60,132,4,0,6,4,0,3,4,0,11,14,3,23,549,595,1147,826,1327,2147,122,141,265,8681,8327,17003
Frankston (C),22170,846,673,1521,294,319,616,12,3,19,10,5,11,40,28,66,24779,20816,45597,1389,1382,2773,436,14,447,193,14,208,150,42,190,190,75,267,383,446,827,28727,23821,52547,187,135,321,0,0,0,31,21,47,369,243,605,50,67,114,32,6,36,659,468,1135,0,0,0,0,3,0,16,8,22,31,40,74,9,7,13,54,60,114,238,107,348,950,643,1591,137,132,267,7,0,3,4,3,5,145,136,282,857,1376,2239,2119,4044,6159,304,286,588,33101,30305,63406
Gannawarra (S),22250,0,0,0,5,3,5,0,0,3,0,0,0,0,4,3,1508,1212,2721,73,84,156,50,0,50,36,3,43,20,8,29,24,9,36,146,128,278,1878,1451,3327,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,8,18,10,10,18,0,0,0,0,0,0,0,0,0,0,0,0,278,239,518,167,287,448,45,39,80,2379,2023,4404
Greater Shepparton (C),22830,14,14,26,42,45,86,3,0,3,0,3,3,19,21,44,10399,8815,19217,660,908,1561,167,4,170,106,14,119,166,53,218,103,34,130,526,442,967,12211,10340,22553,0,0,0,0,0,0,4,0,3,4,3,3,3,0,3,0,0,0,11,9,17,0,0,0,0,0,0,3,0,4,3,8,11,9,0,9,11,11,19,90,38,126,112,54,161,0,3,5,0,0,0,5,0,7,7,3,13,659,652,1308,971,1623,2593,193,158,349,14146,12832,26976
Hepburn (S),22910,29,34,60,12,7,22,3,0,3,3,0,4,3,5,6,2101,1813,3916,91,113,206,52,0,50,14,3,18,7,4,11,24,13,41,143,130,266,2478,2124,4598,5,5,7,0,0,0,0,3,3,37,22,57,3,3,6,0,0,0,38,33,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,20,8,31,65,47,106,15,12,28,0,0,0,0,0,0,13,19,34,359,344,704,293,510,804,60,41,99,3269,3076,6346
Hindmarsh (S),22980,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,752,620,1377,54,42,95,28,5,28,0,0,0,11,3,9,21,3,25,127,88,216,992,766,1764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,7,4,10,4,0,4,0,0,0,0,0,0,4,0,4,153,112,268,77,150,222,18,15,31,1254,1043,2298
Hobsons Bay (C),23110,2274,2329,4598,186,206,395,3,3,13,6,12,22,64,25,89,14399,10927,25325,668,910,1576,169,4,174,189,24,215,461,102,559,141,74,215,297,353,655,18850,14975,33828,239,257,501,0,0,0,133,170,302,299,320,612,51,113,161,78,33,113,804,892,1696,0,0,0,10,11,22,13,10,25,11,19,26,4,7,14,37,45,82,189,98,280,1026,1033,2056,204,249,451,0,8,9,13,6,17,218,263,480,590,981,1571,1362,2295,3662,216,170,386,22262,19715,41978
Horsham (RC),23190,3,0,3,21,23,45,4,0,8,0,0,4,4,5,10,3350,2951,6294,203,219,423,59,0,61,15,8,19,57,19,80,58,11,63,248,190,436,4029,3421,7450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0,0,0,0,3,8,34,13,44,35,15,53,0,0,0,0,0,0,5,0,5,5,0,5,258,279,541,347,612,960,60,43,102,4731,4379,9111
Hume (C),23270,2077,2165,4245,325,344,677,9,3,10,28,45,74,197,43,241,32880,22894,55772,1851,2178,4029,730,14,747,158,20,183,112,12,126,313,125,435,329,345,676,39009,28201,67211,433,376,807,0,0,0,79,92,170,656,522,1175,86,145,233,37,7,43,1290,1144,2432,0,0,0,3,10,12,51,47,98,18,50,77,8,3,9,81,114,194,348,208,557,1717,1463,3187,296,341,640,3,10,12,11,3,18,306,361,669,679,1482,2159,2577,4244,6821,568,412,978,44863,36162,81025
Indigo (S),23350,7,4,12,20,8,33,3,0,3,0,0,3,3,0,4,2591,2433,5026,111,136,243,86,0,87,29,3,34,31,3,32,32,17,45,169,156,326,3076,2765,5838,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,22,10,34,28,15,40,0,3,3,0,0,0,0,0,0,4,3,4,296,274,565,357,579,938,52,53,105,3802,3689,7492
Kingston (C) (Vic.),23430,3283,2783,6066,309,394,700,13,4,12,12,15,29,67,35,103,26096,21986,48087,1039,1672,2713,370,13,381,234,10,247,459,89,545,222,126,345,554,682,1228,32661,27814,60468,373,344,722,0,0,0,148,121,276,603,518,1122,103,139,238,81,38,111,1311,1157,2469,0,0,0,0,3,3,21,13,33,20,46,61,7,0,6,46,61,105,247,137,381,1598,1350,2954,231,279,515,0,7,9,10,8,18,250,293,543,1316,1793,3105,2271,4252,6525,285,216,503,38381,35723,74103
Knox (C),23670,1534,1167,2700,380,391,773,7,3,15,13,14,29,49,33,74,29845,25131,54978,1330,1801,3132,470,9,475,205,13,220,199,30,234,199,101,298,387,387,780,34620,29078,63702,318,248,567,0,0,0,45,42,90,858,497,1353,86,160,247,26,7,33,1335,957,2288,0,0,0,4,3,10,26,24,50,41,52,91,3,3,6,70,91,162,271,154,426,1673,1200,2872,284,218,506,4,10,18,10,6,11,301,231,533,1107,1632,2734,2419,4554,6972,282,253,530,40404,36944,77348
Latrobe (C) (Vic.),23810,90,59,150,127,85,211,3,7,10,3,0,3,29,22,58,11463,10039,21502,716,706,1422,171,3,174,66,9,78,80,22,103,103,32,130,308,290,601,13173,11265,24437,8,10,17,0,0,0,3,0,3,20,12,30,12,11,19,12,0,12,45,34,82,0,0,0,0,0,0,3,5,11,14,10,24,4,8,5,16,25,43,108,42,146,166,97,267,26,17,36,0,4,4,0,0,0,25,15,44,327,443,765,1456,2171,3622,192,170,360,15336,14158,29490
Loddon (S),23940,0,4,0,0,3,3,0,0,0,0,0,0,0,0,0,851,697,1547,33,40,75,41,3,49,11,3,15,10,3,11,29,8,37,143,106,245,1128,867,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,10,4,16,0,0,0,0,0,0,4,0,4,4,0,4,297,214,512,86,171,263,26,27,54,1556,1280,2838
Macedon Ranges (S),24130,514,399,912,27,16,49,0,0,0,6,14,14,14,8,16,7614,6205,13825,367,416,780,192,3,200,21,3,24,38,10,44,67,43,111,259,232,488,9121,7347,16464,15,13,28,0,0,0,36,23,61,201,157,359,17,30,45,24,8,24,286,231,516,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,3,5,6,88,33,122,381,266,652,73,87,160,0,0,3,6,0,6,82,90,171,705,916,1622,973,1622,2592,121,116,235,11374,10360,21741
Manningham (C),24210,404,333,735,1994,1948,3937,0,4,4,14,20,35,43,22,62,18958,15022,33984,747,1513,2260,257,0,261,142,10,157,113,10,126,150,86,234,319,350,668,23153,19313,42468,296,192,490,0,0,0,15,13,28,269,126,393,31,40,70,8,0,8,623,374,994,0,0,0,143,115,256,123,140,264,53,74,124,7,9,13,327,339,664,187,137,329,1132,850,1982,164,138,301,44,40,82,11,3,16,214,183,397,1423,1655,3078,1635,2854,4496,223,177,398,27779,25037,52818
Mansfield (S),24250,3,0,3,26,20,42,0,0,0,0,0,0,0,3,3,1181,1060,2243,102,80,177,34,0,34,3,0,3,23,8,34,23,13,40,143,142,290,1531,1331,2863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,3,3,12,4,13,11,8,23,0,0,0,0,0,0,0,0,0,0,0,3,165,188,359,195,276,473,32,31,59,1944,1834,3781
Maribyrnong (C),24330,2911,2864,5781,402,547,947,12,7,12,133,218,356,70,36,106,12010,8672,20683,524,1031,1556,95,0,100,273,48,317,859,304,1163,126,65,194,562,649,1218,17981,14445,32429,578,541,1119,3,0,3,398,421,817,281,267,543,44,103,148,106,61,164,1408,1388,2795,0,0,0,38,44,81,16,16,31,11,24,31,4,3,10,61,83,148,163,140,303,1632,1612,3247,400,368,767,5,7,18,13,7,22,424,381,806,550,761,1315,1349,2168,3512,198,141,340,22133,19511,41648
Maroondah (C),24410,1963,1513,3472,225,214,434,8,4,14,5,10,13,36,25,64,19604,16977,36580,918,1115,2033,317,8,326,143,15,155,172,28,193,131,42,176,377,338,719,23898,20281,44177,336,259,591,0,0,0,83,67,144,597,403,1006,71,128,197,53,14,69,1143,860,2011,0,0,0,0,3,3,22,18,42,12,23,38,0,5,8,37,52,81,163,87,251,1347,1005,2348,222,231,447,3,5,10,11,3,17,235,240,475,905,1247,2153,1829,3544,5373,235,179,412,28447,26490,54940
Melbourne (C),24600,2408,2435,4841,389,473,863,10,4,16,5598,6099,11700,135,119,254,7764,5716,13476,388,776,1165,37,3,40,265,47,315,1644,874,2514,275,153,429,9056,8021,17074,27970,24715,52687,258,240,504,0,0,0,628,669,1298,57,50,113,22,39,61,98,49,148,1071,1046,2117,0,0,4,72,117,186,11,7,16,0,4,11,10,11,25,101,144,240,344,305,648,1516,1494,3007,257,286,534,17,11,30,21,30,49,294,325,617,1370,1277,2651,2237,3426,5656,275,260,536,33655,31495,65156
Melton (C),24650,1465,1597,3059,155,217,367,9,4,15,8,15,27,69,20,83,24080,17787,41869,1305,1629,2931,525,7,530,126,6,140,43,32,69,198,94,292,219,244,462,28202,21651,49853,231,218,454,0,0,0,52,59,111,567,483,1045,56,128,185,25,9,37,934,900,1834,0,0,0,0,0,0,22,19,36,21,32,55,3,4,9,45,49,94,242,122,361,1216,1072,2295,250,298,546,3,3,4,15,3,19,267,304,568,549,1093,1642,1844,3241,5082,316,266,588,32402,27631,60028
Mildura (RC),24780,4,3,9,78,39,119,7,0,6,4,0,3,13,13,24,8430,7511,15945,657,749,1406,150,5,159,76,8,86,93,32,128,102,42,148,460,382,841,10087,8778,18864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,4,11,15,0,0,0,7,13,17,47,46,90,56,51,115,0,0,0,0,0,0,12,3,17,14,3,21,525,556,1082,810,1304,2111,181,135,312,11669,10835,22501
Mitchell (S),24850,257,266,523,21,18,40,0,0,0,0,4,4,4,5,7,7211,5480,12693,420,359,780,213,3,218,31,3,36,45,0,52,45,27,76,318,189,512,8575,6356,14933,17,17,36,0,0,0,3,11,19,97,86,182,17,20,32,5,0,7,145,129,275,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,4,3,9,77,27,105,225,162,385,49,40,93,0,0,0,3,0,3,50,40,94,313,458,773,745,1229,1972,144,106,246,10052,8355,18406
Moira (S),24900,0,0,6,16,14,28,0,0,0,0,0,0,3,4,3,4122,3476,7600,269,250,520,105,5,107,65,12,74,79,24,104,54,34,93,320,289,613,5044,4113,9159,0,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,3,0,5,35,23,60,43,24,68,0,0,3,0,0,0,4,0,4,5,0,8,551,456,1012,547,836,1389,93,84,178,6281,5522,11806
Monash (C),24970,4193,3243,7432,580,860,1441,15,0,17,50,40,95,90,38,128,27009,21585,48594,1169,2015,3183,285,5,291,222,16,234,499,97,595,262,126,382,914,945,1861,35289,28975,64262,707,555,1258,0,0,0,245,238,478,919,605,1519,99,197,302,91,31,122,2056,1622,3677,0,0,0,14,19,37,31,19,46,36,78,113,18,13,28,95,126,225,252,178,427,2403,1930,4331,522,468,991,14,13,25,11,0,12,547,481,1028,1634,1834,3467,2531,4137,6667,338,274,610,42741,37635,80373
Sutherland Shire (A),17150,6510,6428,12937,246,291,537,8,5,18,5,8,10,60,61,121,37217,30998,68215,1552,2096,3651,1008,12,1029,436,23,459,349,74,419,297,144,447,980,1423,2410,48664,41577,90241,649,610,1257,10,9,26,23,23,41,1529,1325,2855,178,392,572,103,38,145,2497,2395,4894,0,0,0,0,0,4,17,30,47,14,26,41,3,9,15,38,61,106,370,192,563,2910,2652,5564,254,236,492,0,5,5,16,3,21,267,251,516,1953,3155,5107,3825,6699,10519,443,373,816,58058,54707,112765
Sydney (C),17200,10676,9112,19793,6671,7764,14433,42,30,81,338,367,705,564,477,1039,14096,9249,23343,966,1614,2582,144,3,146,1198,230,1425,2541,964,3501,788,388,1180,14983,13137,28120,53015,43328,96346,2074,2052,4123,33,21,57,112,128,243,146,82,225,70,80,149,262,171,442,2697,2543,5241,7,18,23,54,82,135,47,62,111,37,77,112,140,137,274,278,377,660,309,174,489,3291,3098,6390,368,307,676,45,48,93,30,15,46,442,374,819,2492,2342,4828,3318,4509,7827,567,476,1037,63126,54123,117252
Tamworth Regional (A),17310,6,3,11,56,46,104,4,3,10,0,0,0,29,16,39,9531,8830,18360,711,752,1455,428,11,438,165,16,181,75,14,87,98,43,139,491,396,882,11590,10122,21717,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,7,4,9,0,0,0,0,0,0,4,0,4,4,7,14,0,0,0,15,5,15,106,43,147,123,53,175,3,0,3,0,0,3,7,3,12,17,3,14,676,784,1460,860,1467,2330,155,143,304,13425,12572,25997
Temora (A),17350,0,0,0,8,0,13,0,0,0,0,0,0,0,5,3,853,709,1558,60,48,106,39,0,39,13,0,13,14,0,16,12,0,21,81,98,181,1088,867,1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,15,11,10,17,0,0,0,0,0,0,0,0,0,0,0,0,140,137,275,77,147,227,26,17,38,1342,1173,2514
Tenterfield (A),17400,0,0,0,9,5,16,0,0,0,0,0,0,0,0,0,656,658,1316,38,48,86,63,3,70,18,0,16,7,0,7,25,9,36,71,61,134,885,794,1676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,17,5,18,14,4,26,0,0,0,0,0,0,0,0,0,0,0,0,199,178,378,91,139,227,26,24,52,1220,1141,2361
Glenelg (S),22410,3,0,4,20,8,28,0,0,0,0,0,0,13,10,21,3002,2479,5480,174,190,358,90,0,96,37,6,47,41,3,47,44,14,59,175,179,356,3597,2902,6498,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13,48,36,16,52,0,0,0,0,0,0,0,0,0,0,0,0,324,290,614,432,586,1016,73,56,126,4460,3849,8311
Golden Plains (S),22490,32,12,50,26,15,37,0,0,0,0,0,0,0,3,3,4076,3229,7304,200,179,374,118,6,123,16,3,19,7,4,16,37,4,36,93,77,170,4604,3529,8134,0,0,0,0,0,0,0,0,0,36,20,52,0,0,0,0,0,0,36,18,55,0,0,0,0,0,0,3,3,3,0,3,3,0,0,0,3,3,12,28,11,41,66,38,105,16,8,24,4,0,4,0,0,5,20,7,29,316,295,607,410,760,1168,75,74,154,5493,4704,10196
Greater Bendigo (C),22620,128,83,213,212,205,413,9,7,16,7,7,17,41,44,81,18248,16085,34327,1097,1360,2456,342,12,360,164,27,192,304,73,379,126,65,191,750,747,1488,21433,18714,40145,11,9,24,0,0,0,7,3,10,42,30,64,10,4,13,4,3,8,71,48,110,0,0,0,0,0,0,16,5,24,9,16,27,12,6,23,44,33,75,188,103,296,302,184,484,22,18,38,5,4,6,11,3,14,34,22,62,818,1044,1860,2017,3661,5673,241,210,451,24843,23832,48675
Greater Dandenong (C),22670,1967,1777,3739,512,603,1120,4,4,9,13,13,23,116,43,152,25563,15361,40921,1501,2048,3546,448,7,460,98,10,107,144,18,158,268,113,379,359,414,774,30998,20394,51397,342,353,697,0,0,0,76,78,153,461,293,752,66,122,187,28,13,36,966,862,1829,0,0,0,0,3,3,38,21,57,28,79,108,12,9,18,78,106,185,259,151,409,1302,1116,2421,231,283,519,6,3,10,6,0,5,246,287,538,518,841,1358,1535,2296,3828,480,289,767,35078,25227,60306
Strathfield (A),17100,2746,2141,4885,183,211,390,0,0,0,0,0,6,22,9,26,5294,3272,8569,260,481,743,96,4,98,69,3,76,51,22,69,86,42,129,300,319,623,9109,6509,15620,578,583,1160,8,3,9,13,13,29,140,89,228,43,72,122,19,14,33,801,773,1574,0,0,0,0,3,3,12,11,18,3,11,13,6,3,5,21,28,47,55,27,84,876,831,1701,97,107,207,0,0,0,0,0,0,103,111,213,259,385,645,505,732,1235,116,93,206,10960,8658,19618
