lga_name_2016,lga_code_2016,neg_nil_inc_hh_with_ind_psns,neg_nil_inc_other_households,neg_nil_income_tot_hhlds,hi1_149_hhd_with_indig_psns,hi1_149_other_households,hi1_149_tot_hhlds,hi150_299_hhd_with_indig_psns,hi150_299_other_households,hi150_299_tot_hhlds,hi300_399_hhd_with_indig_psns,hi300_399_other_households,hi300_399_tot_hhlds,hi400_499_hhd_with_indig_psns,hi400_499_other_households,hi400_499_tot_hhlds,hi500_649_hhd_with_indig_psns,hi500_649_other_households,hi500_649_tot_hhlds,hi650_799_hhd_with_indig_psns,hi650_799_other_households,hi650_799_tot_hhlds,hi800_999_hh_with_indig_psn,hi800_999_other_households,hi800_999_tot_hhlds,hi1000_1249_hh_with_indig_psn,hi1000_1249_other_households,hi1000_1249_tot_hhlds,hi1250_1499_hh_with_indig_psn,hi1250_1499_other_households,hi1250_1499_tot_hhlds,hi1500_1999_hh_with_indig_psn,hi1500_1999_other_households,hi1500_1999_tot_hhlds,hi2000_2499_hh_with_indig_psn,hi2000_2499_other_households,hi2000_2499_tot_hhlds,hi2500_2999_hh_with_indig_psn,hi2500_2999_other_households,hi2500_2999_tot_hhlds,hi3000_more_hh_with_indig_psn,hi3000_more_other_households,hi3000_more_tot_hhlds,part_inc_st_hh_with_indig_psn,partial_inc_stated_other_hhds,partial_inc_stated_tot_hhlds,all_inc_ns_hh_with_ind_psns,all_income_ns_other_household,all_inc_ns_tot_hhlds,tot_household_with_indig_psns,tot_other_households,tot_tot_hhlds
Nungarin (S),56860,0,0,0,0,0,0,0,0,3,0,8,8,0,3,3,0,4,4,0,8,8,0,5,5,0,13,13,0,7,7,0,9,10,4,6,10,0,0,0,0,3,3,0,11,14,0,4,4,3,89,97
Peppermint Grove (S),56930,0,8,8,0,3,3,0,3,3,0,8,8,0,12,12,0,15,15,0,19,19,0,14,14,0,20,20,0,22,22,0,32,32,0,32,32,0,21,21,0,235,235,0,57,64,0,15,15,0,511,513
Mosman Park (T),55740,0,67,67,0,28,28,0,68,67,0,97,98,0,196,197,3,150,156,0,155,157,4,148,151,7,193,197,3,146,148,0,287,287,0,247,250,3,158,157,0,981,984,3,290,297,0,69,68,26,3282,3312
Mount Magnet (S),55810,0,4,4,0,0,0,3,0,3,3,8,10,0,11,9,3,9,15,3,6,12,3,3,9,6,10,17,0,4,6,8,16,21,0,17,17,0,3,8,0,5,10,3,0,6,4,3,4,31,114,143
Mount Marshall (S),55880,0,6,6,0,3,3,0,3,3,0,3,3,0,23,23,0,12,12,0,12,12,0,9,9,0,20,20,0,20,20,0,25,25,0,15,15,0,8,6,0,17,22,0,15,14,0,3,3,4,193,202
Murchison (S),56160,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,0,0,0,3,0,3,4,0,5,0,4,3,0,4,4,0,0,0,0,3,3,0,0,0,3,0,4,16,21,36
Murray (S),56230,0,93,98,0,44,48,7,138,142,3,149,153,7,501,507,7,283,295,18,538,554,16,370,384,15,444,457,4,368,375,15,535,554,19,555,576,15,321,336,18,662,683,19,650,670,6,166,172,176,5821,6000
Nannup (S),56300,0,6,6,0,8,4,0,18,18,0,20,20,0,52,56,0,33,33,0,60,60,3,37,41,0,43,43,0,40,38,0,50,50,3,30,32,0,21,21,0,29,29,0,41,41,0,13,13,9,507,514
Quairading (S),57350,0,8,8,0,10,9,0,10,11,0,14,17,4,36,40,0,22,22,7,45,47,3,26,33,3,26,32,3,22,26,0,36,35,0,17,17,0,15,15,0,31,31,3,36,34,0,6,6,28,366,393
Ravensthorpe (S),57420,0,9,9,0,10,10,0,14,19,0,17,17,4,53,58,0,35,34,3,48,46,0,36,36,0,51,52,4,38,40,0,57,58,3,60,63,0,27,27,3,68,71,0,57,57,0,15,15,21,596,620
Rockingham (C),57490,25,577,606,10,233,240,21,728,745,21,962,986,42,2346,2393,61,1685,1753,64,2678,2740,60,2360,2418,81,2999,3077,81,2728,2813,145,4923,5070,134,4901,5036,75,2911,2982,132,5699,5830,140,4804,4943,18,840,861,1110,41369,42481
Southern Midlands (M),65010,0,19,21,0,17,24,3,66,66,8,71,76,11,232,238,4,114,123,20,213,237,15,171,184,11,210,217,22,159,181,14,260,269,10,171,177,0,80,84,9,110,117,17,164,182,4,46,54,154,2103,2255
Narembeen (S),56370,0,5,7,0,4,4,0,3,3,0,5,5,0,13,14,0,9,10,0,22,22,0,31,33,0,37,37,0,20,20,0,24,29,0,23,27,0,15,15,0,39,39,0,25,25,0,6,6,11,295,302
Tasman (M),65210,0,7,7,0,5,5,4,45,41,0,43,47,6,117,124,5,60,64,6,126,137,6,84,83,8,81,86,9,58,72,4,71,77,4,55,53,0,14,10,0,25,25,9,79,85,6,39,41,67,895,959
Waratah/Wynyard (M),65410,4,54,54,3,44,45,14,176,194,19,227,245,47,587,631,35,267,305,52,563,614,45,416,458,38,408,444,38,365,400,57,459,515,42,375,414,27,202,234,22,259,280,44,340,388,21,131,152,499,4876,5382
West Coast (M),65610,3,32,36,0,21,23,7,68,79,9,93,107,13,224,240,12,74,85,16,131,148,8,120,131,9,112,119,18,113,130,20,157,177,20,123,143,8,63,63,7,83,91,10,117,124,4,65,69,170,1593,1763
West Tamar (M),65810,0,84,90,0,53,53,7,190,201,9,281,286,18,717,732,8,444,451,24,869,899,28,712,736,30,784,811,23,624,645,28,952,984,17,760,784,13,465,481,24,629,660,26,590,612,7,198,208,271,8353,8625
Narrogin (S),56460,0,19,19,0,15,12,3,40,39,5,63,71,11,127,137,7,66,75,11,153,165,14,116,131,11,149,163,5,122,128,10,201,218,9,171,181,3,85,87,6,167,171,14,132,143,11,61,75,115,1708,1820
Nedlands (C),56580,0,129,132,0,50,50,3,88,91,0,115,121,0,257,257,3,172,173,0,246,251,0,232,229,0,315,318,0,316,316,3,500,501,0,554,555,3,342,348,8,2930,2933,0,757,763,0,108,106,32,7107,7141
Roper Gulf (R),73600,4,10,22,9,9,16,47,11,59,21,12,38,73,24,88,35,15,52,55,16,72,79,25,105,73,26,101,64,26,89,69,56,129,38,37,71,25,24,40,26,33,58,151,13,170,23,26,49,794,360,1157
Tiwi Islands (R),74050,10,0,9,36,0,36,57,0,61,20,3,22,45,0,45,53,0,55,46,0,46,41,3,41,59,12,62,33,3,32,33,23,50,12,18,27,4,4,7,12,16,30,32,5,36,8,4,13,499,90,589
Victoria Daly (R),74550,13,12,23,3,6,8,21,7,31,3,10,14,29,12,41,22,7,28,34,11,41,32,17,44,23,23,47,18,27,44,28,38,62,18,40,55,8,16,32,10,26,29,57,12,62,22,10,30,340,266,602
Northam (S),56730,0,49,47,7,31,37,10,96,110,14,129,143,18,329,339,13,178,182,16,337,357,16,247,263,16,285,304,10,248,264,23,398,417,7,351,359,14,204,216,17,346,359,28,329,358,8,106,115,220,3656,3876
Northampton (S),56790,0,33,36,0,13,19,4,29,31,3,57,63,4,119,118,3,68,70,16,138,152,3,76,83,4,90,92,3,97,103,5,109,111,5,96,93,0,45,45,3,93,97,0,113,115,0,56,56,63,1231,1291
Sandstone (S),57630,0,3,3,0,3,3,0,0,0,0,0,0,0,3,3,0,3,7,0,0,0,0,3,3,0,5,5,0,4,4,0,3,3,0,3,3,0,0,0,0,0,0,0,4,4,0,0,0,0,34,38
Serpentine-Jarrahdale (S),57700,3,112,110,0,37,35,0,76,78,3,112,113,3,224,227,8,190,199,3,382,387,11,404,414,10,583,593,19,615,638,37,1184,1219,29,1174,1206,21,712,734,31,1336,1371,30,897,926,5,148,156,218,8180,8399
Shark Bay (S),57770,0,6,6,0,3,3,0,10,16,0,19,22,0,27,31,3,18,20,3,34,38,0,26,21,3,23,31,3,32,36,3,39,43,6,29,35,0,12,12,0,23,26,4,30,36,0,14,20,34,352,391
South Perth (C),57840,3,386,391,6,129,132,12,353,366,4,380,387,12,803,818,5,640,648,16,751,765,8,852,864,15,1100,1120,7,976,981,14,1628,1643,12,1652,1659,8,921,928,30,4033,4066,25,1293,1319,8,256,265,190,16150,16341
Stirling (C),57910,19,1208,1225,16,602,616,47,1558,1604,51,2324,2377,66,4904,4968,66,3294,3355,49,4769,4825,74,4707,4779,70,6096,6172,79,5430,5511,103,8857,8960,87,8461,8547,56,4923,4980,109,15154,15263,95,6499,6589,64,1586,1644,1050,80371,81417
Subiaco (C),57980,3,246,252,0,92,94,3,186,189,3,232,235,8,387,390,3,298,296,0,321,321,3,334,340,7,495,501,0,423,423,6,785,789,9,812,820,5,414,413,12,2078,2091,3,568,572,0,116,122,59,7788,7846
Swan (C),58050,14,573,587,18,265,285,47,677,716,39,893,934,67,2026,2094,73,1477,1547,78,2448,2525,87,2516,2602,108,3367,3477,114,3319,3434,159,5789,5947,173,5560,5734,82,3324,3407,154,5924,6071,180,4132,4313,39,781,821,1435,43064,44495
Tammin (S),58190,0,0,0,0,0,0,0,0,0,0,10,10,0,14,16,3,3,8,0,5,7,4,14,17,0,7,6,0,13,13,0,14,14,0,15,15,0,7,7,0,10,10,5,10,10,0,6,5,13,124,137
Three Springs (S),58260,0,9,9,0,5,5,0,4,11,0,3,3,4,16,21,0,4,3,3,14,14,0,19,19,0,23,25,0,17,14,0,30,30,3,18,19,0,7,7,0,19,19,3,16,17,0,9,9,21,196,216
West Arnhem (R),74660,0,5,7,14,0,14,30,6,33,15,4,12,33,0,33,30,3,32,64,12,75,62,13,76,66,22,93,58,34,91,91,72,157,38,68,106,18,40,59,32,84,120,115,29,145,45,27,72,707,414,1123
West Daly (R),74680,0,0,0,10,0,10,25,0,25,8,0,8,37,0,37,22,0,27,36,3,36,47,0,46,34,4,44,36,11,44,24,13,40,28,20,39,7,10,20,3,15,21,44,5,47,7,0,9,374,78,452
Unincorporated NT,79399,0,30,34,0,13,13,4,25,24,3,38,41,10,69,76,12,42,51,28,96,120,15,101,116,23,130,149,24,133,156,29,238,268,27,301,328,19,144,162,40,465,504,25,162,186,30,92,119,288,2058,2345
No usual address (NT),79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perenjori (S),57000,0,10,10,0,3,3,0,3,3,0,4,4,0,14,12,0,3,4,0,3,3,0,13,13,0,14,11,4,24,27,3,9,14,3,13,15,0,10,10,3,19,22,3,12,18,0,3,3,17,152,167
Perth (C),57080,0,325,325,0,84,84,3,192,197,5,216,219,0,308,308,3,250,250,0,300,300,3,402,404,3,568,574,3,548,553,9,1100,1102,13,1171,1184,5,464,462,13,1998,2010,3,684,689,4,106,104,64,8703,8764
Pingelly (S),57140,0,8,13,3,4,8,5,11,17,0,19,24,12,37,46,0,19,19,3,45,50,7,26,39,0,33,34,0,22,24,3,38,40,3,21,26,0,14,16,0,28,26,5,42,47,6,9,19,55,392,446
Plantagenet (S),57210,0,21,24,0,14,14,3,48,48,3,64,69,3,203,207,7,106,117,6,177,181,4,138,143,8,174,178,4,143,149,3,174,179,5,126,131,3,92,89,4,114,120,7,160,164,0,47,47,62,1811,1870
Port Hedland (T),57280,14,19,38,9,11,21,23,16,46,43,21,61,40,32,69,21,25,46,30,50,83,32,66,98,42,110,155,32,125,158,61,397,458,91,502,598,34,258,296,192,1415,1606,91,289,384,60,62,124,828,3407,4239
Toodyay (S),58330,0,39,39,0,18,18,0,58,58,0,49,44,0,143,144,6,90,93,3,140,145,4,117,119,8,123,127,3,118,119,6,169,171,4,147,147,3,101,107,8,152,158,9,192,199,0,40,46,52,1687,1741
Yalgoo (S),59350,0,0,0,0,0,0,0,0,3,0,0,0,3,4,9,0,0,0,0,0,0,0,3,5,3,3,7,0,0,0,3,0,8,5,10,12,0,5,3,0,3,4,0,0,3,0,0,0,22,35,59
Trayning (S),58400,0,0,0,0,0,0,0,3,4,3,6,6,0,18,18,0,6,11,0,9,9,0,11,17,0,4,4,0,7,7,0,13,13,0,4,4,0,5,5,0,5,5,0,10,12,4,7,9,12,129,139
No usual address (Tas.),69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarence (C),61410,4,165,170,12,90,97,25,378,398,34,617,651,60,1468,1528,59,1067,1122,68,1578,1648,69,1557,1626,87,1826,1919,96,1568,1661,112,2453,2563,81,2053,2131,35,1323,1360,80,2119,2200,58,1413,1470,18,482,503,908,20150,21056
Derwent Valley (M),61510,3,28,35,0,26,26,3,89,99,12,179,188,13,380,392,14,238,249,29,360,385,13,322,339,24,330,356,15,299,320,28,409,434,17,277,296,4,139,142,7,151,165,20,256,276,10,115,119,213,3593,3805
Devonport (C),61610,10,90,97,0,63,61,26,268,292,31,432,463,63,1084,1148,59,650,712,76,984,1057,75,784,855,67,916,983,80,686,763,97,897,994,60,617,677,33,318,345,36,463,504,48,569,621,18,281,300,786,9100,9883
Dorset (M),61810,0,32,31,3,27,27,11,85,95,3,122,123,9,342,356,9,169,181,16,340,359,13,205,215,10,223,231,9,184,188,7,256,262,7,145,147,0,66,66,3,101,102,5,177,183,0,78,78,109,2548,2653
Flinders (M) (Tas.),62010,0,7,9,0,3,3,4,16,19,3,17,22,12,28,36,6,20,20,8,17,31,13,25,38,9,36,49,3,21,22,8,30,38,6,23,34,4,18,16,0,19,19,9,24,32,8,6,11,87,311,398
George Town (M),62210,0,49,45,0,19,21,5,91,92,10,128,137,18,314,330,3,161,164,14,300,314,23,211,233,16,203,221,15,151,162,5,239,242,7,156,164,3,95,93,4,104,114,9,178,193,8,61,67,151,2449,2597
Glamorgan/Spring Bay (M),62410,0,25,25,0,16,16,0,55,56,3,72,76,8,209,218,9,123,136,12,205,220,10,184,196,12,150,159,11,112,124,11,152,158,3,99,100,0,40,39,0,69,66,19,116,135,3,58,62,97,1696,1793
Glenorchy (C),62610,9,162,170,9,107,119,42,449,496,54,819,873,90,1857,1938,71,1176,1242,110,1705,1821,112,1540,1647,114,1668,1783,108,1430,1537,120,1970,2088,90,1449,1532,43,764,809,41,784,826,94,986,1073,42,508,543,1147,17359,18506
Hobart (C),62810,5,311,316,6,163,168,11,494,505,14,575,586,23,1172,1198,22,1001,1018,25,1146,1168,23,1239,1268,42,1648,1695,28,1414,1441,45,2244,2287,34,1918,1957,19,1160,1184,58,3182,3242,45,1490,1537,9,300,308,415,19461,19878
Huon Valley (M),63010,7,58,70,4,61,69,11,165,181,11,254,268,56,621,676,38,315,355,75,600,672,64,486,553,64,491,557,57,457,513,97,571,675,70,444,506,23,196,226,36,265,297,56,381,439,17,163,177,691,5538,6230
Kentish (M),63210,4,26,32,0,25,25,3,65,67,3,80,85,14,223,240,9,111,114,19,239,261,9,169,181,17,232,248,12,174,179,17,207,221,13,148,159,7,83,89,8,89,93,20,163,180,9,72,76,151,2113,2262
King Island (M),63410,0,3,3,0,9,9,0,16,16,0,20,20,0,67,70,0,34,38,0,44,45,3,48,55,0,55,57,5,50,53,4,59,66,3,71,75,0,31,35,0,49,49,0,50,51,0,28,28,29,624,653
Kingborough (M),63610,3,106,110,0,77,77,10,217,225,13,321,341,43,884,925,34,670,698,52,944,995,35,928,969,44,1188,1228,59,966,1024,86,1558,1645,92,1368,1455,45,824,868,61,1462,1522,40,960,997,12,214,220,624,12681,13309
Upper Gascoyne (S),58470,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,10,4,0,4,3,0,0,3,0,7,0,4,7,3,3,3,0,3,3,0,0,4,0,3,3,11,0,11,0,3,4,36,27,60
Victoria Park (T),58510,3,275,277,6,122,129,17,296,309,15,406,423,20,879,895,12,567,580,14,705,720,18,767,788,17,975,988,21,821,844,24,1500,1527,16,1489,1505,18,841,855,28,2380,2405,13,1076,1090,13,231,250,244,13336,13576
Migratory - Offshore - Shipping (Tas.),69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice Springs (T),70200,22,71,86,19,22,39,61,45,101,46,123,175,86,162,251,62,159,219,88,225,313,88,298,382,92,418,507,85,429,515,137,902,1037,136,947,1084,78,640,718,177,1384,1564,171,694,869,83,122,208,1427,6631,8059
Latrobe (M) (Tas.),63810,0,34,39,0,32,29,3,78,83,15,130,139,20,376,392,23,222,243,33,415,447,14,327,345,26,359,385,27,315,341,41,442,483,18,312,325,9,180,183,19,229,246,20,282,300,7,108,116,270,3843,4109
Victoria Plains (S),58540,0,7,7,0,4,5,0,10,10,0,11,11,0,24,24,0,14,21,0,29,30,0,21,20,3,21,27,0,31,31,0,38,38,0,34,34,0,7,7,0,36,36,5,23,30,0,7,7,14,327,339
Launceston (C),64010,15,291,306,19,152,170,54,834,885,55,1047,1101,100,2354,2453,107,1584,1691,147,2305,2448,100,1991,2090,116,2254,2364,99,1879,1979,116,2654,2771,91,1937,2028,41,1059,1095,44,1672,1717,80,1542,1616,41,650,687,1214,24204,25414
Meander Valley (M),64210,3,77,85,3,52,55,10,204,209,11,264,271,22,721,741,18,438,461,26,761,791,22,568,589,22,654,675,25,532,551,30,752,790,28,597,623,14,355,372,9,438,451,31,493,523,6,178,185,283,7087,7371
Northern Midlands (M),64610,3,48,52,0,36,40,3,118,117,7,176,183,7,475,485,14,282,296,11,516,527,17,410,426,19,448,471,15,380,392,19,512,532,8,375,383,3,242,246,12,250,258,16,348,369,4,149,150,170,4763,4927
Sorell (M),64810,4,33,38,0,25,25,12,131,139,16,176,193,15,483,496,21,296,314,18,503,520,25,469,499,35,476,508,26,464,487,51,623,677,33,489,518,13,242,256,13,306,318,23,368,391,4,136,141,299,5208,5508
Vincent (C),58570,0,221,221,3,91,95,3,228,234,9,343,348,8,641,647,10,408,419,5,542,542,3,606,608,3,756,765,13,725,739,10,1353,1365,15,1628,1638,6,869,873,33,3562,3593,11,1113,1123,0,172,172,130,13261,13392
Wagin (S),58610,0,7,7,0,10,10,0,24,31,0,24,24,3,87,88,0,44,39,3,68,71,0,58,61,0,59,65,3,42,44,4,69,74,0,61,64,0,27,29,0,39,44,3,59,57,0,16,22,23,703,723
Wandering (S),58680,0,4,4,0,0,0,0,3,4,0,5,5,0,8,8,0,3,3,0,11,11,0,7,7,0,13,13,0,5,12,0,25,25,0,14,14,0,8,8,0,25,25,0,15,15,0,6,8,3,164,169
Wanneroo (C),58760,18,724,745,15,339,358,24,926,958,41,1054,1097,45,2709,2758,63,2102,2166,58,3412,3471,84,3299,3384,70,4413,4483,98,4392,4487,124,7814,7945,122,7996,8116,76,5001,5079,120,8983,9105,133,6152,6287,42,1012,1054,1139,60341,61483
Waroona (S),58820,0,27,27,0,18,18,0,28,34,3,39,40,4,127,132,5,58,59,5,119,121,3,96,97,0,92,93,0,87,85,3,135,140,0,117,123,3,93,93,8,149,157,9,167,176,0,60,59,41,1415,1452
West Arthur (S),58890,0,3,3,0,6,6,0,4,4,0,12,11,4,23,29,0,21,21,3,27,33,0,30,30,3,28,35,0,34,30,3,39,36,0,24,24,0,13,13,0,29,27,0,23,22,0,8,8,16,311,333
East Arnhem (R),71300,0,0,0,7,0,9,26,0,26,12,0,12,52,4,57,36,0,35,49,7,53,89,11,99,97,14,109,82,19,100,113,41,156,64,33,103,32,34,63,28,32,61,118,19,130,285,9,293,1086,224,1311
Westonia (S),59030,0,0,4,0,0,0,0,0,0,0,5,5,0,5,5,0,3,0,0,5,5,0,7,7,0,0,0,0,4,4,0,5,5,0,15,15,0,4,4,0,11,11,0,6,6,0,0,0,3,78,82
Palmerston (C),72800,23,62,81,18,17,36,36,70,110,59,145,206,70,217,282,58,169,223,62,260,329,75,316,394,99,476,578,73,544,614,155,1161,1314,163,1332,1494,120,919,1046,305,2517,2821,145,862,1007,60,173,236,1515,9261,10781
Wickepin (S),59100,0,4,4,0,4,4,0,7,7,0,12,12,0,21,21,0,14,14,3,29,30,0,19,19,0,23,23,3,25,27,0,30,33,3,18,20,0,12,12,0,17,17,0,17,14,0,14,14,10,270,276
Wagait (S),74560,0,0,0,0,0,0,0,3,0,0,7,9,3,16,14,0,9,9,0,5,11,0,11,13,0,16,15,0,13,12,3,19,17,0,14,18,0,8,8,3,31,32,3,18,21,0,9,9,18,172,190
Williams (S),59170,0,3,3,0,3,3,0,9,9,0,8,8,0,17,17,0,8,10,0,26,28,0,28,25,0,32,32,0,26,26,0,36,36,0,36,40,0,24,24,0,51,51,0,32,32,0,9,9,7,343,353
Wiluna (S),59250,0,0,0,0,3,0,3,3,7,3,0,3,4,4,5,3,4,10,3,4,9,8,3,10,3,3,10,3,6,4,7,7,15,3,0,3,3,0,3,0,12,12,3,8,7,0,0,0,44,47,95
Migratory - Offshore - Shipping (NT),79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unincorporated ACT,89399,25,1387,1417,24,668,701,86,1742,1826,98,2579,2675,144,4622,4763,108,3734,3843,137,5253,5392,160,6198,6361,182,8806,8986,215,9247,9462,375,16800,17175,372,18265,18642,300,11816,12111,704,36392,37090,261,10233,10488,62,1664,1726,3254,139409,142664
No usual address (ACT),89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (ACT),89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unincorp. Other Territories,99399,0,14,15,0,13,12,0,24,26,0,32,30,0,83,78,4,63,68,4,82,84,3,95,99,5,119,127,10,104,105,3,170,168,4,149,156,3,77,77,5,135,139,7,118,120,15,28,42,69,1291,1360
No usual address (OT),99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (OT),99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katherine (T),72200,4,24,21,11,14,22,18,17,35,23,52,74,35,52,82,27,37,68,39,76,122,42,97,132,40,108,147,54,144,196,50,268,317,46,291,337,39,217,261,61,339,400,82,233,318,28,64,94,596,2019,2616
Litchfield (M),72300,7,67,74,0,21,21,6,66,70,5,91,95,11,168,176,6,105,115,20,181,197,34,233,263,25,313,336,30,337,369,67,557,621,72,702,768,61,474,532,186,1563,1748,83,570,650,19,142,158,619,5578,6201
Wongan-Ballidu (S),59310,0,6,6,0,10,10,0,8,14,0,14,14,11,36,48,5,20,23,0,46,47,6,36,39,3,42,49,4,47,49,7,62,72,0,43,43,0,24,27,0,44,44,3,46,54,3,21,18,36,514,549
Woodanilling (S),59320,0,0,0,0,0,0,0,3,3,0,3,3,0,16,13,0,8,8,0,11,11,0,7,7,0,10,9,0,11,11,0,22,25,0,10,10,0,3,3,0,18,18,0,13,13,0,0,0,3,152,154
Wyalkatchem (S),59330,0,3,3,0,0,0,0,3,3,0,12,12,0,33,37,0,17,16,0,15,18,0,13,13,0,14,14,0,15,15,0,22,22,0,16,16,0,10,10,0,7,7,0,18,18,0,4,4,4,207,214
Wyndham-East Kimberley (S),59340,6,17,28,8,3,12,25,26,55,20,28,48,54,40,93,29,33,68,53,59,110,71,66,137,60,91,155,35,104,142,55,191,247,47,210,254,25,141,164,50,319,367,72,144,222,42,45,85,659,1532,2186
Yilgarn (S),59360,0,7,9,0,3,3,0,15,22,0,12,12,3,38,39,0,15,21,3,24,32,0,26,26,3,28,29,0,26,26,0,32,32,0,46,46,0,17,18,3,52,48,0,40,40,3,11,15,19,395,416
York (S),59370,0,23,23,0,23,23,0,27,29,6,42,51,4,150,151,0,63,60,5,147,152,3,105,110,5,100,100,6,91,92,9,137,140,3,122,122,0,56,56,5,97,103,4,121,126,0,41,41,45,1344,1391
No usual address (WA),59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (WA),59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Break O'Day (M),60210,0,40,40,0,35,36,0,114,117,4,147,152,6,380,392,11,185,194,19,321,340,11,221,231,20,213,236,9,167,170,9,154,163,4,107,113,0,53,51,0,67,67,14,180,191,0,100,97,110,2482,2588
Brighton (M),60410,3,48,51,9,32,36,12,120,136,30,238,265,56,405,466,48,282,331,70,498,571,67,447,513,61,499,561,64,430,494,89,611,701,54,508,559,22,239,257,24,278,302,54,345,398,27,161,190,703,5133,5842
Burnie (C),60610,5,67,70,3,57,63,29,196,221,36,318,349,60,751,808,53,441,495,57,753,807,60,546,608,57,704,756,50,504,558,73,725,801,52,510,559,22,293,318,31,371,401,51,429,479,24,212,232,668,6874,7542
Central Coast (M) (Tas.),60810,3,84,82,9,43,48,12,199,215,18,314,338,66,867,930,47,457,506,65,838,908,65,690,756,68,650,721,59,580,644,88,837,928,75,584,655,29,322,352,50,447,497,59,545,610,26,239,268,733,7703,8437
Central Highlands (M) (Tas.),61010,0,12,12,0,13,8,3,27,28,0,46,45,4,128,135,4,43,43,12,101,117,6,73,77,7,78,86,0,65,66,4,72,75,0,42,45,0,20,20,0,34,34,0,55,56,4,35,39,53,839,897
Circular Head (M),61210,5,15,20,4,14,23,10,55,71,15,92,110,37,220,260,43,143,182,54,266,313,42,198,235,44,221,267,56,199,252,66,273,346,66,199,263,26,104,128,19,122,142,65,159,221,17,81,94,564,2358,2919
Barkly (R),70420,3,11,13,21,6,22,47,4,52,21,9,35,84,19,99,48,24,72,62,21,79,88,42,125,72,69,132,75,56,126,100,118,212,49,102,157,30,51,85,37,89,128,87,52,145,40,21,64,862,698,1562
Belyuen (S),70540,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,9,0,9,0,0,0,3,0,3,4,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,38
Central Desert (R),70620,0,3,3,3,0,3,17,0,18,6,0,6,56,0,56,20,0,17,52,5,57,70,4,76,76,15,88,58,22,81,60,29,88,39,34,73,7,15,19,20,31,47,39,16,51,8,9,16,517,184,697
Coomalie (S),70700,0,8,5,0,5,6,4,14,21,12,16,28,6,28,39,7,8,13,6,21,23,11,24,34,5,25,33,8,30,44,12,33,40,16,29,43,7,13,24,3,24,28,8,30,38,15,19,33,118,328,443
Darwin (C),71000,25,218,244,18,85,104,52,207,255,87,412,499,100,617,717,90,472,564,98,707,806,106,883,991,151,1343,1491,116,1461,1571,208,2855,3066,228,3189,3423,150,2004,2160,471,6514,6977,246,2306,2550,80,410,488,2223,23689,25905
MacDonnell (R),72330,0,3,3,22,0,22,65,3,73,25,0,25,51,8,58,49,5,58,90,9,93,66,18,86,65,28,96,59,30,92,53,40,99,26,29,50,10,16,22,15,34,50,105,15,128,33,8,41,746,249,997
