lga_name_2016,lga_code_2016,neg_nil_inc_hh_with_ind_psns,neg_nil_inc_other_households,neg_nil_income_tot_hhlds,hi1_149_hhd_with_indig_psns,hi1_149_other_households,hi1_149_tot_hhlds,hi150_299_hhd_with_indig_psns,hi150_299_other_households,hi150_299_tot_hhlds,hi300_399_hhd_with_indig_psns,hi300_399_other_households,hi300_399_tot_hhlds,hi400_499_hhd_with_indig_psns,hi400_499_other_households,hi400_499_tot_hhlds,hi500_649_hhd_with_indig_psns,hi500_649_other_households,hi500_649_tot_hhlds,hi650_799_hhd_with_indig_psns,hi650_799_other_households,hi650_799_tot_hhlds,hi800_999_hh_with_indig_psn,hi800_999_other_households,hi800_999_tot_hhlds,hi1000_1249_hh_with_indig_psn,hi1000_1249_other_households,hi1000_1249_tot_hhlds,hi1250_1499_hh_with_indig_psn,hi1250_1499_other_households,hi1250_1499_tot_hhlds,hi1500_1999_hh_with_indig_psn,hi1500_1999_other_households,hi1500_1999_tot_hhlds,hi2000_2499_hh_with_indig_psn,hi2000_2499_other_households,hi2000_2499_tot_hhlds,hi2500_2999_hh_with_indig_psn,hi2500_2999_other_households,hi2500_2999_tot_hhlds,hi3000_more_hh_with_indig_psn,hi3000_more_other_households,hi3000_more_tot_hhlds,part_inc_st_hh_with_indig_psn,partial_inc_stated_other_hhds,partial_inc_stated_tot_hhlds,all_inc_ns_hh_with_ind_psns,all_income_ns_other_household,all_inc_ns_tot_hhlds,tot_household_with_indig_psns,tot_other_households,tot_tot_hhlds
Warrnambool (C),26730,4,132,133,3,88,90,10,317,325,9,461,474,17,999,1014,23,728,748,33,1070,1097,23,996,1024,29,1095,1121,24,979,999,19,1482,1501,22,1183,1204,10,717,724,13,986,998,22,781,800,9,365,380,263,12370,12637
Wellington (S),26810,3,225,233,3,164,169,10,424,435,12,599,614,19,1442,1458,16,845,862,28,1454,1486,30,1257,1280,33,1438,1470,29,1149,1182,38,1679,1720,23,1297,1319,12,711,721,18,1299,1317,26,1261,1281,12,520,533,314,15774,16082
West Wimmera (S),26890,0,23,23,0,11,11,0,47,50,0,56,57,3,165,167,0,87,86,4,178,182,0,138,135,0,154,156,0,134,131,0,139,139,0,113,113,0,56,56,0,101,100,0,126,126,3,56,56,21,1569,1586
Whitehorse (C),26980,3,1873,1877,3,602,606,8,1224,1232,9,1444,1450,23,3335,3358,10,2493,2501,13,3454,3471,11,3568,3583,14,4451,4464,20,3824,3844,31,6217,6247,15,5913,5923,15,4040,4053,32,10299,10330,16,4265,4282,10,1081,1095,229,58082,58308
Whittlesea (C),27070,15,1067,1085,0,436,438,7,1008,1013,20,1291,1314,29,3476,3508,37,2327,2356,47,4712,4764,48,4386,4433,57,5536,5595,67,5387,5450,114,8769,8880,73,7678,7754,48,4601,4652,84,6163,6243,51,4774,4821,30,1344,1376,717,62954,63678
Wodonga (C),27170,5,110,118,8,74,83,20,283,307,20,446,463,28,1013,1040,32,717,751,41,1121,1161,24,1080,1101,51,1235,1292,39,1189,1220,48,1740,1788,44,1512,1559,13,885,901,26,1048,1073,28,980,1013,21,377,394,448,13815,14260
Wyndham (C),27260,15,971,982,0,379,383,19,975,999,17,1082,1098,25,2538,2563,32,2262,2292,57,3653,3709,50,4441,4488,54,5694,5751,72,5639,5709,103,9483,9586,84,8910,8999,59,5307,5368,78,8734,8818,67,4888,4953,19,1230,1249,762,66187,66946
Yarra (C),27350,3,591,596,0,306,303,9,956,963,7,1023,1031,9,1633,1644,11,1083,1094,14,1417,1438,22,1598,1616,20,2047,2062,6,2026,2032,27,3795,3822,22,4087,4106,16,2421,2436,58,9409,9461,15,2972,2985,11,633,644,260,35993,36254
Yarra Ranges (S),27450,10,524,532,7,323,327,10,817,827,20,1133,1152,28,2898,2930,40,2143,2186,36,3387,3427,53,3408,3458,55,4274,4324,71,3940,4013,92,6597,6687,79,6227,6304,43,3955,4000,55,6158,6215,68,4124,4195,16,1318,1333,677,51225,51905
Yarriambiack (S),27630,0,46,46,4,35,33,0,80,82,3,127,126,3,352,357,3,157,158,15,283,295,7,219,221,4,243,248,0,193,194,0,250,253,0,180,180,0,82,82,3,113,113,3,163,162,3,114,121,47,2630,2679
