lga_name_2016,lga_code_2016,m_pode_pode_nfd_mng,m_pode_pode_nfd_pro,m_pode_pode_nfd_ttw,m_pode_pode_nfd_cps,m_pode_pode_nfd_ca,m_pode_pode_nfd_sal,m_pode_pode_nfd_mod,m_pode_pode_nfd_lab,m_pode_pode_nfd_idns,m_pode_pode_nfd_tot,m_pode_doctde_mng,m_pode_doctde_pro,m_pode_doctde_ttw,m_pode_doctde_cps,m_pode_doctde_ca,m_pode_doctde_sal,m_pode_doctde_mod,m_pode_doctde_lab,m_pode_doctde_idns,m_pode_doctde_tot,m_pode_masde_mng,m_pode_masde_pro,m_pode_masde_ttw,m_pode_masde_cps,m_pode_masde_ca,m_pode_masde_sal,m_pode_masde_mod,m_pode_masde_lab,m_pode_masde_idns,m_pode_masde_tot,m_grdigrcer_grdigrcernfd_mng,m_grdigrcer_grdigrcernfd_pro,m_grdigrcer_grdigrcernfd_ttw,m_grdigrcer_grdigrcernfd_cps,m_grdigrcer_grdigrcernfd_ca,m_grdigrcer_grdigrcernfd_sal,m_grdigrcer_grdigrcernfd_mod,m_grdigrcer_grdigrcernfd_lab,m_grdigrcer_grdigrcernfd_idns,m_grdigrcer_grdigrcernfd_tot,m_grdi_grcer_grdi_mng,m_grdi_grcer_grdi_pro,m_grdi_grcer_grdi_ttw,m_grdi_grcer_grdi_cps,m_grdi_grcer_grdi_ca,m_grdi_grcer_grdi_sal,m_grdi_grcer_grdi_mod,m_grdi_grcer_grdi_lab,m_grdi_grcer_grdi_idns,m_grdi_grcer_grdi_tot,m_grdi_grcer_gradcer_mng,m_grdi_grcer_gradcer_pro,m_grdi_grcer_gradcer_ttw,m_grdi_grcer_gradcer_cps,m_grdi_grcer_gradcer_ca,m_grdi_grcer_gradcer_sal,m_grdi_grcer_gradcer_mod,m_grdi_grcer_gradcer_lab,m_grdi_grcer_gradcer_idns,m_grdi_grcer_gradcer_tot,m_bade_bade_mng,m_bade_bade_pro,m_bade_bade_ttw,m_bade_bade_cps,m_bade_bade_ca,m_bade_bade_sal,m_bade_bade_mod,m_bade_bade_lab,m_bade_bade_idns,m_bade_bade_tot,m_advdi_di_advdi_di_nfd_mng,m_advdi_di_advdi_di_nfd_pro,m_advdi_di_advdi_di_nfd_ttw,m_advdi_di_advdi_di_nfd_cps,m_advdi_di_advdi_di_nfd_ca,m_advdi_di_advdi_di_nfd_sal,m_advdi_di_advdi_di_nfd_mod,m_advdi_di_advdi_di_nfd_lab,m_advdi_di_advdi_di_nfd_idns,m_advdi_di_advdi_di_nfd_tot,m_advdi_di_advdi_asde_mng,m_advdi_di_advdi_asde_pro,m_advdi_di_advdi_asde_ttw,m_advdi_di_advdi_asde_cps,m_advdi_di_advdi_asde_ca,m_advdi_di_advdi_asde_sal,m_advdi_di_advdi_asde_mod,m_advdi_di_advdi_asde_lab,m_advdi_di_advdi_asde_idns,m_advdi_di_advdi_asde_tot,m_advdi_di_dip_mng,m_advdi_di_dip_pro,m_advdi_di_dip_ttw,m_advdi_di_dip_cps,m_advdi_di_dip_ca,m_advdi_di_dip_sal,m_advdi_di_dip_mod,m_advdi_di_dip_lab,m_advdi_di_dip_idns,m_advdi_di_dip_tot,m_cert_certiii_iv_mng,m_cert_certiii_iv_pro,m_cert_certiii_iv_ttw,m_cert_certiii_iv_cps,m_cert_certiii_iv_ca,m_cert_certiii_iv_sal,m_cert_certiii_iv_mod,m_cert_certiii_iv_lab,m_cert_certiii_iv_idns,m_cert_certiii_iv_tot,m_cert_certi_ii_mng,m_cert_certi_ii_pro,m_cert_certi_ii_ttw,m_cert_certi_ii_cps,m_cert_certi_ii_ca,m_cert_certi_ii_sal,m_cert_certi_ii_mod,m_cert_certi_ii_lab,m_cert_certi_ii_idns,m_cert_certi_ii_tot,m_cert_cert_nfd_mng,m_cert_cert_nfd_pro,m_cert_cert_nfd_ttw,m_cert_cert_nfd_cps,m_cert_cert_nfd_ca,m_cert_cert_nfd_sal,m_cert_cert_nfd_mod,m_cert_cert_nfd_lab,m_cert_cert_nfd_idns,m_cert_cert_nfd_tot,m_le_id_mng,m_le_id_pro,m_le_id_ttw,m_le_id_cps,m_le_id_ca,m_le_id_sal,m_le_id_mod,m_le_id_lab,m_le_id_idns,m_le_id_tot,m_le_ns_mng,m_le_ns_pro,m_le_ns_ttw,m_le_ns_cps,m_le_ns_ca,m_le_ns_sal,m_le_ns_mod,m_le_ns_lab,m_le_ns_idns,m_le_ns_tot,m_tot_mng,m_tot_pro,m_tot_ttw,m_tot_cps,m_tot_ca,m_tot_sal,m_tot_mod,m_tot_lab,m_tot_idns,m_tot_tot,f_pode_pode_nfd_mng,f_pode_pode_nfd_pro,f_pode_pode_nfd_ttw,f_pode_pode_nfd_cps,f_pode_pode_nfd_ca,f_pode_pode_nfd_sal,f_pode_pode_nfd_mod,f_pode_pode_nfd_lab,f_pode_pode_nfd_idns,f_pode_pode_nfd_tot,f_pode_doctde_mng,f_pode_doctde_pro,f_pode_doctde_ttw,f_pode_doctde_cps,f_pode_doctde_ca,f_pode_doctde_sal,f_pode_doctde_mod,f_pode_doctde_lab,f_pode_doctde_idns,f_pode_doctde_tot,f_pode_masde_mng,f_pode_masde_pro,f_pode_masde_ttw,f_pode_masde_cps,f_pode_masde_ca,f_pode_masde_sal,f_pode_masde_mod,f_pode_masde_lab,f_pode_masde_idns,f_pode_masde_tot,f_grdigrcer_grdigrcernfd_mng,f_grdigrcer_grdigrcernfd_pro,f_grdigrcer_grdigrcernfd_ttw,f_grdigrcer_grdigrcernfd_cps,f_grdigrcer_grdigrcernfd_ca,f_grdigrcer_grdigrcernfd_sal,f_grdigrcer_grdigrcernfd_mod,f_grdigrcer_grdigrcernfd_lab,f_grdigrcer_grdigrcernfd_idns,f_grdigrcer_grdigrcernfd_tot
Gladstone (R),33360,3,3,0,0,0,0,0,0,0,7,8,34,0,0,0,0,0,0,0,39,67,115,21,8,14,0,4,5,3,243,0,8,0,0,3,0,0,0,0,12,30,75,16,10,5,0,0,3,0,127,8,10,11,3,3,0,3,3,0,38,199,626,162,65,64,16,56,38,16,1250,4,0,3,0,3,0,0,5,0,18,80,112,117,23,20,8,25,20,5,406,139,90,178,67,44,12,63,55,14,679,497,189,3690,125,167,116,1006,593,101,6474,8,18,25,4,4,20,34,60,7,192,27,16,44,10,9,12,69,49,3,241,10,13,23,3,3,4,34,45,0,135,30,15,67,17,5,11,91,70,46,356,1108,1325,4366,335,340,210,1389,946,195,10222,0,13,0,0,0,0,0,0,0,14,0,23,0,0,3,0,0,0,0,25,28,132,3,10,15,3,0,3,0,202,0,13,0,0,0,0,0,0,0,19
Gold Coast (C),33430,14,67,3,0,5,0,0,0,0,96,94,908,8,10,13,11,3,7,6,1062,1028,2249,181,155,240,212,67,114,58,4292,31,99,12,5,16,4,4,3,4,182,234,753,55,65,57,34,22,32,18,1262,84,154,15,27,32,12,6,3,4,335,3492,8646,1285,1144,1107,1179,426,749,269,18294,17,17,24,20,3,8,4,11,3,104,1189,1167,811,498,302,374,200,264,81,4888,1691,1420,1573,1193,654,742,441,648,124,8504,5190,1684,20154,2059,1465,2380,3217,4617,676,41442,112,83,167,114,56,169,144,256,24,1113,383,209,404,309,150,337,291,369,46,2491,159,213,180,87,69,77,87,129,34,1035,323,297,579,191,105,248,316,417,305,2789,14032,17953,25453,5871,4277,5787,5225,7626,1660,87877,20,118,4,7,10,3,0,3,0,161,53,653,4,13,20,12,0,5,11,758,697,3087,58,278,434,213,4,108,42,4919,30,189,4,11,21,3,0,10,3,266
Diamantina (S),32750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,12,3,0,0,3,6,0,30,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,9,3,3,0,3,10,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Doomadgee (S),32770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,4,4,0,0,0,3,0,14,0,0,0,0,0,0,0,3,0,10,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,13,6,10,0,0,0,10,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas (S),32810,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,21,20,6,12,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,8,9,0,3,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,7,66,77,26,33,20,15,3,16,0,262,0,0,0,0,0,0,0,0,0,0,33,16,18,10,3,8,4,14,3,112,36,28,33,38,3,8,8,15,0,166,135,42,488,38,28,34,90,138,14,1015,3,0,4,6,4,0,0,14,0,37,13,15,6,10,0,4,4,13,3,61,7,4,0,0,0,0,4,8,0,20,14,8,21,7,0,0,9,25,16,100,329,234,599,166,71,65,128,239,41,1868,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,10,35,0,8,4,5,0,3,0,66,0,0,0,0,0,0,0,0,0,0
Goondiwindi (R),33610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,73,68,14,11,3,5,4,15,0,194,3,0,0,0,0,0,0,0,0,3,43,6,4,3,4,5,7,6,0,77,50,18,19,9,3,7,13,16,0,127,132,16,339,10,10,25,92,88,3,728,3,0,0,0,0,4,8,8,0,26,19,3,9,0,0,4,5,12,0,55,0,4,0,0,0,0,3,0,0,10,13,3,12,3,0,3,13,23,8,77,356,146,398,43,27,58,139,169,10,1346,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,4,19,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
Gympie (R),33620,0,0,0,0,0,0,0,0,0,3,8,24,0,0,0,0,0,0,0,26,12,70,6,0,5,3,0,3,0,104,0,0,0,0,0,0,0,0,0,3,9,40,0,11,3,0,0,3,0,70,3,4,0,0,0,0,0,0,0,10,111,309,34,46,29,16,20,17,7,575,0,0,0,0,0,0,0,0,0,4,60,62,35,35,6,8,15,13,3,243,84,66,59,68,20,17,25,44,5,390,406,81,1579,128,88,148,432,468,53,3382,14,3,21,8,8,22,31,60,3,167,32,8,34,14,7,21,34,27,3,172,5,3,10,4,3,3,14,9,0,56,36,10,49,13,3,15,39,57,18,239,787,689,1823,328,176,250,593,708,94,5456,3,6,0,0,0,0,0,0,0,7,0,15,0,0,0,0,0,0,0,22,19,77,3,9,13,3,0,0,0,123,0,7,0,0,0,0,0,0,0,8
Hinchinbrook (S),33800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,17,0,3,0,0,0,0,0,0,0,4,34,104,9,3,5,0,7,4,0,161,0,0,0,0,0,0,0,0,0,3,4,4,8,4,0,3,3,0,0,34,12,13,7,15,9,3,3,7,0,70,147,28,452,33,9,16,191,127,13,1013,0,0,6,0,0,4,5,5,0,17,7,0,3,3,0,0,7,7,0,25,0,0,3,0,0,0,0,0,0,10,19,10,14,3,0,3,11,20,9,90,228,184,500,61,26,36,233,169,22,1460,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,3,21,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
Hope Vale (S),33830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,12,7,0,0,15,10,3,57,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,12,8,8,19,6,7,0,24,15,3,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ipswich (C),33960,8,15,0,4,0,0,0,0,0,21,18,129,4,0,0,0,0,0,0,164,185,519,47,31,87,34,23,24,19,966,10,27,0,3,9,0,0,3,0,52,43,185,9,32,34,7,7,3,5,331,41,55,12,5,16,8,9,3,0,142,641,2007,303,295,305,153,159,180,42,4078,6,3,8,12,3,3,4,8,0,42,226,280,235,145,107,40,70,63,15,1181,476,417,549,436,261,142,190,194,49,2716,1253,500,7042,919,671,607,1868,1614,259,14729,34,17,87,76,42,60,123,146,10,597,70,49,113,87,62,61,204,165,28,822,29,44,58,19,15,13,46,27,11,264,61,33,180,58,42,40,220,203,124,963,3098,4271,8647,2114,1646,1177,2913,2643,566,27068,3,16,0,0,8,0,0,0,0,34,10,111,0,4,7,0,0,3,0,142,135,700,17,64,114,19,0,17,11,1071,0,35,0,0,3,3,0,0,0,46
Isaac (R),33980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,35,7,0,3,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,8,24,7,0,0,0,3,0,0,42,0,3,3,0,0,0,0,0,0,7,100,233,52,25,12,0,25,11,5,460,0,0,0,0,0,0,0,0,0,3,23,20,33,7,3,0,17,3,0,104,50,22,52,9,8,3,32,11,7,200,172,52,1335,19,25,17,630,143,23,2410,10,0,9,3,0,4,24,17,0,70,7,3,19,0,0,4,40,8,3,86,4,0,3,0,0,0,14,0,0,23,17,4,37,4,3,0,73,18,9,168,431,394,1559,68,61,31,864,211,42,3665,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,17,26,0,5,3,0,0,3,0,53,0,0,0,0,0,0,0,0,0,0
Kowanyama (S),34420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,19,3,0,0,3,4,3,40,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,9,8,21,12,0,0,7,4,4,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Livingstone (S),34530,3,3,0,0,0,0,0,0,0,9,7,46,0,0,0,0,0,0,0,60,33,58,0,6,5,0,0,0,0,105,0,0,0,0,0,3,0,0,0,4,14,43,9,6,0,0,0,3,0,77,8,5,4,6,3,0,0,4,0,32,129,346,51,50,30,12,17,12,3,652,0,0,0,3,0,0,0,3,0,6,48,49,54,25,12,10,18,7,0,221,59,68,62,54,23,7,24,17,6,336,311,94,1701,117,78,80,472,243,47,3151,5,7,10,7,7,8,15,13,0,75,30,4,24,15,3,3,31,22,3,142,7,4,8,3,8,3,3,0,0,38,22,16,39,3,7,6,49,34,13,192,682,754,1972,298,177,144,634,357,78,5091,0,4,0,0,0,0,0,0,0,7,3,36,0,0,3,0,0,0,0,43,25,127,3,3,6,0,0,0,0,170,0,11,0,0,0,0,0,0,0,11
Lockhart River (S),34570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,8,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,16,11,7,8,3,0,0,3,10,8,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lockyer Valley (R),34580,0,0,0,0,0,0,0,0,0,3,3,32,0,0,0,0,0,0,0,41,21,55,5,0,5,0,3,10,0,105,3,0,0,0,0,0,0,0,0,4,3,32,4,3,4,0,0,3,0,46,3,5,0,0,0,0,0,0,0,10,108,250,33,38,17,21,17,78,3,567,0,0,3,0,0,0,0,0,0,7,35,40,34,21,17,4,15,11,3,172,80,56,71,49,23,18,24,30,9,366,306,75,1265,120,81,88,377,360,39,2707,3,0,18,3,6,22,24,47,3,119,21,9,20,12,9,13,43,34,3,171,13,3,9,0,0,0,9,16,0,52,33,3,48,15,12,15,54,56,24,256,635,562,1501,263,169,192,559,643,80,4616,0,4,0,0,6,0,0,0,0,8,5,35,0,0,3,0,0,0,0,42,26,96,4,6,13,0,0,10,0,149,0,7,0,0,0,0,0,0,0,6
Logan (C),34590,8,22,3,0,4,0,0,0,0,31,23,178,6,0,12,5,3,0,3,234,281,669,74,63,95,49,68,54,20,1374,11,39,5,5,10,0,6,0,0,75,66,254,21,33,31,9,20,3,0,444,31,67,10,12,17,0,0,0,6,145,950,2703,522,326,495,308,294,268,82,5951,3,3,9,4,0,3,9,8,0,41,348,341,403,161,141,96,159,110,23,1784,650,569,705,462,379,269,381,326,45,3775,2179,829,11468,912,1018,960,3115,2931,326,23738,66,25,135,62,54,95,162,206,6,805,143,73,194,120,79,101,342,244,25,1315,43,77,116,29,32,34,102,89,17,527,108,79,351,91,55,72,354,284,190,1579,4916,5924,14022,2280,2413,1999,5012,4523,737,41831,3,33,0,0,8,0,0,0,0,46,21,164,7,0,11,0,0,3,0,203,192,855,18,88,181,59,3,22,19,1439,11,63,0,0,7,5,0,0,3,95
Woorabinda (S),37550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,6,3,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,18,11,4,10,14,3,3,0,7,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winton (S),37400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,21,0,37,4,0,0,9,10,0,83,3,0,0,0,0,0,3,3,0,6,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,11,40,10,46,8,3,3,17,20,3,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
Wujal Wujal (S),37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yarrabah (S),37600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,10,0,4,18,4,0,0,3,9,3,41,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,3,4,15,7,19,24,23,0,0,3,13,8,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No usual address (Qld),39499,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,21,5,17,4,3,0,0,3,6,0,39,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,7,30,82,6,24,11,6,11,66,0,243,0,0,3,0,0,0,0,0,0,3,7,10,4,3,3,0,8,7,3,43,5,15,8,9,3,0,5,16,0,69,40,20,208,25,17,11,70,106,17,512,0,0,7,5,0,0,3,5,0,18,4,0,4,3,0,0,5,5,0,18,0,3,0,3,0,0,5,3,4,26,0,3,16,9,0,3,10,10,11,58,95,180,264,79,37,29,113,234,41,1070,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,7,9,25,0,9,0,0,0,7,0,49,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Qld),39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adelaide (C),40070,0,4,0,0,0,0,0,0,0,9,21,221,0,0,4,0,0,0,0,253,95,268,20,23,27,29,6,18,3,491,0,12,3,0,0,0,0,0,0,15,16,74,3,6,9,3,0,0,0,114,13,13,0,3,0,0,0,0,0,31,254,930,95,107,110,56,16,65,21,1654,0,0,0,0,0,0,0,0,0,3,57,56,21,17,7,13,3,12,0,193,58,66,35,37,27,13,3,19,0,260,90,40,184,51,33,33,24,38,5,510,4,6,5,6,6,8,0,6,0,41,10,18,8,16,3,13,3,5,0,80,7,18,0,4,3,3,3,4,0,39,11,25,11,4,0,9,0,11,7,70,638,1750,392,274,239,181,60,179,44,3763,3,8,0,0,3,0,0,0,0,17,23,140,0,3,6,0,0,0,3,168,73,298,12,35,75,27,3,9,3,532,3,7,0,0,0,0,0,0,0,16
Adelaide Hills (DC),40120,3,10,0,0,0,0,0,0,0,14,49,237,3,0,3,4,0,0,0,300,128,279,5,9,22,13,3,3,3,472,4,23,0,0,3,0,0,0,0,34,47,116,11,7,13,3,0,3,0,203,19,23,3,3,4,0,0,0,0,60,448,1127,110,104,107,63,25,57,23,2061,0,0,0,0,0,0,0,0,0,4,116,168,71,43,29,26,17,19,4,481,143,128,94,65,40,38,12,24,7,544,412,128,1239,128,109,100,195,240,37,2588,13,5,5,11,8,7,9,13,0,77,24,20,33,28,14,15,17,13,3,173,17,11,15,6,4,4,0,5,0,64,28,17,26,9,11,11,13,17,12,136,1453,2292,1615,412,364,296,291,398,84,7206,3,23,0,3,3,0,0,0,0,38,29,162,8,6,16,0,0,0,0,214,104,354,7,16,39,7,0,0,5,535,4,27,0,0,5,0,0,0,0,36
Alexandrina (DC),40220,0,3,0,0,0,0,0,0,0,3,5,26,0,0,0,0,0,0,0,29,16,27,0,0,3,3,0,0,0,54,3,0,0,0,0,0,0,0,0,9,3,31,3,4,0,6,0,3,4,56,3,5,0,0,0,0,0,0,0,11,96,245,28,30,23,16,11,27,4,469,0,0,0,0,0,0,0,0,0,3,45,49,26,25,9,6,9,7,9,178,52,40,42,28,11,14,19,28,0,244,266,42,836,96,54,93,179,186,26,1781,15,0,15,4,0,9,12,19,0,67,20,9,15,15,11,7,22,18,6,118,11,4,16,4,3,0,0,9,0,49,24,13,31,11,3,9,18,16,7,137,563,492,998,222,119,162,273,314,60,3204,0,3,0,0,0,0,0,0,0,5,8,13,0,0,0,0,0,0,0,23,20,58,0,7,11,3,0,3,0,109,0,4,0,0,0,0,0,0,0,4
Ceduna (DC),41010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,0,4,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,0,15,9,0,3,3,3,0,0,0,0,19,45,11,85,6,9,11,28,30,12,236,0,0,0,3,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,5,15,0,5,5,0,0,7,8,0,37,91,49,98,37,14,10,38,40,15,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
