lga_name_2016,lga_code_2016,med_ag_pe_in_pe_hh_in_p,me_ag_ps_n_in_ps_ot_hh,med_age_psns_tot,me_p_in_wk_in_ps_hh_in_ps,me_ps_in_wk_no_in_ps_ot_hh,med_psnl_inc_wk_tot,me_hh_in_wk_in_ps_hh_in_ps,me_hh_in_wk_no_in_ps_ot_hh,med_hhd_inc_wk_tot,me_mo_re_mt_in_ps_hh_in_ps,me_mo_re_mt_no_in_ps_ot_hh,med_mort_repay_mth_tot,me_re_wk_in_ps_hh_ind_psns,me_re_wk_no_in_psns_oth_hh,med_rent_wk_tot,av_n_p_pe_be_in_ps_hh_w_in_p,av_nu_ps_pe_be_no_in_ps_ot_hh,avg_nu_psns_per_bed_tot,av_hh_si_in_ps_hh_wi_ind_psns,avg_hh_si_no_ind_psn_othr_hhd,avg_household_size_tot,p_d_n_x_b_in_ps_hh_w_in_p,p_d_n_x_b_no_in_p_oth_hh,p_d_n_x_b_tot
Loddon (S),23940,30,51,51,377,468,467,819,826,826,856,802,809,173,125,125,1.1,0.7,0.8,3.0,2.2,2.2,13.6,2.2,2.4
Macedon Ranges (S),24130,25,42,42,525,703,702,1531,1639,1638,1733,1733,1733,328,313,315,1.0,0.8,0.8,3.2,2.7,2.7,5.3,1.5,1.5
Manningham (C),24210,24,43,43,624,629,629,1949,1641,1642,1950,2050,2050,391,415,415,0.9,0.8,0.8,3.1,2.8,2.8,7.6,2.1,2.2
Mansfield (S),24250,27,48,48,575,580,580,1281,1058,1062,1300,1370,1352,215,231,231,0.9,0.7,0.7,2.3,2.3,2.3,0.0,1.6,1.6
Maribyrnong (C),24330,29,33,33,539,704,703,1366,1553,1551,1904,2000,2000,325,330,330,1.0,1.0,1.0,2.5,2.5,2.5,7.7,6.9,6.9
Maroondah (C),24410,25,38,38,575,696,696,1488,1545,1544,1733,1800,1800,340,341,341,0.9,0.8,0.8,3.1,2.6,2.6,5.9,2.8,2.8
Melbourne (C),24600,28,28,28,628,642,642,1666,1352,1354,1594,2000,2000,420,450,450,1.1,1.1,1.1,2.1,2.0,2.0,10.4,11.2,11.2
Melton (C),24650,23,33,33,520,659,658,1307,1545,1542,1517,1718,1704,282,300,300,0.9,0.9,0.9,3.3,3.0,3.0,8.4,3.6,3.6
Mildura (RC),24780,20,41,40,429,561,555,849,1076,1064,1300,1200,1200,203,210,210,1.0,0.8,0.8,3.2,2.4,2.4,10.0,2.8,3.1
Mitchell (S),24850,19,38,37,513,651,648,1223,1394,1391,1540,1582,1582,255,270,265,0.9,0.8,0.8,3.2,2.7,2.7,6.5,2.5,2.6
Moira (S),24900,24,47,47,446,526,524,990,1015,1014,1300,1231,1235,200,200,200,1.0,0.7,0.8,2.9,2.3,2.4,10.1,2.1,2.3
Monash (C),24970,24,37,37,455,570,569,1510,1512,1512,1733,2000,2000,371,391,391,1.0,0.9,0.9,3.0,2.7,2.7,8.0,3.9,4.0
Tamworth Regional (A),17310,21,42,40,479,648,633,1106,1190,1180,1512,1500,1500,260,264,260,1.0,0.7,0.8,3.1,2.4,2.5,8.1,1.7,2.4
Temora (A),17350,24,46,46,378,551,546,782,1042,1033,1209,1148,1148,180,175,175,0.9,0.7,0.7,2.6,2.4,2.4,0.0,2.1,2.1
Tenterfield (A),17400,23,54,53,339,460,454,731,770,767,1000,1083,1079,170,180,180,0.9,0.7,0.7,2.9,2.1,2.1,9.7,1.8,2.3
Greater Bendigo (C),22620,21,39,39,463,606,604,1060,1187,1184,1365,1387,1387,250,250,250,1.0,0.8,0.8,3.0,2.4,2.4,7.7,2.0,2.1
Greater Dandenong (C),22670,27,35,35,410,475,475,1047,1169,1168,1223,1600,1600,277,300,300,1.1,1.0,1.0,3.0,2.9,2.9,14.8,11.2,11.2
Greater Geelong (C),22750,22,40,40,475,602,600,1146,1245,1244,1560,1517,1517,270,280,280,1.0,0.8,0.8,3.0,2.4,2.4,6.4,2.1,2.1
Moonee Valley (C),25060,28,38,38,710,744,744,1683,1635,1635,2167,2000,2000,360,350,350,1.0,0.9,0.9,2.6,2.5,2.5,8.2,3.5,3.5
Moorabool (S),25150,21,40,40,547,636,635,1569,1390,1391,1733,1549,1559,280,260,260,1.0,0.8,0.8,3.4,2.6,2.6,4.0,2.0,2.0
Moreland (C),25250,27,34,34,575,680,680,1370,1504,1503,1990,1950,1950,360,355,355,1.0,0.9,0.9,2.6,2.5,2.5,9.7,5.6,5.6
Mornington Peninsula (S),25340,23,46,46,560,630,630,1254,1276,1276,1603,1733,1733,290,310,310,1.0,0.8,0.8,3.0,2.4,2.4,7.0,1.4,1.5
Mount Alexander (S),25430,33,49,49,435,550,550,785,1003,1002,1300,1300,1300,234,250,250,0.9,0.8,0.8,2.9,2.2,2.2,11.5,2.0,2.1
Moyne (S),25490,20,43,43,427,622,620,1258,1224,1225,1463,1300,1300,150,180,180,0.9,0.8,0.8,3.2,2.5,2.5,0.0,1.9,1.9
Murrindindi (S),25620,26,49,48,519,553,553,1463,1066,1071,1413,1400,1400,230,220,220,0.9,0.8,0.8,3.0,2.3,2.3,9.7,1.9,2.0
Nillumbik (S),25710,26,41,41,729,785,784,2096,2098,2098,2052,2000,2000,413,366,369,0.9,0.8,0.8,3.1,3.0,3.0,4.0,1.5,1.5
Northern Grampians (S),25810,24,49,48,365,515,513,912,931,931,943,953,953,170,170,170,1.0,0.7,0.7,3.0,2.2,2.2,0.0,1.6,1.6
Port Phillip (C),25900,32,36,36,756,1089,1087,1307,1844,1842,1950,2167,2167,350,400,400,1.1,1.0,1.0,2.0,2.0,2.0,7.7,3.5,3.5
Pyrenees (S),25990,34,50,50,407,472,472,916,875,876,831,1082,1066,220,160,160,0.9,0.7,0.7,2.7,2.3,2.3,9.1,1.9,2.1
Queenscliffe (B),26080,56,60,60,687,671,671,1375,1172,1173,0,1625,1623,0,300,300,0.8,0.6,0.6,2.0,2.1,2.0,0.0,0.7,0.7
South Gippsland (S),26170,22,47,47,386,538,537,1044,1039,1039,1146,1300,1300,230,210,214,0.9,0.7,0.7,3.0,2.4,2.4,6.7,1.7,1.8
Southern Grampians (S),26260,21,47,46,425,578,576,859,1049,1043,867,1083,1082,163,175,175,1.0,0.7,0.7,2.9,2.3,2.3,3.4,1.3,1.4
Stonnington (C),26350,27,35,35,894,1043,1042,1989,1944,1944,2200,2200,2200,394,400,400,1.0,1.0,1.0,2.5,2.2,2.2,6.8,3.3,3.3
Strathbogie (S),26430,35,52,52,487,546,546,1104,960,962,1300,1162,1170,203,190,190,0.9,0.7,0.7,2.7,2.2,2.2,0.0,1.9,1.9
Surf Coast (S),26490,20,42,42,517,723,722,1483,1571,1571,1680,1842,1842,395,361,363,0.8,0.8,0.8,3.1,2.6,2.6,0.0,1.4,1.4
Swan Hill (RC),26610,21,41,40,447,585,580,987,1099,1094,1105,1131,1130,180,190,185,1.0,0.8,0.8,3.0,2.4,2.4,7.9,3.2,3.4
Towong (S),26670,38,50,50,378,540,535,725,1052,1043,852,1083,1083,178,150,150,0.8,0.7,0.7,2.2,2.2,2.3,0.0,1.8,1.9
Wangaratta (RC),26700,21,45,45,451,597,595,973,1088,1085,1300,1300,1300,200,210,210,1.0,0.7,0.7,2.8,2.3,2.3,7.8,1.6,1.7
Warrnambool (C),26730,21,41,40,448,621,618,959,1187,1182,1430,1430,1430,220,250,250,1.0,0.8,0.8,3.0,2.4,2.4,10.0,2.0,2.1
Wellington (S),26810,25,44,43,409,565,562,1117,1100,1101,1300,1300,1300,204,210,210,1.0,0.7,0.7,3.0,2.3,2.3,9.0,1.6,1.7
West Wimmera (S),26890,30,48,48,433,557,555,675,992,987,725,657,657,150,80,80,0.8,0.7,0.7,2.3,2.2,2.2,0.0,1.0,1.0
Whitehorse (C),26980,27,38,38,468,619,619,1306,1508,1507,2121,2000,2000,348,376,376,0.9,0.9,0.9,2.7,2.6,2.6,6.4,3.5,3.5
Whittlesea (C),27070,21,34,34,551,591,591,1485,1443,1444,1750,1798,1798,330,331,331,1.0,0.9,0.9,3.3,2.9,3.0,8.5,4.3,4.4
Wodonga (C),27170,19,37,36,473,678,674,1104,1280,1273,1408,1430,1430,250,250,250,0.9,0.8,0.8,3.1,2.5,2.5,8.2,1.6,1.8
Strathfield (A),17100,25,32,32,693,682,682,1424,1783,1781,1733,2167,2167,390,470,470,1.1,1.1,1.1,2.8,3.0,3.0,13.4,13.9,13.9
Sutherland Shire (A),17150,25,40,40,765,837,837,1976,1979,1979,2383,2431,2427,440,450,450,1.0,0.9,0.9,3.1,2.7,2.7,5.3,2.6,2.6
Sydney (C),17200,30,32,32,508,958,953,1053,1939,1926,2859,2492,2499,280,570,565,1.0,1.2,1.2,2.2,2.0,2.0,9.9,10.9,10.9
Wyndham (C),27260,22,32,32,516,686,685,1487,1622,1620,1600,1733,1733,315,320,320,1.0,0.9,0.9,3.4,3.1,3.1,9.0,4.2,4.2
Glen Eira (C),22310,27,37,37,744,780,780,1787,1740,1741,2334,2141,2143,385,390,390,1.0,0.9,0.9,2.6,2.5,2.5,3.3,3.9,3.9
Glenelg (S),22410,21,48,47,466,538,536,991,1045,1043,1181,1083,1083,180,184,182,1.0,0.7,0.7,3.0,2.2,2.3,8.5,1.7,1.9
Golden Plains (S),22490,18,39,39,525,629,628,1531,1447,1448,1733,1548,1550,285,250,260,0.9,0.8,0.8,3.7,2.8,2.8,5.2,2.0,2.0
Yarra (C),27350,29,33,33,660,1041,1039,1633,1961,1958,3259,2167,2167,396,421,421,1.0,1.0,1.0,2.4,2.1,2.1,9.8,4.8,4.9
Yarra Ranges (S),27450,23,40,40,527,668,667,1408,1503,1501,1690,1733,1733,300,325,325,0.9,0.8,0.8,3.1,2.7,2.7,6.0,2.3,2.4
Yarriambiack (S),27630,26,51,50,335,492,491,725,892,885,600,672,665,160,130,130,0.9,0.7,0.7,2.8,2.2,2.2,10.0,1.2,1.3
Unincorporated Vic,29399,21,31,31,812,741,741,0,1083,1087,0,775,775,0,289,285,0.0,0.9,1.0,5.0,2.0,2.1,0.0,7.9,8.4
No usual address (Vic.),29499,34,34,34,308,405,398,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Migratory - Offshore - Shipping (Vic.),29799,0,49,49,0,3000,3000,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aurukun (S),30250,27,38,28,247,1161,260,872,1916,992,0,0,0,100,29,100,1.5,0.8,1.4,4.6,1.5,4.2,46.1,0.0,39.8
Balonne (S),30300,25,42,40,477,702,662,944,1291,1230,1213,1116,1161,180,122,150,0.9,0.8,0.8,2.9,2.4,2.5,6.0,1.8,2.6
Banana (S),30370,25,38,37,446,725,714,1259,1594,1575,1600,1517,1517,198,190,190,0.9,0.8,0.8,2.9,2.6,2.6,5.1,2.3,2.4
Barcaldine (R),30410,20,43,42,548,695,684,1125,1151,1149,1100,1040,1040,150,100,100,0.9,0.7,0.8,3.1,2.3,2.3,0.0,1.6,1.7
Barcoo (S),30450,35,48,46,424,793,774,725,1216,1187,0,257,338,88,80,82,0.6,0.7,0.7,2.0,2.0,1.9,0.0,0.0,0.0
Blackall-Tambo (R),30760,28,47,47,491,554,548,1021,974,978,820,854,850,145,115,120,0.9,0.7,0.7,2.5,2.2,2.3,0.0,1.5,1.5
Longreach (R),34710,22,41,40,468,737,726,1111,1292,1276,1185,1300,1300,200,178,180,1.0,0.7,0.8,2.7,2.3,2.3,5.9,1.0,1.3
Mackay (R),34770,20,38,37,494,708,698,1232,1474,1456,1904,1950,1950,260,280,277,1.0,0.8,0.8,3.1,2.5,2.5,6.8,1.9,2.2
McKinlay (S),34800,28,41,39,575,842,834,725,1157,1135,0,650,669,140,60,68,0.0,0.8,0.8,1.5,2.4,2.4,0.0,2.8,2.7
Mapoon (S),34830,26,48,27,335,899,365,862,1833,962,0,0,0,128,98,122,1.0,0.8,1.0,3.5,1.3,3.3,16.9,0.0,14.6
Maranoa (R),34860,24,37,36,514,760,741,1137,1393,1369,1300,1400,1400,220,200,200,0.9,0.8,0.8,2.9,2.4,2.5,6.4,1.6,2.0
Mareeba (S),34880,27,45,43,388,564,541,990,1052,1045,1300,1517,1517,210,220,220,1.1,0.8,0.9,3.3,2.4,2.5,16.7,3.3,4.7
Moreton Bay (R),35010,21,38,38,484,656,652,1335,1416,1413,1733,1786,1781,330,340,340,1.0,0.8,0.8,3.3,2.7,2.7,7.9,2.1,2.3
Mornington (S),35250,24,35,27,296,1411,352,772,2250,979,0,0,0,120,9,120,1.4,1.0,1.3,4.1,2.0,3.7,42.4,0.0,34.2
Mount Isa (C),35300,22,32,31,501,1107,997,1479,2220,2132,1917,1860,1885,210,280,260,1.1,0.8,0.9,3.2,2.5,2.6,12.8,2.5,4.4
Murweh (S),35600,21,42,39,448,700,672,929,1152,1115,986,997,997,175,150,158,0.9,0.7,0.8,3.0,2.3,2.4,6.7,2.3,2.9
Napranum (S),35670,24,44,25,272,1021,280,788,1624,826,0,0,0,120,90,120,1.3,0.4,1.2,3.8,2.7,3.7,20.5,0.0,20.4
Noosa (S),35740,22,49,48,493,596,595,1284,1182,1184,1733,1733,1733,355,380,380,1.0,0.8,0.8,3.3,2.4,2.4,8.2,1.6,1.7
North Burnett (R),35760,25,47,46,411,511,501,841,924,917,1250,1083,1083,180,150,157,1.0,0.8,0.8,3.0,2.2,2.3,9.6,3.1,3.6
Northern Peninsula Area (R),35780,20,38,22,419,1086,468,1068,1640,1158,0,0,0,120,25,120,1.3,1.0,1.3,4.1,2.0,3.8,31.3,4.4,27.4
Palm Island (S),35790,23,47,24,290,1390,303,1069,2299,1119,0,0,0,120,9,120,1.5,0.8,1.5,4.4,2.2,4.3,41.7,0.0,39.8
Paroo (S),35800,24,52,46,393,584,529,730,941,874,469,517,498,109,60,100,0.9,0.7,0.8,2.8,1.9,2.2,8.3,2.9,4.4
Pormpuraaw (S),36070,29,38,31,311,890,337,680,1859,771,0,867,867,90,42,90,1.1,0.9,1.1,3.3,2.0,3.1,18.2,9.5,16.5
Quilpie (S),36150,25,43,41,624,700,692,919,1105,1065,667,763,723,130,120,120,1.0,0.6,0.7,2.6,2.2,2.3,13.7,0.0,3.0
Redland (C),36250,23,42,41,527,689,686,1435,1524,1521,2000,1950,1950,355,390,386,1.0,0.8,0.8,3.2,2.6,2.6,6.8,1.5,1.7
Richmond (S),36300,25,36,35,525,663,655,1187,1183,1183,886,710,710,150,62,80,0.8,0.8,0.8,2.3,2.3,2.3,0.0,3.4,3.8
Rockhampton (R),36370,20,37,36,445,640,626,1131,1271,1255,1549,1517,1517,250,270,270,1.0,0.8,0.8,3.2,2.4,2.5,8.5,2.3,2.8
Scenic Rim (R),36510,19,45,44,472,572,569,1270,1220,1222,1733,1668,1670,290,290,290,1.0,0.8,0.8,3.4,2.5,2.6,6.2,2.1,2.3
Somerset (R),36580,19,43,43,416,516,512,1139,1086,1089,1364,1500,1500,285,270,275,1.0,0.8,0.8,3.4,2.5,2.6,8.9,2.6,2.9
South Burnett (R),36630,21,46,45,429,480,478,959,922,925,1065,1172,1159,230,215,220,1.0,0.8,0.8,3.2,2.3,2.4,7.4,2.1,2.4
Southern Downs (R),36660,19,46,45,428,510,506,970,973,973,1213,1300,1300,240,230,230,1.0,0.7,0.8,3.2,2.3,2.4,8.9,2.0,2.3
Sunshine Coast (R),36720,22,43,43,505,617,615,1366,1273,1275,1907,1800,1800,365,370,370,1.0,0.8,0.8,3.2,2.5,2.5,8.3,1.9,2.1
Tablelands (R),36820,21,49,47,406,527,517,945,980,977,1417,1343,1352,238,240,240,1.1,0.8,0.8,3.2,2.3,2.4,11.2,2.5,3.2
Toowoomba (R),36910,19,39,38,473,648,642,1179,1274,1269,1540,1517,1517,280,280,280,1.0,0.8,0.8,3.3,2.5,2.5,7.6,1.9,2.1
Torres (S),36950,23,36,28,554,1264,740,1550,2187,1837,1300,2184,1705,225,30,151,1.3,0.9,1.2,3.8,2.2,3.2,29.2,3.7,20.3
Torres Strait Island (R),36960,23,36,24,363,630,373,904,2028,929,0,0,0,120,27,115,1.1,0.9,1.1,3.8,2.3,3.8,23.5,0.0,22.4
Townsville (C),37010,21,35,34,473,718,703,1216,1443,1424,1690,1733,1733,280,300,300,1.0,0.8,0.8,3.2,2.5,2.6,9.1,2.0,2.5
Western Downs (R),37310,19,39,37,430,634,621,1016,1225,1209,1400,1400,1400,220,200,200,1.0,0.8,0.8,3.1,2.5,2.5,6.5,2.0,2.3
Whitsunday (R),37340,24,39,38,474,694,685,1117,1237,1228,1820,1733,1733,250,276,270,1.0,0.8,0.8,2.9,2.4,2.4,7.3,3.0,3.3
Boulia (S),30900,24,38,34,395,840,753,900,1408,1271,0,906,867,98,21,85,1.1,0.7,0.8,2.9,2.1,2.3,20.0,0.0,7.3
Brisbane (C),31000,25,35,35,562,773,770,1495,1753,1746,2000,2000,2000,360,390,390,1.0,0.8,0.8,2.9,2.6,2.6,7.6,3.3,3.4
Ipswich (C),33960,19,33,32,474,674,667,1299,1417,1410,1581,1600,1600,295,310,310,1.0,0.8,0.8,3.5,2.8,2.8,9.4,3.2,3.5
Isaac (R),33980,22,32,32,748,1040,1030,2106,2140,2138,1733,1517,1521,155,83,90,0.9,0.8,0.8,3.1,2.7,2.7,3.5,1.5,1.6
Kowanyama (S),34420,28,38,29,309,1228,342,876,1713,944,0,0,0,70,20,65,1.2,1.0,1.2,3.7,1.7,3.4,32.4,0.0,29.1
Livingstone (S),34530,22,43,42,418,626,618,1224,1304,1300,1920,1872,1875,300,300,300,0.9,0.8,0.8,3.1,2.5,2.5,5.5,2.3,2.5
Bulloo (S),31750,30,41,40,974,872,883,1449,1318,1359,659,719,715,140,55,88,0.6,0.8,0.8,2.1,2.1,2.1,0.0,0.0,0.0
Bundaberg (R),31820,20,46,45,401,493,490,955,974,973,1408,1309,1322,265,260,260,1.0,0.8,0.8,3.2,2.3,2.4,9.2,2.0,2.3
Burdekin (S),31900,22,45,44,435,628,617,964,1192,1177,1240,1300,1300,225,206,210,1.0,0.8,0.8,3.1,2.3,2.4,10.6,1.9,2.4
Burke (S),31950,33,43,38,670,787,742,916,1166,1047,0,0,0,140,0,135,1.5,1.0,1.1,3.4,1.8,2.3,16.7,0.0,9.5
Cairns (R),32080,22,39,37,476,713,693,1082,1363,1336,1704,1660,1665,260,305,300,1.1,0.8,0.8,3.1,2.4,2.5,14.3,2.8,3.9
Carpentaria (S),32250,27,46,38,481,821,677,1356,1342,1347,997,1000,999,163,100,150,1.2,1.0,1.0,3.5,2.0,2.6,20.2,4.5,10.1
Cassowary Coast (R),32260,22,46,44,437,582,567,1022,1074,1068,1296,1300,1300,230,230,230,1.1,0.8,0.8,3.2,2.3,2.4,14.7,3.0,4.2
Central Highlands (R) (Qld),32270,21,33,33,602,856,843,1574,1834,1823,1733,1850,1842,200,180,180,1.0,0.8,0.8,3.1,2.6,2.7,6.0,2.1,2.3
Charters Towers (R),32310,19,42,40,377,544,522,845,1070,1047,1500,1300,1300,200,200,200,1.0,0.8,0.8,3.0,2.4,2.4,10.5,2.0,2.8
Lockhart River (S),34570,23,40,26,298,900,332,833,2083,900,0,0,0,120,18,109,1.3,0.8,1.3,4.1,1.8,3.7,34.1,0.0,29.4
Lockyer Valley (R),34580,20,40,39,428,540,535,1273,1194,1198,1430,1517,1517,295,280,280,1.0,0.8,0.8,3.6,2.6,2.7,9.0,3.0,3.3
Logan (C),34590,19,35,34,492,640,635,1391,1417,1416,1733,1733,1733,330,338,335,1.0,0.8,0.8,3.5,2.9,2.9,9.6,4.2,4.4
Cherbourg (S),32330,21,53,21,317,187,315,778,0,775,0,0,0,100,0,100,1.2,0.0,1.2,3.9,0.0,3.9,28.8,0.0,28.7
Cloncurry (S),32450,27,36,34,480,1185,1022,1135,1860,1646,1540,1500,1510,165,132,150,0.9,0.8,0.8,2.9,2.3,2.5,10.7,1.6,4.2
Cook (S),32500,24,46,41,417,638,579,1154,1012,1038,1484,1218,1255,150,165,163,1.3,1.0,1.0,3.3,2.1,2.3,20.5,6.3,9.0
Croydon (S),32600,29,41,40,407,700,579,849,1199,1100,0,0,0,133,128,133,1.1,0.9,0.9,2.9,2.3,2.4,0.0,6.3,5.1
Weipa (T),37300,21,33,31,1056,1396,1320,2530,2475,2484,2600,2100,2200,540,401,450,1.1,0.9,1.0,3.6,2.7,2.9,7.6,2.0,3.1
Diamantina (S),32750,25,31,30,585,789,754,1562,1833,1767,0,1500,1500,157,124,133,0.9,0.8,0.8,2.4,2.3,2.5,0.0,7.0,6.4
Clare and Gilbert Valleys (DC),41140,24,47,47,450,608,605,1042,1131,1129,1300,1300,1300,220,210,210,0.9,0.7,0.7,3.0,2.3,2.3,7.1,1.0,1.1
Ceduna (DC),41010,24,43,39,403,760,696,960,1327,1254,1363,1300,1300,150,200,186,0.9,0.7,0.8,3.1,2.2,2.4,8.2,1.2,2.5
Charles Sturt (C),41060,24,41,41,474,616,614,1052,1234,1231,1733,1700,1700,260,290,288,0.9,0.8,0.8,2.7,2.4,2.4,8.1,3.1,3.2
Doomadgee (S),32770,20,32,21,282,1350,298,987,1875,1082,0,0,0,120,40,120,1.7,0.0,1.7,4.7,1.4,4.5,46.0,0.0,44.9
Douglas (S),32810,26,44,43,461,692,676,986,1184,1169,1602,1560,1560,200,290,280,1.1,0.8,0.9,3.0,2.2,2.3,12.7,3.0,3.8
Etheridge (S),33100,28,47,45,378,536,521,706,894,865,0,660,664,130,50,95,1.3,0.9,0.9,2.4,2.2,2.2,0.0,4.6,5.1
Flinders (S) (Qld),33200,34,44,44,505,612,600,949,1125,1109,509,800,780,150,100,120,0.8,0.7,0.7,2.3,2.3,2.3,0.0,2.8,2.7
Fraser Coast (R),33220,21,49,48,405,469,468,964,902,906,1387,1300,1300,265,270,265,1.0,0.7,0.8,3.2,2.3,2.3,7.2,2.0,2.3
Gladstone (R),33360,20,36,35,455,690,678,1331,1602,1586,2000,1950,1950,240,250,250,0.9,0.8,0.8,3.1,2.6,2.6,4.9,1.7,1.8
Gold Coast (C),33430,23,39,38,552,668,666,1477,1402,1404,2000,1950,1950,390,390,390,1.0,0.8,0.8,3.2,2.5,2.6,7.9,2.9,3.0
Goondiwindi (R),33610,20,40,40,430,667,653,963,1233,1212,1242,1300,1300,220,200,200,1.0,0.8,0.8,3.1,2.4,2.4,7.2,1.8,2.1
Gympie (R),33620,20,47,46,410,481,479,936,939,939,1311,1300,1300,260,250,250,1.0,0.8,0.8,3.2,2.3,2.4,8.9,2.6,2.8
Hinchinbrook (S),33800,18,51,50,352,553,538,905,1051,1041,1300,1300,1300,200,180,180,1.0,0.7,0.8,2.9,2.2,2.3,8.9,1.6,2.0
Hope Vale (S),33830,25,41,26,310,466,321,737,1468,777,1215,0,1215,110,19,110,1.2,0.4,1.1,3.5,1.3,3.4,21.9,0.0,20.4
Winton (S),37400,25,48,46,612,658,655,1375,1036,1067,1083,884,1000,150,80,100,0.8,0.8,0.8,2.5,2.1,2.1,0.0,2.0,2.2
Copper Coast (DC),41560,21,51,50,365,479,477,916,877,878,1213,1153,1161,240,225,230,0.9,0.7,0.7,3.1,2.2,2.2,7.4,1.0,1.2
Elliston (DC),41750,21,47,46,474,530,529,900,925,924,1284,732,800,120,93,97,1.2,0.7,0.7,3.0,2.2,2.2,0.0,1.5,1.5
Woorabinda (S),37550,22,38,23,297,1093,319,714,2125,740,0,0,0,120,28,120,1.2,0.8,1.2,3.5,1.7,3.5,27.4,0.0,26.7
Southern Mallee (DC),47290,30,46,46,462,607,604,1312,1149,1155,639,650,650,127,120,120,0.9,0.7,0.7,3.8,2.3,2.3,0.0,1.7,1.8
Streaky Bay (DC),47490,31,45,45,575,594,594,1624,1067,1069,0,1083,1083,220,160,163,0.6,0.8,0.8,2.4,2.3,2.3,0.0,1.8,1.9
Tatiara (DC),47630,29,42,42,518,653,652,1100,1167,1165,975,975,975,142,150,150,0.8,0.7,0.7,3.0,2.4,2.4,10.8,1.8,1.9
Tea Tree Gully (C),47700,24,41,41,471,657,655,1285,1385,1383,1600,1517,1517,300,300,300,0.9,0.8,0.8,3.0,2.5,2.5,5.5,1.5,1.6
The Coorong (DC),47800,25,48,46,374,514,499,868,934,929,852,867,867,119,130,125,0.9,0.7,0.7,2.9,2.2,2.3,5.6,1.6,1.8
Tumby Bay (DC),47910,32,50,50,292,575,570,762,974,966,1083,1170,1170,265,165,170,0.8,0.7,0.7,2.8,2.2,2.2,0.0,1.4,1.4
Wujal Wujal (S),37570,28,37,30,284,1124,294,746,2250,811,0,0,0,110,30,100,1.1,0.5,1.1,3.4,1.0,3.3,27.9,0.0,25.0
Yarrabah (S),37600,22,32,23,284,1018,288,1115,2624,1129,0,0,0,140,46,130,1.6,0.9,1.6,4.9,1.7,4.8,47.1,0.0,45.5
No usual address (Qld),39499,37,46,45,321,417,407,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Migratory - Offshore - Shipping (Qld),39799,20,57,56,274,617,606,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Broome (S),50980,24,36,33,391,1062,898,992,2043,1796,2500,2583,2573,166,340,265,1.1,0.9,1.0,3.3,2.4,2.7,16.7,4.1,7.5
Adelaide (C),40070,29,30,30,434,555,553,739,1271,1266,1647,1733,1733,187,375,375,1.0,0.9,0.9,1.8,1.9,1.9,5.3,5.7,5.7
Adelaide Hills (DC),40120,21,44,44,595,741,741,1696,1701,1701,1767,1733,1733,355,300,302,0.9,0.8,0.8,2.9,2.7,2.7,0.0,1.6,1.6
Alexandrina (DC),40220,22,51,51,453,523,522,989,992,992,1423,1343,1343,260,250,250,0.9,0.7,0.7,3.0,2.3,2.3,0.0,1.4,1.4
Anangu Pitjantjatjara (AC),40250,26,43,28,258,1409,283,893,1914,1150,0,0,0,75,0,75,1.6,0.7,1.3,4.7,1.5,3.8,45.5,0.0,32.8
Barossa (DC),40310,20,44,44,434,647,646,1358,1270,1272,1603,1464,1473,278,250,250,1.0,0.8,0.8,3.2,2.4,2.5,3.7,1.5,1.5
Barunga West (DC),40430,22,55,55,350,489,487,1145,827,839,788,972,875,170,178,175,0.9,0.7,0.7,2.9,2.1,2.1,0.0,1.3,1.5
Berri and Barmera (DC),40520,24,45,45,363,542,533,772,988,976,975,1083,1083,173,180,180,0.9,0.7,0.8,2.8,2.3,2.3,9.8,1.8,2.2
Chapman Valley (S),51610,19,43,43,474,740,732,899,1640,1625,3000,2029,2167,200,195,200,0.9,0.8,0.9,3.0,2.7,2.7,0.0,2.4,2.2
Burnside (C),40700,25,44,44,408,808,807,1375,1718,1716,2000,2000,2000,305,320,320,0.9,0.8,0.8,2.7,2.5,2.5,0.0,2.1,2.1
Campbelltown (C) (SA),40910,27,42,41,459,589,588,1262,1248,1249,1733,1690,1690,290,300,300,0.9,0.8,0.8,2.8,2.5,2.5,3.9,2.5,2.5
Cleve (DC),41190,23,44,44,350,633,630,1125,1090,1091,0,867,867,0,148,150,0.0,0.7,0.7,2.0,2.2,2.3,0.0,1.1,1.2
Coober Pedy (DC),41330,25,50,46,392,524,497,1050,805,844,465,561,556,165,135,150,1.0,0.7,0.8,3.1,1.8,2.0,13.8,2.2,3.9
Flinders Ranges (DC),41830,28,52,50,460,564,549,1028,943,951,1083,900,900,140,160,154,0.9,0.7,0.7,2.6,2.0,2.1,4.8,0.0,0.9
Franklin Harbour (DC),41960,16,49,49,274,543,536,900,1046,1041,0,1200,1200,250,188,189,1.3,0.7,0.7,3.3,2.3,2.3,0.0,1.3,1.3
Gawler (T),42030,20,42,41,444,578,576,1119,1112,1112,1283,1400,1400,270,260,260,1.0,0.8,0.8,3.1,2.4,2.4,9.3,1.9,2.0
