lga_name_2016,lga_code_2016,d_5_9_fpet_mptlf,d_5_9_fpet_mpnlf,d_5_9_fpet_mplfsns,d_5_9_fpet_t,d_5_9_fpulftw_mpeft,d_5_9_fpulftw_mpept,d_5_9_fpulftw_mp_eaw,d_5_9_fpulftw_mp_e_hns,d_5_9_fpulftw_mpet,d_5_9_fpulftw_mpulftw,d_5_9_fpulftw_mpulptw,d_5_9_fpulftw_mput,d_5_9_fpulftw_mptlf,d_5_9_fpulftw_mpnlf,d_5_9_fpulftw_mplfsns,d_5_9_fpulftw_t,d_5_9_fpulptw_mpeft,d_5_9_fpulptw_mpept,d_5_9_fpulptw_mpeaw,d_5_9_fpulptw_mp_e_hns,d_5_9_fpulptw_mpet,d_5_9_fpulptw_mpulftw,d_5_9_fpulptw_mpulptw,d_5_9_fpulptw_mput,d_5_9_fpulptw_mptlf,d_5_9_fpulptw_mpnlf,d_5_9_fpulptw_mplfsns,d_5_9_fpulptw_t,d_5_9_fput_mpeft,d_5_9_fput_mpept,d_5_9_fput_mpeaw,d_5_9_fput_mpehns,d_5_9_fput_mpet,d_5_9_fput_mpulftw,d_5_9_fput_mpulptw,d_5_9_fput_mput,d_5_9_fput_mptlf,d_5_9_fput_mpnlf,d_5_9_fput_mplfsns,d_5_9_fput_t,d_5_9_fptlf_mpeft,d_5_9_fptlf_mpept,d_5_9_fptlf_mpeaw,d_5_9_fptlf_mpehns,d_5_9_fptlf_mpet,d_5_9_fptlf_mpulftw,d_5_9_fptlf_mpulptw,d_5_9_fptlf_mput,d_5_9_fptlf_mptlf,d_5_9_fptlf_mpnlf,d_5_9_fptlf_mplfsns,d_5_9_fptlf_t,d_5_9_fpnlf_mpeft,d_5_9_fpnlf_mpept,d_5_9_fpnlf_mpeaw,d_5_9_fpnlf_mpehns,d_5_9_fpnlf_mpet,d_5_9_fpnlf_mpulftw,d_5_9_fpnlf_mpulptw,d_5_9_fpnlf_mput,d_5_9_fpnlf_mptlf,d_5_9_fpnlf_mpnlf,d_5_9_fpnlf_mplfsns,d_5_9_fpnlf_t,d_5_9_fplfsns_mpeft,d_5_9_fplfsns_mpept,d_5_9_fplfsns_mpeaw,d_5_9_fplfsns_mpehns,d_5_9_fplfsns_mpet,d_5_9_fplfsns_mpulftw,d_5_9_fplfsns_mpulptw,d_5_9_fplfsns_mput,d_5_9_fplfsns_mptlf,d_5_9_fplfsns_mpnlf,d_5_9_fplfsns_mplfsns,d_5_9_fplfsns_t,d_5_9_fpt_mpeft,d_5_9_fpt_mpept,d_5_9_fpt_mpeaw,d_5_9_fpt_mpehns,d_5_9_fpt_mpet,d_5_9_fpt_mpulftw,d_5_9_fpt_mpulptw,d_5_9_fpt_mput,d_5_9_fpt_mptlf,d_5_9_fpt_mpnlf,d_5_9_fpt_mplfsns,d_5_9_fpt_t,d_10_12_fpeft_mpeft,d_10_12_fpeft_mpept,d_10_12_fpeft_mpeaw,d_10_12_fpeft_mpehns,d_10_12_fpeft_mpet,d_10_12_fpeft_mpulftw,d_10_12_fpeft_mpulptw,d_10_12_fpeft_mput,d_10_12_fpeft_mptlf,d_10_12_fpeft_mpnlf,d_10_12_fpeft_mplfsns,d_10_12_fpeft_t,d_10_12_fpept_mpeft,d_10_12_fpept_mpept,d_10_12_fpept_mpeaw,d_10_12_fpept_mpehns,d_10_12_fpept_mpet,d_10_12_fpept_mpulftw,d_10_12_fpept_mpulptw,d_10_12_fpept_mput,d_10_12_fpept_mptlf,d_10_12_fpept_mpnlf,d_10_12_fpept_mplfsns,d_10_12_fpept_t,d_10_12_fpeaw_mpeft,d_10_12_fpeaw_mpept,d_10_12_fpeaw_mpeaw,d_10_12_fpeaw_mpehns,d_10_12_fpeaw_mpet,d_10_12_fpeaw_mpulftw,d_10_12_fpeaw_mpulptw,d_10_12_fpeaw_mput,d_10_12_fpeaw_mptlf,d_10_12_fpeaw_mpnlf,d_10_12_fpeaw_mplfsns,d_10_12_fpeaw_t,d_10_12_fphns_mpeft,d_10_12_fphns_mpept,d_10_12_fphns_mpeaw,d_10_12_fphns_mpehns,d_10_12_fphns_mpet,d_10_12_fphns_mpulftw,d_10_12_fphns_mpulptw,d_10_12_fphns_mput,d_10_12_fphns_mptlf,d_10_12_fphns_mpnlf,d_10_12_fphns_mplfsns,d_10_12_fphns_t,d_10_12_fpet_mpeft,d_10_12_fpet_mpept,d_10_12_fpet_mpeaw,d_10_12_fpet_mpehns,d_10_12_fpet_mpet,d_10_12_fpet_mpulftw,d_10_12_fpet_mpulptw,d_10_12_fpet_mput,d_10_12_fpet_mptlf,d_10_12_fpet_mpnlf,d_10_12_fpet_mplfsns,d_10_12_fpet_t,d_10_12_fpulftw_mpeft,d_10_12_fpulftw_mpept,d_10_12_fpulftw_mpeaw,d_10_12_fpulftw_mpehns,d_10_12_fpulftw_mpet,d_10_12_fpulftw_mpulftw,d_10_12_fpulftw_mpulptw,d_10_12_fpulftw_mput,d_10_12_fpulftw_mptlf,d_10_12_fpulftw_mpnlf,d_10_12_fpulftw_mplfsns,d_10_12_fpulftw_t,d_10_12_fpulptw_mpeft,d_10_12_fpulptw_mpept,d_10_12_fpulptw_mpeaw,d_10_12_fpulptw_mpehns,d_10_12_fpulptw_mpet,d_10_12_fpulptw_mpulftw,d_10_12_fpulptw_mpulptw,d_10_12_fpulptw_mput,d_10_12_fpulptw_mptlf,d_10_12_fpulptw_mpnlf,d_10_12_fpulptw_mplfsns,d_10_12_fpulptw_t,d_10_12_fput_mpeft,d_10_12_fput_mpept,d_10_12_fput_mpeaw,d_10_12_fput_mpehns,d_10_12_fput_mpet,d_10_12_fput_mpulftw,d_10_12_fput_mpulptw,d_10_12_fput_mput,d_10_12_fput_mptlf,d_10_12_fput_mpnlf,d_10_12_fput_mplfsns,d_10_12_fput_t,d_10_12_fptlf_mpeft,d_10_12_fptlf_mpept,d_10_12_fptlf_mpeaw,d_10_12_fptlf_mpehns,d_10_12_fptlf_mpet,d_10_12_fptlf_mpulftw,d_10_12_fptlf_mpulptw,d_10_12_fptlf_mput,d_10_12_fptlf_mptlf,d_10_12_fptlf_mpnlf,d_10_12_fptlf_mplfsns,d_10_12_fptlf_t,d_10_12_fpnlf_mpeft,d_10_12_fpnlf_mpept,d_10_12_fpnlf_mpeaw,d_10_12_fpnlf_mpehns
Dumbleyung (S),53010,29,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,29,0,0,0,27,0,0,27,5,0,0,0,4,0,0,0,4,3,0,6,3,0,0,0,3,0,0,0,3,0,0,3,29,4,0,0,35,0,0,0,40,3,0,40,3,0,0,0,3,0,0,0,3,0,0,3,7,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,15,0,0,0,13,0,0,13,0,0,0,0
Dundas (S),53080,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,9,4,0,0,0,9,3,0,3,12,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,3,0,3,19,3,0,20,3,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0
East Fremantle (T),53150,283,17,0,297,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,19,0,0,0,20,0,0,20,13,0,0,3,19,0,0,0,20,0,0,20,256,20,8,3,287,6,0,8,299,17,0,315,55,4,0,0,60,4,0,4,63,7,0,74,0,0,0,0,0,0,0,0,0,0,0,0,312,30,8,3,350,8,0,14,360,25,0,387,63,14,3,0,78,3,0,3,82,5,0,85,92,4,0,0,100,0,0,0,100,3,0,100,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,160,16,4,0,182,3,0,3,185,8,0,192,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,7,0,0,7,161,16,4,0,185,3,0,3,190,8,0,196,30,6,5,0
East Pilbara (S),53220,250,11,0,257,10,0,0,0,10,4,0,4,10,0,0,10,8,0,0,0,11,8,0,8,19,3,0,21,21,0,0,0,18,9,0,9,29,3,0,30,240,17,7,3,272,10,0,10,283,11,0,290,75,7,3,3,84,6,0,6,91,25,4,125,0,0,0,0,0,0,0,0,0,0,3,5,316,22,13,9,358,16,0,16,375,36,4,420,63,5,0,0,64,0,0,0,64,10,0,70,36,3,0,0,41,3,0,3,43,0,0,45,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,98,10,0,0,109,7,0,7,112,9,0,117,6,0,0,0,6,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,14,0,0,14,111,10,0,0,116,5,0,5,126,9,0,131,22,8,0,0
Esperance (S),53290,447,0,0,448,0,0,0,0,0,0,0,0,3,0,0,3,11,0,0,0,10,3,0,4,13,0,0,13,15,0,0,0,15,3,0,8,17,0,0,17,393,26,20,12,460,7,3,10,467,0,0,472,147,10,11,3,164,4,3,9,168,12,0,186,0,0,0,0,0,0,0,0,0,0,3,3,542,34,30,14,623,15,3,17,642,13,3,658,92,5,0,0,99,0,0,0,104,0,0,104,161,17,5,3,180,0,0,0,183,8,0,186,3,0,3,0,11,0,0,0,11,0,0,11,0,0,0,6,4,0,0,0,4,0,0,4,255,19,6,7,294,3,0,3,300,8,0,302,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,5,0,0,5,5,0,0,0,6,4,0,4,9,0,0,9,262,22,6,8,304,3,0,3,305,8,0,315,62,3,0,0
Exmouth (S),53360,96,0,0,94,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,83,7,3,0,92,0,0,4,94,0,0,97,14,3,0,0,20,3,0,3,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,96,12,3,0,112,4,0,5,117,0,0,122,26,0,0,0,25,0,0,0,27,0,0,27,28,6,0,0,35,0,0,0,35,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,12,0,0,66,0,0,0,64,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,12,0,0,69,0,0,0,67,0,0,70,6,0,0,0
Fremantle (C),53430,645,33,0,675,3,0,0,0,9,3,0,3,12,0,0,12,14,4,0,0,17,0,0,0,19,0,0,19,16,3,0,0,22,4,0,4,29,0,0,29,531,113,5,7,656,17,0,16,670,33,0,704,169,20,4,0,194,9,4,14,207,15,0,225,0,0,0,0,0,0,0,0,0,0,0,3,701,126,15,7,854,26,3,28,880,50,3,926,106,26,0,3,131,6,0,6,136,10,0,145,194,32,0,0,231,3,0,3,236,0,0,236,4,8,0,0,6,0,0,0,6,0,0,6,4,0,0,3,8,0,0,0,8,0,0,8,304,59,0,7,374,7,0,12,388,10,0,392,0,0,0,0,0,0,0,0,0,0,0,5,10,4,0,0,8,0,3,3,14,0,0,14,10,4,0,0,12,0,3,3,13,0,0,16,316,60,4,7,390,8,0,13,399,8,0,412,77,6,0,0
Kalgoorlie/Boulder (C),54280,1036,18,0,1060,20,0,0,4,25,3,0,3,27,0,0,27,34,0,0,0,33,0,0,4,34,4,0,38,56,0,0,4,64,0,0,4,68,4,0,71,979,44,18,34,1074,29,4,32,1105,21,0,1125,421,29,13,6,466,12,0,12,483,44,4,532,0,0,0,0,0,0,0,0,0,0,8,7,1397,70,31,45,1543,40,4,44,1589,69,12,1668,232,16,7,8,256,5,3,7,263,3,0,266,291,14,3,7,314,0,0,0,312,9,0,320,7,0,0,0,6,0,0,0,13,0,0,13,9,0,0,4,10,3,0,3,16,0,0,13,537,22,11,17,590,7,3,8,601,9,0,611,3,0,0,0,3,0,0,0,3,0,0,3,12,0,0,0,16,0,0,0,13,0,0,14,16,0,0,0,18,0,0,0,22,0,0,21,556,29,11,17,608,13,0,14,625,9,0,636,129,16,6,0
Karratha (C),54310,836,23,0,857,21,0,0,0,21,8,0,8,33,0,0,36,31,3,3,0,34,0,0,3,36,3,0,43,51,8,3,0,53,10,0,9,68,6,0,71,768,59,29,13,868,35,0,34,903,30,0,933,359,23,17,10,408,16,0,17,427,29,0,464,3,3,0,0,7,0,0,0,7,0,6,8,1133,79,45,27,1283,49,0,49,1335,62,8,1404,180,12,0,0,191,3,0,5,195,5,0,206,249,21,4,0,275,4,0,4,280,3,0,287,8,0,10,0,13,0,0,0,14,0,0,14,7,0,0,4,6,0,0,0,6,0,0,6,438,31,12,3,490,7,0,11,502,14,0,508,5,0,0,0,5,3,0,3,7,0,0,14,11,0,4,0,16,0,0,3,20,0,0,18,21,0,4,0,25,4,0,10,32,0,0,30,459,31,15,3,512,13,3,15,528,16,0,540,105,3,5,3
Greater Geraldton (C),53800,1086,44,0,1128,8,0,4,0,14,5,0,5,21,0,0,18,32,0,0,0,33,5,0,5,42,10,0,49,38,3,4,0,51,9,0,9,56,9,0,64,939,108,31,15,1094,40,9,49,1145,50,0,1195,286,33,11,11,343,34,4,36,377,58,0,439,7,0,0,0,7,0,0,0,7,0,6,13,1232,148,42,31,1445,72,14,84,1529,110,4,1643,210,23,3,3,239,8,0,8,246,12,0,263,306,36,11,0,353,15,0,14,370,20,0,390,9,0,0,0,8,0,0,0,8,0,0,8,3,4,0,4,8,0,0,0,8,0,0,11,528,67,13,12,614,18,0,19,639,37,0,670,8,0,3,0,12,3,0,3,11,0,0,15,21,0,0,3,23,0,0,0,25,0,0,26,28,0,3,7,33,3,0,3,39,3,0,40,555,67,15,11,649,23,0,24,677,40,0,711,127,16,8,5
Halls Creek (S),53920,21,9,0,32,0,0,0,0,0,3,0,3,6,0,0,4,0,0,0,0,0,0,0,0,5,0,0,5,3,0,0,0,3,3,0,6,9,0,0,9,16,5,0,0,28,3,0,6,33,10,0,40,12,10,0,0,17,5,3,9,28,38,0,69,0,0,0,0,0,0,0,0,0,0,10,11,33,12,0,0,41,10,3,12,55,53,11,116,5,0,0,0,4,0,0,0,4,4,0,7,3,7,0,0,13,0,0,0,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0,17,0,0,0,17,3,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,3,3,0,6,11,13,0,0,23,0,0,0,22,9,0,27,6,5,0,3
Harvey (S),53990,871,33,0,902,21,0,0,0,21,3,0,3,28,3,0,25,37,0,3,3,43,0,3,3,47,4,0,43,52,0,4,3,63,5,3,4,68,6,0,77,789,68,33,14,907,26,10,38,943,33,0,978,316,31,29,6,382,15,0,15,397,21,3,426,0,0,0,0,0,0,0,0,0,0,0,0,1110,99,57,27,1288,37,10,52,1339,60,3,1401,160,3,3,0,173,5,3,8,182,12,0,188,327,26,13,3,368,13,0,13,379,6,0,392,7,0,0,0,11,0,0,0,11,0,0,11,0,0,0,5,5,0,0,0,5,0,0,8,497,36,21,10,553,24,3,24,578,15,0,598,10,0,3,0,13,6,0,6,21,0,0,16,20,0,0,0,21,3,0,3,28,0,0,28,32,0,4,0,37,14,0,14,46,0,0,48,525,36,24,15,590,31,3,33,627,21,0,643,134,14,13,4
Irwin (S),54060,95,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,17,0,0,93,0,0,0,97,0,0,99,36,0,3,3,37,3,0,3,44,0,0,42,0,3,0,0,3,0,0,0,3,0,0,3,110,17,3,5,135,4,0,4,140,4,0,145,17,0,0,0,19,3,0,3,21,0,0,21,22,4,11,3,32,0,0,0,38,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,6,9,3,55,4,0,4,60,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,44,6,9,3,57,4,0,4,62,3,0,69,9,6,0,0
Goomalling (S),53710,39,4,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3,0,0,39,0,0,0,39,4,0,44,13,0,3,0,17,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,46,3,3,0,58,0,0,0,58,4,0,59,8,0,0,0,8,0,0,0,8,0,0,8,11,0,0,0,11,0,0,0,11,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,15,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,15,0,0,17,0,0,0,0
Gosnells (C),53780,3227,166,4,3392,97,19,0,5,119,18,0,20,140,10,0,152,147,32,7,4,186,25,10,32,219,10,0,225,236,48,7,9,302,42,11,54,358,17,0,378,2860,419,56,63,3401,168,17,186,3582,185,3,3767,1511,262,44,42,1861,119,17,135,1995,325,6,2321,7,0,0,5,11,3,0,3,12,6,14,37,4376,679,99,116,5270,286,36,321,5592,519,20,6131,587,79,6,4,675,33,3,36,713,51,0,762,918,130,15,17,1075,39,0,41,1118,35,0,1146,27,7,9,0,35,0,0,0,36,3,0,38,12,3,0,10,28,0,0,0,28,3,3,34,1545,221,25,32,1821,74,4,79,1892,89,7,1988,43,5,0,4,52,10,0,14,66,12,0,75,65,15,4,0,81,13,0,16,97,0,0,99,106,20,4,4,132,29,3,31,161,15,0,167,1644,239,27,36,1945,100,5,106,2055,98,7,2160,704,124,16,9
Kalamunda (S),54200,1820,49,0,1870,25,0,3,0,29,6,0,13,39,3,0,43,82,6,3,3,96,10,0,11,111,3,0,113,109,6,8,3,119,18,5,24,148,3,0,155,1629,200,43,23,1889,56,15,75,1966,54,0,2020,636,63,14,8,717,36,0,36,755,58,0,821,3,0,0,0,3,3,0,3,8,0,3,11,2265,259,61,31,2614,99,15,110,2731,116,3,2849,319,46,3,0,376,13,3,19,392,26,0,415,542,64,16,3,628,12,0,15,640,17,0,652,15,3,3,0,21,0,0,0,21,0,0,18,3,0,0,9,8,0,0,0,8,0,0,14,881,117,16,9,1031,28,5,27,1060,42,0,1103,17,0,3,0,22,3,0,3,20,0,0,20,33,0,0,0,34,3,0,4,42,3,0,40,50,0,4,0,52,11,0,12,62,3,0,66,927,123,23,9,1083,37,3,37,1124,42,0,1167,264,16,12,13
Katanning (S),54340,101,3,0,104,0,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,9,0,0,0,9,0,0,9,86,17,0,3,104,4,0,4,107,3,0,107,52,3,0,0,50,5,0,9,59,7,0,66,0,0,0,0,0,0,0,0,0,0,0,0,130,22,0,3,157,10,0,7,167,11,0,173,24,0,0,0,24,0,0,0,19,0,0,19,37,4,0,0,44,3,0,3,46,0,0,46,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,61,4,0,0,65,4,0,4,69,0,0,70,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,64,4,0,0,72,3,0,3,70,0,0,71,24,0,0,0
Kellerberrin (S),54410,26,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,29,0,0,4,29,3,0,29,8,0,0,0,16,0,0,0,16,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,30,4,0,0,44,0,0,4,42,4,0,51,9,0,0,0,9,0,0,0,9,0,0,9,13,0,0,0,13,0,0,0,13,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,22,0,0,0,22,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,22,0,0,0,22,4,0,27,9,0,0,0
Kent (S),54480,29,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,4,0,29,0,0,0,29,0,0,29,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,33,0,4,0,33,0,0,0,33,0,0,33,3,0,0,0,3,0,0,0,3,0,0,3,8,3,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,12,0,0,0,12,0,0,12,0,0,0,0
Kojonup (S),54550,75,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,67,9,3,0,77,0,0,0,77,0,0,79,11,0,0,0,18,0,0,0,17,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,83,9,3,0,93,0,0,0,99,4,0,98,11,0,0,0,11,0,0,0,11,0,0,11,24,3,0,0,25,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,0,0,41,0,0,0,41,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,0,0,41,0,0,0,41,0,0,41,10,0,0,0
Kondinin (S),54620,31,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,0,31,0,0,0,36,3,0,38,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,32,3,0,0,34,0,0,0,37,3,0,38,11,0,0,0,8,0,0,0,8,0,0,8,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,24,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,24,0,0,0,19,0,0,19,0,0,0,0
Koorda (S),54690,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,0,24,0,0,24,9,0,0,0,9,0,0,0,9,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,31,0,0,0,31,3,0,31,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0
Kulin (S),54760,31,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,0,0,31,0,0,0,31,0,0,31,15,0,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,43,3,0,0,42,0,0,0,42,0,0,42,5,0,0,0,5,0,0,0,5,0,0,5,15,0,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,27,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,27,0,0,0,27,0,0,27,0,0,0,0
Kwinana (C),54830,1022,48,0,1069,34,4,0,0,40,4,0,6,53,0,0,50,70,5,0,0,73,4,3,10,78,3,0,81,99,8,0,0,115,13,3,16,130,4,0,135,932,107,24,23,1088,55,6,66,1148,52,0,1201,483,75,14,14,585,45,0,45,629,69,0,700,7,0,0,0,10,0,0,0,10,0,7,18,1431,178,38,30,1677,101,9,109,1783,121,6,1917,143,32,0,3,175,3,3,9,180,8,0,193,254,38,6,0,299,10,0,10,309,12,0,324,7,3,0,0,12,0,0,0,12,0,0,8,7,0,0,7,11,0,0,0,12,0,0,12,413,66,13,5,493,14,3,22,514,27,0,540,13,3,0,0,23,8,0,5,23,0,0,23,24,5,0,0,34,3,0,3,31,0,0,31,39,10,0,0,52,5,3,8,62,0,0,62,450,71,10,8,543,24,8,30,576,27,0,601,169,35,4,8
Lake Grace (S),54900,55,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,0,3,55,0,0,0,55,0,0,55,12,0,0,0,15,0,0,0,15,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,61,3,0,3,68,0,0,0,68,0,0,75,13,0,0,0,9,0,0,0,9,0,0,9,12,0,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,23,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,23,0,0,0,23,0,0,23,3,0,0,0
Leonora (S),55040,21,3,0,26,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,21,3,0,0,23,0,0,0,23,3,0,24,12,0,4,0,20,0,0,0,20,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,33,5,4,0,43,0,0,0,43,7,0,50,8,0,0,0,8,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,5,5,0,0,0
