lga_name_2016,lga_code_2016,hysc_y10_e_no_in_f,hysc_y10_e_no_in_p,hysc_y10_e_in_s_nsm,hysc_y10_e_in_s_nsf,hysc_y10_e_in_s_nsp,hysc_y10_e_totm,hysc_y10_e_totf,hysc_y10_e_totp,hysc_y9_e_ind_m,hysc_y9_e_ind_f,hysc_y9_e_ind_p,hysc_y9_e_no_in_m,hysc_y9_e_no_in_f,hysc_y9_e_no_in_p,hysc_y9_e_in_st_nsm,hysc_y9_e_in_st_nsf,hysc_y9_e_in_st_nsp,hysc_y9_e_totm,hysc_y9_e_totf,hysc_y9_e_totp,hysc_y8_bel_ind_m,hysc_y8_bel_ind_f,hysc_y8_bel_ind_p,hysc_y8_bel_no_ind_m,hysc_y8_bel_no_ind_f,hysc_y8_bel_no_ind_p,hysc_y8_be_in_st_nsm,hysc_y8_be_in_st_nsf,hysc_y8_be_in_st_nsp,hysc_y8_bel_totm,hysc_y8_bel_totf,hysc_y8_bel_totp,hysc_dng_to_sc_ind_m,hysc_dng_to_sc_ind_f,hysc_dng_to_sc_ind_p,hysc_dng_to_sc_no_in_m,hysc_dng_to_sc_no_in_f,hysc_dng_to_sc_no_in_p,hysc_dng_sc_in_st_nsm,hysc_dng_sc_in_st_nsf,hysc_dng_sc_in_st_nsp,hysc_dng_to_sc_totm,hysc_dng_to_sc_totf,hysc_dng_to_sc_totp,tpe_ur_occ_pvte_dwg_sh_indi_m,tpe_ur_occ_pvte_dwg_sh_indi_f,tpe_ur_occ_pvte_dwg_sh_indi_p,tpe_ur_occ_pte_dw_sh_no_ind_m,tpe_ur_occ_pte_dw_sh_no_ind_f,tpe_ur_occ_pte_dw_sh_no_ind_p,t_ur_occ_pte_dw_sh_in_st_nsm,t_ur_occ_pte_dw_sh_in_st_nsf,t_ur_occ_pte_dw_sh_in_st_nsp,tpe_ur_occ_pvte_dwg_sh_totm,tpe_ur_occ_pvte_dwg_sh_totf,tpe_ur_occ_pvte_dwg_sh_totp,t_ur_oc_p_dw_im_h_t_s_o_in_m,t_ur_oc_p_dw_im_h_t_s_o_in_f,t_ur_oc_p_dw_im_h_t_s_o_in_p,t_ur_o_pr_d_i_h_t_s_o_no_in_m,t_ur_o_pr_d_i_h_t_s_o_no_in_f,t_ur_o_pr_d_i_h_t_s_o_no_in_p,t_ur_o_p_d_i_h_t_s_o_i_s_nsm,t_ur_o_p_d_i_h_t_s_o_i_s_nsf,t_ur_o_p_d_i_h_t_s_o_i_s_nsp,t_ur_o_p_d_i_h_t_s_o_totm,t_ur_o_p_d_i_h_t_s_o_totf,t_ur_o_p_d_i_h_t_s_o_totp,ty_ur_oc_p_dw_ot_p_dw_in_m,ty_ur_oc_p_dw_ot_p_dw_in_f,ty_ur_oc_p_dw_ot_p_dw_in_p,ty_ur_o_pr_d_ot_pr_d_no_in_m,ty_ur_o_pr_d_ot_pr_d_no_in_f,ty_ur_o_pr_d_ot_pr_d_no_in_p,ty_ur_o_p_d_o_p_d_in_st_nsm,ty_ur_o_p_d_o_p_d_in_st_nsf,ty_ur_o_p_d_o_p_d_in_st_nsp,ty_ur_oc_pr_dw_ot_pr_dw_totm,ty_ur_oc_pr_dw_ot_pr_dw_totf,ty_ur_oc_pr_dw_ot_pr_dw_totp,ty_ur_occ_pri_dw_tot_ind_m,ty_ur_occ_pri_dw_tot_ind_f,ty_ur_occ_pri_dw_tot_ind_p,ty_ur_occ_pri_dw_tot_no_ind_m,ty_ur_occ_pri_dw_tot_no_ind_f,ty_ur_occ_pri_dw_tot_no_ind_p,ty_ur_oc_pr_dw_tot_in_st_nsm,ty_ur_oc_pr_dw_tot_in_st_nsf,ty_ur_oc_pr_dw_tot_in_st_nsp,ty_ur_occ_pri_dw_tot_totm,ty_ur_occ_pri_dw_tot_totf,ty_ur_occ_pri_dw_tot_totp,ty_ur_non_pri_dw_ind_m,ty_ur_non_pri_dw_ind_f,ty_ur_non_pri_dw_ind_p,ty_ur_non_pri_dw_nonind_m,ty_ur_non_pri_dw_nonind_f,ty_ur_non_pri_dw_nonind_p,ty_ur_non_pri_dw_indst_nsm,ty_ur_non_pri_dw_indst_nsf,ty_ur_non_pri_dw_indst_nsp,tpe_ur_non_pvte_dwg_totm,tpe_ur_non_pvte_dwg_totf,tpe_ur_non_pvte_dwg_totp
Wollondilly (A),18400,5764,12446,80,60,133,6965,5983,12948,46,64,111,1554,1385,2933,8,13,25,1610,1458,3068,26,22,51,757,631,1390,11,4,21,802,662,1462,5,0,5,60,46,106,3,0,3,68,46,114,712,721,1439,20457,20507,40965,1072,1014,2088,22241,22249,44489,0,0,0,21,14,36,0,0,0,21,14,36,18,26,45,618,765,1379,62,67,128,703,859,1556,736,748,1484,21096,21287,42385,1129,1081,2218,22966,23124,46086,0,0,0,173,285,459,6,5,11,179,293,472
Wollongong (C),18450,21196,42328,196,187,386,21878,21934,43808,197,218,422,5638,6252,11891,66,69,140,5908,6544,12452,130,136,269,4125,5005,9122,49,79,131,4297,5219,9520,5,6,16,543,815,1363,4,7,16,557,835,1393,1859,1999,3860,67728,69142,136869,2457,2493,4951,72053,73626,145676,0,0,3,6,0,9,0,0,0,3,0,11,552,583,1136,19318,20399,39712,1538,1594,3136,21412,22580,43989,2418,2581,5004,87049,89539,176592,3999,4084,8087,93473,96208,189681,38,18,51,1437,1700,3144,300,317,619,1778,2034,3812
Woollahra (A),18500,1816,2978,7,14,21,1176,1834,3005,4,3,7,427,498,925,3,3,8,432,507,941,0,3,6,217,261,474,0,0,0,217,260,476,0,0,0,43,54,88,0,0,0,43,54,88,8,11,17,6528,6928,13461,293,323,619,6834,7262,14094,0,0,0,0,0,0,0,0,0,0,0,0,50,45,100,14888,17753,32639,1553,1876,3431,16498,19673,36170,61,53,118,21416,24681,46097,1848,2197,4053,23330,26935,50266,10,19,34,383,551,931,57,97,152,452,669,1121
Yass Valley (A),18710,1339,2727,13,20,32,1443,1397,2838,10,14,28,353,315,668,7,0,10,365,335,705,13,9,25,221,177,393,3,0,4,235,192,422,0,0,0,21,7,31,0,0,0,21,14,28,192,179,367,6575,6788,13365,386,406,793,7159,7367,14522,0,0,0,12,8,24,6,4,5,16,15,28,3,3,3,178,234,409,30,23,54,205,262,471,193,177,368,6769,7032,13793,425,431,851,7384,7637,15015,0,0,0,41,99,145,3,0,7,45,102,152
Unincorporated NSW,19399,92,217,5,4,5,137,96,234,3,0,8,33,16,46,0,0,0,37,17,53,0,3,4,30,8,38,0,0,0,34,16,47,0,0,0,0,0,0,0,0,0,0,0,0,10,17,24,411,324,729,54,36,88,472,374,850,0,0,0,3,0,5,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,17,24,411,327,740,54,38,91,476,380,855,0,0,0,10,8,20,14,7,16,26,12,36
No usual address (NSW),19499,766,1985,18,13,34,1339,826,2159,53,23,73,390,243,638,8,3,14,454,274,731,33,16,54,250,119,362,5,4,6,286,135,420,7,0,9,32,22,56,0,0,0,41,24,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (NSW),19799,51,90,0,3,5,38,57,93,0,0,0,9,22,35,0,0,0,9,22,35,0,0,0,13,11,25,0,0,0,13,12,27,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpine (S),20110,943,2021,12,11,17,1096,965,2060,4,7,15,394,345,736,6,6,7,401,355,760,5,0,5,347,290,633,9,3,17,364,294,655,0,0,0,22,23,41,0,0,0,22,23,41,40,55,98,4764,4919,9682,334,351,687,5138,5325,10459,0,0,0,0,3,3,0,0,3,3,5,6,0,0,0,206,215,418,39,32,72,244,249,486,42,55,94,4970,5134,10105,368,391,756,5380,5573,10960,0,0,0,44,76,123,19,29,51,60,109,170
Ararat (RC),20260,767,1678,14,10,20,935,779,1718,3,3,5,443,380,820,7,5,11,453,392,840,10,3,13,403,349,758,6,11,14,421,363,788,0,0,0,48,18,66,0,0,0,52,16,70,56,50,112,4368,4372,8735,328,325,649,4747,4747,9492,0,0,0,9,0,11,0,0,0,7,0,7,0,3,3,181,200,381,21,18,45,206,220,431,56,57,116,4557,4574,9129,350,343,693,4962,4970,9935,53,0,53,718,106,830,9,6,18,783,116,895
Ballarat (C),20570,6784,13843,63,90,157,7221,6998,14213,54,58,113,3220,3072,6295,33,33,73,3311,3168,6480,42,41,75,2123,2463,4587,43,43,87,2207,2542,4752,10,4,9,132,108,245,3,4,4,146,119,261,539,635,1169,36620,39081,75694,1932,2084,4012,39083,41792,80876,0,0,0,0,3,3,3,0,3,4,3,7,94,97,188,5163,6107,11267,433,529,954,5681,6731,12410,633,728,1358,41780,45187,86968,2364,2614,4970,44769,48525,93299,18,11,27,840,1070,1912,117,89,203,975,1174,2149
Banyule (C),20660,5444,10878,47,43,92,5535,5534,11068,28,26,54,2414,2420,4832,28,30,57,2467,2477,4945,10,19,35,2027,2857,4888,37,39,69,2071,2918,4994,0,0,0,310,416,732,0,5,5,310,420,735,240,253,493,44812,46487,91297,1395,1479,2878,46444,48223,94665,0,0,0,0,0,0,0,0,0,4,0,4,78,83,157,8587,9995,18584,635,785,1426,9301,10863,20167,318,334,655,53405,56477,109879,2034,2271,4302,55752,59086,114833,13,4,19,693,864,1558,114,86,201,814,954,1769
Bass Coast (S),20740,2647,5499,47,41,81,2919,2706,5621,16,10,24,1292,1174,2469,18,25,42,1318,1211,2528,7,4,12,856,922,1774,16,21,32,877,950,1821,0,0,4,55,47,99,3,0,3,59,47,102,145,137,279,12493,13248,25739,799,879,1676,13438,14260,27698,0,0,0,0,0,0,3,0,3,4,0,4,4,0,5,689,836,1525,93,107,199,792,937,1732,149,133,286,13188,14080,27269,895,981,1881,14238,15193,29432,0,0,0,152,294,445,21,26,46,176,314,490
Baw Baw (S),20830,3612,7942,33,30,64,4407,3673,8078,34,22,49,1803,1584,3392,11,12,26,1850,1618,3471,16,8,26,1196,1215,2411,25,17,48,1239,1247,2487,4,3,3,67,75,144,0,0,3,73,77,147,213,212,425,19323,20251,39572,1180,1283,2467,20713,21745,42456,0,0,0,4,3,9,0,0,3,7,3,10,15,15,35,984,1246,2228,123,140,267,1122,1408,2526,226,226,456,20312,21499,41806,1306,1425,2731,21841,23154,44994,0,0,0,154,286,442,19,19,37,174,304,476
Bayside (C),20910,3721,6737,30,47,71,3053,3772,6829,7,4,11,1314,1452,2769,9,20,36,1327,1482,2813,4,4,11,938,1287,2228,4,15,22,944,1311,2258,3,0,3,119,161,276,0,3,7,124,162,284,55,44,96,30005,31750,61751,1020,1140,2162,31079,32931,64008,0,0,0,0,0,0,0,0,0,0,0,0,40,31,70,11255,13505,24764,741,947,1697,12039,14488,26533,93,74,170,41263,45254,86516,1768,2086,3856,43126,47415,90541,0,3,3,430,966,1393,41,78,119,472,1042,1515
Benalla (RC),21010,1105,2285,9,7,18,1203,1136,2337,15,5,22,521,470,990,13,8,17,542,488,1032,3,9,12,401,461,863,4,6,13,410,474,889,0,0,0,15,10,28,0,0,0,15,17,32,90,104,191,5313,5545,10854,421,451,868,5821,6098,11912,0,0,0,3,3,6,0,0,0,3,3,8,4,8,9,262,361,626,32,40,70,300,408,711,93,107,206,5573,5909,11481,452,494,942,6119,6512,12634,0,0,0,70,127,189,3,5,6,73,130,204
Boroondara (C),21110,4463,8134,32,30,62,3712,4505,8221,7,7,15,1880,2042,3928,17,24,42,1907,2072,3985,9,5,10,1421,2219,3640,15,16,30,1448,2238,3682,0,0,0,341,413,753,4,3,9,348,415,762,86,70,164,47989,50310,98299,1475,1449,2926,49552,51833,101382,0,0,0,4,0,4,0,0,0,4,0,4,54,59,108,23918,27766,51687,1404,1563,2971,25375,29390,54764,144,130,275,71912,78077,149986,2880,3016,5894,74933,81220,156154,13,9,19,1167,1786,2961,212,247,458,1390,2043,3439
Brimbank (C),21180,8684,18060,93,100,192,9529,8856,18385,23,25,43,4268,4198,8468,52,46,96,4339,4267,8606,25,27,47,6637,8467,15103,81,90,174,6746,8581,15328,0,3,5,2138,2951,5089,32,40,74,2167,2998,5168,330,327,657,74559,74369,148926,4155,4013,8166,79041,78704,157746,0,0,0,3,0,3,0,0,0,3,0,3,58,51,114,13211,13262,26474,1146,1111,2252,14420,14426,28843,395,380,767,87770,87634,175408,5295,5119,10417,93465,93133,186591,0,3,3,377,711,1094,103,121,227,486,837,1324
Buloke (S),21270,442,998,9,8,11,564,450,1014,3,3,6,292,214,507,3,3,3,302,221,522,6,3,5,264,204,468,3,4,13,268,219,485,0,0,0,8,5,13,0,0,3,5,3,11,28,30,57,2523,2447,4969,208,193,399,2760,2667,5428,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,74,87,158,18,29,50,93,118,213,29,30,61,2599,2533,5135,231,221,445,2856,2779,5637,0,0,0,41,65,108,24,23,48,72,82,155
Campaspe (S),21370,2959,6484,50,33,86,3641,3067,6705,51,40,87,1674,1356,3036,25,22,45,1749,1425,3170,32,24,65,1260,1102,2364,23,23,44,1312,1153,2467,6,3,6,55,31,84,0,0,0,58,38,98,370,359,724,14403,14589,28991,939,994,1938,15708,15945,31653,0,0,0,3,4,5,0,0,3,5,4,12,45,43,91,822,1006,1825,109,121,233,980,1167,2147,414,403,817,15235,15590,30825,1049,1117,2174,16696,17119,33810,4,0,4,230,374,605,53,65,115,288,442,724
Cardinia (S),21450,6274,13876,61,57,118,7725,6375,14102,40,16,60,3013,2493,5503,43,31,72,3088,2542,5631,15,21,36,1692,1655,3343,22,32,50,1728,1700,3431,0,0,0,120,145,271,4,3,6,123,151,282,348,358,712,39267,40167,79435,2135,2210,4346,41757,42734,84490,0,0,0,9,0,13,0,0,0,9,0,13,15,18,32,2217,2647,4866,149,187,328,2379,2847,5229,362,383,745,41492,42816,84311,2287,2390,4678,44139,45590,89728,0,0,0,175,307,485,14,20,38,193,328,522
Casey (C),21610,16253,35010,148,119,267,19037,16494,35533,65,59,125,7459,6901,14359,54,76,127,7575,7032,14610,53,30,88,5549,6375,11928,63,71,137,5669,6483,12155,14,3,12,1772,2153,3924,16,14,31,1803,2166,3966,682,728,1407,126209,126068,252273,5795,5764,11563,132684,132562,265244,0,0,0,9,3,8,0,0,0,10,3,12,58,70,122,10262,11399,21661,624,690,1317,10942,12153,23095,739,793,1532,136473,137469,273943,6422,6457,12880,143637,144713,288348,0,0,0,550,1017,1568,82,123,207,638,1143,1777
Central Goldfields (S),21670,1171,2464,24,22,42,1332,1202,2534,7,9,15,637,581,1223,11,11,22,653,601,1253,9,8,18,539,493,1039,14,17,32,562,516,1082,0,0,0,20,16,40,0,0,0,21,18,39,75,92,167,5175,5277,10450,314,345,662,5563,5715,11277,0,0,0,13,0,8,0,0,0,13,0,8,8,3,11,298,356,654,36,36,74,342,391,736,77,95,175,5487,5629,11114,357,377,732,5918,6104,12020,0,0,0,70,122,192,3,8,11,78,132,211
Colac-Otway (S),21750,1476,3223,36,21,51,1807,1507,3320,9,11,22,845,663,1507,8,8,19,870,683,1552,5,7,18,664,619,1284,15,12,25,693,637,1333,0,0,0,75,58,140,3,0,5,82,67,146,113,108,223,8340,8246,16584,528,494,1020,8976,8847,17827,0,0,0,0,3,3,6,10,18,12,14,21,8,8,13,435,499,933,75,90,166,520,597,1112,123,117,242,8777,8748,17519,608,588,1200,9505,9452,18955,0,0,0,151,199,347,15,19,36,169,215,383
Corangamite (S),21830,1085,2472,17,19,32,1414,1108,2524,7,6,15,743,568,1310,7,11,16,763,579,1338,8,3,11,594,465,1060,10,12,17,612,481,1089,0,0,0,17,14,33,0,0,0,17,16,34,76,66,140,6574,6457,13029,476,470,949,7122,6989,14118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,185,349,43,31,73,209,216,426,76,65,140,6741,6638,13378,517,503,1018,7332,7207,14539,0,0,0,79,144,221,14,14,35,99,157,256
Darebin (C),21890,4366,9200,51,46,94,4955,4504,9461,34,41,74,2278,2288,4560,21,29,46,2332,2357,4688,45,31,69,3912,5569,9477,60,57,110,4009,5648,9662,8,4,13,956,1411,2363,12,11,24,974,1423,2397,334,363,693,41492,43518,85012,2237,2241,4475,44058,46126,90186,0,0,0,0,0,0,0,0,0,0,0,0,166,212,380,20636,22790,43427,1814,1938,3751,22622,24934,47562,499,575,1074,62131,66308,128444,4051,4182,8231,66680,71065,137748,17,8,28,1040,1462,2501,199,250,456,1252,1725,2976
East Gippsland (S),22110,3702,7825,63,45,113,4287,3843,8135,78,71,151,1889,1556,3448,24,28,55,1993,1659,3656,46,60,106,1352,1196,2542,22,29,52,1421,1280,2702,6,5,7,73,50,119,0,0,3,75,56,132,520,550,1067,16730,17521,34250,1365,1406,2777,18620,19476,38096,0,0,0,20,12,34,15,8,22,34,23,57,42,57,105,834,816,1657,141,151,292,1026,1029,2052,565,608,1169,17590,18358,35945,1520,1562,3082,19675,20522,40198,4,7,11,218,331,548,52,94,146,274,427,700
Frankston (C),22170,9212,19369,86,100,189,10370,9412,19783,40,59,98,3967,3684,7656,40,43,89,4052,3787,7843,33,25,58,2213,2600,4811,30,47,78,2279,2672,4952,8,6,11,217,231,447,6,0,7,226,243,467,547,536,1086,50053,51342,101393,2642,2770,5413,53247,54646,107890,0,0,0,3,3,4,0,0,0,3,3,4,85,88,170,7759,9432,17191,819,925,1743,8661,10449,19110,628,625,1256,57816,60771,118586,3463,3693,7152,61908,65097,127001,4,5,13,416,728,1151,86,138,221,510,873,1377
Gannawarra (S),22250,864,1951,7,18,23,1111,899,2013,6,5,15,615,430,1047,8,7,20,635,447,1077,8,6,16,431,391,830,11,8,17,455,406,861,4,0,4,8,9,22,0,0,0,17,15,25,101,89,188,4322,4362,8684,283,292,579,4711,4742,9453,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,98,98,195,23,29,52,124,131,247,108,87,195,4421,4463,8883,305,320,629,4837,4871,9703,0,0,0,40,104,147,7,0,10,48,101,157
Greater Shepparton (C),22830,4350,9096,38,53,95,4945,4578,9522,109,106,210,2319,1924,4240,26,31,53,2449,2051,4505,85,68,151,1966,1876,3843,34,41,73,2083,1983,4067,7,7,10,394,366,756,7,3,9,405,372,776,888,929,1812,24069,24538,48601,1704,1752,3454,26658,27214,53872,0,0,0,9,5,14,0,0,3,14,8,19,72,93,168,2060,2024,4083,353,311,660,2490,2423,4917,958,1022,1983,26138,26564,52701,2057,2062,4120,29158,29648,58807,39,12,52,494,440,937,86,146,233,617,596,1213
Hepburn (S),22910,990,2138,11,9,24,1171,1013,2184,5,6,5,504,451,951,8,12,17,511,463,974,6,4,9,368,361,728,10,8,22,383,371,752,0,0,0,11,13,26,0,0,0,11,13,26,57,69,128,5618,5953,11577,533,570,1102,6206,6592,12795,0,0,0,10,4,11,3,4,3,11,6,18,3,13,13,400,488,891,29,32,65,434,536,971,61,83,141,6025,6448,12476,566,603,1166,6648,7138,13787,0,0,0,80,123,201,21,50,69,101,174,273
Hindmarsh (S),22980,445,958,15,4,20,534,455,991,3,0,3,299,234,529,7,4,11,305,238,537,3,0,5,287,265,551,4,6,9,293,266,564,0,0,0,28,21,44,0,0,0,32,21,47,29,42,68,2265,2217,4480,124,137,259,2412,2392,4809,0,0,0,5,3,8,0,0,0,5,4,5,0,3,3,150,153,302,20,21,42,168,180,344,29,45,71,2415,2375,4790,145,159,306,2583,2580,5165,3,0,3,37,77,116,4,19,20,45,96,141
Hobsons Bay (C),23110,4021,8615,41,33,74,4672,4090,8767,15,16,26,1799,1776,3575,21,20,40,1838,1803,3644,13,15,28,2085,2804,4892,24,34,61,2122,2852,4977,3,0,3,415,612,1026,3,6,9,421,621,1040,168,164,335,27868,28584,56449,1238,1276,2516,29277,30026,59307,0,0,0,7,3,6,0,0,0,8,3,10,51,57,112,11343,12109,23452,782,808,1587,12175,12976,25158,227,224,451,39219,40699,79914,2019,2083,4106,41463,43005,84469,0,0,0,259,431,691,65,58,119,322,487,807
Horsham (RC),23190,1359,2833,13,16,35,1499,1402,2904,12,16,29,667,680,1348,5,7,13,686,696,1383,8,9,17,572,557,1126,10,13,15,587,571,1157,0,0,3,17,20,34,0,0,0,17,24,38,113,137,252,7733,7958,15692,333,355,686,8183,8448,16630,0,0,0,0,3,3,0,0,0,0,3,3,8,11,22,480,684,1161,46,64,112,535,759,1293,128,145,274,8212,8645,16854,379,417,793,8721,9204,17926,3,0,5,97,173,273,18,9,26,121,185,304
Hume (C),23270,9949,21290,100,83,176,11548,10148,21701,59,56,118,5184,4659,9850,40,42,81,5290,4761,10044,50,49,97,5448,6260,11703,61,71,132,5553,6375,11933,6,0,7,1441,2238,3675,24,31,54,1472,2267,3741,608,629,1240,79629,80109,159741,3863,3872,7738,84101,84612,168715,0,0,0,0,3,9,0,4,3,3,7,8,52,90,146,9294,9877,19173,974,941,1917,10328,10904,21237,665,718,1384,88930,89993,178919,4843,4819,9662,94429,95528,189958,3,4,5,525,518,1040,86,94,180,618,614,1230
Indigo (S),23350,1223,2707,22,13,36,1524,1255,2779,3,4,10,515,417,936,3,9,9,522,426,954,3,7,14,367,301,663,8,7,16,375,316,689,0,0,0,9,20,30,0,0,0,14,20,33,81,91,169,6264,6582,12848,365,372,735,6701,7044,13746,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,255,287,540,20,28,53,278,326,607,84,95,180,6519,6874,13392,385,397,786,6983,7370,14351,10,0,10,255,127,376,0,0,0,267,124,392
Kingston (C) (Vic.),23430,7301,14795,49,56,107,7580,7397,14970,11,19,31,2990,3014,6008,24,23,47,3026,3060,6083,9,8,22,2727,3733,6455,38,54,91,2770,3791,6566,0,3,9,551,745,1298,8,6,19,560,756,1322,188,161,348,45965,46949,92912,1730,1670,3403,47878,48785,96661,0,0,0,0,0,0,0,0,0,0,0,0,93,114,208,20438,23164,43602,1204,1422,2631,21736,24706,46438,284,280,559,66398,70111,136515,2933,3093,6028,69614,73485,143100,0,0,0,623,930,1552,95,170,267,722,1098,1815
Knox (C),23670,8864,18473,76,56,127,9767,8972,18744,16,37,53,3855,3765,7617,43,30,70,3911,3826,7738,17,14,35,2360,2999,5359,28,37,64,2406,3057,5460,4,3,10,379,506,889,3,3,4,392,516,908,321,315,639,62158,63662,125823,1945,1894,3844,64429,65872,130301,0,0,0,0,0,0,0,0,0,0,0,0,39,42,80,6936,8313,15246,407,502,913,7381,8851,16236,363,352,711,69097,71971,141071,2359,2399,4753,71814,74723,146539,6,0,8,573,1079,1655,39,89,129,619,1172,1793
Latrobe (C) (Vic.),23810,5582,11795,60,71,130,6357,5762,12115,55,54,103,2451,2608,5057,36,35,73,2531,2701,5229,48,41,89,1983,2236,4220,25,34,58,2055,2306,4362,7,5,12,137,158,289,3,4,10,148,167,315,478,513,989,28144,29235,57380,1997,2048,4041,30612,31798,62410,0,0,0,7,0,4,3,0,3,4,0,10,62,56,115,1995,2348,4347,292,305,594,2341,2712,5050,534,575,1109,30144,31590,61727,2288,2351,4638,32960,34512,67471,3,5,9,334,556,882,148,197,348,480,757,1242
Loddon (S),23940,524,1249,16,13,31,750,539,1289,11,9,16,361,290,651,3,3,6,370,305,672,14,8,15,336,252,590,6,9,17,353,269,625,0,0,0,9,7,18,0,0,0,9,7,18,52,62,108,2976,2855,5834,362,323,689,3392,3239,6635,0,0,0,7,4,15,3,0,3,10,4,17,4,0,3,93,60,147,23,14,36,119,72,197,52,57,116,3078,2919,5997,392,343,730,3523,3319,6844,0,0,0,25,46,76,3,0,4,31,48,78
Macedon Ranges (S),24130,2544,5592,25,23,48,3104,2581,5689,11,11,21,1252,1019,2263,17,15,32,1281,1044,2326,12,4,13,778,697,1477,9,14,20,800,717,1516,0,0,0,46,40,85,0,5,3,46,42,89,137,126,266,19195,19632,38827,1130,1203,2335,20459,20968,41425,0,0,0,3,6,9,0,0,3,4,4,11,10,4,14,628,836,1468,66,85,155,708,928,1632,141,136,280,19826,20474,40302,1198,1288,2493,21168,21895,43068,0,0,0,152,190,347,38,118,152,193,305,501
Manningham (C),24210,4936,9446,30,47,75,4560,5001,9562,4,3,9,2091,2285,4380,12,14,30,2111,2308,4419,3,7,11,2311,3227,5541,23,30,61,2344,3267,5608,0,0,3,455,706,1159,5,4,8,464,710,1169,87,88,175,42390,43649,86040,1199,1278,2477,43679,45024,88700,0,0,0,0,0,0,0,3,3,0,3,3,13,11,32,9460,10932,20388,449,563,1015,9929,11512,21432,103,103,208,51848,54584,106428,1655,1845,3502,53607,56534,110139,0,0,0,433,957,1385,66,143,208,499,1094,1590
Mansfield (S),24250,533,1248,5,8,14,728,543,1267,3,7,7,339,240,581,3,7,11,350,245,596,0,3,4,232,198,435,3,11,16,242,210,449,0,0,0,4,8,13,0,0,0,7,8,10,21,26,50,3264,3360,6626,222,218,442,3509,3609,7113,0,0,0,3,0,9,0,0,0,3,0,9,0,0,6,76,80,156,24,15,37,94,104,201,24,33,54,3344,3441,6791,242,234,477,3611,3713,7319,0,0,0,133,162,299,22,14,39,154,182,338
Maribyrnong (C),24330,2350,5071,23,23,47,2771,2402,5174,12,9,27,1139,1166,2300,16,5,21,1165,1183,2351,16,3,20,1567,2185,3755,21,22,45,1609,2213,3819,3,0,3,565,799,1364,6,8,16,581,809,1385,140,120,257,20856,20926,41787,1067,1073,2141,22065,22117,44184,0,0,0,0,0,0,0,0,0,0,0,0,74,73,151,15779,15339,31115,1285,1272,2557,17146,16680,33827,221,193,407,36636,36262,72900,2354,2345,4699,39209,38802,78014,6,0,6,394,343,739,155,127,283,551,474,1025
Maroondah (C),24410,6115,12467,48,48,100,6451,6213,12667,16,13,35,2441,2484,4917,23,23,47,2474,2523,4996,16,9,28,1783,2214,3996,13,33,47,1815,2253,4065,0,0,0,333,402,739,7,3,9,339,408,747,234,245,479,44648,47071,91715,1335,1405,2738,46215,48717,94938,0,0,0,0,0,0,0,0,0,0,0,0,27,39,62,3815,4395,8209,350,413,765,4188,4846,9038,259,279,540,48464,51466,99927,1685,1815,3505,50410,53565,103976,0,0,0,536,944,1478,89,223,311,627,1168,1791
Melbourne (C),24600,1890,3857,20,15,40,2014,1932,3944,9,7,20,823,848,1669,13,11,19,842,866,1707,12,4,15,669,921,1585,4,10,23,686,941,1620,3,7,5,302,472,777,3,4,10,310,481,794,10,7,15,2036,2106,4145,206,199,405,2248,2314,4559,0,0,0,21,37,55,0,0,0,22,37,53,158,135,297,50699,54140,104835,5415,5541,10962,56277,59820,116094,167,145,314,52755,56283,109029,5619,5743,11366,58544,62172,120710,73,47,125,3116,3209,6321,1393,1249,2647,4583,4508,9092
Melton (C),24650,7235,15544,55,64,123,8450,7410,15858,43,44,94,3405,3020,6429,33,33,66,3488,3095,6583,39,29,67,2427,2768,5201,21,36,63,2490,2839,5334,3,0,3,475,653,1131,5,8,10,482,663,1145,486,529,1011,54341,55592,109934,2906,3008,5912,57731,59126,116860,0,0,3,3,3,8,0,0,0,3,6,13,47,73,121,5588,6272,11858,484,508,996,6121,6857,12979,536,604,1135,59934,61864,121802,3395,3521,6909,63860,65988,129844,72,40,111,872,595,1464,10,22,35,947,660,1611
