lga_code_2016,p55_64_c_own_chld_childr,p55_64_c_oth_ch_chiln,p55_64_ca_ow_ch_ch_oth_ch_ch,p55_64_yr_c_for_t,p55_64_d_not_prov_ch_care,p55_64_u_ch_care_ns,p55_64_os_v,p55_64_yr_t,p65_74_c_own_chld_childr,p65_74_c_oth_ch_chiln,p65_74_ca_ow_ch_ch_oth_ch_ch,p65_74_yr_c_for_t,p65_74_d_not_prov_ch_care,p65_74_u_ch_care_ns,p65_74_os_v,p65_74_yr_t,p75_84_c_own_chld_childr,p75_84_c_oth_ch_chiln,p75_84_ca_ow_ch_ch_oth_ch_ch,p75_84_yr_c_for_t,p75_84_d_not_prov_ch_care,p75_84_u_ch_care_ns,p75_84_os_v,p75_84_yr_t,p85ovr_c_own_chld_childr,p85ovr_c_oth_ch_chiln,p85ov_ca_ow_ch_ch_oth_ch_ch,p85ovr_c_for_t,p85ovr_d_not_prov_ch_care,p85ovr_u_ch_care_ns,p85ovr_os_v,p85ovr_t,pt_c_own_chld_childrn,pt_c_oth_ch_chiln,pt_ca_ow_ch_ch_oth_ch_ch,pt_c_for_t,pt_d_not_prov_ch_care,pt_u_ch_care_ns,pt_os_v,pt_t,lga_name16
18710,97,351,0,451,1500,154,3,2107,27,295,3,323,1073,138,4,1539,3,46,0,48,520,127,3,703,0,3,0,0,182,109,0,293,2771,1089,123,3983,7441,1080,37,12543,Yass Valley (A)
19399,0,21,0,21,189,34,3,246,0,19,0,15,125,34,0,172,0,0,0,0,34,4,3,41,0,0,0,0,9,6,0,18,158,61,8,226,669,181,29,1103,Unincorporated NSW
20110,69,240,0,318,1636,197,8,2164,13,210,0,225,1270,178,3,1671,6,38,0,39,711,120,0,880,3,7,0,8,276,71,0,358,1827,730,113,2672,7035,1291,105,11099,Alpine (S)
20260,33,242,3,280,1234,211,4,1725,3,156,0,164,1014,178,0,1357,3,32,3,38,610,149,0,791,0,0,0,3,280,72,0,354,1452,728,76,2255,5803,1591,31,9676,Ararat (RC)
20570,395,2129,21,2544,8434,753,50,11781,77,1724,4,1809,6480,833,26,9150,27,314,3,344,4047,764,12,5170,6,23,0,28,1961,370,3,2363,16275,6904,816,23991,50525,6180,364,81060,Ballarat (C)
20660,713,2084,32,2827,10853,692,244,14616,119,2787,11,2916,7443,729,125,11214,34,585,3,630,4988,783,35,6429,10,43,0,49,2634,595,5,3278,20769,7576,753,29095,63659,5956,991,99711,Banyule (C)
20740,164,709,9,887,3698,353,24,4962,41,682,4,726,3717,450,13,4901,13,90,0,104,1967,422,5,2492,7,9,3,24,852,243,3,1118,4607,2145,236,6986,17093,2530,110,26719,Bass Coast (S)
20830,224,1099,9,1338,4585,503,22,6449,58,826,6,887,3855,507,14,5258,7,148,0,158,2171,425,6,2760,3,9,0,16,838,225,0,1082,7520,3326,398,11253,23368,3270,172,38056,Baw Baw (S)
20910,923,1412,25,2368,9296,628,120,12412,146,2589,18,2754,5955,528,68,9309,34,619,5,653,3927,455,28,5070,8,46,0,48,2999,490,4,3542,17300,6041,639,23977,48176,4489,783,77432,Bayside (C)
21010,73,303,0,378,1618,174,0,2174,16,199,0,212,1423,195,3,1833,3,44,0,45,832,152,0,1033,3,4,0,6,434,81,3,520,1712,889,67,2664,7511,1149,14,11332,Benalla (RC)
21110,1433,1884,44,3361,14408,846,462,19069,251,3820,30,4095,8595,746,295,13725,50,1020,7,1087,6050,693,92,7923,12,68,0,78,4133,505,8,4724,27666,9390,860,37915,90842,7274,2688,138723,Boroondara (C)
21180,1077,3006,69,4149,16291,1578,426,22446,241,2639,27,2908,10841,1539,224,15515,52,470,5,519,6240,1002,46,7810,15,33,0,50,2398,501,3,2947,29750,9809,665,40226,104574,12833,1456,159089,Brimbank (C)
21270,24,128,0,158,704,117,5,986,7,73,0,78,579,113,0,774,0,17,0,20,441,96,0,554,3,0,0,3,246,83,0,335,773,362,35,1167,3250,613,37,5072,Buloke (S)
21370,178,803,8,995,3803,397,22,5213,30,523,3,553,3216,504,6,4278,11,89,0,99,2026,492,3,2624,9,14,0,18,886,246,0,1151,5223,2348,209,7784,18887,3009,107,29787,Campaspe (S)
21450,408,1628,28,2066,6635,620,131,9458,57,1156,11,1225,4805,541,71,6638,11,169,0,183,2422,416,17,3033,6,24,0,29,957,171,3,1164,18288,5469,775,24536,41543,4936,426,71442,Cardinia (S)
21610,1425,4657,66,6150,21737,1731,926,30543,259,3064,32,3356,12793,1469,573,18195,56,511,5,580,7055,1067,101,8806,19,35,0,53,2887,515,22,3474,56807,15131,1748,73687,140823,14487,2603,231600,Casey (C)
21670,69,260,0,331,1533,146,3,2018,9,183,0,198,1519,226,7,1947,4,31,3,34,908,201,0,1143,3,0,0,4,355,90,0,447,1619,741,61,2421,7296,1050,24,10788,Central Goldfields (S)
21750,104,533,8,637,2124,251,31,3040,18,364,0,378,1664,258,14,2321,4,57,0,67,1016,239,6,1325,3,3,0,10,442,113,3,571,2999,1462,133,4600,10523,1604,250,16985,Colac-Otway (S)
21830,75,337,0,413,1693,192,17,2318,21,203,3,225,1367,208,3,1805,11,44,0,59,860,199,5,1118,7,3,0,14,351,88,0,454,2267,972,95,3331,8003,1297,234,12861,Corangamite (S)
21890,807,1405,43,2253,10313,981,270,13818,110,1692,12,1811,6594,899,112,9416,30,592,3,627,6106,842,18,7590,11,48,0,57,2877,675,6,3617,22191,6631,780,29601,82634,9846,1594,123673,Darebin (C)
22110,204,868,14,1083,5320,596,15,7008,37,635,0,678,5415,761,13,6869,12,115,0,124,2805,642,7,3579,3,7,0,15,967,371,10,1356,5749,2576,237,8560,23924,4093,161,36733,East Gippsland (S)
22170,635,2474,27,3139,11531,1101,114,15888,116,2192,18,2325,7939,1020,87,11372,34,340,0,377,4751,945,27,6102,7,24,0,37,2184,520,11,2742,22657,8452,1004,32124,67003,8530,584,108233,Frankston (C)
22250,42,250,3,292,1147,134,4,1577,15,132,0,146,1155,158,3,1456,3,20,0,24,761,148,0,927,0,0,0,4,303,63,0,369,1354,600,66,2013,5714,862,16,8613,Gannawarra (S)
22830,263,1092,16,1372,5632,732,72,7811,56,750,9,817,4125,781,36,5758,17,128,0,140,2600,580,7,3324,10,6,0,18,1154,295,0,1472,9803,3493,432,13732,30981,5489,351,50552,Greater Shepparton (C)
22910,100,332,7,433,1977,262,3,2680,27,295,0,317,1594,258,3,2168,3,43,0,46,783,185,0,1013,6,0,0,8,350,111,0,470,2030,971,94,3098,8194,1487,50,12830,Hepburn (S)
22980,21,115,3,147,683,70,6,896,6,60,0,64,588,80,0,729,0,15,0,16,378,69,0,455,0,3,0,3,232,54,0,287,700,296,30,1035,3239,424,18,4708,Hindmarsh (S)
23110,544,1251,19,1824,7728,640,147,10331,83,1269,13,1366,4796,551,79,6789,27,273,0,303,3374,518,13,4212,8,21,0,33,1622,291,4,1953,15189,4397,485,20064,46580,4850,599,72096,Hobsons Bay (C)
23190,98,430,7,541,1863,147,10,2557,12,280,0,296,1376,183,9,1866,3,53,0,57,1037,178,0,1276,4,8,0,14,504,94,0,614,3110,1203,150,4470,9884,1129,44,15527,Horsham (RC)
23270,921,2789,62,3775,14487,1415,389,20056,160,2103,24,2285,8997,1151,260,12692,42,345,0,390,4756,714,55,5917,9,28,0,37,1608,255,9,1906,33918,9301,930,44152,97528,11433,1384,154499,Hume (C)
23350,88,380,3,473,1873,187,4,2539,19,245,0,262,1482,138,4,1887,3,50,0,53,679,136,3,873,4,3,0,10,284,55,0,349,2396,1069,109,3569,7954,1112,40,12677,Indigo (S)
23430,797,2343,31,3169,13199,915,284,17558,186,2898,25,3107,9016,956,170,13245,43,685,4,729,6366,999,37,8131,15,48,0,62,3131,822,12,4031,25665,8519,905,35088,79546,7774,1250,123657,Kingston (C) (Vic.)
23670,870,3107,40,4015,14576,808,435,19839,161,2941,14,3115,9233,751,239,13335,52,435,3,486,5689,768,47,6991,9,24,0,32,2655,482,9,3184,26031,9568,929,36524,82558,6189,1353,126619,Knox (C)
23810,273,1686,11,1963,6924,821,25,9733,52,887,7,940,5313,803,18,7077,17,149,3,174,3186,743,3,4101,13,16,0,24,1378,376,3,1780,10671,4774,540,15983,36748,5909,146,58786,Latrobe (C) (Vic.)
23940,29,158,0,190,992,132,0,1315,4,112,0,111,843,159,4,1117,0,16,0,15,464,106,0,585,0,0,0,0,194,49,0,241,883,410,40,1331,4005,823,17,6175,Loddon (S)
24130,293,901,14,1209,4502,438,20,6162,40,908,3,950,3395,461,11,4819,9,150,3,165,1457,294,5,1929,7,13,3,20,616,170,3,807,8160,2852,415,11424,21495,2881,149,35947,Macedon Ranges (S)
24210,874,1985,41,2892,10679,560,484,14616,215,3146,27,3386,7808,588,250,12036,63,928,9,998,6653,717,69,8435,7,46,0,53,3083,471,11,3620,18699,7752,500,26952,64193,4572,1769,97490,Manningham (C)
24250,41,175,0,219,1037,108,4,1374,8,161,0,172,915,115,7,1206,0,26,0,26,409,82,0,509,4,3,0,8,166,33,0,197,1221,509,65,1797,4446,800,77,7120,Mansfield (S)
24330,473,687,25,1184,5497,586,159,7432,62,617,9,683,3014,422,78,4203,8,147,3,160,2034,388,14,2599,5,9,0,16,1085,286,7,1395,12800,3045,470,16311,46609,5843,974,69736,Maribyrnong (C)
24410,514,2062,35,2613,9311,521,241,12688,105,2308,10,2435,6212,528,132,9302,27,427,0,451,4195,583,24,5250,6,14,0,19,2110,460,0,2595,19348,7135,823,27305,56184,4693,773,88955,Maroondah (C)
24600,424,1010,12,1451,7130,2978,1651,13208,94,1081,7,1187,4132,1707,510,7527,23,203,0,226,1830,743,154,2954,11,20,0,33,880,528,23,1460,11657,4622,248,16534,104920,26031,15522,163004,Melbourne (C)
24650,536,2104,35,2674,8803,914,264,12655,114,1302,9,1425,5355,713,183,7679,24,181,0,201,2264,351,38,2856,7,11,0,18,749,120,3,892,26855,6715,766,34339,58720,8256,925,102240,Melton (C)
24780,202,1050,9,1270,5154,704,36,7155,46,701,3,750,3964,740,47,5491,19,118,0,140,2420,606,3,3167,7,11,0,19,1125,286,4,1434,7779,3280,353,11410,27289,4848,805,44359,Mildura (RC)
24850,198,711,3,910,3615,460,20,5007,32,503,0,537,2448,411,16,3410,8,65,0,70,1220,284,7,1575,8,3,0,12,441,128,0,579,7005,2274,233,9516,19354,3243,154,32264,Mitchell (S)
24900,104,629,10,737,2950,347,11,4042,29,347,3,380,2804,444,7,3633,8,90,0,96,1778,394,0,2263,5,9,0,12,708,200,0,918,3936,1776,153,5859,14852,2411,118,23246,Moira (S)
24970,1053,2265,47,3366,13954,857,889,19069,272,3572,22,3867,10035,810,528,15248,61,1056,12,1124,8665,984,134,10905,15,56,0,68,4228,739,14,5045,28796,9508,718,39025,105296,8608,4149,157079,Monash (C)
25060,598,1625,24,2250,9492,731,167,12645,118,2085,13,2208,6167,750,108,9228,42,492,5,535,4928,714,24,6204,10,37,0,40,2421,417,9,2888,18372,6244,451,25056,63852,6772,900,96585,Moonee Valley (C)
25150,161,680,9,849,2890,268,6,4021,34,462,3,499,2282,312,9,3099,3,61,0,66,992,188,0,1243,13,3,0,16,389,70,3,477,5438,1987,216,7642,15402,1930,59,25027,Moorabool (S)
25250,710,1469,27,2206,10659,951,260,14073,144,1583,12,1742,6947,777,144,9617,53,588,4,649,6854,825,29,8360,17,42,0,59,3721,451,11,4243,24063,6781,785,31628,93700,9557,1424,136306,Moreland (C)
25340,777,3389,30,4202,14719,1216,51,20191,188,3891,20,4099,13533,1523,55,19205,43,728,4,770,8916,1550,24,11263,18,35,0,53,3978,883,7,4931,24195,11034,1080,36304,78214,9200,500,124214,Mornington Peninsula (S)
17200,741,1219,23,1979,13110,3694,2150,20936,141,1465,8,1622,7907,2254,953,12729,38,327,0,365,3766,1177,225,5534,10,22,0,34,1338,551,38,1960,17475,6319,499,24291,150542,36470,22301,233606,Sydney (C)
17310,210,1192,11,1413,5497,685,25,7612,52,759,6,811,4499,724,12,6050,10,146,0,156,2780,600,12,3550,3,17,0,16,1128,276,0,1425,9084,3695,435,13219,29271,4795,243,47522,Tamworth Regional (A)
17350,34,126,0,165,611,66,3,841,8,84,0,96,600,54,0,753,0,10,0,10,370,69,0,449,0,4,0,3,188,17,0,212,861,365,37,1267,3180,370,8,4822,Temora (A)
17400,33,124,0,159,969,171,7,1305,8,80,0,93,881,195,7,1174,0,14,0,19,397,128,3,541,0,3,0,3,90,76,0,166,759,355,20,1140,3680,861,58,5731,Tenterfield (A)
22490,114,513,4,628,1992,186,4,2810,24,302,3,330,1360,187,0,1883,3,36,0,42,548,74,0,663,6,0,0,6,205,21,0,233,4079,1438,170,5683,9547,1125,27,16382,Golden Plains (S)
22620,479,2497,22,3000,9695,958,52,13709,98,1707,8,1815,7426,1044,37,10314,19,278,0,299,4575,962,11,5847,17,16,0,36,2080,604,3,2729,17504,7600,838,25935,54417,7449,350,88158,Greater Bendigo (C)
22670,898,1715,37,2646,11991,1099,555,16291,178,1716,15,1915,8669,1057,265,11901,27,356,8,396,5609,858,48,6912,6,27,0,40,2568,392,8,3009,23061,6458,450,29972,84419,9649,1828,125873,Greater Dandenong (C)
22750,1061,4868,52,5980,20082,1817,178,28057,244,4425,37,4703,15361,1873,101,22042,62,781,5,852,10095,1772,33,12749,23,43,3,74,5153,1139,17,6379,37063,15511,1631,54203,117931,14631,994,187760,Greater Geelong (C)
25430,125,403,11,539,2233,321,4,3099,28,347,0,376,1879,251,3,2510,11,68,0,79,980,214,3,1279,0,3,0,6,398,148,0,556,2512,1184,185,3883,9443,2204,46,15578,Mount Alexander (S)
25490,105,386,3,493,1726,200,6,2417,18,250,3,269,1265,189,9,1733,5,43,0,46,622,131,0,802,0,3,0,3,285,71,0,364,2658,1057,107,3818,7701,1243,97,12859,Moyne (S)
17100,285,371,15,670,2945,232,182,4033,62,466,5,534,1642,151,89,2420,4,131,3,136,1232,110,31,1512,0,14,0,14,659,58,3,726,6014,1538,104,7654,23425,2533,754,34362,Strathfield (A)
17150,1212,4883,59,6152,19462,1073,197,26879,217,5581,31,5823,12653,953,135,19566,71,1068,9,1144,8853,870,59,10929,13,72,0,83,5265,604,12,5964,38724,15671,1316,55713,110074,8155,1025,174968,Sutherland Shire (A)
22310,972,1799,50,2822,11322,707,337,15188,170,2462,18,2644,7038,603,201,10487,44,607,8,658,5071,590,44,6364,15,40,0,53,3606,484,14,4155,24466,7194,731,32393,74593,6294,1692,114972,Glen Eira (C)
22410,102,406,3,510,2265,284,9,3060,18,213,0,237,1739,286,8,2275,5,55,0,63,940,228,3,1232,0,4,0,4,420,102,0,529,2656,1155,116,3930,10172,1658,45,15808,Glenelg (S)
25620,75,268,3,348,1685,199,11,2242,11,261,0,275,1421,231,6,1932,3,31,0,31,626,129,4,791,0,3,0,4,251,49,0,302,1840,842,76,2757,7145,1198,92,11190,Murrindindi (S)
25710,417,1484,24,1927,6278,297,52,8548,54,1551,5,1612,3221,262,28,5116,7,195,0,210,1467,172,13,1860,11,10,0,17,572,96,3,691,11095,4368,501,15964,29732,2126,237,48062,Nillumbik (S)
25810,56,241,4,293,1370,156,14,1833,11,148,0,164,1231,181,0,1573,3,22,0,25,618,163,0,812,4,0,0,4,333,52,0,388,1516,686,81,2282,6454,960,85,9774,Northern Grampians (S)
25900,587,835,25,1444,7627,1156,276,10504,82,1282,6,1374,4712,791,99,6970,19,265,0,279,2418,438,26,3157,12,12,0,23,1181,183,9,1393,12305,4509,427,17240,61298,10077,2530,91150,Port Phillip (C)
25990,39,149,6,184,904,179,5,1271,8,112,0,122,813,185,0,1120,0,15,0,17,355,78,0,448,0,3,0,3,124,43,0,174,890,423,44,1361,3624,952,17,5952,Pyrenees (S)
26080,20,73,0,93,329,34,0,456,5,134,0,139,366,49,0,550,0,22,0,19,272,50,0,344,0,0,0,0,115,23,0,140,305,261,11,578,1538,222,6,2351,Queenscliffe (B)
26170,134,680,10,819,3103,363,18,4302,38,514,0,557,2762,390,8,3721,0,75,0,76,1456,297,3,1830,6,7,0,15,648,133,0,797,4063,1918,204,6186,14289,2177,113,22762,South Gippsland (S)
26260,82,347,3,429,1737,149,8,2322,13,250,3,258,1420,158,4,1838,0,33,0,33,854,166,0,1053,5,4,0,7,417,130,0,555,2282,959,101,3345,8330,1061,94,12823,Southern Grampians (S)
26350,647,886,16,1552,7658,753,220,10180,115,1881,13,2015,5368,614,134,8133,36,575,0,618,3717,571,42,4944,8,31,0,38,2032,354,3,2430,12848,5235,365,18445,63978,7426,1757,91606,Stonnington (C)
26430,42,223,3,271,1342,154,3,1762,8,195,0,203,1193,152,0,1555,0,35,0,35,659,145,0,836,0,3,0,4,280,80,0,369,1250,669,42,1960,5613,898,40,8514,Strathbogie (S)
26490,189,644,7,837,2844,244,24,3946,33,759,0,794,1908,214,23,2935,7,97,0,109,1034,140,0,1274,3,6,0,8,453,74,0,540,5386,2015,246,7649,13363,1577,175,22761,Surf Coast (S)
26610,80,382,3,470,1897,411,18,2791,17,226,0,249,1418,323,4,1990,13,51,0,59,938,246,3,1246,3,8,0,13,408,140,3,558,2865,1158,126,4150,9884,2547,241,16816,Swan Hill (RC)
26670,27,138,0,162,774,65,0,1003,10,100,0,103,621,90,3,818,0,15,0,11,322,70,4,403,0,0,0,0,152,34,0,186,758,377,25,1164,3157,462,20,4797,Towong (S)
26700,121,641,7,768,2926,302,16,4019,26,463,3,495,2343,327,5,3175,7,83,0,93,1498,298,3,1894,3,5,0,10,662,317,5,994,4213,1891,180,6284,14221,2205,84,22801,Wangaratta (RC)
26730,146,625,8,775,3000,321,13,4103,30,555,0,590,2229,359,22,3194,13,95,0,107,1480,319,0,1903,0,7,0,9,754,193,3,965,5187,2140,253,7575,16975,2414,269,27239,Warrnambool (C)
26810,198,1036,16,1253,4458,558,12,6276,46,558,0,609,3619,480,6,4702,8,101,0,111,1887,411,0,2412,6,9,0,16,814,177,0,1012,6141,2674,312,9129,21209,3994,156,34487,Wellington (S)
26890,17,66,0,82,477,33,0,593,3,40,0,46,369,39,0,457,3,3,0,9,241,44,4,294,0,0,0,3,96,33,0,126,568,200,18,787,2054,244,11,3091,West Wimmera (S)
26980,1147,2193,48,3386,12969,690,731,17778,271,3353,31,3655,8839,687,377,13557,71,893,3,972,7482,922,80,9451,16,58,0,69,4041,802,8,4924,27514,8954,875,37339,89118,6721,3011,136198,Whitehorse (C)
27070,830,3260,44,4137,13997,1203,607,19946,204,2566,18,2788,9348,1103,342,13588,53,434,4,486,5972,738,50,7242,25,30,0,49,2027,287,3,2364,36823,10161,951,47937,96602,9897,1758,156199,Whittlesea (C)
27170,143,788,15,946,3230,315,25,4518,25,478,4,509,2352,293,18,3165,6,84,0,87,1292,244,3,1628,3,11,0,11,624,119,0,753,6572,2469,296,9337,18936,2444,109,30825,Wodonga (C)
27260,952,2927,72,3958,12568,1120,1298,18941,207,1931,18,2149,7186,863,680,10881,35,317,3,350,3384,566,91,4392,16,21,0,34,1111,293,11,1449,46388,9983,1140,57518,92646,11706,3354,165224,Wyndham (C)
27350,462,636,18,1118,5854,862,104,7931,70,992,7,1075,3723,692,64,5550,19,227,0,238,2186,434,17,2882,9,14,0,26,873,215,3,1112,9412,3849,329,13590,55452,8081,1218,78344,Yarra (C)
27450,735,3401,35,4172,13842,971,76,19065,134,2866,12,3015,9536,960,56,13568,42,412,3,453,4862,695,24,6031,15,25,0,37,2037,360,4,2433,25472,10365,1256,37093,73821,7084,508,118503,Yarra Ranges (S)
27630,30,147,0,170,813,75,6,1062,8,65,0,77,675,97,0,846,0,23,0,20,426,87,0,535,3,0,0,0,241,78,0,324,813,375,41,1222,3622,563,14,5419,Yarriambiack (S)
29399,45,87,0,126,545,200,6,887,3,110,0,115,291,125,8,540,3,13,0,16,57,28,0,100,3,0,0,3,4,5,3,15,1289,408,50,1744,3441,1521,495,7201,Unincorporated Vic
30250,3,25,6,36,67,4,0,105,0,6,0,10,31,0,0,45,0,6,0,7,4,0,0,9,0,0,0,0,0,0,0,0,172,191,41,404,499,40,3,945,Aurukun (S)
30300,21,67,0,90,477,67,0,636,3,44,0,50,386,73,0,509,0,6,0,8,190,31,0,223,0,0,0,0,49,13,0,58,700,209,31,945,2224,417,34,3619,Balonne (S)
30370,57,264,0,320,1442,225,3,1989,11,132,0,147,1019,191,11,1367,5,21,0,30,609,116,0,748,3,0,0,3,172,34,3,207,2611,786,101,3498,7339,1498,76,12418,Banana (S)
30410,12,41,0,50,385,33,0,471,3,23,0,30,412,57,9,508,0,3,0,3,177,38,0,221,0,0,0,0,38,11,0,53,422,141,17,574,1805,276,18,2675,Barcaldine (R)
30450,3,6,0,9,49,3,0,68,0,3,0,3,68,7,0,80,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,35,18,0,56,244,23,3,324,Barcoo (S)
30760,3,33,0,38,300,24,0,358,0,13,0,18,280,37,0,337,0,3,0,3,112,20,0,140,0,0,0,0,38,3,0,44,255,84,8,346,1195,145,16,1707,Blackall-Tambo (R)
34710,22,72,0,90,667,64,6,830,6,36,0,36,608,91,3,745,3,7,0,6,233,43,0,285,0,0,0,0,71,7,0,79,563,233,13,804,2679,380,26,3891,Longreach (R)
34770,388,2187,20,2598,10319,1117,89,14123,66,1068,7,1141,7374,1024,58,9592,16,200,4,218,3846,681,30,4772,4,18,0,18,1444,213,9,1689,18867,6397,868,26128,54940,7438,528,89033,Mackay (R)
34800,8,17,0,20,194,26,0,245,0,5,0,7,128,14,4,148,0,3,0,3,34,9,0,41,0,0,0,0,4,3,0,4,280,59,13,351,824,162,25,1359,McKinlay (S)
34830,0,11,0,12,42,4,0,52,0,3,0,3,15,0,0,17,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,3,44,33,0,82,151,19,0,246,Mapoon (S)
34860,45,184,0,234,1276,229,11,1743,12,107,0,118,1017,147,11,1296,3,32,0,32,523,93,0,654,0,0,0,4,185,36,0,229,2179,652,73,2912,6629,1618,70,11227,Maranoa (R)
34880,95,333,10,440,2397,429,30,3298,21,239,7,265,2048,408,16,2738,7,52,0,61,1005,254,12,1328,0,9,0,6,316,63,0,393,2780,1124,202,4103,10822,3201,333,18464,Mareeba (S)
35010,1689,8163,75,9928,35387,2775,361,48445,323,6273,53,6646,30155,3133,356,40290,60,868,0,930,14940,2630,127,18623,11,52,0,63,5264,2043,24,7396,73918,26681,3643,104240,203486,23493,2609,333822,Moreton Bay (R)
35250,9,18,3,27,44,13,0,83,0,11,3,17,27,10,0,50,0,0,0,0,14,3,0,13,0,0,0,0,0,0,0,0,102,120,115,337,354,105,4,799,Mornington (S)
35300,71,196,6,267,1347,361,32,2014,12,128,0,138,818,248,7,1217,3,26,0,33,276,92,3,404,0,0,0,0,65,18,0,84,3210,964,149,4319,8258,2447,104,15124,Mount Isa (C)
35600,19,81,3,101,524,58,3,691,4,39,0,38,447,77,3,569,4,8,0,15,186,58,0,258,0,0,0,0,77,23,0,101,629,242,24,899,2419,410,26,3753,Murweh (S)
35670,5,3,0,6,64,0,0,77,3,4,0,4,28,0,0,31,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,176,66,10,249,421,9,0,682,Napranum (S)
35740,361,1002,9,1375,7050,658,267,9351,64,1122,3,1191,7040,839,380,9450,12,214,0,220,3666,628,171,4686,6,13,0,18,1189,365,26,1591,8055,3254,339,11651,31987,4122,1821,49582,Noosa (S)
35760,48,163,0,207,1257,213,8,1684,11,101,0,109,1233,251,4,1598,0,23,0,26,576,187,6,790,0,3,0,3,223,55,0,282,1362,527,50,1936,5735,1358,283,9308,North Burnett (R)
35780,22,31,0,57,232,27,0,308,0,24,0,26,136,28,5,191,0,3,0,6,20,3,0,27,0,0,0,0,4,0,0,4,531,255,34,828,1138,197,11,2169,Northern Peninsula Area (R)
35790,11,63,0,71,139,4,0,210,3,13,0,14,61,0,0,72,0,0,0,0,12,0,0,13,0,0,0,0,0,0,0,0,428,238,34,702,971,55,3,1728,Palm Island (S)
35800,3,33,0,43,288,40,0,365,3,23,0,25,251,30,0,306,0,4,0,6,94,16,0,115,0,0,0,0,17,8,0,30,195,95,10,303,1111,144,9,1570,Paroo (S)
36070,4,7,0,11,63,0,0,82,0,8,0,10,29,0,0,43,0,0,0,0,14,0,0,9,0,0,0,0,0,0,0,0,110,72,5,185,389,25,3,600,Pormpuraaw (S)
36150,3,9,0,12,106,13,0,132,0,7,0,8,84,8,0,105,3,0,0,5,26,3,0,33,0,0,0,0,8,0,0,8,136,36,6,179,495,44,0,723,Quilpie (S)
36250,674,3405,40,4110,14289,848,156,19402,137,2595,8,2742,11301,925,105,15070,16,416,6,443,6127,884,48,7501,6,13,0,13,2540,708,7,3276,24386,10087,1083,35560,75286,6338,813,117988,Redland (C)
36300,7,21,0,26,107,3,0,138,0,0,0,4,110,11,0,127,0,0,0,0,36,4,0,45,0,0,0,0,12,0,0,12,129,43,0,177,536,65,25,806,Richmond (S)
36370,299,1528,20,1850,6657,791,86,9374,40,812,8,858,5153,784,48,6835,10,144,0,153,3206,655,18,4037,0,9,0,9,1230,377,6,1622,12698,4892,630,18222,38805,5937,435,63393,Rockhampton (R)
36510,184,853,9,1040,4197,555,44,5836,48,652,5,705,3749,516,34,5000,8,119,0,133,1936,331,6,2409,3,7,0,9,688,111,0,812,6027,2568,310,8904,20698,3436,268,33305,Scenic Rim (R)
36580,105,536,3,639,2644,357,11,3659,15,300,3,318,2358,319,9,3000,5,36,0,42,1020,188,4,1248,4,0,0,3,287,56,0,346,3641,1479,170,5293,12159,1992,80,19523,Somerset (R)
36630,133,516,3,652,3587,376,9,4628,38,251,0,290,3748,485,9,4530,8,53,0,60,1736,335,3,2139,0,10,0,6,595,102,0,706,4452,1630,213,6288,17001,2591,76,25958,South Burnett (R)
36660,160,605,4,768,3962,401,8,5141,31,455,0,489,3712,480,16,4695,8,72,0,79,1987,335,3,2404,3,13,0,13,752,132,0,901,4965,1950,212,7123,18701,2467,189,28479,Southern Downs (R)
36720,1420,5588,70,7082,29695,2440,660,39878,257,4775,24,5059,28283,2938,1129,37398,57,789,5,850,16847,2371,539,20608,17,54,0,71,6590,1353,94,8105,47958,17472,1982,67413,159938,17926,4746,250020,Sunshine Coast (R)
36820,116,457,9,581,3165,390,32,4166,33,341,3,377,3041,473,26,3918,7,50,0,57,1520,291,12,1873,3,4,0,9,506,111,3,631,3276,1388,178,4836,13890,2304,541,21564,Tablelands (R)
36910,615,2941,33,3585,14159,1385,98,19230,111,1949,16,2075,11820,1452,65,15409,31,356,3,387,7096,1381,32,8893,9,24,0,33,2780,995,4,3821,25356,9453,1186,36000,80006,10784,744,127535,Toowoomba (R)
36950,16,41,0,66,294,55,3,416,4,19,0,19,123,26,3,171,0,3,0,5,39,8,0,45,0,3,0,3,8,3,0,15,500,175,33,713,1601,550,34,2902,Torres (S)
36960,47,43,0,88,245,19,0,354,11,9,4,23,119,12,0,152,0,6,0,7,47,3,0,49,0,0,0,0,4,0,0,10,782,229,52,1054,1548,342,14,2953,Torres Strait Island (R)
37010,664,3253,52,3970,15443,1973,223,21612,112,2026,16,2148,11404,1856,188,15593,19,354,0,374,5736,1049,74,7235,13,29,0,43,2046,395,12,2499,30195,10956,1418,42563,94210,14849,1755,153376,Townsville (C)
33620,256,912,14,1184,5873,694,30,7779,42,479,4,525,5903,783,22,7237,8,70,0,78,2516,552,13,3157,6,4,0,8,724,301,0,1041,7009,2561,304,9874,26689,4154,504,41216,Gympie (R)
33800,50,222,3,276,1409,167,5,1856,15,138,0,149,1459,201,3,1815,0,39,0,47,864,176,3,1083,0,0,0,0,350,69,0,422,1373,627,49,2043,6652,1038,32,9768,Hinchinbrook (S)
33830,5,21,0,30,44,7,0,75,0,7,0,7,16,8,0,27,0,0,0,0,12,0,0,17,0,0,0,0,3,0,0,3,177,140,17,333,275,54,0,664,Hope Vale (S)
