LGA_MAIN11,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot,LGA_NAME11
34420,29,36,42,50,16,9,16,84,10,292,Kowanyama (S)
34570,19,23,12,37,11,5,8,30,15,160,Lockhart River (S)
34580,1876,1599,2257,1396,1734,1346,1465,2723,262,14658,Lockyer Valley (R)
34590,11723,15877,21620,12004,20928,12459,13974,16133,2588,127306,Logan (C)
34710,443,310,334,215,250,159,153,310,42,2216,Longreach (R)
34830,12,16,4,11,13,0,4,23,3,86,Mapoon (S)
34860,1563,755,953,511,839,424,696,855,134,6730,Maranoa (R)
35010,18617,27929,27805,18450,29015,18317,12876,18354,3125,174488,Moreton Bay (R)
35250,19,58,34,59,15,10,14,61,10,280,Mornington (S)
35300,831,1556,2319,833,1159,663,1762,952,258,10333,Mount Isa (C)
35600,436,271,285,212,244,162,171,429,53,2263,Murweh (S)
35670,8,21,15,28,15,0,40,50,4,181,Napranum (S)
35760,1161,403,431,320,419,256,438,929,93,4450,North Burnett (R)
35780,56,129,77,159,82,46,32,140,42,763,Northern Peninsula Area (R)
35790,31,87,42,131,61,21,27,179,31,610,Palm Island (S)
35800,256,78,75,87,64,44,78,137,21,840,Paroo (S)
37400,201,47,79,57,53,30,79,127,19,692,Winton (S)
37550,18,30,12,57,11,4,12,46,14,204,Woorabinda (S)
51960,92,154,400,124,148,68,577,205,42,1810,Coolgardie (S)
52030,167,39,50,30,36,14,62,82,3,483,Coorow (S)
37570,5,17,6,16,9,3,7,33,3,99,Wujal Wujal (S)
37600,20,61,25,84,42,0,11,53,9,305,Yarrabah (S)
39399,19,53,38,23,21,18,14,51,5,242,
39499,277,626,558,304,279,220,461,767,101,3593,
40070,1193,3554,702,1028,1124,694,164,484,148,9091,Adelaide (C)
40120,3241,5705,2753,1860,2676,1562,756,1484,250,20287,Adelaide Hills (DC)
40220,1512,1431,1643,1084,1155,880,669,1397,155,9926,Alexandrina (DC)
40250,72,211,28,133,52,22,4,160,33,715,Anangu Pitjantjatjara (AC)
40310,1658,1704,1679,965,1345,866,760,1853,151,10981,Barossa (DC)
40430,299,102,106,90,85,37,76,117,16,928,Barunga West (DC)
40520,649,587,594,499,490,364,272,796,67,4318,Berri and Barmera (DC)
40700,3268,7856,1354,1704,2847,1871,295,802,304,20301,Burnside (C)
40910,2437,5226,2972,2136,3815,2400,946,1929,363,22224,Campbelltown (C)
41010,319,195,200,223,187,106,163,256,42,1691,Ceduna (DC)
41060,5482,9972,6787,4773,8088,4958,2927,4618,852,48457,Charles Sturt (C)
41190,324,86,115,54,77,54,60,107,17,894,Cleve (DC)
41330,86,73,91,128,58,49,96,93,15,689,Coober Pedy (DC)
41830,135,109,141,86,71,43,70,88,16,759,Flinders Ranges (DC)
42030,922,1369,1524,1107,1328,968,720,1192,154,9284,Gawler (T)
42600,2523,4515,1967,1937,2720,1763,480,1018,224,17147,Holdfast Bay (C)
42750,557,250,282,253,208,181,101,334,33,2199,Kangaroo Island (DC)
43080,220,57,50,38,30,19,24,45,7,490,Karoonda East Murray (DC)
43220,253,55,48,39,49,29,41,57,9,580,Kimba (DC)
43360,312,94,144,81,96,83,54,198,11,1073,Kingston (DC)
43650,1148,921,1111,709,865,580,557,932,83,6906,Light (RegC)
43710,582,306,339,209,237,174,167,294,26,2334,Lower Eyre Peninsula (DC)
43790,1093,625,594,494,502,372,343,1015,89,5127,Loxton Waikerie (DC)
43920,589,353,684,347,525,299,532,599,71,3999,Mallala (DC)
44000,0,4,0,3,4,4,0,0,8,23,Maralinga Tjarutja (AC)
44060,3985,8579,5958,4525,6888,4156,1866,3680,635,40272,Marion (C)
44210,686,284,512,325,278,202,278,650,45,3260,Mid Murray (DC)
44340,4227,10330,3229,3026,4450,2796,747,2006,405,31216,Mitcham (C)
44550,2035,2855,2328,1640,2233,1453,851,1535,211,15141,Mount Barker (DC)
44620,1175,1599,1834,1216,1381,1428,1134,1530,172,11469,Mount Gambier (C)
44830,397,181,171,109,108,50,111,133,10,1270,Mount Remarkable (DC)
45040,998,723,1091,871,898,764,702,1814,158,8019,Murray Bridge (RC)
45090,1078,442,544,289,421,371,236,805,51,4237,Naracoorte and Lucindale (DC)
45120,603,283,276,165,180,133,167,245,37,2089,Northern Areas (DC)
45290,2219,6075,1654,1660,2402,1493,409,1126,223,17261,Norwood Payneham St Peters (C)
45340,7387,11924,13211,9179,11763,8328,4678,8306,1131,75907,Onkaparinga (C)
45400,155,59,63,49,36,23,21,47,3,456,Orroroo/Carrieton (DC)
45540,104,55,56,62,38,45,36,107,12,515,Peterborough (DC)
45890,4537,9562,7015,5541,7272,4362,3663,6256,1001,49209,Port Adelaide Enfield (C)
46090,443,816,951,895,782,539,526,667,123,5742,Port Augusta (C)
46300,743,978,984,694,791,677,413,1024,111,6415,Port Lincoln (C)
46450,723,864,987,775,744,756,808,823,143,6623,Port Pirie City and Dists (M)
46510,1361,3162,1134,984,1538,1042,405,777,143,10546,Prospect (C)
46670,663,437,457,396,421,383,293,981,74,4105,Renmark Paringa (DC)
46860,227,72,83,57,53,58,19,141,0,710,Robe (DC)
46970,218,448,740,139,300,115,475,256,77,2768,Roxby Downs (M)
47140,4849,7060,9145,6401,8627,5699,5781,8226,1162,56950,Salisbury (C)
47290,431,84,103,74,77,62,76,131,7,1045,Southern Mallee (DC)
47490,297,96,135,88,98,73,63,130,15,995,Streaky Bay (DC)
47630,959,305,423,200,323,243,234,666,43,3396,Tatiara (DC)
47700,5114,8879,7845,5170,8879,5225,2617,4195,621,48545,Tea Tree Gully (C)
47800,817,201,249,184,199,179,182,407,29,2447,The Coorong (DC)
47980,2763,7198,1507,1616,2562,1701,317,941,295,18900,Unley (C)
48050,634,697,698,640,520,582,240,560,76,4647,Victor Harbor (C)
48130,704,279,347,236,266,162,266,515,48,2823,Wakefield (DC)
48640,230,95,88,53,40,32,50,93,5,686,Wudinna (DC)
48750,384,228,274,183,187,160,103,277,27,1823,Yankalilla (DC)
48260,536,1223,239,299,428,261,64,148,50,3248,Walkerville (M)
48340,1079,528,743,449,486,430,531,1006,86,5338,Wattle Range (DC)
48410,2841,6102,3524,2907,4391,2602,1398,2388,466,26619,West Torrens (C)
48540,723,1329,1762,912,915,841,1352,1091,234,9159,Whyalla (C)
48830,1148,441,577,398,401,288,292,580,77,4202,Yorke Peninsula (DC)
49399,432,235,428,199,147,69,392,345,61,2308,Unincorporated SA
49499,69,129,126,88,92,51,84,239,33,911,
50080,2051,2341,2421,1743,1814,1552,1036,1880,188,15026,Albany (C)
50210,2738,4032,5624,2989,4665,2797,3155,3279,468,29747,Armadale (C)
50250,423,708,1698,249,552,137,1549,634,95,6045,Ashburton (S)
51680,338,224,402,176,301,153,216,257,38,2105,Chittering (S)
51750,756,1780,229,419,488,358,58,147,56,4291,Claremont (T)
51820,4999,8377,8596,4291,7342,4158,3392,4423,716,46294,Cockburn (C)
51890,245,346,1136,333,350,289,652,725,88,4164,Collie (S)
52100,208,53,70,44,49,27,54,47,8,560,Corrigin (S)
52170,704,1634,247,277,368,295,51,106,50,3732,Cottesloe (T)
52240,219,30,38,25,36,9,44,90,6,497,Cranbrook (S)
52310,136,47,49,27,45,33,35,57,3,432,Cuballing (S)
52380,16,12,5,7,9,4,17,14,0,84,Cue (S)
52450,160,52,96,39,70,42,53,83,12,607,Cunderdin (S)
52520,283,56,90,37,62,41,64,77,10,720,Dalwallinu (S)
52590,365,137,211,89,149,87,157,229,23,1447,Dandaragan (S)
52660,650,677,1317,512,771,617,695,778,87,6104,Dardanup (S)
52730,465,434,340,215,239,173,113,231,33,2243,Denmark (S)
52800,256,507,295,377,266,101,167,539,104,2612,Derby-West Kimberley (S)
52870,472,332,390,215,238,169,230,372,45,2463,Donnybrook-Balingup (S)
52940,135,31,29,18,24,12,26,33,12,320,Dowerin (S)
53010,170,32,24,24,29,10,21,27,0,337,Dumbleyung (S)
53080,62,38,108,55,36,23,124,63,12,521,Dundas (S)
53150,597,1322,332,279,468,263,78,165,59,3563,East Fremantle (T)
54280,1457,2143,3512,1266,1958,1108,2508,1495,258,15705,Kalgoorlie/Boulder (C)
53710,152,45,47,38,55,22,40,41,6,446,Goomalling (S)
53780,4485,7280,9352,4897,8449,4725,5258,5800,826,51072,Gosnells (C)
53920,104,196,115,164,83,23,54,217,39,995,Halls Creek (S)
53990,1282,1393,2148,892,1353,912,1200,1606,157,10943,Harvey (S)
54060,250,183,298,106,159,110,156,230,20,1512,Irwin (S)
54130,280,36,67,31,43,20,31,62,7,577,Jerramungup (S)
54170,10068,18182,13807,8215,13951,8345,3579,5906,972,83025,Joondalup (C)
54200,3136,4492,4823,2451,4635,2393,2450,2339,420,27139,Kalamunda (S)
54340,298,224,293,151,176,148,96,359,42,1787,Katanning (S)
54480,198,14,13,11,22,3,13,17,6,297,Kent (S)
54550,383,88,113,63,60,55,56,126,18,962,Kojonup (S)
54620,208,44,88,43,36,20,78,55,12,584,Kondinin (S)
54690,88,4,22,12,17,6,21,23,6,199,Koorda (S)
54760,235,40,32,32,24,9,27,44,9,452,Kulin (S)
54830,989,1369,2654,1356,1837,1169,1526,1637,192,12729,Kwinana (T)
54900,374,55,83,39,75,24,53,87,15,805,Lake Grace (S)
54970,55,77,192,48,47,6,219,96,12,752,Laverton (S)
56520,199,291,307,212,210,161,117,231,27,1755,Narrogin (T)
56580,1707,4275,476,721,1165,782,134,336,126,9722,Nedlands (C)
55040,94,160,312,59,101,24,395,159,13,1317,Leonora (S)
55390,12,15,0,14,10,0,20,40,8,119,Menzies (S)
55530,87,18,20,14,17,6,37,30,3,232,Mingenew (S)
55670,108,40,55,39,38,20,50,46,3,399,Morawa (S)
55600,325,128,174,97,133,93,117,172,15,1254,Moora (S)
65010,440,213,435,264,297,218,248,379,50,2544,Southern Midlands (M)
65210,157,111,116,117,85,49,49,167,11,862,Tasman (M)
56930,139,249,32,42,55,48,7,20,13,605,Peppermint Grove (S)
55740,656,1525,338,388,486,372,81,229,48,4123,Mosman Park (T)
55810,35,33,57,22,22,9,28,48,0,254,Mount Magnet (S)
55880,152,19,23,8,18,0,22,30,3,275,Mount Marshall (S)
57140,142,45,57,33,37,16,46,66,12,454,Pingelly (S)
57210,564,231,266,186,216,132,180,372,26,2173,Plantagenet (S)
57280,723,1038,1886,467,1013,343,1063,870,147,7550,Port Hedland (T)
57630,10,4,6,3,4,0,9,6,3,45,Sandstone (S)
55950,133,20,24,16,15,12,19,27,9,275,Mukinbudin (S)
70200,1553,3095,1860,1891,2039,971,579,944,263,13195,Alice Springs (T)
56160,20,3,10,0,5,0,0,11,0,49,Murchison (S)
56230,651,618,1265,548,598,490,833,743,96,5842,Murray (S)
56300,136,75,74,49,55,35,46,108,10,588,Nannup (S)
62210,231,261,414,264,235,209,352,404,60,2430,George Town (M)
62410,326,178,226,171,154,108,110,324,37,1634,Glamorgan/Spring Bay (M)
62610,1563,2372,3139,2460,3383,2153,1352,2346,344,19112,Glenorchy (C)
62810,3215,8998,2271,2586,3380,2032,431,1273,285,24471,Hobart (C)
63010,850,966,981,581,757,457,455,1039,98,6184,Huon Valley (M)
63210,396,277,410,281,218,219,241,388,57,2487,Kentish (M)
63410,208,72,95,53,77,41,54,241,15,856,King Island (M)
63610,2129,4089,2184,1670,2607,1526,500,1146,191,16042,Kingborough (M)
63810,616,617,774,428,491,400,376,556,59,4317,Latrobe (M)
64010,3044,5556,4078,3338,3732,3147,1925,3105,373,28298,Launceston (C)
64210,1405,1183,1295,903,1166,875,718,962,103,8610,Meander Valley (M)
64610,859,609,887,540,605,527,476,803,85,5391,Northern Midlands (M)
64810,680,782,1045,729,963,586,406,660,94,5945,Sorell (M)
56370,187,28,48,25,33,14,26,46,12,419,Narembeen (S)
62010,109,44,51,39,31,29,20,61,15,399,Flinders (M)
56730,604,553,741,478,602,369,425,621,71,4464,Northam (S)
57000,148,65,104,19,47,4,111,97,8,603,Perenjori (S)
57080,1480,3656,922,820,1251,474,210,560,143,9516,Perth (C)
58330,270,249,369,209,259,105,204,207,30,1902,Toodyay (S)
72800,1569,1869,2468,2234,2599,1160,1079,1019,251,14248,Palmerston (C)
74050,61,161,69,134,61,26,27,153,44,736,Tiwi Islands (S)
74500,176,291,152,242,135,59,104,444,103,1706,Victoria-Daly (S)
58400,71,9,21,7,16,6,9,17,0,156,Trayning (S)
58470,24,12,5,11,0,0,11,25,0,88,Upper Gascoyne (S)
58540,197,28,60,25,34,19,33,77,5,478,Victoria Plains (S)
74560,26,42,26,17,34,7,15,26,7,200,Wagait (S)
74660,195,465,224,263,158,86,153,513,82,2139,West Arnhem (S)
58570,2519,6601,2025,1510,2353,1205,457,1066,218,17954,Vincent (T)
99399,162,182,197,144,148,20,97,171,37,1158,Unincorp. Other Territories
99499,3,6,3,0,10,0,0,0,0,22,
59030,50,19,17,10,19,4,27,16,0,162,Westonia (S)
59100,162,29,46,21,33,3,24,39,5,362,Wickepin (S)
59170,206,44,63,43,41,28,51,66,3,545,Williams (S)
59310,234,72,96,45,80,36,66,70,7,706,Wongan-Ballidu (S)
59360,195,69,189,43,75,19,219,81,22,912,Yilgarn (S)
59370,320,188,209,133,160,116,141,177,18,1462,York (S)
59399,6,53,78,14,6,0,40,132,4,333,
59499,178,462,534,234,240,149,333,418,48,2596,
60210,332,241,291,234,203,179,181,333,36,2030,Break O'Day (M)
60410,541,479,1019,776,949,711,580,873,124,6052,Brighton (M)
60610,808,1202,1379,920,1058,856,654,990,118,7985,Burnie (C)
60810,1138,1362,1518,963,1041,860,732,1169,140,8923,Central Coast (M)
61010,194,76,104,71,70,41,91,171,16,834,Central Highlands (M)
61210,805,299,462,288,304,246,376,815,58,3653,Circular Head (M)
61410,2947,5028,3412,2593,4112,2399,1011,1920,356,23778,Clarence (C)
61510,348,401,633,574,455,366,408,617,76,3878,Derwent Valley (M)
61610,1000,1405,1651,1179,1242,1093,831,1362,171,9934,Devonport (C)
61810,538,260,385,241,239,229,270,480,38,2680,Dorset (M)
70420,242,371,221,316,236,83,71,352,92,1984,Barkly (S)
70540,6,6,3,9,4,0,3,16,4,51,Belyuen (S)
70620,96,174,117,156,64,31,96,165,81,980,Central Desert (S)
70700,68,72,75,43,51,19,42,62,8,440,Coomalie (S)
71000,5044,9134,5702,4629,6114,2891,1845,2778,648,38785,Darwin (C)
71300,132,528,166,272,144,117,70,482,166,2077,East Arnhem (S)
72200,490,732,768,660,618,274,239,405,111,4297,Katherine (T)
72300,1300,1281,1981,1211,1537,613,952,806,180,9861,Litchfield (M)
72330,142,342,66,290,87,53,27,281,113,1401,MacDonnell (S)
