lga_name_2016,lga_code_2016,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_tot
Esperance (S),53290,995,606,328,123,6218
Exmouth (S),53360,214,136,27,9,1432
Fremantle (C),53430,2827,1778,806,316,17042
Gingin (S),53570,483,418,163,37,2312
Gnowangerup (S),53640,92,48,10,8,496
Kalgoorlie/Boulder (C),54280,1751,646,230,55,13234
Karratha (C),54310,1042,250,42,7,10857
Goomalling (S),53710,86,54,18,8,409
Gosnells (C),53780,6321,3824,1918,642,51981
Greater Geraldton (C),53800,2605,1505,764,228,16946
Halls Creek (S),53920,152,58,18,3,1291
Harvey (S),53990,1909,1225,487,118,11722
Irwin (S),54060,306,268,121,28,1573
Jerramungup (S),54130,87,45,26,3,481
Joondalup (C),54170,13906,8056,2839,1062,79000
Kalamunda (S),54200,4194,3119,1578,456,27066
Katanning (S),54340,263,160,104,47,1651
Kellerberrin (S),54410,79,53,42,21,490
Kent (S),54480,33,33,7,0,227
Kojonup (S),54550,134,91,44,26,822
Kondinin (S),54620,63,33,12,0,334
Koorda (S),54690,25,13,12,4,138
Kulin (S),54760,36,29,17,9,296
Kwinana (C),54830,1795,1022,499,141,17790
Lake Grace (S),54900,86,40,15,6,499
Laverton (S),54970,94,21,8,0,610
Leonora (S),55040,85,34,6,3,744
Mandurah (C),55110,5817,4996,2952,1009,36701
Manjimup (S),55180,752,495,258,71,3843
Meekatharra (S),55250,77,33,3,3,542
Melville (C),55320,8998,5949,3254,1725,54062
Mukinbudin (S),55950,34,15,6,6,204
Menzies (S),55390,36,12,0,0,229
Merredin (S),55460,222,106,56,27,1297
Mingenew (S),55530,38,16,3,0,182
Mundaring (S),56090,3515,2492,965,298,19943
Moora (S),55600,158,94,33,14,928
Morawa (S),55670,59,22,19,6,284
Nungarin (S),56860,17,9,4,0,87
Mosman Park (T),55740,805,670,297,118,5215
Mount Magnet (S),55810,45,44,6,0,232
Mount Marshall (S),55880,22,17,5,0,174
Murchison (S),56160,14,0,0,0,72
Murray (S),56230,1213,1024,536,129,7044
Nannup (S),56300,157,139,43,8,628
Narembeen (S),56370,51,36,18,13,262
Narrogin (S),56460,416,256,133,47,2263
Nedlands (C),56580,2324,1676,757,324,12442
Ngaanyatjarraku (S),56620,59,41,9,0,519
Northam (S),56730,907,591,267,98,4966
Northampton (S),56790,341,254,108,34,1479
Peppermint Grove (S),56930,180,108,71,23,896
Sandstone (S),57630,12,11,3,0,50
Serpentine-Jarrahdale (S),57700,1488,805,278,80,11914
Shark Bay (S),57770,74,76,18,7,465
South Perth (C),57840,3751,2352,1077,655,24891
Stirling (C),57910,14111,9177,5379,2335,112988
Subiaco (C),57980,1660,1332,665,254,12420
Swan (C),58050,7590,4157,1881,657,59082
Tammin (S),58190,21,12,3,0,144
Three Springs (S),58260,37,32,3,9,232
Perenjori (S),57000,44,15,7,6,296
Perth (C),57080,1413,898,363,86,15710
Pingelly (S),57140,113,74,31,10,451
Plantagenet (S),57210,480,344,145,48,2315
Port Hedland (T),57280,772,197,46,17,7286
Quairading (S),57350,97,64,39,9,410
Ravensthorpe (S),57420,152,129,38,9,786
Rockingham (C),57490,7113,4410,2374,823,56365
Southern Midlands (M),65010,464,281,99,38,2316
Tasman (M),65210,305,260,106,41,1207
Waratah/Wynyard (M),65410,1163,797,424,109,5881
West Coast (M),65610,329,200,97,10,1665
West Tamar (M),65810,2211,1588,738,257,11079
Toodyay (S),58330,536,433,135,16,2171
Trayning (S),58400,31,15,9,5,141
No usual address (Tas.),69499,78,50,10,0,517
Upper Gascoyne (S),58470,18,8,0,0,99
Victoria Park (T),58510,2162,1266,757,672,20650
Migratory - Offshore - Shipping (Tas.),69799,5,7,0,0,44
Alice Springs (T),70200,2108,846,255,81,12872
Victoria Plains (S),58540,55,36,21,7,359
Vincent (C),58570,2336,1109,487,253,21215
